"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Sc","Si","Sr","Th","Tl","U","V","Y","Zn","C","H","N","LOI","pH","Cond"
"34",38,439125,7533560,0.95,7250,3.17,3.23,108,0.18,0.27,3020,0.324,5.27,17.2,11.9,13300,0.22,1200,5.3,2970,483,0.275,50,11.5,1460,33,18.1,1520,0.089,3.7,890,17.7,1.07,0.18,0.372,33.7,3.4,47.5,35.9,5.4,1.5,78.3,3.9,137.8
"35",39,749247,7540980,1.63,3640,14.5,5.54,140,0.11,0.753,6840,1.2,83.8,28.7,1870,9750,0.347,1100,8.5,1410,634,3.94,110,1790,1260,34.1,4.61,1970,0.678,1.2,660,54.4,0.748,0.195,0.236,18.5,2.5,60.7,41.3,5.9,1.4,85.7,4.5,128.7
"36",40,458010,7741700,0.109,10300,1.22,1.91,51.4,0.15,0.164,1160,0.249,2.55,3.98,6.07,4030,0.216,700,7.5,480,26.6,0.217,50,6.9,1460,23.6,5.43,2070,0.186,1.4,690,15.1,0.35,0.064,0.137,4.59,3,20.8,41.4,6.2,1.8,90.4,4.1,85.3
"37",41,520242,7555800,0.151,6370,1.6,1.83,141,0.48,0.168,1520,0.373,1.88,2.91,5.69,2700,0.169,900,12.9,480,35.6,0.239,50,4.09,888,28.4,6.79,1200,0.082,1.1,720,18.4,1.89,0.128,0.813,4.6,4.4,39.3,38.9,5,1.1,80.1,3.8,89.3
"38",42,586431,7745130,0.052,769,1.3,2.17,84.6,0.01,0.137,3720,0.255,0.79,1.35,11.3,920,0.276,600,0.8,770,102,0.218,80,12.2,752,18.2,3.68,1890,0.24,0.2,540,32.1,0.158,0.054,0.071,2.86,0.3,51,47.6,6.6,1.6,95.1,3.8,103.4
"39",43,655692,7673270,0.112,997,1.58,2.01,73.4,0.01,0.169,3130,0.277,2.99,3.22,48.2,1700,0.209,1000,3.1,830,222,0.256,40,74.3,927,18,4.56,1760,0.14,0.4,690,26.3,0.718,0.063,0.074,6.02,0.6,89,41.3,5.8,1.4,87.7,3.8,122.6
"40",46,512345,7724030,0.106,4930,0.7,2.07,112,0.11,0.089,4350,0.183,1.5,3.64,5.06,4150,0.174,700,4.4,900,36.9,0.156,70,5.51,865,14,4.3,1430,0.056,1.5,760,51.7,0.767,0.05,0.202,7.43,2,19.3,36.8,5.2,1.4,76.7,4.2,95.8
"41",47,600600,7816920,0.09,5030,1.19,7.66,91.1,0.15,0.09,2270,0.237,2.65,3.97,7.72,3530,0.246,2000,2.8,1570,123,0.173,110,5.66,1000,15.7,8.78,1680,0.096,0.9,830,36,0.914,0.107,0.228,7.03,1.9,37.7,42.6,6,1.5,89,3.8,126.2
"42",48,486256,7631870,0.216,3060,1.46,1.9,70.9,0.1,0.148,2220,0.244,2.6,2.58,6.85,2850,0.216,800,3.6,730,63.9,0.27,20,6.21,865,16.6,5.79,1650,0.165,0.8,730,27,0.834,0.123,0.103,5.04,1.3,48.6,46.1,6.4,1.4,93.4,3.6,114
"43",49,418233,7570740,0.128,855,1.12,1.37,108,0.01,0.25,3160,0.201,0.38,1.17,4.52,680,0.212,700,0.35,500,36.9,0.186,5,4.96,832,26.1,3.85,1600,0.31,0.3,660,34.1,0.118,0.074,0.056,2.7,0.2,37.3,44.3,6,1.5,92.8,3.5,121.1
"44",50,586800,7672750,0.487,1570,1.1,1.83,106,0.02,0.138,2730,0.192,1.47,2.16,16.5,1670,0.231,900,1.7,670,188,0.341,60,18.3,954,17.9,4.51,1460,0.151,0.5,710,24.9,0.255,0.051,0.056,3.94,0.7,58.8,43.6,5.8,1.4,89.6,3.7,153.3
"45",51,461916,7416110,0.165,1840,1.97,2.07,91.7,0.06,0.529,3500,0.323,0.65,3.27,5.87,1540,0.258,900,2.3,570,291,0.345,30,4.11,832,44.8,6.82,1400,0.486,0.5,730,22.7,0.522,0.19,0.117,4.98,0.8,60.5,42.1,5.8,1.2,81.4,3.7,125.8
"46",52,383148,7571440,0.105,2190,1.03,1.4,88.1,0.06,0.233,2870,0.383,0.99,1.62,4.7,1320,0.221,900,1.5,710,107,0.197,30,3.95,1000,25.7,6,1410,0.219,0.9,610,31.8,0.22,0.123,0.152,4.09,0.8,50.6,45.4,6.4,1.2,92.3,4.4,141.9
"47",53,532337,7509820,0.185,2720,2.04,1.32,53.8,0.06,0.258,2980,0.623,1.87,3.28,6.04,2850,0.269,1000,1.1,720,40,0.244,30,6.48,867,26.5,8.51,1780,0.213,0.5,660,21.4,0.261,0.121,0.123,4.77,0.6,43.3,44.6,6.3,1.5,93,3.7,129.7
"48",54,618500,7709600,0.223,1120,2.83,1.98,50.9,0.01,0.12,2890,0.287,4.6,3.09,69.8,2060,0.253,900,1,850,66.5,0.321,70,128,775,11.7,5.52,1440,0.17,0.4,540,20.1,0.111,0.05,0.036,3.23,0.4,36.4,46,6.3,1.1,94,3.7,151.8
"49",55,764321,7535910,0.473,7160,3.53,2.35,144,0.5,0.328,2370,0.601,8.64,5.88,121,4540,0.235,1300,26.6,580,208,1.6,140,194,1320,42.3,9.21,1480,0.159,0.7,780,267,1.95,0.124,0.606,8.47,6,70.2,42.9,5.3,1.4,82.5,4.1,104.6
"50",56,701379,7636840,1.08,644,0.709,0.95,159,0.01,0.083,2740,0.259,1.16,0.98,10.8,680,0.203,800,0.35,720,70.4,0.26,70,15,748,10,5.26,1440,0.212,0.1,480,34.2,0.085,0.072,0.022,1.74,0.2,75.2,48.5,6.5,1.2,97.6,3.5,156.5
"51",57,615100,7688900,0.191,1120,4.99,1.79,42.4,0.01,0.214,2860,0.431,5.93,4.71,118,2370,0.284,1100,1,700,364,0.407,30,170,914,16.8,5.97,1780,0.171,0.3,580,15.2,0.117,0.105,0.041,4.9,0.4,78,45.7,6.1,1.4,92.6,3.7,149.9
"52",58,627200,7822400,0.157,1340,0.886,4.62,33.7,0.02,0.068,2880,0.19,0.58,1.38,5.85,1090,0.275,1200,1,1510,71.7,0.179,200,3.82,815,10.1,2.69,1810,0.148,0.4,700,44.1,0.238,0.038,0.101,2.79,0.5,44.9,46.2,6.6,1.4,96.4,3.9,106.4
"53",61,440300,7841200,0.038,765,0.515,5.71,63.2,0.01,0.066,6970,0.305,0.82,1.36,8.73,1090,0.176,800,7.8,1510,38.7,0.686,220,2.77,862,10.3,3.11,2070,0.165,0.3,490,52.4,0.353,0.088,0.546,2.44,3.1,54.7,44.6,6.1,1.6,93.6,4.3,104.6
"54",62,793978,7662610,0.073,1520,1.03,2.36,75.9,0.02,0.113,3460,0.313,1.59,2.56,18.4,1400,0.186,600,3.3,1330,23.7,0.252,190,23,810,17.3,1.7,2110,0.141,0.4,690,58.7,0.582,0.041,0.113,5.29,0.6,72.5,44.5,5.8,1.7,88.7,3.9,95.1
"55",63,612200,7546100,0.308,767,0.973,1.18,54,0.01,0.157,2370,0.241,0.57,1.3,5.74,680,0.217,700,0.35,590,135,0.154,40,5.47,779,17.1,6.24,1370,0.266,0.1,480,30.4,0.096,0.115,0.034,2.11,0.2,48.1,46.4,6.3,1.2,93.6,3.5,147.6
"56",64,553150,7749550,0.046,867,0.659,1.52,60.9,0.01,0.086,3170,0.281,0.91,1.11,8.06,1080,0.229,800,0.35,920,77.4,0.128,40,5.31,960,12.2,2.44,1890,0.147,0.3,490,26.6,0.108,0.039,0.047,2.77,0.5,63.8,42.6,5.9,1.5,93.6,3.8,119.6
"57",65,565873,7638060,0.283,3000,1.2,2.15,146,0.07,0.146,2750,0.202,1.31,2.95,8.95,2020,0.216,800,4.4,850,122,0.234,20,8.34,832,17.7,3.32,1400,0.131,1,700,36.6,0.852,0.081,0.086,4.44,1.4,44.5,43.7,5.9,1.2,85.6,3.7,104.5
"58",66,694049,7403130,0.723,3480,1.45,2.23,95.1,0.07,0.204,3720,0.394,1.84,8.79,9.74,3960,0.254,1400,3.6,1000,200,0.692,60,10.8,1100,27.4,16.8,1370,0.164,1,710,25.6,0.608,0.173,0.237,10.6,1,56.3,43,5.8,1.3,90,3.7,146.8
"59",67,684311,7624310,0.258,1260,1.28,1.56,82.8,0.01,0.128,3700,0.307,1.45,1.98,12.6,1230,0.289,700,1.3,690,113,0.152,110,20.1,711,17.7,3.82,1270,0.222,0.3,520,34.1,0.175,0.081,0.043,3.01,0.5,69.7,47.6,5.9,1.1,92.7,3.5,157.4
"60",68,568222,7563000,0.106,6370,2.49,0.99,46.5,0.06,0.227,460,0.538,1.28,9.43,11.7,7660,0.121,600,13.1,940,40.6,0.5,20,6.73,571,39.1,4.81,980,0.081,1.8,630,6.64,2.59,0.077,0.207,11.2,2.9,25.1,18.2,2.8,0.8,39.3,4,69.1
"61",69,784063,7540750,0.261,20600,2.59,2.25,137,0.99,0.161,1140,0.388,2.65,6.7,31.6,5270,0.18,900,24.7,700,76,0.784,210,36.4,1420,21,8.67,1740,0.063,0.7,750,127,3.77,0.062,1.2,9.51,5.2,46.8,34,5,1.5,74.7,4.5,57.3
"62",70,573370,7458090,0.192,1300,0.907,1.67,79.6,0.03,0.208,2780,0.296,1.04,2.41,6.44,1130,0.185,1000,1.4,540,246,0.269,30,5.67,939,36.5,8.87,1430,0.319,0.3,690,20.9,0.232,0.169,0.081,4.14,0.4,62,44.4,6.3,1.3,92.6,3.7,163.7
"63",72,666137,7730580,0.075,994,2.13,3.36,37.3,0.06,0.091,2770,0.328,5.79,3.38,54.1,1700,0.159,700,0.8,2050,28.2,0.246,180,128,735,12,2.09,1950,0.209,0.3,450,52,0.185,0.071,0.08,3.31,0.3,26.5,49.3,6.5,1.1,98.8,3.9,115.9
"64",73,717990,7610920,0.321,800,1.16,2.02,60.7,0.02,0.138,2610,0.271,4.1,1.84,51.6,920,0.236,1000,0.8,570,179,0.247,40,90.8,898,16.5,7.04,1580,0.199,0.1,670,25.6,0.092,0.088,0.035,3.96,0.2,41.4,45.7,6.4,1.4,95.8,3.7,158.1
"65",76,482866,7828740,0.047,919,0.657,3.97,95.9,0.08,0.09,4840,0.355,1.06,1.2,8.73,660,0.125,800,6.8,1940,18.8,1.08,240,5.41,990,15.3,2.54,2210,0.181,0.1,520,77.7,0.134,0.062,0.341,1.9,3.4,31.4,44,6.4,1.7,95.6,4.3,101.1
"66",77,475510,7701840,0.096,5370,0.853,1.61,106,0.15,0.151,2550,0.408,2.46,8.84,6.3,4830,0.214,900,7.5,820,104,0.097,60,7.2,886,23.3,5.46,1270,0.016,1.7,740,31.3,1.45,0.08,0.22,17.3,3.3,38.9,31.6,4.5,1.1,73.6,4.1,78.6
"67",78,745647,7558320,2.73,4170,15.9,2.04,143,0.09,1.12,1230,0.815,96,34.5,2880,11700,0.502,600,5.8,760,54.7,5.45,100,2880,865,53.5,4.03,1610,0.607,1.1,650,19.7,0.482,0.297,0.209,24.7,1.9,37.9,41.7,5,1.3,82.4,3.7,83.9
"68",79,595850,7750550,0.068,2850,1.24,2.91,55.4,0.07,0.108,3010,0.209,1.25,2.31,12.5,2990,0.25,900,3.7,820,111,0.166,90,11,784,12.8,5.02,1520,0.077,0.6,550,30.9,0.609,0.067,0.196,6.82,1.1,50.4,38.6,5.3,1.2,80.2,4,85.5
"69",80,587100,7624700,0.111,924,1.07,2.25,111,0.01,0.13,3790,0.34,1.13,1.44,9.04,1000,0.222,1000,0.7,770,136,0.271,40,9.26,769,18.4,2.54,1340,0.21,0.2,570,39.4,0.133,0.07,0.035,2.3,0.3,40,47.9,6.3,1.2,94.8,3.7,129.5
"70",81,414535,7416910,0.184,1020,2.45,0.4,132,0.04,0.365,2330,0.414,0.3,1.34,5.89,730,0.153,500,1,240,44.7,0.231,50,2.3,492,40.2,3.43,1070,0.362,0.2,520,43.2,0.142,0.092,0.043,3.17,0.3,67.9,38.9,4.8,1,77.8,3.3,121.6
"71",82,740646,7678290,0.188,1820,1.11,2.87,70.2,0.07,0.108,3420,0.263,2.03,2.74,16.1,1860,0.201,1100,6.2,1280,46.9,0.351,160,25.4,991,15.6,4.03,1830,0.232,0.5,540,83,0.262,0.074,0.115,8.2,1.2,40.1,49,6.4,1.2,95.2,3.8,134.7
"72",83,470112,7625770,0.209,3010,0.934,1.63,172,0.23,0.129,2940,0.291,2.86,2.38,7.61,1920,0.18,700,4.2,620,39.6,0.142,30,7.07,860,17.4,5.37,1330,0.117,0.8,620,56.4,0.49,0.083,0.077,5.13,1.7,56.3,45,6,1.3,89.7,3.6,119.9
"73",84,618100,7459100,0.576,5440,1.39,1.53,81,0.16,0.225,1380,0.239,1.61,4.01,7.3,2630,0.231,1100,3.2,510,152,0.313,50,8.8,1560,33.6,10.6,1600,0.182,0.5,760,19.7,0.54,0.124,0.125,5.76,0.8,27.8,38.6,5.4,1.5,81.2,3.9,107.3
"74",85,594062,7393520,0.191,1310,1.43,1.29,75.1,0.03,0.289,2580,0.28,0.45,2.96,4.86,1280,0.213,800,2.4,310,172,0.215,40,3.13,710,33.6,5.94,1180,0.277,0.3,490,14.2,2.05,0.127,0.115,4.14,0.7,47.7,38,5.1,1.1,80.9,3.6,131.9
"75",86,743131,7548020,1.67,9090,20.1,2.87,20.8,0.07,0.49,600,0.93,45.1,20,4080,7170,0.289,300,4.3,360,14.8,2.34,50,1630,1810,33.8,1.6,2920,0.962,2.1,570,6.09,0.504,0.068,0.227,21.6,1.5,18.9,42.2,6,1,89.3,3.5,180.4
"76",87,765246,7697100,0.132,2650,1.44,1.94,83.1,0.08,0.127,3350,0.292,3.01,6.56,20.2,4030,0.179,900,7,1120,82.6,0.271,150,31.2,869,20,4.68,1470,0.171,0.7,610,63.6,0.733,0.092,0.111,14.6,1.8,49.3,43.8,5.8,1,87,3.8,129.6
"77",88,752213,7654690,0.053,975,1.15,4.17,29.2,0.02,0.115,2910,0.407,1.65,1.4,11.5,1130,0.154,1000,2,1530,35.4,0.246,240,13.1,647,14.4,1.87,1560,0.254,0.2,300,43.7,0.112,0.069,0.055,5.91,0.5,31,49.1,6.6,1.1,97.3,3.9,115.9
"78",91,723588,7394930,0.185,1620,0.934,2.05,114,0.04,0.179,3400,0.322,1.53,1.88,10.8,1400,0.198,1600,2.2,710,289,0.287,30,13.3,1090,22.9,14.1,1470,0.347,0.4,570,29.1,0.149,0.264,0.072,3.42,0.5,51.8,47.5,6.4,1.3,94.8,3.8,177.9
"79",92,405139,7421900,0.207,1800,1.46,1.3,83.4,0.04,0.344,1550,0.319,0.76,7.31,4.96,3570,0.235,600,8.3,360,108,0.233,40,2.99,678,31.9,6.73,939,0.161,0.5,740,14.9,3.77,0.179,0.179,10.2,1,43.1,28.5,4.1,0.8,70.3,3.5,113.7
"80",93,575650,7772350,0.06,1240,0.641,3.69,47.5,0.02,0.086,3330,0.213,0.91,2.78,7.65,1920,0.311,1200,1.1,1100,173,0.189,130,6.11,1010,9.96,5.83,1590,0.114,0.5,450,22.6,0.296,0.057,0.076,4.65,0.6,35.3,44.1,6.1,1.2,84.2,3.9,141.9
"81",94,660935,7477410,0.532,5560,1.35,1.54,56.8,0.16,0.147,1630,0.185,2.06,4.96,12.3,4660,0.293,900,3,520,70.5,0.222,40,11.5,1780,18.5,6.88,1470,0.123,1.4,750,16.6,0.354,0.066,0.257,6.03,1.3,30.3,38.1,5.1,1.4,84.4,4,112.2
"82",95,6e+05,7580400,0.166,5260,2.16,1.59,94.8,0.08,0.351,1720,0.488,1.79,4.13,17.3,2680,0.232,1100,4,570,329,0.434,30,15.2,932,47.7,6.8,1770,0.313,0.7,690,16.5,0.838,0.194,0.097,7.19,1.3,59.1,44.5,5.8,1.6,88,3.9,89.9
"83",96,776025,7550490,0.472,2190,1.58,2.02,72.8,0.08,0.223,2400,0.31,7.11,4.26,72,3400,0.31,1500,5.2,690,352,0.587,70,156,1270,18.9,10.7,1410,0.248,0.6,700,75.3,0.35,0.123,0.159,5.7,1.3,58.3,45.4,6.1,1.2,90.6,3.7,170.2
"84",97,747622,7664600,0.179,5620,1.15,3.01,94.8,0.19,0.13,4080,0.415,6.61,15.9,30.6,7790,0.251,1000,23.2,1270,65.9,0.589,180,39,1460,22.9,4.31,1370,0.159,2,650,107,1.27,0.104,0.345,33.3,4.6,45.4,36.2,4.7,1,69.3,4.3,89.3
"85",99,494003,7713730,0.189,5380,1.07,1.97,95.7,0.11,0.106,3500,0.419,1.94,3.1,6.34,4160,0.25,700,4.6,710,20.3,0.238,50,6.13,1370,16,2.65,1960,0.126,1.5,670,46.6,0.425,0.035,0.106,4.39,2.2,39.6,40.1,5.6,1.8,87.1,4,95.6
"86",100,824459,7672840,0.055,1070,0.826,3.88,52.3,0.02,0.077,2910,0.241,0.76,1.15,8.54,870,0.261,800,0.8,1390,37,0.196,200,8.4,742,11.4,1.78,1870,0.165,0.3,520,42.1,0.145,0.042,0.059,2.17,0.3,24.7,47.4,6.4,1.3,95.9,3.9,99.6
"87",101,743511,7536900,1.12,4180,12.7,1.88,94.4,0.04,0.525,2020,1.39,53.9,17.4,1420,5950,0.331,300,1.8,500,52.1,2.98,100,2180,518,21.6,1.89,1630,0.318,1,690,21.2,0.322,0.071,0.103,17,1.2,31.1,38.8,5,1.3,79.8,3.5,87.4
