"","ID","XCOO","YCOO","Ag","Ag_INAA","Al","Al2O3","As","As_INAA","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br_IC","Br_INAA","Ca","Ca_INAA","CaO","Cd","Ce_INAA","Cl_IC","Co","Co_INAA","EC","Cr","Cr_INAA","Cs_INAA","Cu","Eu_INAA","F_IC","Fe","Fe_INAA","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K2O","La","La_INAA","Li","LOI","Lu_INAA","wt_INAA","Mg","MgO","Mn","MnO","Mo","Mo_INAA","Na","Na_INAA","Na2O","Nd_INAA","Ni","Ni_INAA","NO3_IC","P","P2O5","Pb","pH","PO4_IC","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","SiO2","Sm_INAA","Sn_INAA","SO4_IC","Sr","Sr_INAA","SUM_XRF","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA","ELEV","COUN","ASP","TOPC","LITO","Al_XRF","Ca_XRF","Fe_XRF","K_XRF","Mg_XRF","Mn_XRF","Na_XRF","P_XRF","Si_XRF","Ti_XRF"
"11",12,718237,7623810,0.009,2.5,5520,14.96,0.2,0.25,0.005,1.5,48.7,460,0.12,0.015,0.001,5.4,2630,50000,4.92,0.016,36,0.001,5.8,17,0.16,25.5,180,0.5,10.3,1.1,5e-04,9490,40400,4.91,6,0.01,0.5,0.0025,1100,1,8.1,18,3.5,0.76,0.39,32.21,4080,2.63,93.5,0.08,0.1,0.5,180,35500,4.01,17,37.7,10,5e-04,617,0.14,0.8,6,0.002,28,13,0.005,0.05,1.5,16,0.005,1.5,120,65.5,3.4,50,1,9.2,600,99.44,1,0.25,0.007,1.5,1.8,567,0.53,0.25,21.7,0.5,2.8,2.1,13.3,66,180,3,12,25,20,7.91,3.51,3.43,0.83,1.58,0.061,2.97,0.061,30.61,0.317
"12",13,427280,7487780,0.005,2.5,12400,12.53,6.6,4.8,0.001,3,31.2,490,0.38,0.046,0.001,0.25,2120,10000,2.46,0.044,39,0.001,12,15,0.23,65.4,120,0.5,31.1,1.1,5e-04,26900,40100,4.86,6,0.02,0.5,0.0025,800,2.04,12.7,21,7.8,1.9,0.31,32.89,5620,1.83,246,0.07,0.3,0.5,130,30000,3.43,18,29.8,10,0.0023,385,0.08,2.6,5.9,0.002,90,15,0.056,0.05,4.8,17,0.067,1.5,120,69.42,3.4,50,5,9.8,250,99.29,0.25,0.25,0.017,9,5.5,1280,0.69,1.4,58.1,0.5,6.2,2,25.7,64,240,1,32,40,7,6.63,1.75,3.39,1.69,1.1,0.054,2.54,0.034,32.44,0.413
"13",16,597300,7699300,0.007,2.5,5320,13.66,0.6,0.25,0.003,3,30.7,420,0.11,0.032,0.001,3.3,1780,40000,3.4,0.025,17,0.001,3.9,10,0.18,12,45,0.5,14.4,0.7,5e-04,8570,27200,3.82,2,0.01,0.5,0.0025,1300,1.47,5.7,9.1,5.3,0.85,0.21,37.35,2630,1.59,110,0.06,0.1,0.5,110,29100,3.48,8,7.9,10,5e-04,338,0.06,2,5.4,0.002,31,19,0.011,0.05,1.5,12,0.028,1.5,170,70.48,1.6,50,2,4.9,250,99.2,0.25,0.25,0.01,1.5,1.7,549,0.34,1,19.9,0.5,2.2,1,19.3,56,100,2,12,32,52,7.23,2.42,2.67,1.22,0.95,0.046,2.58,0.026,32.94,0.203
"14",17,667085,7683130,0.015,2.5,4360,13.5,0.6,0.25,0.001,1.5,17,620,0.13,0.03,0.001,0.25,2750,20000,3.94,0.033,45,0.003,4.9,13,0.14,18.3,80,0.5,15.5,1.4,5e-04,8590,40100,5.18,8,0.01,0.5,0.0025,400,1.27,10.7,24,3,0.58,0.43,36.41,1790,1.88,93.9,0.08,0.1,0.5,220,30100,3.28,24,10.5,10,5e-04,499,0.11,1.1,5.5,0.002,40,13,0.005,0.05,1.8,18,0.033,1.5,160,69.27,3.7,50,3,6.5,250,99.76,0.25,0.25,0.007,4,4.3,601,0.67,0.25,25.7,0.5,4.6,3.2,11.3,25,170,3,0,31,21,7.14,2.81,3.62,1.05,1.13,0.061,2.43,0.048,32.37,0.401
"15",18,594611,7550950,0.008,2.5,9520,11.18,0.4,0.25,0.003,1.5,80.5,390,0.15,0.011,0.001,3.6,720,20000,2.79,0.029,28,0.001,10.5,20,0.16,60.7,270,0.5,17.6,0.7,5e-04,15300,34600,4.44,4,0.02,0.5,0.0025,1900,0.64,8.6,16,7.2,1.74,0.17,36.71,4070,2.69,186,0.07,0.1,0.5,70,27700,3.11,13,25.8,10,5e-04,234,0.05,1.7,6.1,0.002,34,25,0.012,0.05,1.6,12,0.078,1.5,260,72.49,2.2,50,3,4.8,250,99.56,0.25,0.25,0.008,4,2.7,680,0.36,0.25,28.9,0.5,1.7,1.1,33.5,105,280,1,1,42,1,5.91,1.99,3.1,0.53,1.62,0.054,2.3,0.021,33.88,0.215
"16",19,514744,7584690,0.009,2.5,18000,15.89,1.3,2.2,0.001,1.5,150,650,0.17,0.038,0.001,4.3,250,5000,0.78,0.041,94,0.001,10,14,0.19,35.4,110,0.5,34.1,1.5,5e-04,29700,57900,8.31,6,0.01,0.5,0.0025,4100,2.43,18,51,6.5,2.19,0.73,39.14,6190,2.37,186,0.07,0.1,0.5,90,8200,0.89,36,36.8,10,5e-04,125,0.05,4.3,6.1,0.002,79,15,0.011,0.05,6.4,23,0.07,1.5,140,65.65,6.8,50,4,5,250,99.34,0.25,0.25,0.043,10,14,1060,0.71,0.25,45.6,3,7.6,4.8,47.9,131,280,1,3,30,31,8.41,0.55,5.81,2.01,1.42,0.054,0.66,0.021,30.68,0.425
"17",20,710133,7566830,0.007,2.5,11700,14.16,0.3,0.25,0.001,4,54.8,600,0.25,0.016,0.001,0.25,2500,20000,3.63,0.031,39,0.002,10.1,18,0.17,29.6,140,1,27.8,1,0.0014,17000,40200,5.5,4,0.01,0.5,0.0025,1900,1.9,22.6,26,11.5,1.61,0.27,36.92,4410,2.14,262,0.09,0.1,0.5,200,29400,3.45,22,31.8,10,5e-04,651,0.11,1.4,5.9,0.002,37,26,0.013,0.05,2.8,14,0.048,1.5,160,66.04,3.7,50,2,8.4,250,99.21,0.25,0.25,0.012,8,5.6,1070,0.58,0.25,34.2,0.5,5.5,1.8,30,25,210,3,34,35,1,7.49,2.59,3.84,1.57,1.29,0.069,2.55,0.048,30.86,0.347
"18",21,439900,7647000,0.005,2.5,10600,14.63,0.3,0.25,0.001,3,93.2,740,0.26,0.015,0.001,2.9,3950,30000,4.45,0.025,63,0.001,8.7,17,0.19,40.9,120,0.5,14,1.5,5e-04,15700,40500,5.25,5,0.01,0.5,0.0025,1700,1.18,26.7,37,4.5,1.52,0.27,37.15,5410,2.69,170,0.08,0.1,0.5,220,36600,4.03,25,21.8,10,5e-04,860,0.17,1.5,5.8,0.002,35,18,0.005,0.05,2.6,17,0.023,1.5,120,65.15,4.8,50,3,19.3,700,99.73,1.5,1.5,0.0015,8,5.4,1070,0.59,0.25,46.3,0.5,4,1.8,21.2,25,280,2,2,23,1,7.74,3.18,3.67,0.97,1.62,0.061,2.98,0.074,30.45,0.353
"19",22,734135,7667800,0.012,2.5,13600,14.59,0.5,0.25,0.002,4,124,640,0.4,0.055,0.001,9.7,6940,40000,4.67,0.044,93,0.003,10.8,20,0.24,44.6,150,0.5,29.4,1.8,5e-04,21500,46600,6.13,7,0.02,0.5,0.0025,2400,1.59,22,39,9.7,1.88,0.38,39.35,6410,2.67,301,0.1,0.1,0.5,650,33200,3.58,31,31,10,5e-04,1330,0.27,2.1,6.4,0.002,49,43,0.012,0.05,4.4,19,0.037,1.5,140,61.93,6,50,3,32.5,250,98.24,2.1,0.9,0.014,10,7.6,1360,0.82,2.2,50.1,0.5,7.9,2.1,33.3,119,100,3,0,44,21,7.72,3.33,4.28,1.32,1.61,0.077,2.65,0.117,28.94,0.491
"20",23,787098,7496090,0.007,2.5,5440,13.3,0.2,0.25,0.001,3,24.8,400,0.17,0.033,0.001,3.7,2900,20000,4.28,0.018,37,0.001,5.2,15,0.19,27.8,240,0.5,22.3,0.9,5e-04,8780,30400,4.31,6,0.01,0.5,0.0025,700,1.39,9,16,3.8,1.12,0.26,36.83,2860,2.08,120,0.07,0.1,0.5,220,32200,3.55,11,15.5,10,5e-04,443,0.1,1.2,5.8,0.002,59,24,0.005,0.05,1.7,14,0.028,1.5,140,69.52,2.7,50,5,12,250,100.21,0.25,0.9,0.01,3,2.7,636,0.49,0.25,21.5,0.5,3.5,1.7,10.8,68,140,3,0,45,1,7.03,3.05,3.01,1.15,1.25,0.054,2.63,0.043,32.49,0.293
"21",24,624400,7538200,0.008,2.5,9380,13.46,0.3,0.25,0.001,3,33.8,580,0.21,0.084,0.001,2.8,1950,30000,3.36,0.023,31,0.001,5.7,12,0.16,36.2,180,1,9.5,0.9,5e-04,9510,28700,4.03,6,0.01,0.5,0.0025,1000,1.49,12.8,19,12,1.6,0.25,36.98,3310,2.11,105,0.06,0.1,0.5,120,30800,3.53,14,31.5,10,5e-04,505,0.11,1.5,6.3,0.002,45,16,0.005,0.05,1.7,12,0.022,1.5,130,68.57,2.6,50,3,11.7,700,98.82,0.25,0.25,0.011,5,4.1,676,0.48,1.8,20,0.5,3.1,1.7,24.4,25,160,3,0,41,51,7.12,2.4,2.81,1.23,1.27,0.046,2.61,0.048,32.04,0.287
"22",25,627700,7481300,0.007,2.5,6060,11.45,1,0.25,0.001,3,25.7,390,0.13,0.264,0.001,3,840,20000,2.04,0.019,16,0.001,3.8,9,0.2,23.5,110,1,9.6,0.4,5e-04,6650,20100,3.29,3,0.01,0.5,0.0025,900,1.1,4,9.7,9.4,1.43,0.17,37.85,2270,1.34,68.3,0.07,0.1,0.5,70,20300,2.27,9,17.4,10,5e-04,195,0.05,1.1,5.6,0.002,38,19,0.005,0.1,1.7,7.7,0.038,1.5,280,75.35,1.5,50,4,3.8,250,98.7,0.25,0.25,0.02,1.5,3.2,334,0.32,0.25,15.6,0.5,1.4,0.8,12.8,67,280,3,0,41.9101694915254,1,6.06,1.45,2.3,0.91,0.8,0.054,1.68,0.021,35.21,0.191
"23",26,386646,7541800,0.004,2.5,8410,13.99,0.4,0.25,0.001,1.5,37.5,700,0.27,0.04,0.001,0.25,3870,30000,5.19,0.023,27,0.001,15.2,27,0.2,16.6,64,1,83.6,1,5e-04,15400,54700,7.62,3,0.01,0.5,0.0025,1200,1.64,12.7,15,9.5,1.47,0.29,31.32,3540,2.96,207,0.1,0.4,7,330,30100,3.84,13,17.6,10,5e-04,469,0.12,1.9,5.6,0.002,64,30,0.016,0.2,3.2,20,0.101,1.5,180,62.16,2.6,50,7,7.8,500,99.95,0.25,0.25,0.029,5,4,1160,0.85,1.4,42.3,0.5,4.8,1.9,14.9,98,300,1,3,36,1,7.4,3.7,5.32,1.36,1.78,0.077,2.84,0.052,29.05,0.509
"24",27,713892,7739710,0.01,2.5,23200,14.97,2.6,4.5,0.001,4,29.6,610,0.93,0.149,0.001,0.25,2600,5000,1.14,0.042,83,0.003,17.5,20,0.27,50.2,98,4,44.2,1.1,5e-04,32200,40700,5.22,6,0.02,0.5,0.0025,1000,2.82,21.4,35,26.2,3.59,0.41,29.9,12500,2.38,384,0.06,0.1,0.5,60,23200,2.5,23,41.7,10,5e-04,517,0.12,5.8,5.9,0.002,120,19,0.073,0.6,5,16,0.064,1.5,140,66.92,4.7,50,2,23.3,250,100.41,0.25,0.25,0.021,14,12,1130,0.67,2.7,47.3,0.5,7.7,2.2,67.6,124,160,3,32,30,9,7.92,0.81,3.65,2.34,1.43,0.046,1.85,0.052,31.27,0.401
"25",28,579500,7654700,0.011,2.5,6170,13.84,0.2,0.25,0.001,1.5,40.5,570,0.15,0.011,0.001,3.5,2540,20000,3.81,0.021,46,0.001,5.1,15,0.2,15.7,92,1,33.6,1.2,5e-04,10900,40600,5.63,5,0.01,0.5,0.0025,1000,1.29,10.2,24,3.9,0.8,0.38,32.55,2640,2.17,106,0.08,0.1,0.5,240,26600,2.93,21,10.5,10,5e-04,381,0.1,1.4,5.6,0.002,35,13,0.005,0.05,2.3,18,0.039,1.5,180,69.15,3.8,50,1,7.2,250,100.33,0.25,0.25,0.006,5,4.9,612,0.53,0.25,27.6,0.5,3.5,2.5,13.9,80,110,3,0,32,20,7.32,2.72,3.93,1.07,1.3,0.061,2.17,0.043,32.32,0.317
"26",32,626978,7706730,0.009,2.5,15100,15.09,1,0.25,0.001,3,73.5,580,0.28,0.025,0.001,7.5,4520,30000,4.06,0.052,64,0.002,12.5,19,0.51,46.5,110,0.5,55.4,1.6,5e-04,23400,48700,6.55,8,0.02,0.5,0.0025,1400,1.33,16.7,32,6,1.91,0.5,33.83,7160,2.75,273,0.09,0.1,0.5,390,25300,3,26,35.7,10,5e-04,584,0.14,1.6,5.8,0.002,38,36,0.021,0.05,5.7,23,0.056,1.5,170,63.92,5.3,50,21,14.3,250,99.61,0.25,0.7,0.014,7,5.8,1550,0.77,0.25,58.9,0.5,8,3.2,30.3,97,80,3,34,45,52,7.98,2.9,4.58,1.1,1.65,0.069,2.22,0.061,29.87,0.461
"27",33,649400,7728000,0.005,2.5,7250,14.26,0.9,1.7,0.001,3,19.4,500,0.16,0.014,0.001,12,3260,30000,4.1,0.025,48,0.003,5,11,0.37,22.5,75,0.5,17.7,1.3,5e-04,12400,36500,4.99,8,0.01,0.5,0.0025,600,1.3,10.4,22,3.7,1.46,0.41,36.35,2660,1.9,149,0.08,0.1,0.5,180,29600,3.48,22,13.9,10,5e-04,704,0.16,1.1,5.4,0.002,35,38,0.014,0.05,2.4,18,0.094,1.5,160,67.49,4.3,50,6,9.8,800,99.84,0.25,0.25,0.0015,5,5.1,904,0.62,0.25,32.5,0.5,5,2.5,20.6,25,200,2,4,28,20,7.54,2.93,3.49,1.07,1.14,0.061,2.58,0.069,31.54,0.371
"28",34,454319,7582990,0.004,2.5,19900,13.25,0.9,2.5,0.001,1.5,54.4,720,0.94,0.064,0.001,0.25,1400,5000,2.71,0.029,110,0.002,14.3,20,0.27,59.4,160,0.5,31.6,2.2,5e-04,27800,49900,6.34,12,0.03,0.5,0.0025,900,2.34,40.2,51,8.9,2.93,1.08,33.36,3510,2.07,254,0.08,0.1,0.5,150,25800,2.9,45,31.1,10,5e-04,172,0.04,5.2,5.5,0.002,86,24,0.02,0.05,7.2,20,0.082,1.5,140,64.74,10,50,8,7.7,500,98.11,1.2,1.2,0.013,13,8,1910,0.69,3.1,57,0.5,36.6,7.7,39.8,124,275,1,14,45,51,7.01,1.93,4.43,1.94,1.24,0.061,2.15,0.017,30.25,0.413
"29",35,768134,7543220,0.016,2.5,46600,17.61,1.4,2.4,0.011,1.5,286,1200,3.97,0.043,0.001,0.25,2160,5000,2.54,0.061,260,0.002,5.5,8,0.66,28.8,60,2,14.6,5.1,5e-04,11000,41100,5.72,21,0.02,0.5,0.0025,3100,3.71,128,170,10.6,7.17,0.63,35.51,3330,1.42,361,0.2,0.9,0.5,3220,30000,4.1,110,20.1,10,5e-04,405,0.15,4.8,5.9,0.002,130,44,0.039,0.3,1.6,6,0.076,1.5,190,55.06,16,50,13,618,1000,98.88,8.8,1.8,0.0015,17,13,1450,1.21,4.2,22,0.5,33.6,4.2,70.1,130,170,3,2,35,20,9.32,1.81,4,3.08,0.85,0.154,3.04,0.065,25.73,0.725
"30",36,487156,7769500,0.017,2.5,7530,12.39,0.3,0.25,0.004,1.5,49.9,730,0.19,0.008,0.001,0.25,1040,10000,1.64,0.031,60,0.001,5.9,10,0.21,17.8,69,0.5,19.5,1.5,5e-04,12000,33600,5.2,4,0.01,0.5,0.0025,600,1.83,8.6,34,6,1.13,0.37,36.98,3100,1.97,86.7,0.06,0.1,0.5,110,16600,1.64,21,19.8,10,5e-04,169,0.06,3.4,6,0.002,52,13,0.011,0.05,1.9,13,0.059,1.5,120,74.07,3.4,50,1,8.3,250,100.52,0.25,0.25,0.021,5,3.9,424,0.54,1.1,27.4,0.5,2.6,2.4,30.5,25,280,2,2,39,32,6.55,1.17,3.63,1.51,1.18,0.046,1.21,0.026,34.62,0.323
"31",37,677976,7636660,0.006,2.5,4700,15.4,0.1,0.25,0.001,1.5,53.7,610,0.1,0.0025,0.001,0.25,1840,40000,4.62,0.023,51,0.001,4.2,16,0.14,20.6,130,0.5,11.7,1.6,5e-04,10300,51300,8.06,6,0.01,0.5,0.0025,1100,1.14,8.5,28,3.7,0.56,0.52,37.75,2120,3.21,66,0.12,0.1,0.5,160,28200,2.94,19,11.7,10,5e-04,469,0.15,1,5.7,0.002,36,23,0.005,0.05,1.4,22,0.026,1.5,140,62.92,4.2,50,1,7.3,250,100.14,0.25,0.8,0.007,4,3.7,560,1.02,1.8,30.9,0.5,3.6,3.4,15.5,25,200,3,4,43,22,8.15,3.3,5.63,0.94,1.93,0.092,2.18,0.065,29.4,0.611
"32",38,439125,7533560,0.051,2.5,35000,14.61,12,15,0.001,1.5,46.8,540,0.61,0.044,0.001,4.8,1570,20000,1.84,0.115,29,0.003,28.2,30,0.49,80.5,130,0.5,71.8,0.9,5e-04,59000,65000,8.96,4,0.03,0.5,0.0025,700,1.64,8.5,15,25.2,5.77,0.28,33.91,15500,3.11,770,0.12,1,0.5,80,22100,2.58,7,48.1,10,5e-04,368,0.09,4.9,5.7,0.002,56,45,0.255,0.8,13.5,26,0.117,1.5,100,60.16,2.3,50,6,8.1,250,99.83,1,0.25,0.021,11,5.4,2550,0.95,2.6,161,0.5,6.1,2,85.6,88,240,1,2,31,51,7.73,1.31,6.26,1.36,1.87,0.092,1.91,0.039,28.11,0.569
"33",39,749247,7540980,0.015,2.5,15100,14.08,0.4,0.25,0.001,3,53.7,300,0.2,0.021,0.001,10,4800,40000,5.53,0.02,25,0.003,7.7,24,0.5,39.4,290,0.5,41.2,0.9,5e-04,15500,54600,7.25,5,0.01,0.5,0.0025,1700,1.25,8.4,14,5.6,3.26,0.34,30.85,4690,3.83,147,0.1,0.1,0.5,510,26900,3.02,12,33.6,10,0.0013,559,0.12,1,5.9,0.002,32,60,0.005,0.05,2.9,23,0.109,1.5,150,58.95,2.9,50,9,14.7,250,98.07,0.25,0.25,0.011,4,2.6,917,0.68,1.5,39.3,0.5,4.5,2.3,19.9,62,170,3,3,55,6,7.45,3.95,5.07,1.03,2.3,0.077,2.24,0.052,27.55,0.407
