"","ID","CNo","XCOO","YCOO","SiO2_T","TiO2_T","Al2O3_T","Fe2O3_T","MnO_T","MgO_T","CaO_T","Na2O_T","K2O_T","P2O5_T","SO3_T","Cl_T","F_T","LOI_T","As_T","Ba_T","Bi_T","Ce_T","Co_T","Cr_T","Cs_T","Cu_T","Ga_T","Hf_T","La_T","Mo_T","Nb_T","Ni_T","Pb_T","Rb_T","Sb_T","Sc_T","Sn_T","Sr_T","Ta_T","Th_T","U_T","V_T","W_T","Y_T","Zn_T","Zr_T"
"11",5011,74,475610,7070571,73.12,0.467,10.67,2.47,0.053,0.82,1.73,2.54,2.27,0.156,0.005,0.022,0.021,5.38,2,567,4,33,6,35,2.5,18,11,2.5,10,5,8,1.5,11,67,2.5,8,1,188,2.5,2.5,1.5,41,2.5,10,35,218
"12",5012,98,528089,7272190,2.56,0.035,0.74,0.46,0.009,0.63,1.73,0.14,0.08,0.214,0.18,0.004,0.01,93.06,1,71,1.5,23,1.5,1.5,2.5,59,1.5,2.5,10,1,4,1.5,2,1,2.5,2,1,75,2.5,10,1.5,10,40,8,1.5,1.5
"13",5014,21,-343499.7,6921091.4,71.21,0.602,10.5,4.1,0.078,1.73,1.47,1.82,2.2,0.21,0.005,0.011,0.01,5.77,3,370,4,42,16,73,2.5,37,10,2.5,34,1,9,22,13,77,2.5,13,3,92,2.5,8,1.5,76,2.5,21,95,213
"14",5015,63,-630154.8,6652430.1,62.77,0.574,11.98,3.14,0.043,0.37,1.71,2.82,3.04,0.661,0.005,0.014,0.039,12.49,4,870,1.5,60,1.5,8,2.5,18,17,6,59,1,11,1.5,43,106,2.5,4,3,296,2.5,10,1.5,25,6,16,50,330
"15",5016,33,426329,6873352,72.32,0.455,11.82,2.45,0.053,0.79,2,2.77,2.33,0.131,0.005,0.006,0.01,4.6,4,558,1.5,49,7,27,2.5,16,13,5,34,2,9,5,7,73,5,8,1,202,2.5,8,1.5,43,2.5,16,44,248
"16",5017,210,473411,6720917,54.7,0.771,15.69,7.03,0.064,1.79,1.34,1.75,3.03,0.339,0.005,0.009,0.068,13.13,9,633,6,127,13,87,7,46,24,2.5,70,9,11,26,21,147,2.5,17,1,140,5,19,7,102,5,31,117,210
"17",5018,5,361683,6228041,75.43,0.426,8.19,2.34,0.045,0.68,1.42,0.87,2.31,0.124,0.05,0.009,0.01,7.8,4,374,1.5,69,1.5,31,2.5,25,9,2.5,43,1,6,1.5,15,68,2.5,8,1,89,2.5,12,1.5,33,5,20,43,317
"18",5019,22,321371,6829470,64.75,0.589,13.15,4.21,0.074,1.22,1.89,2.54,2.37,0.232,0.005,0.015,0.01,8.66,7,642,1.5,40,5,45,2.5,23,16,2.5,45,1,6,8,13,74,7,10,2,208,2.5,10,1.5,74,2.5,14,66,200
"19",5020,79,-35084.7,7428269.9,64.63,0.74,13.21,4.85,0.076,1.22,1.72,2.5,2.16,0.239,0.005,0.008,0.01,8.37,6,427,1.5,46,9,49,2.5,15,18,2.5,10,3,13,10,25,91,2.5,14,1,151,2.5,11,1.5,72,2.5,23,92,250
"20",5021,202,387684.1,6569821.4,64.69,0.34,7.78,2.83,0.091,0.64,5.44,0.92,2.45,0.498,0.14,0.012,0.01,13.9,6,331,1.5,60,1.5,31,2.5,25,8,2.5,28,1,1,6,19,79,2.5,8,1,160,2.5,10,1.5,26,2.5,24,78,199
"21",5022,8,468691.9,6324986.9,76.56,0.32,6.52,1.84,0.045,0.47,1.46,0.82,1.88,0.144,0.07,0.015,0.047,9.55,4,342,1.5,43,5,22,2.5,22,6,2.5,25,1,7,1.5,11,56,2.5,7,1,84,2.5,10,1.5,36,2.5,16,27,244
"22",5023,16,362305.4,6319627,88.31,0.121,4.32,0.66,0.024,0.07,0.33,0.61,1.47,0.12,0.005,0.015,0.01,3.76,1,261,1.5,25,1.5,7,2.5,13,4,2.5,22,1,4,1.5,10,51,2.5,3,1,54,2.5,9,1.5,11,2.5,1.5,16,95
"23",5025,110,27458.3,7626220.7,46.07,0.439,13.27,1.73,0.037,0.63,2.4,3.7,2.8,0.458,0.07,0.01,0.088,27.86,2,2007,1.5,66,1.5,18,2.5,12,14,2.5,57,1,3,1.5,10,28,2.5,10,1,366,2.5,8,1.5,37,2.5,9,49,93
"24",5026,223,363480,6073288,88.48,0.186,3.93,1.05,0.027,0.07,0.35,0.54,1.29,0.099,0.05,0.009,0.01,3.64,2,256,1.5,10,1.5,11,2.5,5,3,2.5,10,1,1,1.5,9,44,2.5,4,1,44,2.5,9,1.5,24,2.5,4,13,179
"25",5027,56,-530051.1,7024949.8,50.56,0.671,12.11,3.29,0.043,0.95,3.04,2.59,1.9,0.338,0.13,0.01,0.024,23.89,2,890,1.5,113,1.5,26,2.5,31,16,6,64,5,14,6,19,46,2.5,9,1,566,2.5,7,4,74,2.5,18,42,258
"26",5028,128,-340893.8,7160973.5,53.34,0.72,11.54,4.83,0.07,2.25,2.74,1.9,1.59,0.325,0.07,0.005,0.01,20.34,5,308,1.5,56,6,94,2.5,32,13,6,36,1,10,30,13,52,2.5,16,2,162,6,9,1.5,101,2.5,26,97,153
"27",5029,7,-298454.5,7036859.5,83.28,0.343,6.26,1.51,0.022,0.5,0.46,1.03,2.39,0.128,0.06,0.008,0.01,3.66,1,405,1.5,27,1.5,50,2.5,33,4,2.5,10,3,7,8,15,72,7,4,1,51,2.5,6,1.5,20,6,11,42,196
"28",5030,11,374882.5,6479104.9,78.01,0.278,7.17,1.17,0.023,0.29,0.83,1.03,2.02,0.193,0.04,0.009,0.01,8.68,3,332,1.5,21,1.5,21,2.5,5,8,2.5,10,1,6,1.5,13,66,5,5,1,102,2.5,7,1.5,15,2.5,12,20,192
"29",5031,21,181056.8,6366922.7,74.44,0.362,8.35,2.38,0.028,0.54,1.1,0.95,2.07,0.161,0.1,0.01,0.063,9.15,5,367,1.5,41,1.5,31,2.5,13,10,2.5,27,1,1,5,9,62,2.5,6,3,71,2.5,13,1.5,34,2.5,12,32,134
"30",5032,95,364923.4,7762199.3,73.54,0.486,10.64,3.12,0.05,1.13,2.04,2.74,1.76,0.109,0.02,0.008,0.071,4.04,4,449,1.5,33,5,49,2.5,29,13,2.5,10,1,1,9,9,48,2.5,8,3,170,2.5,12,1.5,42,2.5,16,37,204
"31",5033,64,-617589.1,6606450.1,70.49,0.541,11.89,2.13,0.06,0.42,1.95,3.05,2.76,0.356,0.07,0.008,0.01,5.88,4,664,1.5,40,3,13,2.5,18,17,2.5,10,3,11,4,40,87,2.5,4,2,241,2.5,11,1.5,43,2.5,21,42,383
"32",5034,107,627147.9,7730800.3,45.96,0.671,12.64,6.37,0.078,2.33,3.74,2.09,1.2,0.498,0.08,0.009,0.01,24.02,7,388,1.5,67,16,102,2.5,23,17,2.5,56,2,1,46,8,50,2.5,16,1,281,2.5,9,1.5,124,2.5,15,98,122
"33",5036,90,627749,7173230,9.54,0.072,1.74,1.39,0.016,0.27,1.3,0.44,0.26,0.39,0.16,0.006,0.079,84.2,1,158,1.5,20,1.5,8,2.5,14,1.5,2.5,10,1,4,1.5,2,1,2.5,3,1,134,2.5,2.5,1.5,16,2.5,5,1.5,15
"34",5037,273,424830,7068471,41,0.373,8.32,4.24,0.08,1.06,2.19,1.71,1.48,0.493,0.05,0.008,0.01,38.71,29,458,1.5,53,1.5,39,2.5,20,10,2.5,28,1,7,7,8,46,5,8,1,172,2.5,2.5,5,44,2.5,17,37,138
"35",5038,72,-587031.2,7043366.1,53.15,0.672,14.59,4.83,0.073,1.68,3.44,2.46,1.87,0.356,0.12,0.011,0.08,16.25,2,745,1.5,107,10,62,2.5,26,18,2.5,57,3,12,19,19,66,2.5,13,3,409,2.5,7,1.5,79,2.5,22,61,207
"36",5039,2,331767,6671938,65.63,0.572,12.69,4.44,0.077,1.39,1.55,1.9,2.43,0.15,0.04,0.009,0.036,8.73,7,503,4,44,9,69,2.5,17,14,2.5,40,1,1,20,17,109,2.5,13,1,137,2.5,8,4,74,6,16,80,235
"37",5040,77,618153,7078018,43.52,0.237,6.66,1.52,0.026,0.61,2.24,1.71,1.2,0.313,0.07,0.003,0.063,41.65,1,357,1.5,10,1.5,22,2.5,37,7,2.5,10,1,5,7,6,32,2.5,5,1,194,2.5,2.5,1.5,29,2.5,9,25,92
"38",5041,10,240983,6113361,80.41,0.481,7.2,2.2,0.06,0.51,0.51,0.69,2.43,0.162,0.04,0.009,0.01,4.91,3,389,1.5,43,4,48,2.5,17,7,2.5,25,1,9,11,20,80,2.5,9,1,69,6,11,1.5,36,2.5,18,47,379
"39",5042,17,-359105.2,7118336.2,62.83,0.873,10.76,5.26,0.087,1.12,1.7,1.72,1.1,0.275,0.08,0.008,0.044,13.85,9,216,4,25,8,89,2.5,21,15,2.5,10,8,18,17,10,41,2.5,14,1,122,2.5,6,1.5,108,2.5,14,51,196
"40",5043,75,-100751.1,7317418.3,62.32,0.897,14.44,6.03,0.113,2.64,2.44,2.71,1.8,0.228,0.005,0.011,0.073,5.92,11,432,1.5,93,11,102,2.5,26,18,2.5,43,23,11,34,12,69,2.5,17,1,247,2.5,12,1.5,105,2.5,25,75,218
"41",5044,101,458280,7807600,89.5,0.328,3.41,1.93,0.026,0.57,0.31,0.43,0.61,0.019,0.01,0.014,0.01,2.61,1,168,1.5,21,1.5,37,2.5,5,5,2.5,21,1,7,1.5,10,22,2.5,4,1,34,2.5,7,1.5,29,2.5,11,17,196
"42",5045,53,424130,6973610,72.31,0.297,10.07,1.07,0.023,0.32,1.46,2.39,2.33,0.136,0.06,0.01,0.01,9.17,1,542,1.5,10,1.5,14,2.5,5,11,2.5,30,1,7,1.5,11,69,2.5,5,1,192,2.5,7,1.5,20,2.5,7,17,171
"43",5046,58,-569191.6,6911430.4,52.14,1.388,14.53,8.13,0.205,2.81,4.15,2.66,1.78,0.553,0.06,0.017,0.063,11.09,4,880,5,90,14,63,2.5,24,17,2.5,52,23,17,37,21,61,2.5,19,1,346,2.5,2.5,1.5,127,9,35,129,337
"44",5047,116,-677149.6,6649664.9,55.5,0.754,11.4,5.07,0.074,0.82,2.18,2.44,2.55,0.845,0.04,0.012,0.03,17.88,6,668,1.5,64,7,33,2.5,32,20,2.5,78,1,1,6,65,84,2.5,7,2,284,2.5,11,1.5,78,2.5,16,77,263
"45",5048,121,131429.5,7678465.1,63.18,0.73,12.96,6.04,0.122,2.6,4.12,2.04,1.38,0.218,0.03,0.003,0.01,6.32,3,354,4,54,12,73,2.5,24,14,2.5,59,20,13,15,11,58,2.5,18,1,190,2.5,7,1.5,102,2.5,28,62,181
"46",5049,19,580768,6774393,66.98,0.53,12.79,3.76,0.063,1.03,1.8,2.33,2.35,0.23,0.05,0.009,0.01,7.66,1,543,1.5,60,8,46,2.5,18,15,2.5,37,1,9,11,17,87,2.5,10,3,196,2.5,14,1.5,61,2.5,17,72,278
"47",5050,69,674430,7022540,70.53,0.438,11.91,2.78,0.045,0.8,1.91,2.86,1.87,0.09,0.03,0.01,0.065,6.36,3,508,1.5,29,4,49,2.5,24,13,2.5,10,1,6,6,8,57,2.5,8,1,187,2.5,10,1.5,49,2.5,10,30,182
"48",5051,9,514974.6,6365652.3,83.79,0.314,5.7,1.51,0.072,0.21,0.58,0.71,1.7,0.151,0.04,0.009,0.026,4.87,2,325,1.5,10,1.5,21,2.5,13,6,2.5,38,1,6,1.5,12,58,2.5,5,4,61,2.5,11,1.5,17,2.5,12,45,290
"49",5052,13,205217,6168848,65.37,0.804,12.84,5.18,0.139,1.16,0.61,0.71,3.02,0.121,0.03,0.004,0.01,9.69,10,485,1.5,64,11,69,6,23,15,2.5,41,10,24,15,24,124,2.5,10,4,71,2.5,15,1.5,91,2.5,17,78,230
"50",5053,132,410336,7570168,65.39,0.426,13.58,4.07,0.055,1.95,3.08,3.67,1.88,0.205,0.05,0.012,0.01,5.25,1,758,1.5,41,6,86,2.5,19,16,2.5,115,1,1,31,10,58,2.5,13,1,375,2.5,5,1.5,80,2.5,7,45,104
"51",5054,28,-422917.6,6820445.2,74.21,0.288,11.24,2.07,0.069,0.38,1.09,2.31,2.5,0.164,0.03,0.012,0.01,5.31,4,490,1.5,40,1.5,13,2.5,18,14,2.5,28,3,7,1.5,14,107,2.5,4,1,150,2.5,8,1.5,29,2.5,8,41,123
"52",5055,1,369158,6280472.8,84.33,0.36,5.65,1.1,0.044,0.22,0.57,0.64,2.02,0.144,0.06,0.008,0.037,4.49,3,373,1.5,30,1.5,20,2.5,11,6,2.5,10,3,5,1.5,10,60,2.5,3,1,72,2.5,10,1.5,17,2.5,11,22,401
"53",5056,230,-419182.8,6927265.8,53.31,0.775,14.15,6.88,0.11,3.25,5.36,2.86,1.23,0.282,0.08,0.005,0.01,11.34,4,729,4,35,16,128,2.5,19,15,2.5,33,22,8,32,2,30,2.5,21,1,657,2.5,2.5,1.5,141,2.5,15,63,112
"54",5057,22,309050,6092426,83.06,0.453,5.66,0.96,0.023,0.19,0.61,0.61,2.05,0.151,0.06,0.013,0.01,5.82,1,364,1.5,42,1.5,33,2.5,23,7,6,28,1,6,1.5,25,57,2.5,4,1,80,2.5,8,1.5,18,7,14,52,461
"55",5058,59,724360,6973810,68.48,0.51,11.88,2.69,0.059,0.52,2.17,2.83,1.49,0.203,0.04,0.01,0.01,8.75,5,528,1.5,44,4,33,2.5,5,14,2.5,10,1,7,1.5,12,33,2.5,9,1,265,2.5,9,1.5,56,2.5,8,36,285
"56",5059,4,-310012.8,6891680.6,81.52,0.299,5,1.18,0.023,0.13,0.14,0.52,1.96,0.143,0.04,0.018,0.066,8.69,1,387,1.5,10,1.5,13,2.5,12,5,2.5,10,1,9,1.5,13,60,2.5,3,2,39,2.5,11,1.5,12,6,7,19,195
"57",5060,8,-285724.7,7094991.9,58.47,1.024,11.85,5.74,0.112,2.14,2.51,2.15,1.27,0.388,0.17,0.012,0.035,13.82,3,283,5,48,15,87,2.5,21,15,6,32,1,6,34,13,55,2.5,15,4,156,2.5,5,1.5,105,2.5,16,96,212
"58",5061,51,325270,6973310,44.19,0.31,8.01,2.97,0.048,0.61,1.5,1.75,1.34,0.392,0.02,0.006,0.049,38.54,7,351,1.5,58,1.5,31,2.5,22,8,2.5,35,1,6,7,14,36,2.5,7,1,140,2.5,8,1.5,59,2.5,17,34,156
"59",5062,136,307977,7604854,72.24,0.387,12.54,2.82,0.033,0.87,1.75,3.36,2.53,0.079,0.02,0.02,0.01,2.98,1,712,1.5,23,7,52,2.5,5,15,2.5,10,1,8,6,7,53,2.5,7,1,245,2.5,2.5,1.5,54,2.5,8,14,128
"60",5063,3,434943.9,6567251.7,75.51,0.461,9.07,2.49,0.083,0.4,0.72,1.07,2.73,0.182,0.05,0.019,0.048,6.76,4,481,1.5,65,1.5,23,2.5,12,9,2.5,46,4,8,1.5,19,119,2.5,7,1,93,2.5,14,1.5,34,2.5,18,49,409
"61",5064,9,472408.4,6502828.7,77.99,0.326,8.48,2.08,0.061,0.51,1.25,1.29,2.46,0.142,0.05,0.006,0.01,5.06,5,395,1.5,63,1.5,23,2.5,5,9,6,10,1,4,1.5,13,77,2.5,6,4,111,2.5,9,1.5,29,2.5,16,37,260
"62",5065,125,-680232.5,6868083,50,0.839,15.05,7.18,0.152,4.6,6.94,2.25,0.74,0.658,0.08,0.011,0.037,11.11,5,247,3,30,20,217,2.5,24,18,6,24,4,1,54,20,25,2.5,30,1,302,2.5,2.5,1.5,159,2.5,20,96,109
"63",5066,6,-296193.8,6979069.3,83.31,0.229,4.73,0.54,0.009,0.08,0.19,0.62,2.01,0.162,0.03,0.013,0.062,7.75,1,370,1.5,28,1.5,10,2.5,5,5,2.5,23,2,6,1.5,11,50,2.5,1,1,42,2.5,9,1.5,12,2.5,6,11,137
"64",5067,9,-245761.2,7156253.7,61.7,1.128,12.84,7.18,0.146,2.76,2.45,2.25,1.42,0.354,0.11,0.011,0.01,7.33,12,259,6,33,18,95,2.5,34,16,2.5,33,11,1,36,13,68,2.5,18,2,129,2.5,6,1.5,127,2.5,21,110,177
"65",5068,9,347032,6076044,82.93,0.307,6.44,1.74,0.047,0.45,0.79,0.71,1.93,0.086,0.11,0.014,0.01,4.1,2,328,1.5,58,4,27,2.5,11,4,2.5,30,5,10,3,15,53,2.5,5,1,63,2.5,11,1.5,31,2.5,13,29,250
"66",5069,133,479608,7587860,37.46,0.329,7.39,2.35,0.03,0.84,0.87,0.86,1.07,0.147,0.005,0.008,0.01,48.4,1,370,1.5,24,1.5,48,2.5,5,12,8,26,1,6,7,10,27,2.5,10,1,85,2.5,2.5,1.5,42,2.5,9,30,78
"67",5070,47,-563779.4,6756623.4,73.64,1.239,8.55,5.74,0.07,1.86,1.79,1.23,1.63,0.188,0.03,0.01,0.01,3.68,5,340,4,74,14,22,2.5,18,9,2.5,43,12,1,15,2,58,2.5,9,1,81,6,8,1.5,72,2.5,32,50,255
"68",5071,57,-547617.9,6959023.7,63.12,0.837,13.34,3.56,0.057,0.65,2.21,3.19,2.63,0.391,0.04,0.005,0.01,9.44,3,1140,1.5,119,1.5,23,2.5,15,18,9,63,5,1,1.5,25,74,2.5,8,5,461,2.5,8,1.5,57,2.5,23,73,442
"69",5072,12,428642.5,6405344.5,84.49,0.31,5.67,1.35,0.049,0.22,0.83,0.5,1.92,0.167,0.03,0.002,0.038,4.2,3,295,4,48,1.5,18,2.5,12,5,2.5,10,1,5,1.5,11,49,2.5,4,1,59,2.5,8,1.5,8,2.5,10,27,265
"70",5074,48,-535986.3,6781061.9,60.01,1.349,12.64,7.86,0.113,2.6,3.1,2.23,1.78,0.182,0.07,0.009,0.056,7.63,7,404,1.5,106,20,41,2.5,50,15,6,46,16,2,27,19,64,2.5,16,2,143,2.5,11,1.5,116,2.5,32,109,208
"71",5075,77,-127169,7354091.9,74.78,0.65,9.24,3.92,0.091,1.08,1.97,2.08,1.13,0.152,0.06,0.011,0.01,4.54,9,220,3,10,11,90,2.5,5,14,2.5,10,1,11,8,13,42,2.5,10,1,165,2.5,6,1.5,71,2.5,16,36,130
"72",5076,126,425330,7520588,66.1,0.625,12.18,3.95,0.048,1.42,2.55,3.01,1.58,0.185,0.05,0.013,0.073,7.92,6,488,1.5,10,10,65,2.5,19,17,2.5,10,1,1,17,5,45,2.5,13,1,233,2.5,6,1.5,101,2.5,12,34,127
"73",5078,15,-156072.8,7264253,63.52,0.998,11.42,4,0.063,1.67,1.66,2.28,1.33,0.144,0.05,0.01,0.044,12.51,5,275,1.5,10,5,126,2.5,5,15,2.5,10,1,13,18,14,43,2.5,15,1,110,2.5,6,1.5,94,2.5,16,49,210
"74",5079,49,-520128.5,6852115.6,68.73,0.73,13.69,4.24,0.085,1.01,1.77,3.19,3.75,0.165,0.03,0.008,0.01,2.15,6,1005,4,104,7,18,6,20,19,8,48,2,11,1.5,14,132,2.5,12,1,153,2.5,9,1.5,49,5,41,74,362
"75",5080,19,-336086.5,7011499.8,65.03,0.621,11.79,4.27,0.108,1.68,1.62,1.59,2.68,0.262,0.005,0.004,0.01,10.03,4,493,1.5,73,9,61,2.5,26,15,8,40,1,8,22,13,102,6,14,1,119,2.5,10,1.5,75,2.5,18,104,185
"76",5081,69,-620539.1,6900712.7,52.11,1.006,18.41,8.26,0.214,2.54,0.48,1.32,3.67,0.718,0.06,0.007,0.143,10.73,15,599,1.5,118,16,88,8,37,25,6,71,21,17,24,24,168,2.5,17,3,87,2.5,16,4,160,2.5,35,165,214
"77",5082,16,-304009.2,7205816.9,61,0.838,13.94,6.01,0.103,2.69,2.45,2.31,1.85,0.218,0.05,0.012,0.01,8.21,7,392,1.5,60,13,103,5,22,14,2.5,44,1,1,40,8,76,2.5,18,1,159,2.5,9,3,125,2.5,25,86,188
"78",5083,111,-121135.4,7414727.8,63.87,0.709,11.84,6.64,0.201,2.08,3.46,1.85,0.77,0.155,0.05,0.012,0.01,8.06,3,195,1.5,40,5,56,2.5,5,13,2.5,10,1,1,6,9,27,2.5,24,1,182,2.5,2.5,1.5,80,2.5,46,53,169
"79",5084,66,-673906.6,6739980.7,60.97,0.548,11.39,2.88,0.034,0.55,1.48,2.65,2.94,0.352,0.05,0.01,0.01,15.75,4,659,1.5,53,1.5,17,2.5,13,21,2.5,10,1,11,1.5,28,117,2.5,4,2,262,2.5,10,1.5,49,2.5,7,51,228
"80",5085,85,383547,7178127,77.26,0.233,10.36,1.21,0.026,0.49,1.56,2.83,2.24,0.061,0.02,0.02,0.01,3.35,1,577,1.5,10,1.5,18,2.5,5,9,2.5,37,1,4,1.5,2,62,2.5,7,1,200,2.5,6,1.5,37,2.5,5,12,110
"81",5086,78,383747,7122850,25.21,0.283,5.74,3.13,0.041,0.71,1.35,1.02,0.99,0.407,0.03,0.004,0.076,60.79,3,297,1.5,51,1.5,35,2.5,43,5,2.5,41,1,7,7,2,33,2.5,9,1,118,2.5,6,1.5,45,2.5,14,31,79
"82",5087,292,476509,7217612,16.65,0.108,3.03,1.53,0.018,0.54,1.31,0.74,0.52,0.492,0.14,0.009,0.01,74.74,1,179,1.5,24,1.5,13,2.5,31,1.5,2.5,10,1,6,1.5,2,10,2.5,3,1,76,2.5,2.5,1.5,13,2.5,3,9,34
"83",5088,106,617453,7322920,3.91,0.029,1.66,6.77,0.047,0.14,1.49,0.1,0.09,0.629,0.005,0.009,0.01,85.04,1,122,1.5,10,1.5,17,2.5,18,1.5,2.5,10,1,4,1.5,2,3,2.5,2,1,95,2.5,2.5,1.5,5,2.5,5,8,1.5
"84",5089,1,281987,6671838,64.77,0.539,12.56,4.98,0.058,1.24,1.28,1.68,2.78,0.231,0.04,0.005,0.01,9.46,8,470,1.5,48,11,60,2.5,12,17,2.5,28,7,6,11,23,131,5,12,1,116,2.5,14,3,75,2.5,12,66,162
"85",5090,113,-649187.4,6953343.9,58.92,1.236,13.21,5.46,0.078,1.04,2.58,3.36,2.82,0.426,0.03,0.012,0.047,10.29,2,1273,1.5,95,6,6,2.5,5,19,7,72,11,18,1.5,31,59,2.5,8,1,406,6,6,1.5,54,2.5,31,64,500
"86",5091,27,570372,6823372,22.49,0.108,3.59,1.05,0.019,0.39,2.06,0.75,0.62,0.217,0.12,0.004,0.01,68.36,1,171,1.5,40,1.5,9,2.5,53,4,2.5,10,1,6,3,5,16,2.5,4,1,152,2.5,6,6,12,2.5,8,5,46
"87",5092,8,381109,6070784,80.49,0.374,7.16,2.2,0.045,0.6,0.57,0.63,2.32,0.102,0.09,0.009,0.01,5.07,4,342,1.5,32,4,32,2.5,13,8,2.5,10,1,4,5,12,74,7,4,3,66,2.5,11,1.5,44,2.5,14,34,265
"88",5093,97,479808,7267792,68.81,0.402,11.35,2.69,0.045,0.87,2.04,2.97,2.06,0.246,0.06,0.009,0.032,8.05,1,560,1.5,28,6,40,2.5,30,14,2.5,10,1,6,6,13,66,2.5,6,1,218,2.5,7,1.5,45,2.5,7,28,170
"89",5094,96,417633,7275188,65.46,0.368,10.96,2.89,0.038,1.09,2.49,3.07,2.05,0.291,0.11,0.016,0.049,10.78,1,571,5,10,1.5,48,2.5,12,12,2.5,10,1,6,4,6,51,2.5,7,1,226,2.5,5,1.5,52,2.5,12,43,177
"90",5095,61,-591638,6773221.3,61.75,1.369,10.65,7.89,0.097,1.87,3.44,2.02,1.36,0.163,0.03,0.008,0.05,9,1,449,1.5,27,15,42,2.5,5,14,7,27,16,1,9,9,48,2.5,14,1,152,2.5,8,1.5,97,2.5,18,47,163
"91",5096,34,-324947,6767973.3,76.89,0.559,9.31,3.03,0.057,1.05,1.1,1.57,2.42,0.181,0.005,0.005,0.01,3.55,1,420,1.5,64,5,35,2.5,15,7,2.5,37,2,10,11,8,82,2.5,10,1,88,2.5,8,1.5,47,7,20,42,281
"92",5097,93,369898.1,7680652.2,70.92,0.513,11.62,3.67,0.038,1.41,2.24,3.75,1.72,0.07,0.005,0.033,0.028,3.72,1,437,1.5,10,4,69,2.5,10,15,6,10,3,7,16,2,55,2.5,9,1,172,2.5,6,4,63,2.5,5,19,198
"93",5098,113,372951,7423328,37.64,0.454,8.91,3.91,0.038,1.42,2.15,2.15,1.44,0.385,0.12,0.016,0.01,41.1,3,500,1.5,87,1.5,47,2.5,22,8,2.5,46,1,10,11,8,44,2.5,10,1,162,2.5,5,1.5,47,2.5,19,31,118
