"","I7","I9","I11","I13","I14","I16","I20","I22","I23","I24","I25","I26"
"86",6,6,6,6,6,6,6,6,6,6,5,5
"87",6,6,6,3,6,5,6,4,6,4,4,4
"88",6,6,6,5,6,3,5,5,5,5,4,4
"89",6,5,6,5,6,3,3,5,6,5,5,5
"90",6,6,6,5,6,6,6,6,6,5,4,1
"91",6,6,6,6,6,4,6,6,6,5,3,5
"92",3,4,6,4,5,3,4,3,6,6,1,6
"93",6,6,6,6,6,6,6,6,6,6,5,4
"94",6,6,6,6,6,5,6,6,6,6,6,6
"95",6,6,6,6,6,5,5,5,5,3,5,5
"96",6,6,6,5,5,5,6,3,5,4,5,4
"97",6,5,6,6,6,3,5,6,6,3,4,3
"98",6,6,6,5,5,6,5,3,3,3,3,4
"99",6,6,6,6,6,3,6,6,6,5,6,6
"100",6,5,6,5,5,5,5,6,6,5,5,6
"101",5,5,6,5,5,2,4,6,3,5,4,5
"102",4,4,3,2,4,4,4,6,5,4,6,5
"103",6,6,5,6,6,6,2,6,6,5,5,5
"104",3,5,6,5,4,5,5,5,5,5,5,5
"105",5,6,6,5,5,3,5,5,6,5,4,4
"106",4,6,6,5,6,5,5,5,6,4,4,6
"107",5,6,6,6,6,6,6,6,6,6,5,6
"108",6,6,6,3,6,6,6,1,6,6,6,6
"109",3,4,5,4,2,4,5,3,3,3,3,5
"110",3,2,3,4,5,3,4,4,5,4,1,4
"111",5,5,6,4,6,4,5,6,5,5,5,6
"112",4,6,6,5,6,6,6,6,6,5,5,5
"113",6,5,6,6,6,6,6,6,6,6,6,6
"114",5,5,6,5,6,5,5,6,5,6,5,5
"115",6,6,6,6,6,6,6,6,6,6,1,6
"116",2,4,6,3,4,3,5,4,5,5,5,4
"117",5,6,6,5,6,6,6,5,6,5,6,6
"118",6,6,6,6,6,6,6,6,6,6,6,6
"119",4,2,4,2,4,4,4,5,4,4,4,4
"120",6,5,6,6,6,5,4,6,6,6,6,6
"121",5,5,5,3,4,5,4,4,6,5,6,5
"122",2,2,6,5,4,5,5,4,3,4,6,5
"123",2,6,6,5,6,5,4,4,4,5,6,4
"124",1,5,6,6,5,6,6,5,6,6,5,2
"125",6,6,6,6,6,6,6,6,6,6,6,6
"126",6,3,5,2,5,6,4,6,5,2,2,4
"127",4,5,5,5,2,2,2,2,5,5,2,5
"128",5,6,6,5,6,5,4,6,6,6,5,5
"129",4,5,6,2,6,3,5,6,6,3,1,6
"130",6,3,4,5,5,6,4,6,6,3,4,6
"131",6,6,6,6,6,6,6,6,6,6,6,6
"132",6,4,4,4,4,1,3,4,6,4,4,4
"133",6,2,6,6,5,4,6,6,4,5,4,5
"134",6,6,6,6,4,6,6,5,6,5,3,6
"135",6,6,6,3,6,5,6,6,6,5,5,6
"136",6,6,6,6,6,6,6,6,6,6,5,6
"137",5,6,6,5,5,5,5,6,4,4,3,5
"138",4,4,4,4,6,4,3,4,5,5,2,5
"139",2,3,2,3,4,4,2,5,4,2,1,2
"140",6,6,6,6,6,3,6,6,6,6,6,6
"141",6,3,3,1,1,1,4,5,2,6,5,4
"142",2,5,6,4,5,5,2,2,5,6,2,4
"143",1,4,3,6,5,2,4,6,4,6,2,6
"144",6,4,4,2,2,4,2,5,6,6,1,6
"145",1,1,3,4,2,4,2,6,6,6,6,6
"146",5,4,6,3,6,6,4,3,6,3,4,2
"147",3,1,2,2,2,5,5,4,2,4,5,6
"148",6,6,6,6,6,6,6,6,6,6,6,6
"149",4,5,6,5,5,5,5,6,6,6,3,4
"150",6,6,6,4,6,1,5,5,5,5,6,3
"151",6,6,6,6,6,6,6,6,6,6,6,6
"152",6,6,6,6,6,6,6,6,6,6,6,6
"153",6,6,6,6,6,6,6,6,6,6,6,6
"154",6,5,6,4,5,5,4,5,5,4,4,4
"155",5,6,6,3,6,4,3,5,4,5,5,4
"156",5,4,2,4,5,1,3,5,6,6,5,6
"157",5,5,6,5,6,2,5,2,2,2,2,2
"158",5,5,6,4,5,3,4,5,5,3,3,4
"159",2,6,6,5,6,5,6,6,4,3,4,4
"160",5,5,5,5,5,5,4,5,6,5,2,5
"161",6,1,6,6,6,6,6,6,6,6,4,5
"162",5,5,5,5,5,4,4,6,5,5,2,5
"163",6,6,6,6,4,5,6,3,4,6,5,4
"164",5,5,6,4,6,4,6,5,6,4,6,6
"165",6,6,6,6,6,5,6,6,5,6,4,6
"166",6,6,6,6,6,6,6,6,6,6,5,6
"167",6,6,6,6,6,6,5,6,6,6,6,6
"168",6,6,6,4,6,3,5,4,6,5,4,4
"169",5,5,6,5,6,4,6,4,4,4,4,4
"170",6,6,1,6,3,6,6,1,6,4,6,5
"171",5,6,6,3,6,3,5,6,4,5,5,6
"172",5,5,6,6,5,5,5,5,5,5,4,5
"173",6,6,6,6,6,4,6,6,6,6,6,6
"174",5,6,6,4,5,5,4,5,6,3,4,4
"175",2,3,3,4,5,3,2,4,6,4,1,2
"176",5,6,6,4,5,1,6,6,3,2,2,4
"177",4,6,6,6,6,5,6,6,6,5,4,5
"178",4,6,6,5,6,4,1,6,6,1,3,1
"179",3,4,6,2,5,1,5,4,5,4,4,2
"180",6,6,6,3,6,2,3,5,5,4,3,6
"181",4,6,6,6,6,4,3,6,6,6,1,1
"182",4,3,2,2,3,1,4,2,5,2,2,3
"183",5,3,6,2,3,3,3,2,2,3,1,2
"184",4,3,5,5,1,5,4,5,4,5,6,4
"185",6,6,6,6,6,6,6,6,6,6,6,6
"186",2,5,5,3,5,3,3,4,4,3,4,3
"187",5,5,6,5,6,5,5,4,4,4,4,4
"188",6,6,6,6,6,6,5,4,6,6,4,5
"189",5,6,6,5,6,5,5,6,6,5,6,5
"190",5,5,5,5,5,5,5,5,5,5,5,5
"191",6,6,6,6,6,6,6,6,6,6,6,6
"192",6,6,6,5,6,5,5,5,4,5,4,5
"193",6,6,6,4,6,6,6,6,5,6,4,6
"194",6,6,6,5,6,5,6,6,6,6,6,6
"195",5,5,5,5,1,5,5,5,5,5,3,4
"196",6,3,6,6,6,3,6,4,6,3,6,4
"197",6,1,1,6,6,6,6,6,6,6,2,6
"198",6,6,6,6,6,5,6,6,6,6,6,6
"199",6,3,6,3,3,4,5,3,5,5,4,5
"200",2,3,5,5,5,6,3,6,5,5,2,6
"201",4,3,5,5,4,5,4,5,5,5,4,5
"202",1,1,6,6,6,3,4,5,5,4,3,6
"203",1,6,6,6,6,5,5,6,6,6,5,6
"204",6,6,6,3,3,3,4,5,4,5,1,4
"205",5,4,6,5,5,5,6,6,6,5,2,6
"206",5,6,6,6,1,5,6,6,6,6,1,6
"207",5,3,6,2,5,3,5,4,6,4,5,4
"208",1,5,5,2,1,1,2,1,5,1,1,1
"209",5,6,6,4,6,3,6,5,6,6,4,4
"210",6,3,3,2,3,2,3,2,4,2,3,4
"211",6,6,6,5,6,6,6,6,6,6,6,6
"212",3,3,5,6,6,5,5,5,5,5,3,5
"213",6,3,6,3,6,5,5,6,6,6,4,5
"214",6,6,6,6,6,6,6,6,6,6,1,6
"215",6,6,6,3,6,6,6,6,6,6,5,6
"216",6,6,6,6,6,5,5,6,5,6,3,5
"217",4,6,6,5,6,6,5,6,6,6,6,6
"218",6,4,6,6,6,6,3,6,6,6,5,2
"219",6,6,6,6,6,6,6,6,6,6,4,6
"220",6,5,6,5,6,5,6,6,6,6,4,6
"221",2,3,2,5,3,6,6,6,6,6,5,6
"222",5,5,6,4,2,5,5,6,5,4,6,4
"223",5,1,6,5,6,5,5,6,6,6,5,6
"224",6,6,6,4,6,5,5,6,5,5,4,5
"225",3,2,6,3,5,5,3,5,6,6,4,5
"226",6,6,6,5,5,5,5,6,5,4,5,5
"227",6,6,6,5,6,6,6,6,6,5,6,6
"228",5,6,6,5,5,6,5,6,6,6,6,6
"229",6,6,6,1,1,4,2,5,5,2,3,3
"230",6,6,6,4,5,6,4,4,6,6,5,5
"231",6,6,6,3,5,6,5,6,6,6,6,6
"232",3,5,5,4,5,4,3,5,5,4,4,4
"233",1,5,5,4,5,3,4,6,6,4,4,3
"234",6,6,6,6,6,6,6,6,6,6,6,6
"235",4,4,4,3,5,5,3,6,6,4,3,6
"236",5,5,6,6,6,5,6,5,5,5,5,5
"237",6,5,6,3,4,2,3,6,2,6,6,6
"238",6,6,6,6,6,6,6,6,6,6,6,6
"239",6,3,6,3,6,5,5,5,5,6,6,3
"240",4,5,5,5,5,5,4,5,5,4,2,5
"241",6,3,6,5,3,6,5,4,3,6,3,5
"242",3,5,4,2,5,4,3,6,3,4,6,4
"243",3,3,3,3,5,5,3,5,4,3,4,5
"244",4,6,6,5,5,5,6,6,6,6,6,5
"245",2,4,4,2,2,3,1,6,2,1,3,2
"246",4,6,6,5,4,6,5,3,5,6,5,4
"247",6,5,5,4,5,5,5,5,6,5,5,5
"248",4,5,6,4,5,5,4,6,4,4,4,4
"249",2,6,2,6,6,3,4,6,6,5,5,5
"250",6,6,6,6,6,5,6,6,6,6,5,6
"251",5,6,6,2,6,5,5,4,6,6,3,6
"252",5,5,6,6,6,6,6,6,6,5,5,6
"253",5,6,6,6,6,5,5,6,3,3,5,6
"254",6,6,6,6,6,5,5,6,6,3,3,6
"255",6,6,6,6,6,6,6,6,6,6,6,6
"256",5,6,6,5,6,6,5,6,6,5,4,6
"257",5,5,6,5,6,6,6,6,6,5,5,6
"258",2,5,5,5,5,4,5,6,6,5,3,5
"259",5,5,6,4,5,4,5,6,6,5,3,4
"260",6,6,6,6,6,4,6,4,3,5,6,4
"261",6,2,4,5,4,4,4,4,3,4,4,4
"262",6,5,6,6,6,5,6,6,6,6,6,6
"263",6,6,6,6,1,3,6,5,6,5,5,5
"264",6,6,6,6,6,6,6,6,6,6,6,6
"265",6,6,6,6,6,6,6,6,6,3,6,6
"266",5,5,5,6,6,5,6,6,6,6,5,1
"267",5,2,6,4,6,4,5,6,6,4,4,5
"268",6,6,6,5,6,6,6,6,6,6,6,6
"269",5,5,5,5,3,6,4,6,6,5,4,3
"270",6,4,6,4,6,6,5,6,1,1,3,6
"271",6,6,6,6,6,5,6,5,6,5,6,5
"272",6,6,6,6,6,6,6,6,5,6,6,6
"273",6,4,6,6,6,3,4,6,6,5,5,6
"274",6,6,6,4,5,6,4,2,6,5,1,5
"275",4,4,6,6,4,5,6,6,6,6,6,5
"276",5,5,6,6,6,5,6,5,2,3,2,3
"277",5,5,6,4,4,5,5,5,6,5,6,5
"278",5,6,6,6,6,4,4,6,6,5,3,5
"279",6,6,6,6,6,4,4,6,6,5,3,5
"280",5,6,6,6,6,4,3,6,6,6,3,6
"281",6,6,6,6,6,6,6,1,5,6,6,6
"282",5,6,6,5,6,6,6,3,6,6,6,6
"283",6,6,6,5,6,4,3,5,5,3,3,4
"284",5,6,6,6,6,5,6,5,6,5,6,5
"285",5,5,6,5,5,3,5,5,5,5,4,5
"286",6,4,6,6,6,3,5,5,6,5,1,6
"287",5,5,6,3,5,5,5,4,5,6,6,6
"288",5,5,6,4,4,5,4,5,5,5,6,6
"289",3,6,6,6,3,4,4,6,6,6,6,6
"290",6,6,6,6,6,6,6,6,6,6,6,6
"291",6,6,6,5,6,5,6,6,6,6,6,6
"292",6,5,6,2,2,3,5,5,5,4,5,4
"293",4,6,6,4,6,6,6,5,5,6,4,5
"294",6,6,6,3,5,6,6,6,6,6,5,6
"295",6,6,6,5,5,4,6,5,5,5,6,6
"296",6,6,6,5,6,6,6,6,6,6,6,6
"297",5,5,5,5,5,5,3,3,2,5,3,2
"298",5,6,6,6,6,5,5,5,5,5,4,5
"299",5,5,6,6,3,4,5,6,6,4,5,4
"300",5,6,6,6,6,5,6,6,6,6,3,6
"301",5,3,6,6,4,3,4,5,4,3,4,4
"302",3,6,6,6,6,6,6,6,6,6,2,6
"303",6,3,5,2,5,2,2,5,5,5,5,5
"304",3,6,6,5,1,5,5,5,5,5,5,5
"305",5,6,6,6,6,5,5,5,5,5,4,5
"306",5,5,6,5,5,4,5,6,6,5,4,5
"307",5,6,6,6,6,6,6,6,6,6,5,6
"308",5,5,5,5,5,4,5,5,5,5,5,3
"309",6,6,6,6,6,6,6,6,6,6,6,6
"310",6,1,6,6,1,6,6,6,6,6,6,6
"311",6,6,6,3,6,6,6,6,6,6,6,6
"312",6,6,6,3,6,5,4,2,5,5,6,1
"313",5,4,5,3,5,3,4,5,5,4,3,5
"314",3,5,5,5,5,4,3,5,6,5,4,5
"315",6,5,6,6,5,2,2,5,5,4,1,3
"316",3,2,4,2,2,1,3,4,4,1,1,1
"317",3,3,5,2,1,1,2,2,5,2,2,1
"318",2,4,5,5,4,3,3,3,5,3,3,4
"319",2,3,5,5,3,2,4,5,5,3,2,3
"320",5,6,6,5,6,6,6,6,6,6,6,6
"321",6,6,6,5,6,6,6,6,6,6,6,6
"322",5,4,5,3,5,6,4,3,4,4,2,5
"323",4,4,5,1,3,6,4,6,6,5,2,5
"324",4,4,5,3,4,6,5,5,6,5,3,5
"325",6,6,6,6,6,4,5,6,6,5,6,6
"326",6,6,6,4,6,4,5,6,6,5,4,5
"327",6,6,6,3,6,4,6,2,2,6,6,6
"328",6,6,6,3,4,5,5,5,6,6,6,4
"329",6,3,2,3,4,6,5,6,5,6,6,2
"330",4,4,5,3,5,3,6,5,5,4,5,5
"331",6,6,6,6,4,6,5,6,6,5,2,5
"332",6,6,6,6,6,6,6,6,6,6,6,6
"333",6,6,6,6,6,6,5,6,6,6,6,6
"334",5,6,6,6,6,5,5,6,6,6,4,6
"335",4,5,6,5,6,4,5,5,6,6,6,6
"336",4,6,5,1,6,6,6,6,6,6,3,5
"337",6,6,5,1,6,3,6,6,6,6,6,5
"338",5,5,6,5,6,6,6,6,6,6,6,6
"339",3,5,6,4,5,4,3,5,5,5,3,4
"340",5,2,6,4,5,2,2,3,5,5,5,3
"341",3,4,4,4,5,2,4,4,5,4,3,5
"342",4,6,6,6,6,6,5,6,6,6,4,6
"343",6,6,6,6,6,6,6,5,5,6,6,6
"344",4,5,6,5,5,5,4,5,6,5,6,5
"345",5,2,6,5,6,4,5,5,6,5,2,5
"346",6,6,6,6,6,6,6,6,6,6,6,6
"347",3,4,4,6,6,5,2,6,6,6,6,6
"348",6,6,6,6,6,6,6,6,6,6,6,6
"349",1,6,6,6,1,1,1,6,6,1,6,1
"350",6,5,3,3,4,6,3,6,5,5,3,5
"351",6,6,6,6,6,6,6,6,6,6,6,6
"352",2,5,6,5,6,6,5,5,6,5,5,4
"353",5,4,5,5,5,2,4,5,6,5,4,5
"354",5,5,6,5,4,1,6,6,6,6,5,3
"355",3,2,6,5,2,2,5,5,5,2,6,3
"356",5,5,6,5,6,5,5,5,5,4,4,3
"357",5,4,5,5,5,5,5,5,5,5,5,5
"358",6,6,6,6,6,5,5,5,6,5,6,5
"359",4,6,6,5,5,5,5,6,5,5,3,6
"360",4,4,4,4,1,5,6,5,6,5,6,6
"361",5,6,6,5,5,6,5,5,5,6,6,5
"362",5,5,5,4,5,5,5,6,6,5,4,5
"363",5,5,6,1,5,2,5,5,5,4,5,5
"364",6,6,6,6,6,6,5,6,6,6,6,6
"365",5,5,6,5,2,4,4,3,6,5,5,4
"366",5,4,6,4,5,4,5,5,5,4,5,5
"367",3,5,3,3,5,3,5,6,3,4,4,4
"368",5,5,6,3,5,5,6,6,6,5,6,6
"369",5,5,6,2,4,6,6,6,4,6,5,6
"370",5,5,5,6,1,5,5,5,4,4,5,5
"371",5,4,4,2,5,4,4,5,5,4,3,3
