"","x1","x2","y"
"117",0.3582739,-0.3750247,0
"118",0.6878879,-0.6103876,0
"119",-0.2171284,-1.048523,0
"120",0.2399975,-0.4301941,0
"121",-0.7208717,-0.9524643,0
"122",0.1557643,0.472523,1
"123",0.9874783,-0.6240337,0
"124",-2.320344,0.7727743,0
"125",0.8164504,0.7731562,1
"126",-2.073397,-0.76418,1
"127",-0.9707811,0.8730365,1
"128",0.3967188,-0.8824386,0
"129",1.379128,0.1067295,1
"130",1.618432,0.2419091,0
"131",-1.279662,0.4738425,1
"132",0.0444465,0.5793569,1
"133",0.2102261,0.9520606,1
"134",-0.0318686,-0.7325617,0
"135",0.5661351,-1.25404,0
"136",1.49565,-0.1670587,0
"137",-1.087431,-0.227564,0
"138",-0.0113004,0.3262514,1
"139",0.1624234,0.3123911,1
"140",0.3696526,-0.2629356,0
"141",0.7510444,-0.798212,0
"142",0.5697968,0.350573,1
"143",-0.4343619,0.4544983,1
"144",0.5441354,-0.6035059,0
"145",0.1596874,-0.4882297,0
"146",-0.1871217,0.7063758,1
"147",-0.0716196,0.7696019,1
"148",0.6508668,0.8358028,1
"149",0.7502659,0.0271215,1
"150",0.6725437,-0.2674722,0
"151",-1.998061,-0.6954695,1
"152",-0.040223,-0.4523465,0
"153",-1.263349,0.1863081,0
"154",-0.1439978,-0.5856377,0
"155",-0.4392288,-0.3017587,0
"156",1.468948,0.2946917,1
"157",-1.014299,-0.4185115,0
"158",-0.237636,-0.2615728,0
"159",-0.2974226,-0.6074979,0
"160",0.8320354,-0.8102472,0
"161",-0.5082395,-0.3879131,0
"162",-1.540136,-0.0049434,0
"163",-0.9335315,-0.6546009,0
"164",-1.020816,-0.3561882,0
"165",0.7905532,0.2703129,1
"166",0.0603006,-0.4539962,0
"167",0.3969474,-0.420789,0
"168",-0.4997912,-0.3524421,0
"169",0.3106683,-0.6242685,0
"170",0.0846884,1.063438,1
"171",0.0303222,-1.096408,0
"172",-1.553712,0.0692366,0
"173",0.3286748,0.7247069,1
"174",1.564,-0.6207105,1
"175",1.027002,-0.5276046,0
"176",-1.507678,-0.0347419,1
"177",-0.1419149,1.464879,1
"178",0.9028291,-0.5531639,0
"179",-1.603201,-0.3768632,1
"180",-0.4554414,-1.291563,0
"181",-0.8136595,-0.3567682,0
"182",1.708886,-0.0777641,1
"183",0.8973281,-0.4550207,0
"184",0.5708048,0.1215415,1
"185",0.9857831,0.2719941,1
"186",0.0968011,-0.6149658,0
"187",-0.5810855,0.623613,1
"188",0.3724869,0.9883274,1
"189",-0.3827088,-0.8324596,0
"190",1.830812,0.1156637,0
"191",-0.147685,-0.9315363,0
"192",-1.290645,0.0104971,0
"193",0.6690358,-1.327523,0
"194",-0.7987651,-0.4761452,0
"195",0.7347747,0.3456108,1
"196",0.0885182,-0.1909391,0
"197",-1.669619,0.1491009,1
"198",-0.4748087,0.0478842,0
"199",0.6394839,-0.1341841,0
"200",-0.1106722,-0.4594543,0
