"","id","nhood","hour","month","reason","resident","age","male","race","citation"
"70",70,"2",23,"Feb","MV nodanger",0,"40+",0,"B",1
"71",71,"4",23,"Feb","MV danger",0,"30-39",1,"A",0
"72",72,"3",19,"Jan","MV nodanger",0,"30-39",1,"B",1
"73",73,"1",3,"Jan","MV nodanger",1,"40+",1,"B",0
"74",74,"3",9,"Feb","mech/reg",0,"40+",0,"W",0
"75",75,"6",11,"Jan","MV nodanger",1,"18-29",0,"A",1
"76",76,"2",15,"Jan","MV nodanger",0,"30-39",0,"H",1
"77",77,"6",5,"Jan","MV danger",1,"18-29",1,"B",1
"78",78,"5",19,"Jan","MV danger",1,"30-39",1,"B",1
"79",79,"7",14,"Feb","MV danger",0,"under 18",1,"A",1
"80",80,"1",14,"Jan","MV danger",0,"18-29",1,"W",1
"81",81,"1",23,"Jan","MV nodanger",1,"18-29",1,"B",1
"82",82,"6",22,"Feb","MV nodanger",1,"under 18",1,"B",0
"83",83,"5",10,"Feb","MV nodanger",1,"30-39",1,"A",1
"84",84,"1",20,"Jan","MV nodanger",0,"18-29",1,"B",1
"85",85,"3",21,"Feb","MV danger",0,"40+",0,"W",1
"86",86,"2",4,"Feb","MV danger",1,"18-29",0,"B",1
"87",87,"5",16,"Feb","MV nodanger",1,"18-29",1,"W",0
"88",88,"5",23,"Jan","mech/reg",0,"30-39",1,"B",1
"89",89,"5",12,"Feb","mech/reg",0,"18-29",1,"B",1
"90",90,"1",10,"Feb","MV danger",1,"18-29",1,"W",1
"91",91,"6",6,"Jan","MV danger",1,"40+",1,"W",1
"92",92,"2",15,"Feb","MV nodanger",0,"40+",1,"B",1
"93",93,"5",8,"Feb","MV danger",0,"under 18",1,"B",1
"94",94,"7",21,"Feb","MV nodanger",1,"18-29",0,"A",0
"95",95,"6",8,"Jan","MV nodanger",1,"18-29",1,"B",0
"96",96,"2",15,"Feb","MV nodanger",1,"18-29",1,"B",1
"97",97,"7",8,"Jan","mech/reg",0,"18-29",1,"B",0
"98",98,"4",7,"Feb","mech/reg",1,"18-29",1,"B",1
"99",99,"7",11,"Feb","mech/reg",0,"30-39",1,"B",1
"100",100,"6",22,"Jan","mech/reg",0,"30-39",1,"W",1
"101",101,"7",15,"Jan","mech/reg",0,"18-29",1,"A",1
"102",102,"4",10,"Jan","MV danger",1,"18-29",1,"H",1
"103",103,"5",4,"Feb","mech/reg",1,"40+",1,"B",0
"104",104,"7",11,"Jan","MV danger",1,"30-39",1,"A",1
"105",105,"3",20,"Jan","MV danger",0,"40+",1,"B",0
"106",106,"4",10,"Jan","MV danger",1,"30-39",1,"H",1
"107",107,"3",23,"Jan","MV danger",0,"18-29",1,"W",1
"108",108,"5",14,"Jan","MV danger",1,"18-29",1,"B",1
"109",109,"1",2,"Feb","MV nodanger",0,"30-39",1,"B",1
"110",110,"6",0,"Feb","MV danger",1,"40+",0,"B",1
"111",111,"7",4,"Feb","MV danger",0,"30-39",1,"B",1
"112",112,"4",21,"Jan","MV danger",0,"18-29",1,"A",1
"113",113,"5",13,"Feb","mech/reg",0,"40+",1,"H",1
"114",114,"5",10,"Mar","MV nodanger",0,"under 18",1,"W",1
"115",115,"4",7,"Feb","MV nodanger",0,"30-39",1,"H",1
"116",116,"4",5,"Feb","mech/reg",1,"40+",0,"B",0
"117",117,"3",7,"Feb","MV nodanger",1,"40+",1,"W",0
"118",118,"1",22,"Feb","MV nodanger",0,"40+",1,"W",1
"119",119,"3",12,"Feb","MV nodanger",1,"30-39",1,"H",1
"120",120,"3",8,"Feb","MV danger",0,"40+",0,"W",1
"121",121,"4",19,"Jan","MV danger",1,"40+",0,"H",1
"122",122,"1",10,"Jan","MV danger",1,"18-29",1,"B",1
"123",123,"1",14,"Jan","MV nodanger",0,"40+",1,"A",0
"124",124,"2",17,"Jan","MV nodanger",0,"40+",1,"B",1
"125",125,"4",7,"Feb","mech/reg",0,"30-39",1,"B",0
"126",126,"7",16,"Jan","MV nodanger",1,"18-29",1,"B",1
"127",127,"6",10,"Feb","MV danger",0,"40+",1,"W",1
"128",128,"5",13,"Jan","MV danger",1,"40+",1,"B",1
"129",129,"7",4,"Feb","MV nodanger",1,"18-29",1,"B",1
"130",130,"2",1,"Jan","MV nodanger",1,"18-29",1,"B",0
"131",131,"6",17,"Feb","MV nodanger",1,"18-29",1,"A",1
"132",132,"5",19,"Feb","mech/reg",0,"18-29",1,"B",0
"133",133,"7",17,"Feb","MV danger",1,"40+",1,"B",1
"134",134,"6",11,"Jan","MV danger",1,"18-29",1,"W",1
"135",135,"3",0,"Feb","MV nodanger",0,"30-39",1,"W",1
"136",136,"7",8,"Jan","MV nodanger",1,"18-29",1,"A",1
"137",137,"4",23,"Jan","mech/reg",0,"30-39",1,"B",0
"138",138,"7",14,"Jan","MV danger",1,"30-39",0,"A",1
"139",139,"5",19,"Feb","MV nodanger",0,"18-29",0,"B",1
"140",140,"7",9,"Jan","MV nodanger",1,"30-39",1,"B",0
"141",141,"7",7,"Feb","MV nodanger",1,"40+",1,"H",1
"142",142,"3",21,"Feb","MV nodanger",0,"under 18",1,"H",1
"143",143,"7",0,"Jan","MV danger",0,"40+",0,"W",1
"144",144,"2",19,"Feb","MV nodanger",1,"40+",1,"B",0
"145",145,"4",2,"Feb","MV danger",0,"18-29",1,"A",1
"146",146,"6",6,"Jan","mech/reg",0,"18-29",1,"A",1
"147",147,"4",21,"Feb","MV nodanger",0,"40+",0,"B",0
"148",148,"2",20,"Jan","MV nodanger",0,"30-39",1,"H",1
"149",149,"4",9,"Jan","MV danger",0,"40+",1,"H",1
"150",150,"5",17,"Feb","MV nodanger",1,"18-29",0,"B",1
"151",151,"2",9,"Feb","MV danger",1,"30-39",1,"B",1
"152",152,"5",14,"Feb","mech/reg",0,"18-29",1,"W",1
"153",153,"2",1,"Feb","mech/reg",0,"18-29",0,"B",0
"154",154,"6",7,"Jan","MV nodanger",1,"30-39",0,"W",1
"155",155,"6",19,"Jan","MV nodanger",0,"40+",1,"H",1
"156",156,"3",0,"Jan","MV nodanger",0,"40+",1,"B",0
"157",157,"3",5,"Feb","MV nodanger",0,"30-39",1,"W",0
"158",158,"7",2,"Jan","MV nodanger",1,"40+",1,"B",0
"159",159,"6",4,"Feb","MV nodanger",0,"18-29",1,"B",1
"160",160,"4",12,"Jan","MV nodanger",1,"30-39",1,"H",1
"161",161,"5",18,"Feb","MV nodanger",0,"18-29",1,"W",0
"162",162,"2",8,"Feb","MV nodanger",1,"30-39",1,"B",1
"163",163,"6",10,"Jan","MV nodanger",0,"30-39",1,"W",0
"164",164,"1",13,"Jan","MV nodanger",1,"40+",1,"B",1
"165",165,"7",21,"Feb","MV danger",1,"40+",1,"B",1
"166",166,"6",5,"Feb","MV nodanger",0,"30-39",0,"A",0
"167",167,"7",14,"Feb","MV danger",0,"under 18",1,"B",1
"168",168,"4",19,"Feb","MV danger",0,"18-29",1,"W",1
"169",169,"3",2,"Jan","MV danger",0,"30-39",1,"W",0
"170",170,"2",12,"Feb","MV nodanger",1,"30-39",1,"B",0
"171",171,"2",7,"Feb","MV nodanger",1,"40+",1,"B",0
"172",172,"3",11,"Feb","MV nodanger",0,"40+",1,"W",0
"173",173,"3",8,"Feb","MV nodanger",0,"40+",1,"W",1
"174",174,"6",2,"Feb","MV danger",0,"18-29",1,"B",1
"175",175,"1",8,"Jan","MV nodanger",0,"18-29",1,"A",1
"176",176,"2",4,"Jan","MV danger",0,"18-29",0,"B",1
"177",177,"6",22,"Jan","mech/reg",1,"40+",1,"B",1
"178",178,"3",21,"Jan","MV danger",0,"40+",1,"W",1
"179",179,"4",13,"Jan","MV danger",1,"18-29",1,"H",1
"180",180,"7",23,"Jan","MV nodanger",1,"40+",1,"B",1
"181",181,"6",6,"Jan","MV nodanger",0,"40+",1,"W",1
"182",182,"1",20,"Feb","MV danger",0,"30-39",0,"B",0
"183",183,"6",19,"Jan","mech/reg",0,"18-29",1,"A",1
"184",184,"6",5,"Feb","MV nodanger",1,"18-29",0,"A",1
"185",185,"2",9,"Jan","MV nodanger",1,"30-39",1,"B",1
"186",186,"2",20,"Jan","mech/reg",0,"18-29",1,"B",0
"187",187,"3",23,"Jan","mech/reg",0,"30-39",1,"W",0
"188",188,"6",13,"Jan","MV danger",0,"40+",0,"W",1
"189",189,"6",17,"Feb","MV nodanger",1,"40+",0,"B",0
"190",190,"3",15,"Feb","MV danger",0,"40+",1,"W",1
"191",191,"3",3,"Jan","MV danger",1,"18-29",1,"B",1
"192",192,"2",12,"Jan","MV danger",1,"18-29",0,"H",1
"193",193,"3",23,"Feb","MV danger",0,"40+",0,"W",0
"194",194,"2",7,"Feb","MV nodanger",1,"18-29",1,"H",0
"195",195,"2",11,"Jan","MV danger",1,"18-29",1,"B",1
"196",196,"2",12,"Feb","MV danger",0,"40+",1,"W",0
"197",197,"6",14,"Feb","MV nodanger",1,"30-39",1,"A",1
"198",198,"6",19,"Jan","MV danger",0,"40+",1,"H",1
"199",199,"4",20,"Feb","MV nodanger",0,"30-39",1,"B",0
"200",200,"5",8,"Feb","mech/reg",0,"under 18",0,"B",1
"201",201,"7",23,"Jan","MV danger",0,"40+",1,"B",1
"202",202,"2",22,"Jan","MV danger",0,"18-29",1,"B",1
"203",203,"2",21,"Jan","MV nodanger",0,"30-39",1,"H",1
"204",204,"4",19,"Feb","MV nodanger",0,"40+",0,"W",1
"205",205,"1",20,"Jan","MV danger",1,"under 18",0,"H",1
"206",206,"1",16,"Feb","mech/reg",1,"18-29",0,"W",1
"207",207,"3",22,"Jan","mech/reg",0,"30-39",0,"B",0
"208",208,"3",9,"Feb","MV nodanger",0,"40+",1,"W",1
"209",209,"1",5,"Jan","MV danger",0,"18-29",1,"B",0
"210",210,"1",4,"Jan","mech/reg",1,"18-29",0,"B",1
"211",211,"1",5,"Feb","MV danger",0,"40+",1,"W",1
"212",212,"2",9,"Jan","MV danger",0,"18-29",0,"B",1
"213",213,"2",19,"Feb","MV danger",0,"40+",1,"H",1
"214",214,"2",1,"Feb","MV nodanger",1,"under 18",0,"B",1
"215",215,"5",23,"Feb","mech/reg",0,"18-29",1,"W",0
"216",216,"1",12,"Jan","MV nodanger",0,"18-29",1,"B",1
"217",217,"1",18,"Feb","MV danger",1,"40+",0,"B",0
"218",218,"7",22,"Jan","MV nodanger",0,"18-29",1,"B",1
"219",219,"3",13,"Feb","MV nodanger",1,"18-29",1,"B",1
"220",220,"7",3,"Feb","mech/reg",0,"40+",1,"B",0
"221",221,"5",3,"Feb","MV danger",0,"40+",1,"B",1
"222",222,"7",3,"Jan","MV danger",0,"18-29",1,"W",0
"223",223,"6",2,"Jan","MV nodanger",1,"40+",1,"B",0
"224",224,"7",10,"Jan","MV danger",1,"18-29",0,"W",1
"225",225,"4",11,"Feb","MV nodanger",1,"30-39",1,"H",1
"226",226,"1",19,"Feb","mech/reg",0,"40+",1,"B",0
"227",227,"3",14,"Jan","MV danger",0,"30-39",1,"W",1
"228",228,"4",22,"Feb","MV nodanger",1,"30-39",1,"A",0
"229",229,"7",9,"Feb","MV danger",0,"18-29",1,"A",1
"230",230,"7",19,"Feb","MV nodanger",1,"40+",1,"B",1
"231",231,"2",22,"Jan","MV nodanger",0,"30-39",1,"B",1
"232",232,"3",23,"Jan","MV danger",0,"18-29",1,"H",0
"233",233,"5",10,"Feb","MV danger",0,"18-29",1,"W",1
"234",234,"2",20,"Jan","mech/reg",0,"30-39",0,"B",0
"235",235,"6",0,"Feb","MV nodanger",0,"18-29",1,"B",0
"236",236,"6",10,"Feb","mech/reg",1,"18-29",0,"W",1
"237",237,"1",19,"Jan","MV nodanger",1,"18-29",0,"B",0
"238",238,"3",13,"Feb","MV danger",1,"40+",1,"W",1
"239",239,"3",9,"Feb","mech/reg",0,"18-29",1,"B",1
"240",240,"2",21,"Jan","MV nodanger",0,"40+",1,"B",0
"241",241,"6",16,"Feb","mech/reg",0,"40+",1,"W",1
"242",242,"3",21,"Feb","MV nodanger",1,"40+",1,"B",0
"243",243,"2",20,"Jan","MV nodanger",0,"40+",0,"W",0
"244",244,"4",9,"Jan","MV nodanger",1,"40+",1,"H",1
"245",245,"2",6,"Feb","mech/reg",0,"18-29",1,"B",0
"246",246,"2",14,"Jan","MV nodanger",1,"under 18",1,"B",1
"247",247,"2",13,"Jan","mech/reg",1,"40+",1,"H",1
"248",248,"7",2,"Jan","MV danger",1,"30-39",1,"A",1
"249",249,"1",22,"Feb","mech/reg",0,"18-29",1,"B",0
"250",250,"5",2,"Feb","MV nodanger",1,"40+",1,"B",0
"251",251,"3",13,"Jan","MV danger",0,"18-29",1,"W",1
"252",252,"4",20,"Jan","MV nodanger",1,"40+",1,"W",1
"253",253,"4",2,"Jan","MV nodanger",1,"40+",1,"B",0
"254",254,"1",15,"Jan","MV danger",1,"18-29",1,"B",0
"255",255,"1",13,"Feb","mech/reg",0,"18-29",1,"B",0
"256",256,"4",5,"Feb","MV nodanger",0,"40+",1,"W",1
"257",257,"4",3,"Mar","MV nodanger",0,"18-29",1,"H",1
"258",258,"2",15,"Feb","MV danger",1,"18-29",1,"H",1
"259",259,"7",3,"Feb","MV danger",0,"30-39",1,"B",0
"260",260,"3",3,"Feb","MV nodanger",1,"40+",0,"W",0
"261",261,"3",3,"Jan","MV danger",1,"18-29",0,"B",1
"262",262,"4",7,"Jan","mech/reg",0,"18-29",1,"H",0
"263",263,"5",23,"Jan","MV nodanger",1,"40+",1,"B",0
"264",264,"7",7,"Feb","MV nodanger",0,"18-29",1,"W",1
"265",265,"7",19,"Feb","MV nodanger",1,"40+",1,"H",1
"266",266,"4",10,"Feb","MV nodanger",1,"18-29",0,"B",1
"267",267,"7",2,"Feb","MV nodanger",1,"18-29",1,"A",0
"268",268,"7",11,"Jan","MV danger",1,"30-39",1,"B",1
"269",269,"5",11,"Feb","MV nodanger",1,"30-39",0,"W",1
"270",270,"7",20,"Jan","MV nodanger",1,"40+",1,"A",0
"271",271,"3",7,"Mar","MV nodanger",0,"18-29",0,"A",0
"272",272,"1",7,"Jan","MV nodanger",1,"40+",1,"B",0
"273",273,"7",8,"Jan","mech/reg",0,"30-39",1,"B",1
"274",274,"3",5,"Jan","MV danger",0,"18-29",1,"W",0
"275",275,"7",13,"Feb","mech/reg",1,"40+",1,"B",0
"276",276,"3",21,"Feb","MV nodanger",0,"18-29",1,"W",1
"277",277,"6",18,"Feb","mech/reg",0,"18-29",1,"B",0
"278",278,"2",16,"Jan","MV danger",0,"18-29",1,"H",1
"279",279,"7",3,"Feb","MV nodanger",0,"40+",0,"H",1
"280",280,"6",18,"Feb","MV danger",0,"30-39",1,"W",1
"281",281,"2",16,"Feb","mech/reg",1,"18-29",0,"B",1
"282",282,"1",12,"Jan","MV nodanger",1,"40+",1,"W",0
"283",283,"6",4,"Jan","mech/reg",0,"18-29",1,"B",1
"284",284,"4",18,"Jan","MV danger",0,"30-39",1,"A",1
"285",285,"1",16,"Jan","MV nodanger",1,"18-29",1,"H",1
"286",286,"7",11,"Jan","MV danger",0,"18-29",1,"A",1
"287",287,"4",12,"Jan","MV danger",0,"18-29",1,"A",1
"288",288,"6",21,"Jan","MV danger",0,"18-29",1,"B",1
"289",289,"4",7,"Jan","MV nodanger",0,"18-29",1,"W",1
"290",290,"3",16,"Feb","mech/reg",0,"40+",0,"B",1
"291",291,"4",19,"Feb","MV nodanger",0,"30-39",1,"W",1
"292",292,"3",11,"Feb","MV nodanger",1,"18-29",1,"W",1
"293",293,"2",2,"Jan","mech/reg",0,"30-39",0,"W",1
"294",294,"4",4,"Jan","MV nodanger",1,"18-29",1,"H",0
"295",295,"2",13,"Jan","MV danger",1,"18-29",0,"B",1
"296",296,"5",16,"Jan","MV danger",1,"40+",1,"B",0
"297",297,"6",10,"Jan","MV nodanger",1,"40+",1,"W",1
"298",298,"7",6,"Jan","MV nodanger",0,"30-39",0,"A",0
"299",299,"1",17,"Feb","MV danger",0,"40+",1,"B",1
"300",300,"7",3,"Feb","MV nodanger",1,"40+",0,"W",0
"301",301,"6",0,"Jan","mech/reg",0,"40+",0,"W",1
"302",302,"4",10,"Jan","mech/reg",0,"18-29",1,"B",0
"303",303,"7",16,"Jan","MV nodanger",1,"30-39",1,"B",1
"304",304,"4",4,"Jan","MV nodanger",0,"18-29",1,"W",1
"305",305,"5",14,"Feb","MV nodanger",0,"40+",1,"W",1
"306",306,"4",2,"Jan","MV nodanger",0,"40+",1,"B",0
"307",307,"2",11,"Jan","MV danger",0,"under 18",1,"B",1
"308",308,"2",14,"Feb","MV nodanger",0,"40+",1,"B",1
"309",309,"4",3,"Jan","MV danger",0,"18-29",1,"A",1
"310",310,"6",14,"Jan","MV danger",1,"18-29",0,"A",1
"311",311,"6",20,"Jan","mech/reg",0,"30-39",1,"B",0
"312",312,"7",0,"Jan","MV nodanger",0,"18-29",1,"H",1
"313",313,"1",6,"Jan","mech/reg",0,"40+",1,"A",0
"314",314,"7",12,"Feb","MV nodanger",0,"30-39",0,"B",1
"315",315,"1",8,"Feb","MV nodanger",0,"30-39",0,"B",1
"316",316,"1",16,"Feb","MV nodanger",0,"18-29",1,"H",1
"317",317,"4",6,"Jan","MV nodanger",0,"40+",1,"B",1
"318",318,"2",13,"Feb","MV danger",1,"18-29",1,"B",0
"319",319,"4",17,"Feb","mech/reg",1,"40+",1,"H",1
"320",320,"1",3,"Feb","MV nodanger",0,"18-29",1,"B",1
"321",321,"7",15,"Jan","MV danger",0,"40+",1,"W",1
"322",322,"5",15,"Feb","MV danger",0,"40+",0,"W",1
"323",323,"2",23,"Feb","MV danger",0,"40+",1,"B",1
"324",324,"3",8,"Jan","MV nodanger",1,"18-29",1,"B",0
"325",325,"3",23,"Jan","MV nodanger",1,"18-29",0,"B",0
"326",326,"7",12,"Jan","MV nodanger",1,"18-29",1,"B",0
"327",327,"5",13,"Feb","mech/reg",0,"30-39",1,"B",0
"328",328,"6",1,"Jan","MV nodanger",1,"18-29",1,"B",0
"329",329,"6",5,"Jan","MV nodanger",1,"40+",1,"B",1
"330",330,"2",9,"Jan","MV nodanger",1,"18-29",1,"B",1
"331",331,"1",3,"Feb","MV danger",1,"18-29",1,"B",1
"332",332,"3",17,"Jan","MV nodanger",1,"40+",1,"W",1
"333",333,"2",9,"Jan","MV danger",0,"18-29",1,"B",1
"334",334,"1",16,"Jan","MV nodanger",1,"18-29",1,"B",1
"335",335,"2",11,"Jan","mech/reg",1,"18-29",1,"B",1
"336",336,"2",8,"Jan","MV nodanger",1,"18-29",0,"B",1
"337",337,"5",16,"Feb","mech/reg",1,"under 18",1,"B",1
"338",338,"1",23,"Feb","MV danger",0,"18-29",1,"W",0
"339",339,"3",4,"Feb","MV danger",1,"30-39",1,"W",0
"340",340,"7",14,"Feb","mech/reg",1,"40+",1,"B",0
"341",341,"6",15,"Jan","MV nodanger",1,"18-29",0,"B",1
"342",342,"6",13,"Jan","mech/reg",1,"18-29",1,"W",1
"343",343,"6",23,"Feb","mech/reg",0,"40+",1,"W",1
"344",344,"5",14,"Feb","MV nodanger",0,"18-29",0,"B",1
"345",345,"4",4,"Jan","MV nodanger",1,"30-39",1,"B",0
"346",346,"6",14,"Jan","MV nodanger",0,"18-29",1,"B",1
"347",347,"6",22,"Feb","MV nodanger",1,"30-39",1,"H",1
"348",348,"7",17,"Jan","MV danger",0,"40+",0,"W",1
"349",349,"2",16,"Jan","MV nodanger",1,"40+",0,"A",1
"350",350,"1",15,"Feb","MV nodanger",0,"18-29",1,"H",1
"351",351,"4",18,"Jan","mech/reg",0,"under 18",0,"H",1
"352",352,"6",11,"Feb","MV danger",1,"18-29",1,"W",1
"353",353,"3",11,"Feb","MV danger",0,"40+",1,"W",1
"354",354,"5",9,"Feb","MV danger",0,"18-29",1,"A",1
"355",355,"1",3,"Jan","MV nodanger",1,"30-39",1,"B",0
"356",356,"7",5,"Jan","mech/reg",1,"40+",1,"B",0
"357",357,"4",21,"Jan","MV nodanger",0,"30-39",1,"B",0
"358",358,"7",14,"Jan","MV nodanger",1,"18-29",1,"B",0
"359",359,"4",4,"Jan","mech/reg",1,"40+",1,"B",0
"360",360,"4",2,"Jan","mech/reg",0,"30-39",1,"B",0
"361",361,"1",15,"Jan","MV nodanger",1,"40+",1,"B",1
"362",362,"5",22,"Feb","MV danger",1,"40+",1,"A",0
"363",363,"4",17,"Feb","MV nodanger",0,"18-29",1,"B",1
"364",364,"6",6,"Jan","MV danger",1,"under 18",1,"W",1
"365",365,"6",23,"Jan","MV danger",1,"40+",0,"W",1
"366",366,"7",21,"Jan","MV nodanger",1,"40+",1,"B",0
"367",367,"2",15,"Feb","mech/reg",1,"18-29",0,"B",0
"368",368,"1",8,"Feb","mech/reg",1,"40+",0,"B",1
"369",369,"6",22,"Jan","MV nodanger",1,"40+",0,"W",0
"370",370,"3",7,"Feb","MV danger",1,"18-29",1,"H",1
"371",371,"5",19,"Feb","MV nodanger",1,"18-29",1,"B",0
"372",372,"2",15,"Feb","MV danger",0,"30-39",1,"H",1
"373",373,"3",20,"Feb","MV danger",0,"18-29",1,"W",0
"374",374,"3",22,"Feb","mech/reg",0,"40+",1,"B",0
"375",375,"7",18,"Jan","MV nodanger",0,"18-29",1,"W",1
"376",376,"4",8,"Feb","MV danger",1,"40+",1,"H",1
"377",377,"1",1,"Feb","MV nodanger",0,"40+",1,"W",1
"378",378,"6",18,"Jan","MV nodanger",1,"18-29",1,"A",1
"379",379,"3",4,"Feb","MV nodanger",0,"40+",1,"W",1
"380",380,"2",18,"Jan","MV nodanger",1,"18-29",1,"B",0
"381",381,"6",14,"Jan","MV danger",1,"40+",1,"H",1
"382",382,"6",7,"Feb","MV nodanger",0,"40+",0,"H",0
"383",383,"1",0,"Feb","MV nodanger",0,"18-29",1,"B",1
"384",384,"6",8,"Feb","MV danger",1,"under 18",1,"B",1
"385",385,"1",1,"Jan","MV danger",1,"18-29",1,"B",0
"386",386,"5",7,"Jan","MV nodanger",0,"30-39",1,"B",1
"387",387,"4",7,"Jan","MV nodanger",1,"40+",1,"B",0
"388",388,"1",4,"Feb","MV nodanger",1,"under 18",1,"B",0
"389",389,"3",9,"Jan","MV nodanger",0,"40+",0,"W",1
"390",390,"3",13,"Jan","MV danger",1,"18-29",1,"W",1
"391",391,"4",23,"Jan","MV nodanger",0,"18-29",1,"H",1
"392",392,"2",22,"Feb","MV danger",0,"30-39",1,"H",0
"393",393,"1",4,"Jan","MV nodanger",1,"18-29",1,"B",1
"394",394,"5",13,"Feb","MV nodanger",1,"18-29",1,"B",0
"395",395,"4",8,"Jan","MV nodanger",0,"18-29",1,"H",1
"396",396,"5",14,"Jan","MV nodanger",0,"18-29",1,"B",1
"397",397,"2",7,"Jan","MV danger",1,"40+",1,"B",1
"398",398,"3",13,"Feb","MV danger",0,"40+",1,"A",1
"399",399,"6",15,"Feb","MV nodanger",0,"18-29",1,"B",1
"400",400,"1",22,"Jan","mech/reg",0,"40+",0,"B",1
