"Package","Item","Title","csv","doc"
"datasets","OrchardSprays","Potency of Orchard Sprays",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/OrchardSprays.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/OrchardSprays.html">DOC</a>
"datasets","PlantGrowth","Results from an Experiment on Plant Growth",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/PlantGrowth.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/PlantGrowth.html">DOC</a>
"datasets","Puromycin","Reaction Velocity of an Enzymatic Reaction",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/Puromycin.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/Puromycin.html">DOC</a>
"datasets","Titanic","Survival of passengers on the Titanic",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/Titanic.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/Titanic.html">DOC</a>
"datasets","ToothGrowth","The Effect of Vitamin C on Tooth Growth in Guinea Pigs",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/ToothGrowth.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/ToothGrowth.html">DOC</a>
"datasets","UCBAdmissions","Student Admissions at UC Berkeley",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/UCBAdmissions.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/UCBAdmissions.html">DOC</a>
"datasets","UKDriverDeaths","Road Casualties in Great Britain 1969-84",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/UKDriverDeaths.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/UKDriverDeaths.html">DOC</a>
"datasets","UKgas","UK Quarterly Gas Consumption",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/UKgas.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/UKgas.html">DOC</a>
"datasets","USAccDeaths","Accidental Deaths in the US 1973-1978",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/USAccDeaths.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/USAccDeaths.html">DOC</a>
"datasets","USArrests","Violent Crime Rates by US State",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/USArrests.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/USArrests.html">DOC</a>
"datasets","USJudgeRatings","Lawyers' Ratings of State Judges in the US Superior Court",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/USJudgeRatings.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/USJudgeRatings.html">DOC</a>
"datasets","USPersonalExpenditure","Personal Expenditure Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/USPersonalExpenditure.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/USPersonalExpenditure.html">DOC</a>
"datasets","VADeaths","Death Rates in Virginia (1940)",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/VADeaths.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/VADeaths.html">DOC</a>
"datasets","WWWusage","Internet Usage per Minute",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/WWWusage.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/WWWusage.html">DOC</a>
"datasets","WorldPhones","The World's Telephones",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/WorldPhones.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/WorldPhones.html">DOC</a>
"datasets","airmiles","Passenger Miles on Commercial US Airlines, 1937-1960",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/airmiles.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/airmiles.html">DOC</a>
"datasets","airquality","New York Air Quality Measurements",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/airquality.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/airquality.html">DOC</a>
"datasets","anscombe","Anscombe's Quartet of 'Identical' Simple Linear Regressions",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/anscombe.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/anscombe.html">DOC</a>
"datasets","attenu","The Joyner-Boore Attenuation Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/attenu.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/attenu.html">DOC</a>
"datasets","attitude","The Chatterjee-Price Attitude Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/attitude.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/attitude.html">DOC</a>
"datasets","austres","Quarterly Time Series of the Number of Australian Residents",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/austres.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/austres.html">DOC</a>
"datasets","cars","Speed and Stopping Distances of Cars",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/cars.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/cars.html">DOC</a>
"datasets","chickwts","Chicken Weights by Feed Type",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/chickwts.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/chickwts.html">DOC</a>
"datasets","co2","Mauna Loa Atmospheric CO2 Concentration",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/co2.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/co2.html">DOC</a>
"datasets","crimtab","Student's 3000 Criminals Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/crimtab.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/crimtab.html">DOC</a>
"datasets","discoveries","Yearly Numbers of Important Discoveries",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/discoveries.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/discoveries.html">DOC</a>
"datasets","esoph","Smoking, Alcohol and (O)esophageal Cancer",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/esoph.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/esoph.html">DOC</a>
"datasets","euro","Conversion Rates of Euro Currencies",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/euro.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/euro.html">DOC</a>
"datasets","faithful","Old Faithful Geyser Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/faithful.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/faithful.html">DOC</a>
"datasets","freeny","Freeny's Revenue Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/freeny.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/freeny.html">DOC</a>
"datasets","infert","Infertility after Spontaneous and Induced Abortion",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/infert.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/infert.html">DOC</a>
"datasets","iris","Edgar Anderson's Iris Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/iris.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/iris.html">DOC</a>
"datasets","islands","Areas of the World's Major Landmasses",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/islands.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/islands.html">DOC</a>
"datasets","lh","Luteinizing Hormone in Blood Samples",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/lh.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/lh.html">DOC</a>
"datasets","longley","Longley's Economic Regression Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/longley.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/longley.html">DOC</a>
"datasets","lynx","Annual Canadian Lynx trappings 1821-1934",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/lynx.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/lynx.html">DOC</a>
"datasets","morley","Michelson Speed of Light Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/morley.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/morley.html">DOC</a>
"datasets","mtcars","Motor Trend Car Road Tests",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/mtcars.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/mtcars.html">DOC</a>
"datasets","nhtemp","Average Yearly Temperatures in New Haven",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/nhtemp.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/nhtemp.html">DOC</a>
"datasets","nottem","Average Monthly Temperatures at Nottingham, 1920-1939",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/nottem.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/nottem.html">DOC</a>
"datasets","npk","Classical N, P, K Factorial Experiment",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/npk.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/npk.html">DOC</a>
"datasets","occupationalStatus","Occupational Status of Fathers and their Sons",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/occupationalStatus.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/occupationalStatus.html">DOC</a>
"datasets","precip","Annual Precipitation in US Cities",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/precip.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/precip.html">DOC</a>
"datasets","presidents","Quarterly Approval Ratings of US Presidents",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/presidents.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/presidents.html">DOC</a>
"datasets","pressure","Vapor Pressure of Mercury as a Function of Temperature",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/pressure.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/pressure.html">DOC</a>
"datasets","quakes","Locations of Earthquakes off Fiji",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/quakes.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/quakes.html">DOC</a>
"datasets","randu","Random Numbers from Congruential Generator RANDU",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/randu.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/randu.html">DOC</a>
"datasets","rivers","Lengths of Major North American Rivers",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/rivers.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/rivers.html">DOC</a>
"datasets","rock","Measurements on Petroleum Rock Samples",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/rock.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/rock.html">DOC</a>
"datasets","sleep","Student's Sleep Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/sleep.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/sleep.html">DOC</a>
"datasets","stackloss","Brownlee's Stack Loss Plant Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/stackloss.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/stackloss.html">DOC</a>
"datasets","sunspot.month","Monthly Sunspot Data, from 1749 to ""Present""",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/sunspot.month.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/sunspot.month.html">DOC</a>
"datasets","sunspot.year","Yearly Sunspot Data, 1700-1988",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/sunspot.year.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/sunspot.year.html">DOC</a>
"datasets","sunspots","Monthly Sunspot Numbers, 1749-1983",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/sunspots.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/sunspots.html">DOC</a>
"datasets","swiss","Swiss Fertility and Socioeconomic Indicators (1888) Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/swiss.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/swiss.html">DOC</a>
"datasets","treering","Yearly Treering Data, -6000-1979",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/treering.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/treering.html">DOC</a>
"datasets","trees","Girth, Height and Volume for Black Cherry Trees",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/trees.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/trees.html">DOC</a>
"datasets","uspop","Populations Recorded by the US Census",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/uspop.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/uspop.html">DOC</a>
"datasets","volcano","Topographic Information on Auckland's Maunga Whau Volcano",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/volcano.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/volcano.html">DOC</a>
"datasets","warpbreaks","The Number of Breaks in Yarn during Weaving",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/warpbreaks.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/warpbreaks.html">DOC</a>
"datasets","women","Average Heights and Weights for American Women",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/datasets/women.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/datasets/women.html">DOC</a>
"boot","acme","Monthly Excess Returns",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/acme.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/acme.html">DOC</a>
"boot","aids","Delay in AIDS Reporting in England and Wales",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/aids.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/aids.html">DOC</a>
"boot","aircondit","Failures of Air-conditioning Equipment",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/aircondit.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/aircondit.html">DOC</a>
"boot","aircondit7","Failures of Air-conditioning Equipment",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/aircondit7.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/aircondit7.html">DOC</a>
"boot","amis","Car Speeding and Warning Signs",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/amis.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/amis.html">DOC</a>
"boot","aml","Remission Times for Acute Myelogenous Leukaemia",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/aml.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/aml.html">DOC</a>
"boot","bigcity","Population of U.S. Cities",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/bigcity.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/bigcity.html">DOC</a>
"boot","brambles","Spatial Location of Bramble Canes",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/brambles.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/brambles.html">DOC</a>
"boot","breslow","Smoking Deaths Among Doctors",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/breslow.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/breslow.html">DOC</a>
"boot","calcium","Calcium Uptake Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/calcium.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/calcium.html">DOC</a>
"boot","cane","Sugar-cane Disease Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/cane.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/cane.html">DOC</a>
"boot","capability","Simulated Manufacturing Process Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/capability.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/capability.html">DOC</a>
"boot","catsM","Weight Data for Domestic Cats",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/catsM.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/catsM.html">DOC</a>
"boot","cav","Position of Muscle Caveolae",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/cav.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/cav.html">DOC</a>
"boot","cd4","CD4 Counts for HIV-Positive Patients",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/cd4.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/cd4.html">DOC</a>
"boot","channing","Channing House Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/channing.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/channing.html">DOC</a>
"boot","city","Population of U.S. Cities",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/city.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/city.html">DOC</a>
"boot","claridge","Genetic Links to Left-handedness",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/claridge.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/claridge.html">DOC</a>
"boot","cloth","Number of Flaws in Cloth",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/cloth.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/cloth.html">DOC</a>
"boot","co.transfer","Carbon Monoxide Transfer",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/co.transfer.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/co.transfer.html">DOC</a>
"boot","coal","Dates of Coal Mining Disasters",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/coal.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/coal.html">DOC</a>
"boot","darwin","Darwin's Plant Height Differences",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/darwin.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/darwin.html">DOC</a>
"boot","dogs","Cardiac Data for Domestic Dogs",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/dogs.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/dogs.html">DOC</a>
"boot","downs.bc","Incidence of Down's Syndrome in British Columbia",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/downs.bc.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/downs.bc.html">DOC</a>
"boot","ducks","Behavioral and Plumage Characteristics of Hybrid Ducks",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/ducks.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/ducks.html">DOC</a>
"boot","fir","Counts of Balsam-fir Seedlings",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/fir.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/fir.html">DOC</a>
"boot","frets","Head Dimensions in Brothers",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/frets.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/frets.html">DOC</a>
"boot","grav","Acceleration Due to Gravity",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/grav.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/grav.html">DOC</a>
"boot","gravity","Acceleration Due to Gravity",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/gravity.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/gravity.html">DOC</a>
"boot","hirose","Failure Time of PET Film",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/hirose.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/hirose.html">DOC</a>
"boot","islay","Jura Quartzite Azimuths on Islay",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/islay.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/islay.html">DOC</a>
"boot","manaus","Average Heights of the Rio Negro river at Manaus",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/manaus.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/manaus.html">DOC</a>
"boot","melanoma","Survival from Malignant Melanoma",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/melanoma.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/melanoma.html">DOC</a>
"boot","motor","Data from a Simulated Motorcycle Accident",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/motor.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/motor.html">DOC</a>
"boot","neuro","Neurophysiological Point Process Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/neuro.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/neuro.html">DOC</a>
"boot","nitrofen","Toxicity of Nitrofen in Aquatic Systems",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/nitrofen.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/nitrofen.html">DOC</a>
"boot","nodal","Nodal Involvement in Prostate Cancer",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/nodal.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/nodal.html">DOC</a>
"boot","nuclear","Nuclear Power Station Construction Data",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/nuclear.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/nuclear.html">DOC</a>
"boot","paulsen","Neurotransmission in Guinea Pig Brains",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/paulsen.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/paulsen.html">DOC</a>
"boot","poisons","Animal Survival Times",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/poisons.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/poisons.html">DOC</a>
"boot","polar","Pole Positions of New Caledonian Laterites",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/polar.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/polar.html">DOC</a>
"boot","remission","Cancer Remission and Cell Activity",<a href="http://smasongarrison.github.io/smasongarrison.github.io/csv/boot/remission.csv">CSV</a>,<a href="http://smasongarrison.github.io/smasongarrison.github.io/doc/boot/remission.html">DOC</a>
