"","year","pop","rgdppc","savrat","country","com","opec","name"
"129",1984,7682,474,7.5,5,0,0,"BURKINA FASO"
"130",1985,7881,495,12.3,5,0,0,"BURKINA FASO"
"131",1960,2927,640,1.4,6,0,0,"BURUNDI"
"132",1961,2967,615,1.6,6,0,0,"BURUNDI"
"133",1962,3007,512,2,6,0,0,"BURUNDI"
"134",1963,3048,512,1.8,6,0,0,"BURUNDI"
"135",1964,3089,453,1.7,6,0,0,"BURUNDI"
"136",1965,3131,390,2,6,0,0,"BURUNDI"
"137",1966,3174,403,1.9,6,0,0,"BURUNDI"
"138",1967,3217,419,2,6,0,0,"BURUNDI"
"139",1968,3261,419,2.8,6,0,0,"BURUNDI"
"140",1969,3305,415,3.1,6,0,0,"BURUNDI"
"141",1970,3350,341,3.5,6,0,0,"BURUNDI"
"142",1971,3537,450,4.5,6,0,0,"BURUNDI"
"143",1972,3561,431,1.4,6,0,0,"BURUNDI"
"144",1973,3591,447,2.8,6,0,0,"BURUNDI"
"145",1974,3630,434,4.8,6,0,0,"BURUNDI"
"146",1975,3680,447,3.3,6,0,0,"BURUNDI"
"147",1976,3744,451,4.8,6,0,0,"BURUNDI"
"148",1977,3825,508,6.2,6,0,0,"BURUNDI"
"149",1978,3920,489,7.3,6,0,0,"BURUNDI"
"150",1979,4023,487,7.3,6,0,0,"BURUNDI"
"151",1980,4130,480,6.9,6,0,0,"BURUNDI"
"152",1981,4243,506,7.8,6,0,0,"BURUNDI"
"153",1982,4362,503,6.4,6,0,0,"BURUNDI"
"154",1983,4486,487,11.2,6,0,0,"BURUNDI"
"155",1984,4616,483,9.1,6,0,0,"BURUNDI"
"156",1985,4750,527,6.9,6,0,0,"BURUNDI"
"157",1960,5332,641,3.7,7,0,0,"CAMEROON"
"158",1961,5427,660,4.1,7,0,0,"CAMEROON"
"159",1962,5524,698,4,7,0,0,"CAMEROON"
"160",1963,5623,677,4.2,7,0,0,"CAMEROON"
"161",1964,5723,657,6.5,7,0,0,"CAMEROON"
"162",1965,5825,673,5.6,7,0,0,"CAMEROON"
"163",1966,5955,676,6.3,7,0,0,"CAMEROON"
"164",1967,6088,740,6.1,7,0,0,"CAMEROON"
"165",1968,6225,785,5.5,7,0,0,"CAMEROON"
"166",1969,6364,808,5,7,0,0,"CAMEROON"
"167",1970,6506,804,6.5,7,0,0,"CAMEROON"
"168",1971,6664,811,7.7,7,0,0,"CAMEROON"
"169",1972,6836,815,7.9,7,0,0,"CAMEROON"
"170",1973,7022,830,8.1,7,0,0,"CAMEROON"
"171",1974,7223,902,6.7,7,0,0,"CAMEROON"
"172",1975,7439,859,7.9,7,0,0,"CAMEROON"
"173",1976,7671,888,6.9,7,0,0,"CAMEROON"
"174",1977,7921,894,9.1,7,0,0,"CAMEROON"
"175",1978,8183,972,12,7,0,0,"CAMEROON"
"176",1979,8445,1072,10.1,7,0,0,"CAMEROON"
"177",1980,8701,1194,9.8,7,0,0,"CAMEROON"
"178",1981,8954,1294,12.4,7,0,0,"CAMEROON"
"179",1982,9205,1281,12.4,7,0,0,"CAMEROON"
"180",1983,9457,1342,12.3,7,0,0,"CAMEROON"
"181",1984,9710,1403,10.7,7,0,0,"CAMEROON"
"182",1985,9969,1487,10.7,7,0,0,"CAMEROON"
"183",1960,197,469,29.5,8,0,0,"CAPE VERDE IS."
"184",1961,203,495,29.6,8,0,0,"CAPE VERDE IS."
"185",1962,210,442,23.8,8,0,0,"CAPE VERDE IS."
"186",1963,217,411,16.3,8,0,0,"CAPE VERDE IS."
"187",1964,224,429,15.5,8,0,0,"CAPE VERDE IS."
"188",1965,232,427,17.8,8,0,0,"CAPE VERDE IS."
"189",1966,239,476,19.7,8,0,0,"CAPE VERDE IS."
"190",1967,247,589,12.9,8,0,0,"CAPE VERDE IS."
"191",1968,254,588,16,8,0,0,"CAPE VERDE IS."
"192",1969,262,598,20.5,8,0,0,"CAPE VERDE IS."
"193",1970,267,634,22.1,8,0,0,"CAPE VERDE IS."
"194",1971,270,559,21,8,0,0,"CAPE VERDE IS."
"195",1972,273,543,19.9,8,0,0,"CAPE VERDE IS."
"196",1973,275,531,18.1,8,0,0,"CAPE VERDE IS."
"197",1974,277,464,21.8,8,0,0,"CAPE VERDE IS."
"198",1975,278,483,18.2,8,0,0,"CAPE VERDE IS."
"199",1976,279,547,24.7,8,0,0,"CAPE VERDE IS."
"200",1977,281,606,31.6,8,0,0,"CAPE VERDE IS."
"201",1978,283,670,24.8,8,0,0,"CAPE VERDE IS."
"202",1979,285,712,30.5,8,0,0,"CAPE VERDE IS."
"203",1980,289,934,26.2,8,0,0,"CAPE VERDE IS."
"204",1981,294,892,30,8,0,0,"CAPE VERDE IS."
"205",1982,300,899,34,8,0,0,"CAPE VERDE IS."
"206",1983,307,957,32,8,0,0,"CAPE VERDE IS."
"207",1984,315,1004,28.7,8,0,0,"CAPE VERDE IS."
"208",1985,324,1052,28.5,8,0,0,"CAPE VERDE IS."
"209",1960,1605,704,7.3,9,0,0,"CENTRAL AFR.R."
"210",1961,1630,722,8.6,9,0,0,"CENTRAL AFR.R."
"211",1962,1656,691,9.4,9,0,0,"CENTRAL AFR.R."
"212",1963,1682,666,9.1,9,0,0,"CENTRAL AFR.R."
"213",1964,1708,683,9.4,9,0,0,"CENTRAL AFR.R."
"214",1965,1735,663,9.6,9,0,0,"CENTRAL AFR.R."
"215",1966,1763,656,9.7,9,0,0,"CENTRAL AFR.R."
"216",1967,1791,673,11.5,9,0,0,"CENTRAL AFR.R."
"217",1968,1820,698,7.8,9,0,0,"CENTRAL AFR.R."
"218",1969,1849,720,7.7,9,0,0,"CENTRAL AFR.R."
"219",1970,1879,747,7.8,9,0,0,"CENTRAL AFR.R."
"220",1971,1902,731,8.2,9,0,0,"CENTRAL AFR.R."
"221",1972,1928,734,8.1,9,0,0,"CENTRAL AFR.R."
"222",1973,1958,731,8.3,9,0,0,"CENTRAL AFR.R."
"223",1974,1993,721,5.2,9,0,0,"CENTRAL AFR.R."
"224",1975,2034,711,4.3,9,0,0,"CENTRAL AFR.R."
"225",1976,2081,733,4.3,9,0,0,"CENTRAL AFR.R."
"226",1977,2137,763,4,9,0,0,"CENTRAL AFR.R."
"227",1978,2197,776,3.8,9,0,0,"CENTRAL AFR.R."
"228",1979,2259,738,3.3,9,0,0,"CENTRAL AFR.R."
"229",1980,2320,706,2.3,9,0,0,"CENTRAL AFR.R."
"230",1981,2374,648,3,9,0,0,"CENTRAL AFR.R."
"231",1982,2433,670,4,9,0,0,"CENTRAL AFR.R."
"232",1983,2496,586,6.7,9,0,0,"CENTRAL AFR.R."
"233",1984,2563,622,6.8,9,0,0,"CENTRAL AFR.R."
"234",1985,2631,630,6.7,9,0,0,"CENTRAL AFR.R."
"235",1960,3064,756,1.7,10,0,0,"CHAD"
"236",1961,3118,754,1.9,10,0,0,"CHAD"
"237",1962,3174,805,1.5,10,0,0,"CHAD"
"238",1963,3230,766,2,10,0,0,"CHAD"
"239",1964,3287,744,2,10,0,0,"CHAD"
"240",1965,3345,736,1.5,10,0,0,"CHAD"
"241",1966,3404,767,1.4,10,0,0,"CHAD"
"242",1967,3465,743,1.7,10,0,0,"CHAD"
"243",1968,3526,646,1.8,10,0,0,"CHAD"
"244",1969,3588,763,1.7,10,0,0,"CHAD"
"245",1970,3652,660,3.2,10,0,0,"CHAD"
"246",1971,3723,650,3.2,10,0,0,"CHAD"
"247",1972,3796,662,3,10,0,0,"CHAD"
"248",1973,3871,722,-0.6,10,0,0,"CHAD"
"249",1974,3949,576,3.7,10,0,0,"CHAD"
"250",1975,4030,592,4.4,10,0,0,"CHAD"
"251",1976,4113,637,3.3,10,0,0,"CHAD"
"252",1977,4199,648,3.6,10,0,0,"CHAD"
"253",1978,4288,628,2.9,10,0,0,"CHAD"
"254",1979,4381,574,2.8,10,0,0,"CHAD"
"255",1980,4477,528,2.4,10,0,0,"CHAD"
"256",1981,4577,469,1.6,10,0,0,"CHAD"
"257",1982,4680,370,0.5,10,0,0,"CHAD"
"258",1983,4788,300,0.6,10,0,0,"CHAD"
"259",1984,4900,310,1,10,0,0,"CHAD"
"260",1985,5018,409,1.4,10,0,0,"CHAD"
"261",1960,195,543,8.1,11,0,0,"COMOROS"
"262",1961,200,545,7.7,11,0,0,"COMOROS"
"263",1962,210,564,11.5,11,0,0,"COMOROS"
"264",1963,215,647,9.6,11,0,0,"COMOROS"
"265",1964,225,679,11.2,11,0,0,"COMOROS"
"266",1965,240,646,13.3,11,0,0,"COMOROS"
"267",1966,244,688,14.2,11,0,0,"COMOROS"
"268",1967,250,734,12.9,11,0,0,"COMOROS"
"269",1968,255,721,10.6,11,0,0,"COMOROS"
"270",1969,260,711,10.2,11,0,0,"COMOROS"
"271",1970,266,693,15.2,11,0,0,"COMOROS"
"272",1971,272,749,14.3,11,0,0,"COMOROS"
"273",1972,279,730,16.7,11,0,0,"COMOROS"
"274",1973,285,743,16.7,11,0,0,"COMOROS"
"275",1974,292,849,17,11,0,0,"COMOROS"
"276",1975,298,721,14.9,11,0,0,"COMOROS"
"277",1976,304,557,11,11,0,0,"COMOROS"
"278",1977,310,556,11.1,11,0,0,"COMOROS"
"279",1978,316,588,12.4,11,0,0,"COMOROS"
"280",1979,324,611,14.9,11,0,0,"COMOROS"
"281",1980,333,631,21.1,11,0,0,"COMOROS"
"282",1981,343,637,17.4,11,0,0,"COMOROS"
"283",1982,355,650,18.8,11,0,0,"COMOROS"
"284",1983,367,657,18.4,11,0,0,"COMOROS"
"285",1984,381,660,22.7,11,0,0,"COMOROS"
"286",1985,395,643,17.7,11,0,0,"COMOROS"
"287",1960,950,1123,17,12,0,0,"CONGO"
"288",1961,972,1124,22.7,12,0,0,"CONGO"
"289",1962,995,1127,13.3,12,0,0,"CONGO"
"290",1963,1018,1069,8.6,12,0,0,"CONGO"
"291",1964,1042,1062,7.9,12,0,0,"CONGO"
"292",1965,1066,1084,8.9,12,0,0,"CONGO"
"293",1966,1093,1120,12.3,12,0,0,"CONGO"
"294",1967,1121,1240,14.2,12,0,0,"CONGO"
"295",1968,1149,1230,15.2,12,0,0,"CONGO"
"296",1969,1178,1404,13,12,0,0,"CONGO"
"297",1970,1208,1670,7.6,12,0,0,"CONGO"
"298",1971,1239,1680,8.6,12,0,0,"CONGO"
"299",1972,1271,1700,9.7,12,0,0,"CONGO"
"300",1973,1304,1710,11,12,0,0,"CONGO"
"301",1974,1340,1712,12.6,12,0,0,"CONGO"
"302",1975,1380,1726,14.3,12,0,0,"CONGO"
"303",1976,1424,1795,10.2,12,0,0,"CONGO"
"304",1977,1472,1639,8.7,12,0,0,"CONGO"
"305",1978,1522,1742,6.3,12,0,0,"CONGO"
"306",1979,1575,1725,6.6,12,0,0,"CONGO"
"307",1980,1630,1931,8.5,12,0,0,"CONGO"
"308",1981,1688,2044,14,12,0,0,"CONGO"
"309",1982,1748,2529,14.9,12,0,0,"CONGO"
"310",1983,1811,2550,12.1,12,0,0,"CONGO"
"311",1984,1874,2723,9.7,12,0,0,"CONGO"
"312",1985,1938,2697,9,12,0,0,"CONGO"
"313",1960,25831,809,3.5,14,0,0,"EGYPT"
"314",1961,26578,815,3.8,14,0,0,"EGYPT"
"315",1962,27255,862,4.1,14,0,0,"EGYPT"
"316",1963,27946,908,4.6,14,0,0,"EGYPT"
"317",1964,28660,1017,3.9,14,0,0,"EGYPT"
"318",1965,29387,1024,4.4,14,0,0,"EGYPT"
"319",1966,30204,1015,3.7,14,0,0,"EGYPT"
"320",1967,30891,1013,3.2,14,0,0,"EGYPT"
"321",1968,31595,1072,2.7,14,0,0,"EGYPT"
"322",1969,32316,1111,2.8,14,0,0,"EGYPT"
"323",1970,33053,1163,2.7,14,0,0,"EGYPT"
"324",1971,33648,1206,2.2,14,0,0,"EGYPT"
"325",1972,34253,1204,2.3,14,0,0,"EGYPT"
"326",1973,34886,1182,3,14,0,0,"EGYPT"
"327",1974,35561,1175,4.3,14,0,0,"EGYPT"
"328",1975,36289,1293,6.1,14,0,0,"EGYPT"
"329",1976,37080,1371,5.6,14,0,0,"EGYPT"
"330",1977,37945,1406,6,14,0,0,"EGYPT"
"331",1978,38874,1465,6.2,14,0,0,"EGYPT"
"332",1979,39855,1525,6.5,14,0,0,"EGYPT"
"333",1980,40875,1645,5.8,14,0,0,"EGYPT"
"334",1981,41936,1722,5.9,14,0,0,"EGYPT"
"335",1982,43036,1732,6.4,14,0,0,"EGYPT"
"336",1983,44169,1808,6.2,14,0,0,"EGYPT"
"337",1984,45330,1908,6.3,14,0,0,"EGYPT"
"338",1985,46511,1953,6.5,14,0,0,"EGYPT"
"339",1960,22536,257,5.3,15,0,0,"ETHIOPIA"
"340",1961,23083,261,5.4,15,0,0,"ETHIOPIA"
"341",1962,23644,265,5.6,15,0,0,"ETHIOPIA"
"342",1963,24217,268,5.7,15,0,0,"ETHIOPIA"
"343",1964,24808,277,5.3,15,0,0,"ETHIOPIA"
"344",1965,25410,290,5.3,15,0,0,"ETHIOPIA"
"345",1966,26078,294,5.7,15,0,0,"ETHIOPIA"
"346",1967,26767,290,6.7,15,0,0,"ETHIOPIA"
"347",1968,27470,296,6.6,15,0,0,"ETHIOPIA"
"348",1969,28193,302,6,15,0,0,"ETHIOPIA"
"349",1970,28937,296,4.9,15,0,0,"ETHIOPIA"
"350",1971,29646,300,5,15,0,0,"ETHIOPIA"
"351",1972,30412,308,5.4,15,0,0,"ETHIOPIA"
"352",1973,31224,306,4.9,15,0,0,"ETHIOPIA"
"353",1974,32074,300,4.3,15,0,0,"ETHIOPIA"
"354",1975,32954,306,4.4,15,0,0,"ETHIOPIA"
"355",1976,33860,302,5.2,15,0,0,"ETHIOPIA"
"356",1977,34790,306,5.1,15,0,0,"ETHIOPIA"
"357",1978,35741,315,3,15,0,0,"ETHIOPIA"
"358",1979,36716,316,3.4,15,0,0,"ETHIOPIA"
"359",1980,37717,322,3.7,15,0,0,"ETHIOPIA"
"360",1981,38740,322,4,15,0,0,"ETHIOPIA"
"361",1982,39776,322,4.6,15,0,0,"ETHIOPIA"
"362",1983,40859,332,4.6,15,0,0,"ETHIOPIA"
"363",1984,42040,318,4.9,15,0,0,"ETHIOPIA"
"364",1985,43350,299,3.8,15,0,0,"ETHIOPIA"
"365",1960,460,1789,20.4,16,0,0,"GABON"
"366",1961,464,1979,23,16,0,0,"GABON"
"367",1962,468,2112,21.1,16,0,0,"GABON"
"368",1963,473,2373,15,16,0,0,"GABON"
"369",1964,477,2462,12.4,16,0,0,"GABON"
"370",1965,482,2587,11.7,16,0,0,"GABON"
"371",1966,486,2690,14.7,16,0,0,"GABON"
"372",1967,490,2726,12.1,16,0,0,"GABON"
"373",1968,495,3311,15.3,16,0,0,"GABON"
"374",1969,499,3654,15,16,0,0,"GABON"
"375",1970,504,3704,14.5,16,0,0,"GABON"
"376",1971,525,3868,15.3,16,0,0,"GABON"
"377",1972,550,4047,16.6,16,0,0,"GABON"
"378",1973,578,4179,17.6,16,0,0,"GABON"
"379",1974,607,5030,39.1,16,0,0,"GABON"
"380",1975,637,5690,40.8,16,0,0,"GABON"
"381",1976,668,6965,45.5,16,0,0,"GABON"
"382",1977,698,6170,38.4,16,0,0,"GABON"
"383",1978,728,5408,15.9,16,0,0,"GABON"
"384",1979,761,4842,21,16,0,0,"GABON"
"385",1980,797,4797,20.8,16,0,0,"GABON"
"386",1981,835,4504,31,16,0,0,"GABON"
"387",1982,875,4226,29.4,16,0,0,"GABON"
"388",1983,916,4301,26.3,16,0,0,"GABON"
"389",1984,957,4458,25.6,16,0,0,"GABON"
"390",1985,997,4072,29.4,16,0,0,"GABON"
"391",1960,372,602,2,17,0,0,"GAMBIA"
"392",1961,381,563,2,17,0,0,"GAMBIA"
"393",1962,389,537,2.7,17,0,0,"GAMBIA"
"394",1963,398,638,1.8,17,0,0,"GAMBIA"
"395",1964,408,611,2.4,17,0,0,"GAMBIA"
"396",1965,417,724,2.6,17,0,0,"GAMBIA"
"397",1966,426,747,2.7,17,0,0,"GAMBIA"
"398",1967,435,725,2.3,17,0,0,"GAMBIA"
"399",1968,444,728,1.9,17,0,0,"GAMBIA"
"400",1969,453,727,1.2,17,0,0,"GAMBIA"
"401",1970,463,722,1.5,17,0,0,"GAMBIA"
"402",1971,476,865,1.6,17,0,0,"GAMBIA"
"403",1972,489,856,2.1,17,0,0,"GAMBIA"
"404",1973,502,869,1.8,17,0,0,"GAMBIA"
"405",1974,517,881,1.9,17,0,0,"GAMBIA"
"406",1975,533,799,5.3,17,0,0,"GAMBIA"
"407",1976,552,982,4.3,17,0,0,"GAMBIA"
"408",1977,571,1002,5.6,17,0,0,"GAMBIA"
"409",1978,591,1179,9.3,17,0,0,"GAMBIA"
"410",1979,612,1031,7.9,17,0,0,"GAMBIA"
"411",1980,634,1017,8.6,17,0,0,"GAMBIA"
"412",1981,656,889,9.8,17,0,0,"GAMBIA"
"413",1982,678,872,9.1,17,0,0,"GAMBIA"
"414",1983,701,721,8.6,17,0,0,"GAMBIA"
"415",1984,724,801,8.5,17,0,0,"GAMBIA"
"416",1985,748,769,5.9,17,0,0,"GAMBIA"
"417",1960,6827,894,11,18,0,0,"GHANA"
"418",1961,7010,939,8.5,18,0,0,"GHANA"
"419",1962,7198,930,7.9,18,0,0,"GHANA"
"420",1963,7392,934,9.3,18,0,0,"GHANA"
"421",1964,7591,904,11.1,18,0,0,"GHANA"
"422",1965,7794,883,10.7,18,0,0,"GHANA"
"423",1966,7958,862,8.9,18,0,0,"GHANA"
"424",1967,8123,902,6.7,18,0,0,"GHANA"
"425",1968,8294,911,5.7,18,0,0,"GHANA"
"426",1969,8467,928,6.3,18,0,0,"GHANA"
"427",1970,8614,1059,7,18,0,0,"GHANA"
"428",1971,8877,1040,7.3,18,0,0,"GHANA"
"429",1972,9138,942,4.1,18,0,0,"GHANA"
"430",1973,9388,973,5,18,0,0,"GHANA"
"431",1974,9621,1091,6.4,18,0,0,"GHANA"
"432",1975,9835,914,6.3,18,0,0,"GHANA"
"433",1976,10023,868,5.2,18,0,0,"GHANA"
"434",1977,10177,918,7,18,0,0,"GHANA"
"435",1978,10322,1027,4.1,18,0,0,"GHANA"
"436",1979,10501,949,4.6,18,0,0,"GHANA"
"437",1980,10740,976,4,18,0,0,"GHANA"
"438",1981,11030,936,3.7,18,0,0,"GHANA"
"439",1982,11366,795,3.2,18,0,0,"GHANA"
"440",1983,11747,770,3.2,18,0,0,"GHANA"
"441",1984,12168,785,3.5,18,0,0,"GHANA"
"442",1985,12620,792,4.2,18,0,0,"GHANA"
"443",1960,3850,559,5.2,19,0,0,"GUINEA"
"444",1961,3905,602,6.1,19,0,0,"GUINEA"
"445",1962,3962,589,8.1,19,0,0,"GUINEA"
"446",1963,4020,586,5.2,19,0,0,"GUINEA"
"447",1964,4078,530,6.4,19,0,0,"GUINEA"
"448",1965,4137,545,7.2,19,0,0,"GUINEA"
"449",1966,4205,554,8.1,19,0,0,"GUINEA"
"450",1967,4274,525,7.2,19,0,0,"GUINEA"
"451",1968,4345,528,6.9,19,0,0,"GUINEA"
"452",1969,4417,519,6.6,19,0,0,"GUINEA"
"453",1970,4490,467,7.6,19,0,0,"GUINEA"
"454",1971,3909,572,6.8,19,0,0,"GUINEA"
"455",1972,3969,541,7.8,19,0,0,"GUINEA"
"456",1973,4031,573,7.7,19,0,0,"GUINEA"
"457",1974,4091,643,7.4,19,0,0,"GUINEA"
"458",1975,4149,686,7.1,19,0,0,"GUINEA"
"459",1976,4201,744,6.1,19,0,0,"GUINEA"
"460",1977,4256,756,4.5,19,0,0,"GUINEA"
"461",1978,4317,769,5.2,19,0,0,"GUINEA"
"462",1979,4385,760,5.6,19,0,0,"GUINEA"
"463",1980,4461,817,5.4,19,0,0,"GUINEA"
"464",1981,4547,770,5.3,19,0,0,"GUINEA"
"465",1982,4643,782,5.3,19,0,0,"GUINEA"
"466",1983,4749,747,4.7,19,0,0,"GUINEA"
"467",1984,4864,699,4.5,19,0,0,"GUINEA"
