"","start.date","end.date","approve","disapprove","undecided"
"224","2007-04-13","2007-04-15",36,60,4
"225","2007-05-04","2007-05-06",34,63,3
"226","2007-05-10","2007-05-13",33,62,5
"227","2007-06-01","2007-06-03",32,62,6
"228","2007-06-11","2007-06-14",32,65,3
"229","2007-07-06","2007-07-08",29,66,5
"230","2007-07-12","2007-07-15",31,63,6
"231","2007-08-03","2007-08-05",34,62,4
"232","2007-08-13","2007-08-16",32,63,5
"233","2007-09-07","2007-09-08",33,62,5
"234","2007-09-14","2007-09-16",36,62,2
"235","2007-10-04","2007-10-07",32,64,4
"236","2007-10-12","2007-10-14",32,64,3
"237","2007-11-02","2007-11-04",31,64,5
"238","2007-11-11","2007-11-14",32,61,7
"239","2007-11-30","2007-12-02",34,62,4
"240","2007-12-06","2007-12-09",37,57,5
"241","2007-12-14","2007-12-16",32,65,3
"242","2008-01-04","2008-01-06",32,64,4
"243","2008-01-10","2008-01-13",34,60,6
"244","2008-01-30","2008-02-02",34,61,5
"245","2008-02-08","2008-02-10",33,61,5
"246","2008-02-11","2008-02-14",31,65,4
"247","2008-02-21","2008-02-24",32,62,5
"248","2008-03-06","2008-03-09",32,64,4
"249","2008-03-14","2008-03-16",32,64,4
"250","2008-04-06","2008-04-09",28,67,5
"251","2008-04-18","2008-04-20",28,69,4
"252","2008-05-01","2008-05-03",28,67,5
"253","2008-05-30","2008-06-01",28,68,4
"254","2008-06-09","2008-06-12",30,64,6
"255","2008-06-15","2008-06-19",28,68,4
"256","2008-07-10","2008-07-13",31,61,8
"257","2008-07-25","2008-07-27",32,65,3
"258","2008-08-07","2008-08-10",33,61,6
"259","2008-08-21","2008-08-23",29,66,5
"260","2008-09-05","2008-09-07",33,64,3
"261","2008-09-26","2008-09-27",27,69,4
"262","2008-10-03","2008-10-05",25,70,6
"263","2008-10-10","2008-10-12",25,71,4
"264","2008-10-23","2008-10-26",31,66,3
"265","2008-10-31","2008-11-02",25,70,5
"266","2008-11-07","2008-11-09",28,68,5
"267","2008-11-13","2008-11-16",29,66,4
"268","2008-12-04","2008-12-07",32,61,7
"269","2008-12-12","2008-12-14",29,67,4
"270","2009-01-09","2009-01-11",34,61,5
