"","date","jyspot","jyfwd","jys30","dmspot","dmfwd","dms30","bpspot","bpfwd","bps30","quote"
"118",19770401,276.15,276.34,278,2.3895,2.3882,2.3579,0.5815,0.5835,0.5816,"01apr1977"
"119",19770408,272.95,273.25,277.3,2.3855,2.3832,2.3705,0.5818,0.5836,0.5815,"08apr1977"
"120",19770415,274.2,274.4,277.6,2.3686,2.367,2.3602,0.5818,0.5839,0.5818,"15apr1977"
"121",19770422,277.38,277.48,277.9,2.3725,2.3715,2.3628,0.5816,0.5833,0.5824,"22apr1977"
"122",19770429,277.25,277.2,277.35,2.359,2.357,2.3605,0.5816,0.5832,0.5818,"29apr1977"
"123",19770506,276.4,276.3,274.8,2.349,2.3457,2.3595,0.5818,0.5832,0.5818,"06may1977"
"124",19770513,277.35,277.2,273.3,2.3593,2.3557,2.3566,0.5815,0.5823,0.5818,"13may1977"
"125",19770520,277.3,277.31,273,2.3592,2.3546,2.358,0.5821,0.5834,0.5817,"20may1977"
"126",19770527,277.1,277.2,268.3,2.3552,2.3507,2.3452,0.5823,0.5847,0.5811,"27may1977"
"127",19770603,276.2,276.1,264.65,2.353,2.3494,2.3134,0.5823,0.5852,0.5812,"03jun1977"
"128",19770610,273.65,273.78,263.95,2.3574,2.354,2.2876,0.5818,0.584,0.5814,"10jun1977"
"129",19770617,272.5,272.5,263.8,2.3544,2.351,2.2666,0.5815,0.5832,0.5814,"17jun1977"
"130",19770624,271.1,271.1,264.45,2.355,2.3512,2.2464,0.5815,0.583,0.5814,"24jun1977"
"131",19770701,267.05,266.95,265.5,2.3392,2.3353,2.2896,0.5814,0.5827,0.575,"01jul1977"
"132",19770708,264.7,264.57,266.2,2.3068,2.3031,2.319,0.5814,0.5827,0.5752,"08jul1977"
"133",19770715,265.55,265.4,266.3,2.287,2.2836,2.3259,0.5815,0.5835,0.5743,"15jul1977"
"134",19770722,264.4,264.3,266.6,2.2624,2.258,2.3115,0.5816,0.5827,0.5745,"22jul1977"
"135",19770729,266.2,266.07,267.4,2.282,2.2773,2.3185,0.5754,0.5761,0.5738,"29jul1977"
"136",19770805,265.7,265.55,267.2,2.296,2.2908,2.3187,0.5748,0.5753,0.5739,"05aug1977"
"137",19770812,266.2,266.05,267.35,2.3305,2.3248,2.332,0.5752,0.5757,0.5733,"12aug1977"
"138",19770819,266.8,266.65,266.9,2.3255,2.3203,2.3208,0.5746,0.5749,0.5741,"19aug1977"
"139",19770826,267.1,266.95,266.8,2.3155,2.3103,2.3295,0.5741,0.5745,0.5734,"26aug1977"
"140",19770902,267.85,267.85,261,2.3175,2.3126,2.3058,0.5739,0.5741,0.5692,"02sep1977"
"141",19770909,266.6,266.2,257.4,2.326,2.3211,2.299,0.5736,0.5737,0.5683,"09sep1977"
"142",19770916,266.9,266.6,252.4,2.325,2.3198,2.2655,0.5735,0.5732,0.5641,"16sep1977"
"143",19770923,266.85,266.45,252,2.3281,2.3227,2.2615,0.5737,0.5734,0.5631,"23sep1977"
"144",19770930,263,262.25,247.7,2.3122,2.3058,2.2435,0.5723,0.5716,0.5435,"30sep1977"
"145",19771007,258,257.05,246.65,2.2926,2.2857,2.253,0.5682,0.5674,0.5495,"07oct1977"
"146",19771014,252.9,251.8,245.25,2.278,2.2707,2.246,0.5662,0.5647,0.5502,"14oct1977"
"147",19771021,254.5,253.7,240.7,2.27,2.2635,2.2385,0.5646,0.5635,0.5517,"21oct1977"
"148",19771028,250.2,249.4,242.4,2.264,2.2583,2.222,0.5628,0.5619,0.5509,"28oct1977"
"149",19771104,248.75,247.75,241.85,2.2575,2.2506,2.163,0.5529,0.5517,0.5478,"04nov1977"
"150",19771111,247.1,246.35,236.8,2.257,2.2513,2.131,0.5513,0.55,0.541,"11nov1977"
"151",19771118,244.3,242.6,240.3,2.2443,2.2383,2.112,0.5495,0.548,0.5288,"18nov1977"
"152",19771125,239.6,238.3,241.5,2.2167,2.2111,2.1495,0.5499,0.5497,0.5376,"25nov1977"
"153",19771202,241.95,241,236.65,2.204,2.1979,2.057,0.5489,0.5486,0.5059,"02dec1977"
"154",19771209,242.65,242.1,240.5,2.1935,2.1876,2.114,0.5461,0.5456,0.5191,"09dec1977"
"155",19771216,240.85,240,242.5,2.14,2.1327,2.138,0.5402,0.54,0.5211,"16dec1977"
"156",19771223,241.2,240.05,240.7,2.15,2.141,2.1095,0.5371,0.5369,0.5137,"23dec1977"
"157",19771230,239.6,238.25,241.6,2.105,2.0955,2.117,0.5249,0.5247,0.5133,"30dec1977"
"158",19780106,240.8,239.8,241.25,2.141,2.1323,2.1045,0.5253,0.5249,0.5176,"06jan1978"
"159",19780113,242.1,240.85,240.5,2.125,2.1157,2.083,0.5173,0.5167,0.5171,"13jan1978"
"160",19780120,241.95,240.9,239.2,2.131,2.1228,2.042,0.5159,0.5154,0.5143,"20jan1978"
"161",19780127,241.2,240.3,237.8,2.11,2.1032,2.019,0.5133,0.5132,0.5124,"27jan1978"
"162",19780203,241.65,240.9,236.2,2.104,2.097,2.035,0.516,0.5159,0.517,"03feb1978"
"163",19780210,241.5,240.75,235.9,2.108,2.1018,2.088,0.5168,0.5167,0.5304,"10feb1978"
"164",19780217,239.8,238.85,230.65,2.056,2.0492,2.047,0.5141,0.5143,0.5253,"17feb1978"
"165",19780224,237.6,236.55,222,2.018,2.0105,2.0245,0.5122,0.5121,0.5306,"24feb1978"
"166",19780303,237.4,236.4,220.2,2.01,2.0022,2.024,0.5157,0.5158,0.5358,"03mar1978"
"167",19780310,235.55,234.35,218.8,2.049,2.0422,2.014,0.5219,0.5216,0.5319,"10mar1978"
"168",19780317,229.7,228.1,221.5,2.03,2.023,2.048,0.5226,0.5226,0.5422,"17mar1978"
"169",19780324,228.2,226.45,225.2,2.038,2.0311,2.0757,0.5339,0.534,0.5505,"24mar1978"
"170",19780331,222.9,221.6,225.55,2.022,2.0145,2.0735,0.5386,0.5386,0.5475,"31mar1978"
"171",19780407,219.2,218.05,225.65,2.018,2.0114,2.087,0.5338,0.5337,0.552,"07apr1978"
"172",19780414,219.8,218.6,226.75,2.0308,2.0246,2.1135,0.5379,0.5379,0.5507,"14apr1978"
"173",19780421,225.75,224.55,228.8,2.075,2.0672,2.1246,0.5473,0.549,0.5517,"21apr1978"
"174",19780428,223.9,222.75,222.45,2.0665,2.0587,2.102,0.5467,0.5479,0.5485,"28apr1978"
"175",19780505,224.3,222.95,221.05,2.071,2.0626,2.088,0.546,0.5471,0.5491,"05may1978"
"176",19780512,225.4,224.25,216.65,2.1055,2.097,2.0937,0.5495,0.5507,0.5448,"12may1978"
"177",19780519,227.5,226.6,212.05,2.1072,2.0983,2.0738,0.5519,0.5531,0.5416,"19may1978"
"178",19780526,226.75,225.82,204.65,2.1226,2.1141,2.072,0.5523,0.5531,0.5396,"26may1978"
"179",19780602,221.25,220.29,202.8,2.083,2.0752,2.0685,0.5476,0.5488,0.5368,"02jun1978"
"180",19780609,221.25,220.3,202.4,2.0897,2.0818,2.0489,0.5474,0.5493,0.5298,"09jun1978"
"181",19780616,216,215.13,203.2,2.0975,2.089,2.065,0.5462,0.5482,0.531,"16jun1978"
"182",19780623,208,207.17,196.3,2.0815,2.073,2.0445,0.5417,0.5429,0.5189,"23jun1978"
"183",19780630,204.45,203.42,188.9,2.075,2.0658,2.0431,0.5375,0.5388,0.5181,"30jun1978"
"184",19780707,203,202,186.85,2.064,2.0548,1.9725,0.535,0.5359,0.5133,"07jul1978"
"185",19780714,202.15,201.1,184.45,2.054,2.0444,1.946,0.5297,0.5307,0.5034,"14jul1978"
"186",19780721,200.85,199.75,192.1,2.056,2.0467,2.021,0.5231,0.5245,0.5208,"21jul1978"
"187",19780728,191.65,190.35,189.4,2.05,2.0407,1.9825,0.5227,0.5237,0.5145,"28jul1978"
"188",19780804,188.3,187,190.4,2.031,2.0218,1.9865,0.518,0.519,0.5161,"04aug1978"
"189",19780811,186.1,184.8,191.6,1.9665,1.9575,1.9971,0.5092,0.5106,0.5132,"11aug1978"
"190",19780818,186.05,184.8,188.6,1.967,1.957,1.9585,0.5097,0.5107,0.5059,"18aug1978"
"191",19780825,192.5,191.27,188.25,2.013,2.0036,1.936,0.52,0.5209,0.5061,"25aug1978"
"192",19780901,191.9,190.8,186.45,1.9845,1.9757,1.896,0.5145,0.5155,0.5045,"01sep1978"
"193",19780908,191.2,190.03,188.55,1.994,1.9852,1.9006,0.5149,0.5163,0.5049,"08sep1978"
"194",19780915,189.75,188.58,182.2,1.981,1.972,1.839,0.5103,0.5116,0.5013,"15sep1978"
"195",19780922,188.8,187.63,183,1.954,1.9449,1.816,0.5079,0.5093,0.4985,"22sep1978"
"196",19780929,188.9,187.72,180.05,1.9355,1.9254,1.7745,0.5068,0.5081,0.4886,"29sep1978"
"197",19781006,188.25,188.26,187.35,1.902,1.8916,1.875,0.5053,0.5065,0.5063,"06oct1978"
"198",19781013,186,184.93,189.85,1.87,1.8593,1.8935,0.5025,0.505,0.5081,"13oct1978"
"199",19781020,182.25,181.22,194.5,1.823,1.8122,1.928,0.5002,0.501,0.5137,"20oct1978"
"200",19781027,179.05,177.68,196.55,1.7625,1.7529,1.9277,0.4839,0.4842,0.5151,"27oct1978"
"201",19781103,187.8,186.2,197.4,1.887,1.8755,1.9175,0.5026,0.5031,0.5127,"03nov1978"
"202",19781110,188.25,186.55,196.7,1.8935,1.8805,1.8925,0.5076,0.5086,0.5085,"10nov1978"
"203",19781117,194.7,193,192.7,1.9075,1.895,1.841,0.5136,0.5183,0.4943,"17nov1978"
"204",19781124,194.15,192.4,194.3,1.92,1.9086,1.856,0.5137,0.5146,0.4988,"24nov1978"
"205",19781201,202.5,200.67,196.2,1.9348,1.9218,1.835,0.5163,0.5169,0.4946,"01dec1978"
"206",19781208,198.25,196.37,197.05,1.913,1.901,1.8545,0.5122,0.5129,0.4989,"08dec1978"
"207",19781215,196.05,194.37,196.6,1.905,1.8926,1.837,0.5056,0.5061,0.4976,"15dec1978"
"208",19781222,194,191.95,200,1.854,1.8402,1.854,0.498,0.4983,0.5025,"22dec1978"
"209",19781229,194.4,192.35,202.75,1.823,1.8079,1.875,0.4912,0.4915,0.504,"29dec1978"
"210",19790105,196.6,194.6,196.8,1.8565,1.8422,1.8485,0.4953,0.4954,0.4979,"05jan1979"
"211",19790112,197.7,195.95,200.85,1.8585,1.8452,1.8515,0.5025,0.5034,0.5002,"12jan1979"
"212",19790119,197.85,196.15,201.55,1.837,1.8251,1.857,0.4981,0.4988,0.499,"19jan1979"
"213",19790126,199.05,197.45,202,1.855,1.8446,1.849,0.5014,0.5023,0.4963,"26jan1979"
"214",19790202,202.3,200.75,205.35,1.883,1.8732,1.8585,0.5052,0.5064,0.4948,"02feb1979"
"215",19790209,198.25,197,205.3,1.849,1.839,1.854,0.4997,0.501,0.49,"09feb1979"
"216",19790216,200.45,199.35,207.75,1.853,1.8429,1.8645,0.4991,0.5001,0.4933,"16feb1979"
"217",19790223,201.25,200.1,205.55,1.851,1.841,1.8634,0.4975,0.4985,0.4919,"23feb1979"
"218",19790302,205.15,203.85,214.35,1.8575,1.8465,1.8832,0.4947,0.4955,0.4838,"02mar1979"
"219",19790309,204.5,203.25,213.35,1.851,1.8397,1.898,0.4904,0.4914,0.4764,"09mar1979"
"220",19790316,207.9,206.9,216.65,1.8635,1.852,1.896,0.4909,0.4914,0.4808,"16mar1979"
"221",19790323,205.4,204.4,218.4,1.8629,1.8519,1.893,0.4916,0.4924,0.4869,"23mar1979"
"222",19790330,209.6,208.7,223.9,1.8667,1.8579,1.898,0.4852,0.486,0.4847,"30mar1979"
"223",19790406,215,213.97,214.8,1.8878,1.8795,1.8942,0.4762,0.4766,0.4838,"06apr1979"
"224",19790413,215.5,214.35,213.5,1.9008,1.8911,1.904,0.4801,0.4804,0.4884,"13apr1979"
"225",19790420,217.7,216.7,218.75,1.8991,1.8897,1.9175,0.4829,0.4834,0.4902,"20apr1979"
"226",19790427,219.45,218.2,221.3,1.8927,1.8832,1.9217,0.4879,0.4882,0.4876,"27apr1979"
"227",19790504,220.3,218.95,220.2,1.8981,1.8881,1.9185,0.4787,0.4793,0.481,"04may1979"
"228",19790511,213.8,212.65,220.4,1.8986,1.8891,1.9107,0.4873,0.4878,0.4776,"11may1979"
"229",19790518,219.3,218.05,218.7,1.9175,1.9083,1.8595,0.4873,0.4877,0.4721,"18may1979"
"230",19790525,219.3,218.3,215.95,1.914,1.9055,1.8498,0.4873,0.4876,0.4638,"25may1979"
"231",19790601,220.9,219.87,218.1,1.915,1.9063,1.838,0.4817,0.4823,0.4566,"01jun1979"
"232",19790608,219.9,218.93,217.8,1.912,1.9045,1.8389,0.4836,0.484,0.4517,"08jun1979"
"233",19790615,219.5,218.45,216.53,1.8973,1.8895,1.8131,0.4763,0.4776,0.4425,"15jun1979"
"234",19790622,217.55,216.43,214.3,1.849,1.8408,1.8058,0.466,0.4672,0.4304,"22jun1979"
"235",19790629,217.4,216.25,216.35,1.848,1.8399,1.8287,0.461,0.4623,0.4444,"29jun1979"
"236",19790706,217,215.8,216.7,1.829,1.8205,1.8323,0.448,0.4492,0.4519,"06jul1979"
"237",19790713,217.75,216.47,216.75,1.8315,1.823,1.8296,0.4493,0.4508,0.4465,"13jul1979"
"238",19790720,215.85,214.55,219.2,1.8105,1.8019,1.8312,0.4376,0.4385,0.4509,"20jul1979"
"239",19790727,214.9,213.73,220.7,1.8222,1.8132,1.8325,0.4306,0.4314,0.4447,"27jul1979"
"240",19790803,216.75,215.63,221.4,1.8321,1.8235,1.8209,0.4405,0.4415,0.4461,"03aug1979"
"241",19790810,215.8,214.7,222.25,1.8184,1.8104,1.812,0.4464,0.4473,0.4489,"10aug1979"
"242",19790817,217,215.9,223.6,1.8298,1.8214,1.8068,0.4507,0.4515,0.466,"17aug1979"
"243",19790824,219.2,218.14,222.88,1.8284,1.8199,1.769,0.4495,0.4501,0.4615,"24aug1979"
"244",19790831,220.7,219.8,224.75,1.8275,1.8203,1.749,0.4441,0.4449,0.4565,"31aug1979"
"245",19790907,221,219.98,226.4,1.8118,1.8043,1.807,0.4449,0.4456,0.4663,"07sep1979"
"246",19790914,223.9,222.83,232.3,1.8125,1.8044,1.7987,0.459,0.4598,0.4642,"14sep1979"
"247",19790921,222.4,221.42,235,1.773,1.7647,1.8067,0.4606,0.4613,0.4676,"21sep1979"
"248",19790928,223.5,222.33,238.4,1.741,1.7319,1.8055,0.4548,0.455,0.4816,"28sep1979"
"249",19791005,224.55,223.08,241.25,1.7595,1.7495,1.792,0.4579,0.4579,0.477,"05oct1979"
"250",19791012,227.42,225.47,246.1,1.7938,1.7822,1.7835,0.4627,0.462,0.471,"12oct1979"
"251",19791019,230.9,229.5,245.8,1.7965,1.7855,1.7707,0.4648,0.4644,0.463,"19oct1979"
"252",19791026,234.26,232.41,249.5,1.8035,1.7913,1.7462,0.4737,0.4729,0.4618,"26oct1979"
