"","age","ethnicity","mstatus"
"268",53,"European","Married/Partnered"
"269",49,"European","Married/Partnered"
"270",54,"European","Married/Partnered"
"277",56,"European","Married/Partnered"
"279",28,"European","Married/Partnered"
"281",24,"European","Married/Partnered"
"284",27,"European","Married/Partnered"
"286",43,"European","Married/Partnered"
"288",30,"European","Married/Partnered"
"289",44,"European","Married/Partnered"
"291",54,"European","Married/Partnered"
"292",54,"European","Married/Partnered"
"294",42,"European","Divorced/Separated"
"295",55,"European","Married/Partnered"
"296",34,"European","Married/Partnered"
"303",43,"European","Married/Partnered"
"305",48,"European","Married/Partnered"
"307",34,"European","Married/Partnered"
"309",39,"European","Married/Partnered"
"310",44,"European","Married/Partnered"
"311",52,"European","Married/Partnered"
"312",37,"European","Married/Partnered"
"313",33,"European","Single"
"314",21,"European","Single"
"315",34,"European","Married/Partnered"
"316",56,"European","Married/Partnered"
"319",29,"European","Married/Partnered"
"320",47,"European","Married/Partnered"
"321",31,"European","Married/Partnered"
"322",28,"European","Married/Partnered"
"325",42,"European","Married/Partnered"
"326",48,"European","Married/Partnered"
"327",44,"European","Married/Partnered"
"328",53,"European","Married/Partnered"
"330",37,"European","Divorced/Separated"
"331",42,"European","Married/Partnered"
"333",54,"European","Married/Partnered"
"334",45,"European","Divorced/Separated"
"336",46,"European","Married/Partnered"
"337",34,"European","Married/Partnered"
"338",29,"European","Single"
"340",40,"European","Married/Partnered"
"341",54,"European","Single"
"346",53,"European","Married/Partnered"
"347",48,"European","Married/Partnered"
"349",52,"European","Married/Partnered"
"351",25,"European","Single"
"352",43,"European","Single"
"357",48,"European","Married/Partnered"
"358",51,"European","Married/Partnered"
"360",53,"European","Married/Partnered"
"362",32,"European","Married/Partnered"
"363",30,"European","Single"
"368",41,"European","Married/Partnered"
"370",57,"European","Married/Partnered"
"371",29,"European","Married/Partnered"
"373",53,"European","Married/Partnered"
"374",57,"European","Married/Partnered"
"377",29,"European","Married/Partnered"
"382",54,"European","Married/Partnered"
"383",46,"European","Married/Partnered"
"384",26,"European","Married/Partnered"
"387",34,"European","Married/Partnered"
"388",44,"European","Married/Partnered"
"391",35,"European","Married/Partnered"
"395",52,"European","Married/Partnered"
"399",44,"European","Married/Partnered"
"402",29,"European","Single"
"405",50,"European","Married/Partnered"
"406",57,"European","Married/Partnered"
"407",25,"European","Married/Partnered"
"408",54,"European","Married/Partnered"
"411",35,"European","Married/Partnered"
"413",31,"European","Married/Partnered"
"417",48,"European","Married/Partnered"
"419",25,"European","Single"
"420",50,"European","Married/Partnered"
"421",31,"European","Married/Partnered"
"422",37,"European","Divorced/Separated"
"424",48,"European","Married/Partnered"
"425",39,"European","Married/Partnered"
"427",41,"European","Married/Partnered"
"436",52,"European","Married/Partnered"
"444",59,"European","Married/Partnered"
"447",39,"European","Married/Partnered"
"448",26,"European","Single"
"456",41,"European","Married/Partnered"
"458",35,"European","Married/Partnered"
"459",31,"European","Married/Partnered"
"460",26,"European","Married/Partnered"
"462",32,"European","Married/Partnered"
"467",35,"European","Single"
"469",35,"European","Married/Partnered"
"472",36,"European","Married/Partnered"
"477",26,"European","Married/Partnered"
"480",35,"European","Married/Partnered"
"481",37,"European","Married/Partnered"
"487",41,"European","Married/Partnered"
"489",54,"European","Married/Partnered"
"491",49,"European","Married/Partnered"
"494",33,"European","Married/Partnered"
"495",31,"European","Married/Partnered"
"499",34,"European","Married/Partnered"
"501",24,"European","Single"
"503",42,"European","Divorced/Separated"
"505",24,"European","Single"
"509",57,"European","Married/Partnered"
"510",48,"European","Married/Partnered"
"512",29,"European","Married/Partnered"
"515",37,"European","Married/Partnered"
"518",58,"European","Married/Partnered"
"520",41,"European","Married/Partnered"
"522",43,"European","Married/Partnered"
"523",27,"European","Married/Partnered"
"524",47,"European","Married/Partnered"
"525",33,"European","Married/Partnered"
"528",56,"European","Married/Partnered"
"531",25,"European","Single"
"535",49,"European","Married/Partnered"
"536",41,"European","Married/Partnered"
"539",42,"European","Married/Partnered"
"540",32,"European","Single"
"542",31,"European","Married/Partnered"
"543",45,"European","Married/Partnered"
"544",41,"European","Married/Partnered"
"545",30,"European","Married/Partnered"
"552",41,"European","Married/Partnered"
"553",42,"European","Married/Partnered"
"554",59,"European","Married/Partnered"
"556",46,"European","Married/Partnered"
"557",51,"European","Married/Partnered"
"558",26,"European","Married/Partnered"
"559",42,"European","Married/Partnered"
"560",25,"European","Single"
"562",25,"European","Single"
"563",37,"European","Married/Partnered"
"567",42,"European","Married/Partnered"
"574",45,"European","Married/Partnered"
"575",49,"European","Married/Partnered"
"576",29,"European","Married/Partnered"
"577",24,"European","Single"
"578",46,"European","Married/Partnered"
"579",50,"European","Divorced/Separated"
"580",53,"European","Married/Partnered"
"584",31,"European","Married/Partnered"
"585",24,"European","Single"
"586",38,"European","Single"
"588",54,"European","Married/Partnered"
"589",58,"European","Married/Partnered"
"591",28,"European","Married/Partnered"
"592",57,"European","Married/Partnered"
"594",54,"European","Married/Partnered"
"595",50,"European","Divorced/Separated"
"596",52,"European","Divorced/Separated"
"598",41,"European","Married/Partnered"
"600",48,"European","Married/Partnered"
"602",46,"European","Married/Partnered"
"603",42,"European","Married/Partnered"
"613",19,"European","Divorced/Separated"
"618",45,"European","Married/Partnered"
"626",29,"European","Married/Partnered"
"627",32,"European","Married/Partnered"
"628",51,"European","Married/Partnered"
"629",52,"European","Married/Partnered"
"633",40,"European","Married/Partnered"
"635",28,"European","Married/Partnered"
"636",40,"European","Married/Partnered"
"637",51,"European","Married/Partnered"
"638",43,"European","Married/Partnered"
"639",34,"European","Married/Partnered"
"640",58,"European","Married/Partnered"
"641",52,"European","Married/Partnered"
"643",56,"European","Divorced/Separated"
"646",57,"European","Married/Partnered"
"647",56,"European","Married/Partnered"
"648",46,"European","Divorced/Separated"
"651",31,"European","Divorced/Separated"
"652",44,"European","Married/Partnered"
"653",35,"European","Married/Partnered"
"654",26,"European","Married/Partnered"
"655",53,"European","Married/Partnered"
"656",48,"European","Married/Partnered"
"657",43,"European","Married/Partnered"
"659",60,"European","Married/Partnered"
"661",31,"European","Married/Partnered"
"662",33,"European","Married/Partnered"
"666",49,"European","Married/Partnered"
"669",55,"European","Married/Partnered"
"670",34,"European","Married/Partnered"
"671",51,"European","Married/Partnered"
"672",34,"European","Single"
"674",32,"European","Married/Partnered"
"675",31,"European","Single"
"677",36,"European","Single"
"679",41,"European","Married/Partnered"
"681",40,"European","Married/Partnered"
"682",39,"European","Single"
"685",70,"European","Married/Partnered"
"687",48,"European","Married/Partnered"
"690",76,"European","Married/Partnered"
"692",45,"European","Married/Partnered"
"693",22,"European","Single"
"708",36,"European","Married/Partnered"
"709",50,"European","Married/Partnered"
"710",35,"European","Married/Partnered"
"711",43,"European","Married/Partnered"
"712",37,"European","Married/Partnered"
"716",34,"European","Married/Partnered"
"719",41,"European","Single"
"721",38,"European","Married/Partnered"
"724",24,"European","Married/Partnered"
"733",35,"European","Married/Partnered"
"739",41,"European","Married/Partnered"
"742",51,"European","Married/Partnered"
"745",29,"European","Married/Partnered"
"746",44,"European","Divorced/Separated"
"748",56,"European","Married/Partnered"
"749",34,"European","Single"
"750",40,"European","Married/Partnered"
"751",31,"European","Married/Partnered"
"752",37,"European","Married/Partnered"
"753",37,"European","Married/Partnered"
"754",31,"European","Married/Partnered"
"756",60,"European","Married/Partnered"
"757",37,"European","Married/Partnered"
"761",58,"European","Married/Partnered"
"762",60,"European","Married/Partnered"
"763",36,"European","Married/Partnered"
"764",27,"European","Married/Partnered"
"769",29,"European","Married/Partnered"
"770",48,"European","Married/Partnered"
"773",37,"European","Divorced/Separated"
"774",43,"European","Married/Partnered"
"775",39,"European","Divorced/Separated"
"776",46,"European","Married/Partnered"
"778",34,"European","Divorced/Separated"
"781",50,"European","Married/Partnered"
"783",43,"European","Married/Partnered"
"785",41,"European","Married/Partnered"
"788",46,"European","Married/Partnered"
"789",49,"European","Married/Partnered"
"790",53,"European","Married/Partnered"
"792",30,"European","Married/Partnered"
"793",31,"European","Married/Partnered"
"795",38,"European","Married/Partnered"
"796",33,"European","Married/Partnered"
"797",52,"European","Married/Partnered"
"798",30,"European","Single"
"801",46,"European","Divorced/Separated"
"802",35,"European","Married/Partnered"
"803",40,"European","Married/Partnered"
"807",54,"European","Married/Partnered"
"810",48,"European","Married/Partnered"
"811",44,"European","Married/Partnered"
"813",50,"European","Married/Partnered"
"814",37,"European","Married/Partnered"
"815",48,"European","Married/Partnered"
"818",48,"European","Married/Partnered"
"820",53,"European","Married/Partnered"
"823",41,"European","Divorced/Separated"
"825",46,"European","Married/Partnered"
"826",34,"European","Married/Partnered"
"828",35,"European","Married/Partnered"
"829",33,"European","Married/Partnered"
"831",51,"European","Divorced/Separated"
"832",28,"European","Married/Partnered"
"834",53,"European","Married/Partnered"
"839",44,"European","Married/Partnered"
"841",30,"European","Married/Partnered"
"844",37,"European","Married/Partnered"
"847",48,"European","Divorced/Separated"
"849",30,"European","Single"
"851",38,"European","Married/Partnered"
"853",22,"European","Single"
"855",20,"European","Single"
"857",26,"European","Married/Partnered"
"862",30,"European","Married/Partnered"
"863",36,"European","Single"
"865",33,"European","Married/Partnered"
"872",31,"European","Married/Partnered"
"873",39,"European","Married/Partnered"
"880",35,"European","Married/Partnered"
"884",30,"European","Married/Partnered"
"885",51,"European","Married/Partnered"
"886",27,"European","Married/Partnered"
"890",28,"European","Married/Partnered"
"894",38,"European","Divorced/Separated"
"895",47,"European","Married/Partnered"
"896",48,"European","Married/Partnered"
"897",56,"European","Married/Partnered"
"898",48,"European","Married/Partnered"
"900",60,"European","Married/Partnered"
"901",41,"European","Married/Partnered"
"902",41,"European","Married/Partnered"
"904",31,"European","Married/Partnered"
"905",45,"European","Married/Partnered"
"906",34,"European","Married/Partnered"
"907",36,"European","Single"
"910",36,"European","Married/Partnered"
"912",27,"European","Married/Partnered"
"916",34,"European","Married/Partnered"
"918",53,"European","Married/Partnered"
"919",45,"European","Married/Partnered"
"920",49,"European","Married/Partnered"
"924",57,"European","Married/Partnered"
"933",51,"European","Married/Partnered"
"934",45,"European","Married/Partnered"
"935",42,"European","Married/Partnered"
"936",40,"European","Married/Partnered"
"937",27,"European","Single"
"938",27,"European","Married/Partnered"
"940",47,"European","Married/Partnered"
"941",41,"European","Married/Partnered"
"943",29,"European","Married/Partnered"
"944",38,"European","Married/Partnered"
"945",50,"European","Married/Partnered"
"953",34,"European","Married/Partnered"
"955",45,"European","Married/Partnered"
"956",42,"European","Married/Partnered"
"957",48,"European","Married/Partnered"
"958",46,"European","Married/Partnered"
"960",42,"European","Married/Partnered"
"961",45,"European","Married/Partnered"
"962",47,"European","Married/Partnered"
"967",42,"European","Married/Partnered"
"972",53,"European","Married/Partnered"
"973",31,"European","Married/Partnered"
"976",20,"European","Single"
"977",30,"European","Single"
"978",44,"European","Widowed"
"980",28,"European","Married/Partnered"
"981",24,"European","Single"
"982",36,"European","Single"
"989",54,"European","Married/Partnered"
"990",58,"European","Divorced/Separated"
"995",44,"European","Single"
"996",40,"European","Married/Partnered"
"997",22,"European","Single"
"998",46,"European","Married/Partnered"
"1003",27,"European","Married/Partnered"
"1004",36,"European","Married/Partnered"
"1006",51,"European","Married/Partnered"
"1007",49,"European","Married/Partnered"
"1008",55,"European","Married/Partnered"
"1009",42,"European","Married/Partnered"
"1010",39,"European","Married/Partnered"
"1011",42,"European","Married/Partnered"
"1017",57,"European","Married/Partnered"
"1020",45,"European","Married/Partnered"
"1022",49,"European","Married/Partnered"
"1024",42,"European","Married/Partnered"
"1027",50,"European","Married/Partnered"
"1029",35,"European","Single"
"1030",44,"European","Married/Partnered"
"1031",40,"European","Married/Partnered"
"1033",36,"European","Married/Partnered"
"1034",54,"European","Married/Partnered"
"1036",22,"European","Single"
"1037",46,"European","Married/Partnered"
"1038",53,"European","Married/Partnered"
"1040",19,"European","Single"
"1041",39,"European","Married/Partnered"
"1042",48,"European","Married/Partnered"
"1043",22,"European","Single"
"1044",23,"European","Single"
"1045",39,"European","Married/Partnered"
"1046",23,"European","Single"
"1048",51,"European","Married/Partnered"
"1049",50,"European","Married/Partnered"
"1052",46,"European","Married/Partnered"
"1055",42,"European","Married/Partnered"
"1056",44,"European","Married/Partnered"
"1058",25,"European","Married/Partnered"
"1059",33,"European","Married/Partnered"
"1060",21,"European","Single"
"1061",20,"European","Single"
"1062",51,"European","Married/Partnered"
"1063",31,"European","Married/Partnered"
"1064",59,"European","Single"
"1065",21,"European","Single"
"1066",43,"European","Married/Partnered"
"1067",19,"European","Single"
"1068",49,"European","Married/Partnered"
"1069",37,"European","Married/Partnered"
"1070",41,"European","Married/Partnered"
"1072",27,"European","Married/Partnered"
"1073",19,"European","Single"
"1075",58,"European","Married/Partnered"
"1076",45,"European","Single"
"1077",42,"European","Married/Partnered"
"1079",46,"European","Married/Partnered"
"1080",45,"European","Married/Partnered"
"1081",52,"European","Married/Partnered"
"1083",23,"European","Married/Partnered"
"1084",52,"European","Married/Partnered"
"1086",44,"European","Married/Partnered"
"1087",32,"European","Married/Partnered"
"1088",41,"European","Married/Partnered"
"1091",59,"European","Married/Partnered"
"1092",37,"European","Married/Partnered"
"1093",45,"European","Married/Partnered"
"1097",47,"European","Married/Partnered"
"1100",60,"European","Married/Partnered"
"1101",29,"European","Married/Partnered"
"1104",39,"European","Divorced/Separated"
"1107",49,"European","Married/Partnered"
"1109",52,"European","Married/Partnered"
"1112",47,"European","Married/Partnered"
"1116",48,"European","Married/Partnered"
"1119",52,"European","Married/Partnered"
"1123",29,"European","Married/Partnered"
"1124",28,"European","Single"
"1126",45,"European","Married/Partnered"
"1127",51,"European","Married/Partnered"
"1128",38,"European","Married/Partnered"
"1129",44,"European","Married/Partnered"
"1131",46,"European","Married/Partnered"
"1132",25,"European","Single"
"1133",31,"European","Single"
"1134",37,"European","Married/Partnered"
"1135",56,"European","Married/Partnered"
"1137",39,"European","Married/Partnered"
"1138",59,"European","Married/Partnered"
"1139",59,"European","Married/Partnered"
"1140",43,"European","Married/Partnered"
"1141",59,"European","Married/Partnered"
"1143",34,"European","Married/Partnered"
"1144",36,"European","Married/Partnered"
"1145",36,"European","Married/Partnered"
"1147",30,"European","Married/Partnered"
"1148",55,"European","Married/Partnered"
"1149",46,"European","Divorced/Separated"
"1151",36,"European","Married/Partnered"
"1154",43,"European","Married/Partnered"
"1156",56,"European","Married/Partnered"
"1166",43,"European","Married/Partnered"
"1170",51,"European","Divorced/Separated"
"1173",36,"European","Married/Partnered"
"1174",44,"European","Married/Partnered"
"1179",46,"European","Married/Partnered"
"1182",44,"European","Married/Partnered"
"1184",50,"European","Married/Partnered"
"1186",48,"European","Married/Partnered"
"1191",45,"European","Married/Partnered"
"1193",39,"European","Married/Partnered"
"1196",54,"European","Married/Partnered"
"1198",25,"European","Single"
"1199",50,"European","Married/Partnered"
"1201",52,"European","Married/Partnered"
"1202",32,"European","Married/Partnered"
"1203",48,"European","Married/Partnered"
"1209",42,"European","Married/Partnered"
"1210",55,"European","Married/Partnered"
"1223",59,"European","Married/Partnered"
"1224",55,"European","Married/Partnered"
"1225",49,"European","Married/Partnered"
"1230",32,"European","Married/Partnered"
"1231",23,"European","Married/Partnered"
"1232",64,"European","Married/Partnered"
"1237",60,"European","Married/Partnered"
"1238",52,"European","Married/Partnered"
"1239",39,"European","Married/Partnered"
"1241",46,"European","Married/Partnered"
"1245",55,"European","Married/Partnered"
"1251",47,"European","Married/Partnered"
"1253",38,"European","Married/Partnered"
"1256",28,"European","Married/Partnered"
"1257",57,"European","Married/Partnered"
"1259",36,"European","Married/Partnered"
"1260",42,"European","Married/Partnered"
"1261",34,"European","Married/Partnered"
"1262",49,"European","Divorced/Separated"
"1266",32,"European","Married/Partnered"
"1267",39,"European","Married/Partnered"
"1272",41,"European","Married/Partnered"
"1273",51,"European","Married/Partnered"
"1275",25,"European","Single"
"1276",36,"European","Married/Partnered"
"1279",38,"European","Married/Partnered"
"1281",43,"European","Married/Partnered"
"1283",53,"European","Married/Partnered"
"1284",21,"European","Single"
"1285",48,"European","Married/Partnered"
"1286",32,"European","Married/Partnered"
"1289",54,"European","Married/Partnered"
"1291",46,"European","Married/Partnered"
"1292",55,"European","Married/Partnered"
"1295",36,"European","Married/Partnered"
"1297",48,"European","Divorced/Separated"
"1298",40,"European","Married/Partnered"
"1299",37,"European","Married/Partnered"
"1301",41,"European","Married/Partnered"
"1302",36,"European","Married/Partnered"
"1303",58,"European","Married/Partnered"
"1308",24,"European","Married/Partnered"
"1314",42,"European","Married/Partnered"
"1315",30,"European","Single"
"1317",30,"European","Married/Partnered"
"1318",45,"European","Married/Partnered"
"1319",36,"European","Married/Partnered"
"1321",45,"European","Married/Partnered"
"1323",49,"European","Married/Partnered"
"1325",42,"European","Married/Partnered"
"1326",28,"European","Married/Partnered"
"1327",47,"European","Married/Partnered"
"1328",46,"European","Married/Partnered"
"1330",43,"European","Married/Partnered"
"1333",33,"European","Married/Partnered"
"1340",51,"European","Married/Partnered"
"1341",34,"European","Married/Partnered"
"1342",40,"European","Married/Partnered"
"1345",27,"European","Married/Partnered"
"1346",23,"European","Married/Partnered"
"1347",41,"European","Married/Partnered"
"1348",50,"European","Married/Partnered"
"1350",23,"European","Single"
"1352",31,"European","Single"
"1355",38,"European","Divorced/Separated"
"1356",60,"European","Married/Partnered"
"1358",39,"European","Married/Partnered"
"1360",23,"European","Married/Partnered"
"1367",48,"European","Married/Partnered"
"1369",54,"European","Married/Partnered"
"1377",29,"European","Single"
"1382",27,"European","Single"
"1383",53,"European","Married/Partnered"
"1384",26,"European","Married/Partnered"
"1386",31,"European","Married/Partnered"
"1387",41,"European","Divorced/Separated"
"1388",56,"European","Married/Partnered"
"1389",44,"European","Married/Partnered"
"1391",57,"European","Married/Partnered"
"1393",61,"European","Married/Partnered"
"1394",42,"European","Married/Partnered"
"1395",55,"European","Married/Partnered"
"1397",23,"European","Single"
"1398",48,"European","Married/Partnered"
"1401",25,"European","Single"
"1405",47,"European","Married/Partnered"
"1406",23,"European","Single"
"1409",34,"European","Married/Partnered"
"1412",28,"European","Single"
"1413",55,"European","Married/Partnered"
"1415",47,"European","Divorced/Separated"
"1418",35,"European","Married/Partnered"
"1420",34,"European","Married/Partnered"
"1422",29,"European","Single"
"1424",51,"European","Married/Partnered"
"1429",49,"European","Married/Partnered"
"1432",24,"European","Single"
"1433",50,"European","Married/Partnered"
"1436",41,"European","Married/Partnered"
"1437",47,"European","Married/Partnered"
"1443",40,"European","Married/Partnered"
"1444",58,"European","Married/Partnered"
"1450",30,"European","Single"
"1451",53,"European","Married/Partnered"
"1452",30,"European","Married/Partnered"
"1456",57,"European","Married/Partnered"
"1457",33,"European","Married/Partnered"
"1463",47,"European","Married/Partnered"
"1464",20,"European","Single"
"1465",35,"European","Single"
"1466",62,"European","Married/Partnered"
"1467",53,"European","Married/Partnered"
"1468",35,"European","Single"
"1469",19,"European","Single"
"1470",24,"European","Single"
"1471",18,"European","Single"
"1472",22,"European","Single"
"1473",24,"European","Single"
"1474",46,"European","Married/Partnered"
"1475",43,"European","Married/Partnered"
"1476",21,"European","Single"
"1478",27,"European","Married/Partnered"
"1479",35,"European","Married/Partnered"
"1480",42,"European","Married/Partnered"
"1481",36,"European","Married/Partnered"
"1482",31,"European","Married/Partnered"
"1485",20,"European","Single"
"1488",20,"European","Single"
"1489",45,"European","Married/Partnered"
"1490",27,"European","Married/Partnered"
"1494",35,"European","Married/Partnered"
"1495",20,"European","Single"
"1497",21,"European","Single"
"1498",44,"European","Married/Partnered"
"1499",84,"European","Married/Partnered"
"1500",29,"European","Married/Partnered"
"1501",45,"European","Married/Partnered"
"1502",36,"European","Married/Partnered"
"1504",20,"European","Single"
"1506",21,"European","Single"
"1507",20,"European","Married/Partnered"
"1509",44,"European","Divorced/Separated"
"1510",21,"European","Single"
"1511",34,"European","Married/Partnered"
"1512",29,"European","Married/Partnered"
"1513",28,"European","Married/Partnered"
"1514",43,"European","Married/Partnered"
"1515",38,"European","Single"
"1516",32,"European","Married/Partnered"
"1518",20,"European","Single"
"1519",18,"European","Single"
"1520",28,"European","Married/Partnered"
"1522",24,"European","Married/Partnered"
"1523",43,"European","Divorced/Separated"
"1524",24,"European","Single"
"1525",55,"European","Married/Partnered"
"1526",42,"European","Married/Partnered"
"1529",35,"European","Married/Partnered"
"1530",69,"European","Single"
"1534",33,"European","Married/Partnered"
"1535",28,"European","Married/Partnered"
"1536",40,"European","Married/Partnered"
"1538",43,"European","Married/Partnered"
"1539",44,"European","Married/Partnered"
"1540",44,"European","Married/Partnered"
"1541",33,"European","Married/Partnered"
"1542",45,"European","Married/Partnered"
"1543",28,"European","Married/Partnered"
"1544",20,"European","Single"
"1545",20,"European","Married/Partnered"
"1547",29,"European","Single"
"1549",32,"European","Married/Partnered"
"1550",60,"European","Married/Partnered"
"1552",45,"European","Married/Partnered"
"1558",41,"European","Married/Partnered"
"1559",32,"European","Married/Partnered"
"1562",48,"European","Married/Partnered"
"1566",36,"European","Married/Partnered"
"1567",45,"European","Married/Partnered"
"1569",59,"European","Married/Partnered"
"1575",61,"European","Married/Partnered"
"1576",52,"European","Married/Partnered"
"1581",45,"European","Married/Partnered"
"1582",35,"European","Married/Partnered"
"1584",52,"European","Married/Partnered"
"1587",42,"European","Married/Partnered"
"1589",32,"European","Married/Partnered"
"1591",25,"European","Married/Partnered"
"1593",34,"European","Married/Partnered"
"1594",31,"European","Married/Partnered"
"1595",58,"European","Married/Partnered"
"1596",64,"European","Married/Partnered"
"1597",30,"European","Married/Partnered"
"1599",41,"European","Married/Partnered"
"1600",62,"European","Married/Partnered"
"1601",49,"European","Married/Partnered"
"1603",35,"European","Married/Partnered"
"1604",31,"European","Married/Partnered"
"1606",42,"European","Married/Partnered"
"1607",37,"European","Married/Partnered"
"1609",32,"European","Married/Partnered"
"1610",46,"European","Married/Partnered"
"1613",41,"European","Married/Partnered"
"1614",37,"European","Married/Partnered"
"1615",29,"European","Married/Partnered"
"1617",43,"European","Married/Partnered"
"1618",38,"European","Married/Partnered"
"1619",40,"European","Married/Partnered"
"1620",44,"European","Married/Partnered"
"1621",24,"European","Single"
"1622",41,"European","Married/Partnered"
"1623",50,"European","Married/Partnered"
"1624",34,"European","Married/Partnered"
"1626",22,"European","Single"
"1627",41,"European","Married/Partnered"
"1628",31,"European","Married/Partnered"
"1629",46,"European","Married/Partnered"
"1630",44,"European","Married/Partnered"
"1631",26,"European","Single"
"1632",40,"European","Married/Partnered"
"1633",46,"European","Divorced/Separated"
"1634",28,"European","Married/Partnered"
"1638",47,"European","Divorced/Separated"
"1639",41,"European","Married/Partnered"
"1640",40,"European","Married/Partnered"
"1641",30,"European","Married/Partnered"
"1642",43,"European","Married/Partnered"
"1643",26,"European","Married/Partnered"
"1644",43,"European","Married/Partnered"
"1645",41,"European","Married/Partnered"
"1646",30,"European","Married/Partnered"
"1647",51,"European","Married/Partnered"
"1650",23,"European","Single"
"1651",35,"European","Married/Partnered"
"1652",39,"European","Married/Partnered"
"1653",46,"European","Married/Partnered"
"1655",27,"European","Single"
"1656",24,"European","Married/Partnered"
"1657",38,"European","Single"
"1658",58,"European","Married/Partnered"
"1659",33,"European","Married/Partnered"
"1660",35,"European","Married/Partnered"
"1661",55,"European","Divorced/Separated"
"1662",50,"European","Married/Partnered"
"1663",45,"European","Divorced/Separated"
