"","agaaus","beitaw","corlae","cyadea","cyamed","daccup","dacdac","eladen","hedarb","hohpop","kniexc","kuneri","lepsco","metrob","neslan","rhosap","vitluc","altitude"
"54",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,150
"55",1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,140
"56",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,140
"57",0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,160
"58",0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,260
"59",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,240
"60",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,300
"61",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,300
"62",0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,280
"63",0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,260
"64",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,220
"65",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,270
"66",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,210
"67",1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,240
"68",0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,200
"69",0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,100
"70",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,120
"71",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,240
"73",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,260
"74",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,180
"75",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,70
"76",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150
"77",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,90
"78",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,160
"79",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,200
"80",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,230
"81",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,200
"82",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,140
"83",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,190
"84",0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,270
"85",1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,150
"86",1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,200
"87",0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,100
"88",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,100
"89",0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,130
"90",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,200
"91",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,250
"92",0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,120
"93",0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,180
"94",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,80
"95",0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,370
"96",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,240
"97",1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,180
"98",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120
"99",1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,125
"100",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,80
"101",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90
"102",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90
"103",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90
"104",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120
"105",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,20
"106",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
"107",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
"108",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
"109",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90
"110",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,100
"111",1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,120
"112",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,180
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100
"114",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150
"115",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,100
"116",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,160
"117",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"119",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,180
"120",1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,260
"121",1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,225
"122",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,290
"123",1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,80
"124",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,180
"125",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,60
"126",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,30
"127",0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,290
"128",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
"129",0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,140
"130",1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,60
"131",1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,60
"132",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70
"133",1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,90
"134",0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,40
"135",0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,50
"136",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,85
"137",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,140
"138",0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,140
"139",1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,220
"140",1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,140
"141",0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,250
"142",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,160
"143",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,310
"144",0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,180
"145",1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,300
"146",0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,300
"147",0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,260
"148",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,150
"149",0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,260
"150",0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,200
"151",0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,280
"152",0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,250
"153",0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,250
"154",1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,230
"155",0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,320
"156",1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,200
"157",0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,200
"158",0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,250
"159",0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,240
"160",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,200
"161",0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,300
"162",0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,140
"163",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,90
"164",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,60
"165",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60
"166",0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,260
"167",0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,180
"168",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,260
"169",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,260
"170",1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,140
"171",1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,20
"172",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
"173",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,100
"174",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"175",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"176",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100
"178",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,100
"179",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
"181",0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,80
"182",0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,80
"183",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,100
"184",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,80
"185",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120
"186",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,200
"187",0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,250
"188",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,110
"189",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,60
"190",1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,115
"191",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,190
"192",1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,120
"193",1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,140
"194",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,190
"195",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,130
"196",0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,190
"197",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40
"198",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"199",0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,200
"200",0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,160
"201",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,240
"202",0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,200
"203",1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,200
"204",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,220
"205",0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,260
"206",0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,160
"207",0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,290
"208",0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,140
"209",0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,300
"210",0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,320
"211",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,270
"212",0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,260
"213",0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,240
"214",0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,310
"215",0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,300
"216",0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,300
"217",0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,340
"218",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,320
"219",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,330
"220",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,300
"221",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,370
"222",0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,320
"223",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,390
"224",0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,340
"225",0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,305
"226",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,220
"227",1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,400
"228",0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,230
"229",0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,300
"230",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,340
"231",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,50
"232",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,10
"233",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,250
"234",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,218
"235",0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,245
"236",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"237",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,200
"238",0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,160
"239",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,200
"240",0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,250
"241",0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,290
"242",1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,280
"243",0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,80
"244",0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,270
"245",0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,260
"246",0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,110
"247",0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,200
"248",0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,120
"249",0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,160
"250",0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,320
"251",0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,300
"252",0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,370
"253",0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,340
"254",0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,280
"255",0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,200
"256",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,190
"257",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,200
"258",0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,180
"259",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,100
"260",1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,120
"261",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140
"262",0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,110
"263",0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,200
"264",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,220
"265",0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,110
"266",0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,100
"267",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
"268",1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,100
"269",0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,180
"270",0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,180
"271",0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,320
"272",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,360
"273",0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,150
"274",0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,140
"275",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,325
"276",0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,240
"277",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,150
"278",0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,160
"279",0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,140
"280",1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,70
"281",0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,160
"282",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,110
"283",0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,90
"284",0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,200
"285",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,70
"286",0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,110
"287",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,280
"288",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200
"289",0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,220
"290",0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,360
"291",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,380
"292",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,260
"293",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,390
"294",1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,280
"295",1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,160
"296",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,320
"297",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,220
"298",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,300
"299",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,345
"300",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
"301",0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,180
"302",1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,200
"303",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,390
"304",0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,180
"305",0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,90
"306",0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,270
"307",0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,200
"308",0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,340
"309",0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,370
"310",0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,260
"311",1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,240
"312",0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,240
"313",0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,210
"314",0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,300
"315",0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,360
"316",0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,340
"317",0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,200
"318",1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,200
"319",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,300
"320",0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,270
"321",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,280
"322",0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,200
"323",0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,170
"324",0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,160
"325",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,190
"326",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,190
"327",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,140
"328",1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,140
"329",0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,150
"330",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,170
"331",1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,360
"332",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,320
"333",0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,325
"334",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335",0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,320
"336",0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,320
"337",0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,340
"338",0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,280
"339",0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,260
"340",1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,200
"341",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,200
"342",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,140
"343",0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,240
"344",0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,170
"345",0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,190
"346",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,200
"347",0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,150
"348",0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,340
"349",0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,220
"350",0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,180
"351",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
"352",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,160
"353",0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,230
"354",0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,240
