"","year","month","day","hour","sealevel","ohour","Year"
"324627",1977,1,12,2,101,324626,1977.03138403694
"325596",1977,2,21,11,97,325595,1977.14192173611
"332158",1977,11,21,21,118,332157,1977.89047527788
"332266",1977,11,26,9,96,332265,1977.90279526912
"332566",1977,12,8,21,94,332565,1977.93701746701
"333410",1978,1,13,1,92,333409,1978.03329591706
"333794",1978,1,29,1,132,333793,1978.07710033036
"335447",1978,4,7,22,94,335446,1978.26566464071
"336142",1978,5,6,21,99,336141,1978.34494606582
"336515",1978,5,22,10,95,336514,1978.38749566519
"339731",1978,10,3,10,111,339730,1978.75435762653
"339755",1978,10,4,10,100,339754,1978.75709540236
"341097",1978,11,29,8,99,341096,1978.91018270091
"341520",1978,12,16,23,96,341519,1978.95843599993
"341843",1978,12,30,10,96,341842,1978.99528189965
"342563",1979,1,29,10,114,342562,1979.07741517458
"342936",1979,2,13,23,107,342935,1979.11996477395
"343009",1979,2,17,0,140,343008,1979.12829217544
"343656",1979,3,15,23,104,343655,1979.20209804888
"343967",1979,3,28,22,106,343966,1979.23757506069
"344614",1979,4,24,21,114,344613,1979.31138093413
"347396",1979,8,18,19,92,347395,1979.62873478253
"348276",1979,9,24,11,129,348275,1979.72911989633
"348776",1979,10,15,7,104,348775,1979.78615689281
"349523",1979,11,15,10,118,349522,1979.87137016554
"349593",1979,11,18,8,122,349592,1979.87935534505
"350409",1979,12,22,8,160,350408,1979.9724397233
"350650",1980,1,1,9,109,350649,1979.9999315556
"350998",1980,1,15,21,103,350997,1980.03962930515
"352439",1980,3,15,22,100,352438,1980.204009929
"355220",1980,7,9,19,98,355219,1980.52124970341
"357609",1980,10,17,8,111,357608,1980.79377247258
"357803",1980,10,25,10,134,357802,1980.81590282721
"358810",1980,12,6,9,107,358809,1980.93077533812
"365915",1981,9,28,10,99,365914,1981.74127105806
"366323",1981,10,15,10,92,366322,1981.78781324718
"366599",1981,10,26,22,135,366598,1981.81929766924
"367715",1981,12,12,10,109,367714,1981.94660424538
"367953",1981,12,22,8,138,367952,1981.9737538557
"368124",1981,12,29,11,130,368123,1981.9932605085
"368187",1982,1,1,2,98,368186,1982.00044717005
"374870",1982,10,6,13,130,374869,1982.76280366497
"375057",1982,10,14,8,112,375056,1982.78413550165
"375801",1982,11,14,8,105,375800,1982.86900655241
"375874",1982,11,17,9,96,375873,1982.8773339539
"376137",1982,11,28,8,129,376136,1982.90733541404
"376211",1982,12,1,10,113,376210,1982.91577688952
"376619",1982,12,18,10,106,376618,1982.96231907865
"377963",1983,2,12,10,101,377962,1983.11563452518
"379043",1983,3,29,10,104,379042,1983.23883443757
"380085",1983,5,11,20,96,380084,1983.35769953823
"380348",1983,5,22,19,100,380347,1983.38770099838
"385475",1983,12,22,10,122,385474,1983.97255836025
"387204",1984,3,3,11,94,387203,1984.16979229407
"387924",1984,4,2,11,98,387923,1984.251925569
"389088",1984,5,20,23,118,389087,1984.3847076968
"389252",1984,5,27,19,105,389251,1984.40341583165
"389465",1984,6,5,16,92,389464,1984.42771359214
"392110",1984,9,23,21,105,392109,1984.72943930351
"392347",1984,10,3,18,94,392346,1984.75647483984
"392395",1984,10,5,18,94,392394,1984.7619503915
"393513",1984,11,21,8,118,393512,1984.88948511563
"393562",1984,11,23,9,103,393561,1984.89507474128
"394642",1985,1,7,9,92,394641,1985.01827465367
"394929",1985,1,19,8,91,394928,1985.05101388965
"395052",1985,1,24,11,92,395051,1985.06504499078
"395474",1985,2,11,1,93,395473,1985.11318421581
"396395",1985,3,21,10,103,396394,1985.21824636332
"397413",1985,5,2,20,103,397412,1985.33437368815
"402033",1985,11,11,8,95,402032,1985.8613955356
"402083",1985,11,13,10,123,402082,1985.86709923525
"403450",1986,1,9,9,103,403449,1986.02303838362
"403996",1986,2,1,3,157,403995,1986.08532278377
"404195",1986,2,9,10,98,404194,1986.10802350837
"404554",1986,2,24,9,98,404553,1986.14897607184
"405836",1986,4,18,19,92,405835,1986.29521893081
"410267",1986,10,20,10,92,410266,1986.80068079359
"410603",1986,11,3,10,99,410602,1986.83900965522
"412343",1987,1,14,22,99,412342,1987.03749840296
"414095",1987,3,28,22,96,414094,1987.23735603862
"415174",1987,5,12,21,100,415173,1987.36044187702
"416974",1987,7,26,21,97,416973,1987.56577506434
"417671",1987,8,24,22,96,417670,1987.64528463743
"418823",1987,10,11,22,108,418822,1987.77669787731
"419868",1987,11,24,11,136,419867,1987.89590519995
"420008",1987,11,30,7,97,420007,1987.91187555896
"420154",1987,12,6,9,100,420153,1987.92853036193
"422927",1988,3,30,22,95,422926,1988.2448575444
"428577",1988,11,21,8,92,428576,1988.88937560459
"428935",1988,12,6,6,103,428934,1988.93021409407
"431038",1989,3,3,21,102,431037,1989.17011170125
"431855",1989,4,6,22,99,431854,1989.2633101535
"437384",1989,11,23,7,91,437383,1989.89402526055
"437965",1989,12,17,12,91,437964,1989.96030225045
"445666",1990,11,3,9,108,445665,1990.8387860702
"446199",1990,11,25,14,116,446198,1990.89958750844
"446263",1990,11,28,6,99,446262,1990.90688824399
"446547",1990,12,10,2,126,446546,1990.93928525799
"453515",1991,9,26,10,102,453514,1991.7341528409
"453900",1991,10,12,11,123,453899,1991.77807132819
"454138",1991,10,22,9,91,454137,1991.80522093851
"454833",1991,11,20,8,103,454832,1991.88450236361
"454934",1991,11,24,13,107,454933,1991.8960238369
"455603",1991,12,22,10,94,455602,1991.97233933819
"458063",1992,4,2,22,108,458062,1992.25296136086
"458374",1992,4,15,21,95,458373,1992.28843837267
"462490",1992,10,4,9,113,462489,1992.75796692767
"462634",1992,10,10,9,95,462633,1992.77439358265
"462896",1992,10,21,7,100,462895,1992.80428096881
"463018",1992,10,26,9,100,463017,1992.81819799595
"463067",1992,10,28,10,91,463066,1992.8237876216
"464050",1992,12,8,9,141,464049,1992.93592235668
"470757",1993,9,13,20,94,470756,1993.70101662743
"471214",1993,10,2,21,111,471213,1993.75314844221
"471301",1993,10,6,12,100,471300,1993.76307287959
"471490",1993,10,14,9,123,471489,1993.78463286426
"471563",1993,10,17,10,96,471562,1993.79296026575
"472955",1993,12,14,10,92,472954,1993.95175126394
"473241",1993,12,26,8,103,473240,1993.98437642592
"473626",1994,1,11,9,111,473625,1994.02829491321
"476680",1994,5,18,15,96,476679,1994.3766768877
"480804",1994,11,6,11,105,480803,1994.84711803464
"482146",1995,1,1,9,107,482145,1995.00020533319
"485325",1995,5,13,20,98,485324,1995.36284655679
"487884",1995,8,28,11,99,487883,1995.65476190476
"488158",1995,9,8,21,93,488157,1995.68601817883
"490691",1995,12,23,10,103,490690,1995.97496760299
"490879",1995,12,31,6,112,490878,1995.99641351366
"491051",1996,1,7,10,104,491050,1996.01603424045
"492096",1996,2,19,23,103,492095,1996.13524156309
"494084",1996,5,12,19,94,494083,1996.36202066108
"495064",1996,6,22,15,103,495063,1996.47381317418
"497820",1996,10,15,11,110,497819,1996.78820109876
"498540",1996,11,14,11,111,498539,1996.87033437369
"498632",1996,11,18,7,132,498631,1996.88082918104
"498778",1996,11,24,9,114,498777,1996.89748398401
"498876",1996,11,28,11,102,498875,1996.90866323532
"499250",1996,12,14,1,94,499249,1996.95132690869
"499523",1996,12,25,10,111,499522,1996.98246910876
"499758",1997,1,4,5,120,499757,1997.00927649711
"499883",1997,1,9,10,99,499882,1997.02353574623
"502701",1997,5,6,20,121,502700,1997.34499625837
"503757",1997,6,19,20,103,503756,1997.46545839493
"506554",1997,10,14,9,97,506553,1997.78452335323
"507124",1997,11,7,3,105,507123,1997.84954552921
"507249",1997,11,12,8,118,507248,1997.86380477833
"507274",1997,11,13,9,112,507273,1997.86665662816
"507756",1997,12,3,11,111,507755,1997.92164029276
"508164",1997,12,20,11,123,508163,1997.96818248189
"510838",1998,4,10,21,94,510837,1998.27321633905
"511247",1998,4,27,22,91,511246,1998.31987260216
"514452",1998,9,8,11,91,514451,1998.68547974958
"515148",1998,10,7,11,124,515147,1998.76487524868
"515197",1998,10,9,12,95,515196,1998.77046487434
"515794",1998,11,3,9,104,515793,1998.83856704813
"516539",1998,12,4,10,113,516538,1998.92355217288
"519731",1999,4,16,10,107,519730,1999.28767635839
"519768",1999,4,17,23,103,519767,1999.29189709613
"523508",1999,9,20,19,100,523507,1999.71853382978
"524339",1999,10,25,10,112,524338,1999.81332931793
"524363",1999,10,26,10,110,524362,1999.81606709376
"524650",1999,11,7,9,116,524649,1999.84880632974
"524985",1999,11,21,8,121,524984,1999.88702111738
"525680",1999,12,20,7,92,525679,1999.96630254248
"525875",1999,12,28,10,97,525874,1999.98854697111
"528264",2000,4,5,23,111,528263,2000.26106974028
"528501",2000,4,15,20,95,528500,2000.28810527661
"532287",2000,9,20,14,91,532286,2000.71998941393
"532524",2000,9,30,11,99,532523,2000.74702495026
"532597",2000,10,3,12,99,532596,2000.75535235175
"532835",2000,10,13,10,111,532834,2000.78250196207
"533421",2000,11,6,20,141,533420,2000.84934932194
"533768",2000,11,21,7,124,533767,2000.8889329975
"533891",2000,11,26,10,96,533890,2000.90296409863
"534201",2000,12,9,8,95,534200,2000.93832703645
"534586",2000,12,25,9,108,534585,2000.98224552374
"534673",2000,12,29,0,103,534672,2000.99216996112
"534798",2001,1,3,5,109,534797,2001.00642921024
"534922",2001,1,8,9,111,534921,2001.02057438537
"534970",2001,1,10,9,95,534969,2001.02604993703
"535345",2001,1,26,0,92,535344,2001.06882768439
"536213",2001,3,3,4,91,536212,2001.16784391027
"536351",2001,3,8,22,102,536350,2001.1835861213
"536759",2001,3,25,22,95,536758,2001.23012831043
"537070",2001,4,7,21,103,537069,2001.26560532224
"539541",2001,7,19,20,95,539540,2001.54748215883
"540909",2001,9,14,20,98,540908,2001.70353538119
"541020",2001,9,19,11,94,541019,2001.71619759441
"542362",2001,11,14,9,123,542361,2001.86928489295
"543466",2001,12,30,9,100,543465,2001.99522258118
"545939",2002,4,12,10,95,545938,2002.27732756575
"545964",2002,4,13,11,92,545963,2002.28017941558
"547291",2002,6,7,18,97,547290,2002.43155560423
"548832",2002,8,10,23,98,548831,2002.60734362737
"549900",2002,9,24,11,104,549899,2002.72917465185
"550570",2002,10,22,9,113,550569,2002.80560422713
"550882",2002,11,4,9,95,550881,2002.84119531293
"551144",2002,11,15,7,103,551143,2002.87108269908
"551170",2002,11,16,9,146,551169,2002.8740486229
"551314",2002,11,22,9,115,551313,2002.89047527788
"551388",2002,11,25,11,111,551387,2002.89891675336
"551602",2002,12,4,9,122,551601,2002.92332858786
"551676",2002,12,7,11,92,551675,2002.93177006333
"551937",2002,12,18,8,92,551936,2002.9615433755
"552248",2002,12,31,7,102,552247,2002.9970203873
"552435",2003,1,8,2,101,552434,2003.01835222399
"552770",2003,1,22,1,99,552769,2003.05656701163
"553092",2003,2,4,11,98,553091,2003.09329883736
"558921",2003,10,5,8,93,558920,2003.75823614229
"559451",2003,10,27,10,100,559450,2003.81869535856
"559569",2003,11,1,8,104,559568,2003.83215608973
"560172",2003,11,26,11,98,560171,2003.90094270748
"561389",2004,1,16,4,98,561388,2004.0397707569
"563351",2004,4,6,22,93,563350,2004.26358393108
"564021",2004,5,4,20,105,564020,2004.34001350636
"564095",2004,5,7,22,103,564094,2004.34845498184
"567514",2004,9,27,9,95,567513,2004.73847396375
"567971",2004,10,16,10,104,567970,2004.79060577853
"568234",2004,10,27,9,104,568233,2004.82060723868
"568331",2004,10,31,10,137,568330,2004.831672416
"568569",2004,11,10,8,123,568568,2004.85882202632
"568667",2004,11,14,10,100,568666,2004.87000127763
"569699",2004,12,27,10,127,569698,2004.98772563836
"570418",2005,1,26,9,98,570417,2005.06974483929
"571140",2005,2,25,11,93,571139,2005.15210626221
"572567",2005,4,25,22,93,572566,2005.31488985015
"575413",2005,8,22,12,92,575412,2005.6395444341
"576108",2005,9,20,11,95,576107,2005.71882585921
"576540",2005,10,8,11,93,576539,2005.76810582416
"577735",2005,11,27,6,92,577734,2005.90442424574
"577883",2005,12,3,10,131,577882,2005.9213071967
"577973",2005,12,7,4,96,577972,2005.93157385607
"578480",2005,12,28,7,91,578479,2005.98940937049
"580655",2006,3,28,22,100,580654,2006.23752030517
"580966",2006,4,10,21,105,580965,2006.27299731698
"585012",2006,9,26,11,93,585011,2006.73454069247
"585201",2006,10,4,8,93,585200,2006.75610067714
"585586",2006,10,20,9,95,585585,2006.80001916443
"585683",2006,10,24,10,112,585682,2006.81108434175
"586378",2006,11,22,9,97,586377,2006.89036576685
"586788",2006,12,9,11,103,586787,2006.93713610396
"588407",2007,2,14,22,94,588406,2007.12182189856
"589224",2007,3,20,23,100,589223,2007.2150203508
"590541",2007,5,14,20,91,590540,2007.36525579952
"590852",2007,5,27,19,98,590851,2007.40073281133
"590974",2007,6,1,21,93,590973,2007.41464983847
"593819",2007,9,28,10,100,593818,2007.73919034843
"594490",2007,10,26,9,102,594489,2007.8157339977
"595161",2007,11,23,8,108,595160,2007.89227764697
"596378",2008,1,13,1,92,596377,2008.0311056964
"597768",2008,3,10,23,92,597767,2008.18966854661
"598080",2008,3,23,23,107,598079,2008.22525963241
"598439",2008,4,7,22,94,598438,2008.26621219588
"598775",2008,4,21,22,95,598774,2008.30454105751
"599459",2008,5,20,10,96,599458,2008.38256766869
"603335",2008,10,28,22,97,603334,2008.82471846539
"603419",2008,11,1,10,107,603418,2008.83430068079
"603706",2008,11,13,9,104,603705,2008.86703991677
"604018",2008,11,26,9,98,604017,2008.90263100257
"604139",2008,12,1,10,152,604138,2008.91643395572
"604230",2008,12,5,5,91,604229,2008.92681468908
"604391",2008,12,11,22,118,604390,2008.94518060195
"604475",2008,12,15,10,114,604474,2008.95476281735
"605496",2009,1,26,23,107,605495,2009.07123236416
"605667",2009,2,3,2,119,605666,2009.09073901696
"605794",2009,2,8,9,122,605793,2009.10522641406
"605857",2009,2,11,0,109,605856,2009.11241307562
"606983",2009,3,29,22,115,606982,2009.24086039168
"608636",2009,6,6,19,104,608635,2009.42942470204
"608973",2009,6,20,20,94,608972,2009.46786763766
"611939",2009,10,22,10,104,611938,2009.80621110077
"612215",2009,11,2,22,109,612214,2009.83769552282
"612264",2009,11,4,23,100,612263,2009.84328514848
"612415",2009,11,11,6,93,612414,2009.86051032141
"612873",2009,11,30,8,131,612872,2009.91275621019
"612972",2009,12,4,11,92,612971,2009.92404953549
"613234",2009,12,15,9,100,613233,2009.95393692164
"613331",2009,12,19,10,113,613330,2009.96500209896
"613421",2009,12,23,4,143,613420,2009.97526875833
"613468",2009,12,25,3,145,613467,2009.980630236
"613618",2009,12,31,9,120,613617,2009.99774133494
