"","Length","Wheel.base","Width","Height","Front.Hd.","Rear.Hd","Frt.Leg.Room","Rear.Seating","Frt.Shld","RearShld","Luggage","Weight","Tires","Steering","Turning","Disp.","HP","Trans1","Gear.Ratio","Eng.Rev","Tank","Model2","Dist.n","Tires2","Pwr.Steer",".empty.","Disp2","HP.revs","Trans2","Gear2","Eng.Rev2","Price","Country","Reliability","Mileage","Type"
"Ford Mustang",180,101,68,49,3.5,0.5,41,24,55.5,54.5,12,2850,"195/75","",40,140,88,"man.5","2.73","2225",15.4,"","56/[44]","R14","0.78 pwr.","",2.3,4000,"auto.4","2.80","2285",9456,"USA","1",NA,"Sporty"
"Ford Probe",177,99,68,47,3,0,41.5,23.5,54.5,52,12,2695,"185/70","",38,133,110,"man.5","2.94","2530",15.1,"","[63]/37","R14","0.74 pwr.","",2.2,4700,"auto.4","2.59","2225",11470,"USA","3",30,"Sporty"
"Ford Taurus",188,106,71,50.5,4,2,42,29,57.5,57.5,17,3015,"205/70","",42,153,90,"","","",16,"","[63]/37","R14","0.71 pwr.","",2.5,4400,"auto.3","3.26","2695",12640,"USA","1",NA,"Medium"
"Ford Tempo",177,100,68,49.5,3.5,1.5,41,27.5,53,54,13,2750,"185/70","",39,141,98,"man.5","2.55","2195",15.4,"Mercury Topaz 4","[61]/39","R14","0.78 pwr.","",2.3,4400,"auto.3","3.26","2805",9483,"USA","2",24,"Compact"
"Ford Thunderbird",199,113,73,49,3.5,0.5,41.5,28,59,59.5,15,3610,"205/70","",38,232,140,"","","",19,"Mercury Cougar V6","57/[43]","R15","0.64 pwr.","",3.8,3800,"auto.4","2.19","1730",14980,"USA","1",23,"Medium"
"GEO Metro",150,93,63,48.5,2.5,1.5,41,27.5,50.5,50,10,1695,"145/80","0.72 man.",34,61,55,"man.5","3.12","3025",10.6,"","[58]/42","R12","","",1,5700,"auto.3","3.87","3755",6695,"Japan",NA,NA,"Small"
"GEO Prizm",171,96,65,49.5,3.5,1,40.5,25.5,53,52.5,11,2255,"175/70","1.00 man.",35,97,102,"man.5","3.05","2780",13.2,"","[58]/42","R13","0.79 pwr.","",1.6,5800,"auto.3","3.53","3220",10125,"Japan/USA","5",NA,"Small"
"GEO Storm",163,97,67,46.5,3,0,41.5,24.5,51,47.5,11,2455,"185/60","",37,97,95,"man.5","3.18","2930",12.4,"","[63]/37","R14","0.57 pwr.","",1.6,5800,"auto.3","2.45","2255",10390,"Japan",NA,NA,"Sporty"
"Honda Accord",185,107,68,49.5,4.5,2,42,27,54.5,54,14,2920,"185/70","",41,132,125,"man.5","2.78","2390",17,"","[62]/38","R14","0.83 pwr.","",2.2,5200,"auto.4","2.89","2485",12145,"Japan/USA","5",26,"Compact"
"Honda Civic",169,98,67,48,3.5,2.5,41,27.5,53.5,53,12,2260,"175/70","0.87 man.",34,91,92,"man.5","3.13","2855",11.9,"","[61]/39","R13","0.75 pwr.","",1.5,6000,"auto.4","3.28","2990",6635,"Japan/USA","5",32,"Small"
"Honda Civic CRX",149,91,66,45,1.5,-2,42.5,-2,53,-2,-2,2170,"185/60","0.81 man.",32,97,108,"man.5","3.27","3010",11.9,"","[62]/38","R14","","",1.6,6000,"",""," ",9410,"Japan","5",33,"Sporty"
"Honda Prelude",178,101,67,47,1.5,0,42.5,23.5,52.5,50.5,11,2710,"195/60","",34,125,140,"man.5","3.46","3115",15.9,"","[61]/39","R14","0.63 pwr.","",2,6200,"auto.4","3.23","2905",13945,"Japan","5",27,"Sporty"
"Hyundai Excel",168,94,63,50,2.5,1.5,41,26,52,51.5,11,2345,"155/80","0.93 man.",35,90,81,"man.5","3.12","2825",11.9,"","[62]/38","R13","0.67 pwr.","",1.5,5500,"auto.4","2.78","2520",5899,"Korea","2",NA,"Small"
"Hyundai Sonata",184,104,69,50.5,3.5,2.5,41,31,57,56.5,14,2885,"185/70","",41,143,110,"man.5","2.68","2305",15.9,"","[61]/39","R14","0.80 pwr.","",2.4,4500,"auto.4","2.74","2355",9999,"Korea",NA,23,"Medium"
"Infiniti Q45",200,113,72,50.5,2.5,1.5,41.5,29.5,57.5,57,15,4000,"215/65","",42,274,278,"","","",22.5,"","57/[43]","R15","0.69 pwr.","",4.5,6000,"auto.4","2.46","1970",38000,"Japan",NA,NA,"Medium"
"Lexus LS400",197,111,72,50.5,3,2,43,29,57,56,14,3930,"205/65","",40,242,250,"","","",22.5,"","54/[46]","R15","0.87 pwr.","",4,5600,"auto.4","2.55","2065",35000,"Japan",NA,NA,"Medium"
"Lincoln Continental",205,109,73,50.5,4,3,41,29.5,57.5,57.5,19,3695,"205/70","",42,232,140,"","","",18.6,"","[62]/38","R15","0.68 pwr.","",3.8,3800,"auto.4","2.33","1840",29422,"USA","2",NA,"Medium"
"Lincoln Mark VII",203,109,71,49,3,0.5,42,28.5,56,57.5,14,3780,"215/70","",43,302,225,"","","",22.1,"","56/[44]","R15","0.88 pwr.","",5,4200,"auto.4","2.06","1595",29246,"USA","1",NA,"Medium"
"Lincoln Town Car",220,117,78,53,4.5,3,41,31.5,62,62,22,4040,"215/70","",45,302,150,"","","",18,"","56/[44]","R15","0.85 pwr.","",5,3200,"auto.4","2.06","1595",27986,"USA","3",NA,"Large"
"Mazda 323",164,97,66,49.5,4,2.5,41.5,27,52,52,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazda 626",179,101,67,49.5,3.5,2,40.5,27,55,55,15,2780,"185/70","",39,133,110,"man.5","2.94","2530",15.9,"","[63]/37","R14","0.72 pwr.","",2.2,4700,"auto.4","2.59","2225",12459,"Japan/USA","4",24,"Compact"
"Mazda 929",194,107,68,51,3,2.5,41.5,29,55.5,55.5,15,3480,"195/65","",39,180,158,"","","",18.5,"","54/[46]","R15","0.86 pwr.","",3,5500,"auto.4","2.81","2355",23300,"Japan","5",21,"Medium"
"Mazda MPV",176,110,72,61.5,5,5.5,41,27.5,57.5,43,-2,3735,"205/70","",39,181,150,"man.5","3.04","2510",19.6,"","54/[46]","R14","1.06 pwr.","",3,5000,"auto.4","2.71","2045",14944,"Japan","5",19,"Van"
"Mazda MX-5 Miata",155,89,66,43.5,3.5,-2,40.5,-2,50.5,-2,-2,2210,"185/60","0.68 man.",33,97,116,"man.5","3.50","3225",11.9,"","53/[47]","R14","0.57 pwr.","",1.6,6500,"",""," ",13800,"Japan",NA,NA,"Sporty"
"Mazda MX-6",177,99,67,48.5,2,2,41.5,26,55,52.5,15,2690,"185/70","",36,133,110,"man.5","2.94","2530",15.9,"","[60]/40","R14","0.71 pwr.","",2.2,4700,"auto.4","2.59","2225",12279,"Japan/USA","5",NA,"Sporty"
"Mazda Protege",172,98,66,49,4,2.5,40.5,26.5,54,54,13,2440,"175/70","0.80 man.",36,113,103,"man.5","3.00","2735",14.5,"","[63]/37","R13","0.71 pwr.","",1.8,5500,"auto.4","2.43","2215",6599,"Japan","5",32,"Small"
"Mazda RX7",170,96,67,45.5,1.5,-2,42,-2,53,-2,-2,2790,"205/60","0.84 man.",37,80,160,"man.5","2.86","2430",18.5,"","51/[49]","R15","0.61 pwr.","",1.3,7000,"auto.4","2.81","2385",17880,"Japan","5",NA,"Sporty"
"Mercedes-Benz 190",175,105,67,50.5,2,0.5,44,26,53.5,53,12,3020,"185/65","",34,159,158,"man.5","3.27","2780",14.5,"","56/[44]","R15","0.76 pwr.","",2.6,5800,"auto.4","3.27","2780",31600,"Germany","3",NA,"Compact"
"Mercedes-Benz 300E",187,110,69,52,3,1.5,42.5,27,56,56,15,3315,"195/65","",37,181,177,"","","",18.5,"","55/[45]","R15","0.72 pwr.","",3,5700,"auto.4","2.87","2575",39950,"Germany","1",NA,"Medium"
"Mercury Tracer",162,95,65,49,3.5,2,40.5,27,52,52,15,2285,"175/70","0.81 man.",36,97,82,"man.5","2.81","2565",11.9,"","[61]/39","R13","0.70 pwr.","",1.6,5000,"auto.3","3.63","3310",8672,"Mexico","4",26,"Small"
"Mitsubishi Galant",184,102,67,50.5,4,2.5,41,29.5,55,55,11,2745,"185/70","",39,122,102,"man.5","3.04","2615",15.9,"","[62]/38","R14","0.80 pwr.","",2,5000,"auto.4","2.74","2355",10989,"Japan","5",25,"Compact"
"Mitsubishi Precis",161,94,63,50,4,3,40,26.5,52,52.5,11,2185,"155/80","0.93 man.",37,90,81,"man.5","3.12","2825",11.9,"","[61]/39","R13","0.63 pwr.","",1.5,5500,"auto.4","2.78","2520",5899,"Korea","2",NA,"Small"
"Mitsubishi Sigma",186,102,67,49.5,1.5,1.5,40,28,53.5,53,12,3110,"195/65","",41,181,142,"","","",15.9,"","[65]/35","R15","0.77 pwr.","",3,5000,"auto 4","2.54","2210",17879,"Japan","4",21,"Compact"
"Mitsubishi Wagon",175,88,67,65.5,4,4.5,40.5,-1,56.5,59,-2,3415,"205/75","0.89 man.",36,143,107,"","","",14.2,"","58/[42]","R14","0.79 pwr.","",2.4,5000,"auto.4","2.90","2310",14929,"Japan",NA,20,"Van"
"Nissan 240SX",178,97,67,46.5,3,0,41,21.5,53.5,50.5,14,2775,"195/60","",38,146,140,"man.5","3.10","2670",15.9,"","53/[47]","R15","0.66 pwr.","",2.5,5600,"auto.4","2.83","2435",13249,"Japan","3",24,"Sporty"
"Nissan 300ZX",170,97,71,45,3,-2,42,-2,56.5,-2,-2,3350,"225/50","",38,180,180,"man.5","3.07","2645",18.7,"","54/[46]","R16","0.68 pwr.","",3,6400,"auto.4","2.83","2435",27900,"Japan",NA,NA,"Sporty"
"Nissan Axxess",172,103,67,58,4,4.5,40.5,28.5,55.5,56.5,-3,3185,"195/70","",38,146,138,"","","",17.2,"","[60]/40","R14","0.81 pwr.","",2.4,5600,"auto.4","2.70","2270",13949,"Japan",NA,20,"Van"
"Nissan Maxima",188,104,69,49.5,2,1.5,41.5,29,56.5,55.5,14,3200,"205/65","",42,180,160,"man.5","2.90","2350",18.5,"","[63]/37","R15","0.73 pwr.","",3,5200,"auto.4","2.53","2050",17899,"Japan","5",22,"Medium"
"Nissan Pulsar NX",167,96,66,46,4,0,41,21,52,49.5,7,2390,"185/70","",38,97,90,"man.5","3.38","3015",13.2,"","[64]/36","R13","0.68 pwr.","",1.6,6000,"auto.3","3.60","3210",12249,"Japan","3",NA,"Sporty"
"Nissan Sentra",172,96,65,49,3,2,40,24.5,52.5,52.5,12,2275,"175/70","0.87 man.",37,97,90,"man.5","2.94","2680",13.2,"","[61]/39","R13","0.68 pwr.","",1.6,6000,"auto.3","3.60","3285",7399,"Japan/USA","5",33,"Small"
"Nissan Stanza",180,100,67,49.5,3.5,2,40.5,26.5,55,54,14,2920,"195/65","",39,146,138,"man.5","2.75","2395",16.4,"","[65]/35","R14","0.74 pwr.","",2.4,5600,"auto.4","2.53","2200",11650,"Japan","5",21,"Compact"
"Nissan Van",178,93,67,65.5,3.5,5,41,-1,57,58.5,-2,3690,"195/75","",38,146,106,"","","",17.7,"","60/[40]","R14","0.74 pwr.","",2.4,4800,"auto.4","3.17","2585",14799,"Japan",NA,19,"Van"
"Peugeot 405",175,105,68,51,4,1.5,41,29,55.5,55,14,2575,"185/65","",37,116,120,"man.5","3.08","2760",17.2,"","62/[38]","R14","0.74 pwr.","",2,5200,"auto.4","3.12","2800",15930,"France",NA,24,"Compact"
"Peugeot 505",181,108,68,52,2.5,1,42,29.5,55.5,54.5,11,3000,"185/65","",39,132,120,"","","",18,"","55/[45]","R15","0.80 pwr.","",2.2,5000,"auto.4","3.38","2875",19945,"France",NA,NA,"Medium"
"Plymouth Laser",171,97,67,47,3.5,0,41.5,23,54,52,10,2840,"185/70","1.01 man.",39,107,92,"man.5","3.27","2810",15.9,"Mitsubishi Eclipse","[63]/37","R14","0.67 pwr.","",1.8,5000,"auto.4","3.27","2810",10855,"USA",NA,26,"Sporty"
"Pontiac Bonneville",199,111,72,50.5,4,4,42,29.5,59,59,15,3360,"215/65","",43,231,165,"","","",18,"","[63]/37","R15","0.78 pwr.","",3.8,4800,"auto.4","1.99","1595",NA,NA,NA,NA,NA
"Pontiac Grand Am",180,103,67,48.5,3.5,1,41.5,26.5,55,54,13,2770,"195/70","",39,138,160,"man.5","2.60","2245",13.6,"","[66]/34","R14","0.72 pwr.","",2.3,6200,"auto.3","3.18","2745",10565,"USA","2",23,"Compact"
"Pontiac LeMans",172,99,66,50,5,2.5,41.5,25.5,53.5,53,18,2350,"175/70","1.05 man.",35,98,74,"man.5","2.64","2295",13.2,"","[60]/40","R13","0.78 pwr.","",1.6,5600,"auto.3","3.43","2980",7254,"Korea","1",28,"Small"
"Porsche 944",169,95,68,46,3.5,0,43.5,18,55.5,51.5,12,2900,"195/65","",36,165,165,"man.5","2.84","2380",21.1,"","50/[50]","R15","0.74 pwr.","",2.7,5900,"auto.3","3.45","2890",41990,"Germany",NA,NA,"Sporty"
"Saab 900",184,99,67,50.5,3.5,2,41.5,27.5,53,53,14,2775,"185/65","",37,121,128,"man.5","3.03","2575",18,"","[60]/40","R15","0.85 pwr.","",2,6000,"auto.3","3.62","3075",16995,"Sweden","2",NA,"Compact"
"Saab 9000",188,105,69,52,2.5,2.5,42,31,57,57,18,3065,"195/65","",40,121,130,"man.5","3.12","2615",17.9,"","[62]/38","R15","0.79 pwr.","",2,6000,"auto.4","3.10","2600",25995,"Sweden",NA,NA,"Medium"
"Sterling 827",189,109,68,50,2,1.5,42,29.5,55,54,12,3295,"195/60","",42,163,160,"man.5","2.95","2470",17,"","[62]/38","R15","0.96 pwr.","",2.7,5900,"auto.4","3.02","2530",23550,"England",NA,NA,"Medium"
"Subaru Justy",146,90,60,50.5,2.5,0.5,40.5,23.5,51,50.5,9,1900,"165/65","0.86 man.",32,73,73,"man.5","3.02","2945",9.2,"","[62]/38","R13","","",1.2,5600,"auto.CVT","2.99","2910",5866,"Japan",NA,34,"Small"
"Subaru Legacy",178,102,67,49,2,2,41,27.5,54,53.5,14,2935,"175/70","",37,135,130,"man.5","2.74","2390",15.9,"","[58]/42","R14","0.77 pwr.","",2.2,5400,"auto.4","2.57","2245",11499,"Japan/USA","5",23,"Compact"
"Subaru Loyale",175,97,65,49,2.5,2,41,27.5,53.5,53.5,15,2295,"175/70","",35,109,90,"man.5","3.04","2770",15.9,"","[61]/39","R13","0.82 pwr.","",1.8,5200,"auto.3","3.60","3285",9599,"Japan","5",25,"Small"
"Subaru XT",178,97,67,46,2,0,42,22.5,53,51,10,2485,"185/70","",36,109,97,"man.5","3.29","2935",15.9,"","[61]/39","R13","0.74 pwr.","",1.8,5200,"auto.4","2.69","2400",13071,"Japan",NA,28,"Sporty"
"Toyota Camry",182,102,67,50.5,3,2,42,28.5,54.5,53.5,12,2920,"185/70","",39,122,115,"man.5","2.73","2350",15.9,"","(62)/38","R14","0.76 pwr.","",2,5200,"auto.4","2.74","2355",11588,"Japan/USA","5",27,"Compact"
"Toyota Celica",174,99,69,47,2,0,42,23,51.5,48,13,2885,"215/50","",39,132,130,"man.5","2.49","2215",15.9,"","(62)/38","R15","0.73 pwr.","",2.2,5400,"auto.4","3.52","3130",12268,"Japan",NA,NA,"Sporty"
"Toyota Corolla",170,96,65,49.5,4,2,40.5,26,53,52.5,11,2390,"155/65","1.06 man.",36,97,102,"man.5","3.03","2765",13.2,"","[63]/37","R13","0.79 pwr.","",1.6,5800,"auto.3","3.53","3220",8748,"Japan/USA","5",29,"Small"
"Toyota Cressida",190,106,67,50.5,2,1.5,41,27.5,55,54.5,12,3480,"195/65","",36,180,190,"","","",18.5,"","52/[48]","R15","0.88 pwr.","",3,5600,"auto.4","2.76","2315",21498,"Japan","3",23,"Medium"
"Toyota Supra",182,102,69,46.5,2.5,0,42.5,23,52.5,50.5,11,3470,"225/50","",40,180,200,"man.5","3.30","2840",18.5,"","52/[48]","R16","0.72 pwr.","",3,6000,"auto.4","3.03","2610",22860,"Japan","4",NA,"Sporty"
"Toyota Tercel",167,94,64,49.5,3,1.5,40.5,25,53,52.5,13,2075,"155","0.83 man.",35,89,78,"man.5","3.03","2765",11.9,"","[61]/39","R13","0.69 pwr.","",1.5,6000,"auto.3","3.72","3395",6488,"Japan","5",35,"Small"
"Volkswagen Corrado",159,97,66,47,2,0,42,26,53.5,51,19,2680,"195/50","",34,109,158,"man.5","2.94","2685",14.5,"","(64)/36","R15","0.71 pwr.","",1.8,5600,"",""," ",17900,"Germany",NA,NA,"Sporty"
"Volkswagen Fox",163,93,63,49.5,3,2,42,26,51.5,51,10,2190,"175/70","0.82 man.",34,109,81,"man.4","3.03","2765",12.4,"","[60]/40","R13","","",1.8,5500,"",""," ",7225,"Brazil",NA,NA,"Small"
"Volkswagen GTI",158,97,66,50.5,3.5,2,41.5,27,53,54,18,2270,"185/60","",35,109,105,"man.5","3.26","3000",14.5,"","[61]/39","R14","0.75 pwr.","",1.8,5400,"",""," ",9995,"Mexico",NA,NA,"Sporty"
