"","time","initconc","animal","ChamberConc"
"135",4.3,250,"D",105.0216
"136",4.47,250,"D",104.0001
"137",4.63,250,"D",102.6571
"138",4.8,250,"D",101.9653
"139",4.97,250,"D",100.7362
"140",5.13,250,"D",99.86946
"141",5.3,250,"D",98.53462
"142",5.47,250,"D",97.92825
"145",0.083,250,"E",219.5773
"146",0.167,250,"E",205.3011
"147",0.333,250,"E",185.5797
"148",0.5,250,"E",171.9709
"149",0.667,250,"E",160.7835
"150",0.833,250,"E",153.3727
"151",1,250,"E",145.7625
"152",1.167,250,"E",140.1872
"153",1.333,250,"E",135.2059
"154",1.5,250,"E",130.4119
"155",1.667,250,"E",126.4115
"156",1.833,250,"E",123.3715
"157",2,250,"E",120.5187
"158",2.167,250,"E",117.7066
"159",2.333,250,"E",115.0125
"160",2.5,250,"E",112.062
"161",2.667,250,"E",109.8278
"162",2.833,250,"E",108.2569
"163",3,250,"E",106.0715
"164",3.13,250,"E",104.521
"165",3.3,250,"E",102.7141
"166",3.47,250,"E",101.3345
"167",3.63,250,"E",100.3089
"168",3.8,250,"E",98.80729
"169",3.97,250,"E",97.30966
"170",4.13,250,"E",96.17424
"171",4.3,250,"E",95.20974
"172",4.47,250,"E",94.20047
"173",4.63,250,"E",93.56154
"174",4.8,250,"E",91.93776
"175",4.97,250,"E",91.44534
"176",5.13,250,"E",90.5256
"177",5.3,250,"E",89.146
"178",5.47,250,"E",88.33615
"179",5.63,250,"E",87.08677
"180",5.8,250,"E",86.72865
"181",0.083,250,"F",212.5264
"182",0.167,250,"F",198.0938
"183",0.333,250,"F",180.3136
"184",0.5,250,"F",167.7304
"185",0.667,250,"F",157.6621
"186",0.833,250,"F",148.331
"187",1,250,"F",142.633
"188",1.167,250,"F",136.5855
"189",1.333,250,"F",130.9247
"190",1.5,250,"F",126.5214
"191",1.667,250,"F",122.8424
"192",1.833,250,"F",119.6559
"193",2,250,"F",115.8997
"194",2.167,250,"F",112.941
"195",2.333,250,"F",110.7557
"196",2.5,250,"F",108.6069
"197",2.667,250,"F",106.4459
"198",2.833,250,"F",104.4844
"199",3,250,"F",102.9827
"200",3.13,250,"F",101.599
"201",3.3,250,"F",99.91422
"202",3.47,250,"F",98.39625
"203",3.63,250,"F",97.31373
"204",3.8,250,"F",95.96262
"205",3.97,250,"F",95.03068
"206",4.13,250,"F",94.02955
"207",4.3,250,"F",93.03656
"208",4.47,250,"F",92.3081
"209",4.63,250,"F",91.03431
"210",4.8,250,"F",90.0169
"211",4.97,250,"F",89.08089
"212",5.13,250,"F",88.0879
"213",5.3,250,"F",86.9362
"214",5.47,250,"F",86.00425
"215",5.63,250,"F",85.41009
"216",5.8,250,"F",84.63686
"217",0.083,100,"G",85.06417
"218",0.167,100,"G",80.72596
"219",0.333,100,"G",73.31517
"220",0.5,100,"G",68.24442
"221",0.667,100,"G",64.82187
"222",0.833,100,"G",61.54583
"223",1,100,"G",58.58721
"224",1.167,100,"G",56.00707
"225",1.333,100,"G",53.96412
"226",1.5,100,"G",52.1979
"227",1.667,100,"G",50.6311
"228",1.833,100,"G",49.25557
"229",2,100,"G",47.7376
"230",2.167,100,"G",45.89813
"231",2.333,100,"G",44.81968
"232",2.5,100,"G",43.59472
"233",2.667,100,"G",42.54069
"234",2.833,100,"G",41.87386
"235",3.02,100,"G",40.45298
"236",3.17,100,"G",40.05008
"237",3.34,100,"G",39.1507
"238",3.5,100,"G",38.25538
"239",3.67,100,"G",37.71819
"240",3.83,100,"G",36.75776
"241",4,100,"G",36.02116
"242",4.17,100,"G",35.79733
"243",4.34,100,"G",35.18282
"244",4.5,100,"G",34.75144
"245",4.67,100,"G",34.17762
"246",4.84,100,"G",33.86426
"247",5,100,"G",33.39625
"248",5.17,100,"G",33.03405
"249",5.34,100,"G",32.58233
"250",5.5,100,"G",32.5457
"251",5.67,100,"G",31.87014
"252",5.84,100,"G",31.44283
"253",0.083,100,"H",84.93394
"254",0.167,100,"H",80.41259
"255",0.333,100,"H",72.99774
"256",0.5,100,"H",67.43457
"257",0.667,100,"H",63.38937
"258",0.833,100,"H",59.5424
"259",1,100,"H",56.71112
"260",1.167,100,"H",53.6589
"261",1.333,100,"H",51.10318
"262",1.5,100,"H",48.8893
"263",1.667,100,"H",46.7731
"264",1.833,100,"H",45.21036
"265",2,100,"H",43.83483
"266",2.167,100,"H",42.71569
"267",2.333,100,"H",41.19365
"268",2.5,100,"H",40.45298
"269",2.667,100,"H",39.34604
"270",2.833,100,"H",38.26352
"272",3.17,100,"H",36.11069
"273",3.34,100,"H",35.58571
"274",3.5,100,"H",34.97526
"275",3.67,100,"H",34.27122
"276",3.83,100,"H",33.60787
"277",4,100,"H",33.2294
"278",4.17,100,"H",32.75732
"279",4.34,100,"H",32.19164
"280",4.5,100,"H",31.83759
"281",4.67,100,"H",31.59748
"282",4.84,100,"H",30.96262
"283",5,100,"H",30.14055
"284",5.17,100,"H",29.75801
"285",5.34,100,"H",29.29
"286",5.5,100,"H",28.79758
"287",5.67,100,"H",28.61038
"288",5.84,100,"H",28.20748
"289",0.083,100,"I",83.72934
"290",0.167,100,"I",78.96738
"291",0.333,100,"I",72.35288
"292",0.5,100,"I",66.90552
"293",0.667,100,"I",62.69346
"294",0.833,100,"I",59.33602
"295",1,100,"I",56.1902
"296",1.167,100,"I",54.04144
"297",1.333,100,"I",51.88047
"298",1.5,100,"I",49.44684
"299",1.667,100,"I",47.89224
"300",1.833,100,"I",46.41497
"301",2,100,"I",45.11676
"302",2.167,100,"I",43.92029
"303",2.333,100,"I",42.96393
"304",2.5,100,"I",41.81223
"305",2.667,100,"I",40.83145
"306",2.833,100,"I",39.89137
"307",3.02,100,"I",38.82106
"308",3.17,100,"I",37.49029
"309",3.34,100,"I",37.19321
"310",3.5,100,"I",36.73741
"311",3.67,100,"I",35.96825
"312",3.83,100,"I",35.21537
"313",4,100,"I",34.45435
"314",4.17,100,"I",34.09216
"315",4.34,100,"I",33.40439
"316",4.5,100,"I",32.91197
"317",4.67,100,"I",32.60268
"318",4.84,100,"I",32.2649
"319",5,100,"I",31.84979
"320",5.17,100,"I",31.28005
"321",5.34,100,"I",30.93006
"322",5.5,100,"I",30.4824
"323",5.67,100,"I",30.18125
"324",5.84,100,"I",29.98184
"325",0.083,25,"J",24.07468
"326",0.167,25,"J",22.89239
"327",0.333,25,"J",20.77784
"328",0.5,25,"J",19.43453
"329",0.667,25,"J",18.15054
"330",0.833,25,"J",16.93859
"331",1,25,"J",16.11226
"332",1.167,25,"J",15.47662
"333",1.333,25,"J",14.73081
"334",1.5,25,"J",14.20535
"335",1.667,25,"J",13.53157
"336",1.833,25,"J",13.10358
"337",2,25,"J",12.71796
"338",2.167,25,"J",12.09927
"339",2.333,25,"J",11.65856
"340",2.5,25,"J",11.36193
"341",2.667,25,"J",11.0653
"342",2.833,25,"J",10.828
"343",3,25,"J",10.2983
"344",3.13,25,"J",9.899965
"345",3.3,25,"J",10.09913
"346",3.47,25,"J",9.781312
"347",3.63,25,"J",9.66266
"348",3.8,25,"J",9.450781
"349",3.97,25,"J",9.082111
"350",4.13,25,"J",9.077873
"351",4.3,25,"J",8.781243
"352",4.47,25,"J",8.704966
"353",4.63,25,"J",8.594789
"354",4.8,25,"J",8.251545
"355",4.97,25,"J",8.27697
"356",5.13,25,"J",8.26002
"357",5.3,25,"J",7.925251
"358",5.47,25,"J",7.993052
"359",5.63,25,"J",7.785411
"360",5.8,25,"J",7.620145
"361",0.083,25,"K",23.18055
"362",0.167,25,"K",21.64654
"363",0.333,25,"K",19.99812
"364",0.5,25,"K",18.71414
"365",0.667,25,"K",17.35387
"366",0.833,25,"K",16.6462
"367",1,25,"K",15.42577
"368",1.167,25,"K",14.93845
"369",1.333,25,"K",14.42994
"370",1.5,25,"K",13.98499
"371",1.667,25,"K",13.36631
"372",1.833,25,"K",13.0273
"373",2,25,"K",12.59507
"374",2.167,25,"K",12.1586
"375",2.333,25,"K",11.81535
"376",2.5,25,"K",11.53991
"377",2.667,25,"K",11.26447
"378",2.833,25,"K",10.9975
"379",3,25,"K",10.62035
"380",3.13,25,"K",9.988954
"381",3.3,25,"K",9.955053
"382",3.47,25,"K",9.984716
"383",3.63,25,"K",9.565196
"384",3.8,25,"K",9.649947
"385",3.97,25,"K",9.467731
"386",4.13,25,"K",9.179575
"387",4.3,25,"K",9.035498
"388",4.47,25,"K",9.03126
"389",4.63,25,"K",8.823619
"390",4.8,25,"K",8.497325
"391",4.97,25,"K",8.560888
"392",5.13,25,"K",8.344772
"393",5.3,25,"K",8.264258
"394",5.47,25,"K",7.99729
"395",5.63,25,"K",7.971864
"396",5.8,25,"K",7.819311
"397",0.083,25,"L",23.66787
"398",0.167,25,"L",22.18048
"399",0.333,25,"L",20.61681
"400",0.5,25,"L",19.26502
"401",0.667,25,"L",18.02341
"402",0.833,25,"L",17.18437
"403",1,25,"L",16.46822
"404",1.167,25,"L",15.69274
"405",1.333,25,"L",15.04015
"406",1.5,25,"L",14.58673
"407",1.667,25,"L",14.17569
"408",1.833,25,"L",13.6587
"409",2,25,"L",13.15443
"410",2.167,25,"L",12.80695
"411",2.333,25,"L",12.55269
"412",2.5,25,"L",12.25606
"413",2.667,25,"L",11.88315
"414",2.833,25,"L",11.62042
"415",3,25,"L",11.28989
"416",3.13,25,"L",11.07801
"417",3.3,25,"L",10.81528
"418",3.47,25,"L",10.59917
"419",3.63,25,"L",10.50594
"420",3.8,25,"L",10.12456
"421",3.97,25,"L",10.02285
"422",4.13,25,"L",9.861826
"423",4.3,25,"L",9.688085
"424",4.47,25,"L",9.438068
"425",4.63,25,"L",9.221951
"426",4.8,25,"L",9.107537
"427",4.97,25,"L",9.090586
"428",5.13,25,"L",8.840569
"429",5.3,25,"L",8.713441
"430",5.47,25,"L",8.624452
"431",5.63,25,"L",8.374435
"432",5.8,25,"L",8.484612
