"","m1p","m2p","mbp","nm1m2p"
"1981.3",6.11396,7.51007,5.14712,7.22564
"1981.4",6.10626,7.51584,5.13483,7.2358
"1982.1",6.10993,7.52327,5.14153,7.24444
"1982.2",6.10282,7.52764,5.14436,7.25248
"1982.3",6.10991,7.53792,5.14494,7.26376
"1982.4",6.13991,7.55328,5.15854,7.27446
"1983.1",6.15622,7.59502,5.1795,7.32424
"1983.2",6.17686,7.613,5.19935,7.34139
"1983.3",6.19705,7.62325,5.21166,7.34852
"1983.4",6.20143,7.6321,5.22058,7.35878
"1984.1",6.20536,7.64039,5.23334,7.36844
"1984.2",6.21417,7.65088,5.24291,7.37945
"1984.3",6.21738,7.65818,5.24955,7.38803
"1984.4",6.21943,7.67284,5.25248,7.40656
"1985.1",6.23857,7.69602,5.26401,7.43097
"1985.2",6.25536,7.70293,5.27391,7.43487
"1985.3",6.28452,7.72053,5.29291,7.44888
"1985.4",6.30412,7.72911,5.30601,7.45401
"1986.1",6.32395,7.74097,5.32002,7.46333
"1986.2",6.35337,7.75663,5.33525,7.47454
"1986.3",6.38367,7.77245,5.35,7.48559
"1986.4",6.4221,7.79082,5.37026,7.49721
"1987.1",6.44551,7.79732,5.38895,7.49788
"1987.2",6.45292,7.79411,5.39701,7.49092
"1987.3",6.44676,7.79499,5.40088,7.49429
"1987.4",6.45325,7.80134,5.41239,7.50059
"1988.1",6.45702,7.81232,5.42874,7.51409
"1988.2",6.45957,7.8161,5.4334,7.5183
"1988.3",6.46084,7.81404,5.43824,7.51508
"1988.4",6.45367,7.81007,5.43585,7.51222
