"","k","ksa","r3m","r10y","rgnp"
"1968.1",-1.26666,-1.26646,1.61939,1.72935,7.75246
"1968.2",-1.26919,-1.26792,1.70838,1.74798,7.76934
"1968.3",-1.27012,-1.27003,1.64808,1.69745,7.77708
"1968.4",-1.27253,-1.27148,1.72044,1.75267,7.77611
"1969.1",-1.27502,-1.27295,1.80714,1.82083,7.79268
"1969.2",-1.2677,-1.26738,1.82406,1.84893,7.79342
"1969.3",-1.25224,-1.25295,1.94919,1.92527,7.79799
"1969.4",-1.24053,-1.24028,1.99511,1.98746,7.78734
"1970.1",-1.23704,-1.23529,1.97547,1.99742,7.7868
"1970.2",-1.22588,-1.22632,1.89867,2.04291,7.78593
"1970.3",-1.22078,-1.22207,1.8453,2.00955,7.79803
"1970.4",-1.22328,-1.22335,1.67766,1.92469,7.78896
"1971.1",-1.22377,-1.22197,1.34547,1.79459,7.81545
"1971.2",-1.22733,-1.22774,1.44692,1.8321,7.81537
"1971.3",-1.22089,-1.22173,1.61144,1.86918,7.82048
"1971.4",-1.21619,-1.21626,1.4422,1.77326,7.82044
"1972.1",-1.22181,-1.21992,1.2346,1.79724,7.84212
"1972.2",-1.22345,-1.22436,1.32707,1.81531,7.86138
"1972.3",-1.22676,-1.22697,1.43983,1.83896,7.87173
"1972.4",-1.22592,-1.22641,1.58166,1.85207,7.89032
"1973.1",-1.22619,-1.22516,1.74047,1.88813,7.91352
"1973.2",-1.21215,-1.21298,1.88752,1.91795,7.91608
"1973.3",-1.20443,-1.20388,2.11902,1.97547,7.91509
"1973.4",-1.19443,-1.19554,2.0149,1.90999,7.924
"1974.1",-1.18328,-1.18323,2.03038,1.95345,7.91841
"1974.2",-1.16377,-1.1643,2.09839,2.02062,7.92124
"1974.3",-1.14907,-1.14868,2.10291,2.07481,7.90813
"1974.4",-1.12812,-1.12907,1.99606,2.03732,7.8993
"1975.1",-1.10741,-1.10677,1.7492,2.02022,7.87956
"1975.2",-1.0999,-1.09994,1.6851,2.08567,7.88968
"1975.3",-1.09249,-1.09229,1.8453,2.11589,7.90651
"1975.4",-1.07688,-1.07726,1.72758,2.08729,7.92034
"1976.1",-1.06438,-1.06384,1.5927,2.04808,7.93894
"1976.2",-1.04871,-1.04947,1.64035,2.05066,7.94339
"1976.3",-1.0362,-1.03583,1.639,2.04511,7.94754
"1976.4",-1.03508,-1.03516,1.5418,1.97269,7.95746
"1977.1",-1.03776,-1.03677,1.53256,1.99511,7.97109
"1977.2",-1.03149,-1.03236,1.57691,1.99742,7.98708
"1977.3",-1.02216,-1.02258,1.7042,1.99565,8.00697
"1977.4",-1.01837,-1.01829,1.80993,2.02775,8.0044
"1978.1",-1.01113,-1.0108,1.8552,2.08069,8.01318
"1978.2",-1.01007,-1.01096,1.86826,2.11866,8.04427
"1978.3",-1.00737,-1.00767,1.98965,2.13889,8.05281
"1978.4",-0.99573,-0.99482,2.14827,2.17702,8.06514
"1979.1",-0.98062,-0.97907,2.2389,2.20904,8.06517
"1979.2",-0.97524,-0.98476,2.23826,2.2097,8.06423
"1979.3",-0.98611,-0.98243,2.26934,2.2086,8.07322
"1979.4",-0.97149,-0.96555,2.47174,2.34631,8.07131
"1980.1",-0.95585,-0.9558,2.59174,2.48382,8.08129
"1980.2",-0.90995,-0.91982,2.26353,2.34918,8.05738
"1980.3",-0.93938,-0.93518,2.21408,2.39361,8.05804
"1980.4",-0.94294,-0.93662,2.61102,2.51955,8.07066
"1981.1",-0.93048,-0.93088,2.66653,2.56187,8.08982
"1981.2",-0.929,-0.93912,2.70183,2.62104,8.08647
"1981.3",-0.93421,-0.92874,2.71158,2.6978,8.09089
"1981.4",-0.93229,-0.92743,2.46385,2.64525,8.07683
"1982.1",-0.92987,-0.93196,2.55046,2.65977,8.06161
"1982.2",-0.90719,-0.91476,2.51931,2.63404,8.0646
"1982.3",-0.91043,-0.90575,2.23184,2.57391,8.05658
"1982.4",-0.93609,-0.93308,2.06775,2.36715,8.05811
"1983.1",-0.93585,-0.93792,2.09273,2.35736,8.06671
"1983.2",-0.93894,-0.94272,2.12787,2.35546,8.08896
"1983.3",-0.94946,-0.94585,2.21266,2.45333,8.10361
"1983.4",-0.93548,-0.93375,2.17475,2.45848,8.12121
"1984.1",-0.92676,-0.92877,2.21594,2.48014,8.14662
"1984.2",-0.92447,-0.92584,2.28208,2.58022,8.15995
"1984.3",-0.91616,-0.91419,2.33408,2.55467,8.16639
"1984.4",-0.91255,-0.91199,2.17509,2.46326,8.17053
"1985.1",-0.92642,-0.92757,2.10206,2.44954,8.18242
"1985.2",-0.9375,-0.93724,2.00955,2.38075,8.18847
"1985.3",-0.95643,-0.95564,1.96108,2.33573,8.19858
"1985.4",-0.97057,-0.9695,1.96949,2.27829,8.20587
"1986.1",-0.97807,-0.97883,1.93109,2.14675,8.22129
"1986.2",-1.00655,-1.00604,1.81482,2.02854,8.21922
"1986.3",-1.03834,-1.03914,1.70892,1.98883,8.22183
"1986.4",-1.07117,-1.06976,1.67766,1.98279,8.22542
"1987.1",-1.08421,-1.08556,1.71145,1.97311,8.23661
"1987.2",-1.08205,-1.08176,1.73289,2.12142,8.24879
"1987.3",-1.05939,-1.06047,1.7989,2.18346,8.25979
"1987.4",-1.04268,-1.04002,1.76866,2.2108,8.27461
"1988.1",-1.0213,-1.02283,1.74449,2.13025,8.28301
"1988.2",-1.01601,-1.01598,1.82616,2.18717,8.29034
"1988.3",-1.00832,-1.0097,1.94734,2.20827,8.2964
"1988.4",-0.99413,-0.99109,2.04472,2.19243,8.30237
