"","month","year","date","mei","npgo","pdo"
"175",7,1964,1964-07-01,-1.392,1.6039742,-0.51
"176",8,1964,1964-08-01,-1.507,0.78188421,-1.03
"177",9,1964,1964-09-01,-1.284,0.91256373,-0.68
"178",10,1964,1964-10-01,-1.215,0.71267229,-0.37
"179",11,1964,1964-11-01,-1.244,0.074383372,-0.8
"180",12,1964,1964-12-01,-0.938,-0.67944342,-1.52
"181",1,1965,1965-01-01,-0.571,-0.60927069,-1.24
"182",2,1965,1965-02-01,-0.348,-0.8375497,-1.16
"183",3,1965,1965-03-01,-0.274,-0.9425717,0.04
"184",4,1965,1965-04-01,0.092,-0.87943354,0.62
"185",5,1965,1965-05-01,0.544,-1.1591951,-0.66
"186",6,1965,1965-06-01,0.957,-0.83030121,-0.8
"187",7,1965,1965-07-01,1.4,-0.69218264,-0.47
"188",8,1965,1965-08-01,1.491,-0.44396173,0.2
"189",9,1965,1965-09-01,1.415,-0.85712342,0.59
"190",10,1965,1965-10-01,1.213,-0.68304581,-0.36
"191",11,1965,1965-11-01,1.362,-0.91841417,-0.59
"192",12,1965,1965-12-01,1.249,-1.1935027,0.06
"193",1,1966,1966-01-01,1.303,-0.32304436,-0.82
"194",2,1966,1966-02-01,1.189,-1.114448,-0.03
"195",3,1966,1966-03-01,0.696,-0.59910173,-1.29
"196",4,1966,1966-04-01,0.506,-1.3692633,0.06
"197",5,1966,1966-05-01,-0.127,-1.678718,-0.53
"198",6,1966,1966-06-01,-0.118,-1.2637274,0.16
"199",7,1966,1966-07-01,-0.125,-1.1138805,0.26
"200",8,1966,1966-08-01,0.168,-0.97791948,-0.35
"201",9,1966,1966-09-01,-0.103,-0.75325036,-0.33
"202",10,1966,1966-10-01,-0.047,-0.79952865,-1.17
"203",11,1966,1966-11-01,0.027,-0.93839698,-1.15
"204",12,1966,1966-12-01,-0.172,-0.54499555,-0.32
"205",1,1967,1967-01-01,-0.465,-0.73605125,-0.2
"206",2,1967,1967-02-01,-0.92,-0.61006085,-0.18
"207",3,1967,1967-03-01,-1.063,-1.1191961,-1.2
"208",4,1967,1967-04-01,-1.079,-0.89138072,-0.89
"209",5,1967,1967-05-01,-0.462,-0.99509831,-1.24
"210",6,1967,1967-06-01,-0.333,-1.252485,-1.16
"211",7,1967,1967-07-01,-0.642,-1.1731513,-0.89
"212",8,1967,1967-08-01,-0.438,-0.75379956,-1.24
"213",9,1967,1967-09-01,-0.653,-0.051677917,-0.72
"214",10,1967,1967-10-01,-0.727,0.0071177736,-0.64
"215",11,1967,1967-11-01,-0.421,-0.58751481,-0.05
"216",12,1967,1967-12-01,-0.388,-0.23339957,-0.4
"217",1,1968,1968-01-01,-0.622,-0.76610972,-0.95
"218",2,1968,1968-02-01,-0.734,-0.6258595,-0.4
"219",3,1968,1968-03-01,-0.66,-0.63205407,-0.31
"220",4,1968,1968-04-01,-1.004,-1.1582636,-1.03
"221",5,1968,1968-05-01,-1.061,-1.2594507,-0.53
"222",6,1968,1968-06-01,-0.733,-1.0381912,-0.35
"223",7,1968,1968-07-01,-0.522,-1.0214287,0.53
"224",8,1968,1968-08-01,-0.121,-0.95952812,0.19
"225",9,1968,1968-09-01,0.226,-0.91457811,0.06
"226",10,1968,1968-10-01,0.41,-0.73758116,-0.34
"227",11,1968,1968-11-01,0.582,-0.22530564,-0.44
"228",12,1968,1968-12-01,0.362,-0.86887064,-1.27
"229",1,1969,1969-01-01,0.673,-2.5593478,-1.26
"230",2,1969,1969-02-01,0.839,-0.7369928,-0.95
"231",3,1969,1969-03-01,0.444,-0.7334626,-0.5
"232",4,1969,1969-04-01,0.624,-0.1832465,-0.44
"233",5,1969,1969-05-01,0.699,-0.090880893,-0.2
"234",6,1969,1969-06-01,0.793,-0.77551688,0.89
"235",7,1969,1969-07-01,0.416,-0.73089032,0.1
"236",8,1969,1969-08-01,0.146,-0.23232563,-0.81
"237",9,1969,1969-09-01,0.162,0.015210575,-0.66
"238",10,1969,1969-10-01,0.508,0.28993968,1.12
"239",11,1969,1969-11-01,0.672,-0.04127024,0.15
"240",12,1969,1969-12-01,0.381,1.1272413,1.38
"241",1,1970,1970-01-01,0.378,-0.19163922,0.61
"242",2,1970,1970-02-01,0.411,-0.32133677,0.43
"243",3,1970,1970-03-01,0.208,-0.41263578,1.33
"244",4,1970,1970-04-01,-0.036,-0.22177049,0.43
"245",5,1970,1970-05-01,-0.132,0.48417772,-0.49
"246",6,1970,1970-06-01,-0.709,0.37084586,0.06
"247",7,1970,1970-07-01,-1.151,0.27240294,-0.68
"248",8,1970,1970-08-01,-1.058,0.41332336,-1.63
"249",9,1970,1970-09-01,-1.242,0.39857819,-1.67
"250",10,1970,1970-10-01,-1.095,0.22630739,-1.39
"251",11,1970,1970-11-01,-1.079,-0.21421458,-0.8
"252",12,1970,1970-12-01,-1.215,-0.071520774,-0.97
"253",1,1971,1971-01-01,-1.208,-0.20162668,-1.9
"254",2,1971,1971-02-01,-1.516,0.059600681,-1.74
"255",3,1971,1971-03-01,-1.795,0.45392927,-1.68
"256",4,1971,1971-04-01,-1.848,0.85376876,-1.59
"257",5,1971,1971-05-01,-1.456,0.49495693,-1.55
"258",6,1971,1971-06-01,-1.5,0.41262019,-1.55
"259",7,1971,1971-07-01,-1.23,0.79092532,-2.2
"260",8,1971,1971-08-01,-1.233,0.70605099,-0.15
"261",9,1971,1971-09-01,-1.479,0.52842538,0.21
"262",10,1971,1971-10-01,-1.415,0.3306484,-0.22
"263",11,1971,1971-11-01,-1.33,0.18247128,-1.25
"264",12,1971,1971-12-01,-1.012,-0.027959273,-1.87
"265",1,1972,1972-01-01,-0.6,-0.5305133,-1.99
"266",2,1972,1972-02-01,-0.42,-0.40844138,-1.83
"267",3,1972,1972-03-01,-0.258,-0.69411044,-2.09
"268",4,1972,1972-04-01,-0.186,-0.68113067,-1.65
"269",5,1972,1972-05-01,0.506,-0.74738833,-1.57
"270",6,1972,1972-06-01,1.177,-0.7609987,-1.87
"271",7,1972,1972-07-01,1.89,-0.32239863,-0.83
"272",8,1972,1972-08-01,1.819,-0.42736154,0.25
"273",9,1972,1972-09-01,1.502,-0.92539715,0.17
"274",10,1972,1972-10-01,1.638,-1.0954562,0.11
"275",11,1972,1972-11-01,1.744,-0.55620606,0.57
"276",12,1972,1972-12-01,1.763,-0.76224231,-0.33
"277",1,1973,1973-01-01,1.746,-0.048363215,-0.46
"278",2,1973,1973-02-01,1.506,-0.50339577,-0.61
"279",3,1973,1973-03-01,0.878,-0.072347531,-0.5
"280",4,1973,1973-04-01,0.5,-0.050589071,-0.69
"281",5,1973,1973-05-01,-0.145,0.25466121,-0.76
"282",6,1973,1973-06-01,-0.801,0.51442802,-0.97
"283",7,1973,1973-07-01,-1.07,0.32357245,-0.57
"284",8,1973,1973-08-01,-1.363,0.16718172,-1.14
"285",9,1973,1973-09-01,-1.75,0.3572996,-0.51
"286",10,1973,1973-10-01,-1.667,0.35027916,-0.87
"287",11,1973,1973-11-01,-1.489,-0.11299269,-1.81
"288",12,1973,1973-12-01,-1.844,0.33929289,-0.76
"289",1,1974,1974-01-01,-1.906,-1.0033867,-1.22
"290",2,1974,1974-02-01,-1.767,-0.38642797,-1.65
"291",3,1974,1974-03-01,-1.753,-0.026205274,-0.9
"292",4,1974,1974-04-01,-1.658,0.014818799,-0.52
"293",5,1974,1974-05-01,-1.089,-0.16634801,-0.28
"294",6,1974,1974-06-01,-0.656,0.21918141,-0.31
"295",7,1974,1974-07-01,-0.74,0.37670197,-0.08
"296",8,1974,1974-08-01,-0.634,0.26162988,0.27
"297",9,1974,1974-09-01,-0.61,-0.16775789,0.44
"298",10,1974,1974-10-01,-1.041,0.0074986156,-0.1
"299",11,1974,1974-11-01,-1.256,0.04270522,0.43
"300",12,1974,1974-12-01,-0.934,0.71586735,-0.12
"301",1,1975,1975-01-01,-0.555,0.63875186,-0.84
"302",2,1975,1975-02-01,-0.587,0.98490837,-0.71
"303",3,1975,1975-03-01,-0.85,0.7158461,-0.51
"304",4,1975,1975-04-01,-0.93,0.64921899,-1.3
"305",5,1975,1975-05-01,-0.879,0.71586507,-1.02
"306",6,1975,1975-06-01,-1.17,0.45778814,-1.16
"307",7,1975,1975-07-01,-1.504,0.51100819,-0.4
"308",8,1975,1975-08-01,-1.731,1.0259992,-1.07
"309",9,1975,1975-09-01,-1.867,0.57322177,-1.23
"310",10,1975,1975-10-01,-1.976,0.95649585,-1.29
"311",11,1975,1975-11-01,-1.771,1.273857,-2.08
"312",12,1975,1975-12-01,-1.747,1.0790459,-1.61
"313",1,1976,1976-01-01,-1.604,1.0782443,-1.14
"314",2,1976,1976-02-01,-1.382,1.1829994,-1.85
"315",3,1976,1976-03-01,-1.235,1.6799048,-0.96
"316",4,1976,1976-04-01,-1.162,2.4363156,-0.89
"317",5,1976,1976-05-01,-0.491,2.1807639,-0.68
"318",6,1976,1976-06-01,0.303,2.0671275,-0.67
"319",7,1976,1976-07-01,0.595,2.2670345,0.61
"320",8,1976,1976-08-01,0.666,2.4363637,1.28
"321",9,1976,1976-09-01,1.048,2.4321414,0.82
"322",10,1976,1976-10-01,0.952,1.6933671,1.11
"323",11,1976,1976-11-01,0.459,1.5746724,1.25
"324",12,1976,1976-12-01,0.546,1.3296016,1.22
"325",1,1977,1977-01-01,0.517,1.3217052,1.65
"326",2,1977,1977-02-01,0.272,1.9341241,1.11
"327",3,1977,1977-03-01,0.119,1.699481,0.72
"328",4,1977,1977-04-01,0.538,1.396454,0.3
"329",5,1977,1977-05-01,0.338,1.0719304,0.31
"330",6,1977,1977-06-01,0.497,0.92382978,0.42
"331",7,1977,1977-07-01,0.851,1.0368123,0.19
"332",8,1977,1977-08-01,0.684,1.2847436,0.64
"333",9,1977,1977-09-01,0.812,0.76644075,-0.55
"334",10,1977,1977-10-01,1.007,1.2530538,-0.61
"335",11,1977,1977-11-01,0.981,1.4486669,-0.72
"336",12,1977,1977-12-01,0.87,0.85400226,-0.69
"337",1,1978,1978-01-01,0.776,1.2148573,0.34
"338",2,1978,1978-02-01,0.892,1.2447465,1.45
"339",3,1978,1978-03-01,0.939,0.61619694,1.34
"340",4,1978,1978-04-01,0.177,0.45326294,1.29
"341",5,1978,1978-05-01,-0.392,0.5867699,0.9
"342",6,1978,1978-06-01,-0.554,0.38409043,0.15
"343",7,1978,1978-07-01,-0.394,0.42586012,-1.24
"344",8,1978,1978-08-01,-0.202,0.86398498,-0.56
"345",9,1978,1978-09-01,-0.387,1.2864755,-0.44
"346",10,1978,1978-10-01,-0.013,0.35159373,0.1
"347",11,1978,1978-11-01,0.198,-0.25888401,-0.07
"348",12,1978,1978-12-01,0.407,-1.1153547,-0.43
"349",1,1979,1979-01-01,0.589,-0.51478626,-0.58
"350",2,1979,1979-02-01,0.362,-0.23329146,-1.33
"351",3,1979,1979-03-01,0.015,-0.62883688,0.3
"352",4,1979,1979-04-01,0.287,-1.034361,0.89
"353",5,1979,1979-05-01,0.394,-0.78180605,1.09
"354",6,1979,1979-06-01,0.391,-0.82272109,0.17
"355",7,1979,1979-07-01,0.345,-1.1482481,0.84
"356",8,1979,1979-08-01,0.647,-1.2509887,0.52
"357",9,1979,1979-09-01,0.768,-0.78481409,1
"358",10,1979,1979-10-01,0.655,-0.6129027,1.06
"359",11,1979,1979-11-01,0.741,-0.49207198,0.48
"360",12,1979,1979-12-01,1.006,-0.54143459,-0.42
"361",1,1980,1980-01-01,0.69,-1.9028722,-0.11
"362",2,1980,1980-02-01,0.591,-1.7223209,1.32
"363",3,1980,1980-03-01,0.662,-1.1510684,1.09
"364",4,1980,1980-04-01,0.868,-0.065782108,1.49
"365",5,1980,1980-05-01,0.924,-0.21080144,1.2
"366",6,1980,1980-06-01,0.869,-0.68274075,-0.22
"367",7,1980,1980-07-01,0.794,-0.9904321,0.23
"368",8,1980,1980-08-01,0.354,-1.0831368,0.51
"369",9,1980,1980-09-01,0.266,-0.69690748,0.1
"370",10,1980,1980-10-01,0.209,-0.066023382,1.35
"371",11,1980,1980-11-01,0.249,-0.13450486,0.37
"372",12,1980,1980-12-01,0.113,-0.28269689,-0.1
"373",1,1981,1981-01-01,-0.251,-0.26440728,0.59
"374",2,1981,1981-02-01,-0.159,-1.0577437,1.46
"375",3,1981,1981-03-01,0.451,-0.69053925,0.99
"376",4,1981,1981-04-01,0.65,-0.62670428,1.45
"377",5,1981,1981-05-01,0.107,0.19965579,1.75
"378",6,1981,1981-06-01,-0.013,0.0088193234,1.69
"379",7,1981,1981-07-01,-0.046,-0.52605658,0.84
"380",8,1981,1981-08-01,-0.081,-0.69772961,0.18
"381",9,1981,1981-09-01,0.194,0.0029768997,0.42
"382",10,1981,1981-10-01,0.118,-0.28779399,0.18
"383",11,1981,1981-11-01,-0.036,0.75622012,0.8
"384",12,1981,1981-12-01,-0.146,0.52121581,0.67
"385",1,1982,1982-01-01,-0.263,-0.19996038,0.34
"386",2,1982,1982-02-01,-0.139,-0.87346295,0.2
"387",3,1982,1982-03-01,0.093,-0.62067405,0.19
"388",4,1982,1982-04-01,-0.057,-1.0710987,-0.19
"389",5,1982,1982-05-01,0.42,-0.99310639,-0.58
"390",6,1982,1982-06-01,0.971,-0.8476034,-0.78
"391",7,1982,1982-07-01,1.619,-0.61058107,0.58
"392",8,1982,1982-08-01,1.813,-0.45697363,0.39
"393",9,1982,1982-09-01,1.782,-0.45956735,0.84
"394",10,1982,1982-10-01,2.017,-1.0067379,0.37
"395",11,1982,1982-11-01,2.448,-0.86607015,-0.25
"396",12,1982,1982-12-01,2.432,-0.2344606,0.26
"397",1,1983,1983-01-01,2.703,0.60465531,0.56
"398",2,1983,1983-02-01,2.917,0.47395959,1.14
"399",3,1983,1983-03-01,3.06,0.43032064,2.11
"400",4,1983,1983-04-01,2.899,-0.72051521,1.87
"401",5,1983,1983-05-01,2.536,-0.74396599,1.8
"402",6,1983,1983-06-01,2.157,-0.076887309,2.36
"403",7,1983,1983-07-01,1.72,-0.04863779,3.51
"404",8,1983,1983-08-01,1.137,-0.010007802,1.85
"405",9,1983,1983-09-01,0.439,-0.40973575,0.91
"406",10,1983,1983-10-01,0.052,-0.48714715,0.96
"407",11,1983,1983-11-01,-0.148,0.56100833,1.02
"408",12,1983,1983-12-01,-0.166,-0.6778232,1.69
"409",1,1984,1984-01-01,-0.34,-0.21510063,1.5
"410",2,1984,1984-02-01,-0.549,0.40077926,1.21
"411",3,1984,1984-03-01,0.157,0.71907062,1.77
"412",4,1984,1984-04-01,0.385,1.1599523,1.52
"413",5,1984,1984-05-01,0.108,0.98165596,1.3
"414",6,1984,1984-06-01,-0.132,0.73748025,0.18
"415",7,1984,1984-07-01,-0.143,0.4158185,-0.18
"416",8,1984,1984-08-01,-0.182,0.36820697,-0.03
"417",9,1984,1984-09-01,-0.086,0.82303277,0.67
"418",10,1984,1984-10-01,0.013,0.94333701,0.58
"419",11,1984,1984-11-01,-0.325,0.86247744,0.71
"420",12,1984,1984-12-01,-0.6,0.25228999,0.82
"421",1,1985,1985-01-01,-0.561,0.32392518,1.27
"422",2,1985,1985-02-01,-0.593,-0.064661941,0.94
"423",3,1985,1985-03-01,-0.706,0.23143699,0.57
"424",4,1985,1985-04-01,-0.484,0.31925946,0.19
"425",5,1985,1985-05-01,-0.738,0.15633692,0
"426",6,1985,1985-06-01,-0.119,-0.044718164,0.18
"427",7,1985,1985-07-01,-0.157,0.17832952,1.07
"428",8,1985,1985-08-01,-0.4,-0.23258976,0.81
"429",9,1985,1985-09-01,-0.55,-0.93626777,0.44
"430",10,1985,1985-10-01,-0.151,-1.1832549,0.29
"431",11,1985,1985-11-01,-0.071,-1.793918,-0.75
"432",12,1985,1985-12-01,-0.306,-1.6806901,0.38
"433",1,1986,1986-01-01,-0.306,-0.7685944,1.12
"434",2,1986,1986-02-01,-0.205,-1.4491836,1.61
"435",3,1986,1986-03-01,0.011,-0.46623733,2.18
"436",4,1986,1986-04-01,-0.133,-0.96677631,1.55
"437",5,1986,1986-05-01,0.321,-0.49841159,1.16
"438",6,1986,1986-06-01,0.315,-0.66585381,0.89
"439",7,1986,1986-07-01,0.389,-0.94142243,1.38
"440",8,1986,1986-08-01,0.789,-1.0182601,0.22
"441",9,1986,1986-09-01,1.153,-0.768198,0.22
"442",10,1986,1986-10-01,1.007,-0.2937993,1
"443",11,1986,1986-11-01,0.857,-0.50124606,1.77
"444",12,1986,1986-12-01,1.181,-0.45618453,1.77
"445",1,1987,1987-01-01,1.253,0.68659838,1.88
"446",2,1987,1987-02-01,1.187,0.7675583,1.75
"447",3,1987,1987-03-01,1.702,0.28541378,2.1
"448",4,1987,1987-04-01,1.863,0.47076848,2.16
"449",5,1987,1987-05-01,2.125,0.27433927,1.85
"450",6,1987,1987-06-01,1.912,0.39440557,0.73
"451",7,1987,1987-07-01,1.835,0.42619958,2.01
"452",8,1987,1987-08-01,1.97,0.3395003,2.83
"453",9,1987,1987-09-01,1.844,0.17022806,2.44
"454",10,1987,1987-10-01,1.637,0.12124511,1.36
"455",11,1987,1987-11-01,1.254,0.52151727,1.47
