"","start","ad.O3","ad.NOx","ad.NO","ad.WS","ad.WD","ad.T","ad.Td","sz.O3","sz.NOx","sz.NO","sz.WS","sz.WD","sz.T","sz.Td","lu.O3","lu.NOx","lu.NO","lu.WS","lu.WD","lu.T","lu.Td"
"18","01.01.2004 08:30",7.9,10.6,2.2,2.02,140,-0.4,-3.057,11.9,10.9,2,0.86,355,0.5,-1.854,14.6,7.1,0.6,1.48,77,-0.9,-2.694
"19","01.01.2004 09:00",11.3,8.9,2.1,3.12,146,-0.3,-3.816,12.4,11.8,3.6,0.7,322,0.5,-1.87,14.4,7.2,0.6,0.77,44,-1,-2.64
"20","01.01.2004 09:30",13.2,7.6,2.7,2.93,136,-0.1,-4.097,13.4,10.3,2.8,0.86,315,0.4,-1.888,13.1,8.2,1.1,0.91,31,-0.9,-2.632
"21","01.01.2004 10:00",15.2,6.7,2.8,2.69,160,0.3,-3.965,13,10.9,3.1,0.56,315,0.5,-1.87,13.8,8.5,1.6,0.98,66,-1,-2.61
"22","01.01.2004 10:30",14.9,7.8,3.4,1.45,136,0.6,-3.933,13,13,5.1,0.86,287,0.5,-1.822,15.1,7.9,1.8,0.94,36,-0.9,-2.648
"23","01.01.2004 11:00",14.3,9.7,4.3,1.31,99,1.1,-3.773,12.9,14,6,0.83,308,0.7,-1.626,15.3,8.2,2.3,0.56,46,-1,-2.67
"24","01.01.2004 11:30",15.1,8.9,3.4,0.12,101,1.2,-4.38,13.4,11.2,3.8,1.05,302,0.7,-1.642,14.9,9.3,2.9,1.35,60,-0.8,-2.688
"25","01.01.2004 12:00",15.4,10,4,0.7,198,1.4,-3.696,13.1,13.3,5.3,0.94,304,0.7,-1.578,14.4,9.4,3.1,1.18,6,-0.7,-2.698
"26","01.01.2004 12:30",15.5,8.9,3.4,0.41,314,1.4,-3.638,12.7,15.1,6.8,1.03,317,0.8,-1.608,13.1,12.4,4.6,1.01,48,-0.7,-2.528
"27","01.01.2004 13:00",15.4,7.7,2.9,0.6,346,1.7,-3.37,11.5,17.9,8.1,0.69,326,0.9,-1.608,13.8,11,4,1.03,8,-0.6,-2.491
"28","01.01.2004 13:30",15.2,7.2,2.4,0.8,352,1.5,-3.011,12.2,14,4.7,0.56,313,0.7,-2.099,12.7,11.4,4.2,0.75,44,-0.5,-2.331
"29","01.01.2004 14:00",14.8,7.5,2.1,0.34,25,1.7,-2.688,13.2,13.2,4.3,0.7,280,0.6,-2.447,11.9,11.5,3.9,1.3,354,-0.3,-2.32
"30","01.01.2004 14:30",13.7,8,2.4,1.53,342,1.6,-2.747,10.6,18.4,7.4,0.17,154,0.7,-2.384,12.3,11,3.3,0.99,350,-0.4,-2.45
"31","01.01.2004 15:00",14.6,7.4,1.6,3.01,354,1.4,-2.885,9.5,20.5,8.4,0.44,125,0.9,-2.325,11.3,9.9,2.2,0.4,31,-0.5,-2.455
"32","01.01.2004 15:30",12.4,8.9,1.7,0.9,141,1.5,-2.715,10.2,14.6,3.1,0.67,289,1,-2.382,8.4,12,2.1,0.68,63,-0.4,-2.109
"33","01.01.2004 16:00",10.9,10.5,1.5,1.02,132,1.3,-2.619,11.6,16,5.2,0.36,307,1.2,-2.805,6.3,13.8,2.1,0.9,20,-0.4,-2.17
"34","01.01.2004 16:30",8.5,13.1,1.8,1.24,139,1,-2.365,8.9,18.6,5.1,0.16,317,1,-2.838,3.2,18.6,3.2,0.75,354,-0.4,-2.186
"35","01.01.2004 17:00",7.6,13.4,1.5,0.54,103,1.1,-2.268,6.5,22.8,7.5,0.08,129,1,-2.731,6.1,16,2.2,0.73,334,-0.5,-2.346
"36","01.01.2004 17:30",5.9,13.4,1.3,0.42,124,0.9,-2.155,3.8,31.5,13.4,0.07,275,0.9,-2.342,3.8,17,1.9,0.78,261,-0.3,-2.103
"37","01.01.2004 18:00",4.5,18.8,5.1,0.65,166,0.8,-1.886,4,23.8,6.3,0.31,306,0.8,-2.236,2.6,18.5,2.8,0.57,10,-0.5,-1.995
"38","01.01.2004 18:30",3.8,17.9,4,0.59,130,0.8,-1.673,4.4,23.9,6.8,0.42,289,0.9,-2.206,2.7,19.5,3.5,1.22,58,-0.7,-1.894
"39","01.01.2004 19:00",3.6,17.2,3.1,1.55,130,0.9,-1.854,4,23.6,6.7,0.45,278,0.9,-2.206,3.3,16.9,1.4,0.95,60,-0.7,-1.805
"40","01.01.2004 19:30",7.1,13.7,2.1,1.81,118,0.8,-2.068,12.2,16.2,5.7,0.21,224,0.9,-2.758,3.3,18.1,2.6,0.9,44,-0.8,-1.787
"41","01.01.2004 20:00",8.2,12.8,2.4,2.67,175,0.6,-1.422,8.3,20.6,6.6,0.41,133,0.6,-2.431,3.6,15.2,1.3,1.05,26,-0.7,-1.703
"42","01.01.2004 20:30",10.9,11,2.2,2.34,171,0.4,-1.493,8.1,19.3,5.1,0.36,118,0.5,-2.097,1.3,27.9,11.1,1.05,15,-0.8,-1.57
"43","01.01.2004 21:00",11.5,8.6,1,1.52,151,0.1,-1.299,9.4,15,2.8,0.45,120,0.3,-1.732,1.9,19.8,4.2,1.2,359,-0.8,-1.642
"44","01.01.2004 21:30",9.6,10.8,1.5,0.11,38,-0.2,-1.148,9.6,13.8,2.6,0.34,132,0.2,-1.504,4.6,14.2,1.7,1.04,336,-0.9,-1.756
"45","01.01.2004 22:00",8.1,12.4,1.6,0.2,227,-0.2,-1.046,7.6,23,9.6,0.18,114,0.3,-1.329,5,12.7,1.2,0.67,324,-1,-1.769
"46","01.01.2004 22:30",7.7,14.5,2.7,0.46,291,-0.3,-1.03,6.2,19.2,4.1,0.19,275,0.3,-1.207,4.6,12.7,1.2,0.53,359,-1.1,-1.797
"47","01.01.2004 23:00",8.5,11.9,1.7,0.71,163,-0.3,-0.816,6.8,15.6,1.5,0.13,271,0.4,-1.093,1.8,15.5,2,0.56,19,-1.1,-1.868
"48","01.01.2004 23:30",7.6,12.4,1.6,1.06,178,-0.3,-0.802,13.5,9.5,0.7,0.11,271,0.4,-1.047,2.3,17.9,3.6,0.94,359,-0.9,-1.785
"49","02.01.2004 00:00",9.7,10.8,1.3,0.97,162,-0.4,-0.973,8.2,13,1.4,0.27,261,0.3,-1.131,4.1,14.8,2,0.89,356,-1,-1.726
"50","02.01.2004 00:30",9.8,9.8,0.9,0.77,149,-0.4,-0.916,6.3,15,1,0.31,128,0.1,-1.238,5.1,14.6,2.6,0.76,335,-1,-1.784
"51","02.01.2004 01:00",8.7,10.7,1.1,0.39,132,-0.4,-0.831,5.8,16.9,2.8,0.02,127,0.3,-1.07,9.8,8.8,0.6,0.63,338,-1.2,-1.868
"52","02.01.2004 01:30",7.9,11,1.1,0.67,169,-0.4,-0.873,5.8,20.3,5.9,0.14,346,0.4,-1.154,8.9,8.6,0.3,0.31,323,-1.2,-1.797
"53","02.01.2004 02:00",8.2,11,1.2,0.83,165,-0.4,-0.873,6.6,15.3,1.9,0.05,157,0.2,-1.305,7.6,9.4,0.3,0.41,342,-1.2,-1.84
"54","02.01.2004 02:30",7.4,12.6,1.7,0.84,175,-0.3,-0.844,7.4,12.7,0.7,0.06,235,0.1,-1.45,7.4,10.2,0.3,0.33,324,-1.2,-1.769
"55","02.01.2004 03:00",7.2,12.8,1.5,0.98,165,-0.3,-0.887,5.7,13.6,0.9,0.1,264,0.2,-1.412,7,10,0.2,0.29,336,-1.2,-1.797
"56","02.01.2004 03:30",8.8,11.7,1.5,0.77,160,-0.3,-0.887,4.2,18.2,5.1,0.13,103,0.1,-1.465,6.1,11.8,0.9,0.61,349,-1.2,-1.825
"57","02.01.2004 04:00",8.1,10.8,1.5,0.5,126,-0.3,-0.973,4.8,14.6,1.3,0.07,105,0.1,-1.419,5.5,11.9,0.8,0.6,358,-1.2,-1.811
"58","02.01.2004 04:30",7.4,11.8,1.1,0.72,144,-0.3,-0.973,4.2,14.9,1.7,0.02,194,0.2,-1.275,3.2,15,1.8,0.38,351,-1.2,-1.698
"59","02.01.2004 05:00",5.6,14.5,2.5,0.93,184,-0.2,-0.816,3,37.3,20.1,0.06,110,0.2,-1.321,3.4,14.4,1.4,0.45,4,-1.2,-1.797
"60","02.01.2004 05:30",6.8,12,1.3,0.62,157,-0.3,-0.788,3.5,20.7,5.4,0.16,9,0.3,-1.314,2.6,15.2,2.1,0.54,4,-1.2,-1.84
"61","02.01.2004 06:00",6.6,11.4,1.1,0.26,117,-0.3,-0.76,2.1,22.7,5.7,0.12,347,0.4,-1.139,1.8,16.2,2.6,0.61,74,-1.1,-1.783
"62","02.01.2004 06:30",4.3,15.6,3.5,0.6,154,-0.3,-0.802,2.7,24.1,8,0.03,85,0.4,-1.338,4.2,12.5,0.7,0.55,71,-1,-1.769
"63","02.01.2004 07:00",1.4,29.4,13.2,0.79,168,-0.2,-0.674,1.6,25.6,9.3,0.17,276,0.4,-1.123,2.4,21.5,7.5,0.52,10,-1.1,-1.883
"64","02.01.2004 07:30",1.4,32,15.3,0.58,148,-0.3,-0.731,1.1,41,24.8,0.05,282,0.3,-1.101,1,26,11.4,0.71,354,-1.1,-1.868
"65","02.01.2004 08:00",3.4,19,5.3,0.6,134,-0.2,-0.802,2.1,42.5,25.4,0.03,10,0.7,-0.965,1.5,22.6,8.2,0.66,359,-1.2,-1.896
"66","02.01.2004 08:30",3.6,20.1,7.5,0.5,151,-0.2,-0.788,5.8,27.4,13.6,0.26,0,0.8,-1.006,3.1,22,9.1,0.62,345,-1.2,-1.997
"67","02.01.2004 09:00",2.4,45.5,30,0.18,194,-0.1,-0.631,8.2,16.2,6.2,0.39,354,0.9,-0.876,4.5,18.7,7.9,0.33,313,-1.3,-1.953
"68","02.01.2004 09:30",3.8,42.2,27.1,0.22,188,0,-0.506,8.9,17.3,8,0.61,346,1,-0.902,3.8,32.7,19.4,0.25,270,-1,-1.784
"69","02.01.2004 10:00",3.3,42,27.4,0.09,180,0.1,-0.42,8.3,19.8,9.8,0.61,359,1,-0.918,5.6,31.5,19,0.16,271,-0.9,-1.756
"70","02.01.2004 10:30",6,35.8,22,0.15,180,0.3,-0.235,8.2,32,20.8,0.51,359,1.1,-0.835,7.1,21.8,11.6,NA,NA,-0.7,-1.645
"71","02.01.2004 11:00",NA,NA,NA,0.12,180,0.5,-0.122,9.2,21.7,12.4,1.06,318,1.2,-0.895,7.2,21.1,11.1,NA,NA,-0.6,-1.531
"72","02.01.2004 11:30",NA,NA,NA,0.08,175,0.6,-0.211,9.7,21.6,13.5,1.03,307,1.3,-0.813,8.4,17.3,9,0.37,44,-0.6,-1.531
"73","02.01.2004 12:00",13.3,17.3,9,0.22,109,1,-0.153,10.6,24.5,15.7,1.18,288,1.3,-0.749,9,16.6,8.2,1.25,6,-0.4,-1.567
"74","02.01.2004 12:30",12.1,18.2,9.7,0.35,147,1,-0.094,9.5,24.4,15,1.12,305,1.4,-0.73,8.1,20.2,9.5,1.23,29,-0.4,-1.716
"75","02.01.2004 13:00",11.5,21.7,11.7,0.3,127,1.1,-0.054,NA,NA,NA,1.28,298,1.4,-0.699,8.3,21.2,9.2,1.29,12,-0.3,-1.662
"76","02.01.2004 13:30",11.4,20.9,11.2,0.25,299,1.7,-0.372,NA,NA,NA,1.37,318,1.3,-0.908,8.4,20.1,7.8,1.25,357,-0.1,-1.783
"77","02.01.2004 14:00",13,13.9,6.4,0.42,68,1.8,-0.809,7.8,30.2,17.1,1.33,330,1.4,-0.81,7.8,18.7,7.2,1.78,1,-0.1,-1.983
"78","02.01.2004 14:30",11.6,15.3,6.2,1.09,120,1.7,-0.694,6.5,33.4,19,1.1,319,1.4,-0.778,7.5,15.4,5.6,2.62,6,-0.1,-2.076
"79","02.01.2004 15:00",9.9,15.8,5.1,0.55,136,1.7,-0.775,6.1,28.4,14,1.09,336,1.5,-0.809,7.4,15.1,4.9,2.7,6,-0.2,-2.113
"80","02.01.2004 15:30",8.1,17,4.9,0.81,352,1.7,-0.808,4.7,28.4,12.4,0.69,339,1.5,-0.922,8.8,14.7,3.9,3.02,2,-0.4,-2.497
"81","02.01.2004 16:00",5.8,21,6.8,0.85,342,1.7,-0.694,4.1,27.9,10.5,0.55,351,1.6,-1.004,9.4,13.7,2.7,2.95,358,-0.5,-2.674
"82","02.01.2004 16:30",6,18.8,5,2.47,343,1.8,-1.176,7.5,21.8,7.4,1.2,294,1.4,-1.924,9.3,13.5,2,1.98,344,-0.8,-2.781
"83","02.01.2004 17:00",5.9,17,3.4,3.46,339,1.8,-1.277,8.1,22,8.1,0.78,294,1.3,-2.247,9.2,13.9,1.8,1.78,342,-1,-2.978
"84","02.01.2004 17:30",7.3,14.7,2.3,3.55,344,1.6,-1.388,9.4,20.9,7.6,0.88,293,1.2,-2.309,10.2,13.8,1.7,2.44,342,-1.1,-3.201
"85","02.01.2004 18:00",9.8,12.6,2.4,3.57,344,1.6,-1.439,10,18.5,6.1,0.84,292,1.2,-2.344,11.4,12.9,1.5,2.55,344,-1.1,-3.342
"86","02.01.2004 18:30",9.6,12.8,2.6,3.36,345,1.4,-1.533,10.6,17.9,5.9,1.38,292,1,-2.538,12.8,12,1,2.71,352,-1.2,-3.504
"87","02.01.2004 19:00",9.3,14.5,3.6,2.93,336,1.4,-1.382,11.6,20.6,8.6,1.64,289,0.7,-2.795,12.8,11.7,1,2.17,329,-1.5,-3.688
"88","02.01.2004 19:30",10.4,12.7,2.3,4.15,341,1.3,-1.765,12.6,13.1,2.6,1.89,288,0.6,-2.84,14.4,11,0.8,1.94,341,-1.6,-4.039
"89","02.01.2004 20:00",10.8,10.9,1.3,4.59,344,1.2,-2.084,12.9,12.3,1.7,0.88,307,0.4,-3.261,16,9.8,0.6,2.57,349,-1.7,-4.233
"90","02.01.2004 20:30",11.5,11.5,2.1,3.76,339,1.1,-2.181,11.9,16.5,4.6,0.77,353,0.3,-3.218,16.8,9.4,0.6,2.51,344,-1.8,-4.395
"91","02.01.2004 21:00",12.2,11,1.9,3.56,342,1,-2.142,12.7,12.1,1.2,0.6,319,0.2,-3.229,17,8.9,0.4,2.48,340,-1.9,-4.509
"92","02.01.2004 21:30",13,11.8,2.4,3.88,337,0.8,-2.286,12.6,13.5,2.1,0.54,304,0.2,-3.091,17.1,8.7,0.4,2.53,337,-2,-4.72
"93","02.01.2004 22:00",13.2,9.8,1,4.59,340,0.6,-2.414,11.3,15.9,3.1,0.3,92,0,-2.949,16.6,8.9,0.5,2.31,343,-1.9,-4.622
"94","02.01.2004 22:30",14.5,10.1,1.4,4.72,341,0.5,-2.562,10.8,16.7,2.7,0.35,135,-0.2,-3.192,16.6,9,0.5,2.22,342,-2.1,-4.769
"95","02.01.2004 23:00",14.5,9.8,1.3,4.64,341,0.3,-2.96,12.6,14.6,1.5,0.28,96,-0.3,-3.157,NA,NA,NA,2.37,346,-2,-4.753
"96","02.01.2004 23:30",14.6,9.9,1.3,3.88,336,0.2,-3.074,11.4,15.6,2.2,0.55,118,-0.5,-3.418,NA,NA,NA,2.33,339,-2.3,-4.852
"97","03.01.2004 00:00",15.4,9.8,1.3,4,338,0.1,-3.189,11.1,16,2.3,0.25,67,-0.4,-3.387,18.3,7.7,0,2.23,346,-2.4,-5.014
"98","03.01.2004 00:30",15.1,10.3,1.8,3.48,338,0,-3.355,12.4,14.4,1.8,0.61,117,-0.6,-3.733,19.1,8.4,0.6,2.16,352,-2.2,-5.078
"99","03.01.2004 01:00",15.2,9.8,1.5,2.28,338,0,-3.338,10.9,16.6,2.1,0.27,359,-0.5,-3.602,20,7.7,0.5,1.82,0,-2.5,-5.209
"100","03.01.2004 01:30",14.9,9.8,1.4,2.42,338,-0.1,-3.279,14.8,11.3,1.4,0.18,136,-0.7,-3.847,20.3,7.1,0.3,1.93,11,-2.6,-5.242
"101","03.01.2004 02:00",15.2,9.7,1.2,2.01,339,-0.2,-3.176,14.6,11.6,1.1,0.15,55,-0.8,-3.911,19.7,6.9,0.1,1.58,9,-2.7,-5.292
"102","03.01.2004 02:30",15.2,9.6,1.5,2.48,336,-0.3,-3.257,16.7,9.5,1.1,0.58,295,-0.8,-3.844,19.2,7.2,0.1,1.36,16,-2.9,-5.329
"103","03.01.2004 03:00",15.6,8.9,1.1,1.7,331,-0.3,-3.29,16.6,9.6,1.2,0.4,289,-0.9,-3.809,18.5,7.4,0.2,1.63,19,-2.7,-5.133
"104","03.01.2004 03:30",15,9.2,1.5,0.56,1,-0.5,-3.074,17.1,9.5,1,0.62,321,-0.9,-3.892,17,8.9,0.3,1.52,19,-2.8,-5.074
"105","03.01.2004 04:00",14.6,8.7,0.6,0.27,11,-0.4,-3.057,17.5,10.5,2.2,1.05,334,-1,-3.89,18.6,8.4,0.2,2.12,10,-2.7,-5.26
"106","03.01.2004 04:30",15.3,9,1.4,2.8,346,-0.2,-2.829,17.5,11.5,2.6,1.18,329,-1.1,-3.84,18.9,8,0.5,2.34,349,-2.8,-5.39
"107","03.01.2004 05:00",15.8,8.8,1.1,4.33,350,-0.3,-3.009,18,8.6,0.8,1.86,290,-1.1,-3.922,19.8,7.1,0.6,2.55,339,-3.1,-5.636
"108","03.01.2004 05:30",17.2,8.7,1.2,4.58,347,-0.2,-3.225,18.1,8.4,0.9,1.65,286,-1.3,-4.299,18.1,8,0.7,1.74,321,-3.5,-5.529
"109","03.01.2004 06:00",18,8,1.1,5.48,346,-0.5,-3.636,17,11.1,2.5,0.86,340,-1.5,-4.296,17.9,8.1,0.4,0.52,321,-3.8,-5.417
"110","03.01.2004 06:30",19.3,7.7,1.3,4.35,339,-0.7,-4.188,17.1,10.9,1.9,1,323,-1.7,-4.394,18.4,7.7,0.2,0.59,38,-3.8,-5.299
"111","03.01.2004 07:00",18.6,8.2,1.3,3.35,346,-0.7,-4.05,16.3,12.7,3,1.19,319,-1.9,-4.541,17.2,7.7,0.3,1.51,52,-3.9,-5.398
"112","03.01.2004 07:30",17.7,8.6,1.7,2.97,344,-0.8,-3.828,15.3,13,2.7,1.14,328,-2,-4.672,17.1,7.9,0.5,0.86,58,-4,-5.467
"113","03.01.2004 08:00",16.5,9.4,1.7,2.27,338,-0.9,-3.925,14.8,14.7,3.4,1.49,330,-2.2,-4.851,15.8,7.8,0.3,1.06,28,-4,-5.615
"114","03.01.2004 08:30",16.4,11.1,2.7,2.39,340,-0.8,-3.844,14.8,13.6,2.5,1.61,315,-2.3,-4.933,13.6,10.3,0.4,1.12,36,-3.9,-5.725
"115","03.01.2004 09:00",17.1,8.4,1.4,3.61,346,-0.8,-3.745,14.7,13.2,2.7,1.51,322,-2.4,-5.144,15.5,9.6,0.8,1.41,51,-3.9,-6.091
"116","03.01.2004 09:30",17,9.5,2.2,4.16,346,-0.9,-3.859,14.5,15,3.9,1.68,337,-2.4,-5.079,15.1,10.1,1.3,1.47,29,-4,-6.392
"117","03.01.2004 10:00",15.5,12.8,4.1,3.14,338,-1,-3.791,13.4,17.2,5.2,1.25,329,-2.4,-4.998,14.6,11.9,2,1.35,30,-4,-6.423
"118","03.01.2004 10:30",16.5,9.6,1.8,4.03,341,-0.9,-3.958,13,22.5,10.3,1.2,329,-2.2,-4.867,15.5,11,2.3,1.05,50,-4,-6.205
"119","03.01.2004 11:00",15.6,12.2,3.6,3.57,340,-1,-4.156,13.8,17.5,5.9,1.21,320,-2.2,-5.013,15.1,11.1,2.4,0.74,13,-3.8,-5.931
"120","03.01.2004 11:30",15.6,11.9,3.7,3.43,340,-1,-4.123,13.3,19.6,7.4,0.93,335,-1.9,-4.687,13.7,15.2,4.6,0.65,8,-3.8,-6.227
"121","03.01.2004 12:00",15.5,12.2,4,2.71,339,-1,-4.257,13.5,24.4,13.1,1.08,300,-1.8,-4.492,14.5,15,4.7,0.91,49,-3.7,-5.926
"122","03.01.2004 12:30",14.7,13.8,4.7,1.87,335,-0.9,-4.143,14,17.4,5.7,1.26,299,-1.8,-4.737,14.2,15.4,4.8,1.07,37,-3.5,-5.933
"123","03.01.2004 13:00",15.5,12.6,3.7,1.19,342,-1,-4.377,13.7,17.9,5.6,1.48,296,-2,-4.932,14.1,15.7,5,1.28,7,-3.3,-5.895
"124","03.01.2004 13:30",14.9,13.8,4.8,2.65,341,-0.8,-4.148,13.8,17.3,4.8,1.6,317,-2.1,-5.063,14.7,13.9,3.3,1.66,44,-3.4,-5.85
"125","03.01.2004 14:00",14.7,12.3,3.1,5.26,345,-0.9,-4.025,13.5,17.7,5,1.48,313,-1.9,-4.835,14,13.3,2.7,1.75,56,-3.5,-6.012
"126","03.01.2004 14:30",13.7,13.2,3.1,4.3,341,-0.9,-4.194,12.9,19.7,5.9,1.56,324,-2.1,-5.129,13.1,14.8,2.8,2.23,41,-3.5,-6.139
"127","03.01.2004 15:00",12.6,16.9,5,3.74,332,-1.1,-4.457,11.2,20.3,4.8,1.38,332,-2.1,-5.112,13.8,14.5,2.4,1.73,41,-3.8,-6.242
"128","03.01.2004 15:30",12.6,18.8,5.7,2.69,333,-1.1,-4.645,8.7,22.7,4.9,1.14,349,-2,-4.867,11.3,16.7,2.5,1.2,18,-3.8,-6.148
"129","03.01.2004 16:00",12.1,17.6,4,0.99,323,-1.1,-4.732,8.4,27.9,9.5,0.96,301,-2.1,-5.03,11.4,17.2,2.2,2.25,6,-3.7,-6.318
"130","03.01.2004 16:30",10.2,17.8,3.3,0.65,348,-1,-4.791,6.8,26.9,7.6,1.04,307,-2.2,-5.062,11.2,17.1,1.8,2.35,13,-4.1,-6.631
"131","03.01.2004 17:00",11.8,15.5,2.6,2.31,343,-0.9,-4.52,7.9,22.8,4.4,1.4,310,-2.2,-5.094,12,15.7,1.3,0.94,56,-4.3,-6.623
"132","03.01.2004 17:30",11.7,14.7,1.9,3.7,342,-1,-4.445,9.3,20.3,2.9,1.65,325,-2.6,-5.502,12.4,13.8,0.9,1.56,46,-4.2,-6.619
"133","03.01.2004 18:00",11.8,15.2,2.5,4.28,346,-1.1,-4.732,10,20.6,3.6,1.75,331,-2.8,-5.746,14.8,13,0.5,2.39,39,-4.4,-7.146
"134","03.01.2004 18:30",12.2,14.3,1.2,4.37,349,-1,-4.531,10.4,20.1,3.6,2.16,347,-3,-6.006,16.3,11.4,0.4,2.07,37,-4.7,-6.892
"135","03.01.2004 19:00",10.3,17.5,3.1,3.27,338,-1.5,-4.778,9.7,23,5.5,1.48,335,-2.9,-6.157,16.7,11.3,0.7,2.08,13,-4.8,-7.3
"136","03.01.2004 19:30",10.5,18.2,3.5,1.88,336,-1.5,-4.846,9,21.8,4.3,1.06,330,-3,-5.876,16.2,11,0.7,1.6,12,-5,-7.095
"137","03.01.2004 20:00",10.8,17.4,3,1.01,336,-1.4,-4.954,10.6,19.8,4,1.21,326,-3,-6.056,15,11.8,0.6,0.86,39,-5.1,-7.148
"138","03.01.2004 20:30",11.8,15.3,1.6,0.91,341,-1.4,-4.954,10.8,19,3.6,1.1,342,-3,-6.322,13.9,12,0.6,1.27,22,-4.9,-6.875
"139","03.01.2004 21:00",11.7,14.7,1.5,1.28,339,-1.5,-4.863,12.7,15.3,1.1,1.35,324,-3.2,-6.006,14.5,12.2,0.4,1.26,57,-5,-7.325
"140","03.01.2004 21:30",12.2,13.7,1.5,2.8,342,-1.6,-5.079,13.9,13.8,0.9,1.5,325,-3.5,-6.675,15.1,10.4,0.4,1.45,51,-5.1,-7.331
"141","03.01.2004 22:00",12,14.6,2,2.75,339,-1.6,-4.943,15.1,13,1.1,1.67,332,-3.6,-6.51,14.6,11,0.5,1.76,50,-5.2,-7.201
"142","03.01.2004 22:30",13.1,13.8,1.5,3.78,341,-1.6,-4.96,14.1,14.2,1.8,1.89,344,-3.7,-6.543,15.2,10.9,0.6,1.43,48,-5.1,-7.239
"143","03.01.2004 23:00",13.1,13.8,2,3.26,337,-1.9,-5.252,13.2,15.2,2,1.37,326,-3.7,-6.511,15.3,10.6,0.4,1.02,47,-5.5,-7.663
"144","03.01.2004 23:30",12.8,14.1,2,2.25,340,-1.9,-5.286,12.8,16.1,2.8,1.27,317,-3.8,-6.885,15.3,10.4,0.5,1.18,53,-5.5,-7.647
"145","04.01.2004 00:00",13.2,14,2.1,1.34,341,-1.9,-5.269,13.9,14.6,2.1,1.54,328,-3.8,-6.56,14.8,10.7,0.6,0.99,36,-5.5,-7.361
