"","time","star"
"492",492,23
"493",493,23
"494",494,23
"495",495,23
"496",496,22
"497",497,21
"498",498,20
"499",499,19
"500",500,18
"501",501,18
"502",502,17
"503",503,17
"504",504,16
"505",505,16
"506",506,16
"507",507,16
"508",508,15
"509",509,15
"510",510,15
"511",511,14
"512",512,14
"513",513,13
"514",514,13
"515",515,13
"516",516,13
"517",517,13
"518",518,13
"519",519,14
"520",520,14
"521",521,15
"522",522,16
"523",523,18
"524",524,19
"525",525,21
"526",526,22
"527",527,24
"528",528,24
"529",529,25
"530",530,26
"531",531,26
"532",532,25
"533",533,24
"534",534,23
"535",535,21
"536",536,19
"537",537,16
"538",538,14
"539",539,12
"540",540,9
"541",541,7
"542",542,5
"543",543,5
"544",544,4
"545",545,5
"546",546,6
"547",547,8
"548",548,10
"549",549,13
"550",550,16
"551",551,20
"552",552,23
"553",553,26
"554",554,29
"555",555,31
"556",556,32
"557",557,32
"558",558,32
"559",559,31
"560",560,29
"561",561,26
"562",562,23
"563",563,20
"564",564,16
"565",565,12
"566",566,8
"567",567,6
"568",568,3
"569",569,1
"570",570,0
"571",571,0
"572",572,1
"573",573,3
"574",574,6
"575",575,10
"576",576,13
"577",577,17
"578",578,21
"579",579,25
"580",580,28
"581",581,31
"582",582,33
"583",583,34
"584",584,34
"585",585,33
"586",586,31
"587",587,29
"588",588,26
"589",589,22
"590",590,18
"591",591,15
"592",592,11
"593",593,8
"594",594,5
"595",595,3
"596",596,2
"597",597,2
"598",598,2
"599",599,4
"600",600,5
