"","time","CREF"
"120",120,191.6303
"121",121,192.2001
"122",122,192.145
"123",123,191.146
"124",124,191.3149
"125",125,189.1978
"126",126,189.6551
"127",127,190.9618
"128",128,192.9231
"129",129,192.2213
"130",130,193.1285
"131",131,192.9677
"132",132,193.0154
"133",133,195.0056
"134",134,195.2964
"135",135,194.7401
"136",136,193.1571
"137",137,193.0615
"138",138,192.3509
"139",139,192.9698
"140",140,191.9838
"141",141,190.7412
"142",142,190.8596
"143",143,190.622
"144",144,189.6502
"145",145,188.3347
"146",146,187.5128
"147",147,187.4437
"148",148,187.5319
"149",149,186.2264
"150",150,188.2948
"151",151,188.5653
"152",152,187.7478
"153",153,187.6217
"154",154,188.4999
"155",155,189.0319
"156",156,190.227
"157",157,188.8464
"158",158,188.9018
"159",159,189.441
"160",160,187.8393
"161",161,185.8412
"162",162,183.111
"163",163,182.9881
"164",164,184.4746
"165",165,182.5019
"166",166,185.3088
"167",167,184.4957
"168",168,185.7634
"169",169,184.224
"170",170,184.3706
"171",171,182.446
"172",172,184.1553
"173",173,184.8808
"174",174,184.9556
"175",175,187.2855
"176",176,187.1402
"177",177,187.1057
"178",178,187.9255
"179",179,186.298
"180",180,186.6899
"181",181,184.9938
"182",182,184.0093
"183",183,185.3435
"184",184,186.5524
"185",185,188.4243
"186",186,189.3876
"187",187,189.0734
"188",188,189.9686
"189",189,190.0209
"190",190,189.2635
"191",191,190.405
"192",192,190.7779
"193",193,189.8462
"194",194,191.4699
"195",195,191.8557
"196",196,190.8573
"197",197,191.088
"198",198,191.2495
"199",199,191.1261
"200",200,191.7602
"201",201,191.3365
"202",202,191.6105
"203",203,192.1395
"204",204,192.6518
"205",205,193.526
"206",206,194.6362
"207",207,194.2867
"208",208,194.1376
"209",209,194.2804
"210",210,192.3368
"211",211,191.0151
"212",212,190.8481
"213",213,192.5718
"214",214,192.5601
"215",215,191.433
"216",216,191.8512
"217",217,193.1988
"218",218,192.151
"219",219,192.334
"220",220,194.6524
"221",221,196.1118
"222",222,196.6941
"223",223,196.5667
"224",224,196.9369
"225",225,196.9497
"226",226,196.0992
"227",227,197.1816
"228",228,197.9888
"229",229,197.3682
"230",230,198.3257
"231",231,197.4592
"232",232,197.7648
"233",233,198.7134
"234",234,199.9306
"235",235,199.0612
"236",236,199.0549
"237",237,199.5168
"238",238,201.0192
"239",239,201.2259
"240",240,199.79
"241",241,198.0544
"242",242,197.8123
"243",243,198.9367
"244",244,199.2591
"245",245,200.7719
"246",246,199.8518
"247",247,200.2129
"248",248,198.0824
"249",249,198.1435
"250",250,197.4139
"251",251,197.716
"252",252,198.5336
"253",253,197.81
"254",254,196.755
"255",255,197.2126
"256",256,196.0747
"257",257,196.9925
"258",258,196.265
"259",259,198.7254
"260",260,199.5439
"261",261,199.2158
"262",262,201.4288
"263",263,201.9102
"264",264,201.1258
"265",265,202.6884
"266",266,202.4922
"267",267,201.0151
"268",268,200.5871
"269",269,200.4954
"270",270,201.8826
"271",271,200.8996
"272",272,199.7387
"273",273,198.2152
"274",274,198.3965
"275",275,198.5311
"276",276,199.199
"277",277,198.9456
"278",278,199.4308
"279",279,201.3264
"280",280,201.6211
"281",281,201.4032
"282",282,199.7751
"283",283,196.6954
"284",284,195.549
"285",285,196.3161
"286",286,195.0593
"287",287,194.6768
"288",288,193.2324
"289",289,192.6295
"290",290,194.5558
"291",291,194.7376
"292",292,192.5413
"293",293,194.9051
"294",294,192.0945
"295",295,192.8174
"296",296,195.8702
"297",297,195.5926
"298",298,194.826
"299",299,192.8235
"300",300,195.5452
"301",301,197.2472
"302",302,196.959
"303",303,199.0678
"304",304,200.0495
"305",305,199.6469
"306",306,200.095
"307",307,199.4665
"308",308,199.6073
"309",309,201.054
"310",310,201.6568
"311",311,201.3372
"312",312,200.2455
"313",313,200.4589
"314",314,202.8423
"315",315,203.6384
"316",316,204.8472
"317",317,205.7256
"318",318,206.6752
"319",319,206.8579
"320",320,205.3075
"321",321,205.3389
"322",322,204.3208
"323",323,206.9147
"324",324,207.3287
"325",325,207.0495
"326",326,207.4559
"327",327,206.5422
"328",328,206.5484
"329",329,207.2215
"330",330,207.8573
"331",331,208.6617
"332",332,209.5612
"333",333,208.8888
"334",334,208.7528
"335",335,207.3982
"336",336,207.4532
"337",337,208.1049
"338",338,209.032
"339",339,209.2731
"340",340,207.4294
"341",341,208.1488
"342",342,207.7389
"343",343,206.5355
"344",344,206.5326
"345",345,210.3615
"346",346,211.6547
"347",347,211.7797
"348",348,213.8682
"349",349,214.5423
"350",350,214.3282
"351",351,215.2526
"352",352,214.2078
"353",353,214.3141
"354",354,213.0294
"355",355,211.8589
"356",356,213.5714
"357",357,209.8798
"358",358,210.8434
"359",359,211.6795
"360",360,211.6313
"361",361,213.3661
"362",362,214.9528
"363",363,215.0396
"364",364,214.9319
"365",365,215.3267
"366",366,213.506
"367",367,212.3856
"368",368,212.6999
"369",369,210.8728
"370",370,212.1315
"371",371,211.9956
"372",372,212.1606
"373",373,211.0993
"374",374,213.0379
"375",375,213.5686
"376",376,215.1725
"377",377,214.83
"378",378,214.4294
"379",379,215.8385
"380",380,215.705
"381",381,216.1022
"382",382,217.0688
"383",383,215.0128
"384",384,216.7778
"385",385,216.3912
"386",386,215.9897
"387",387,214.6952
"388",388,213.5316
"389",389,213.5169
"390",390,213.0326
"391",391,214.4833
"392",392,215.4008
"393",393,217.6598
"394",394,218.5953
"395",395,219.0666
"396",396,219.6537
"397",397,219.6426
"398",398,218.0539
"399",399,219.3864
"400",400,218.7075
"401",401,219.3892
"402",402,219.1747
"403",403,218.0518
"404",404,219.6177
"405",405,220.1396
"406",406,219.3545
"407",407,219.9175
"408",408,221.3345
"409",409,222.2225
"410",410,222.2144
"411",411,220.0313
"412",412,220.0579
"413",413,218.298
"414",414,218.3709
"415",415,218.6622
"416",416,218.6063
"417",417,222.239
"418",418,223.1092
"419",419,223.2338
"420",420,223.5287
"421",421,222.7684
"422",422,222.12
"423",423,222.7181
"424",424,223.3415
"425",425,223.4153
"426",426,223.4113
"427",427,222.9821
"428",428,224.4898
"429",429,223.5849
"430",430,224.6675
"431",431,227.219
"432",432,227.3201
"433",433,227.5427
"434",434,227.048
"435",435,224.4732
"436",436,221.3065
"437",437,220.8795
"438",438,220.475
"439",439,216.7061
"440",440,214.7904
"441",441,215.2352
"442",442,213.4263
"443",443,213.1752
"444",444,212.8626
"445",445,215.5196
"446",446,216.9911
"447",447,213.7736
"448",448,215.4606
"449",449,218.0691
"450",450,218.8159
"451",451,214.8489
"452",452,213.3746
"453",453,211.9866
"454",454,210.8624
"455",455,210.4437
"456",456,207.4249
"457",457,204.3219
"458",458,205.7235
"459",459,210.9242
"460",460,209.9935
"461",461,207.8639
"462",462,207.9734
"463",463,210.1586
"464",464,209.5382
"465",465,209.4255
"466",466,210.4338
"467",467,208.4784
"468",468,209.4284
"469",469,214.404
"470",470,215.4764
"471",471,217.0226
"472",472,214.9229
"473",473,215.65
"474",474,214.6051
"475",475,214.7334
"476",476,215.3733
"477",477,212.6284
"478",478,209.5586
"479",479,208.166
"480",480,207.1919
"481",481,207.083
"482",482,211.3311
"483",483,209.7204
"484",484,208.3945
"485",485,211.6922
"486",486,213.2249
"487",487,213.2561
"488",488,212.654
"489",489,215.6207
"490",490,215.5485
"491",491,214.4493
"492",492,215.8461
"493",493,216.1234
"494",494,216.3742
"495",495,215.2272
"496",496,214.5957
"497",497,214.0166
"498",498,214.7661
"499",499,213.7876
"500",500,214.1946
"501",501,217.3653
