"","time","retail"
"173",2000.33333333334,92.8
"174",2000.41666666667,92.7
"175",2000.5,97.1
"176",2000.58333333334,94
"177",2000.66666666667,93
"178",2000.75,100.8
"179",2000.83333333334,114
"180",2000.91666666667,151.9
"181",2001,93.9
"182",2001.08333333334,90.3
"183",2001.16666666667,92.4
"184",2001.25,98.6
"185",2001.33333333334,100.1
"186",2001.41666666667,99
"187",2001.5,103.5
"188",2001.58333333334,100.4
"189",2001.66666666667,101
"190",2001.75,107.4
"191",2001.83333333334,123.3
"192",2001.91666666667,164.1
"193",2002,98.5
"194",2002.08333333334,97.3
"195",2002.16666666667,102.7
"196",2002.25,106.2
"197",2002.33333333334,105.3
"198",2002.41666666667,102
"199",2002.5,108.6
"200",2002.58333333334,103.4
"201",2002.66666666667,104.1
"202",2002.75,113.2
"203",2002.83333333334,131.3
"204",2002.91666666667,165.3
"205",2003,100.1
"206",2003.08333333334,99.3
"207",2003.16666666667,102.7
"208",2003.25,108.1
"209",2003.33333333334,106.3
"210",2003.41666666667,106.7
"211",2003.5,111.2
"212",2003.58333333334,105.9
"213",2003.66666666667,108
"214",2003.75,116.7
"215",2003.83333333334,134
"216",2003.91666666667,170.8
"217",2004,106.3
"218",2004.08333333334,103.7
"219",2004.16666666667,107.6
"220",2004.25,113.5
"221",2004.33333333334,113.6
"222",2004.41666666667,113.7
"223",2004.5,116.6
"224",2004.58333333334,112.4
"225",2004.66666666667,113.8
"226",2004.75,120.4
"227",2004.83333333334,138
"228",2004.91666666667,172.1
"229",2005,106
"230",2005.08333333334,102.7
"231",2005.16666666667,109.1
"232",2005.25,109.6
"233",2005.33333333334,110.7
"234",2005.41666666667,112.7
"235",2005.5,114.8
"236",2005.58333333334,111.1
"237",2005.66666666667,111.5
"238",2005.75,118.8
"239",2005.83333333334,136.9
"240",2005.91666666667,177.5
"241",2006,105.4
"242",2006.08333333334,102.6
"243",2006.16666666667,106.7
"244",2006.25,114.1
"245",2006.33333333334,114.7
"246",2006.41666666667,115.1
"247",2006.5,116.9
"248",2006.58333333334,114.7
"249",2006.66666666667,113.6
"250",2006.75,122.8
"251",2006.83333333334,140.5
"252",2006.91666666667,184.8
"253",2007,107.6
"254",2007.08333333334,107.5
"255",2007.16666666667,113.2
