"","time","beersales"
"141",1986.66666666667,14.0156
"142",1986.75,14.6417
"143",1986.83333333333,12.4761
"144",1986.91666666667,12.8391
"145",1987,13.6094
"146",1987.08333333333,13.7362
"147",1987.16666666667,15.3119
"148",1987.25,15.9071
"149",1987.33333333333,16.135
"150",1987.41666666667,16.6147
"151",1987.5,17.0362
"152",1987.58333333333,15.8162
"153",1987.66666666667,14.3066
"154",1987.75,14.4671
"155",1987.83333333333,12.5856
"156",1987.91666666667,12.3225
"157",1988,13.8006
"158",1988.08333333333,13.9416
"159",1988.16666666667,15.2575
"160",1988.25,15.2452
"161",1988.33333333333,16.4849
"162",1988.41666666667,17.0435
"163",1988.5,16.4097
"164",1988.58333333333,16.2246
"165",1988.66666666667,14.4386
"166",1988.75,13.9469
"167",1988.83333333333,13.2062
"168",1988.91666666667,12.2347
"169",1989,14.0913
"170",1989.08333333333,13.195
"171",1989.16666666667,15.4059
"172",1989.25,14.8754
"173",1989.33333333333,16.7768
"174",1989.41666666667,16.9378
"175",1989.5,16.2259
"176",1989.58333333333,17.4078
"177",1989.66666666667,14.7684
"178",1989.75,14.3167
"179",1989.83333333333,13.4048
"180",1989.91666666667,12.0999
"181",1990,14.26
"182",1990.08333333333,13.38
"183",1990.16666666667,15.89
"184",1990.25,15.23
"185",1990.33333333333,16.91
"186",1990.41666666667,16.8854
"187",1990.5,17
"188",1990.58333333333,17.4
"189",1990.66666666667,14.75
"190",1990.75,15.77
"191",1990.83333333333,14.54
"192",1990.91666666667,13.22
