"","time","robot"
"270",270,-9e-04
"271",271,-0.0035
"272",272,-0.0035
"273",273,0.001
"274",274,7e-04
"275",275,0.0028
"276",276,-8e-04
"277",277,-8e-04
"278",278,-0.0034
"279",279,-0.001
"280",280,-0.0018
"281",281,-0.0021
"282",282,-0.0021
"283",283,-6e-04
"284",284,-0.0018
"285",285,-0.0046
"286",286,-0.0017
"287",287,-0.0017
"288",288,-1e-04
"289",289,-0.0029
"290",290,0.002
"291",291,-0.0049
"292",292,-0.0049
"293",293,-0.0021
"294",294,-0.0027
"295",295,-0.0018
"296",296,-0.0015
"297",297,-0.0015
"298",298,0.0051
"299",299,-2e-04
"300",300,0
"301",301,-6e-04
"302",302,-6e-04
"303",303,-0.0012
"304",304,0.0012
"305",305,0
"306",306,0.0021
"307",307,0.0021
"308",308,-1e-04
"309",309,0.0022
"310",310,0.0055
"311",311,-0.001
"312",312,-0.001
"313",313,0.0048
"314",314,6e-04
"315",315,0.0026
"316",316,4e-04
"317",317,4e-04
"318",318,0
"319",319,0
"320",320,8e-04
"321",321,0.0044
"322",322,0.0044
"323",323,2e-04
"324",324,0.0036
