"","id","name","location","river","stationDescription","catchmentDescription","hydrometricArea","operator","haName","gridReference","stationType","catchmentArea","gdfStart","gdfEnd","farText","categories","altitude","sensitivity","lat","lon","Region","RecordedYears"
"11","4004","Blackwater at Contin","Contin","Blackwater","Velocity-area station; 50m wide river section with cableway and gravel control. Requires regular recalibration at low flows. MAF readily contained. Runoff from 50% of natural catchment, along with interbasin transfers from rivers Broom and Carron amounting to 20% of natural catchment, bypass station for power generation and discharge to Loch Luichart. Storages in Loch Vaich and Loch Glascarnoch controlled for power generation. Station closed during 2011.","Typical Highland mix of rough grazing and moorland with some afforestation in middle reaches. Impermeable bedrock with two thirds covered by superficial deposits.","4","Scottish Environment Protection Agency - North West","Conon Group","NH455562","Velocity-area",336.7,1981,2011,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",19.9,11.3,57.569371224794,-4.5848251314476,"Scotland",30
"12","4005","Meig at Glenmeanie","Glenmeanie","Meig","Velocity-area station; 25m wide river section. Unstable gravel and boulder control. Overtops lb during extreme floods (rb is eroding). Adequately gauged to bankfull. Levels may drop below tapping pipe in extreme droughts. Ratings extrapolated beyond 1.8m. No artificial influences thereby providing a useful indication of natural runoff. Only significant surface storage in Loch Beannacharain through which 70% of catchment drains.","Typical Scottish upland catchment. Impermeable bedrock, approx. 15% overlain by superficial deposits. Mountainous headwaters, often snowy in winter, with rough pasture and moorland, and some woodlands.","4","Scottish Environment Protection Agency - North West","Conon Group","NH286527","Velocity-area",120.5,1986,2014,"N: Natural to within 10% at the 95 percentile flow.","BENCHMARK,FEH_POOLING,FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",120.7,13,57.5318781252121,-4.86453391211411,"Scotland",28
"13","4006","Bran at Dosmucheran","Dosmucheran","Bran","Velocity-area station; about 30 m wide with, gravel control. Cableway capacity considerably exceeds bankfull. All flows to date contained. Gauged up to 93 cumecs. Early Jan and early Dec 2010 flows considered suspect due to extended period of freezing conditions. Substantial storage in Loch Croisg (commands 45% of catchment), lochans also common between 300-400 m, but flow regime is responsive and natural.","Very wet, rugged, Highland catchment developed mainly on Moinian metamorphics (impermeable); approx. a third covered with superficial deposits. Mountainous headwaters, often snowy in winter. Moorland and rough grazing predominate, little afforestation; Achnasheen is the only significant settlement.","4","Scottish Environment Protection Agency - North West","Conon Group","NH204601","Velocity-area",116.1,1989,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2011,WEB_SUMMARY_2003",118.6,13,57.5950766955091,-5.00675895011466,"Scotland",25
"14","4007","Blackwater at Garve","Garve","Blackwater","VA station; 30m wide with gravel control. All flows contained. Substantial storage u/s for HEP. Gauged flows include comp. flow, runoff from unimpounded catchment and res. spills. Considerable u/s inter-catchment transfers via tunnels. Not a primary gauging station, stage-discharge relations are limited range: no cableway, wading only. Flood Warning Site.","Rugged, Highland catchment underlain by impermeable Pre-Cambrian rock. Predominantly moorland and rough grazing with substantial forestry below 400m.","4","Scottish Environment Protection Agency - North West","Conon Group","NH395617","Velocity-area",289,1989,2014,NA,"HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",71,9,57.6166285022413,-4.68866027122294,"Scotland",25
"15","4008","Newhall Burn at Newhall Bridge","Newhall Bridge","Newhall Burn","VA station. Concrete covered water pipe crossing river acts as control. All flows contained. Not a primary gauging station - stage continuously monitored but stage discharge relations are limited range: no cableway, gauged by wading.","Lowland catchment underlain by Lower and Middle Old Red Sandstone. Predominantly arable and pasture with some forestry and rough pasture in upper catchment.","4","Scottish Environment Protection Agency - North West","Conon Group","NH702651","Velocity-area",41,1996,2014,NA,"HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",8,78,57.6570292679018,-4.176998314814,"Scotland",18
"16","4009","Peffery at Strathpeffer STW","Strathpeffer STW","Peffery","Flat V Crump weir with cableway for high flow calibration. Floodbanks contain >MAF. Significant shrub/tree colonisation of channel banks. Previously, limited range secondary VA station (for pollution investigation); 2m wide controlled by Armco culvert, gauged by wading. Floods fields on lhb d/s of culvert. Natural catchment apart from diversion of sewage effluent (outside the catchment) when flows fall below a trigger threshold; runoff is appreciably reduced. A secondary weir was constructed approx 15 m downstream of the main weir in June 2013, in order to maintain levels on main weir apron and allow easier fish passage","Upper catchment forested, underlain by impermeable Prec-Cambrain rocks. Lower catchment mainly arable and pasture underlain by Lower and Middle Old Red Sandstone with Quaternary coastal and river alluvium in valley floor. Strathpeffer (Spa) is a short distance u/s.","4","Scottish Environment Protection Agency - North West","Conon Group","NH492586","Velocity-area",17.3,1995,2014,NA,"HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",36,60,57.5921581329957,-4.52452421167435,"Scotland",19
"17","5001","Beauly at Erchless","Erchless","Beauly","40m wide, fully contained river section currently gauged to 65 cumecs (control drowns). Flow regime reflects generating pattern of Culligran Power Station immediately u/s. 100% of natural catchment runoff passes station but extensive storage in Loch Monar and the smaller Loch Beannacharain used for power generation.","","5","North of Scotland Hydro-Electric Board","Beauly","NH426405","Velocity-area",849.5,1953,1962,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",43.9,3.3,57.4274934241278,-4.62312273288463,"Scotland",9
"18","5002","Farrar at Struy","Struy","Farrar","Velocity-area station; flows well contained at all stages. Low flows reflect compensation releases from Loch Beannacharain and flow regime is heavily influenced by operation of HEP station <1.5km u/s. Substantial HEP storage in Loch Monar but no import/export of water to/from the catchment. Station closed during 2011.","Typical Scottish upland impermeable catchment with some afforestation in lower reaches.","5","Scottish Environment Protection Agency - North West","Beauly","NH390404","Velocity-area",311.3,1986,2011,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",51.2,6,57.425334629854,-4.68294034575145,"Scotland",25
"19","5003","Glass at Kerrow Wood","Kerrow Wood","Glass","Velocity-area station;50m wide, with gravel control. Flows >200 cumecs inundate extensive floodplain on lb. Very complex flow regime; substantial loch storage exploited for HEP generation (station d/s of Fasnaklye Power Station), compensation flows from Loch Mullardoch and transfers via two tunnels, but no net import or export of water.","Rugged, Highland catchment developed mostly on Moinian Series metamorphics (impermeable). Approx. 50% covered with superficial deposits. Landuse predominantly moorland and rough grazing but substantial afforestation below 400m.","5","Scottish Environment Protection Agency - North West","Beauly","NH354320","Velocity-area",481.8,1988,2014,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",52.9,4,57.3486766704703,-4.73719047096806,"Scotland",26
"20","5004","Glass at Fasnakyle","Fasnakyle","Glass","Velocity-area station, 30m wide, with gravel control. All flows contained. Flood warning station. HEP generation affects flow pattern: net import of water (from Loch Mullardoch) but substantial bypassing direct to power station, station monitors only a proportion of the runoff. Low flows dominated by compensation releases from Loch Benevean.","Typical Highland catchment with afforestation on valley flanks in lower reaches.","5","Scottish Environment Protection Agency - North West","Beauly","NH315287","Velocity-area",277.5,1990,2014,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",80,51,57.3176436964963,-4.79966379986694,"Scotland",24
"21","6001","Ness at Ness Castle Farm","Ness Castle Farm","Ness","River section, 3 km south-west of Inverness. Reservoirs: Quoich, Garry, Cluanie and Loyne in the catchment (1960s); abstractions for the Caledonian Canal also significant (c3.5 cumecs). Monthly flows 1929-1944 from runoff calculated by McClean. Records ending in 1963 because of lack of reliability (but captured 1955 drought); station then superseded by d/s 6007 (area difference ~ 27 km2).","Predominatly impermeable bedrock. Land use: heath, woodlands, grasslands.","6","North of Scotland Hydro-Electric Board","Ness","NH639410","Velocity-area",1792.3,1935,1963,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",9.1,NA,57.4388631727194,-4.26899443562488,"Scotland",28
"22","6003","Moriston at Invermoriston","Invermoriston","Moriston","Velocity-area station. Station ceased 1945","","6","North of Scotland Hydro-Electric Board","Ness","NH416169","Velocity-area",391,1929,1945,NA,"FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_QMED,HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",35.1,9.6,57.215376597989,-4.62460857150742,"Scotland",16
"23","6006","Allt Bhlaraidh at Invermoriston","Invermoriston","Allt Bhlaraidh","Compound weir. Station ceased 1962","","6","North of Scotland Hydro-Electric Board","Ness","NH377168","Compound broad-crested weir",27.5,1953,1962,NA,"HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",107,33,57.2131138991289,-4.68904395716811,"Scotland",9
"24","6007","Ness at Ness-side","Ness-side","Ness","Velocity-area station; 80m wide fully contained river section. Frequent recalibration of low flow rating due to alteration of stop-log configuration on weir which forms control. Fully calibrated to maximum recorded flow. HEP schemes on Garry, Moriston and Foyers tributaries utilise runoff from 56% of catchment, can cause abrupt changes in flow e.g. July 2000. Caledonian Canal lockages bypass station but, overall, small net impact. Hydrograph damped by influence of Loch Ness. 1975, 1976, 1977 notably dry summers.","Large SW/NE trending Highland catchment. Predominantly impermeable bedrock, <50% covered with superficial deposits. Mountainous with significant afforestation and grasslands.","6","Scottish Environment Protection Agency - North West","Ness","NH645427","Velocity-area",1839.1,1972,2014,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NHMP,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2011,WEB_SUMMARY_2003",6.9,4,57.4543011382574,-4.25994902373052,"Scotland",42
"25","6008","Enrick at Mill of Tore","Mill of Tore","Enrick","Velocity-area station; 15m wide river section. Prior to 1991, bypassing on rb at extreme flows. Well established, stable rating up to bankfull (extrapolated beyond 2m). Computed flows 100% natural but whole catchment drains through Loch Meiklie (1 sq.km). Flows recede to unexpected low levels possibly due to sub-surface flows below station.","Typical upland catchment. Impermeable with approx. 20% superficial deposits. Mountainous headwaters, often snowy in winter. Rough grazing and moorland with increasing afforestation (approx. 20% of catchment) especially around Loch Meiklie.","6","Scottish Environment Protection Agency - North West","Ness","NH450299","Velocity-area",105.9,1979,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",109.4,25,57.3331988886207,-4.57651355095301,"Scotland",35
"26","6009","Moriston at Levishie","Levishie","Moriston","VA station; 40m wide with gravel and boulder control. All flows contained. Substantial u/s storage for HEP. D/s of Dundreggan Res., by-passed by tunnel to power station. Gauged flows include: comp. flows, runoff from unimpounded catchment and res. spill. Flood warning station. Station closed during 2011.","Rugged, Highland catchment, underlain by impermeable Pre-Cambrian rock, with small intrusive area around Loch Cluanie. Predominantly moorland and rough grazing with substantial forestry below 400m.","6","Scottish Environment Protection Agency - North West","Ness","NH402174","Velocity-area",403.1,1994,2011,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",41.7,18,57.2193769183369,-4.64808491052883,"Scotland",17
"27","6011","Tarff at Ardachy Bridge","Ardachy Bridge","Tarff","VA station 25 m wide; bedrock and boulder control. All flows contained. No cable way but high flows gauged from bridge an ADCP boat. Abstractions in upper reaches for the Glen Doe hydro scheme from October 2008. Prior to this all flows are natural.","Rugged highland catchment underlain by impermeable rock. Predominately moorland and rough grazing with some forestry.","6","Scottish Environment Protection Agency - North West","Ness","NH379074","Velocity-area",75.9,1993,2014,NA,"MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",33.1,NA,57.1288373750507,-4.67962219984762,"Scotland",21
"28","7001","Findhorn at Shenachie","Shenachie","Findhorn","Velocity-area station; 50m wide river section with a boulder control adequately gauged to bankfull. Flow contained under cableway up to 3.9m. Flashy/liable to extremely rapid rises in level. Prior to Jan 1978, station located 700m u/s and cableway 500m d/s of present site. Ratings extrapolated beyond 2.3m. High flow rating revised in 2003. 100% natural runoff with minimal surface storage (but significant winter snow cover). Ice formation is a common problem causing erroneously elevated flows e.g. Dec 1978 - Jan 1979, Dec 1981 - Jan 1982, Jan 2001, Dec 2009 - Jan 2010 and Dec 2010.","Rough pasture and moorland with mountainous headwaters, often snowy in winter, developed on metamorphic bedrock (impermeable; approx. 85% superficial deposits). Extensive blanket peat over long, narrow, steep-sided catchment which is nested within that of station 7002. Some afforestation.","7","Scottish Environment Protection Agency - North West","Findhorn Group","NH825335","Velocity-area",415.6,1960,2014,"N: Natural to within 10% at the 95 percentile flow.","BENCHMARK,FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,TRENDS,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",252.4,15.3,57.3767283904046,-3.95575938638161,"Scotland",54
"29","7002","Findhorn at Forres","Forres","Findhorn","Velocity-area station; 50m wide river section in mobile gravel reach which necessitates frequent recalibration of low flow rating. Occasional ice build-up in winter months. Flows contained under cableway up to 3.8m. Adequately gauged to bankfull. High flow gauging on the Findhorn is difficult and substantial extrapolation of the rating was needed to compute the exceptional August 1970 peak; subsequently revised (2002) to 1113 cumecs - this was substantially exceeded during the 'Muckle spate' of 1829. 100% natural catchment with minimal surface storage.","The catchment drains the Monadhliath Mountains; predominantly metamorphic bedrock with granitic intrusions with extensive blanket peat cover. There is a narrow agricultural coastal plain.","7","Scottish Environment Protection Agency - North West","Findhorn Group","NJ018583","Velocity-area",781.9,1958,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FRIEND-EWA,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",9.6,16,57.6039787624161,-3.64493618902313,"Scotland",56
"30","7003","Lossie at Sheriffmills","Sheriffmills","Lossie","Velocity-area station; about 23m wide section. Cableway rated. The main control is a long and insensitive stone weir 350m d/s. Levels recorded from 20/06/58, flows from 01/10/63. Station was moved upstream by 150m in Sep 1978. Rating for pre-1978 site good for all high flows. Rating for present site underestimates highest flows by about 5-7% (bypassing occurring above 2.0m). Flood warning station. Glenlatterach Res. provides supply for Elgin. Abstraction has moderate impact on flows (approx. 20% of the 95% exceedance flow).","Bedrock Schists, gneisses with some ORS. Extensive superficial deposits. Moorland and substantial afforestation in headwaters and arable landuse in valley bottoms.","7","Scottish Environment Protection Agency - North West","Findhorn Group","NJ194626","Velocity-area",216,1963,2014,"P: Runoff reduced by public water supply abstraction.","FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_QMED,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NHMP,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2011,WEB_SUMMARY_2003",17.7,10.6,57.6460816205886,-3.35195600991746,"Scotland",51
"31","7004","Nairn at Firhall","Firhall","Nairn","Velocity-area station; 20m wide river section with overbank flow at extreme levels. Adequately gauged to bankfull and a rock protection to a d/s pipeline provides a stable low flow control. All flows contained to date. Ratings extrapolated beyond 2.1m. Sensibly natural regime; only net abstraction is PWS for Inverness from Loch Duntelchaig through which only 7% of upper catchment drains. No other significant surface storage. Daily level observations from Apr 1974 to Jan 1976.","Mountainous headwaters, often snowy in winter. Largely impermeable bedrock with >80% overlain by superficial deposits. Hill pastures and peat moorland except for the lower 20% of catchment which is cultivated. Significant forest cover.","7","Scottish Environment Protection Agency - North West","Findhorn Group","NH882550","Velocity-area",313,1979,2014,NA,"FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",7.2,12,57.5711867546636,-3.87086596890966,"Scotland",35
