"","source","destination","id","t","n","category"
"42",14,6942,"0002A",2005-10-05,1,"Cattle"
"43",15,5884,"0002B",2005-10-26,1,"Cattle"
"44",15,5884,"0002C",2005-10-26,1,"Cattle"
"45",15,5884,"0002D",2005-10-26,1,"Cattle"
"46",15,5884,"0002E",2005-10-26,1,"Cattle"
"47",15,5884,"0002F",2005-10-26,1,"Cattle"
"48",15,5884,"00030",2005-10-26,1,"Cattle"
"49",15,5884,"00031",2005-10-26,1,"Cattle"
"50",15,5884,"00032",2005-10-26,1,"Cattle"
"51",15,5884,"00033",2005-10-26,1,"Cattle"
"52",15,5884,"00034",2005-10-26,1,"Cattle"
"53",15,5884,"00035",2005-10-26,1,"Cattle"
"54",15,5884,"00036",2005-10-26,1,"Cattle"
"55",16,15,"00037",2005-08-04,1,"Cattle"
"56",16,15,"00038",2005-08-04,1,"Cattle"
"57",16,15,"00039",2005-09-08,1,"Cattle"
"58",16,15,"0003A",2005-09-08,1,"Cattle"
"59",16,15,"0003B",2005-10-25,1,"Cattle"
"60",16,15,"0003C",2005-09-08,1,"Cattle"
"61",16,15,"0003D",2005-10-25,1,"Cattle"
"62",16,15,"0003E",2005-09-08,1,"Cattle"
"63",16,15,"0003F",2005-09-08,1,"Cattle"
"64",16,15,"00040",2005-09-08,1,"Cattle"
"65",17,8191,"00041",2005-10-30,1,"Cattle"
"66",17,8191,"00042",2005-10-30,1,"Cattle"
"67",17,8191,"00043",2005-10-30,1,"Cattle"
"68",17,8192,"00044",2005-10-29,1,"Cattle"
"69",17,8192,"00045",2005-10-29,1,"Cattle"
"70",17,8191,"00046",2005-10-30,1,"Cattle"
"71",18,17,"00047",2005-08-11,1,"Cattle"
"72",19,8193,"00048",2005-09-19,1,"Cattle"
"73",19,8193,"00049",2005-09-19,1,"Cattle"
"74",19,8193,"0004A",2005-09-19,1,"Cattle"
"75",19,8193,"0004B",2005-09-19,1,"Cattle"
"76",20,22,"0004C",2005-09-28,1,"Cattle"
"77",20,22,"0004D",2005-09-28,1,"Cattle"
"78",20,22,"0004E",2005-09-28,1,"Cattle"
"79",21,8186,"0004F",2005-09-22,1,"Cattle"
"80",21,8186,"00050",2005-09-22,1,"Cattle"
"81",21,8186,"00051",2005-09-22,1,"Cattle"
"82",21,8186,"00052",2005-09-22,1,"Cattle"
"83",21,8186,"00053",2005-09-22,1,"Cattle"
"84",21,8186,"00054",2005-09-22,1,"Cattle"
"85",22,8194,"00055",2005-08-29,1,"Cattle"
"86",22,8194,"00056",2005-08-29,1,"Cattle"
"87",22,8194,"00057",2005-08-29,1,"Cattle"
"88",22,8194,"00058",2005-08-29,1,"Cattle"
"89",22,8194,"00059",2005-08-29,1,"Cattle"
"90",22,8194,"0005A",2005-08-29,1,"Cattle"
"91",22,8194,"0005B",2005-08-29,1,"Cattle"
"92",22,8194,"0005C",2005-08-29,1,"Cattle"
"93",22,8194,"0005D",2005-08-29,1,"Cattle"
"94",22,8194,"0005E",2005-08-29,1,"Cattle"
"95",22,8194,"0005F",2005-08-29,1,"Cattle"
"96",22,8194,"00060",2005-08-29,1,"Cattle"
"97",22,8194,"00061",2005-08-29,1,"Cattle"
"98",22,8194,"00062",2005-08-29,1,"Cattle"
"99",22,8194,"00063",2005-08-29,1,"Cattle"
"100",22,8194,"00064",2005-10-28,1,"Cattle"
"101",22,8194,"00065",2005-10-28,1,"Cattle"
"102",22,8194,"00066",2005-10-28,1,"Cattle"
"103",22,8194,"00067",2005-10-28,1,"Cattle"
"104",22,8194,"00068",2005-10-28,1,"Cattle"
"105",22,8194,"00069",2005-10-28,1,"Cattle"
"106",22,8194,"0006A",2005-10-28,1,"Cattle"
"107",22,8194,"0006B",2005-10-28,1,"Cattle"
"108",22,8194,"0006C",2005-10-28,1,"Cattle"
"109",22,8194,"0006D",2005-10-28,1,"Cattle"
"110",22,8194,"0006E",2005-10-28,1,"Cattle"
"111",22,8194,"0006F",2005-10-28,1,"Cattle"
"112",22,8194,"00070",2005-10-28,1,"Cattle"
"113",22,8194,"00071",2005-10-28,1,"Cattle"
"114",22,8194,"00072",2005-10-28,1,"Cattle"
"115",23,22,"00073",2005-09-09,1,"Cattle"
"116",23,22,"00074",2005-09-09,1,"Cattle"
"117",24,22,"00075",2005-08-04,1,"Cattle"
"118",24,22,"00076",2005-08-04,1,"Cattle"
"119",24,22,"00077",2005-08-04,1,"Cattle"
"120",24,22,"00078",2005-08-04,1,"Cattle"
"121",25,22,"00079",2005-08-03,1,"Cattle"
"122",25,22,"0007A",2005-08-03,1,"Cattle"
"123",25,22,"0007B",2005-08-03,1,"Cattle"
"124",25,22,"0007C",2005-08-03,1,"Cattle"
"125",25,22,"0007D",2005-08-03,1,"Cattle"
"126",26,8186,"0007E",2005-10-24,1,"Cattle"
"127",26,8186,"0007F",2005-10-24,1,"Cattle"
"128",26,8186,"00080",2005-10-24,1,"Cattle"
"129",26,8186,"00081",2005-10-24,1,"Cattle"
"130",27,8195,"00082",2005-09-05,1,"Cattle"
"131",27,8195,"00083",2005-09-05,1,"Cattle"
"132",27,8195,"00084",2005-09-05,1,"Cattle"
"133",28,8195,"00085",2005-08-15,1,"Cattle"
"134",28,8195,"00086",2005-08-15,1,"Cattle"
"135",28,8195,"00087",2005-08-15,1,"Cattle"
"136",29,8195,"00088",2005-08-15,1,"Cattle"
"137",29,8195,"00089",2005-08-15,1,"Cattle"
"138",29,8195,"0008A",2005-08-15,1,"Cattle"
"139",30,8195,"0008B",2005-08-09,1,"Cattle"
"140",30,8195,"0008C",2005-08-09,1,"Cattle"
"141",31,8195,"0008D",2005-09-25,1,"Cattle"
"142",31,8195,"0008E",2005-09-25,1,"Cattle"
"143",31,8195,"0008F",2005-09-25,1,"Cattle"
"144",32,8196,"00090",2005-09-02,1,"Cattle"
"145",32,8196,"00091",2005-09-02,1,"Cattle"
"146",32,8196,"00092",2005-09-02,1,"Cattle"
"147",32,8196,"00093",2005-09-02,1,"Cattle"
"148",32,8196,"00094",2005-09-02,1,"Cattle"
"149",32,8196,"00095",2005-09-02,1,"Cattle"
"150",32,8196,"00096",2005-09-02,1,"Cattle"
"151",32,8196,"00097",2005-09-02,1,"Cattle"
"152",32,8196,"00098",2005-09-02,1,"Cattle"
"153",32,8196,"00099",2005-09-02,1,"Cattle"
"154",32,8196,"0009A",2005-09-02,1,"Cattle"
"155",32,8196,"0009B",2005-09-02,1,"Cattle"
"156",32,8196,"0009C",2005-09-02,1,"Cattle"
"157",32,8196,"0009D",2005-09-02,1,"Cattle"
"158",32,8196,"0009E",2005-09-02,1,"Cattle"
"159",32,8196,"0009F",2005-09-02,1,"Cattle"
"160",32,8196,"000A0",2005-09-02,1,"Cattle"
"161",32,8196,"000A1",2005-09-02,1,"Cattle"
"162",32,8196,"000A2",2005-09-02,1,"Cattle"
"163",32,8196,"000A3",2005-09-02,1,"Cattle"
"164",32,8196,"000A4",2005-09-02,1,"Cattle"
"165",32,8196,"000A5",2005-09-02,1,"Cattle"
"166",32,8196,"000A6",2005-09-02,1,"Cattle"
"167",32,8196,"000A7",2005-09-02,1,"Cattle"
"168",32,8196,"000A8",2005-09-02,1,"Cattle"
"169",32,8196,"000A9",2005-09-02,1,"Cattle"
"170",32,8196,"000AA",2005-09-02,1,"Cattle"
"171",32,8196,"000AB",2005-09-02,1,"Cattle"
"172",32,8196,"000AC",2005-09-02,1,"Cattle"
"173",32,8196,"000AD",2005-09-02,1,"Cattle"
"174",32,8196,"000AE",2005-09-02,1,"Cattle"
"175",32,8196,"000AF",2005-09-02,1,"Cattle"
"176",32,8196,"000B0",2005-09-02,1,"Cattle"
"177",32,8197,"000B1",2005-09-28,1,"Cattle"
"178",32,8197,"000B2",2005-09-28,1,"Cattle"
"179",32,8197,"000B3",2005-09-28,1,"Cattle"
"180",32,8197,"000B4",2005-09-28,1,"Cattle"
"181",32,8197,"000B5",2005-09-28,1,"Cattle"
"182",32,8197,"000B6",2005-09-28,1,"Cattle"
"183",32,8197,"000B7",2005-09-28,1,"Cattle"
"184",32,8197,"000B8",2005-09-28,1,"Cattle"
"185",32,8197,"000B9",2005-09-28,1,"Cattle"
"186",33,35,"000BA",2005-08-21,1,"Cattle"
"187",33,35,"000BB",2005-08-21,1,"Cattle"
"188",34,35,"000BC",2005-10-18,1,"Cattle"
"189",35,73,"000BC",2005-10-18,1,"Cattle"
"190",34,35,"000BD",2005-10-18,1,"Cattle"
"191",35,73,"000BD",2005-10-18,1,"Cattle"
"192",36,8198,"000BE",2005-08-24,1,"Cattle"
"193",36,8198,"000BF",2005-08-24,1,"Cattle"
"194",36,8190,"000C0",2005-08-31,1,"Cattle"
"195",36,8190,"000C1",2005-08-31,1,"Cattle"
"196",36,8199,"000C2",2005-10-03,1,"Cattle"
"197",36,8199,"000C3",2005-10-03,1,"Cattle"
"198",37,36,"000C4",2005-10-18,1,"Cattle"
"199",38,36,"000C5",2005-09-21,1,"Cattle"
"200",37,36,"000C6",2005-10-18,1,"Cattle"
"201",38,36,"000C7",2005-09-21,1,"Cattle"
"202",38,36,"000C8",2005-09-21,1,"Cattle"
"203",39,36,"000C9",2005-10-27,1,"Cattle"
"204",40,8190,"000CA",2005-08-31,1,"Cattle"
"205",40,8190,"000CB",2005-08-31,1,"Cattle"
"206",40,8190,"000CC",2005-09-14,1,"Cattle"
"207",40,8200,"000CD",2005-09-24,1,"Cattle"
"208",40,8200,"000CE",2005-09-24,1,"Cattle"
"209",40,8200,"000CF",2005-10-20,1,"Cattle"
"210",41,40,"000D0",2005-08-25,1,"Cattle"
"211",42,26,"000D1",2005-08-13,1,"Cattle"
"213",42,26,"000D2",2005-08-13,1,"Cattle"
"215",42,26,"000D3",2005-08-13,1,"Cattle"
"216",42,26,"000D4",2005-08-13,1,"Cattle"
"218",42,26,"000D5",2005-08-13,1,"Cattle"
"220",42,26,"000D6",2005-08-13,1,"Cattle"
"222",42,26,"000D7",2005-08-13,1,"Cattle"
"224",37,47,"000D8",2005-10-19,1,"Cattle"
"225",37,4459,"000D9",2005-10-14,1,"Cattle"
"226",37,4459,"000DA",2005-10-14,1,"Cattle"
"227",37,4459,"000DB",2005-10-14,1,"Cattle"
"228",37,4459,"000DC",2005-10-14,1,"Cattle"
"229",37,47,"000DD",2005-10-19,1,"Cattle"
"230",37,4459,"000DE",2005-10-14,1,"Cattle"
"231",37,4459,"000DF",2005-10-14,1,"Cattle"
"232",37,47,"000E0",2005-10-19,1,"Cattle"
"233",37,4459,"000E1",2005-10-14,1,"Cattle"
"234",37,47,"000E2",2005-10-19,1,"Cattle"
"235",37,4459,"000E3",2005-10-14,1,"Cattle"
"236",37,47,"000E4",2005-10-19,1,"Cattle"
"237",37,4459,"000E5",2005-10-14,1,"Cattle"
"238",37,4459,"000E6",2005-10-14,1,"Cattle"
"239",37,4459,"000E7",2005-10-14,1,"Cattle"
"240",37,47,"000E8",2005-10-19,1,"Cattle"
"241",37,47,"000E9",2005-10-19,1,"Cattle"
"242",37,47,"000EA",2005-10-19,1,"Cattle"
"243",37,4459,"000EB",2005-10-14,1,"Cattle"
"244",43,44,"000EC",2005-09-12,1,"Cattle"
"245",44,8201,"000ED",2005-09-27,1,"Cattle"
"246",44,8201,"000EE",2005-09-27,1,"Cattle"
"247",44,8201,"000EF",2005-09-27,1,"Cattle"
"248",44,8201,"000F0",2005-09-27,1,"Cattle"
"249",45,8197,"000F1",2005-09-27,1,"Cattle"
"250",45,8202,"000F2",2005-08-10,1,"Cattle"
"251",45,8197,"000F3",2005-09-27,1,"Cattle"
"252",45,8197,"000F4",2005-09-27,1,"Cattle"
"253",46,8203,"000F5",2005-08-01,1,"Cattle"
"254",46,8203,"000F6",2005-08-01,1,"Cattle"
"255",46,8203,"000F7",2005-08-01,1,"Cattle"
"256",46,8204,"000F8",2005-08-12,1,"Cattle"
"257",46,8204,"000F9",2005-08-12,1,"Cattle"
"258",46,8204,"000FA",2005-10-25,1,"Cattle"
"259",47,239,"000FB",2005-08-09,1,"Cattle"
"260",47,239,"000FC",2005-08-09,1,"Cattle"
"261",47,239,"000FD",2005-08-09,1,"Cattle"
"262",47,239,"000FE",2005-08-09,1,"Cattle"
"263",47,239,"000FF",2005-08-09,1,"Cattle"
"264",47,239,"00100",2005-08-09,1,"Cattle"
"265",47,239,"00101",2005-09-29,1,"Cattle"
"266",47,239,"00102",2005-09-29,1,"Cattle"
"267",10,91,"00103",2005-09-30,1,"Cattle"
"268",48,8202,"00104",2005-08-11,1,"Cattle"
"269",48,8202,"00105",2005-08-11,1,"Cattle"
"270",48,8197,"00106",2005-09-28,1,"Cattle"
"271",18,5098,"00107",2005-09-03,1,"Cattle"
"272",18,5098,"00108",2005-09-03,1,"Cattle"
"273",18,5118,"00109",2005-08-22,1,"Cattle"
"274",18,5098,"0010A",2005-10-03,1,"Cattle"
"275",18,5098,"0010B",2005-09-03,1,"Cattle"
"276",18,5118,"0010C",2005-08-22,1,"Cattle"
"277",18,5118,"0010D",2005-08-22,1,"Cattle"
"278",18,5098,"0010E",2005-10-03,1,"Cattle"
"279",18,5118,"0010F",2005-08-22,1,"Cattle"
"280",18,5118,"00110",2005-08-22,1,"Cattle"
"281",18,2475,"00111",2005-09-17,1,"Cattle"
"282",18,2985,"00112",2005-09-08,1,"Cattle"
"283",18,2985,"00113",2005-09-08,1,"Cattle"
"284",18,2985,"00114",2005-09-08,1,"Cattle"
"285",18,2475,"00115",2005-09-17,1,"Cattle"
"286",18,5098,"00116",2005-09-03,1,"Cattle"
"287",18,5098,"00117",2005-09-03,1,"Cattle"
"288",18,5098,"00118",2005-09-03,1,"Cattle"
"289",18,8205,"00119",2005-09-05,1,"Cattle"
"290",18,8205,"0011A",2005-09-05,1,"Cattle"
"291",49,8206,"0011B",2005-10-08,1,"Cattle"
"292",49,8206,"0011C",2005-10-08,1,"Cattle"
"293",49,8206,"0011D",2005-10-08,1,"Cattle"
"294",49,8206,"0011E",2005-10-08,1,"Cattle"
"295",49,8206,"0011F",2005-10-08,1,"Cattle"
"296",49,8206,"00120",2005-10-08,1,"Cattle"
"297",49,6942,"00121",2005-10-20,1,"Cattle"
"298",50,8207,"00122",2005-10-20,1,"Cattle"
"299",50,8207,"00123",2005-10-20,1,"Cattle"
"300",50,8207,"00124",2005-10-20,1,"Cattle"
"301",51,8208,"00125",2005-09-29,1,"Cattle"
"302",51,8208,"00126",2005-09-29,1,"Cattle"
"303",52,8198,"00127",2005-08-24,1,"Cattle"
"304",52,8198,"00128",2005-08-24,1,"Cattle"
"305",52,8198,"00129",2005-08-24,1,"Cattle"
"306",53,8209,"0012A",2005-10-26,1,"Cattle"
"307",53,8209,"0012B",2005-10-26,1,"Cattle"
"308",53,8209,"0012C",2005-10-26,1,"Cattle"
"309",53,8209,"0012D",2005-10-26,1,"Cattle"
"310",53,8209,"0012E",2005-10-14,1,"Cattle"
"311",53,8209,"0012F",2005-10-14,1,"Cattle"
"312",53,8209,"00130",2005-10-14,1,"Cattle"
"313",53,8209,"00131",2005-10-14,1,"Cattle"
"314",53,8209,"00132",2005-10-14,1,"Cattle"
"315",53,8209,"00133",2005-10-14,1,"Cattle"
"316",53,8209,"00134",2005-10-14,1,"Cattle"
"317",53,8209,"00135",2005-10-26,1,"Cattle"
"318",53,8210,"00136",2005-10-21,1,"Cattle"
"319",53,8211,"00137",2005-10-20,1,"Cattle"
"320",53,8210,"00138",2005-10-21,1,"Cattle"
"321",53,8211,"00139",2005-10-20,1,"Cattle"
"322",53,8211,"0013A",2005-10-20,1,"Cattle"
"323",54,100,"0013B",2005-08-25,1,"Cattle"
"324",54,100,"0013C",2005-08-25,1,"Cattle"
"325",54,100,"0013D",2005-10-21,1,"Cattle"
"326",38,6942,"0013E",2005-10-05,1,"Cattle"
"327",38,6942,"0013F",2005-10-05,1,"Cattle"
"328",38,3478,"00140",2005-09-12,1,"Cattle"
"329",38,111,"00141",2005-08-01,1,"Cattle"
"330",38,111,"00142",2005-08-11,1,"Cattle"
"331",38,8212,"00143",2005-08-23,1,"Cattle"
"332",38,8212,"00144",2005-08-23,1,"Cattle"
"333",38,111,"00145",2005-09-07,1,"Cattle"
"334",38,111,"00146",2005-09-07,1,"Cattle"
"335",38,111,"00147",2005-09-07,1,"Cattle"
"336",38,111,"00148",2005-09-07,1,"Cattle"
"337",38,111,"00149",2005-09-26,1,"Cattle"
"338",38,111,"0014A",2005-09-26,1,"Cattle"
"339",38,111,"0014B",2005-10-14,1,"Cattle"
"340",38,111,"0014C",2005-10-14,1,"Cattle"
"341",55,8213,"0014D",2005-10-13,1,"Cattle"
"342",55,8213,"0014E",2005-10-13,1,"Cattle"
"343",55,8213,"0014F",2005-10-13,1,"Cattle"
"344",55,8213,"00150",2005-10-13,1,"Cattle"
"345",55,8213,"00151",2005-10-13,1,"Cattle"
"346",55,8213,"00152",2005-10-13,1,"Cattle"
"347",55,8213,"00153",2005-10-13,1,"Cattle"
"348",55,8213,"00154",2005-10-13,1,"Cattle"
"349",56,58,"00155",2005-08-10,1,"Cattle"
"350",56,58,"00156",2005-08-10,1,"Cattle"
"351",56,58,"00157",2005-08-10,1,"Cattle"
"352",57,56,"00158",2005-10-11,1,"Cattle"
"353",58,56,"00159",2005-08-10,1,"Cattle"
"354",57,56,"0015A",2005-10-11,1,"Cattle"
"355",57,56,"0015B",2005-10-11,1,"Cattle"
"356",57,56,"0015C",2005-10-11,1,"Cattle"
"357",58,56,"0015D",2005-08-10,1,"Cattle"
"358",58,56,"0015E",2005-08-10,1,"Cattle"
"359",58,56,"0015F",2005-08-10,1,"Cattle"
"360",58,56,"00160",2005-08-10,1,"Cattle"
"361",58,56,"00161",2005-08-10,1,"Cattle"
"362",57,56,"00162",2005-10-11,1,"Cattle"
"363",57,56,"00163",2005-10-11,1,"Cattle"
"364",57,56,"00164",2005-10-11,1,"Cattle"
"365",57,56,"00165",2005-10-11,1,"Cattle"
"366",57,56,"00166",2005-10-11,1,"Cattle"
"367",57,56,"00167",2005-10-11,1,"Cattle"
"368",57,56,"00168",2005-10-11,1,"Cattle"
"369",57,56,"00169",2005-10-11,1,"Cattle"
"370",59,8214,"0016A",2005-08-11,1,"Cattle"
"371",59,8214,"0016B",2005-08-11,1,"Cattle"
"372",59,8214,"0016C",2005-10-03,1,"Cattle"
"373",59,8214,"0016D",2005-10-03,1,"Cattle"
"374",59,8214,"0016E",2005-10-24,1,"Cattle"
"375",59,8214,"0016F",2005-10-24,1,"Cattle"
"376",59,8214,"00170",2005-10-24,1,"Cattle"
"377",60,8214,"00171",2005-08-06,1,"Cattle"
"378",60,8214,"00172",2005-08-06,1,"Cattle"
"379",60,8214,"00173",2005-08-06,1,"Cattle"
"380",60,8214,"00174",2005-08-06,1,"Cattle"
"381",60,8214,"00175",2005-08-06,1,"Cattle"
"382",60,8214,"00176",2005-09-14,1,"Cattle"
"383",60,8214,"00177",2005-09-14,1,"Cattle"
"384",60,8214,"00178",2005-09-14,1,"Cattle"
"385",60,8214,"00179",2005-09-14,1,"Cattle"
"386",60,8214,"0017A",2005-09-14,1,"Cattle"
"387",60,8214,"0017B",2005-09-14,1,"Cattle"
"388",60,8214,"0017C",2005-10-03,1,"Cattle"
"389",60,8214,"0017D",2005-10-03,1,"Cattle"
"390",60,8214,"0017E",2005-10-03,1,"Cattle"
"391",60,8214,"0017F",2005-10-03,1,"Cattle"
"392",60,8214,"00180",2005-10-03,1,"Cattle"
"393",60,8214,"00181",2005-10-03,1,"Cattle"
"394",61,8197,"00182",2005-09-28,1,"Cattle"
"395",61,8197,"00183",2005-09-28,1,"Cattle"
"396",61,8197,"00184",2005-09-28,1,"Cattle"
"397",61,8197,"00185",2005-09-28,1,"Cattle"
"398",61,8197,"00186",2005-09-28,1,"Cattle"
"399",62,406,"00187",2005-09-13,1,"Cattle"
"400",62,406,"00188",2005-09-13,1,"Cattle"
"401",62,1218,"00189",2005-10-13,1,"Cattle"
"402",62,1218,"0018A",2005-10-13,1,"Cattle"
"403",62,1218,"0018B",2005-10-13,1,"Cattle"
"404",62,1003,"0018C",2005-10-26,1,"Cattle"
"405",62,1003,"0018D",2005-10-26,1,"Cattle"
"406",63,8215,"0018E",2005-08-25,1,"Cattle"
"407",63,8215,"0018F",2005-08-25,1,"Cattle"
"408",64,8215,"00190",2005-08-15,1,"Cattle"
"409",64,8215,"00191",2005-08-15,1,"Cattle"
"410",64,8215,"00192",2005-08-15,1,"Cattle"
"411",64,8215,"00193",2005-08-15,1,"Cattle"
"412",64,8215,"00194",2005-08-15,1,"Cattle"
"413",64,8215,"00195",2005-10-08,1,"Cattle"
"414",65,8216,"00196",2005-10-21,1,"Cattle"
"415",65,8216,"00197",2005-10-21,1,"Cattle"
"416",65,8216,"00198",2005-10-21,1,"Cattle"
"417",65,8216,"00199",2005-10-21,1,"Cattle"
"418",65,8216,"0019A",2005-10-21,1,"Cattle"
"419",65,8216,"0019B",2005-10-21,1,"Cattle"
"420",65,8216,"0019C",2005-10-21,1,"Cattle"
"421",65,8216,"0019D",2005-10-21,1,"Cattle"
"422",65,8216,"0019E",2005-10-21,1,"Cattle"
"423",65,8216,"0019F",2005-10-21,1,"Cattle"
"424",65,8216,"001A0",2005-10-21,1,"Cattle"
"425",66,8217,"001A1",2005-09-30,1,"Cattle"
"426",66,8217,"001A2",2005-09-30,1,"Cattle"
"427",66,8217,"001A3",2005-09-30,1,"Cattle"
"428",67,8218,"001A4",2005-09-26,1,"Cattle"
"429",67,8218,"001A5",2005-09-26,1,"Cattle"
"430",67,8218,"001A6",2005-09-26,1,"Cattle"
"431",68,8219,"001A7",2005-09-17,1,"Cattle"
"432",68,8219,"001A8",2005-09-17,1,"Cattle"
"433",68,8219,"001A9",2005-09-17,1,"Cattle"
"434",68,8219,"001AA",2005-09-17,1,"Cattle"
"435",69,8220,"001AB",2005-08-03,1,"Cattle"
"436",70,8221,"001AC",2005-10-25,1,"Cattle"
"437",70,8221,"001AD",2005-10-25,1,"Cattle"
"438",70,8204,"001AE",2005-10-06,1,"Cattle"
"439",71,8222,"001AF",2005-10-28,1,"Cattle"
"440",71,8222,"001B0",2005-10-28,1,"Cattle"
"441",71,8222,"001B1",2005-10-28,1,"Cattle"
"442",71,8222,"001B2",2005-10-28,1,"Cattle"
"443",71,8222,"001B3",2005-10-28,1,"Cattle"
"444",71,8222,"001B4",2005-10-28,1,"Cattle"
"445",39,8223,"001B5",2005-09-27,1,"Cattle"
"446",39,8224,"001B6",2005-09-14,1,"Cattle"
"447",39,1622,"001B7",2005-09-15,1,"Cattle"
"448",39,1622,"001B8",2005-09-15,1,"Cattle"
"449",39,1622,"001B9",2005-09-15,1,"Cattle"
"450",39,1622,"001BA",2005-09-15,1,"Cattle"
"451",39,8225,"001BB",2005-10-20,1,"Cattle"
"452",39,8225,"001BC",2005-10-20,1,"Cattle"
"453",72,73,"001BD",2005-09-16,1,"Cattle"
"454",73,8226,"001BD",2005-09-16,1,"Cattle"
"455",72,73,"001BE",2005-09-16,1,"Cattle"
"456",73,8226,"001BE",2005-09-16,1,"Cattle"
"457",72,73,"001BF",2005-09-16,1,"Cattle"
"458",73,8226,"001BF",2005-09-16,1,"Cattle"
"459",72,73,"001C0",2005-09-16,1,"Cattle"
"460",73,8226,"001C0",2005-09-16,1,"Cattle"
"461",72,73,"001C1",2005-09-16,1,"Cattle"
"462",73,8226,"001C1",2005-09-16,1,"Cattle"
"463",72,73,"001C2",2005-09-16,1,"Cattle"
"464",73,8226,"001C2",2005-09-16,1,"Cattle"
"465",72,73,"001C3",2005-09-16,1,"Cattle"
"466",73,8226,"001C3",2005-09-16,1,"Cattle"
"467",74,8227,"001C4",2005-09-12,1,"Cattle"
"468",74,8227,"001C5",2005-09-13,1,"Cattle"
"469",74,8228,"001C6",2005-10-14,1,"Cattle"
"470",74,8228,"001C7",2005-10-14,1,"Cattle"
"471",74,8229,"001C8",2005-08-31,1,"Cattle"
"472",74,8229,"001C9",2005-08-31,1,"Cattle"
"473",75,8230,"001CA",2005-09-30,1,"Cattle"
"474",76,8231,"001CB",2005-08-16,1,"Cattle"
"475",76,8231,"001CC",2005-08-16,1,"Cattle"
"476",77,8232,"001CD",2005-08-09,1,"Cattle"
"477",77,8232,"001CE",2005-08-09,1,"Cattle"
"478",77,8232,"001CF",2005-08-09,1,"Cattle"
"479",77,8232,"001D0",2005-08-09,1,"Cattle"
"480",77,8233,"001D1",2005-09-14,1,"Cattle"
"481",77,8233,"001D2",2005-09-14,1,"Cattle"
"482",77,8233,"001D3",2005-09-14,1,"Cattle"
"483",77,8233,"001D4",2005-09-14,1,"Cattle"
"484",77,8233,"001D5",2005-10-27,1,"Cattle"
"485",77,8233,"001D6",2005-10-27,1,"Cattle"
"486",78,81,"001D7",2005-09-24,1,"Cattle"
"487",79,81,"001D8",2005-08-14,1,"Cattle"
"488",79,81,"001D9",2005-08-14,1,"Cattle"
"489",80,81,"001DA",2005-08-30,1,"Cattle"
"490",80,81,"001DB",2005-08-30,1,"Cattle"
"491",81,3290,"001DB",2005-08-30,1,"Cattle"
"492",82,1805,"001DC",2005-10-13,1,"Cattle"
"493",82,1805,"001DD",2005-10-13,1,"Cattle"
"494",82,1805,"001DE",2005-10-13,1,"Cattle"
"495",82,1805,"001DF",2005-10-13,1,"Cattle"
"496",82,1805,"001E0",2005-10-13,1,"Cattle"
"497",82,1805,"001E1",2005-10-13,1,"Cattle"
"498",82,1805,"001E2",2005-10-15,1,"Cattle"
