"","Lon","Lat","BNL1434.1","BNL1434.2","BNL840.1","BNL840.2","BNL2496.1","BNL2496.2","BNL1421.1","BNL1421.2","BNL1551.1","BNL1551.2","CIR249.1","CIR249.2","BNL3103.1","BNL3103.2","CIR311.1","CIR311.2","CIR246.1","CIR246.2"
"CE0480",-38.9675,-6.9425,264,271,NA,NA,112,127,205,205,164,164,193,193,NA,NA,162,162,160,160
"CE0481",-39.397833,-7.116667,264,271,153,153,119,127,205,205,164,164,193,193,193,198,165,165,172,172
"CE055",-38.806483,-7.370167,254,278,153,153,112,112,199,205,NA,NA,193,193,193,193,162,162,160,160
"CE056",-38.855216,-7.356267,264,278,153,153,112,112,199,199,166,166,193,193,204,204,162,162,160,160
"CE057",-38.855167,-7.356167,264,264,153,153,NA,NA,199,205,166,166,193,193,204,204,NA,NA,160,160
"CE058",-38.739816,-6.796,264,264,153,153,127,166,199,199,164,164,198,199,202,204,162,176,160,160
"CE0510",-39.043667,-6.431167,264,264,153,153,119,135,199,199,170,170,193,199,NA,NA,162,162,160,160
"CE0511",-39.7266,-6.548916,264,264,153,153,135,166,199,199,164,164,199,199,204,204,162,162,160,160
"CE0512",-39.306333,-6.368333,271,278,153,153,112,127,193,205,164,164,193,193,193,204,162,162,160,160
"CE0513",-39.068167,-5.926056,264,264,153,153,125,166,193,205,164,172,193,193,204,204,162,162,160,160
"CE0515",-38.482333,-5.236638,264,264,153,153,166,166,199,205,164,164,193,196,NA,NA,162,162,160,160
"CE0516",-39.449367,-4.026983,264,264,153,153,119,166,199,205,164,164,193,193,NA,NA,162,162,160,160
"CE0517",-39.5652,-7.088611,264,264,153,153,119,166,199,205,164,164,193,193,204,204,162,162,160,160
"PI041",-42.812778,-4.936389,254,254,164,164,125,125,199,199,170,170,199,199,199,199,162,162,160,160
"PI044",-44.240833,-8.871389,254,254,164,164,125,125,199,199,166,166,193,193,199,199,162,162,160,160
"PI0418",-44.101667,-8.984167,271,271,164,164,125,125,NA,NA,166,166,193,193,202,202,162,162,160,160
"PI0421",-44.192222,-8.760833,271,271,153,153,127,127,205,205,157,157,196,196,202,202,165,165,160,160
"PI0424",-44.230833,-8.727778,254,271,164,164,125,125,199,227,166,166,193,193,202,202,162,165,150,160
"PI0425",-44.233333,-8.7275,246,246,164,164,125,125,199,199,166,166,193,193,199,199,162,162,160,160
"PI0433",-43.830833,-6.245278,271,271,149,149,135,135,205,205,157,157,199,199,202,202,165,165,160,160
"PI0439",-43.007222,-9.131944,254,271,149,149,127,127,193,227,157,166,196,199,202,202,162,165,160,160
"PI0443",-43.338056,-9.279444,254,254,164,164,125,125,193,199,172,172,193,193,199,199,162,162,160,160
"PI0446",-42.603056,-8.930833,254,254,164,164,127,127,205,205,172,172,193,193,NA,NA,162,162,160,160
"PI0448",-42.241944,-8.372778,254,254,164,164,125,125,199,199,170,170,193,193,198,198,162,162,160,160
"PI0449",-42.241667,-8.366944,254,278,164,164,125,125,193,199,166,166,193,193,193,193,162,162,160,160
"PI0450",-42.285,-8.335556,254,254,164,164,125,125,193,193,166,166,193,199,191,191,162,162,160,160
"PI0451",-42.288333,-8.332222,254,254,164,164,125,125,193,247,170,170,199,199,191,191,176,176,160,160
"PI0452",-42.219722,-8.327222,254,254,164,164,125,125,199,205,166,166,193,199,199,199,162,176,150,160
"PI0455",-42.18,-7.218889,254,271,164,164,125,125,193,193,166,166,193,193,193,193,162,176,160,160
"PI0456",-42.111944,-7.013333,254,254,164,164,135,135,199,199,166,166,193,193,202,202,162,162,160,160
"PI0458",-40.983056,-7.137222,254,254,164,164,119,119,193,199,166,166,193,199,193,193,162,162,160,160
"PI0460",-40.615556,-7.080833,254,271,164,164,108,108,193,199,166,166,193,193,198,198,162,162,160,160
"PI0462",-41.222222,-7.111389,254,254,164,164,135,150,NA,NA,166,166,193,193,199,199,162,162,150,160
"PI0463",-41.126944,-7.460278,254,264,164,164,135,135,199,199,166,166,193,193,193,193,162,162,160,160
"PI0464",-41.244444,-7.676944,254,254,149,149,150,150,193,193,166,166,193,193,193,193,162,162,160,160
"PI0465",-41.193056,-7.933889,254,264,164,164,108,150,199,205,166,166,193,196,199,199,162,162,150,160
"PI0466",-41.383611,-7.518333,254,254,164,164,112,125,199,205,166,166,193,199,199,199,162,162,160,160
"PI0467",-41.483611,-7.494722,254,254,164,164,125,150,199,205,166,166,193,196,191,191,176,176,160,160
"PI0470",-41.732222,-7.020556,264,264,164,164,125,125,199,205,166,166,193,193,198,198,162,162,150,160
"PI0471",-41.731667,-7.018056,254,254,153,153,108,119,199,199,166,166,193,193,199,199,162,162,160,160
"PI0472",-41.731389,-7.018611,254,254,153,153,108,119,199,199,166,166,193,193,199,199,162,162,160,160
"PI0473",-41.643333,-6.954444,254,254,164,164,150,150,193,199,166,166,193,193,199,199,162,162,160,160
"PI0474",-41.731389,-7.018611,254,254,164,164,135,135,199,205,166,166,193,196,191,191,176,176,160,160
"PI0475",-41.55,-7.01,254,254,164,164,125,125,199,231,166,166,193,193,193,193,162,162,160,160
"PI0476",-41.550278,-6.989167,254,254,164,164,135,150,199,231,170,170,193,193,199,199,162,165,160,160
"PI0477",-41.549167,-6.988056,254,271,164,164,150,150,199,231,170,170,199,199,193,193,162,162,160,160
"PI0480",-42.882222,-4.344167,254,254,164,164,135,135,199,199,170,170,198,198,199,199,162,162,160,160
"RN053",-36.985533,-6.463733,254,254,164,164,125,127,231,231,NA,NA,193,193,193,193,162,162,160,160
"RN054",-37.424567,-6.6723,236,254,169,169,112,150,193,205,166,166,198,198,199,199,162,162,158,158
"RN056",-37.397,-6.666,254,254,164,164,127,127,199,199,166,166,193,193,198,198,162,162,160,160
"RN0512",-37.180567,-6.440567,254,254,164,164,108,125,193,205,170,170,193,193,198,199,162,162,160,160
"RN0514",-37.081944,-6.725833,254,254,164,164,125,125,199,199,166,166,193,193,193,198,162,162,160,160
"RN0519",-37.04285,-6.213783,254,254,169,169,127,127,205,205,166,166,193,193,199,199,162,162,160,160
"RN0521",-36.939733,-6.1325,254,254,NA,NA,127,150,205,205,166,166,193,193,199,199,162,162,160,160
"RN0524",-36.982733,-5.99075,NA,NA,164,164,108,112,199,199,166,170,193,193,199,204,162,162,160,160
"RN0526",-36.982733,-5.99075,254,254,164,164,125,150,193,205,166,166,193,193,199,199,162,162,160,160
"RN0530",-36.690183,-6.55165,254,254,164,164,125,125,199,199,166,166,193,193,199,199,165,176,160,160
"PB053",-37.05115,-6.884816,264,271,169,169,125,125,205,205,166,166,199,199,199,199,162,162,160,160
"PB054",-37.088383,-6.982,271,271,164,164,108,125,205,205,166,166,193,193,202,202,162,162,160,160
"PB055",-37.082222,-7.017967,254,254,164,164,150,150,199,199,166,166,193,193,193,193,162,162,160,160
"PB056",-37.073867,-7.027916,254,264,164,164,150,150,199,205,166,166,193,193,199,199,162,162,160,160
"PB057",-37.0816,-7.071833,254,254,164,164,150,150,193,193,NA,NA,193,193,NA,NA,162,162,160,160
"PB058",-37.081683,-7.0719,254,264,164,164,108,150,199,199,166,166,193,193,198,198,162,162,160,160
"PB059",-37.081883,-7.07205,254,254,164,164,NA,NA,247,247,170,166,193,193,NA,NA,162,162,160,160
"PB0510",-37.083486,-7.078467,254,254,169,169,108,150,193,199,170,166,193,193,202,202,162,162,158,158
"PB0512",-38.569683,-7.6525,254,264,164,164,108,108,199,199,166,166,196,196,191,191,176,176,160,160
"PB0513",-38.559283,-7.72405,254,264,169,169,112,119,NA,NA,157,166,193,193,202,202,162,162,160,160
"PB0515",-38.320416,-7.474783,254,254,164,164,112,125,193,199,166,170,193,193,199,199,176,176,160,160
"PB0516",-38.252567,-7.4272,246,254,169,169,112,119,199,199,172,164,193,196,199,199,165,165,160,160
"PB0518",-37.7041,-6.846667,254,264,169,169,108,108,199,199,166,172,193,193,198,198,162,162,160,160
"PB0519",-37.675083,-6.3245,254,254,169,169,108,108,199,205,166,166,193,196,199,199,162,162,160,160
"PB0522",-36.468683,-6.756533,254,271,169,169,112,125,NA,NA,166,166,199,199,198,202,162,162,160,160
"PE051",-35.984722,-8.148889,264,264,153,153,108,135,193,199,164,164,193,193,202,202,162,162,158,160
"PE053",-35.986667,-8.143611,264,264,153,153,125,125,199,199,164,164,193,193,198,202,162,162,160,160
"PE054",-35.9875,-8.140833,264,264,153,153,108,112,193,199,172,172,193,198,193,193,162,162,160,160
"PE055",-36.006667,-8.114722,264,264,153,153,127,127,193,199,175,175,193,193,198,202,162,162,158,160
"PE056",-36.015556,-8.1125,246,246,153,153,108,108,199,234,164,164,193,193,202,202,162,162,160,160
"PE057",-36.019444,-8.108333,264,271,153,153,125,148,205,205,164,164,193,193,202,202,162,162,160,160
"PE058",-36.048055,-8.056111,264,264,157,157,125,125,199,199,164,164,193,193,202,202,162,165,150,150
"PE059",-36.403611,-7.971388,254,264,153,153,125,148,193,205,164,164,196,196,198,202,162,162,160,160
"PE0510",-36.315556,-8.133333,264,264,153,153,148,148,193,193,164,164,193,193,198,202,162,162,160,160
"PE0511",-36.315556,-8.133333,264,271,153,153,125,148,193,199,164,164,193,193,198,202,162,162,160,160
"PE0512",-36.336944,-8.171667,264,264,157,157,125,125,193,199,164,164,193,193,198,202,162,162,160,160
"PE0514",-36.3425,-8.179167,264,264,153,153,148,148,205,205,164,166,193,199,202,202,162,162,160,160
"PE0520",-37.371944,-7.823889,264,264,153,153,108,112,193,199,164,164,193,198,193,193,162,162,160,160
"PE0521",-37.345556,-7.710556,264,271,157,157,108,148,199,199,164,164,193,193,198,198,162,162,160,160
"PE0522",-37.304167,-7.5925,264,264,149,149,148,148,199,199,164,172,193,193,193,202,162,162,160,160
"PE0523",-37.299167,-7.575556,264,264,153,153,125,127,193,205,164,170,193,193,193,202,162,162,160,160
"PE0524",-37.278611,-7.534722,264,264,153,153,125,127,199,205,164,164,193,199,193,202,162,162,172,172
"PE0525",-37.281111,-7.531667,254,254,153,153,125,125,205,205,164,164,193,193,202,202,169,176,160,160
"PE0526",-37.423333,-7.5525,264,264,153,153,127,127,199,199,164,164,193,193,198,198,162,162,160,160
"PE0527",-37.474722,-7.579167,271,271,153,153,127,127,199,205,164,164,196,196,202,202,162,162,150,150
"PE0528",-37.481389,-7.583056,240,246,153,153,108,125,199,205,164,164,199,199,202,202,162,162,160,160
"PE0530",-37.601111,-7.703056,264,264,157,157,148,148,193,234,170,170,193,196,202,202,162,162,172,172
"PE0532",-37.923889,-7.857222,264,271,153,153,148,148,199,199,164,170,193,193,198,198,162,162,160,160
"PE0535",-37.872222,-8.005833,264,264,157,157,108,108,193,199,182,182,193,196,193,193,162,162,172,172
"PE0536",-37.872222,-8.005833,264,264,157,157,108,125,193,199,164,182,193,196,198,202,162,162,160,172
"PE0537",-37.868333,-8.01,271,271,149,153,112,112,199,199,164,175,199,199,202,202,162,162,160,160
"PE0539",-38.625556,-7.989722,254,254,153,153,125,125,199,199,164,164,193,193,198,198,162,162,150,150
"PE0540",-38.625556,-7.989722,264,264,157,157,125,125,199,199,164,164,193,193,198,198,162,162,160,160
"PE0541",-39.019444,-8.014444,246,264,157,157,148,148,199,234,164,164,193,193,198,198,162,162,172,172
"PE0543",-39.714722,-7.591944,254,264,157,157,112,148,199,234,164,170,193,196,198,198,162,162,160,160
"PE0545",-38.27222222,-6.454722222,246,246,153,153,135,148,199,227,164,164,193,193,193,198,162,162,160,160
"PE0548",-39.791389,-7.663611,240,246,153,153,108,148,193,199,164,164,198,199,193,202,162,162,160,172
"PE0549",-39.792778,-7.666667,271,271,153,153,108,125,199,205,164,164,193,199,202,202,162,162,160,160
"PE0550",-39.806111,-7.691389,240,240,149,157,135,135,205,205,157,157,196,196,202,202,162,162,160,160
"PE0552",-39.703611,-7.740833,264,271,153,153,125,125,193,199,164,170,193,193,202,202,162,162,160,160
"PE0554",-40.974444,-7.804722,264,264,153,153,125,148,193,199,164,164,193,193,198,198,162,162,172,172
"PE0555",-40.058056,-7.861389,264,264,153,153,148,148,199,199,164,170,196,196,198,198,162,162,160,160
"PE0556",-40.066667,-7.885556,264,264,NA,NA,108,108,NA,NA,164,164,193,196,193,193,162,162,160,160
"PE0557",-40.056944,-7.891389,264,264,157,157,125,148,193,193,164,164,196,196,198,202,162,162,160,160
"PE0558",-40.070556,-7.913889,264,264,157,157,148,148,199,199,164,164,193,193,198,202,162,162,160,160
"PE0560",-39.141389,-8.068333,264,264,157,157,108,148,199,199,164,164,193,193,198,198,162,162,150,150
"PE0561",-39.105,-8.06,264,264,157,157,125,125,205,205,164,164,199,199,202,202,162,162,160,160
"PE0562",-38.723056,-8.026389,254,264,157,157,112,125,199,205,164,164,193,193,198,202,162,162,160,160
"PE0563",-37.0425,-8.038889,264,264,157,157,148,148,193,193,166,170,193,193,202,202,162,162,160,160
"PE0564",-37.943611,-8.046944,240,240,157,157,135,135,227,227,157,157,199,199,193,202,162,165,160,160
"PE0565",-37.778611,-8.089167,264,264,153,153,112,148,199,199,170,172,198,198,193,202,162,162,160,160
"PE0566",-36.33472222,-7.917777778,264,264,153,153,108,108,234,234,164,164,193,193,198,198,162,162,160,160
"PE0569",-37.35,-8.316944,264,264,157,157,135,135,199,199,164,164,193,193,198,198,162,162,160,160
"PE0570",-37.214722,-8.401111,271,271,153,153,112,112,205,205,164,164,193,193,198,198,162,162,160,160
"BA052",-38.123,-9.479083,264,264,153,153,112,112,NA,NA,NA,NA,193,193,198,198,162,162,160,160
"BA053",-38.123,-9.468983,264,278,153,153,108,108,205,205,164,172,193,199,193,193,162,176,160,160
"BA0510",-38.3406,-9.391167,264,264,NA,NA,127,127,NA,NA,NA,NA,193,199,NA,NA,162,162,172,172
"BA0511",-38.3406,-9.391167,264,264,153,153,150,150,193,193,164,164,193,193,198,198,162,162,160,172
"BA0512",-38.3406,-9.391167,264,264,NA,NA,150,150,NA,NA,164,170,193,193,191,191,162,162,NA,NA
"BA0513",-38.3406,-9.391167,264,264,153,153,NA,NA,193,199,164,170,193,193,191,198,162,162,160,160
"BA0516",-38.42005,-9.441566,264,264,NA,NA,119,125,199,199,NA,NA,193,193,193,193,162,162,160,160
"BA0520",-38.4733,-9.341416,264,264,153,153,125,125,199,205,157,164,193,193,204,204,162,162,160,160
"BA0521",-38.510733,-9.35195,264,264,153,153,150,150,234,234,164,164,193,193,191,204,162,165,160,160
"BA0522",-38.510733,-9.35195,264,264,153,153,108,108,NA,NA,164,164,193,193,191,204,176,176,150,160
"BA0523",-38.328066,-9.334533,NA,NA,153,153,125,125,NA,NA,164,164,193,193,NA,NA,165,165,NA,NA
"BA0524",-38.383,-9.310066,264,264,NA,NA,NA,NA,199,205,164,164,193,193,191,191,162,162,NA,NA
"BA0536",-39.047933,-9.98655,246,264,NA,NA,125,125,199,199,164,164,199,199,NA,NA,162,162,160,160
"BA0539",-39.3137,-9.949216,264,264,153,153,NA,NA,NA,NA,164,164,NA,NA,NA,NA,162,162,172,172
"BA0540",-39.410483,-9.838783,264,264,NA,NA,150,150,199,199,164,170,193,193,198,198,162,162,172,172
"BA0541",-39.31205,-9.8065,264,264,153,153,127,127,NA,NA,NA,NA,196,196,198,198,162,162,160,160
"BA0545",-44.912183,-12.121,240,240,149,149,127,127,205,231,157,157,196,196,204,204,162,162,160,160
"BA0547",-44.6171,-12.436016,264,264,149,149,127,127,205,205,157,157,198,198,204,204,165,165,160,160
"AL0618",-36.175556,-10.126,264,264,153,153,150,150,199,199,170,170,193,193,199,199,162,162,160,172
"AL0628",-37.996,-9.386,264,264,153,153,112,112,199,199,164,164,193,193,191,191,176,176,160,160
"AL0630",-37.996,-9.386,264,264,153,153,112,112,205,205,164,164,199,199,199,199,162,162,160,160
"AL0632",-37.124667,-9.678,264,264,NA,NA,125,125,235,235,164,164,193,193,199,199,162,176,160,160
"AL0633",-37.124667,-9.678,264,264,153,153,125,125,193,193,170,170,193,193,199,199,162,162,150,160
"SE0625",-37.493333,-10.733333,264,264,153,153,127,150,193,199,164,164,193,193,204,204,162,162,160,160
"SE0627",-37.425278,-10.685,264,264,NA,NA,127,127,199,199,164,164,193,193,NA,NA,162,162,160,160
"SE0636",-37.198333,-10.226667,264,264,NA,NA,127,127,199,205,164,164,193,193,191,191,162,162,160,160
"SE0639",-37.083333,-9.9675,271,271,153,153,108,166,205,205,164,166,193,193,191,204,165,165,160,160
"SE0640",-37.684444,-9.805,264,264,153,153,166,166,199,205,164,164,193,193,204,204,165,165,160,160
