"","IDREGION","LBREGION","IDDISTRI","LBDISTRI","IDMUNICI","LBMUNICI","SURFAC05","POP00","POP10","HOMES00","HOMES10","POPMAL00","POPMAL10","POPFEM00","POPFEM10","INLANG00","INLANG10","INCOME00","INCOME01","INCOME02","INCOME03","PTREES00","PTREES01","PTREES02","PTREES03","MARRIA07","MARRIA08","MARRIA09","HARVBE07","HARVBE08","HARVBE09","VALUBE07","VALUBE08","VALUBE09","VOLUBE07","VOLUBE08","VOLUBE09","sHOMES00","sSURFAC","SIZEDIST","sSW_10_3"
"11",4,"MIXTECA",1,"SILACAYOAPAM",11,"Calihuala",69.06,1317,1220,304,271,631,595,686,625,394,458,824,1996,2402,2805,0,0,0,0,0,0,0,9,9,10,12,62,121,1,7,8,1,0,19,0
"12",2,"COSTA",30,"POCHUTLA",12,"Candelaria Loxicha",176.79,9566,9860,1778,2095,4744,4730,4822,5130,4996,5447,2170,13999,16217,22559,0,0,0,5000,80,70,82,120,123,123,1008,1116,1075,84,93,86,1,1,14,0
"13",8,"VALLES CENTRALES",18,"ZIMATLAN",13,"Cienega de Zimatlan",10.77,2942,2785,725,787,1351,1319,1591,1466,21,15,4302,3819,5536,5607,0,0,0,0,0,0,0,222,118,108,2547,1288,1109,190,104,81,1,0,13,0
"14",3,"ISTMO",29,"JUCHITAN",14,"Ciudad Ixtepec",206.14,22675,26450,5813,7042,10872,12677,11803,13773,5546,4945,NA,NA,18463,12165,909000,0,0,6982,233,195,180,0,0,0,0,0,0,0,0,0,1,1,22,0
"15",8,"VALLES CENTRALES",24,"EJUTLA",15,"Coatecas Altas",119.81,5803,4712,1082,1034,2871,2221,2932,2491,2385,2479,1799,7361,3326,7743,0,200,3000,0,4,1,6,53,55,34,665,505,332,52,41,23,1,1,13,0
"16",4,"MIXTECA",8,"JUXTLAHUACA",16,"Coicoyan de las Flores",140.56,5733,8531,930,1368,2772,3990,2961,4541,4591,7008,1409,6039,9620,9763,0,0,0,10200,0,0,0,113,112,113,941,779,1269,110,88,84,1,1,7,0
"17",8,"VALLES CENTRALES",24,"EJUTLA",17,"La Compania",103.86,3998,3302,881,854,1912,1557,2086,1745,25,6,NA,4895,6574,1607,0,7500,8000,3600,1,1,3,122,50,20,1358,434,143,122,35,10,1,1,13,0
"18",4,"MIXTECA",3,"COIXTLAHUACA",18,"Concepcion Buenavista",223.28,946,834,244,237,458,397,488,437,5,2,933,2225,2341,2265,0,6300,12000,10000,0,1,0,100,95,48,431,561,367,44,51,24,1,1,13,0
"19",1,"CANADA",5,"CUICATLAN",19,"Concepcion Papalo",158.87,3077,3071,718,853,1567,1537,1510,1534,1392,1226,1659,3814,4217,3261,150000,98000,0,0,4,0,0,29,30,34,225,272,309,22,25,26,1,1,20,0
"20",6,"SIERRA SUR",15,"PUTLA",20,"Constancia del Rosario",84.37,3295,3860,564,733,1548,1795,1747,2065,1678,2203,1499,5142,4731,1754,0,500,NA,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,10,1
"21",7,"PAPALOAPAN",6,"TUXTEPEC",21,"Cosolapa",115.49,14467,14667,3317,3756,7116,7057,7351,7610,865,670,NA,NA,17072,17528,0,0,0,0,112,80,105,35,35,35,190,190,223,28,28,26,1,1,14,0
"22",4,"MIXTECA",2,"HUAJUAPAM",22,"Cosoltepec",93,931,866,288,304,431,394,500,472,222,176,669,2118,2647,1735,61500,4400,0,10000,0,2,2,25,23,24,55,61,105,6,7,7,1,0,28,0
"23",8,"VALLES CENTRALES",19,"CENTRO",23,"Cuilapam de Guerrero",48.66,12812,18428,2788,4426,6173,8824,6639,9604,260,880,2473,12403,9856,6914,0,14340,0,5400,23,23,19,318,340,145,3340,3256,1214,257,274,85,1,0,21,0
"24",1,"CANADA",5,"CUICATLAN",24,"Cuyamecalco Villa de Zaragoza",80.65,4298,3846,952,918,2141,1949,2157,1897,1087,811,NA,NA,8367,7989,0,0,20000,0,14,10,3,16,17,22,112,131,174,11,12,15,1,1,20,0
"25",3,"ISTMO",29,"JUCHITAN",25,"Chahuites",22.43,9799,11105,2276,2916,4833,5498,4966,5607,618,556,3640,8598,9770,9987,0,0,0,62300,2,6,6,0,0,0,0,0,0,0,0,0,1,0,22,0
"26",4,"MIXTECA",16,"TLAXIACO",26,"Chalcatongo de Hidalgo",149.22,7828,8481,1873,2222,3607,3923,4221,4558,3532,3082,NA,NA,5599,NA,0,1350,0,250,52,34,35,181,181,180,1712,1638,1533,163,163,146,1,1,35,0
"27",1,"CANADA",5,"CUICATLAN",27,"Chiquihuitlan de Benito Juarez",35.73,2501,2458,695,729,1155,1157,1346,1301,1585,1374,2136,7380,5761,7648,0,0,0,0,0,0,0,8,8,10,48,46,61,5,4,6,1,0,20,0
"28",8,"VALLES CENTRALES",24,"EJUTLA",28,"Heroica Ciudad de Ejutla de Crespo",299.75,17573,19679,3983,4845,8170,9233,9403,10446,525,447,17893,NA,20141,21506,0,32778,19000,51210,261,294,300,279,298,216,3415,3093,2457,282,255,177,1,1,13,0
"29",1,"CANADA",4,"TEOTITLAN",29,"Eloxochitlan de Flores Magon",35.95,4149,4263,939,1060,1993,2024,2156,2239,3401,3467,1667,6913,3021,7852,0,1560,0,0,0,0,2,10,12,12,36,69,79,4,7,7,1,0,25,0
"30",3,"ISTMO",29,"JUCHITAN",30,"El Espinal",56.48,7705,8310,1992,2279,3763,4031,3942,4279,3289,3048,9594,NA,5653,7391,12500,0,35000,500,67,80,73,0,0,0,0,0,0,0,0,0,1,1,22,0
"31",5,"SIERRA NORTE",14,"MIXE",31,"Tamazulapam del Espiritu Santo",97.03,6704,7362,1368,1742,3138,3434,3566,3928,5713,6441,1573,1374,7673,11143,0,1200,20000,1000,0,2,1,170,170,170,1017,997,973,68,71,70,1,1,17,0
"32",4,"MIXTECA",2,"HUAJUAPAM",32,"Fresnillo de Trujano",72.8,1138,1033,252,266,527,489,611,544,3,2,1184,1486,1997,2888,0,400,0,0,0,0,0,8,8,9,20,21,60,2,2,4,0,0,28,0
"33",8,"VALLES CENTRALES",11,"ETLA",33,"Guadalupe Etla",6.79,2004,2433,470,624,922,1150,1082,1283,105,137,1596,NA,1291,3185,0,0,0,1500,1,0,4,12,11,11,158,123,108,11,10,8,1,0,23,0
"34",4,"MIXTECA",1,"SILACAYOAPAM",34,"Guadalupe de Ramirez",36.1,1400,1425,331,365,647,689,753,736,18,18,959,1846,1042,1172,0,0,2000,0,0,1,5,5,6,6,17,19,45,2,2,3,0,1,19,0
"35",5,"SIERRA NORTE",12,"IXTLAN",35,"Guelatao de Juarez",4.33,754,544,137,143,414,267,340,277,288,76,579,832,1163,1538,0,300,3000,0,10,0,0,16,16,16,86,103,99,7,7,7,0,0,26,0
"36",3,"ISTMO",28,"TEHUANTEPEC",36,"Guevea de Humboldt",262.56,5610,5285,1200,1303,2851,2581,2759,2704,2874,2441,1575,5604,7598,6727,0,0,0,45000,15,5,4,290,225,250,948,770,585,112,92,70,1,1,19,0
"37",6,"SIERRA SUR",15,"PUTLA",37,"Mesones Hidalgo",170.4,4185,4402,830,1039,1982,1984,2203,2418,1458,1624,1296,5626,6054,3538,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,10,0
"38",5,"SIERRA NORTE",13,"VILLA ALTA",38,"Villa Hidalgo",70.41,2132,2112,522,575,995,1000,1137,1112,1743,1752,NA,3437,3596,4053,0,0,0,0,2,1,0,33,33,33,178,178,115,15,13,8,1,0,25,0
"39",4,"MIXTECA",2,"HUAJUAPAM",39,"Heroica Ciudad de Huajuapan de Leon",330.01,53219,69839,11917,16947,24808,32910,28411,36929,3388,4185,27997,NA,47413,86859,22000,54355,248000,45470,513,429,443,757,758,760,2607,2675,4877,300,307,323,1,1,28,0
"40",1,"CANADA",4,"TEOTITLAN",40,"Huautepec",44.83,6567,5995,1304,1374,3162,2824,3405,3171,5548,5113,1921,6430,3500,2538,0,0,0,0,0,0,0,25,28,22,113,176,145,11,17,13,1,0,25,0
"41",1,"CANADA",4,"TEOTITLAN",41,"Huautla de Jimenez",149.52,31040,30004,6882,7268,14624,13952,16416,16052,25542,23773,4334,NA,6362,6787,0,1500,26000,42500,475,500,434,72,80,90,335,400,580,34,38,51,1,1,25,0
"42",5,"SIERRA NORTE",12,"IXTLAN",42,"Ixtlan de Juarez",698.79,7287,7674,1691,1933,3615,3755,3672,3919,4403,4282,2339,NA,4447,5736,115142,59075,80000,20805,209,183,116,254,254,255,1330,1595,1559,111,115,111,1,1,26,0
"43",3,"ISTMO",29,"JUCHITAN",43,"Juchitan de Zaragoza",900.11,78512,93038,17603,22205,38052,45210,40460,47828,49133,53226,NA,NA,78161,61183,0,7955,80000,20000,842,792,773,0,0,0,0,0,0,0,0,0,1,1,22,0
"44",7,"PAPALOAPAN",6,"TUXTEPEC",44,"Loma Bonita",507.02,40877,41535,10064,11388,19493,19779,21384,21756,1508,1161,40233,NA,54816,11853,0,0,0,18500,209,229,223,0,0,0,0,0,0,0,0,0,1,1,14,0
"45",8,"VALLES CENTRALES",11,"ETLA",45,"Magdalena Apasco",34.69,3942,7522,904,2009,1951,3576,1991,3946,36,178,1363,2982,NA,1585,0,38000,0,2429,8,0,2,66,66,46,768,636,449,60,51,33,1,0,23,0
"46",4,"MIXTECA",10,"NOCHIXTLAN",46,"Magdalena Jaltepec",233.59,3717,3313,888,946,1786,1540,1931,1773,219,233,NA,5954,3639,5853,0,3300,18000,150,0,1,0,1150,1145,1143,8274,10348,16574,985,1040,1143,1,1,32,0
"47",4,"MIXTECA",3,"COIXTLAHUACA",47,"Santa Magdalena Jicotlan",33.81,109,93,33,34,48,40,61,53,0,0,637,909,1167,1194,0,0,0,0,0,0,0,15,15,8,53,79,47,6,8,3,1,0,13,0
"48",8,"VALLES CENTRALES",18,"ZIMATLAN",48,"Magdalena Mixtepec",41.03,946,1304,176,232,470,642,476,662,27,168,1093,2076,2264,2566,0,0,0,12700,0,0,1,64,63,53,472,633,415,38,52,28,0,0,13,0
"49",8,"VALLES CENTRALES",25,"OCOTLAN",49,"Magdalena Ocotlan",10.48,1029,1141,243,298,473,546,556,595,150,157,961,2248,1314,2078,0,300,5000,1500,0,1,1,17,18,12,164,175,121,12,15,9,0,0,20,0
"50",4,"MIXTECA",16,"TLAXIACO",50,"Magdalena Penasco",93.49,3473,3778,743,914,1644,1755,1829,2023,2791,3173,1334,4426,1269,1533,5000,74150,85000,113563,0,0,0,36,36,37,139,162,209,14,16,20,1,1,35,0
"51",8,"VALLES CENTRALES",20,"TLACOLULA",51,"Magdalena Teitipac",39.13,3604,4368,656,904,1728,2059,1876,2309,2960,3541,3767,6063,2619,1751,0,1300,0,500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,0
"52",3,"ISTMO",28,"TEHUANTEPEC",52,"Magdalena Tequisistlan",674.68,6011,6182,1469,1691,3016,3026,2995,3156,281,280,1165,NA,6707,7216,0,0,0,20000,45,53,48,38,38,40,192,221,420,24,27,28,1,1,19,1
"53",3,"ISTMO",28,"TEHUANTEPEC",53,"Magdalena Tlacotepec",99.87,1116,1221,337,387,523,581,593,640,380,273,561,3103,4891,4806,0,0,0,0,5,2,7,0,0,0,0,0,0,0,0,0,1,1,19,0
"54",4,"MIXTECA",10,"NOCHIXTLAN",54,"Magdalena Zahuatlan",22.14,434,409,130,127,208,194,226,215,5,3,988,1635,1473,2184,0,8300,5000,18000,0,0,0,75,73,75,548,672,1005,66,66,72,1,0,32,1
"55",4,"MIXTECA",2,"HUAJUAPAM",55,"Mariscala de Juarez",143.82,3383,3530,781,918,1622,1690,1761,1840,8,11,1266,2381,4466,3675,0,5200,0,0,74,60,85,12,11,11,41,29,76,5,3,5,1,1,28,0
"56",2,"COSTA",21,"JAMILTEPEC",56,"Martires de Tacubaya",53.45,1275,1451,280,343,624,705,651,746,36,23,1870,1886,2015,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,24,0
"57",3,"ISTMO",29,"JUCHITAN",57,"Matias Romero Avendano",1357.96,40709,38019,9567,10074,19594,18198,21115,19821,6444,4674,8412,NA,40894,44778,50424,0,130000,87388,373,348,339,50,50,55,600,540,875,60,60,63,1,1,22,0
"58",1,"CANADA",4,"TEOTITLAN",58,"Mazatlan Villa de Flores",176.72,13947,13435,2982,3364,7088,6634,6859,6801,11348,10606,2648,14141,12004,3671,0,0,0,50,0,0,0,85,96,107,481,716,759,48,67,67,1,1,25,0
"59",6,"SIERRA SUR",26,"MIAHUATLAN",59,"Miahuatlan de Porfirio Diaz",461.61,32555,41387,6870,9503,15574,19792,16981,21595,2272,3751,10119,NA,38600,47910,0,128157,151000,81169,609,499,545,702,719,670,9269,7429,6590,720,602,450,1,1,32,0
"60",5,"SIERRA NORTE",14,"MIXE",60,"Mixistlan de la Reforma",55.63,2666,2770,545,599,1274,1292,1392,1478,2319,2475,550,4501,6038,5477,0,7220,0,14000,0,1,0,81,81,81,486,465,465,32,33,33,0,1,17,0
"61",6,"SIERRA SUR",26,"MIAHUATLAN",61,"Monjas",15.93,2392,2568,490,591,1117,1166,1275,1402,10,22,1809,5969,5134,5690,0,0,0,1000,1,1,1,48,47,31,597,477,362,48,39,25,1,1,32,0
"62",5,"SIERRA NORTE",12,"IXTLAN",62,"Natividad",2.09,579,586,149,160,254,272,325,314,149,148,661,1891,1509,1641,0,0,0,0,0,0,0,4,4,4,19,25,22,2,2,2,0,0,26,0
"63",8,"VALLES CENTRALES",11,"ETLA",63,"Nazareno Etla",4.16,3368,3882,765,933,1604,1825,1764,2057,42,25,NA,NA,3094,648,0,1450,23000,440,2,1,4,11,11,12,159,127,129,11,10,10,1,0,23,0
"64",6,"SIERRA SUR",27,"YAUTEPEC",64,"Nejapa de Madero",556.98,7607,7390,1732,1966,3759,3609,3848,3781,1749,1447,1807,11679,9268,11711,12500,900,0,0,27,9,9,158,153,150,988,1285,1800,79,153,120,1,1,12,0
"65",4,"MIXTECA",1,"SILACAYOAPAM",65,"Ixpantepec Nieves",92.62,1835,1182,420,359,818,526,1017,656,1309,839,549,4018,3421,2713,0,2500,2000,0,0,0,0,70,69,69,730,546,941,82,62,62,1,1,19,0
"66",3,"ISTMO",29,"JUCHITAN",66,"Santiago Niltepec",527.77,5308,5353,1375,1566,2668,2655,2640,2698,116,88,NA,7019,8545,7187,0,0,0,7250,45,35,44,0,0,0,0,0,0,0,0,0,1,1,22,0
"67",8,"VALLES CENTRALES",19,"CENTRO",67,"Oaxaca de Juarez",86.69,256130,263357,63922,66797,119439,122446,136691,140911,22388,21398,325754,449299,397040,401938,126004,227511,51000,144935,2882,2594,2311,94,30,7,946,289,53,73,24,4,1,1,21,0
"68",8,"VALLES CENTRALES",25,"OCOTLAN",68,"Ocotlan de Morelos",122.03,18183,21341,4010,5136,8590,10208,9593,11133,663,689,22005,NA,6263,19940,0,32330,29000,25600,504,530,489,287,78,53,2850,881,592,224,72,44,1,1,20,0
"69",8,"VALLES CENTRALES",24,"EJUTLA",69,"La Pe",29.84,2032,2446,431,590,962,1162,1070,1284,6,4,1441,3402,3182,1468,0,0,0,0,1,0,0,57,36,26,691,327,213,58,26,14,0,0,13,0
"70",2,"COSTA",21,"JAMILTEPEC",70,"Pinotepa de Don Luis",74.54,6226,6629,1256,1547,3079,3248,3147,3381,4921,5123,1609,7093,8372,5975,0,0,0,2000,97,90,88,2,2,4,19,17,38,2,1,3,1,1,24,1
"71",2,"COSTA",30,"POCHUTLA",71,"Pluma Hidalgo",103.16,3828,3060,763,665,1927,1503,1901,1557,193,119,NA,6129,5911,8340,0,2700,0,0,1,1,3,0,80,80,0,720,699,0,60,56,1,0,14,1
"72",8,"VALLES CENTRALES",25,"OCOTLAN",72,"San Jose del Progreso",107.46,5661,6579,1172,1542,2714,3168,2947,3411,464,483,6487,10630,7385,13782,0,0,5000,1600,0,0,2,91,22,26,862,196,322,68,17,24,1,1,20,1
"73",6,"SIERRA SUR",15,"PUTLA",73,"Putla Villa de Guerrero",379.22,26406,31897,5834,7491,12380,14982,14026,16915,7086,9548,5909,NA,30142,10474,21000,10800,24000,32710,187,206,181,148,150,150,1160,1124,957,118,113,92,1,1,10,1
"74",6,"SIERRA SUR",27,"YAUTEPEC",74,"Santa Catarina Quioquitani",38.32,424,505,102,120,218,245,206,260,330,401,1288,2005,1643,1764,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"75",3,"ISTMO",29,"JUCHITAN",75,"Reforma de Pineda",34.83,2675,2671,733,833,1326,1310,1349,1361,111,84,1124,3994,3859,5009,0,0,0,0,17,12,4,0,0,0,0,0,0,0,0,0,1,0,22,0
"76",6,"SIERRA SUR",15,"PUTLA",76,"La Reforma",232.26,3548,3331,696,767,1695,1574,1853,1757,37,38,1139,3655,4426,2944,0,0,0,0,2,1,1,38,38,37,315,310,296,29,28,26,1,1,10,1
"77",8,"VALLES CENTRALES",11,"ETLA",77,"Reyes Etla",11.58,2423,3568,486,843,1174,1700,1249,1868,19,53,NA,2276,3103,3254,0,81450,14000,2950,99,129,115,33,31,22,339,330,221,27,27,16,1,0,23,0
"78",8,"VALLES CENTRALES",20,"TLACOLULA",78,"Rojas de Cuauhtemoc",24.24,1061,1092,268,317,512,515,549,577,11,11,NA,2298,3145,2246,0,20,11000,600,0,2,0,3,2,1,23,15,10,2,1,1,0,0,25,0
"79",3,"ISTMO",28,"TEHUANTEPEC",79,"Salina Cruz",136.28,76452,82371,19321,23127,36897,39508,39555,42863,4714,4153,40397,NA,86547,90831,0,0,22000,12900,664,683,656,0,0,0,0,0,0,0,0,0,1,1,19,0
"80",8,"VALLES CENTRALES",24,"EJUTLA",80,"San Agustin Amatengo",63.89,1796,1312,500,443,835,614,961,698,6,5,1077,NA,2477,NA,0,2960,0,0,0,1,2,50,57,54,556,578,599,50,51,47,0,1,13,0
"81",4,"MIXTECA",1,"SILACAYOAPAM",81,"San Agustin Atenango",68.59,2318,1914,546,530,1024,897,1294,1017,1096,959,753,2690,2176,1970,0,1680,0,300,2,1,0,9,9,10,23,23,45,3,3,3,1,1,19,0
"82",2,"COSTA",21,"JAMILTEPEC",82,"San Agustin Chayuco",172.68,4594,3952,920,946,2256,1846,2338,2106,1854,1729,1217,5130,3771,5537,0,0,0,0,0,2,1,20,20,20,204,174,181,17,15,15,1,1,24,0
"83",8,"VALLES CENTRALES",19,"CENTRO",83,"San Agustin de las Juntas",24.27,4970,8089,1109,1840,2404,3956,2566,4133,370,782,1304,3909,4061,NA,539557,3640,0,3825,5,6,0,20,11,10,225,128,105,17,10,8,1,0,21,0
"84",8,"VALLES CENTRALES",11,"ETLA",84,"San Agustin Etla",55.55,3206,3893,768,1046,1562,1844,1644,2049,66,61,1202,5097,2468,NA,95000,1535,20000,5900,5,4,4,13,0,0,134,0,0,11,0,0,1,1,23,0
"85",2,"COSTA",30,"POCHUTLA",85,"San Agustin Loxicha",321.72,22495,22565,4088,4368,11143,11108,11352,11457,17964,18059,3115,33485,37723,41531,0,19231,30000,500,57,121,75,80,80,80,624,750,706,52,60,56,1,1,14,0
"86",4,"MIXTECA",16,"TLAXIACO",86,"San Agustin Tlacotepec",48,751,874,257,300,337,368,414,506,563,546,2004,1743,2202,2305,0,19500,10000,21088,1,3,0,35,37,38,138,146,157,14,15,16,0,0,35,0
"87",8,"VALLES CENTRALES",19,"CENTRO",87,"San Agustin Yatareni",6.42,3400,4075,682,951,1548,1916,1852,2159,486,528,1817,5289,3964,NA,0,440,0,22000,3,0,1,10,10,7,72,103,54,6,8,4,1,0,21,0
"88",6,"SIERRA SUR",15,"PUTLA",88,"San Andres Cabecera Nueva",250.06,3100,2851,607,656,1506,1396,1594,1455,68,40,1468,4750,4548,1836,0,3320,0,1000,38,28,18,48,50,50,218,217,169,22,22,16,1,1,10,0
"89",4,"MIXTECA",2,"HUAJUAPAM",89,"San Andres Dinicuiti",98.34,2136,2152,484,597,1036,1034,1100,1118,53,49,893,2407,2712,2654,0,700,0,0,4,8,8,120,122,123,544,558,863,61,62,57,0,0,28,0
"90",2,"COSTA",21,"JAMILTEPEC",90,"San Andres Huaxpaltepec",91.41,5638,5867,1150,1416,2734,2850,2904,3017,1620,1585,1401,5964,7304,6722,0,0,0,39333,0,0,6,0,0,40,0,0,350,0,0,28,1,1,24,1
"91",8,"VALLES CENTRALES",19,"CENTRO",91,"San Andres Huayapam",28.12,3909,4879,935,1261,1854,2296,2055,2583,503,525,2062,7018,4256,3715,0,20250,19000,32680,0,0,0,28,26,17,233,249,135,18,21,9,1,1,21,0
"92",8,"VALLES CENTRALES",19,"CENTRO",92,"San Andres Ixtlahuaca",35.77,1377,1439,320,366,633,664,744,775,263,192,1239,3083,2376,2864,0,0,0,6150,0,0,1,98,118,28,746,1142,226,60,96,16,0,0,21,0
"93",4,"MIXTECA",9,"TEPOSCOLULA",93,"San Andres Lagunas",50.04,563,505,167,153,270,239,293,266,1,0,1055,1800,2030,2537,0,500,5000,0,0,0,0,60,60,30,200,263,140,20,25,9,0,1,21,0
"94",4,"MIXTECA",10,"NOCHIXTLAN",94,"San Andres Nuxino",63.77,2067,1898,431,504,1014,897,1053,1001,674,571,1068,3657,3716,4361,12900,600,20000,9453,1,2,3,202,201,122,1092,1357,1433,125,137,102,1,1,32,0
"95",6,"SIERRA SUR",26,"MIAHUATLAN",95,"San Andres Paxtlan",56.44,3723,3990,628,846,1833,1970,1890,2020,2668,2547,1475,6658,7076,6966,0,18900,5000,3000,0,0,10,2,3,0,25,36,0,2,3,0,1,0,32,0
"96",4,"MIXTECA",10,"NOCHIXTLAN",96,"San Andres Sinaxtla",26.53,677,772,185,197,322,364,355,408,24,23,NA,958,1437,2169,0,1100,5000,500,1,2,0,500,499,510,4018,4861,7671,480,493,531,1,0,32,0
"97",5,"SIERRA NORTE",13,"VILLA ALTA",97,"San Andres Solaga",40.44,1678,1740,470,483,807,833,871,907,1455,1504,748,3597,3287,2501,0,6400,0,0,0,0,0,46,46,46,248,255,258,21,19,18,0,0,25,0
"98",1,"CANADA",5,"CUICATLAN",98,"San Andres Teotilalpam",135.03,4295,4427,906,1031,2126,2106,2169,2321,2047,1960,1643,6803,6258,1921,0,300,0,0,0,0,1,22,30,28,116,176,178,12,16,15,1,1,20,0
"99",4,"MIXTECA",1,"SILACAYOAPAM",99,"San Andres Tepetlapa",14.88,548,475,126,121,259,225,289,250,2,2,1133,1855,1789,2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"100",5,"SIERRA NORTE",13,"VILLA ALTA",100,"San Andres Yaa",40.8,537,497,158,171,245,228,292,269,475,461,1334,2818,2474,1644,0,0,0,1500,0,0,0,28,28,28,151,151,165,13,11,12,0,0,25,0
"101",8,"VALLES CENTRALES",24,"EJUTLA",101,"San Andres Zabache",6.85,916,726,199,190,426,317,490,409,115,89,1406,3861,2073,2545,0,500,0,950,0,0,0,17,15,20,235,166,218,20,15,16,0,0,13,0
"102",8,"VALLES CENTRALES",11,"ETLA",102,"San Andres Zautla",72.88,3074,4405,697,1114,1502,2135,1572,2270,82,252,918,1936,NA,4283,196539,1185,4000,1860,0,1,0,25,29,22,251,332,237,19,27,17,1,1,23,0
"103",8,"VALLES CENTRALES",25,"OCOTLAN",103,"San Antonino Castillo Velasco",11.18,4809,5651,1144,1394,2304,2690,2505,2961,876,873,3649,8225,5423,7999,0,1200,1000,1000,2,0,3,39,25,13,341,258,124,27,21,9,1,0,20,1
"104",8,"VALLES CENTRALES",18,"ZIMATLAN",104,"San Antonino el Alto",105.4,1929,2508,392,597,947,1228,982,1280,508,1016,2379,4180,3690,4157,0,77508,60000,99038,8,0,0,143,122,109,1427,1290,1069,114,107,80,1,1,13,0
"105",4,"MIXTECA",9,"TEPOSCOLULA",105,"San Antonino Monte Verde",100.88,6200,6650,1253,1529,2919,3079,3281,3571,5155,5750,1378,5706,6154,6583,0,7370,0,5300,0,4,11,450,447,223,1985,1683,1045,203,153,67,1,1,21,0
"106",4,"MIXTECA",9,"TEPOSCOLULA",106,"San Antonio Acutla",16.47,339,297,94,91,149,126,190,171,5,1,630,1216,998,1541,0,40200,0,0,0,0,0,75,75,31,439,482,273,45,45,18,1,0,21,0
"107",8,"VALLES CENTRALES",19,"CENTRO",107,"San Antonio de la Cal",10.34,15261,21456,3270,5077,7295,10112,7966,11344,1425,1922,2786,5388,11302,991,0,210,1000,0,1,5,1,2,1,1,28,11,12,2,1,1,1,0,21,0
"108",8,"VALLES CENTRALES",17,"ZAACHILA",108,"San Antonio Huitepec",193.2,4315,4289,913,959,1964,2012,2351,2277,2403,1986,5832,6169,6610,6718,0,30450,81000,88650,1,5,1,206,197,102,1687,1904,837,128,158,57,1,1,6,0
