"","Party","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20"
"Isakson","(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Akaka","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+"
"Inouye","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","-","+","+","+"
"Craig","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Crapo","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Durbin","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Obama","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,"+",NA
"Bayh","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Lugar","(R)","-","+","-","-","-","+","+","-","-",NA,"+","+","+","+","-","+","-","-","+","-"
"Grassley","(R)","+","+","-","-","-","-","-","-","-","-","-","-","+","-","-","+","-","-","+","+"
"Harkin","(D)","+","+","+","+","+","+","+","+","+",NA,"+","+","+","+","+","+","+","+","+","+"
"Brownback","(R)","-","-","-","-",NA,"-",NA,"-","-","-","-","-","-","-","-","-","-","-","-","+"
"Roberts","(R)","-","+","-","-","-","-","-","-","-","-","-","-","+","-","-","+","-","-","-","+"
"Bunning","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+"
"McConnell","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+"
"Landrieu","(D)","-","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","-","+","-","+"
"Vitter","(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Collins","(R)","-","+","+","-","+","+","-","-","+","-","+","+","+","+","-","+","-","-","+","-"
"Snowe","(R)","-","+","+","-","+","+","-","-","+","-","+","+","+","+","-","+","-","-","+","+"
"Cardin","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Mikulski","(D)","-","+","+","+","+","+","+","+","+","+","+","+","+","-",NA,"+","-","+","+","+"
"Kennedy","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","-","-","+","-","+","+","+"
"Kerry","(D)","+","+","+","+","+","+","+","+","+",NA,"+","+","+","+","+","+","-","+","+","+"
"Levin","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Stabenow","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Coleman","(R)","-","+","+","-","+","+","-","-","-","-","+","+","+","-","-","+","-","-","+","+"
"Klobuchar","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Cochran","(R)","-","+",NA,"-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Lott","(R)","-","+","-","-","-","-","-","-","-",NA,"-","-","-","-","-","+","-","-","-","+"
"Bond","(R)",NA,"+",NA,"-","-","-","-","-","-","-","-","-","+","+","-","+","-","-","-","+"
"McCaskill","(D)","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","-","+","+","+","+"
"Baucus","(D)","+","+","+","+","+","-","-","+","+","+","-","+","+","+","+","+","-","+","+","+"
"Tester","(D)","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Hagel","(R)",NA,"+","+","-","+","-","+","-","+","-","-","-","-","-","-","+","-","-","-","-"
"Ensign","(R)","-","-",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Reid","(D)","+","+","+","+","-","+","+","+","-","+","+","+","+","+","+","+","+","-","+","+"
"Gregg","(R)","-","-","-","-","-","+","-","-","-",NA,"-","+","-","-","-","-","-","-","-","-"
"Sununu","(R)","-","+","-","-","-","+","-","-","-","-","-","-","+","-","-","-","-","-","-","-"
"Lautenberg","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","-"
"Menendez","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Bingaman","(D)","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Domenici","(R)","-","+","-","-","-","+","-","-","-","-","-","-","+","-","-","+","-","-","-","+"
"Clinton","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,"+",NA
"Schumer","(D)","+",NA,"+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Burr","(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dole","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Conrad","(D)","-","+","+","+","+","-","+","+","+","+","+","+","+","+","-","+","-","+","+","+"
"Dorgan","(D)","+","+","+","+","+","+","-","+","+",NA,"+","+","+","+","-","+","+","+","+","+"
"Brown","(D)","+","+","+","+","+",NA,"+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Voinovich","(R)","-","+","-","-","-","-","+","-","-","-","+","+","-","-","-","+","-",NA,"-","-"
"Coburn","(R)","-","-","-","-","-","-",NA,"-","-","-","-","-","-","-","-","-","-","-","-","+"
"Inhofe","(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Smith","(R)","-","+","+","+","+","+","-","-","+","-","-","+","+","-","-","+","-","-","+","+"
"Wyden","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Casey","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Specter","(R)","-","+","+","-","+","+","+","+","-","-","+","+","+","+","-","+","-","-","-","+"
"Reed","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-"
"Whitehouse","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-"
"DeMint","(R)","-","-","-","-","-",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Graham","(R)","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Johnson","(D)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","+","+","+","-","+","-","+","+","+"
"Thune","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","+","+"
"Alexander","(R)","-","+","-","-","-","-","-","-","-","-","-","-","+","-","-","+","-","-","-","+"
"Corker","(R)","-","+",NA,"-","-","-","-","-","-","-","-","-","+","-","-","+","-","-","-","+"
"Cornyn","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Hutchison","(R)","-","+","-","-","-","-","-","-","-","-","-","-","+","-","-","+","-","-","-","+"
"Bennett","(R)","-","+",NA,"-","-","-","-","-","-","-","+","-","-","-","-","+","-","-","-","-"
"Hatch","(R)","-","+","-","-","-","-","-","-","-","-","+","-","+","-","-","+","-","-","+","+"
"Leahy","(D)","-","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Sanders","(I)","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+","+","+","+"
"Warner","(R)","-","+","+","-","-","+","-","-","-","-","-","+","+",NA,"-","+","-","-","-","+"
"Webb","(D)","+","+","+","+","+","-","-","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Cantwell","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Murray","(D)","+","+","+","+","+","+","+","+","+",NA,"+","+","+","+","+","+","-","+","+","+"
"Byrd","(D)","+","+","+","+","+","-","-","+","+","+",NA,"+","+","+","-","+","+","+","+","+"
"Rockefeller","(D)","+","+","+","+","+",NA,"-","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Feingold","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+"
"Kohl","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+"
"Enzi","(R)","-","+","-","-","-","-",NA,"-","-","-","-","-","-","-","-","-","-","-","-","+"
