"","fishID","sl","fl","tl","wt"
"109",5,106,111,126,8.1
"110",5,62,65,72,1.5
"111",5,62,64,72,1.4
"112",5,45,47,56,0.9
"113",5,63,66,73,1.2
"114",5,56,59,69,2.1
"115",5,63,66,74,1.6
"116",5,60,63,72,1.5
"117",6,158,171,204,62.5
"118",6,170,183,214,111.7
"119",7,170,178,219,83.1
"120",7,53,56,67,2.1
"121",7,93,99,120,13.8
"122",7,89,97,116,13.5
"123",7,96,103,122,14.9
"124",7,55,59,70,2.6
"125",7,53,59,68,2.4
"126",7,94,99,120,14.2
"127",7,95,100,122,16.1
"128",7,153,162,198,44.1
"129",7,90,99,116,12.8
"130",7,82,93,107,11.3
"131",7,98,106,125,19.7
"132",7,97,104,127,15.6
"133",7,50,55,66,2.6
"134",7,45,52,60,1.8
"135",7,140,147,177,50
"136",7,184,195,237,118.7
"137",7,95,103,123,15.1
"138",7,93,103,120,16
"139",7,84,93,109,12.6
"140",7,87,94,113,14.1
"141",7,133,147,179,47
"142",7,49,53,62,2.1
"143",7,45,49,59,1.8
"144",7,46,50,60,1.9
"145",7,65,69,84,4.8
"146",7,102,114,133,23.3
"147",7,89,95,114,13.8
"148",7,90,98,117,15.2
"149",7,100,110,131,16.7
"150",7,97,104,123,17.7
"151",7,89,96,113,13.6
"152",7,97,107,125,16.6
"153",7,51,56,66,2.4
"154",7,49,54,64,2.1
"155",7,53,60,68,2.9
"156",7,51,57,66,2.7
"157",7,98,110,130,20.4
"158",7,45,51,56,1.7
"159",7,58,63,74,3.6
"160",7,60,65,76,4.6
"161",7,47,51,62,1.9
"162",7,85,94,110,12.5
"163",7,46,50,60,1.6
"164",7,62,65,80,4.8
"165",7,91,99,118,13.8
"166",7,94,102,121,17.9
"167",7,88,96,114,13.7
"168",7,56,60,72,2.6
"169",7,45,49,56,1.3
"170",7,92,101,120,14.3
"171",7,61,66,77,4.2
"172",7,61,67,77,4.4
"173",7,64,71,82,4.2
"174",7,62,71,82,4.9
"175",7,58,62,73,3.2
"176",7,57,64,75,3.8
"177",7,55,61,72,3.2
"178",7,53,58,68,2.9
"179",7,52,56,66,2.9
"180",8,121,130,148,20
"181",8,111,117,133,15.6
"182",8,113,119,136,13.7
"183",8,108,115,130,16.6
"184",8,113,120,139,2.7
"185",8,104,111,127,11
"186",8,91,99,109,8
"187",8,114,123,138,16.2
"188",8,128,137,156,20.7
"189",8,111,120,137,13.7
"190",8,122,132,148,20.1
"191",8,109,117,131,13.4
"192",8,118,126,143,14.9
"193",8,116,129,144,16
"194",8,122,130,148,18.2
"195",8,109,120,134,16.2
"196",8,99,105,120,13
"197",8,139,149,169,19.8
"198",8,130,139,158,23
"199",8,62,67,76,2.9
"200",8,108,118,133,14
"201",8,124,133,148,20.2
"202",8,103,113,125,12.6
"203",8,105,114,127,11.3
"204",8,92,99,109,8.1
"205",8,91,102,115,9.2
"206",8,113,123,136,17.6
"207",8,116,128,141,17
"208",8,110,125,138,18.2
"209",8,126,140,153,21.7
"210",8,112,123,139,17.8
"211",8,114,125,139,16.8
"212",8,100,109,121,11.4
"213",8,67,72,80,3
"214",8,118,130,147,19.2
"215",8,119,130,145,15.8
"216",8,124,137,152,19.7
"217",8,124,135,149,17.7
"218",8,116,125,139,15.7
"219",8,111,122,135,18
"220",8,58,63,72,2.3
"221",8,106,112,129,11
"222",8,63,70,78,2.8
"223",8,115,123,139,16.6
"224",8,71,77,86,4.1
"225",8,63,68,78,2.7
"226",8,115,127,142,18.4
"227",8,115,123,138,16.3
"228",8,60,66,74,2.2
"229",8,62,68,77,2.9
"230",8,117,129,143,13.8
"231",8,74,81,91,4.1
"232",8,71,77,87,4
"233",8,77,85,96,5.1
"234",8,119,129,146,15.9
"235",8,58,64,73,2.7
"236",8,73,81,93,5.2
"237",8,62,68,79,4.5
"238",8,71,79,88,4.1
"239",8,73,79,89,4.4
"240",8,62,67,76,2.5
"241",8,67,73,80,2.5
"242",8,57,64,70,2.3
"243",8,73,80,89,4.4
"244",8,79,87,96,5.4
"245",8,117,125,138,18.9
"246",8,127,136,155,21.3
"247",8,104,113,127,11.7
"248",9,105,114,132,20.1
"249",9,100,111,126,15.5
"250",9,102,111,127,15.3
"251",9,104,116,133,19.8
"252",9,106,117,137,21.3
"253",9,92,101,118,12
"254",9,118,127,148,22.8
"255",9,94,103,120,15.9
"256",9,78,84,99,8.4
"257",9,98,110,127,17
"258",9,111,121,139,19.7
"259",9,118,128,147,23.2
"260",9,75,81,93,7.9
"261",9,102,113,128,19.1
"262",9,121,131,150,30.1
"263",9,104,113,130,19.9
"264",9,92,103,122,15.1
"265",9,90,99,112,11.7
"266",9,101,112,127,17.3
"267",9,105,115,132,15.8
"268",9,78,87,99,7.9
"269",9,75,83,94,6.8
"270",9,90,99,114,12.6
"271",9,82,89,104,8.3
"272",9,99,110,128,19.2
"273",9,104,116,132,20.9
"274",9,75,84,95,6.8
"275",9,81,87,99,8.5
"276",9,73,79,91,7
"277",9,83,92,103,9.2
"278",9,95,106,123,16.3
"279",9,80,87,99,8.5
"280",9,115,122,143,25.1
"281",9,106,117,136,20.8
"282",9,79,85,99,8.4
"283",9,108,119,134,18.3
"284",9,80,88,100,7.7
"285",9,108,119,135,19.2
"286",9,115,127,145,20.5
"287",9,99,108,124,15.7
"288",9,114,123,140,22.7
"289",9,93,100,116,11.8
"290",9,77,85,97,6.9
"291",9,75,84,94,7.8
"292",9,79,88,101,8.9
"293",9,106,117,133,20.6
"294",9,108,121,138,22.6
"295",9,88,98,112,12.5
"296",9,110,121,139,22.3
"297",9,110,119,137,19.3
"298",9,71,80,92,6.4
"299",9,114,126,144,23.6
"300",9,100,109,126,15.7
"301",9,100,111,129,14.9
"302",10,127,139,160,39.8
