"","EXP","FDHO","FDAW","SHEL","TELE","CLOT","HEAL","ENT"
"55",31822,2600,0,10078,1725,224,6772,862
"56",13619,1140,346,2476,368,869,620,870
"57",34401,1820,255,6612,785,557,3760,655
"58",10281,1474,270,2528,527,397,1088,811
"59",32165,2734,308,6743,681,1623,2321,1629
"60",52226,6240,1092,19304,1440,809,1214,1822
"61",13941,273,24,12000,318,90,916,0
"62",40850,4435,2051,11003,1049,1308,115,4342
"63",15270,8073,366,847,247,106,1420,27
"64",21143,2314,748,4675,431,221,1312,1013
"65",26029,4043,555,7363,1176,866,724,1103
"66",10209,3900,0,1488,608,623,12,970
"67",10950,1235,534,3956,1506,209,1036,0
"68",19745,2405,740,4659,296,1052,3497,268
"69",54153,5200,1620,5863,605,2565,1005,6886
"70",33668,4160,1245,11600,597,1742,957,643
"71",7562,1378,276,150,292,382,1459,274
"72",34231,3975,1682,8292,1995,2835,3197,1509
"73",34219,3640,797,2700,750,1033,596,979
"74",25784,3510,748,3654,751,1546,3634,749
"75",52952,5406,6249,8489,637,4087,218,5567
"76",32959,852,3349,3822,1216,969,2999,1797
"77",17459,6890,471,850,1104,1613,1154,526
"78",25611,3345,645,2902,427,596,879,1980
"79",14998,3237,240,700,662,280,864,627
"80",36229,2600,955,7278,1319,1088,31,1339
"81",26485,3625,1900,2348,573,1143,2625,1177
"82",20563,2810,956,1360,364,550,6031,367
"83",41865,2925,375,10453,497,2108,1510,1461
"84",29821,2882,2747,3599,536,1942,3099,1374
"85",26792,2396,510,6822,327,1136,2017,1091
"86",42406,2960,1636,9600,630,1473,1873,3294
"87",20083,2821,2100,1434,642,505,4778,40
"88",10205,2043,135,3684,0,513,538,413
"89",31353,2917,232,6902,634,523,386,174
"90",33674,5469,927,8823,626,1589,1102,1912
"91",13523,2678,100,1847,225,54,4964,827
"92",51835,4025,1154,9068,2500,1839,1660,2573
"93",18136,2836,1665,1060,1411,1055,1353,444
"94",54736,3770,2167,11136,772,850,800,2882
"95",33499,2600,4657,4650,1613,2693,848,7090
"96",95389,6795,5843,20059,464,3186,552,9090
"97",44967,2726,2168,11861,1308,1002,3820,702
"98",67707,3581,5900,6573,682,2604,791,2140
"99",40879,5295,1842,9016,650,1629,2818,3232
"100",17729,3276,435,5280,324,1590,5,261
"101",15643,1934,1643,797,1527,604,690,380
"102",15648,4168,480,867,281,114,107,422
"103",19150,2535,255,7775,845,2084,2729,12
"104",9789,1898,50,1706,545,240,178,274
"105",27978,2340,2042,4742,706,737,881,817
"106",40469,6201,910,9361,869,244,2469,1800
"107",30696,3990,1613,7737,1141,1294,1336,929
"108",48195,3481,1649,6617,1230,1633,610,3590
"109",12817,1820,680,462,340,320,4459,431
"110",10527,3666,240,3375,159,593,74,0
"111",42946,2924,1670,4100,201,1503,1267,7115
"112",72281,4254,3240,6979,1576,2836,1599,1681
"113",13773,6125,20,3135,583,1304,0,205
"114",17189,3554,165,1400,178,1281,3346,842
"115",14340,4368,630,1440,718,935,0,887
"116",47962,5811,1260,1200,643,225,24,447
"117",29063,6266,300,8180,1745,2183,540,1708
"118",34477,777,137,1615,1543,52,2403,973
"119",84354,7193,2654,17243,564,4332,5708,10535
"120",37943,7215,1200,10874,1075,345,1703,350
"121",13584,1477,204,1783,265,1539,1022,526
"122",12184,3025,499,3000,420,2,1762,374
"123",49563,6500,1597,2342,605,628,2270,1275
"124",36263,962,576,16944,386,591,3677,3710
"125",18313,3716,515,3515,204,1225,644,1685
"126",25399,2004,841,4736,562,2049,4123,969
"127",50235,1399,2891,8960,545,444,3956,1456
"128",14230,1560,171,5165,0,323,897,461
"129",25617,1560,470,2233,705,670,1485,542
"130",18226,1871,1773,3578,346,965,1221,429
"131",31542,4462,1968,7778,1188,3760,400,796
"132",24262,3130,1412,1401,385,1652,817,2466
"133",17617,1366,357,7644,303,775,2641,431
"134",22068,2239,1228,3938,294,811,194,2497
"135",43534,3075,1590,9403,598,3055,1683,2002
"136",14574,1074,567,5490,432,651,155,563
"137",6471,2041,264,300,336,48,1381,42
"138",57500,4940,3822,12031,692,2921,1497,3294
"139",8535,2600,300,1874,360,115,548,24
"140",85065,8905,1480,15621,333,1741,7272,4365
"141",22749,4145,1446,5248,468,515,682,1313
"142",10481,1183,12,3850,970,232,NA,175
"143",42094,1074,1073,6650,538,548,3252,2198
"144",24436,1957,2024,7557,480,1651,1461,3550
"145",27975,4810,375,12128,2837,518,545,442
"146",28347,1422,301,6784,315,463,814,3864
"147",32929,5135,1733,5205,291,1476,879,1592
"148",20106,2860,1770,4400,30,300,1806,1371
"149",30992,3445,1002,6934,407,2100,1569,1352
"150",22202,4875,310,1707,378,340,3798,451
"151",17005,2132,75,8145,2110,573,481,492
"152",29900,4495,1005,8474,1387,2487,1332,877
"153",16871,2535,150,5100,660,133,566,788
"154",10790,2600,0,3071,287,35,2648,0
"155",38355,5785,930,5724,1080,2053,3690,1909
"156",10315,1885,645,1967,204,312,35,1423
"157",7782,1118,30,2970,212,69,1438,360
"158",16084,2197,395,3200,730,1481,1026,526
"159",11788,2457,420,2980,300,473,1336,828
"160",20005,3637,301,2528,794,451,2688,655
"161",70859,7663,2341,7796,495,1781,1705,4277
"162",21706,2405,422,6567,453,902,1490,1878
"163",11929,2174,200,3169,332,154,1950,345
"164",69816,7230,470,8767,941,970,3855,4218
"165",6351,2457,72,1569,840,130,35,311
"166",27217,2290,1805,5962,573,2114,1383,2235
"167",30178,3770,883,7133,857,1208,2428,1790
"168",10597,1950,161,2205,368,167,1697,156
"169",13715,2353,231,4100,345,29,3705,0
"170",13687,1768,792,5709,397,314,2025,522
"171",17116,3081,1115,997,321,1640,1930,978
"172",27426,3160,744,7849,385,747,1667,2075
"173",56579,3375,1485,11769,329,953,3381,1663
"174",31655,1365,875,6770,341,251,617,1057
"175",86577,4130,2096,4772,1371,3064,1881,9492
"176",27051,7969,626,9341,1471,2291,274,189
"177",10477,1066,0,2800,270,33,3512,0
"178",11178,1040,165,3488,272,492,1047,53
"179",49785,4393,3301,13221,346,1536,6544,6465
"180",12626,3809,140,386,271,879,126,684
"181",44817,8762,1010,7275,1895,1713,3647,2231
"182",15758,1157,150,2750,431,188,60,241
"183",21396,2015,2131,7365,710,373,890,1880
"184",5590,1612,75,2171,197,50,614,15
"185",40538,2661,1076,7622,225,5450,1041,1260
"186",38834,1300,275,1689,1192,110,1860,573
"187",32693,3731,999,1618,380,414,6992,699
"188",47330,7345,1302,8146,2625,2712,3891,2698
"189",17823,2509,19,5079,288,100,4309,375
"190",92957,7030,1736,18121,785,6983,6039,5198
"191",44439,6910,1080,5061,1227,1607,4177,4978
"192",27188,3935,2185,5011,692,931,1552,1509
"193",22972,3445,150,3326,566,426,484,633
"194",40020,5509,2274,5635,558,3428,2944,2471
"195",33067,2366,1284,5760,412,643,1841,1496
"196",24562,3412,498,6820,577,351,1903,779
"197",8408,1365,288,2310,346,33,464,0
"198",36088,3304,552,9161,815,5043,1157,3638
"199",8823,1456,105,6108,202,148,6,0
"200",8022,793,37,2834,289,89,848,98
"201",36395,2408,380,6319,597,398,1284,515
"202",14523,2280,1620,1354,348,214,1830,752
"203",49188,3685,3780,11214,761,4546,1755,2136
"204",19744,3432,162,2733,332,918,2756,600
"205",17536,845,1800,3475,366,396,3550,378
"206",32456,3036,632,5700,342,810,885,3909
"207",38400,4640,2598,7832,430,687,2967,2206
"208",6451,2327,30,2130,291,264,598,230
"209",31766,3197,550,9212,468,967,2042,1897
"210",24727,1265,2015,5171,675,2418,823,2219
"211",60013,4473,2897,6234,716,2023,636,5728
"212",15664,3744,555,679,1508,474,42,880
"213",17356,845,1779,7037,348,614,1550,115
"214",50482,6260,1365,29097,681,2184,2643,1024
"215",20752,3783,445,5700,353,711,37,2478
"216",28048,7709,477,10650,1133,1165,1269,299
"217",10932,1885,324,450,454,594,857,1764
"218",35337,2869,260,7127,464,1336,3407,1854
"219",18755,2091,210,7702,1430,571,0,432
"220",6572,2366,105,681,454,382,0,570
"221",16065,2300,245,5457,315,1006,4508,332
"222",67257,8073,2090,11787,673,1358,9693,6215
"223",36303,2499,880,10763,912,1809,2368,519
"224",14846,4498,375,2100,480,0,3181,154
"225",50468,6171,1253,10424,594,3703,9205,3667
"226",27237,2860,503,10085,477,480,2947,211
"227",7165,2119,561,1300,300,0,538,0
"228",38067,2148,2615,10601,896,1821,643,3180
"229",22040,1287,105,5400,321,359,180,879
"230",23794,2210,132,1500,0,90,0,76
"231",106032,8255,1701,30672,1809,2634,1880,1412
"232",19303,6045,1200,7050,85,1092,0,646
"233",63934,6564,2611,16873,1159,3820,3492,4006
"234",16818,1670,605,4570,305,1440,2622,482
"235",11621,2779,0,6372,378,3,0,0
"236",40566,4556,2020,8894,930,638,877,640
"237",14921,2886,345,3980,826,941,16,267
"238",15188,2556,471,735,772,628,804,314
"239",28087,457,4150,7559,597,1713,2635,487
"240",21026,884,1620,1789,1630,1259,1567,1121
"241",38907,5270,1940,9067,731,2298,2511,1952
"242",39727,2258,1739,8049,839,1678,923,1544
"243",49794,4420,2410,14352,428,1043,2689,2005
"244",49112,2994,1165,6255,563,835,10305,2849
"245",6886,1339,180,250,490,322,1040,307
"246",31674,3406,1913,8138,1949,256,1398,865
"247",25053,3185,2180,7100,420,1571,1765,1008
"248",23835,2464,2425,5372,492,1208,353,1443
"249",12160,3055,210,2112,557,1164,143,886
"250",45640,3605,1643,3164,1135,1701,6846,1813
"251",7898,637,0,2760,5,148,2737,0
"252",107065,4892,5380,12649,1150,3763,1772,8143
"253",58206,4402,930,7642,625,1735,1248,2974
"254",8270,1833,248,583,771,0,12,438
"255",69529,6617,3422,24938,690,3286,2189,5426
"256",25776,5085,369,6949,553,575,2824,726
"257",57742,1799,5349,9239,1386,474,1455,26879
"258",18456,4940,315,0,815,4623,951,617
"259",53523,2120,1778,15542,1605,2942,4090,2673
"260",27514,3055,285,12633,595,1792,1727,666
"261",14089,2275,645,4191,308,503,1105,55
"262",7291,1173,66,2087,286,119,291,426
"263",4727,767,0,1800,30,112,0,235
"264",7319,2210,0,2220,437,0,35,0
"265",22650,3939,1250,5890,1070,2020,2477,1522
"266",8462,2353,270,2149,476,65,543,412
"267",14980,2405,660,7680,283,616,172,338
"268",39085,4797,1625,8581,1088,1281,3165,1545
"269",13627,2808,485,2025,413,152,1337,1390
"270",14998,1404,60,5834,590,208,1636,297
"271",29686,3084,1417,8642,1203,673,372,522
"272",22750,3850,220,5677,2763,1624,516,157
"273",25487,8213,75,6325,325,3063,267,693
"274",40127,1775,317,10602,554,283,357,1540
"275",22844,2188,853,1803,1176,1458,1277,844
"276",7597,1027,495,4230,178,192,10,155
"277",19265,2688,700,6622,643,1066,1864,761
"278",14869,670,675,2400,435,334,520,1944
"279",33010,2899,1329,3332,395,1341,2186,2190
"280",74958,5525,410,1700,2200,1272,0,10675
"281",30320,8983,60,4969,404,122,3933,0
"282",16602,1690,240,3765,593,294,3277,1373
"283",36376,4456,1277,3548,1416,2598,1772,3285
"284",16467,4384,828,6500,836,363,1278,315
"285",26946,2678,510,5285,325,238,1999,731
"286",26870,6409,811,6041,398,1866,2144,910
"287",33433,4745,2025,8730,506,1291,350,4185
"288",61134,2613,1043,8709,538,1612,2098,1312
"289",20121,4420,485,5709,145,734,320,1214
"290",58389,4769,2990,10399,1701,2751,3647,5281
"291",61594,2795,4215,5898,832,1460,0,1919
"292",24150,3250,225,4225,618,1244,2558,1399
"293",32594,4524,1608,2661,289,403,3111,371
"294",20177,1542,1078,4625,595,1032,480,1001
"295",3133,637,0,0,194,0,415,0
"296",22330,6630,0,8400,1228,1575,0,35
"297",16905,1976,1140,339,378,160,1415,305
"298",25053,5239,1125,7577,343,307,305,1984
"299",10837,2626,84,2200,328,37,578,0
"300",20807,1313,138,168,0,121,30,86
"301",6647,2831,54,1999,32,179,149,12
"302",29696,1380,920,7800,1506,1427,1280,1425
"303",34457,8710,241,13262,460,189,242,500
"304",78286,5044,3449,6344,1572,2375,2535,3119
"305",21551,2548,830,5700,495,620,582,1828
"306",26533,1865,1490,3242,1302,2318,1954,1729
"307",52237,1235,418,15375,537,26,2072,2189
"308",58745,3637,3057,12294,904,3114,2715,5180
"309",19607,4030,450,1026,1726,286,917,1105
"310",25062,4160,700,3350,780,1050,829,1045
"311",23823,5180,1099,836,975,1375,2558,2478
"312",108756,4460,4668,28533,1252,5225,1280,6628
"313",12067,3835,315,1200,743,297,954,460
"314",28813,5395,420,10488,505,1020,200,1336
"315",17803,416,524,10800,496,224,2763,794
"316",35795,1068,1663,14208,428,2494,473,2371
"317",20860,4693,630,7800,998,999,294,529
"318",14307,2509,255,378,373,463,4120,259
"319",11991,3965,0,1034,774,433,160,0
"320",71409,9370,2577,5438,1821,3727,6017,1332
"321",74111,4605,2872,9212,601,2347,941,3277
"322",25916,2795,1230,4535,1119,2659,1416,2811
"323",25914,2329,637,6660,835,307,45,462
"324",14092,2132,0,8400,360,229,108,259
"325",24780,2675,1519,2851,648,651,2342,480
"326",43417,2244,2981,10040,623,1140,635,7420
"327",12767,1950,432,600,570,59,5056,159
"328",43919,6268,1510,8184,386,1507,3808,1985
"329",28205,2965,1259,4812,493,1689,1870,2895
"330",34075,2819,1335,11762,233,636,655,418
"331",68173,6110,3514,10059,425,6074,4088,5848
"332",28509,4555,1329,7151,859,610,5381,263
"333",78760,6836,780,30213,481,2225,1050,1890
"334",52329,4341,1275,12459,679,1452,2599,529
"335",31858,3110,2655,7093,340,1366,0,4120
"336",54088,4842,2236,17274,551,2922,651,3024
"337",6670,1625,0,920,297,102,1863,262
"338",29371,4095,1560,6595,944,2389,397,1424
"339",30066,3120,378,2358,1260,479,10607,1775
"340",16554,4370,218,1378,650,0,2702,2400
"341",13866,910,1308,4743,248,645,0,844
"342",13806,1239,255,4322,747,57,804,35
"343",40504,8840,494,5040,292,1400,1465,654
"344",49841,4498,1168,6014,1146,2159,1041,4127
"345",19729,4620,450,4278,1172,1763,100,1063
"346",30881,4030,675,7006,295,737,923,7515
"347",35484,3283,1100,2818,1951,1112,2794,1060
"348",11373,2535,20,3328,728,10,916,329
"349",10624,2089,81,250,319,70,3444,240
"350",7544,1261,141,2520,213,550,447,109
"351",49465,2447,1617,10055,929,1742,4124,2149
"352",12499,2951,291,1582,601,249,915,364
"353",18316,2964,336,4108,1622,810,1129,402
"354",27963,5746,1552,5570,319,1821,834,1994
"355",31601,3991,675,7500,1668,2418,528,2036
"356",52243,2697,3165,5988,1345,2348,1113,980
"357",48927,5137,1033,6547,697,1057,5630,950
"358",42339,5040,1130,2272,1610,558,3379,1384
"359",34707,4531,569,1295,990,937,820,1178
"360",13034,1306,330,5508,0,556,759,525
"361",9452,1781,926,3408,486,573,607,19
"362",69461,6864,639,8432,1461,2304,3570,6547
"363",64335,4361,5248,10963,420,535,346,2027
"364",9964,1365,84,1411,333,25,2432,450
"365",8993,1794,279,520,207,31,1268,40
"366",11217,1794,136,1421,388,872,1985,89
"367",116262,8810,2524,39680,1330,4284,2647,2726
"368",16693,2405,1019,3633,454,1274,29,499
"369",28622,1131,1551,5592,6602,1221,30,1457
"370",35251,2080,755,6988,687,322,747,2291
"371",8587,1143,367,3825,289,349,884,409
"372",28414,2458,675,9957,398,968,1265,1517
"373",15552,3730,375,1918,470,547,3301,257
"374",49460,8170,2583,5690,1044,1839,5,2190
"375",57721,4160,2451,14184,1258,1822,799,5127
"376",16398,1690,720,1550,367,1969,1510,473
"377",20597,3250,210,2290,717,376,2408,327
"378",28592,3525,401,3972,749,849,2869,717
"379",13795,2212,1,6558,1292,363,0,117
"380",19534,3910,1400,1399,249,398,3252,910
"381",37065,5890,750,6429,318,634,1367,909
"382",22847,4590,1208,7134,901,2056,NA,920
"383",10679,3419,75,5100,576,227,0,373
"384",37552,2600,4048,1698,340,1421,3457,2102
"385",63611,5205,1612,5992,1415,3350,4,2805
"386",12023,2405,36,763,270,80,5440,42
"387",19659,2298,737,6034,380,825,904,1350
"388",16040,3965,530,3251,624,894,70,632
"389",63519,5325,1733,7980,432,3037,3052,3811
"390",56897,2710,1029,4816,432,1697,462,2069
"391",55381,4804,16495,11266,602,1614,890,1018
"392",44055,4457,2515,9369,641,7017,2315,3260
"393",65130,7670,1375,4527,2659,8198,5198,3804
"394",8251,1391,0,660,195,128,1706,536
"395",4857,1599,0,918,291,0,555,288
"396",6225,4589,30,340,376,0,0,4
"397",74197,5716,1410,11327,580,2412,1958,4224
"398",20986,3510,910,5037,540,319,1010,3899
"399",47412,4785,2975,1826,839,1199,616,877
"400",35014,3900,639,4035,922,1375,4281,1233
"401",39263,3926,811,928,320,3823,1687,1887
"402",19486,1560,2370,2619,403,663,696,3200
"403",22648,1775,1040,4231,597,383,80,1020
"404",7826,2795,246,1827,421,894,0,372
"405",52697,7645,4048,9177,602,1367,3611,3118
"406",9196,1365,50,916,409,93,3717,259
"407",31890,2496,395,9921,712,1649,1219,2384
"408",8836,2756,0,686,645,25,543,314
"409",62723,8325,1880,7918,4890,2711,1933,3326
"410",60814,2548,1155,20455,594,1802,3406,3268
"411",42018,3445,3855,5769,982,1042,49,1415
"412",20671,3900,2319,3325,635,474,3379,113
"413",7444,1560,0,1634,316,0,1906,0
"414",21584,1950,1234,5259,1293,671,3123,440
"415",13213,2002,50,3114,342,178,1482,728
"416",23959,4355,0,4259,686,189,3072,502
"417",16394,2080,930,344,0,229,435,0
"418",21742,2288,480,6135,765,988,1142,415
"419",71587,7007,2619,16911,996,3288,2900,5788
"420",16866,3445,45,2000,356,396,2205,1899
"421",63788,3899,2724,14054,508,2832,1656,2834
"422",39375,2444,916,6916,2060,1632,3550,1340
"423",37087,3746,950,9972,676,1167,3699,3408
"424",9370,4212,105,3138,160,339,0,30
"425",37440,2600,1296,3150,1285,1125,4435,1085
"426",10666,4745,180,4260,320,74,0,13
"427",60304,5310,1371,8569,1398,3481,2203,18516
"428",34391,4745,255,7200,703,432,4678,1235
"429",55988,6395,3720,7061,1115,2559,3901,3207
"430",9921,2704,294,3100,333,155,193,60
"431",11709,312,0,8892,240,268,717,213
"432",69198,7344,3930,3694,539,10554,2639,6984
"433",49491,11114,1080,8103,762,4996,3854,3186
"434",39201,4566,775,9379,529,660,2644,4269
"435",10065,3068,105,4905,261,783,1,68
"436",32063,4442,953,7283,352,930,3266,1262
"437",10380,2080,150,3506,489,166,316,32
"438",18818,6110,1290,1425,832,685,3614,0
"439",35576,4835,1275,3780,1145,1399,5347,2354
"440",15695,810,1200,6000,288,0,2585,483
"441",30336,1687,2398,8202,667,441,3761,967
"442",74993,5801,3062,13925,1036,3354,1671,2484
"443",48089,4485,3703,7678,1974,1109,1217,2189
"444",24255,2413,330,1314,261,855,3983,992
"445",56063,7225,6151,6803,775,3571,2109,2828
"446",11932,3159,0,4350,389,222,10,0
"447",23251,2015,660,3293,664,734,133,369
"448",9537,1521,504,2370,244,131,2284,0
"449",7757,1820,0,1341,186,365,743,97
"450",67473,3328,440,9540,457,1552,175,34722
"451",44949,2444,1086,16832,667,934,4071,1283
"452",11842,3445,80,37,277,75,347,561
"453",12681,2054,0,4429,361,114,2593,508
"454",36156,5826,638,800,1262,922,1474,1322
"455",71957,5108,4122,25668,1373,3577,460,4699
"456",37576,1583,1565,4948,797,1747,487,1142
"457",36120,4355,2330,890,621,994,608,1167
"458",53232,8343,4191,8847,446,5831,916,2874
"459",6743,3211,6,1615,0,175,161,126
"460",36142,4497,0,6000,415,600,1021,1170
"461",62565,11584,1737,5424,1526,3249,7219,3347
"462",49525,5805,170,16721,1285,2313,2498,1298
"463",33161,5759,648,11678,349,616,7002,1030
"464",28272,1650,1125,10417,1051,378,0,610
"465",24179,2020,645,9554,1295,890,2158,2210
"466",15227,3933,1130,752,1354,125,1667,564
"467",46151,6344,1602,12454,922,3458,302,1790
"468",32764,2011,1005,1622,1097,301,564,1526
"469",32374,4586,2340,6610,1685,1379,264,50
"470",22462,3593,1520,1311,662,2928,420,2194
"471",9593,3575,770,1200,337,0,60,350
"472",9442,3055,105,3912,581,108,570,0
"473",13202,7144,120,1656,992,857,26,280
"474",24634,4030,962,5570,324,1116,2282,2061
"475",35284,2928,2361,3131,1604,438,3952,1181
"476",44800,5655,263,11659,939,1682,5851,1158
"477",11044,2093,111,1730,397,174,999,952
"478",45655,4953,3636,11605,1052,2455,588,1176
"479",5502,2379,0,1312,323,95,415,230
"480",18124,4134,845,1019,1241,767,2040,1738
"481",18007,2015,507,4184,607,633,618,888
"482",39303,5135,2040,8998,316,3374,150,1973
"483",14012,1859,78,4109,1304,56,0,716
"484",26558,3865,1547,4512,1305,1312,1270,1469
"485",10926,2470,60,960,240,522,1356,0
"486",25389,2753,735,1866,474,1002,1323,2325
"487",16447,3187,1430,4013,198,776,1240,592
"488",8720,2249,195,780,14,560,2258,0
"489",12977,2080,1125,877,296,851,0,723
"490",12942,1690,225,5080,324,78,0,676
"491",25020,4603,1262,2769,577,2102,1595,1605
"492",6430,1514,299,1061,536,86,814,313
"493",18919,3808,543,1390,350,1276,2586,1128
"494",24916,1385,560,4630,328,355,1221,2615
"495",55667,3458,1104,8561,599,1003,1106,598
"496",51081,4345,2535,12081,1531,4683,1000,4940
"497",99834,4052,6935,20775,620,15156,3879,12211
"498",31840,8912,810,7756,503,1359,2643,2631
"499",147498,5979,4248,59019,940,1503,5571,4351
"500",27913,2979,638,625,848,2936,1325,785
"501",40044,2349,1154,10526,574,859,2380,570
"502",24278,3484,510,5572,818,576,4512,756
"503",41614,995,770,9974,667,1111,3247,2535
"504",50038,4264,3335,11918,1759,2762,2000,3197
"505",54307,4684,1081,8686,911,1157,1712,2493
"506",27598,4436,535,5160,1141,545,2174,790
"507",18022,2119,183,2467,1470,735,3731,634
"508",34789,5935,1409,4143,881,1589,2756,1597
"509",24503,2730,150,8293,480,80,2925,467
"510",51856,5900,2175,12046,921,2827,2966,1369
"511",12160,1833,795,2400,261,1428,2394,612
"512",19107,1690,678,1154,897,2910,3135,293
"513",40845,3415,2769,7711,1712,2123,4027,4162
"514",46171,2301,1180,3020,300,850,1340,1270
"515",66460,3835,1260,4494,527,1958,1692,36185
"516",22241,2665,1130,3680,563,686,4967,302
"517",15245,1052,328,2286,262,80,1275,562
"518",10925,3510,30,42,0,0,1738,384
"519",17671,2214,980,5354,378,159,3850,744
"520",5666,650,0,2760,137,148,1553,0
"521",25305,2236,321,1669,348,888,3960,410
"522",9394,1820,240,4200,256,0,0,62
"523",20357,2353,419,4270,215,635,3744,755
"524",32948,6045,1281,12940,336,680,1595,912
"525",7942,793,195,2042,224,228,2783,81
"526",14555,1443,573,3835,646,102,3079,30
"527",24012,5236,1116,3770,555,2551,20,757
"528",25235,3200,810,5849,555,4169,1303,993
"529",17292,1768,57,4584,1005,1208,622,390
"530",81646,2714,1330,10371,270,1152,6250,2548
"531",46737,3765,1262,3540,752,2181,4785,1356
"532",15012,1950,525,1398,1802,228,2120,50
"533",49861,5565,1742,9750,1169,1861,1258,2937
"534",10012,2539,389,490,492,906,464,1401
"535",15076,2739,795,2945,102,205,70,623
"536",7693,3185,360,600,310,662,0,432
"537",18513,3259,128,4720,385,833,112,460
"538",46293,5066,3091,5696,522,2074,363,5190
"539",50770,5109,3662,12432,1887,1972,1995,3073
"540",36122,2205,508,3406,323,197,290,521
"541",25598,3133,975,10296,472,420,2486,3217
"542",8633,1454,658,2145,74,952,69,854
"543",15568,2350,435,3850,1512,733,151,793
"544",16954,3965,0,4380,631,329,4085,126
"545",47036,6013,5818,6836,2105,1780,5644,1835
"546",38076,1664,1285,2729,438,798,8530,101
"547",18458,3034,180,6614,519,454,2765,143
"548",8092,1795,90,172,410,308,2069,0
"549",38576,1622,777,9045,701,1336,1999,2683
"550",28692,2355,1700,3092,371,1400,2199,1817
"551",27211,1163,767,4800,588,2045,884,558
"552",37485,2142,2369,18396,750,1262,1294,2105
"553",15162,3518,670,789,480,90,1350,990
"554",32968,3445,190,12540,1232,352,1210,266
"555",55021,4185,1970,9676,1162,2346,5075,3907
"556",7060,1478,39,563,482,33,1407,13
"557",16714,1157,1455,3147,725,1585,844,2241
"558",34581,8200,2763,4573,997,1914,1674,3030
"559",14939,2015,959,2697,477,72,3603,43
"560",27056,1573,755,5115,345,322,4636,2970
"561",15090,4719,690,160,458,1369,2456,328
"562",56905,4681,1980,15212,1245,690,1669,1313
"563",29528,4862,1728,5431,783,1032,773,1902
"564",21282,2735,1365,3968,1952,329,1560,468
"565",39487,7220,1820,7559,810,1531,976,2873
"566",24239,5590,805,5232,507,1178,738,975
"567",35466,4005,1322,4600,1058,1631,2025,1513
"568",21982,5156,745,418,624,1018,673,1025
"569",10334,1814,181,2727,477,55,1086,680
"570",15133,1950,222,3116,384,161,1623,894
"571",41591,7319,1462,16379,1237,575,5200,956
"572",23260,2340,1992,1046,213,754,1449,2847
"573",12882,1690,300,9330,0,50,0,0
"574",32149,5720,850,2707,773,1787,2942,1702
"575",16219,5116,191,650,480,344,2851,451
"576",41605,3627,960,6202,504,1108,2482,2469
"577",8346,1209,0,1952,169,176,1276,3
"578",8549,1729,0,1948,353,486,250,208
"579",23818,4385,1556,2340,408,2088,1558,1812
