"","AREA","PERIMETER","COLUMBUS.","COLUMBUS.I","POLYID","NEIG","HOVAL","INC","CRIME","OPEN","PLUMB","DISCBD","X","Y","AREA","NSA","NSB","EW","CP","THOUS","NEIGNO","PERIM"
"1047",0.174823,2.335402,40,47,39,47,39.599998,18.476999,19.100863,0,0.314663,5.53,24.25,26.690001,6.402,0,0,0,0,1000,1047,2.335402
"1016",0.302908,2.285487,41,16,40,16,61.950001,29.833,16.241299,6.45131,0.132743,4.4,48.439999,27.93,8.772,0,0,1,0,1000,1016,2.285486
"1014",0.137024,1.525097,42,14,41,14,42.099998,22.207001,18.905146,0.293317,0.247036,5.33,51.240002,27.799999,4.632,0,0,1,0,1000,1014,1.525097
"1049",0.266541,2.176543,43,49,42,49,44.333,25.872999,16.49189,1.792993,0.134439,3.87,29.02,26.58,8.695,0,0,0,0,1000,1049,2.176543
"1029",0.060241,0.967793,44,29,43,29,25.700001,13.38,36.663612,0,0.589226,1.95,41.09,27.49,2.274,0,0,1,1,1000,1029,0.967793
"1025",0.173337,1.868044,45,25,44,25,33.5,16.961,25.962263,1.463993,0.329761,2.67,43.23,27.309999,6.305,0,0,1,0,1000,1025,1.868044
"1028",0.256431,2.193039,46,28,45,28,27.733,14.135,29.028488,1.006118,2.3912,2.13,39.32,25.85,8.785,0,0,1,1,1000,1028,2.193039
"1048",0.124728,1.841029,47,48,46,48,76.099998,18.323999,16.530533,9.683953,0.424628,5.27,25.469999,25.709999,3.822,0,0,0,0,1000,1048,1.841029
"1015",0.245249,2.079986,48,15,47,15,42.5,18.950001,27.822861,0,0.268817,5.57,50.889999,25.24,7.989,0,0,1,0,1000,1015,2.079986
"1027",0.069762,1.102032,49,27,48,27,26.799999,11.813,26.645266,4.884389,1.034807,2.33,41.209999,25.9,2.662,0,0,1,1,1000,1027,1.102032
"1026",0.205964,2.199169,50,26,49,26,35.799999,18.796,22.541491,0.259826,0.901442,3.03,42.669998,24.959999,7.005,0,0,1,0,1000,1026,2.199169
