"","r","t","nms"
"71",0.794,54,"Cardioid"
"72",0.75,60,"Cardioid"
"73",0.703,66,"Cardioid"
"74",0.655,72,"Cardioid"
"75",0.604,78,"Cardioid"
"76",0.552,84,"Cardioid"
"77",0.5,90,"Cardioid"
"78",0.448,96,"Cardioid"
"79",0.396,102,"Cardioid"
"80",0.345,108,"Cardioid"
"81",0.297,114,"Cardioid"
"82",0.25,120,"Cardioid"
"83",0.206,126,"Cardioid"
"84",0.165,132,"Cardioid"
"85",0.128,138,"Cardioid"
"86",0.095,144,"Cardioid"
"87",0.067,150,"Cardioid"
"88",0.043,156,"Cardioid"
"89",0.024,162,"Cardioid"
"90",0.011,168,"Cardioid"
"91",0.003,174,"Cardioid"
"92",0,180,"Cardioid"
"93",0.003,186,"Cardioid"
"94",0.011,192,"Cardioid"
"95",0.024,198,"Cardioid"
"96",0.043,204,"Cardioid"
"97",0.067,210,"Cardioid"
"98",0.095,216,"Cardioid"
"99",0.128,222,"Cardioid"
"100",0.165,228,"Cardioid"
"101",0.206,234,"Cardioid"
"102",0.25,240,"Cardioid"
"103",0.297,246,"Cardioid"
"104",0.345,252,"Cardioid"
"105",0.396,258,"Cardioid"
"106",0.448,264,"Cardioid"
"107",0.5,270,"Cardioid"
"108",0.552,276,"Cardioid"
"109",0.604,282,"Cardioid"
"110",0.655,288,"Cardioid"
"111",0.703,294,"Cardioid"
"112",0.75,300,"Cardioid"
"113",0.794,306,"Cardioid"
"114",0.835,312,"Cardioid"
"115",0.872,318,"Cardioid"
"116",0.905,324,"Cardioid"
"117",0.933,330,"Cardioid"
"118",0.957,336,"Cardioid"
"119",0.976,342,"Cardioid"
"120",0.989,348,"Cardioid"
"121",0.997,354,"Cardioid"
"122",1,360,"Cardioid"
"123",1,0,"Hypercardioid"
"124",0.996,6,"Hypercardioid"
"125",0.984,12,"Hypercardioid"
"126",0.963,18,"Hypercardioid"
"127",0.935,24,"Hypercardioid"
"128",0.9,30,"Hypercardioid"
"129",0.857,36,"Hypercardioid"
"130",0.807,42,"Hypercardioid"
"131",0.752,48,"Hypercardioid"
"132",0.691,54,"Hypercardioid"
"133",0.625,60,"Hypercardioid"
"134",0.555,66,"Hypercardioid"
"135",0.482,72,"Hypercardioid"
"136",0.406,78,"Hypercardioid"
"137",0.328,84,"Hypercardioid"
"138",0.25,90,"Hypercardioid"
"139",0.172,96,"Hypercardioid"
"140",0.094,102,"Hypercardioid"
"141",0.018,108,"Hypercardioid"
"142",0.055,114,"Hypercardioid"
"143",0.125,120,"Hypercardioid"
"144",0.191,126,"Hypercardioid"
"145",0.252,132,"Hypercardioid"
"146",0.307,138,"Hypercardioid"
"147",0.357,144,"Hypercardioid"
"148",0.4,150,"Hypercardioid"
"149",0.435,156,"Hypercardioid"
"150",0.463,162,"Hypercardioid"
"151",0.484,168,"Hypercardioid"
"152",0.496,174,"Hypercardioid"
"153",0.5,180,"Hypercardioid"
"154",0.496,186,"Hypercardioid"
"155",0.484,192,"Hypercardioid"
"156",0.463,198,"Hypercardioid"
"157",0.435,204,"Hypercardioid"
"158",0.4,210,"Hypercardioid"
"159",0.357,216,"Hypercardioid"
"160",0.307,222,"Hypercardioid"
"161",0.252,228,"Hypercardioid"
"162",0.191,234,"Hypercardioid"
"163",0.125,240,"Hypercardioid"
"164",0.055,246,"Hypercardioid"
"165",0.018,252,"Hypercardioid"
"166",0.094,258,"Hypercardioid"
"167",0.172,264,"Hypercardioid"
"168",0.25,270,"Hypercardioid"
"169",0.328,276,"Hypercardioid"
"170",0.406,282,"Hypercardioid"
"171",0.482,288,"Hypercardioid"
"172",0.555,294,"Hypercardioid"
"173",0.625,300,"Hypercardioid"
"174",0.691,306,"Hypercardioid"
"175",0.752,312,"Hypercardioid"
"176",0.807,318,"Hypercardioid"
"177",0.857,324,"Hypercardioid"
"178",0.9,330,"Hypercardioid"
"179",0.935,336,"Hypercardioid"
"180",0.963,342,"Hypercardioid"
"181",0.984,348,"Hypercardioid"
"182",0.996,354,"Hypercardioid"
"183",1,360,"Hypercardioid"
"184",1,0,"Subcardioid"
"185",0.998,6,"Subcardioid"
"186",0.993,12,"Subcardioid"
"187",0.985,18,"Subcardioid"
"188",0.974,24,"Subcardioid"
"189",0.96,30,"Subcardioid"
"190",0.943,36,"Subcardioid"
"191",0.923,42,"Subcardioid"
"192",0.901,48,"Subcardioid"
"193",0.876,54,"Subcardioid"
"194",0.85,60,"Subcardioid"
"195",0.822,66,"Subcardioid"
"196",0.793,72,"Subcardioid"
"197",0.762,78,"Subcardioid"
"198",0.731,84,"Subcardioid"
"199",0.7,90,"Subcardioid"
"200",0.669,96,"Subcardioid"
"201",0.638,102,"Subcardioid"
"202",0.607,108,"Subcardioid"
"203",0.578,114,"Subcardioid"
"204",0.55,120,"Subcardioid"
"205",0.524,126,"Subcardioid"
"206",0.499,132,"Subcardioid"
"207",0.477,138,"Subcardioid"
"208",0.457,144,"Subcardioid"
"209",0.44,150,"Subcardioid"
"210",0.426,156,"Subcardioid"
"211",0.415,162,"Subcardioid"
"212",0.407,168,"Subcardioid"
"213",0.402,174,"Subcardioid"
"214",0.4,180,"Subcardioid"
"215",0.402,186,"Subcardioid"
"216",0.407,192,"Subcardioid"
"217",0.415,198,"Subcardioid"
"218",0.426,204,"Subcardioid"
"219",0.44,210,"Subcardioid"
"220",0.457,216,"Subcardioid"
"221",0.477,222,"Subcardioid"
"222",0.499,228,"Subcardioid"
"223",0.524,234,"Subcardioid"
"224",0.55,240,"Subcardioid"
"225",0.578,246,"Subcardioid"
"226",0.607,252,"Subcardioid"
"227",0.638,258,"Subcardioid"
"228",0.669,264,"Subcardioid"
"229",0.7,270,"Subcardioid"
"230",0.731,276,"Subcardioid"
"231",0.762,282,"Subcardioid"
"232",0.793,288,"Subcardioid"
"233",0.822,294,"Subcardioid"
"234",0.85,300,"Subcardioid"
"235",0.876,306,"Subcardioid"
"236",0.901,312,"Subcardioid"
"237",0.923,318,"Subcardioid"
"238",0.943,324,"Subcardioid"
"239",0.96,330,"Subcardioid"
"240",0.974,336,"Subcardioid"
"241",0.985,342,"Subcardioid"
"242",0.993,348,"Subcardioid"
"243",0.998,354,"Subcardioid"
"244",1,360,"Subcardioid"
"245",1,0,"Supercardioid"
"246",0.997,6,"Supercardioid"
"247",0.986,12,"Supercardioid"
"248",0.969,18,"Supercardioid"
"249",0.946,24,"Supercardioid"
"250",0.916,30,"Supercardioid"
"251",0.88,36,"Supercardioid"
"252",0.838,42,"Supercardioid"
"253",0.792,48,"Supercardioid"
"254",0.74,54,"Supercardioid"
"255",0.685,60,"Supercardioid"
"256",0.626,66,"Supercardioid"
"257",0.565,72,"Supercardioid"
"258",0.501,78,"Supercardioid"
"259",0.436,84,"Supercardioid"
"260",0.37,90,"Supercardioid"
"261",0.304,96,"Supercardioid"
"262",0.239,102,"Supercardioid"
"263",0.175,108,"Supercardioid"
"264",0.114,114,"Supercardioid"
"265",0.055,120,"Supercardioid"
"266",0,126,"Supercardioid"
"267",0.052,132,"Supercardioid"
"268",0.098,138,"Supercardioid"
"269",0.14,144,"Supercardioid"
"270",0.176,150,"Supercardioid"
"271",0.206,156,"Supercardioid"
"272",0.229,162,"Supercardioid"
"273",0.246,168,"Supercardioid"
"274",0.257,174,"Supercardioid"
"275",0.26,180,"Supercardioid"
"276",0.257,186,"Supercardioid"
"277",0.246,192,"Supercardioid"
"278",0.229,198,"Supercardioid"
"279",0.206,204,"Supercardioid"
"280",0.176,210,"Supercardioid"
"281",0.14,216,"Supercardioid"
"282",0.098,222,"Supercardioid"
"283",0.052,228,"Supercardioid"
"284",0,234,"Supercardioid"
"285",0.055,240,"Supercardioid"
"286",0.114,246,"Supercardioid"
"287",0.175,252,"Supercardioid"
"288",0.239,258,"Supercardioid"
"289",0.304,264,"Supercardioid"
"290",0.37,270,"Supercardioid"
"291",0.436,276,"Supercardioid"
"292",0.501,282,"Supercardioid"
"293",0.565,288,"Supercardioid"
"294",0.626,294,"Supercardioid"
"295",0.685,300,"Supercardioid"
"296",0.74,306,"Supercardioid"
"297",0.792,312,"Supercardioid"
"298",0.838,318,"Supercardioid"
"299",0.88,324,"Supercardioid"
"300",0.916,330,"Supercardioid"
"301",0.946,336,"Supercardioid"
"302",0.969,342,"Supercardioid"
"303",0.986,348,"Supercardioid"
"304",0.997,354,"Supercardioid"
"305",1,360,"Supercardioid"
