"","PID","Pct","how","b","under","over","y","n"
"39","100059-VBM","100059","VBM",471,11,0,350,110
"40","100060-VBM","100060","VBM",622,20,0,418,184
"41","100061-VBM","100061","VBM",453,61,0,320,72
"42","100062-VBM","100062","VBM",303,9,0,220,74
"43","100063-VBM","100063","VBM",356,34,0,257,65
"44","100064-VBM","100064","VBM",241,6,0,161,74
"45","100065-VBM","100065","VBM",469,28,0,306,135
"46","100066-VBM","100066","VBM",201,7,0,128,66
"47","100067-VBM","100067","VBM",441,17,0,268,156
"48","100105-VBM","100105","VBM",153,6,0,74,73
"49","100118-VBM","100118","VBM",0,0,0,0,0
"50","100121-VBM","100121","VBM",88,3,0,59,26
"51","100122-VBM","100122","VBM",1,0,0,1,0
"52","100128-VBM","100128","VBM",32,0,0,25,7
"53","100129-VBM","100129","VBM",29,0,0,11,18
"54","100131-VBM","100131","VBM",85,3,0,55,27
"55","100132-VBM","100132","VBM",48,2,0,29,17
"56","100140-VBM","100140","VBM",136,5,0,80,51
"57","100141-VBM","100141","VBM",106,6,0,58,42
"58","100021-IP","100021","IP",498,54,0,341,103
"59","100022-IP","100022","IP",346,38,0,258,50
"60","100023-IP","100023","IP",240,41,0,162,37
"61","100024-IP","100024","IP",493,53,1,355,84
"62","100025-IP","100025","IP",375,45,0,252,78
"63","100026-IP","100026","IP",257,20,0,197,40
"64","100027-IP","100027","IP",325,31,0,254,40
"65","100028-IP","100028","IP",493,125,0,298,70
"66","100029-IP","100029","IP",485,53,0,350,82
"67","100030-IP","100030","IP",340,31,0,228,81
"68","100031-IP","100031","IP",451,54,0,316,81
"69","100032-IP","100032","IP",474,46,0,338,90
"70","100033-IP","100033","IP",403,23,0,311,69
"71","100034-IP","100034","IP",403,34,0,280,89
"72","100035-IP","100035","IP",471,52,0,323,96
"73","100036-IP","100036","IP",485,61,0,344,80
"74","100037-IP","100037","IP",396,24,0,285,87
"75","100038-IP","100038","IP",258,28,0,179,51
"76","100039-IP","100039","IP",455,43,0,344,68
"77","100040-IP","100040","IP",511,48,0,383,80
"78","100041-IP","100041","IP",560,111,0,368,81
"79","100042-IP","100042","IP",462,93,0,294,75
"80","100043-IP","100043","IP",490,40,0,369,81
"81","100044-IP","100044","IP",439,28,0,306,105
"82","100045-IP","100045","IP",319,26,0,210,83
"83","100046-IP","100046","IP",425,45,0,285,95
"84","100047-IP","100047","IP",398,19,0,313,66
"85","100048-IP","100048","IP",429,30,0,298,101
"86","100049-IP","100049","IP",650,25,0,467,158
"87","100050-IP","100050","IP",429,67,0,299,63
"88","100051-IP","100051","IP",443,40,0,280,123
"89","100052-IP","100052","IP",274,12,0,209,53
"90","100053-IP","100053","IP",433,66,0,256,111
"91","100054-IP","100054","IP",519,44,0,374,101
"92","100055-IP","100055","IP",361,16,0,266,79
"93","100056-IP","100056","IP",284,19,0,209,56
"94","100057-IP","100057","IP",326,23,0,248,55
"95","100058-IP","100058","IP",267,11,0,187,69
"96","100059-IP","100059","IP",339,8,0,224,107
"97","100060-IP","100060","IP",671,35,0,483,153
"98","100061-IP","100061","IP",564,89,0,381,94
"99","100062-IP","100062","IP",277,10,0,200,67
"100","100063-IP","100063","IP",409,45,0,294,70
"101","100064-IP","100064","IP",204,10,0,148,46
"102","100065-IP","100065","IP",538,46,0,385,107
"103","100066-IP","100066","IP",120,5,0,85,30
"104","100067-IP","100067","IP",311,7,0,203,101
"105","100105-IP","100105","IP",158,5,0,113,40
"106","100118-IP","100118","IP",0,0,0,0,0
"107","100121-IP","100121","IP",0,0,0,0,0
"108","100122-IP","100122","IP",0,0,0,0,0
"109","100128-IP","100128","IP",0,0,0,0,0
"110","100129-IP","100129","IP",0,0,0,0,0
"111","100131-IP","100131","IP",1,0,0,1,0
"112","100132-IP","100132","IP",0,0,0,0,0
"113","100140-IP","100140","IP",1,0,0,0,1
"114","100141-IP","100141","IP",1,0,0,1,0
