"","PID","strata","tot.votes","Yes","No"
"IB-3204","IB-3204","ST-IB",352,164,116
"IB-3207","IB-3207","ST-IB",374,221,97
"IB-3216","IB-3216","ST-IB",186,91,54
"IB-3301","IB-3301","ST-IB",245,115,94
"IB-3302","IB-3302","ST-IB",298,150,95
"IB-3304","IB-3304","ST-IB",257,112,105
"IB-3305","IB-3305","ST-IB",256,121,97
"IB-3306","IB-3306","ST-IB",196,97,73
"IB-3401","IB-3401","ST-IB",199,104,68
"IB-3402","IB-3402","ST-IB",230,132,74
"IB-3503","IB-3503","ST-IB",376,189,124
"IB-3600","IB-3600","ST-IB",311,137,115
"IB-3601","IB-3601","ST-IB",364,164,129
"IB-3602","IB-3602","ST-IB",191,81,67
"IB-3705","IB-3705","ST-IB",222,108,68
"IB-4001","IB-4001","ST-IB",520,274,184
"IB-4002","IB-4002","ST-IB",84,45,23
"IB-4003","IB-4003","ST-IB",21,9,11
"IB-4004","IB-4004","ST-IB",132,44,64
"IB-4005","IB-4005","ST-IB",362,174,147
"IB-4006","IB-4006","ST-IB",16,11,5
"IB-4007","IB-4007","ST-IB",391,188,157
"IB-4008","IB-4008","ST-IB",135,72,40
"IB-4009","IB-4009","ST-IB",181,87,72
"IB-4010","IB-4010","ST-IB",2,2,0
"IB-4011","IB-4011","ST-IB",496,204,174
"IB-4012","IB-4012","ST-IB",528,231,200
"IB-4013","IB-4013","ST-IB",359,168,122
"IB-4014","IB-4014","ST-IB",484,255,150
"IB-4015","IB-4015","ST-IB",422,197,158
"IB-4016","IB-4016","ST-IB",0,0,0
"IB-4017","IB-4017","ST-IB",119,57,44
"IB-4101","IB-4101","ST-IB",202,87,68
"IB-4103","IB-4103","ST-IB",292,153,86
"IB-4200","IB-4200","ST-IB",194,105,56
"IB-4302","IB-4302","ST-IB",252,125,82
"IB-4304","IB-4304","ST-IB",202,102,63
"IB-4400","IB-4400","ST-IB",372,188,114
"IB-4401","IB-4401","ST-IB",338,160,120
"IB-4501","IB-4501","ST-IB",348,171,124
"IB-4502","IB-4502","ST-IB",342,155,149
"IB-4503","IB-4503","ST-IB",254,137,84
"IB-4600","IB-4600","ST-IB",284,123,114
"IB-4601","IB-4601","ST-IB",294,139,96
"IB-4707","IB-4707","ST-IB",351,168,132
"IB-4708","IB-4708","ST-IB",251,105,104
"IB-4709","IB-4709","ST-IB",368,167,146
"IB-4800","IB-4800","ST-IB",144,63,61
"IB-4806","IB-4806","ST-IB",196,81,73
"IB-5001","IB-5001","ST-IB",365,151,163
"IB-5002","IB-5002","ST-IB",446,215,173
"IB-5101","IB-5101","ST-IB",287,125,128
"IB-5102","IB-5102","ST-IB",281,114,132
"IB-5103","IB-5103","ST-IB",325,144,143
"IB-5201","IB-5201","ST-IB",364,169,153
"IB-5202","IB-5202","ST-IB",211,109,66
"IB-5203","IB-5203","ST-IB",300,120,143
"IB-5204","IB-5204","ST-IB",233,101,100
"IB-5205","IB-5205","ST-IB",345,158,145
"IB-5206","IB-5206","ST-IB",287,129,113
"IB-5207","IB-5207","ST-IB",289,126,120
"IB-5208","IB-5208","ST-IB",301,137,131
"IB-5209","IB-5209","ST-IB",331,141,151
"IB-5211","IB-5211","ST-IB",304,147,117
"IB-5212","IB-5212","ST-IB",157,66,73
"IB-5213","IB-5213","ST-IB",291,135,116
"IB-5214","IB-5214","ST-IB",289,135,116
"IB-5215","IB-5215","ST-IB",344,149,148
"IB-5216","IB-5216","ST-IB",252,110,103
"IB-5217","IB-5217","ST-IB",302,150,111
"IB-5218","IB-5218","ST-IB",348,150,159
"IB-5219","IB-5219","ST-IB",185,99,62
"IB-5220","IB-5220","ST-IB",380,176,151
"IB-5221","IB-5221","ST-IB",309,148,112
"IB-5222","IB-5222","ST-IB",394,181,161
"IB-5223","IB-5223","ST-IB",365,166,148
"IB-5224","IB-5224","ST-IB",342,146,148
"IB-5225","IB-5225","ST-IB",179,88,72
"IB-5226","IB-5226","ST-IB",407,184,154
"IB-5227","IB-5227","ST-IB",280,150,88
"IB-5228","IB-5228","ST-IB",215,109,79
"IB-5300","IB-5300","ST-IB",169,82,61
"IB-5301","IB-5301","ST-IB",255,110,121
"IB-5303","IB-5303","ST-IB",299,147,109
"IB-5304","IB-5304","ST-IB",189,89,80
"D-3","D-3","ST-VBM",100,53,34
"D-4","D-4","ST-VBM",118,63,40
"D-6","D-6","ST-VBM",93,49,32
"D-7","D-7","ST-VBM",90,48,31
"D-9","D-9","ST-VBM",123,66,42
"D-10","D-10","ST-VBM",103,56,35
"D-11","D-11","ST-VBM",106,57,36
"D-12","D-12","ST-VBM",134,72,45
"D-13","D-13","ST-VBM",96,52,33
"D-14","D-14","ST-VBM",114,62,39
"D-15","D-15","ST-VBM",133,72,44
"D-16","D-16","ST-VBM",78,42,26
"D-17","D-17","ST-VBM",116,63,38
"D-18","D-18","ST-VBM",85,46,28
"D-19","D-19","ST-VBM",116,63,38
"D-20","D-20","ST-VBM",110,59,36
"D-21","D-21","ST-VBM",165,89,54
"D-22","D-22","ST-VBM",158,85,52
"D-23","D-23","ST-VBM",255,138,84
"D-24","D-24","ST-VBM",143,77,47
"D-25","D-25","ST-VBM",128,69,42
"D-26","D-26","ST-VBM",138,75,46
"D-27","D-27","ST-VBM",133,72,44
"D-28","D-28","ST-VBM",132,71,44
"D-29","D-29","ST-VBM",116,63,38
"D-30","D-30","ST-VBM",113,61,37
"D-31","D-31","ST-VBM",91,49,30
"D-32","D-32","ST-VBM",168,91,55
"D-33","D-33","ST-VBM",100,54,33
"D-34","D-34","ST-VBM",125,68,41
"D-35","D-35","ST-VBM",77,42,25
"D-36","D-36","ST-VBM",40,22,13
"D-37","D-37","ST-VBM",114,62,38
"D-38","D-38","ST-VBM",112,61,37
"D-39","D-39","ST-VBM",112,61,37
"D-40","D-40","ST-VBM",96,52,32
"D-41","D-41","ST-VBM",128,69,42
"D-42","D-42","ST-VBM",134,72,44
"D-43","D-43","ST-VBM",108,58,36
"D-44","D-44","ST-VBM",84,45,28
"D-45","D-45","ST-VBM",132,71,44
"D-46","D-46","ST-VBM",113,61,37
"D-47","D-47","ST-VBM",140,76,46
"D-48","D-48","ST-VBM",82,44,27
"D-49","D-49","ST-VBM",148,80,49
"D-50","D-50","ST-VBM",174,94,57
"D-51","D-51","ST-VBM",125,68,41
"D-52","D-52","ST-VBM",120,65,40
"D-53","D-53","ST-VBM",150,81,49
"D-54","D-54","ST-VBM",125,68,41
"D-55","D-55","ST-VBM",108,58,36
"D-56","D-56","ST-VBM",122,66,40
"D-57","D-57","ST-VBM",108,58,36
"D-58","D-58","ST-VBM",176,95,58
"D-59","D-59","ST-VBM",123,67,41
"D-60","D-60","ST-VBM",96,52,32
"D-61","D-61","ST-VBM",88,48,29
"D-62","D-62","ST-VBM",132,71,44
"D-63","D-63","ST-VBM",90,49,30
"D-64","D-64","ST-VBM",107,58,35
"D-65","D-65","ST-VBM",79,43,26
"D-66","D-66","ST-VBM",105,57,35
"D-67","D-67","ST-VBM",112,61,37
"D-68","D-68","ST-VBM",185,100,61
"D-69","D-69","ST-VBM",205,111,68
"D-71","D-71","ST-VBM",40,22,13
"D-72","D-72","ST-VBM",100,54,33
"D-73","D-73","ST-VBM",178,96,59
"D-75","D-75","ST-VBM",128,69,42
"D-76","D-76","ST-VBM",154,83,51
"D-77","D-77","ST-VBM",95,51,31
"D-78","D-78","ST-VBM",205,111,68
"D-79","D-79","ST-VBM",126,68,42
"D-80","D-80","ST-VBM",116,63,38
"D-81","D-81","ST-VBM",102,55,34
"D-82","D-82","ST-VBM",130,70,43
"D-83","D-83","ST-VBM",107,58,35
"D-84","D-84","ST-VBM",135,73,45
"D-85","D-85","ST-VBM",136,74,45
"D-86","D-86","ST-VBM",142,77,47
"D-87","D-87","ST-VBM",63,34,21
"D-88","D-88","ST-VBM",141,76,47
"D-89","D-89","ST-VBM",55,30,18
"D-90","D-90","ST-VBM",144,78,48
"D-91","D-91","ST-VBM",186,101,61
"D-92","D-92","ST-VBM",50,27,16
"D-93","D-93","ST-VBM",157,85,52
"D-94","D-94","ST-VBM",137,74,45
"D-95","D-95","ST-VBM",111,60,37
"D-96","D-96","ST-VBM",98,53,32
"D-97","D-97","ST-VBM",118,64,39
"D-98","D-98","ST-VBM",82,44,27
"D-99","D-99","ST-VBM",100,54,33
"D-100","D-100","ST-VBM",163,88,54
"D-101","D-101","ST-VBM",148,80,49
"D-102","D-102","ST-VBM",76,41,25
"D-103","D-103","ST-VBM",110,59,36
"D-104","D-104","ST-VBM",40,22,13
"D-105","D-105","ST-VBM",143,77,47
"D-106","D-106","ST-VBM",138,75,46
"D-107","D-107","ST-VBM",138,75,46
"D-108","D-108","ST-VBM",79,43,26
"D-109","D-109","ST-VBM",130,70,43
"D-110","D-110","ST-VBM",73,39,24
"D-111","D-111","ST-VBM",115,62,38
"D-112","D-112","ST-VBM",122,66,40
"D-113","D-113","ST-VBM",144,78,48
"D-114","D-114","ST-VBM",154,83,51
"D-115","D-115","ST-VBM",110,59,36
"D-116","D-116","ST-VBM",149,81,49
"D-117","D-117","ST-VBM",127,69,42
"D-118","D-118","ST-VBM",127,69,42
"D-119","D-119","ST-VBM",144,78,48
"D-120","D-120","ST-VBM",57,31,19
"D-121","D-121","ST-VBM",162,88,53
"D-122","D-122","ST-VBM",78,42,26
"D-123","D-123","ST-VBM",66,36,22
"D-124","D-124","ST-VBM",157,85,52
"D-125","D-125","ST-VBM",109,59,36
"D-126","D-126","ST-VBM",117,63,39
"D-128","D-128","ST-VBM",32,17,11
"D-130","D-130","ST-VBM",130,70,43
"D-131","D-131","ST-VBM",145,78,48
"D-132","D-132","ST-VBM",139,75,46
"D-133","D-133","ST-VBM",131,71,43
"D-134","D-134","ST-VBM",88,48,29
"D-135","D-135","ST-VBM",84,45,28
"D-136","D-136","ST-VBM",126,68,42
"D-137","D-137","ST-VBM",87,47,29
"D-138","D-138","ST-VBM",162,88,53
"D-139","D-139","ST-VBM",179,97,59
"D-140","D-140","ST-VBM",122,66,40
"D-141","D-141","ST-VBM",128,69,42
"D-142","D-142","ST-VBM",105,57,35
"D-143","D-143","ST-VBM",139,75,46
"D-144","D-144","ST-VBM",152,82,50
"D-145","D-145","ST-VBM",96,52,32
"D-146","D-146","ST-VBM",139,75,46
"D-147","D-147","ST-VBM",112,61,37
"D-148","D-148","ST-VBM",88,48,29
"D-149","D-149","ST-VBM",88,48,29
"D-150","D-150","ST-VBM",113,61,37
"D-152","D-152","ST-VBM",123,67,41
"D-153","D-153","ST-VBM",131,71,43
"D-154","D-154","ST-VBM",154,83,51
"D-155","D-155","ST-VBM",148,80,49
"D-156","D-156","ST-VBM",85,46,28
"D-157","D-157","ST-VBM",146,79,48
"D-158","D-158","ST-VBM",115,62,38
"D-159","D-159","ST-VBM",173,94,57
"D-160","D-160","ST-VBM",249,135,82
"D-161","D-161","ST-VBM",191,103,63
"D-162","D-162","ST-VBM",132,71,44
"D-163","D-163","ST-VBM",230,124,76
"D-164","D-164","ST-VBM",165,89,54
"D-165","D-165","ST-VBM",251,136,83
"D-166","D-166","ST-VBM",244,132,80
"D-167","D-167","ST-VBM",139,75,46
"D-168","D-168","ST-VBM",98,53,32
"D-169","D-169","ST-VBM",209,113,69
"D-170","D-170","ST-VBM",136,74,45
"D-171","D-171","ST-VBM",139,75,46
"D-172","D-172","ST-VBM",163,88,54
"D-173","D-173","ST-VBM",238,129,79
"D-174","D-174","ST-VBM",203,110,67
"D-175","D-175","ST-VBM",141,76,47
"D-176","D-176","ST-VBM",247,134,81
"D-177","D-177","ST-VBM",149,81,49
"D-179","D-179","ST-VBM",211,114,70
"D-180","D-180","ST-VBM",147,79,48
"D-181","D-181","ST-VBM",230,124,76
"D-182","D-182","ST-VBM",118,64,39
"D-183","D-183","ST-VBM",148,80,49
"D-184","D-184","ST-VBM",191,103,63
"D-185","D-185","ST-VBM",253,137,83
"D-186","D-186","ST-VBM",140,76,46
"D-187","D-187","ST-VBM",140,76,46
"D-188","D-188","ST-VBM",99,54,33
"D-189","D-189","ST-VBM",232,125,77
"D-190","D-190","ST-VBM",149,81,49
"D-191","D-191","ST-VBM",217,117,72
"D-192","D-192","ST-VBM",97,52,32
"D-193","D-193","ST-VBM",161,87,53
"D-194","D-194","ST-VBM",216,117,71
"D-195","D-195","ST-VBM",248,134,82
"D-196","D-196","ST-VBM",250,135,82
"D-197","D-197","ST-VBM",45,24,15
"D-198","D-198","ST-VBM",232,125,77
"D-199","D-199","ST-VBM",254,137,84
"D-200","D-200","ST-VBM",200,108,66
"D-201","D-201","ST-VBM",256,138,84
"D-202","D-202","ST-VBM",183,99,60
"D-203","D-203","ST-VBM",227,123,75
"D-205","D-205","ST-VBM",257,139,85
"D-207","D-207","ST-VBM",248,134,82
"D-208","D-208","ST-VBM",241,130,79
"D-209","D-209","ST-VBM",243,131,80
"D-210","D-210","ST-VBM",240,130,79
"D-211","D-211","ST-VBM",245,132,81
"D-212","D-212","ST-VBM",238,129,79
"D-213","D-213","ST-VBM",240,130,79
"D-214","D-214","ST-VBM",250,135,82
"D-215","D-215","ST-VBM",263,142,87
"D-216","D-216","ST-VBM",264,143,87
"D-217","D-217","ST-VBM",233,126,77
"D-218","D-218","ST-VBM",252,136,83
"D-219","D-219","ST-VBM",248,134,82
"D-220","D-220","ST-VBM",265,143,87
"D-221","D-221","ST-VBM",248,134,82
"D-222","D-222","ST-VBM",252,136,83
"D-223","D-223","ST-VBM",229,124,76
"D-224","D-224","ST-VBM",253,137,83
"D-225","D-225","ST-VBM",243,131,80
"D-226","D-226","ST-VBM",251,136,83
"D-227","D-227","ST-VBM",254,137,84
"D-228","D-228","ST-VBM",256,138,84
"D-229","D-229","ST-VBM",250,135,82
"D-231","D-231","ST-VBM",262,142,86
"D-232","D-232","ST-VBM",251,136,83
"D-233","D-233","ST-VBM",240,130,79
"D-234","D-234","ST-VBM",238,129,79
"D-235","D-235","ST-VBM",249,135,82
"D-236","D-236","ST-VBM",242,131,80
"D-237","D-237","ST-VBM",271,147,89
"D-238","D-238","ST-VBM",249,135,82
"D-239","D-239","ST-VBM",256,138,84
"D-240","D-240","ST-VBM",232,125,77
"D-241","D-241","ST-VBM",255,138,84
"D-242","D-242","ST-VBM",249,135,82
"D-243","D-243","ST-VBM",243,131,80
"D-244","D-244","ST-VBM",250,135,82
"D-245","D-245","ST-VBM",250,135,82
"D-246","D-246","ST-VBM",248,134,82
"D-247","D-247","ST-VBM",251,136,83
"D-248","D-248","ST-VBM",255,138,84
"D-249","D-249","ST-VBM",254,137,84
"D-250","D-250","ST-VBM",252,136,83
"D-251","D-251","ST-VBM",242,131,80
"D-252","D-252","ST-VBM",253,137,83
"D-253","D-253","ST-VBM",257,139,85
"D-254","D-254","ST-VBM",249,135,82
"D-255","D-255","ST-VBM",246,133,81
"D-256","D-256","ST-VBM",250,135,82
"D-257","D-257","ST-VBM",255,138,84
"D-258","D-258","ST-VBM",244,132,80
"D-259","D-259","ST-VBM",246,133,81
"D-260","D-260","ST-VBM",248,134,82
"D-261","D-261","ST-VBM",269,145,89
"D-262","D-262","ST-VBM",246,133,81
"D-263","D-263","ST-VBM",256,138,84
"D-264","D-264","ST-VBM",249,135,82
"D-265","D-265","ST-VBM",249,135,82
"D-266","D-266","ST-VBM",246,133,81
"D-267","D-267","ST-VBM",260,141,86
"D-268","D-268","ST-VBM",243,131,80
"D-269","D-269","ST-VBM",249,135,82
"D-270","D-270","ST-VBM",254,137,84
"D-271","D-271","ST-VBM",227,123,75
"D-272","D-272","ST-VBM",255,138,84
"D-273","D-273","ST-VBM",247,134,81
"D-274","D-274","ST-VBM",247,134,81
"D-275","D-275","ST-VBM",244,132,80
"D-276","D-276","ST-VBM",235,127,78
"D-277","D-277","ST-VBM",254,137,84
"D-278","D-278","ST-VBM",252,136,83
"D-279","D-279","ST-VBM",248,134,82
"D-280","D-280","ST-VBM",250,135,82
"D-281","D-281","ST-VBM",262,142,86
"D-282","D-282","ST-VBM",249,135,82
"D-283","D-283","ST-VBM",261,141,86
"D-284","D-284","ST-VBM",251,136,83
"D-285","D-285","ST-VBM",263,142,87
"D-286","D-286","ST-VBM",258,139,85
"D-287","D-287","ST-VBM",252,136,83
"D-288","D-288","ST-VBM",250,135,82
"D-289","D-289","ST-VBM",256,138,84
"D-290","D-290","ST-VBM",251,136,83
"D-291","D-291","ST-VBM",248,134,82
"D-292","D-292","ST-VBM",249,135,82
"D-293","D-293","ST-VBM",248,134,82
"D-294","D-294","ST-VBM",252,136,83
"D-295","D-295","ST-VBM",253,137,83
"D-296","D-296","ST-VBM",249,135,82
"D-297","D-297","ST-VBM",253,137,83
"D-298","D-298","ST-VBM",247,134,81
"D-299","D-299","ST-VBM",250,135,82
"D-300","D-300","ST-VBM",256,138,84
"D-301","D-301","ST-VBM",245,132,81
"D-302","D-302","ST-VBM",249,135,82
"D-303","D-303","ST-VBM",253,137,83
"D-304","D-304","ST-VBM",260,141,86
"D-305","D-305","ST-VBM",251,136,83
"D-306","D-306","ST-VBM",251,136,83
"D-307","D-307","ST-VBM",251,136,83
"D-308","D-308","ST-VBM",248,134,82
"D-309","D-309","ST-VBM",250,135,82
"D-310","D-310","ST-VBM",252,136,83
"D-311","D-311","ST-VBM",247,134,81
"D-312","D-312","ST-VBM",251,136,83
"D-313","D-313","ST-VBM",254,137,84
"D-314","D-314","ST-VBM",254,137,84
"D-315","D-315","ST-VBM",251,136,83
"D-316","D-316","ST-VBM",253,137,83
"D-317","D-317","ST-VBM",246,133,81
"D-318","D-318","ST-VBM",249,135,82
"D-319","D-319","ST-VBM",249,135,82
"D-320","D-320","ST-VBM",255,138,84
"D-321","D-321","ST-VBM",255,138,84
"D-322","D-322","ST-VBM",244,132,80
"D-323","D-323","ST-VBM",250,135,82
"D-324","D-324","ST-VBM",255,138,84
"D-325","D-325","ST-VBM",251,136,83
"D-326","D-326","ST-VBM",250,135,82
"D-327","D-327","ST-VBM",251,136,83
"D-328","D-328","ST-VBM",255,138,84
"D-329","D-329","ST-VBM",248,134,82
"D-330","D-330","ST-VBM",258,139,85
"D-331","D-331","ST-VBM",252,136,83
"D-332","D-332","ST-VBM",268,145,88
"D-333","D-333","ST-VBM",250,135,82
"D-334","D-334","ST-VBM",248,134,82
"D-335","D-335","ST-VBM",247,134,81
"D-336","D-336","ST-VBM",250,135,82
"D-337","D-337","ST-VBM",249,135,82
"D-338","D-338","ST-VBM",252,136,83
"D-339","D-339","ST-VBM",248,134,82
"D-340","D-340","ST-VBM",252,136,83
"D-341","D-341","ST-VBM",241,130,79
"D-342","D-342","ST-VBM",240,130,79
"D-343","D-343","ST-VBM",235,127,78
"D-344","D-344","ST-VBM",256,138,84
"D-345","D-345","ST-VBM",247,134,81
"D-346","D-346","ST-VBM",252,136,83
"D-347","D-347","ST-VBM",241,130,79
"D-348","D-348","ST-VBM",255,138,84
"D-349","D-349","ST-VBM",255,138,84
"D-350","D-350","ST-VBM",245,132,81
"D-351","D-351","ST-VBM",259,140,85
"D-352","D-352","ST-VBM",261,141,86
"D-353","D-353","ST-VBM",254,137,84
"D-354","D-354","ST-VBM",249,135,82
"D-355","D-355","ST-VBM",255,138,84
"D-356","D-356","ST-VBM",244,132,80
"D-357","D-357","ST-VBM",243,131,80
"D-358","D-358","ST-VBM",252,136,83
"D-359","D-359","ST-VBM",271,147,89
"D-360","D-360","ST-VBM",253,137,83
"D-361","D-361","ST-VBM",241,130,79
"D-362","D-362","ST-VBM",258,139,85
"D-364","D-364","ST-VBM",243,131,80
"D-365","D-365","ST-VBM",271,147,89
"D-366","D-366","ST-VBM",255,138,84
"D-367","D-367","ST-VBM",249,135,82
"D-368","D-368","ST-VBM",261,141,86
"D-369","D-369","ST-VBM",253,137,83
