"","PID","r","tot.votes","leopold","danner"
"1032 VBM","1032 VBM",80,62,25,17
"1033 PCT","1033 PCT",188,0,0,0
"1033 VBM","1033 VBM",188,170,53,87
"1035 PCT","1035 PCT",664,329,155,129
"1035 VBM","1035 VBM",664,265,91,141
"1036 PCT","1036 PCT",245,0,0,0
"1036 VBM","1036 VBM",245,227,96,101
"1037 PCT","1037 PCT",1844,799,286,308
"1037 VBM","1037 VBM",1844,758,261,309
"1039 PCT","1039 PCT",985,448,205,183
"1039 VBM","1039 VBM",985,446,189,197
"1040 PCT","1040 PCT",19,0,0,0
"1040 VBM","1040 VBM",19,16,2,9
"1041 PCT","1041 PCT",710,345,190,87
"1041 VBM","1041 VBM",710,227,108,62
"1042 PCT","1042 PCT",7,0,0,0
"1042 VBM","1042 VBM",7,7,3,4
"1043 PCT","1043 PCT",1,0,0,0
"1043 VBM","1043 VBM",1,1,0,1
"1044 PCT","1044 PCT",0,0,0,0
"1044 VBM","1044 VBM",0,0,0,0
"1045 PCT","1045 PCT",423,126,45,52
"1045 VBM","1045 VBM",423,212,66,125
"1046 PCT","1046 PCT",13,0,0,0
"1046 VBM","1046 VBM",13,10,5,4
"1047 PCT","1047 PCT",6,0,0,0
"1047 VBM","1047 VBM",6,5,3,2
"1048 PCT","1048 PCT",535,168,61,78
"1048 VBM","1048 VBM",535,316,96,172
"1049 PCT","1049 PCT",503,254,103,111
"1049 VBM","1049 VBM",503,188,75,87
"1050 PCT","1050 PCT",628,186,73,80
"1050 VBM","1050 VBM",628,342,98,183
"1051 PCT","1051 PCT",15,0,0,0
"1051 VBM","1051 VBM",15,11,5,5
"1052 PCT","1052 PCT",98,0,0,0
"1052 VBM","1052 VBM",98,87,30,41
"1053 PCT","1053 PCT",20,0,0,0
"1053 VBM","1053 VBM",20,18,10,4
"1054 PCT","1054 PCT",9,0,0,0
"1054 VBM","1054 VBM",9,9,5,3
"1055 PCT","1055 PCT",11,0,0,0
"1055 VBM","1055 VBM",11,9,1,7
"1056 PCT","1056 PCT",80,0,0,0
"1056 VBM","1056 VBM",80,71,38,18
"1057 PCT","1057 PCT",223,0,0,0
"1057 VBM","1057 VBM",223,199,97,70
"1058 PCT","1058 PCT",37,0,0,0
"1058 VBM","1058 VBM",37,36,13,18
"1059 PCT","1059 PCT",37,0,0,0
"1059 VBM","1059 VBM",37,33,8,16
"1060 PCT","1060 PCT",736,322,142,105
"1060 VBM","1060 VBM",736,331,147,138
"1061 PCT","1061 PCT",549,235,111,79
"1061 VBM","1061 VBM",549,228,95,96
"1062 PCT","1062 PCT",749,340,172,121
"1062 VBM","1062 VBM",749,318,139,121
"1063 PCT","1063 PCT",1,0,0,0
"1063 VBM","1063 VBM",1,1,0,1
"1064 PCT","1064 PCT",88,0,0,0
"1064 VBM","1064 VBM",88,83,25,36
"1065 PCT","1065 PCT",26,0,0,0
"1065 VBM","1065 VBM",26,25,4,14
"1066 PCT","1066 PCT",39,0,0,0
"1066 VBM","1066 VBM",39,33,13,13
"1067 PCT","1067 PCT",4,0,0,0
"1067 VBM","1067 VBM",4,3,1,0
"1068 PCT","1068 PCT",299,0,0,0
"1068 VBM","1068 VBM",299,251,102,100
"1069 PCT","1069 PCT",5,0,0,0
"1069 VBM","1069 VBM",5,5,0,3
"1070 PCT","1070 PCT",111,0,0,0
"1070 VBM","1070 VBM",111,95,47,32
"1071 PCT","1071 PCT",17,0,0,0
"1071 VBM","1071 VBM",17,14,6,5
"1072 PCT","1072 PCT",111,0,0,0
"1072 VBM","1072 VBM",111,93,51,28
"1073 PCT","1073 PCT",28,0,0,0
"1073 VBM","1073 VBM",28,20,11,3
"1074 PCT","1074 PCT",7,0,0,0
"1074 VBM","1074 VBM",7,5,2,2
"1075 PCT","1075 PCT",58,0,0,0
"1075 VBM","1075 VBM",58,51,23,20
"1076 PCT","1076 PCT",35,0,0,0
"1076 VBM","1076 VBM",35,32,17,12
"1077 PCT","1077 PCT",54,0,0,0
"1077 VBM","1077 VBM",54,49,22,19
"1078 PCT","1078 PCT",189,0,0,0
"1078 VBM","1078 VBM",189,175,62,82
"1079 PCT","1079 PCT",8,0,0,0
"1079 VBM","1079 VBM",8,7,3,1
"1101 PCT","1101 PCT",1548,721,312,275
"1101 VBM","1101 VBM",1548,644,240,305
"1113 PCT","1113 PCT",741,252,93,95
"1113 VBM","1113 VBM",741,393,112,203
"1201 PCT","1201 PCT",304,0,0,0
"1201 VBM","1201 VBM",304,234,99,99
"1202 PCT","1202 PCT",389,0,0,0
"1202 VBM","1202 VBM",389,344,147,132
"1208 PCT","1208 PCT",189,0,0,0
"1208 VBM","1208 VBM",189,150,64,63
