"","bird.spp","x","y","jan.temp","jul.temp","rng.temp","ann.ppt","min.elev","rng.elev","max.slope"
"25031",113,212911,58108,-12,21,23.2,371,1351,959,12
"25138",104,148627,473738,-3,25,22.9,429,167,502,6
"25139",131,151428,446708,-6,22,22.2,608,375,739,8
"25140",155,154203,419691,-8,21,20.8,745,531,893,10
"25141",156,156953,392687,-10,17,20.5,762,1037,589,10
"25142",158,159677,365694,-14,15,20.6,881,1283,839,12
"25143",150,162375,338714,-16,15,21.1,686,1283,1060,11
"25144",153,165048,311744,-14,17,22.1,731,1229,788,9
"25145",154,167697,284784,-16,16,22.9,727,1392,958,13
"25146",156,170320,257833,-13,19,23.6,380,1080,822,10
"25147",134,172918,230892,-9,21,23.9,275,980,578,9
"25148",115,175492,203958,-9,21,23.5,298,1031,686,7
"25149",109,178041,177033,-9,21,23.1,363,1093,569,6
"25150",110,180565,150114,-10,19,23,564,1223,668,14
"25151",110,183065,123201,-9,20,23.2,498,1214,611,14
"25152",109,185541,96294,-7,20,23.3,245,1221,368,7
"25153",106,187993,69393,-10,20,23,441,1255,746,6
"25154",114,190421,42496,-14,19,22.9,524,1474,1024,14
"25260",100,126212,457927,-3,23,22.2,356,198,412,3
"25261",108,129010,430913,-2,23,21,450,305,427,4
"25262",151,131782,403911,-9,21,20.3,715,532,1070,10
"25263",158,134528,376922,-12,17,20.3,688,938,807,9
"25264",153,137248,349944,-14,17,20.5,748,993,1175,12
"25265",157,139943,322977,-15,17,20.9,592,1051,1204,13
"25266",158,142612,296020,-17,18,21.8,822,989,1555,16
"25267",158,145255,269074,-15,17,22.8,568,1315,876,8
"25268",155,147873,242136,-11,20,23.3,364,1109,837,8
"25269",136,150466,215207,-9,20,23,328,1133,626,7
"25270",125,153035,188285,-9,19,22.5,277,1208,528,7
"25271",113,155578,161371,-10,19,22.5,501,1245,620,9
"25272",121,158096,134463,-12,19,22.2,693,1273,913,18
"25273",127,160590,107562,-17,20,22.1,546,1232,1635,21
"25274",118,163060,80665,-9,20,22.2,257,1226,886,16
"25275",109,165504,53774,-9,21,22.7,447,1243,692,12
"25381",94,103797,442121,-2,22,21.6,359,159,450,3
"25382",101,106592,415122,-5,21,20.6,646,488,570,5
"25383",152,109360,388135,-10,18,20.1,733,850,849,7
"25384",156,112102,361161,-8,19,20.2,456,737,720,13
"25385",155,114818,334197,-11,18,20.4,549,915,888,11
"25386",157,117508,307244,-11,19,20.7,451,861,961,9
"25387",159,120172,280301,-15,17,21.4,524,1103,1200,15
"25388",158,122810,253367,-11,16,22.3,574,1389,523,6
"25389",152,125423,226442,-11,19,22.6,369,1274,669,8
"25390",139,128011,199525,-4,19,22.4,265,1238,99,2
"25391",132,130573,172616,-4,19,22.1,244,1226,115,2
"25392",132,133110,145713,-7,19,22.1,361,1263,379,8
"25393",142,135622,118817,-12,19,21.8,695,1275,876,11
"25394",120,138109,91925,-11,19,21.7,521,1385,888,16
"25395",112,140572,65039,-10,20,21.8,312,1229,795,12
"25396",112,143009,38158,-14,22,22.2,277,1261,1299,17
"25500",104,78562,453316,0,24,21.9,245,92,214,2
"25501",95,81380,426319,-3,22,20.9,373,242,610,6
"25502",119,84171,399336,-10,20,20,721,585,979,9
"25503",154,86936,372364,-10,19,19.9,605,748,921,8
"25504",154,89673,345404,-8,20,20.4,416,610,785,10
"25505",152,92385,318455,-10,18,20.2,422,806,900,10
"25506",158,95070,291515,-13,19,20.5,537,799,1285,16
"25507",157,97729,264586,-11,16,20.7,641,1260,683,7
"25508",156,100362,237665,-11,17,21.3,474,1342,552,6
"25509",146,102969,210752,-7,19,21.7,323,1276,412,5
"25510",128,105551,183847,-5,19,22,246,1226,212,2
"25511",125,108107,156950,-6,19,21.9,331,1226,358,6
"25512",107,110637,130058,-7,18,21.5,323,1419,261,2
"25513",109,113142,103173,-6,19,21.5,355,1385,323,7
"25514",105,115622,76292,-5,19,21.4,316,1379,334,4
"25515",107,118078,49416,-9,19,21.1,232,1424,700,8
"25619",102,56148,437503,0,24,21.1,250,136,345,2
"25620",98,58962,410522,-2,22,20.3,345,305,519,4
"25621",128,61749,383554,-7,20,20.1,590,616,733,5
"25622",152,64509,356597,-8,21,20.1,472,556,878,10
"25623",149,67242,329652,-9,21,19.8,468,569,1078,17
"25624",157,69948,302716,-11,20,19.7,489,692,1322,16
"25625",154,72628,275791,-9,19,19.7,660,960,841,9
"25626",154,75282,248874,-11,16,19.7,647,1285,794,9
"25627",148,77909,221966,-8,17,20.2,310,1300,537,7
"25628",119,80510,195066,-5,19,20.8,248,1257,227,3
"25629",118,83085,168173,-4,19,21.3,292,1257,261,4
"25630",95,85635,141287,-5,18,20.9,307,1405,255,4
"25631",104,88159,114407,-5,19,20.9,276,1336,300,6
"25632",98,90657,87532,-9,19,20.9,281,1403,656,8
"25633",106,93129,60662,-9,18,20.9,265,1525,701,9
"25634",105,95576,33796,-7,18,21,280,1551,401,8
"25737",98,33732,421696,-1,24,20.6,277,185,492,4
"25738",95,36541,394730,-3,22,20.3,368,436,536,6
"25739",140,39324,367777,-8,20,20,503,723,799,8
"25740",147,42079,340835,-8,21,19.9,494,488,1016,12
"25741",149,44807,313904,-10,17,19.4,686,981,848,11
"25742",152,47508,286982,-12,16,19.1,474,1159,773,11
"25743",148,50183,260070,-7,17,19.3,603,1132,429,5
"25744",143,52830,233167,-7,16,19.5,463,1281,411,4
"25745",124,55452,206272,-6,17,19.8,274,1302,316,4
"25746",108,58046,179384,-8,18,20.4,283,1312,625,7
"25747",109,60615,152503,-5,18,20.4,279,1336,342,7
"25748",86,63157,125628,-5,19,20.2,267,1342,357,7
"25749",147,65674,98759,-9,19,20.6,318,1336,863,15
"25750",142,68165,71895,-11,20,20.5,311,1348,1025,21
"25751",140,70629,45035,-7,20,20.9,303,1360,689,12
"25853",102,8480,432855,0,24,20.5,264,122,386,6
"25854",96,11313,405893,-2,24,20.4,319,184,747,10
"25855",102,14119,378943,-5,23,20.2,368,321,809,9
"25856",131,16896,352005,-7,22,19.9,333,432,886,11
"25857",144,19647,325077,-7,21,19.6,454,489,938,11
"25858",154,22369,298160,-12,17,18.8,581,986,1029,11
"25859",154,25065,271253,-8,17,18.8,329,1042,673,6
"25860",141,27733,244354,-8,16,19,318,1167,619,7
"25861",118,30375,217463,-7,17,19.3,293,1278,439,7
"25862",113,32989,190581,-8,17,19.6,283,1377,442,8
"25863",112,35577,163705,-5,18,19.9,252,1319,299,5
"25864",116,38139,136836,-7,19,20,274,1298,613,10
"25865",131,40674,109973,-5,19,20,310,1293,415,10
"25866",164,43183,83114,-7,19,20.3,304,1354,639,12
"25867",166,45666,56261,-8,20,20.7,294,1346,727,17
"25868",161,48122,29412,-9,20,21.2,381,1366,766,14
"25969",97,-13936,417041,-3,23,20.4,294,124,608,11
"25970",101,-11107,390095,-3,23,20.2,307,270,552,12
"25971",118,-8307,363161,-6,22,19.9,341,364,887,15
"25972",127,-5534,336238,-6,22,19.5,397,488,871,9
"25973",153,-2790,309324,-10,17,18.7,534,939,895,11
"25974",152,-73,282421,-11,17,18.5,413,972,1066,10
"25975",145,2617,255527,-9,17,18.4,296,1037,800,8
"25976",118,5279,228642,-8,16,18.5,301,1366,510,7
"25977",113,7914,201764,-6,16,19,268,1366,264,3
"25978",112,10522,174894,-4,18,19.4,267,1305,166,2
"25979",88,13103,148030,-5,18,19.7,272,1305,400,4
"25980",125,15657,121173,-4,19,19.7,290,1293,399,8
"25981",146,18184,94321,-8,20,19.9,439,1293,780,18
"25982",162,20685,67474,-11,19,20.5,520,1356,1026,16
"25983",161,23160,40631,-12,19,20.7,749,1427,1051,14
"26083",116,-39206,428175,-4,23,19.9,358,54,705,9
"26084",121,-36354,401233,-6,23,19.8,306,183,784,13
"26085",116,-33530,374303,-5,21,19.6,339,306,800,12
"26086",119,-30735,347384,-5,21,19.4,325,426,642,7
"26087",133,-27968,320475,-8,20,18.9,394,605,1006,6
"26088",150,-25230,293576,-8,18,18.7,337,884,776,10
"26089",140,-22519,266687,-7,18,18.5,267,915,638,7
"26090",127,-19836,239807,-8,17,18.3,261,1099,657,8
"26091",149,-17180,212934,-8,15,18.7,298,1403,404,5
"26092",120,-14552,186069,-5,17,18.8,301,1323,296,3
"26093",120,-11952,159212,-5,18,19.1,391,1305,404,7
"26094",149,-9378,132360,-5,19,19.6,312,1257,521,10
"26095",163,-6832,105514,-10,19,19.7,375,1257,1057,12
"26096",164,-4312,78673,-9,19,19.7,509,1407,714,11
"26097",161,-1820,51836,-9,19,20.6,453,1427,872,10
"26197",136,-61622,412357,-8,21,19,503,186,1157,8
"26198",146,-58775,385430,-6,21,18.7,466,281,685,10
"26199",138,-55957,358515,-7,21,18.6,311,305,981,16
"26200",136,-53167,331611,-2,21,18.5,282,438,490,6
"26201",131,-50407,304717,-8,20,18.4,265,568,833,8
"26202",130,-47674,277833,-6,19,18.4,272,840,626,8
"26203",135,-44970,250958,-6,18,18.1,373,1006,495,7
"26204",150,-42293,224091,-11,15,18.2,384,1292,923,8
"26205",158,-39645,197231,-7,16,18.7,295,1305,435,5
"26206",143,-37024,170379,-6,17,18.7,333,1299,356,6
"26207",161,-34431,143533,-8,19,18.9,545,1276,801,17
"26208",178,-31866,116693,-9,19,19.2,772,1257,978,18
"26209",157,-29327,89859,-12,17,19.1,763,1426,1016,11
"26210",159,-26816,63029,-10,17,19,618,1392,804,10
"26211",159,-24332,36203,-7,18,20,542,1501,494,8
"26309",132,-86911,423466,-10,19,17.5,2210,156,1394,13
"26310",135,-84041,396544,-25,15,17,913,760,2346,24
"26311",135,-81199,369633,-11,16,16.8,661,703,966,9
"26312",134,-78387,342733,-9,20,17,541,562,1006,8
"26313",149,-75603,315844,-6,21,17.3,363,526,931,14
"26314",151,-72849,288965,-5,19,17.8,277,743,597,6
"26315",162,-70123,262095,-9,19,18,442,958,972,11
"26316",152,-67425,235233,-12,16,17.8,634,1229,1063,9
"26317",150,-64756,208379,-12,16,18.1,361,1306,947,9
"26318",156,-62115,181533,-10,16,18.6,381,1312,825,7
"26319",156,-59502,154693,-8,17,18.7,552,1312,674,6
"26320",167,-56917,127859,-10,16,18.8,686,1482,877,8
"26321",164,-54360,101031,-8,18,19.3,640,1361,663,7
"26322",159,-51830,74207,-8,19,19.4,503,1319,745,8
"26323",159,-49328,47388,-6,19,19.7,460,1278,602,5
"26421",124,-109348,407643,-20,17,15.3,1996,307,1777,21
"26422",128,-106475,380736,-9,15,15.4,1599,561,900,18
"26423",128,-103632,353841,-13,14,15.3,2221,687,1272,14
"26424",132,-100821,326957,-18,17,15.9,2133,731,2187,21
"26425",137,-98044,300082,-12,16,16.7,1160,854,1205,15
"26426",139,-95296,273217,-20,17,17,1929,999,1992,18
"26427",151,-92577,246361,-16,15,17.4,1016,1336,1235,15
"26428",152,-89887,219513,-9,15,17.8,559,1281,559,9
"26429",149,-87225,192672,-6,16,18.1,646,1305,465,9
"26430",146,-84592,165838,-8,15,18,680,1498,452,8
"26431",171,-81987,139011,-11,17,18.1,713,1379,985,9
"26432",155,-79410,112189,-7,17,18.6,627,1403,591,8
"26433",159,-76861,85372,-5,19,19.5,473,1312,469,6
"26434",158,-74340,58560,-8,19,20.2,416,1272,611,9
"26435",158,-71847,31752,-7,20,20.3,331,1240,662,12
"26531",117,-134694,418727,-5,19,14.8,2072,48,1048,13
"26532",113,-131798,391825,-8,19,15,1873,130,1211,16
"26533",110,-128931,364935,-9,17,15,2130,377,1106,19
"26534",115,-126094,338055,-9,16,15,2216,427,1100,18
"26535",117,-123287,311186,-10,16,15.6,2212,558,1205,16
"26536",121,-120509,284326,-12,18,16.6,2474,495,1436,18
"26537",122,-117761,257475,-14,17,16.8,1909,626,1387,17
"26538",143,-115042,230632,-13,15,16.7,1193,967,1210,15
"26539",155,-112354,203798,-12,15,17.1,916,1324,905,12
"26540",149,-109700,176970,-9,15,17.4,776,1375,790,15
"26541",147,-107075,150149,-4,17,17.3,982,1365,396,6
"26542",172,-104479,123333,-4,17,17.4,687,1391,317,6
"26543",160,-101910,96523,-7,18,18.5,492,1267,635,11
"26544",170,-99371,69718,-10,19,20.5,442,1263,864,13
"26545",174,-96859,42917,-8,20,21.1,367,1238,629,13
"26640",113,-160063,429797,1,19,14.8,1253,15,223,4
"26641",109,-157141,402900,1,19,14.9,1401,51,361,4
"26642",109,-154250,376014,-7,19,14.9,2216,61,1175,16
"26643",105,-151390,349140,-7,18,14.7,2272,244,1077,15
"26644",105,-148559,322275,-8,17,14.6,2202,330,1015,18
"26645",107,-145759,295421,-8,17,14.7,2244,278,1189,15
"26646",109,-142988,268575,-9,19,16.4,2090,307,1163,18
"26647",111,-140247,241738,-9,17,15.9,1577,488,1143,17
"26648",128,-137536,214910,-12,17,15.7,1713,521,1615,19
"26649",134,-134854,188088,-13,16,16.2,1547,809,1611,18
"26650",130,-132201,161273,-11,16,16.3,1370,1208,1167,12
"26651",133,-129577,134464,-8,17,16.3,1630,1461,1091,11
"26652",175,-126982,107661,-9,18,17,887,1263,883,12
"26653",179,-124418,80862,-12,19,18.9,869,1263,1070,16
"26654",175,-121888,54068,-11,20,20.6,422,1161,1179,17
"26747",107,-188432,467758,-2,18,14.3,1250,23,544,6
"26748",115,-185454,440853,-1,18,14.9,1062,8,565,6
"26749",111,-182507,413960,1,18,15,1093,48,264,5
"26750",106,-179592,387079,1,19,14.9,1215,30,286,5
"26751",112,-176707,360209,-2,19,14.8,1668,40,631,6
"26752",117,-173853,333350,-6,19,14.7,1946,92,1073,11
"26753",112,-171030,306501,-5,19,14.4,1816,122,1058,12
"26754",110,-168236,279661,-6,18,14.6,1863,244,973,13
"26755",112,-165473,252830,-7,18,15.1,1599,246,1094,11
"26756",109,-162740,226007,-7,18,14.7,1485,244,1186,14
"26757",114,-160037,199192,-9,18,14.8,1384,506,1242,17
"26758",116,-157363,172383,-7,20,15.6,1428,427,1328,17
"26759",116,-154718,145581,-7,19,16.2,1391,808,1080,15
"26760",128,-152103,118784,-7,19,16.8,1437,676,1403,17
"26761",137,-149517,91993,-15,19,17.2,1375,796,1713,18
"26762",146,-146960,65206,-12,19,18.3,1083,926,1332,10
"26763",149,-144432,38423,-8,21,19.4,534,880,871,9
"26854",104,-213871,478793,-1,17,13,1611,0,550,7
"26855",105,-210867,451893,-2,18,14,1449,84,596,6
"26856",114,-207896,425005,-2,19,15.2,1243,31,626,8
"26857",113,-204955,398129,0,19,14.6,1107,24,370,6
"26858",113,-202046,371265,1,19,14.4,1106,27,275,5
"26859",116,-199169,344411,2,19,14.4,1144,44,251,6
"26860",117,-196321,317567,1,19,14.3,1221,61,292,5
"26861",117,-193505,290733,-3,19,14.6,1385,83,803,11
"26862",119,-190719,263908,-3,19,14.4,1266,122,734,11
"26863",116,-187964,237091,-6,18,14.2,1453,168,974,11
"26864",111,-185239,210282,-9,17,14.1,1749,329,1298,16
"26865",113,-182544,183480,-7,20,14.7,1547,320,1082,15
"26866",115,-179878,156684,-6,21,15.7,1306,434,1144,14
"26867",122,-177243,129894,-6,21,16.6,1430,431,1293,13
"26868",135,-174637,103110,-5,22,17.1,1025,430,1039,11
"26869",144,-172060,76330,-7,22,17.5,886,443,1093,13
"26870",147,-169513,49554,-9,20,17.7,767,549,1317,16
"26960",106,-239333,489814,-3,16,11,2899,0,810,11
"26961",101,-236304,462918,-4,15,11.8,3283,122,728,8
"26962",104,-233307,436035,-5,17,12.6,2633,140,866,12
"26963",107,-230341,409164,-4,18,13.2,2178,105,776,10
"26964",114,-227408,382305,-2,18,13.9,1307,30,670,8
"26965",121,-224505,355456,-3,18,13.5,1241,57,658,8
"26966",117,-221635,328618,-1,18,14.1,1115,57,474,6
"26967",119,-218795,301790,2,18,13.8,1173,61,355,6
"26968",122,-215986,274971,-1,19,14.2,1142,86,244,10
"26969",121,-213208,248160,1,19,14.1,1224,112,357,5
"26970",117,-210461,221357,-3,19,14,1485,124,788,9
"26971",116,-207744,194561,-5,19,14.2,1483,183,1033,13
"26972",122,-205058,167773,-6,19,14.9,1595,203,1176,15
"26973",122,-202401,140990,-5,21,15.6,1205,245,1023,11
"26974",129,-199775,114213,-5,21,16.4,1149,492,824,11
"26975",145,-197178,87440,-1,22,17.2,598,362,625,9
"26976",140,-194611,60672,-7,22,17.6,874,397,1378,14
"26977",139,-192074,33907,-12,22,17.9,1137,772,1363,15
"27066",105,-261764,473928,-3,15,10.5,3287,2,710,10
"27067",105,-258740,447050,-3,15,10.6,3721,0,812,12
"27068",106,-255750,420184,-3,15,9.9,3290,0,830,10
"27069",104,-252791,393330,-4,15,11.2,2528,56,838,11
"27070",108,-249864,366487,-5,16,12,2998,122,912,13
"27071",112,-246969,339655,-4,17,11.6,1926,61,856,12
"27072",113,-244106,312832,-5,18,11.8,1976,79,979,14
"27073",113,-241274,286019,-3,17,12.5,1583,122,811,11
"27074",118,-238473,259214,0,18,13.2,1407,110,494,9
"27075",112,-235704,232418,1,19,14,1373,61,419,6
"27076",115,-232965,205629,0,19,14.1,1028,63,554,7
"27077",119,-230257,178847,1,20,14.7,937,122,598,10
"27078",121,-227579,152071,-1,20,15.1,923,183,655,10
"27079",126,-224932,125301,-6,20,15.5,1224,244,1134,13
"27080",135,-222315,98536,-7,21,16.9,1026,309,1180,14
"27081",136,-219728,71775,-4,21,17.5,765,305,917,14
"27082",137,-217172,45019,-10,21,17.7,1250,447,1482,16
"27175",106,-272326,350676,0,16,9.9,2248,0,599,9
"27176",105,-269438,323859,1,15,8.3,2309,0,530,8
"27177",104,-266583,297052,-1,16,9.6,2443,8,755,11
"27178",106,-263759,270254,0,17,11.3,2314,61,511,9
"27179",109,-260967,243464,-1,18,12.3,1789,61,667,9
"27180",116,-258206,216682,0,19,13.1,1682,51,575,9
"27181",117,-255476,189907,0,19,13.3,1572,109,638,10
"27182",116,-252777,163138,-2,20,14.2,1122,183,702,11
"27183",122,-250109,136375,-4,20,15,1052,240,849,11
"27184",129,-247471,109617,-4,21,16,962,256,867,14
"27185",133,-244864,82865,-5,22,16.9,983,249,966,13
"27186",135,-242287,56116,-11,21,16.6,1404,427,1502,16
"27282",112,-286251,254496,2,17,11,2344,1,409,7
"27283",114,-283467,227720,2,18,10.9,2245,0,461,6
"27284",107,-280715,200952,0,17,10.1,2110,13,585,7
"27285",112,-277994,174190,-1,18,11.3,2081,30,744,9
"27286",114,-275305,147435,-3,20,13.6,2397,41,934,13
"27287",125,-272646,120685,-5,20,13.8,2724,140,1048,15
"27288",125,-270019,93939,-6,20,14.7,1809,203,1221,18
"27289",127,-267422,67198,-6,19,14.5,1156,297,1106,16
"27290",128,-264856,40461,-6,20,14.5,2266,427,1085,12
"27387",117,-303232,185228,4,16,8.5,1680,0,244,6
"27388",114,-300520,158480,3,19,11.1,1635,30,406,7
"27389",116,-297841,131737,-2,19,12.3,2338,61,870,15
"27390",122,-295193,105000,-4,20,12.3,2561,62,1097,16
"27391",121,-292575,78267,-4,20,11.7,1266,94,1104,16
"27392",121,-289989,51537,-4,17,9.5,2235,61,1261,14
"27490",121,-323055,142775,1,18,11.1,2075,0,673,8
"27491",117,-320386,116045,-1,19,11.6,2255,2,737,9
"27492",121,-317748,89320,-1,18,10.6,3355,0,1008,11
"27493",119,-315142,62599,0,17,8.2,2517,0,906,13
