"","id","enter","exit","event","birthdate","sex","parish","ses","immigrant"
"1503",52,50,70.883,0,1812.843,"female","1","lower","yes"
"1530",53,50,69.714,1,1816.378,"male","1","lower","yes"
"1557",54,50,54.366,0,1819.628,"female","1","lower","yes"
"1578",55,50,50.552,0,1797.273,"female","1","lower","no"
"1579",56,50,80,0,1801.043,"male","1","lower","no"
"1634",57,50,80,0,1790.825,"male","1","lower","yes"
"1673",58,50,62.987,1,1798.486,"female","1","lower","no"
"1688",59,50,56.679,1,1798.034,"female","1","upper","no"
"1695",60,50,68.35,1,1787.546,"male","1","lower","yes"
"1724",61,50,75.031,1,1798.998,"female","1","lower","yes"
"1765",62,50,63.94,0,1810.053,"male","1","upper","yes"
"1788",63,50,59.88,1,1825.446,"female","1","lower","yes"
"1795",64,50,65.648,1,1793.117,"male","1","lower","yes"
"1816",65,50,65.618,1,1793.695,"female","1","lower","yes"
"1839",66,50,72.575,1,1815.154,"female","1","lower","yes"
"1864",67,50,55.912,1,1824.164,"male","1","lower","yes"
"1871",68,50,51.414,1,1807.414,"female","1","lower","no"
"1875",69,50,64.986,1,1810.346,"female","1","lower","no"
"1899",70,50,56.17,1,1820.635,"female","1","lower","yes"
"1911",71,50,58.497,0,1810.374,"male","1","lower","no"
"1924",72,50,52.003,0,1816.868,"female","1","lower","yes"
"1935",73,50,52.022,1,1803.097,"male","1","lower","yes"
"1939",74,50,55.058,1,1807.326,"female","1","upper","yes"
"1951",75,50,61.771,1,1785.492,"male","1","lower","yes"
"1969",76,50,57.476,1,1791.617,"female","1","lower","yes"
"1982",77,50,50.702,0,1823.291,"female","1","upper","no"
"1986",78,50,55.833,0,1814.946,"male","1","lower","yes"
"1994",79,50,63.532,1,1822.902,"female","1","lower","yes"
"2009",80,50,79.072,1,1780.107,"male","1","lower","yes"
"2045",81,50,58.998,1,1785.142,"female","1","lower","yes"
"2056",82,50,68.898,1,1818.177,"male","1","lower","yes"
"2085",83,50,54.533,0,1818.278,"male","1","lower","yes"
"2090",84,50,53.791,0,1819.02,"female","1","lower","yes"
"2162",85,50,77.478,1,1782.899,"female","1","lower","no"
"2213",86,50,55.592,1,1789.41,"female","1","lower","yes"
"2220",87,50,54.784,1,1821.971,"male","1","lower","yes"
"2230",88,50,61.971,1,1785.739,"male","1","lower","no"
"2281",89,50,52.178,0,1789.648,"male","1","upper","yes"
"2284",90,50,53.9,0,1787.926,"female","1","upper","yes"
"2288",91,50,65.558,1,1795.231,"male","1","lower","no"
"2305",92,50,55.409,1,1835.869,"female","1","lower","no"
"2332",93,50,74.949,1,1788.361,"female","1","lower","yes"
"2363",94,50,64.266,1,1809.09,"male","1","upper","yes"
"2397",95,50,69.949,0,1811.882,"male","1","upper","yes"
"2416",96,50,77.087,1,1815.795,"male","1","lower","yes"
"2455",97,50,69.651,1,1815.277,"female","1","lower","yes"
"2484",98,50,52.203,0,1821.791,"male","1","lower","yes"
"2489",99,50,59.814,1,1810.346,"male","1","upper","yes"
"2522",100,50,74.352,1,1809.708,"female","1","upper","yes"
"2580",101,50,51.428,1,1815.576,"male","1","lower","yes"
"2612",102,50,76.972,1,1813.843,"male","1","lower","no"
"2652",103,50,63.688,0,1810.305,"male","1","lower","yes"
"2677",104,50,62.415,1,1814.346,"female","1","lower","no"
"2746",105,50,66.68,1,1781.164,"female","1","lower","no"
"2770",106,50,66.527,1,1820.427,"male","1","lower","yes"
"2797",107,50,51.08,0,1822.913,"female","1","lower","yes"
"2799",108,50,53.465,0,1810.341,"male","1","lower","no"
"2804",109,50,59.663,1,1787.48,"male","1","lower","yes"
"2832",110,50,73.949,1,1796.104,"female","1","lower","yes"
"2862",111,50,54.146,1,1822.434,"male","1","lower","yes"
"2868",112,50,72.501,1,1796.172,"male","1","lower","yes"
"2895",113,50,75.943,1,1796.186,"male","1","lower","yes"
"2932",114,50,56.501,1,1795.504,"female","1","lower","yes"
"2940",115,50,68.027,1,1780.977,"female","1","upper","no"
"2972",116,50,60.676,0,1829.123,"male","1","lower","no"
"2984",117,50,52.435,0,1821.558,"female","1","lower","no"
"3000",118,50,59.778,1,1833.593,"female","1","lower","yes"
"3011",119,50,51.592,0,1843.239,"male","1","lower","yes"
"3013",120,50,55.389,0,1839.441,"male","1","upper","yes"
"3019",121,50,55.784,0,1839.047,"female","1","upper","yes"
"3025",122,50,52.419,0,1842.412,"male","1","lower","yes"
"3028",123,50,55.326,0,1827.537,"male","1","upper","no"
"3031",124,50,50.256,0,1832.608,"female","1","lower","no"
"3032",125,50,72.422,1,1792.085,"male","1","lower","yes"
"3062",126,50,67.118,1,1797.246,"female","1","lower","yes"
"3086",127,50,51.039,0,1833.183,"female","1","lower","yes"
"3088",128,50,66.385,0,1828.446,"male","1","lower","yes"
"3115",129,50,61.749,1,1828.383,"male","1","lower","yes"
"3135",130,50,51.192,0,1837.498,"male","1","lower","yes"
"3137",131,50,52.09,0,1838.752,"male","1","lower","yes"
"3142",132,50,51.228,0,1843.603,"male","1","lower","yes"
"3145",133,50,55.964,0,1838.867,"female","1","lower","yes"
"3152",134,50,56.712,0,1825.024,"male","1","upper","yes"
"3162",135,50,80,0,1779.384,"female","1","lower","yes"
"3196",136,50,80,0,1809.202,"female","1","lower","no"
"3235",137,50,63.567,1,1825.235,"male","1","lower","yes"
"3249",138,50,54.125,0,1840.706,"male","1","upper","yes"
"3257",139,50,55.118,1,1805.191,"male","1","lower","yes"
"3324",140,50,77.728,1,1793.602,"male","1","upper","yes"
"3374",141,50,76.616,1,1803.258,"female","1","upper","yes"
"3417",142,50,61.347,1,1793.309,"male","1","upper","yes"
"3435",143,50,61.67,1,1799.504,"female","1","lower","yes"
"3453",144,50,76.89,1,1798.338,"female","1","lower","yes"
"3495",145,50,76.145,1,1809.687,"male","1","lower","yes"
"3521",146,50,56.958,0,1817.035,"male","1","upper","yes"
"3542",147,50,80,0,1803.491,"female","1","upper","yes"
"3619",148,50,80,0,1804.882,"female","1","lower","yes"
"3659",149,50,56.901,0,1837.93,"female","1","lower","yes"
"3671",150,50,76.906,1,1816.148,"female","1","lower","yes"
"3701",151,50,55.781,0,1809.969,"male","1","lower","yes"
"3709",152,50,78.48,1,1816.167,"male","1","lower","yes"
"3739",153,50,56.81,0,1817.183,"female","1","lower","yes"
"3747",154,50,77.752,1,1810.678,"male","1","lower","yes"
"3788",155,50,66.196,1,1810.048,"female","1","lower","yes"
"3843",156,50,62.256,0,1818.752,"female","1","lower","yes"
"3862",157,50,71.524,1,1814.856,"female","1","lower","yes"
"3900",158,50,55.896,0,1816.329,"female","1","lower","yes"
"3978",159,50,59.702,0,1835.129,"female","1","lower","yes"
"4001",160,50,50.916,1,1779.4,"male","2","lower","yes"
"4004",161,50,75.948,1,1814.333,"male","2","lower","yes"
"4105",162,50,58.437,1,1805.64,"female","2","upper","no"
"4118",163,50,61.235,1,1800.769,"female","2","lower","yes"
"4133",164,50,52.268,1,1801.498,"male","2","lower","yes"
"4136",165,50,70.136,1,1801.916,"male","2","lower","yes"
"4166",166,50,71.696,1,1808.471,"female","2","lower","yes"
"4198",167,50,78.489,1,1813.133,"female","2","lower","yes"
"4229",168,50,59.086,1,1789.708,"female","2","lower","no"
"4239",169,50,80,0,1798.322,"female","2","lower","no"
"4285",170,50,54.856,1,1789.046,"female","2","lower","no"
"4291",171,50,55.176,0,1839.713,"female","2","lower","no"
"4317",172,50,51.258,1,1790.368,"female","2","upper","no"
"4321",173,50,62.125,1,1792.997,"male","2","lower","no"
"4347",174,50,71.4,1,1795.677,"male","2","upper","no"
"4392",175,50,53.413,1,1801.002,"female","2","lower","yes"
"4399",176,50,77.914,1,1795.77,"female","2","lower","no"
"4435",177,50,68.698,1,1815.628,"male","2","lower","yes"
"4464",178,50,50.856,1,1807.138,"male","2","lower","yes"
"4509",179,50,54.305,1,1784.474,"male","2","lower","yes"
"4517",180,50,56.537,1,1785.648,"female","2","lower","yes"
"4546",181,50,63.584,1,1795.253,"female","2","upper","yes"
"4582",182,50,64.222,0,1830.609,"female","2","lower","yes"
"4601",183,50,53.971,1,1782.204,"male","2","lower","no"
"4607",184,50,65.687,1,1812.578,"female","2","lower","yes"
"4635",185,50,78.667,1,1812.701,"female","2","lower","yes"
"4668",186,50,67.74,0,1825.465,"male","2","lower","yes"
"4689",187,50,75.37,1,1801.867,"male","2","lower","no"
"4724",188,50,50.094,0,1783.732,"female","2","lower","yes"
"4725",189,50,54.656,1,1791.247,"male","2","upper","yes"
"4742",190,50,52.928,1,1799.211,"female","2","upper","yes"
"4747",191,50,53.604,0,1810.22,"male","2","lower","yes"
"4753",192,50,59.006,1,1780.252,"female","2","lower","yes"
"4779",193,50,54.398,0,1813.593,"female","2","lower","no"
"4785",194,50,50.404,1,1781.311,"female","2","lower","yes"
"4786",195,50,75.899,0,1810.669,"male","2","lower","yes"
"4822",196,50,77.429,0,1809.139,"female","2","lower","yes"
"4860",197,50,65.706,1,1801.667,"male","2","lower","yes"
"4939",198,50,65.714,1,1803.912,"male","2","lower","yes"
"4997",199,50,52.37,0,1835.45,"female","2","lower","yes"
"5001",200,50,62.393,1,1787.792,"male","2","lower","no"
"5025",201,50,54.448,0,1803.379,"male","2","lower","yes"
"5033",202,50,53.309,0,1804.517,"female","2","lower","yes"
"5056",203,50,54.943,1,1787.34,"male","2","lower","yes"
"5065",204,50,58.081,1,1815.387,"male","2","lower","no"
"5076",205,50,80,0,1784.099,"male","2","lower","yes"
"5121",206,50,73.807,1,1785.339,"female","2","lower","yes"
"5157",207,50,51.491,0,1843.34,"male","2","lower","no"
"5159",208,50,58.798,1,1816.986,"male","2","lower","yes"
"5180",209,50,64.758,1,1799.143,"male","2","lower","yes"
"5213",210,50,57.073,1,1800.679,"female","2","lower","yes"
"5230",211,50,73.925,1,1788.517,"female","2","upper","no"
"5285",212,50,57.933,1,1823.409,"male","2","lower","yes"
"5294",213,50,61.897,1,1831.461,"male","2","lower","yes"
"5308",214,50,54.601,0,1840.23,"female","2","lower","yes"
"5313",215,50,68.096,0,1801.161,"male","2","lower","yes"
"5345",216,50,64.89,0,1804.367,"female","2","lower","yes"
"5373",217,50,58.883,1,1799.239,"male","2","lower","yes"
"5389",218,50,80,0,1794.675,"female","2","lower","yes"
"5444",219,50,80,0,1783.871,"female","2","lower","yes"
"5528",220,50,69.298,1,1799.376,"female","2","lower","yes"
"5575",221,50,57.046,0,1818.762,"male","2","lower","yes"
"5580",222,50,66.448,0,1827.384,"male","2","lower","yes"
"5605",223,50,76.786,1,1798.831,"male","2","lower","yes"
"5640",224,50,68.704,0,1826.127,"female","2","lower","no"
"5646",225,50,80,0,1810.324,"female","2","lower","yes"
"5680",226,50,68.216,1,1806.916,"male","2","lower","yes"
"5712",227,50,77.051,1,1810.037,"female","2","lower","yes"
"5751",228,50,66.108,1,1820.183,"female","2","lower","yes"
"5773",229,50,64.115,1,1815.236,"male","2","upper","yes"
"5806",230,50,67.869,1,1810.557,"male","2","lower","yes"
"5840",231,50,70.24,0,1785.585,"female","2","lower","yes"
"5918",232,50,60.772,1,1789.607,"male","2","upper","no"
"5945",233,50,55.047,1,1787.258,"male","2","lower","yes"
"5953",234,50,76.192,1,1784.186,"female","2","lower","yes"
"5981",235,50,55.288,0,1809.035,"male","2","lower","yes"
"5987",236,50,76.693,1,1785.5,"female","2","lower","yes"
"6071",237,50,51.414,1,1785.979,"female","2","lower","yes"
"6074",238,50,62.486,1,1784.821,"male","2","lower","yes"
"6089",239,50,67.595,1,1810.056,"female","2","upper","yes"
"6119",240,50,76.871,1,1803.086,"male","2","upper","yes"
"6165",241,50,50.776,1,1819.978,"male","2","lower","yes"
"6166",242,50,51.567,1,1798.691,"female","2","lower","yes"
"6170",243,50,61.659,1,1795.975,"male","2","upper","yes"
"6200",244,50,50.081,1,1805.752,"male","2","upper","no"
"6204",245,50,68.079,1,1811.83,"male","2","lower","yes"
"6228",246,50,70.023,1,1798.19,"male","2","lower","yes"
"6253",247,50,61.807,1,1801.123,"female","2","lower","yes"
"6268",248,50,80,0,1811.995,"male","2","lower","yes"
"6303",249,50,65.057,1,1817.892,"female","2","lower","yes"
"6321",250,50,60.52,1,1809.087,"male","2","lower","yes"
"6336",251,50,57.12,1,1825.366,"male","2","lower","yes"
"6344",252,50,62.71,1,1823.83,"female","2","lower","yes"
"6385",253,50,53.544,0,1781.281,"female","2","upper","yes"
"6392",254,50,80,0,1781.12,"male","2","lower","yes"
"6433",255,50,80,0,1808.063,"female","2","lower","yes"
"6472",256,50,65.065,1,1792.159,"male","2","lower","yes"
"6495",257,50,66.505,1,1782.667,"female","2","lower","yes"
"6542",258,50,66.1,1,1792.235,"female","2","lower","yes"
"6564",259,50,59.184,1,1799.05,"female","2","lower","yes"
"6603",260,50,61.421,1,1794.762,"male","2","lower","yes"
"6632",261,50,55.581,1,1783.368,"male","2","lower","yes"
"6643",262,50,54.724,1,1784.172,"female","2","lower","yes"
"6650",263,50,61.144,1,1809.139,"female","2","lower","no"
"6678",264,50,62.415,1,1787.444,"male","2","lower","yes"
"6698",265,50,69.473,1,1795.614,"female","2","lower","yes"
"6749",266,50,69.109,1,1806.297,"male","2","upper","no"
"6775",267,50,80,0,1808.843,"female","2","lower","yes"
"6809",268,50,74.157,1,1815.157,"female","2","lower","no"
"6848",269,50,51.097,0,1816.895,"male","2","lower","yes"
"6851",270,50,57.626,0,1821.18,"male","2","upper","yes"
"6861",271,50,76.936,1,1802.99,"female","2","lower","yes"
"6898",272,50,55.852,0,1812.14,"male","2","lower","yes"
"6906",273,50,51.472,1,1802.201,"male","2","lower","yes"
"6908",274,50,55.431,1,1788.509,"male","2","lower","yes"
"6920",275,50,68.693,1,1806.538,"female","2","lower","yes"
"6964",276,50,61.279,1,1787.201,"male","2","lower","yes"
"6994",277,50,50.598,0,1817.394,"male","2","lower","yes"
"6996",278,50,61.977,1,1821.175,"female","2","lower","yes"
"7043",279,50,74.938,0,1790.836,"female","2","lower","yes"
"7074",280,50,61.938,1,1793.78,"female","2","lower","yes"
"7099",281,50,74.533,1,1780.2,"male","2","lower","no"
"7147",282,50,65.916,1,1783.54,"male","2","lower","no"
"7168",283,50,68.928,1,1780.928,"female","2","lower","no"
"7194",284,50,57.906,1,1812.353,"male","2","lower","no"
"7204",285,50,63.628,1,1779.357,"female","2","lower","no"
"7223",286,50,74.111,1,1781.062,"female","2","lower","no"
"7252",287,50,53.136,1,1786.073,"female","2","lower","no"
"7260",288,50,57.317,1,1801.914,"female","2","lower","yes"
"7335",289,50,72.036,1,1792.099,"male","2","lower","no"
"7383",290,50,80,0,1786.664,"male","2","lower","yes"
"7418",291,50,56.079,0,1822.415,"female","2","upper","yes"
"7425",292,50,51.945,0,1842.886,"male","2","upper","yes"
"7477",293,50,80,0,1784.999,"male","2","lower","yes"
"7520",294,50,62.631,1,1799.121,"female","2","lower","yes"
"7534",295,50,51.576,0,1843.255,"male","2","lower","yes"
"7537",296,50,80,0,1797.645,"male","2","lower","yes"
"7576",297,50,80,0,1799.283,"female","2","lower","yes"
"7646",298,50,58.71,1,1829.722,"male","2","lower","yes"
"7656",299,50,54.543,0,1840.287,"female","2","lower","yes"
"7660",300,50,50.379,0,1844.452,"male","2","lower","yes"
"7662",301,50,80,0,1805.908,"male","2","upper","yes"
"7701",302,50,75.22,1,1814.163,"female","2","lower","yes"
"7730",303,50,60.323,0,1834.508,"female","2","lower","yes"
"7741",304,50,67.989,0,1826.842,"female","2","lower","yes"
"7798",305,50,57.081,0,1837.749,"female","2","upper","yes"
"7808",306,50,64.635,0,1830.215,"male","2","lower","yes"
"7829",307,50,55.775,0,1839.075,"female","2","lower","yes"
"7839",308,50,76.608,1,1799.729,"female","2","lower","yes"
"7876",309,50,50.623,0,1836.131,"female","2","lower","yes"
"7877",310,50,79.113,0,1815.718,"male","2","lower","yes"
"7911",311,50,64.717,1,1829.484,"female","2","lower","yes"
"7927",312,50,66.404,1,1828.485,"male","2","lower","yes"
"7948",313,50,50.341,0,1844.49,"male","2","lower","yes"
"7949",314,50,64.309,0,1830.522,"male","2","lower","yes"
"7968",315,50,58.642,1,1831.184,"male","2","lower","yes"
"7979",316,50,51.395,0,1843.411,"male","2","lower","yes"
"7982",317,50,50.927,0,1843.904,"female","2","lower","yes"
"7983",318,50,50.409,0,1822.398,"male","2","lower","yes"
"7985",319,50,55.589,0,1839.242,"male","2","lower","yes"
"7991",320,50,57.859,0,1836.972,"female","2","lower","yes"
"7999",321,50,51.496,0,1843.335,"male","2","lower","yes"
"8002",322,50,80,0,1799.299,"male","2","upper","yes"
"8085",323,50,77.002,1,1807.34,"female","2","upper","yes"
"8174",324,50,69.01,1,1821.049,"female","2","upper","yes"
"8195",325,50,58.327,0,1835.504,"male","2","lower","yes"
"8206",326,50,53.435,0,1841.396,"female","2","lower","yes"
"8212",327,50,53.875,0,1840.956,"male","2","lower","yes"
"8217",328,50,50.442,0,1844.389,"female","2","lower","yes"
"8218",329,50,53.218,0,1837.654,"male","2","upper","yes"
"8228",330,50,50.672,1,1842.776,"female","2","lower","yes"
"8230",331,50,57.632,0,1837.199,"male","2","lower","yes"
"8232",332,50,72.123,1,1810.754,"male","2","lower","yes"
"8266",333,50,77.394,1,1781.673,"male","2","lower","yes"
"8313",334,50,80,0,1800.537,"female","2","lower","yes"
"8351",335,50,60.356,1,1809.196,"male","2","lower","yes"
"8367",336,50,52.457,1,1792.46,"male","2","upper","yes"
"8371",337,50,77.257,1,1815.948,"female","2","lower","yes"
"8404",338,50,77.276,1,1813.977,"male","2","lower","yes"
"8464",339,50,53.018,0,1810.806,"female","2","lower","yes"
"8468",340,50,54.642,0,1814.138,"female","2","lower","yes"
"8475",341,50,61.621,0,1828.244,"female","3","lower","no"
"8518",342,50,72.728,1,1800.6,"male","3","lower","yes"
"8561",343,50,63.066,1,1802.426,"female","3","lower","yes"
"8588",344,50,58.806,0,1836.025,"male","3","lower","no"
"8602",345,50,75.329,1,1815.247,"female","3","lower","yes"
"8619",346,50,54.946,0,1774.88,"female","3","lower","yes"
"8627",347,50,60.903,1,1788.293,"female","3","lower","no"
"8657",348,50,55.253,1,1784.022,"male","3","lower","yes"
"8690",349,50,50.757,0,1817.235,"female","3","lower","yes"
"8696",350,50,62.281,1,1773.654,"male","3","upper","no"
"8719",351,50,51.354,1,1785.963,"female","3","lower","no"
"8720",352,50,56.81,1,1782.872,"male","3","lower","no"
"8746",353,50,80,0,1797.177,"male","3","lower","yes"
"8800",354,50,64.569,1,1796.559,"female","3","lower","yes"
"8829",355,50,52.986,0,1823.17,"female","3","lower","no"
"8840",356,50,79.981,1,1780.616,"male","3","lower","no"
"8915",357,50,80,0,1801.634,"male","3","lower","yes"
"8950",358,50,66.349,1,1817.221,"female","3","lower","yes"
"8978",359,50,54.861,0,1830.875,"male","3","lower","yes"
"8985",360,50,70.1,1,1812.383,"male","3","upper","yes"
"9024",361,50,73.062,1,1812.441,"female","3","upper","yes"
"9076",362,50,80,0,1803.792,"female","3","lower","no"
"9088",363,50,73.673,1,1773.106,"male","3","upper","yes"
"9137",364,50,80,0,1773.736,"female","3","upper","yes"
"9208",365,50,61.153,1,1801.624,"male","3","lower","yes"
"9250",366,50,62.563,1,1796.329,"male","3","lower","yes"
"9273",367,50,53.128,1,1799.97,"male","3","lower","yes"
"9278",368,50,73.999,1,1795.203,"female","3","lower","yes"
"9309",369,50,57.925,1,1827.091,"female","3","lower","yes"
"9325",370,50,50.612,1,1784.112,"male","3","lower","yes"
"9326",371,50,55.181,1,1798.119,"male","3","lower","yes"
"9335",372,50,50.207,1,1802.667,"female","3","lower","yes"
"9337",373,50,52.487,0,1787.337,"female","3","lower","yes"
"9396",374,50,80,0,1797.128,"male","3","lower","yes"
"9449",375,50,72.208,1,1800.181,"female","3","lower","yes"
"9490",376,50,62.437,1,1808.454,"male","3","lower","yes"
"9508",377,50,57.739,0,1810.253,"female","3","lower","yes"
"9529",378,50,51.65,1,1787.548,"male","3","lower","yes"
"9533",379,50,57.799,0,1837.032,"female","3","lower","yes"
"9541",380,50,69.503,1,1824.654,"male","3","lower","no"
"9573",381,50,53.821,0,1841.01,"female","3","lower","yes"
"9578",382,50,58.702,1,1788.583,"male","3","lower","yes"
"9598",383,50,68.37,1,1824.197,"female","3","lower","no"
"9617",384,50,59.811,1,1774.94,"female","3","lower","yes"
"9632",385,50,53.457,1,1781.185,"female","3","upper","no"
"9638",386,50,80,0,1814.798,"female","3","lower","yes"
"9664",387,50,51.25,1,1773.919,"male","3","lower","yes"
"9715",388,50,52.066,0,1786.76,"male","3","upper","no"
"9722",389,50,50.048,0,1812.778,"male","3","lower","yes"
"9723",390,50,57.202,0,1837.629,"male","3","lower","no"
"9731",391,50,51.006,1,1776.586,"male","3","upper","yes"
"9747",392,50,58.858,1,1780.742,"female","3","lower","no"
"9760",393,50,50.089,0,1844.742,"male","3","lower","no"
"9761",394,50,80,0,1800.871,"male","3","lower","yes"
"9799",395,50,69.476,1,1805.925,"female","3","lower","yes"
"9836",396,50,66.201,1,1799.184,"male","3","lower","yes"
"9864",397,50,55.433,0,1811.392,"male","3","lower","yes"
"9870",398,50,51.89,0,1814.935,"female","3","lower","yes"
"9872",399,50,69.848,0,1817.982,"male","3","lower","no"
"9898",400,50,53.676,0,1840.131,"male","3","lower","no"
"9913",401,50,53.465,1,1775.83,"male","3","lower","yes"
"9920",402,50,64.047,1,1784.95,"female","3","lower","yes"
"9951",403,50,66.363,1,1772.999,"male","3","lower","yes"
"9981",404,50,54.418,1,1794.82,"female","3","lower","yes"
"10021",405,50,56.671,1,1813.741,"male","3","lower","yes"
"10033",406,50,71.778,1,1805.64,"female","3","lower","yes"
"10086",407,50,56.879,0,1780.947,"male","3","lower","yes"
"10088",408,50,56.397,1,1774.133,"female","3","lower","no"
"10114",409,50,62.379,1,1773.941,"female","3","upper","yes"
"10203",410,50,69.711,1,1800.496,"female","3","lower","yes"
"10249",411,50,66.656,1,1773.667,"female","3","lower","no"
"10313",412,50,50.505,1,1788.931,"female","3","lower","yes"
"10314",413,50,73.662,1,1794.765,"male","3","lower","yes"
"10348",414,50,65.955,1,1792.225,"female","3","lower","yes"
"10427",415,50,77.624,1,1805.585,"female","3","lower","yes"
"10465",416,50,58.735,1,1814.554,"male","3","lower","yes"
"10483",417,50,54.305,1,1777.919,"male","3","lower","yes"
"10488",418,50,74.973,0,1819.858,"female","3","lower","yes"
"10517",419,50,65.61,1,1825.714,"female","3","lower","yes"
"10561",420,50,53.547,1,1771.425,"female","3","lower","yes"
"10571",421,50,56.663,0,1826.949,"male","3","lower","no"
"10593",422,50,53.374,1,1791.71,"male","3","lower","yes"
"10600",423,50,77.199,1,1793.744,"female","3","lower","yes"
"10682",424,50,51.277,0,1816.715,"female","3","lower","yes"
"10683",425,50,57.733,1,1779.904,"female","3","lower","yes"
"10691",426,50,51.236,1,1826.669,"male","3","lower","no"
"10714",427,50,57.114,1,1790.048,"female","3","lower","yes"
"10779",428,50,50.998,1,1780.816,"female","3","lower","yes"
"10790",429,50,70.053,1,1814.242,"female","3","upper","yes"
"10816",430,50,77.081,1,1801.005,"male","3","upper","yes"
"10866",431,50,51.677,1,1806.694,"male","3","lower","yes"
"10869",432,50,65.336,1,1795.584,"female","3","lower","yes"
"10909",433,50,80,0,1779.206,"male","3","upper","no"
"10966",434,50,76.2,1,1794.064,"male","3","lower","no"
"11010",435,50,51.94,1,1788.197,"female","3","lower","no"
"11016",436,50,52.35,0,1822.428,"female","3","lower","yes"
"11036",437,50,64.569,1,1775.201,"male","3","upper","no"
"11063",438,50,53.147,1,1773.9,"male","3","lower","no"
"11108",439,50,68.931,1,1778.99,"male","3","lower","no"
"11177",440,50,59.877,1,1779.217,"female","3","upper","no"
"11200",441,50,55.028,0,1816.778,"male","3","lower","yes"
"11215",442,50,50.872,1,1799.274,"male","3","lower","yes"
"11219",443,50,79.521,1,1794.771,"male","3","upper","yes"
"11279",444,50,80,0,1802.179,"female","3","upper","yes"
"11330",445,50,79.003,1,1797.952,"male","3","lower","yes"
"11364",446,50,59.346,1,1792.821,"female","3","lower","yes"
"11376",447,50,78.716,1,1776.597,"female","3","lower","no"
"11398",448,50,75.179,1,1783.504,"male","3","lower","yes"
"11443",449,50,50.248,1,1782.138,"female","3","lower","yes"
"11444",450,50,54.552,0,1813.44,"male","3","upper","yes"
"11458",451,50,59.562,0,1835.269,"male","3","lower","yes"
"11469",452,50,52.945,1,1827.192,"female","3","lower","yes"
"11473",453,50,51.819,0,1837.988,"male","3","lower","yes"
"11475",454,50,50.357,1,1834.533,"female","3","lower","yes"
"11478",455,50,71.671,0,1823.159,"male","3","lower","yes"
"11507",456,50,57.938,0,1836.893,"female","3","lower","yes"
