"","id","parity","age","year","next.ivl","event","prev.ivl","ses","parish"
"134",19,7,38,1844,8.976,0,2.615,"farmer","SKL"
"135",20,0,17,1823,1.021,1,NA,"lower","SKL"
"136",20,1,18,1825,3.422,1,1.021,"lower","SKL"
"137",20,2,22,1828,4.112,1,3.422,"lower","SKL"
"138",20,3,26,1832,4.014,1,4.112,"lower","SKL"
"139",20,4,30,1836,2.664,1,4.014,"lower","SKL"
"140",20,5,33,1839,3.496,1,2.664,"lower","SKL"
"141",20,6,36,1842,4.471,1,3.496,"lower","SKL"
"142",20,7,40,1847,3.302,1,4.471,"lower","SKL"
"143",20,8,44,1850,3.221,0,3.302,"lower","SKL"
"144",21,0,29,1835,0.077,1,NA,"lower","SKL"
"145",21,1,29,1836,1.183,0,0.077,"lower","SKL"
"146",22,0,19,1825,1.407,1,NA,"unknown","SKL"
"147",22,1,20,1827,1.391,1,1.407,"unknown","SKL"
"148",22,2,22,1828,2.133,1,1.391,"unknown","SKL"
"149",22,3,24,1830,2.278,1,2.133,"unknown","SKL"
"150",22,4,26,1833,2.264,1,2.278,"unknown","SKL"
"151",22,5,29,1835,1.947,1,2.264,"unknown","SKL"
"152",22,6,30,1837,2.248,1,1.947,"unknown","SKL"
"153",22,7,33,1839,2.089,1,2.248,"unknown","SKL"
"154",22,8,35,1841,1.29,1,2.089,"unknown","SKL"
"155",22,9,36,1843,1.602,1,1.29,"unknown","SKL"
"156",22,10,38,1844,1.722,1,1.602,"unknown","SKL"
"157",22,11,39,1846,1.684,1,1.722,"unknown","SKL"
"158",22,12,41,1848,2.105,1,1.684,"unknown","SKL"
"159",22,13,43,1850,3.79,0,2.105,"unknown","SKL"
"160",23,0,22,1829,0.293,1,NA,"upper","SKL"
"161",23,1,22,1829,3.384,1,0.293,"upper","SKL"
"162",23,2,25,1832,2.467,1,3.384,"upper","SKL"
"163",23,3,28,1835,4.041,1,2.467,"upper","SKL"
"164",23,4,32,1839,3.08,1,4.041,"upper","SKL"
"165",23,5,35,1842,12.157,0,3.08,"upper","SKL"
"166",24,0,24,1831,0.723,1,NA,"farmer","SKL"
"167",24,1,25,1832,1.051,1,0.723,"farmer","SKL"
"168",24,2,26,1833,1.793,1,1.051,"farmer","SKL"
"169",24,3,28,1835,1.572,1,1.793,"farmer","SKL"
"170",24,4,29,1836,1.095,1,1.572,"farmer","SKL"
"171",24,5,30,1837,1.051,1,1.095,"farmer","SKL"
"172",24,6,31,1839,1.922,1,1.051,"farmer","SKL"
"173",24,7,33,1840,1.982,1,1.922,"farmer","SKL"
"174",24,8,35,1842,1.602,1,1.982,"farmer","SKL"
"175",24,9,37,1844,1.054,1,1.602,"farmer","SKL"
"176",24,10,38,1845,4.737,1,1.054,"farmer","SKL"
"177",24,11,43,1850,4.352,0,4.737,"farmer","SKL"
"178",25,0,19,1826,0.386,1,NA,"unknown","SKL"
"179",25,1,20,1827,1.44,1,0.386,"unknown","SKL"
"180",25,2,21,1828,1.317,1,1.44,"unknown","SKL"
"181",25,3,22,1830,24.692,0,1.317,"unknown","SKL"
"182",26,0,22,1829,0.695,1,NA,"lower","SKL"
"183",26,1,22,1830,2.47,0,0.695,"lower","SKL"
"184",27,0,16,1824,0.307,1,NA,"unknown","SKL"
"185",27,1,17,1825,1.741,1,0.307,"unknown","SKL"
"186",27,2,18,1826,1.144,1,1.741,"unknown","SKL"
"187",27,3,20,1827,5.96,1,1.144,"unknown","SKL"
"188",27,4,26,1833,2.157,1,5.96,"unknown","SKL"
"189",27,5,28,1836,1.029,1,2.157,"unknown","SKL"
"190",27,6,29,1837,0.997,1,1.029,"unknown","SKL"
"191",27,7,30,1838,2.116,1,0.997,"unknown","SKL"
"192",27,8,32,1840,6.812,1,2.116,"unknown","SKL"
"193",27,9,39,1846,8.291,0,6.812,"unknown","SKL"
"194",28,0,22,1830,0.799,1,NA,"farmer","SKL"
"195",28,1,23,1831,1.875,1,0.799,"farmer","SKL"
"196",28,2,25,1833,2.015,1,1.875,"farmer","SKL"
"197",28,3,27,1835,2.68,1,2.015,"farmer","SKL"
"198",28,4,30,1838,2.741,1,2.68,"farmer","SKL"
"199",28,5,32,1840,3.151,1,2.741,"farmer","SKL"
"200",28,6,35,1843,11.522,0,3.151,"farmer","SKL"
"201",29,0,23,1831,0.654,1,NA,"farmer","SKL"
"202",29,1,23,1832,2.434,1,0.654,"farmer","SKL"
"203",29,2,26,1834,0.003,0,2.434,"farmer","SKL"
"204",30,0,24,1832,0.999,1,NA,"farmer","SKL"
"205",30,1,25,1833,0.534,0,0.999,"farmer","SKL"
"206",31,0,20,1828,0.479,1,NA,"unknown","SKL"
"207",31,1,20,1828,1.391,1,0.479,"unknown","SKL"
"208",31,2,21,1830,2.377,1,1.391,"unknown","SKL"
"209",31,3,24,1832,2.155,1,2.377,"unknown","SKL"
"210",31,4,26,1834,2.804,1,2.155,"unknown","SKL"
"211",31,5,29,1837,2.412,1,2.804,"unknown","SKL"
"212",31,6,31,1840,1.698,1,2.412,"unknown","SKL"
"213",31,7,33,1841,2.508,1,1.698,"unknown","SKL"
"214",31,8,35,1844,2.459,1,2.508,"unknown","SKL"
"215",31,9,38,1846,2.869,1,2.459,"unknown","SKL"
"216",31,10,41,1849,6.268,0,2.869,"unknown","SKL"
"217",32,0,23,1831,0.876,1,NA,"farmer","SKL"
"218",32,1,24,1832,2.133,1,0.876,"farmer","SKL"
"219",32,2,26,1834,2.029,1,2.133,"farmer","SKL"
"220",32,3,28,1836,2.177,1,2.029,"farmer","SKL"
"221",32,4,30,1838,2.048,1,2.177,"farmer","SKL"
"222",32,5,32,1841,2.127,1,2.048,"farmer","SKL"
"223",32,6,34,1843,12.752,0,2.127,"farmer","SKL"
"224",33,0,24,1833,0.958,1,NA,"unknown","SKL"
"225",33,1,25,1834,1.248,1,0.958,"unknown","SKL"
"226",33,2,27,1835,2.188,1,1.248,"unknown","SKL"
"227",33,3,29,1837,1.344,1,2.188,"unknown","SKL"
"228",33,4,30,1839,2.056,1,1.344,"unknown","SKL"
"229",33,5,32,1841,2.242,1,2.056,"unknown","SKL"
"230",33,6,34,1843,1.292,1,2.242,"unknown","SKL"
"231",33,7,36,1844,3.735,1,1.292,"unknown","SKL"
"232",33,8,40,1848,4.118,1,3.735,"unknown","SKL"
"233",33,9,44,1852,3.38,0,4.118,"unknown","SKL"
"234",34,0,20,1828,0.654,1,NA,"farmer","SKL"
"235",34,1,21,1829,1.585,1,0.654,"farmer","SKL"
"236",34,2,22,1831,1.93,1,1.585,"farmer","SKL"
"237",34,3,24,1833,1.596,1,1.93,"farmer","SKL"
"238",34,4,26,1834,1.678,1,1.596,"farmer","SKL"
"239",34,5,27,1836,1.361,0,1.678,"farmer","SKL"
"240",35,0,20,1829,0.468,1,NA,"unknown","SKL"
"241",35,1,21,1829,2.012,1,0.468,"unknown","SKL"
"242",35,2,23,1831,3.176,1,2.012,"unknown","SKL"
"243",35,3,26,1835,1.823,1,3.176,"unknown","SKL"
"244",35,4,28,1836,3.548,1,1.823,"unknown","SKL"
"245",35,5,31,1840,2.426,1,3.548,"unknown","SKL"
"246",35,6,34,1842,3.417,1,2.426,"unknown","SKL"
"247",35,7,37,1846,4.274,1,3.417,"unknown","SKL"
"248",35,8,41,1850,3.97,1,4.274,"unknown","SKL"
"249",35,9,45,1854,1.567,0,3.97,"unknown","SKL"
"250",36,0,24,1832,1.689,1,NA,"farmer","SKL"
"251",36,1,26,1834,0.925,1,1.689,"farmer","SKL"
"252",36,2,26,1835,2.612,1,0.925,"farmer","SKL"
"253",36,3,29,1838,5.246,1,2.612,"farmer","SKL"
"254",36,4,34,1843,3.138,1,5.246,"farmer","SKL"
"255",36,5,37,1846,5.657,1,3.138,"farmer","SKL"
"256",36,6,43,1852,3.889,0,5.657,"farmer","SKL"
"257",37,0,20,1828,1.457,1,NA,"lower","SKL"
"258",37,1,21,1830,1.714,1,1.457,"lower","SKL"
"259",37,2,23,1832,3.923,1,1.714,"lower","SKL"
"260",37,3,27,1836,3.299,1,3.923,"lower","SKL"
"261",37,4,30,1839,4.589,0,3.299,"lower","SKL"
"262",38,0,24,1833,0.75,1,NA,"farmer","SKL"
"263",38,1,25,1834,1.714,1,0.75,"farmer","SKL"
"264",38,2,27,1835,1.958,1,1.714,"farmer","SKL"
"265",38,3,29,1837,1.054,1,1.958,"farmer","SKL"
"266",38,5,30,1838,1.248,1,0,"farmer","SKL"
"267",38,6,31,1840,2.42,1,1.248,"farmer","SKL"
"268",38,7,33,1842,1.144,1,2.42,"farmer","SKL"
"269",38,8,34,1843,1.142,1,1.144,"farmer","SKL"
"270",38,9,36,1844,1.251,1,1.142,"farmer","SKL"
"271",38,10,37,1846,1.561,1,1.251,"farmer","SKL"
"272",38,11,38,1847,3.088,1,1.561,"farmer","SKL"
"273",38,12,41,1850,5.559,0,3.088,"farmer","SKL"
"274",39,0,22,1831,0.334,1,NA,"farmer","SKL"
"275",39,1,22,1831,1.629,1,0.334,"farmer","SKL"
"276",39,2,24,1833,2.007,1,1.629,"farmer","SKL"
"277",39,3,26,1835,2.407,1,2.007,"farmer","SKL"
"278",39,4,28,1837,2.338,1,2.407,"farmer","SKL"
"279",39,5,30,1839,4.194,1,2.338,"farmer","SKL"
"280",39,6,35,1844,2.557,1,4.194,"farmer","SKL"
"281",39,7,37,1846,2.316,1,2.557,"farmer","SKL"
"282",39,8,39,1849,4.657,1,2.316,"farmer","SKL"
"283",39,9,44,1853,2.879,0,4.657,"farmer","SKL"
"284",40,0,22,1831,0.994,1,NA,"farmer","SKL"
"285",40,1,23,1832,2.99,1,0.994,"farmer","SKL"
"286",40,2,26,1835,2.856,1,2.99,"farmer","SKL"
"287",40,3,29,1838,2.62,1,2.856,"farmer","SKL"
"288",40,4,31,1840,1.96,1,2.62,"farmer","SKL"
"289",40,5,33,1842,2.516,1,1.96,"farmer","SKL"
"290",40,6,36,1845,2.491,1,2.516,"farmer","SKL"
"291",40,7,38,1847,2.598,1,2.491,"farmer","SKL"
"292",40,8,41,1850,2.645,1,2.598,"farmer","SKL"
"293",40,9,43,1853,3.506,0,2.645,"farmer","SKL"
"294",41,0,23,1832,1.002,1,NA,"lower","SKL"
"295",41,1,24,1833,3.192,1,1.002,"lower","SKL"
"296",41,2,27,1836,4.468,1,3.192,"lower","SKL"
"297",41,3,31,1840,3.373,1,4.468,"lower","SKL"
"298",41,4,35,1844,12.335,0,3.373,"lower","SKL"
"299",42,0,33,1842,2.439,1,NA,"lower","SKL"
"300",42,1,35,1844,4.578,0,2.439,"lower","SKL"
"301",43,0,21,1830,1.207,1,NA,"unknown","SKL"
"302",43,1,22,1831,1.741,1,1.207,"unknown","SKL"
"303",43,2,24,1833,0.977,1,1.741,"unknown","SKL"
"304",43,3,25,1834,1.12,1,0.977,"unknown","SKL"
"305",43,4,26,1835,1.413,1,1.12,"unknown","SKL"
"306",44,0,21,1830,0.482,1,NA,"farmer","SKL"
"307",44,1,22,1831,3.762,1,0.482,"farmer","SKL"
"308",44,2,25,1835,1.396,1,3.762,"farmer","SKL"
"309",44,3,27,1836,3.406,1,1.396,"farmer","SKL"
"310",44,4,30,1840,2.68,1,3.406,"farmer","SKL"
"311",44,5,33,1842,2.516,1,2.68,"farmer","SKL"
"312",44,6,35,1845,4.197,1,2.516,"farmer","SKL"
"313",44,7,39,1849,7.541,0,4.197,"farmer","SKL"
"314",45,0,21,1830,0.78,1,NA,"unknown","SKL"
"315",45,1,22,1831,1.815,1,0.78,"unknown","SKL"
"316",45,2,23,1833,2.593,1,1.815,"unknown","SKL"
"317",45,4,26,1835,0.972,1,0,"unknown","SKL"
"318",45,5,27,1836,2.111,1,0.972,"unknown","SKL"
"319",45,6,29,1839,0.419,0,2.111,"unknown","SKL"
"320",46,0,29,1838,1.32,1,NA,"farmer","SKL"
"321",46,1,30,1840,2.631,1,1.32,"farmer","SKL"
"322",46,2,33,1842,1.254,0,2.631,"farmer","SKL"
"323",47,0,22,1832,1.029,1,NA,"farmer","SKL"
"324",47,1,23,1833,2.327,1,1.029,"farmer","SKL"
"325",47,2,25,1835,2.56,1,2.327,"farmer","SKL"
"326",47,3,28,1838,3.006,1,2.56,"farmer","SKL"
"327",47,4,31,1841,2.401,1,3.006,"farmer","SKL"
"328",47,5,33,1843,0.857,1,2.401,"farmer","SKL"
"329",47,6,34,1844,3.121,1,0.857,"farmer","SKL"
"330",47,7,37,1847,3.066,1,3.121,"farmer","SKL"
"331",47,8,40,1850,6.556,0,3.066,"farmer","SKL"
"332",48,0,25,1835,0.263,1,NA,"lower","SKL"
"333",48,1,26,1836,3.132,1,0.263,"lower","SKL"
"334",48,2,29,1839,1.927,1,3.132,"lower","SKL"
"335",48,3,31,1841,1.949,1,1.927,"lower","SKL"
"336",48,4,33,1843,1.536,1,1.949,"lower","SKL"
"337",48,5,34,1844,1.062,1,1.536,"lower","SKL"
"338",48,6,35,1845,1.366,1,1.062,"lower","SKL"
"339",48,7,37,1847,1.301,1,1.366,"lower","SKL"
"340",48,8,38,1848,1.161,1,1.301,"lower","SKL"
"341",48,9,39,1849,7.845,0,1.161,"lower","SKL"
"342",49,0,26,1836,1.719,1,NA,"unknown","SKL"
"343",49,1,28,1838,1.262,1,1.719,"unknown","SKL"
"344",49,2,29,1839,1.539,0,1.262,"unknown","SKL"
"345",50,0,33,1843,0.747,1,NA,"upper","SKL"
"346",50,1,34,1844,2.982,1,0.747,"upper","SKL"
"347",50,2,36,1847,3.162,1,2.982,"upper","SKL"
"348",50,3,40,1850,1.257,1,3.162,"upper","SKL"
"349",50,4,41,1851,6.082,0,1.257,"upper","SKL"
"350",51,0,30,1840,0.753,1,NA,"farmer","SKL"
"351",51,1,31,1841,1.747,1,0.753,"farmer","SKL"
"352",51,2,32,1842,0.548,0,1.747,"farmer","SKL"
"353",52,0,32,1842,0.225,1,NA,"farmer","SKL"
"354",52,1,32,1843,1.777,1,0.225,"farmer","SKL"
"355",52,2,34,1844,2.144,1,1.777,"farmer","SKL"
"356",52,3,36,1846,2.752,1,2.144,"farmer","SKL"
"357",52,4,39,1849,1.944,1,2.752,"farmer","SKL"
"358",52,5,41,1851,2.324,0,1.944,"farmer","SKL"
"359",53,0,26,1836,0.964,1,NA,"unknown","SKL"
"360",53,1,27,1837,1.013,1,0.964,"unknown","SKL"
"361",53,2,28,1838,1.643,1,1.013,"unknown","SKL"
"362",53,3,29,1840,1.645,1,1.643,"unknown","SKL"
"363",53,4,31,1841,1.12,1,1.645,"unknown","SKL"
"364",53,5,32,1842,2.127,1,1.12,"unknown","SKL"
"365",53,6,34,1844,1.361,1,2.127,"unknown","SKL"
"366",53,7,35,1846,1.856,1,1.361,"unknown","SKL"
"367",53,8,37,1848,1.498,1,1.856,"unknown","SKL"
"368",53,9,39,1849,2.494,1,1.498,"unknown","SKL"
"369",53,10,41,1852,3.05,1,2.494,"unknown","SKL"
"370",53,11,44,1855,2.646,0,3.05,"unknown","SKL"
"371",54,0,24,1835,0.214,1,NA,"lower","SKL"
"372",54,1,25,1835,0.367,0,0.214,"lower","SKL"
"373",55,0,17,1828,0.945,1,NA,"farmer","SKL"
"374",55,1,18,1829,5.936,1,0.945,"farmer","SKL"
"375",55,2,24,1835,22.945,0,5.936,"farmer","SKL"
"376",56,0,19,1829,6.33,1,NA,"unknown","SKL"
"377",56,1,25,1836,0.966,1,6.33,"unknown","SKL"
"378",56,2,26,1837,2.127,1,0.966,"unknown","SKL"
"379",56,3,28,1839,2.105,1,2.127,"unknown","SKL"
"380",56,4,30,1841,3.149,1,2.105,"unknown","SKL"
"381",56,5,34,1844,2.437,1,3.149,"unknown","SKL"
"382",56,6,36,1847,3.042,1,2.437,"unknown","SKL"
"383",56,7,39,1850,2.292,1,3.042,"unknown","SKL"
"384",56,8,41,1852,2.037,1,2.292,"unknown","SKL"
"385",56,9,43,1854,3.233,1,2.037,"unknown","SKL"
"386",56,10,47,1857,0.33,0,3.233,"unknown","SKL"
"387",57,0,24,1835,1.005,1,NA,"farmer","SKL"
"388",57,2,25,1836,1.908,1,0,"farmer","SKL"
"389",57,3,27,1837,2.177,1,1.908,"farmer","SKL"
"390",57,4,29,1840,3.474,1,2.177,"farmer","SKL"
"391",57,5,32,1843,2.078,1,3.474,"farmer","SKL"
"392",57,6,34,1845,3.622,1,2.078,"farmer","SKL"
"393",57,7,38,1849,6.705,0,3.622,"farmer","SKL"
"394",58,0,24,1835,0.624,1,NA,"farmer","SKL"
"395",58,1,25,1836,2.806,1,0.624,"farmer","SKL"
"396",58,2,28,1839,1.999,1,2.806,"farmer","SKL"
"397",58,3,30,1841,1.719,1,1.999,"farmer","SKL"
"398",58,4,32,1842,3.817,1,1.719,"farmer","SKL"
"399",58,5,35,1846,4.37,1,3.817,"farmer","SKL"
"400",58,6,40,1851,7.229,0,4.37,"farmer","SKL"
"401",59,0,25,1835,0.646,1,NA,"farmer","SKL"
"402",59,1,25,1836,0.63,0,0.646,"farmer","SKL"
"403",60,0,30,1841,3.461,1,NA,"lower","SKL"
"404",60,1,34,1845,13.261,0,3.461,"lower","SKL"
"405",61,0,22,1833,0.994,1,NA,"farmer","SKL"
"406",61,1,23,1834,2.286,1,0.994,"farmer","SKL"
"407",61,2,25,1836,0.277,0,2.286,"farmer","SKL"
"408",62,0,31,1842,0.444,1,NA,"lower","SKL"
"409",62,1,31,1842,1.61,1,0.444,"lower","SKL"
"410",62,2,33,1844,1.703,1,1.61,"lower","SKL"
"411",62,3,35,1846,2.163,1,1.703,"lower","SKL"
"412",62,4,37,1848,2.097,1,2.163,"lower","SKL"
"413",62,5,39,1850,8.119,0,2.097,"lower","SKL"
"414",63,0,23,1834,0.197,1,NA,"lower","SKL"
"415",63,1,24,1835,2.267,1,0.197,"lower","SKL"
"416",63,2,26,1837,3.537,1,2.267,"lower","SKL"
"417",63,3,29,1840,2.193,1,3.537,"lower","SKL"
"418",63,4,32,1843,2.565,1,2.193,"lower","SKL"
"419",63,5,34,1845,2.938,1,2.565,"lower","SKL"
"420",63,6,37,1848,2.303,1,2.938,"lower","SKL"
"421",63,7,39,1850,3.499,1,2.303,"lower","SKL"
"422",63,8,43,1854,2.237,1,3.499,"lower","SKL"
"423",63,9,45,1856,1.773,0,2.237,"lower","SKL"
"424",64,0,22,1833,1.103,1,NA,"farmer","SKL"
"425",64,1,23,1834,1.257,1,1.103,"farmer","SKL"
"426",64,2,25,1836,2.207,1,1.257,"farmer","SKL"
"427",64,3,27,1838,2.262,1,2.207,"farmer","SKL"
"428",64,4,29,1840,2.491,1,2.262,"farmer","SKL"
"429",64,5,32,1843,2.431,1,2.491,"farmer","SKL"
"430",64,6,34,1845,2.456,1,2.431,"farmer","SKL"
"431",64,7,37,1847,3.058,1,2.456,"farmer","SKL"
"432",64,8,40,1851,2.516,1,3.058,"farmer","SKL"
"433",64,9,42,1853,4.891,0,2.516,"farmer","SKL"
"434",65,0,33,1844,0.868,1,NA,"lower","SKL"
"435",65,1,34,1845,2.19,1,0.868,"lower","SKL"
"436",65,2,36,1847,4.783,1,2.19,"lower","SKL"
"437",65,3,41,1852,6.416,0,4.783,"lower","SKL"
"438",66,0,19,1830,0.868,1,NA,"unknown","SKL"
"439",66,1,20,1831,2.445,1,0.868,"unknown","SKL"
"440",66,2,22,1833,1.982,1,2.445,"unknown","SKL"
