"","s","pA","Z"
"21018",27.0116,1542.82,16.8091
"21019",27.0117,1542.82,16.7931
"21020",27.0118,1542.82,16.777
"21021",27.0119,1542.97,16.7625
"21022",27.012,1543.43,16.7473
"21023",27.0121,1544.04,16.732
"21024",27.0122,1543.88,16.7168
"21025",27.0123,1543.73,16.7007
"21026",27.0124,1543.88,16.6862
"21027",27.0125,1544.04,16.671
"21028",27.0126,1544.19,16.6557
"21029",27.0127,1543.88,16.6389
"21030",27.0128,1543.88,16.6237
"21031",27.0129,1543.88,16.6084
"21032",27.013,1544.19,16.5924
"21033",27.0131,1544.04,16.5771
"21034",27.0132,1544.04,16.5619
"21035",27.0133,1543.73,16.5474
"21036",27.0134,1544.04,16.5306
"21037",27.0135,1543.88,16.5154
"21038",27.0136,1544.04,16.5009
"21039",27.0137,1544.34,16.4841
"21040",27.0138,1544.34,16.4696
"21041",27.0139,1544.8,16.4543
"21042",27.014,1544.65,16.4391
"21043",27.0141,1544.49,16.423
"21044",27.0142,1544.34,16.407
"21045",27.0143,1543.73,16.3925
"21046",27.0144,1543.43,16.378
"21047",27.0145,1543.43,16.362
"21048",27.0146,1543.12,16.3467
"21049",27.0147,1543.27,16.3307
"21050",27.0148,1543.12,16.3162
"21051",27.0149,1543.43,16.3002
"21052",27.015,1543.43,16.2857
"21053",27.0151,1543.43,16.2697
"21054",27.0152,1543.27,16.2544
"21055",27.0153,1543.58,16.2376
"21056",27.0154,1543.58,16.2231
"21057",27.0155,1543.58,16.2086
"21058",27.0156,1543.43,16.1942
"21059",27.0157,1543.43,16.1781
"21060",27.0158,1543.43,16.1629
"21061",27.0159,1543.43,16.1476
"21062",27.016,1543.73,16.1324
"21063",27.0161,1544.19,16.1179
"21064",27.0162,1544.34,16.1018
"21065",27.0163,1544.19,16.0866
"21066",27.0164,1543.88,16.0706
"21067",27.0165,1543.58,16.0545
"21068",27.0166,1544.19,16.0385
"21069",27.0167,1543.73,16.024
"21070",27.0168,1544.19,16.0095
"21071",27.0169,1543.88,15.9935
"21072",27.017,1543.88,15.9775
"21073",27.0171,1543.73,15.963
"21074",27.0172,1543.58,15.9477
"21075",27.0173,1543.43,15.9325
"21076",27.0174,1543.12,15.9164
"21077",27.0175,1543.27,15.8997
"21078",27.0176,1543.43,15.8852
"21079",27.0177,1543.58,15.8707
"21080",27.0178,1543.73,15.8539
"21081",27.0179,1543.88,15.8386
"21082",27.018,1543.88,15.8249
"21083",27.0181,1544.49,15.8096
"21084",27.0182,1544.19,15.7944
"21085",27.0183,1544.19,15.7776
"21086",27.0184,1543.58,15.7631
"21087",27.0185,1543.58,15.7486
"21088",27.0186,1543.43,15.7333
"21089",27.0187,1543.58,15.7181
"21090",27.0188,1543.73,15.7013
"21091",27.0189,1543.88,15.6853
"21092",27.019,1544.04,15.6708
"21093",27.0191,1543.73,15.6555
"21094",27.0192,1543.73,15.6403
"21095",27.0193,1543.43,15.625
"21096",27.0194,1543.43,15.6097
"21097",27.0195,1543.43,15.5945
"21098",27.0196,1543.27,15.5785
"21099",27.0197,1543.58,15.5632
"21100",27.0198,1543.27,15.5479
"21101",27.0199,1543.43,15.5327
"21102",27.02,1543.73,15.5167
"21103",27.0201,1543.73,15.5014
"21104",27.0202,1543.58,15.4869
"21105",27.0203,1543.73,15.4716
"21106",27.0204,1543.73,15.4564
"21107",27.0205,1543.27,15.4411
"21108",27.0206,1543.73,15.4266
"21109",27.0207,1543.88,15.4106
"21110",27.0208,1544.19,15.3946
"21111",27.0209,1543.88,15.3801
"21112",27.021,1543.73,15.3641
"21113",27.0211,1543.12,15.3496
"21114",27.0212,1542.97,15.3336
"21115",27.0213,1543.58,15.3175
"21116",27.0214,1544.04,15.3038
"21117",27.0215,1544.34,15.287
"21118",27.0216,1544.65,15.2725
"21119",27.0217,1544.65,15.2565
"21120",27.0218,1544.19,15.2405
"21121",27.0219,1544.19,15.226
"21122",27.022,1544.04,15.2115
"21123",27.0221,1544.49,15.1955
"21124",27.0222,1544.49,15.1802
"21125",27.0223,1544.04,15.1642
"21126",27.0224,1543.27,15.1497
"21127",27.0225,1542.82,15.1352
"21128",27.0226,1542.82,15.1192
"21129",27.0227,1543.27,15.1031
"21130",27.0228,1543.58,15.0894
"21131",27.0229,1543.58,15.0742
"21132",27.023,1543.58,15.0574
"21133",27.0231,1543.43,15.0421
"21134",27.0232,1543.58,15.0269
"21135",27.0233,1543.88,15.0116
"21136",27.0234,1544.19,14.9963
"21137",27.0235,1544.04,14.9803
"21138",27.0236,1543.88,14.9658
"21139",27.0237,1543.58,14.9498
"21140",27.0238,1543.88,14.9345
"21141",27.0239,1544.04,14.9185
"21142",27.024,1544.19,14.904
"21143",27.0241,1544.19,14.8888
"21144",27.0242,1544.34,14.8735
"21145",27.0243,1544.34,14.859
"21146",27.0244,1544.49,14.843
"21147",27.0245,1544.19,14.8277
"21148",27.0246,1544.19,14.8125
"21149",27.0247,1543.88,14.798
"21150",27.0248,1543.88,14.782
"21151",27.0249,1544.04,14.7675
"21152",27.025,1543.27,14.7514
"21153",27.0251,1543.12,14.7362
"21154",27.0252,1542.97,14.7209
"21155",27.0253,1542.82,14.7049
"21156",27.0254,1542.97,14.6912
"21157",27.0255,1543.12,14.6744
"21158",27.0256,1542.97,14.6591
"21159",27.0257,1543.12,14.6446
"21160",27.0258,1543.27,14.6294
"21161",27.0259,1544.04,14.6133
"21162",27.026,1544.04,14.5988
"21163",27.0261,1544.04,14.5828
"21164",27.0262,1543.88,14.5676
"21165",27.0263,1543.88,14.5523
"21166",27.0264,1543.58,14.537
"21167",27.0265,1543.43,14.5226
"21168",27.0266,1543.12,14.5065
"21169",27.0267,1543.12,14.492
"21170",27.0268,1543.12,14.4775
"21171",27.0269,1542.97,14.4615
"21172",27.027,1543.12,14.447
"21173",27.0271,1542.97,14.4318
"21174",27.0272,1543.27,14.4157
"21175",27.0273,1543.27,14.4012
"21176",27.0274,1542.97,14.3852
"21177",27.0275,1543.12,14.3707
"21178",27.0276,1543.12,14.3555
"21179",27.0277,1543.12,14.3394
"21180",27.0278,1543.43,14.325
"21181",27.0279,1543.12,14.3089
"21182",27.028,1543.27,14.2929
"21183",27.0281,1542.66,14.2792
"21184",27.0282,1543.12,14.2632
"21185",27.0283,1543.27,14.2487
"21186",27.0284,1543.43,14.2334
"21187",27.0285,1543.73,14.2181
"21188",27.0286,1543.43,14.2029
"21189",27.0287,1543.27,14.1861
"21190",27.0288,1542.97,14.1716
"21191",27.0289,1542.66,14.1563
"21192",27.029,1542.51,14.1411
"21193",27.0291,1542.36,14.1251
"21194",27.0292,1542.05,14.1106
"21195",27.0293,1541.75,14.0968
"21196",27.0294,1541.29,14.08
"21197",27.0295,1541.14,14.0656
"21198",27.0296,1540.53,14.0495
"21199",27.0297,1540.68,14.0358
"21200",27.0298,1539.76,14.0205
"21201",27.0299,1538.09,14.006
"21202",27.03,1533.51,13.99
"21203",27.0301,1521.15,13.974
"21204",27.0302,1496.28,13.9595
"21205",27.0303,1455.69,13.9435
"21206",27.0304,1402.74,13.9282
"21207",27.0305,1365.81,13.9153
"21208",27.0306,1366.58,13.903
"21209",27.0307,1399.08,13.8962
"21210",27.0308,1445.62,13.8924
"21211",27.0309,1490.78,13.8969
"21212",27.031,1525.57,13.9069
"21213",27.0311,1548.92,13.9252
"21214",27.0312,1560.97,13.9503
"21215",27.0313,1560.82,13.9854
"21216",27.0314,1542.82,14.0274
"21217",27.0315,1513.37,14.0762
"21218",27.0316,1494.14,14.1312
"21219",27.0317,1493.23,14.1922
"21220",27.0318,1504.06,14.2593
"21221",27.0319,1516.11,14.3303
"21222",27.032,1525.42,14.4058
"21223",27.0321,1531.07,14.4844
"21224",27.0322,1534.27,14.5683
"21225",27.0323,1536.1,14.6538
"21226",27.0324,1537.48,14.743
"21227",27.0325,1538.7,14.8338
"21228",27.0326,1539.92,14.9277
"21229",27.0327,1540.53,15.023
"21230",27.0328,1541.14,15.1199
"21231",27.0329,1541.75,15.2191
"21232",27.033,1542.05,15.3198
"21233",27.0331,1542.66,15.4213
"21234",27.0332,1542.66,15.5243
"21235",27.0333,1542.82,15.6265
"21236",27.0334,1542.82,15.731
"21237",27.0335,1543.43,15.8371
"21238",27.0336,1543.12,15.9416
"21239",27.0337,1543.88,16.0469
"21240",27.0338,1543.73,16.1537
"21241",27.0339,1543.73,16.2605
"21242",27.034,1543.88,16.3673
"21243",27.0341,1543.43,16.4726
"21244",27.0342,1543.43,16.5779
"21245",27.0343,1543.58,16.6855
"21246",27.0344,1543.73,16.7915
"21247",27.0345,1543.88,16.8968
"21248",27.0346,1544.04,16.9998
"21249",27.0347,1543.88,17.099
"21250",27.0348,1544.19,17.1928
"21251",27.0349,1543.88,17.2821
"21252",27.035,1544.04,17.3637
"21253",27.0351,1544.04,17.4377
"21254",27.0352,1544.19,17.5041
"21255",27.0353,1544.04,17.5613
"21256",27.0354,1544.65,17.6102
"21257",27.0355,1544.65,17.6537
"21258",27.0356,1545.26,17.6903
"21259",27.0357,1544.95,17.72
"21260",27.0358,1545.1,17.746
"21261",27.0359,1545.26,17.7673
"21262",27.036,1544.95,17.7841
"21263",27.0361,1544.95,17.7986
"21264",27.0362,1544.95,17.8093
"21265",27.0363,1544.95,17.8207
"21266",27.0364,1544.95,17.8284
"21267",27.0365,1544.8,17.8345
"21268",27.0366,1544.49,17.8398
"21269",27.0367,1543.58,17.8436
"21270",27.0368,1543.43,17.8452
"21271",27.0369,1543.43,17.8482
"21272",27.037,1543.12,17.8505
"21273",27.0371,1543.27,17.8528
"21274",27.0372,1543.27,17.8528
"21275",27.0373,1543.73,17.8535
"21276",27.0374,1543.58,17.8551
"21277",27.0375,1543.58,17.8551
"21278",27.0376,1543.58,17.8543
"21279",27.0377,1543.58,17.8551
"21280",27.0378,1543.58,17.8543
"21281",27.0379,1543.73,17.8551
"21282",27.038,1543.58,17.8535
"21283",27.0381,1543.73,17.8543
"21284",27.0382,1543.88,17.8543
"21285",27.0383,1543.73,17.8528
"21286",27.0384,1543.88,17.8528
"21287",27.0385,1543.58,17.8535
"21288",27.0386,1543.88,17.8535
"21289",27.0387,1543.88,17.8513
"21290",27.0388,1544.04,17.852
"21291",27.0389,1544.04,17.8513
"21292",27.039,1544.19,17.852
"21293",27.0391,1544.19,17.8528
"21294",27.0392,1544.65,17.8513
"21295",27.0393,1543.88,17.8513
"21296",27.0394,1543.58,17.8505
"21297",27.0395,1543.73,17.8513
"21298",27.0396,1543.43,17.8513
"21299",27.0397,1543.27,17.8497
"21300",27.0398,1543.58,17.8513
"21301",27.0399,1543.58,17.8505
"21302",27.04,1543.58,17.8497
"21303",27.0401,1543.88,17.8497
"21304",27.0402,1544.04,17.849
"21305",27.0403,1544.49,17.849
"21306",27.0404,1544.8,17.8482
"21307",27.0405,1544.65,17.8482
"21308",27.0406,1544.65,17.8474
"21309",27.0407,1544.49,17.8467
"21310",27.0408,1544.19,17.8444
"21311",27.0409,1544.19,17.8429
"21312",27.041,1544.34,17.8406
"21313",27.0411,1544.19,17.836
"21314",27.0412,1544.49,17.8307
"21315",27.0413,1544.95,17.8246
"21316",27.0414,1544.8,17.8177
"21317",27.0415,1545.26,17.8093
"21318",27.0416,1545.1,17.7994
"21319",27.0417,1544.65,17.7902
"21320",27.0418,1544.8,17.7795
"21321",27.0419,1544.8,17.7696
"21322",27.042,1544.65,17.7582
"21323",27.0421,1544.34,17.7452
"21324",27.0422,1544.19,17.7338
"21325",27.0423,1543.88,17.7208
"21326",27.0424,1544.19,17.7078
"21327",27.0425,1544.19,17.6949
"21328",27.0426,1544.19,17.6804
"21329",27.0427,1544.04,17.6659
"21330",27.0428,1544.49,17.6529
"21331",27.0429,1544.19,17.6399
"21332",27.043,1544.8,17.6254
"21333",27.0431,1544.8,17.6109
"21334",27.0432,1544.49,17.5941
"21335",27.0433,1543.73,17.5797
"21336",27.0434,1543.27,17.5659
"21337",27.0435,1542.97,17.5514
"21338",27.0436,1543.27,17.5362
"21339",27.0437,1543.43,17.5201
"21340",27.0438,1543.73,17.5056
"21341",27.0439,1544.19,17.4904
"21342",27.044,1544.19,17.4744
"21343",27.0441,1544.04,17.4591
"21344",27.0442,1543.88,17.4438
"21345",27.0443,1543.73,17.4286
"21346",27.0444,1543.58,17.4126
"21347",27.0445,1543.88,17.3981
"21348",27.0446,1543.88,17.382
"21349",27.0447,1544.19,17.3668
"21350",27.0448,1543.58,17.3508
"21351",27.0449,1543.73,17.337
"21352",27.045,1544.04,17.3218
"21353",27.0451,1544.19,17.305
"21354",27.0452,1544.19,17.2897
"21355",27.0453,1544.04,17.2752
"21356",27.0454,1544.19,17.2592
"21357",27.0455,1544.34,17.244
"21358",27.0456,1544.19,17.2279
"21359",27.0457,1544.04,17.2112
"21360",27.0458,1543.73,17.1967
"21361",27.0459,1543.43,17.1814
"21362",27.046,1543.58,17.1669
"21363",27.0461,1543.58,17.1516
"21364",27.0462,1543.58,17.1356
"21365",27.0463,1543.88,17.1204
"21366",27.0464,1544.34,17.1059
"21367",27.0465,1544.34,17.0891
"21368",27.0466,1544.19,17.0731
"21369",27.0467,1543.73,17.0578
"21370",27.0468,1543.73,17.0425
"21371",27.0469,1542.97,17.0265
"21372",27.047,1542.82,17.0113
"21373",27.0471,1542.66,16.9968
"21374",27.0472,1543.12,16.9815
"21375",27.0473,1543.27,16.9662
"21376",27.0474,1543.12,16.9502
"21377",27.0475,1543.43,16.935
"21378",27.0476,1543.73,16.9197
"21379",27.0477,1544.19,16.9044
"21380",27.0478,1544.49,16.8884
"21381",27.0479,1544.34,16.8732
"21382",27.048,1544.04,16.8587
"21383",27.0481,1543.88,16.8434
"21384",27.0482,1543.27,16.8274
"21385",27.0483,1543.27,16.8121
"21386",27.0484,1542.82,16.7969
"21387",27.0485,1543.43,16.7816
"21388",27.0486,1543.58,16.7671
"21389",27.0487,1544.19,16.7503
"21390",27.0488,1544.34,16.7358
"21391",27.0489,1544.34,16.7206
"21392",27.049,1543.88,16.7046
"21393",27.0491,1544.04,16.6893
"21394",27.0492,1543.58,16.6748
"21395",27.0493,1543.73,16.658
"21396",27.0494,1544.19,16.642
"21397",27.0495,1544.19,16.626
"21398",27.0496,1544.34,16.6115
"21399",27.0497,1544.19,16.5962
"21400",27.0498,1543.73,16.581
"21401",27.0499,1543.58,16.5649
"21402",27.05,1543.58,16.5497
"21403",27.0501,1543.58,16.5337
"21404",27.0502,1544.04,16.5184
"21405",27.0503,1544.04,16.5031
"21406",27.0504,1543.73,16.4879
"21407",27.0505,1543.73,16.4726
"21408",27.0506,1543.73,16.4566
"21409",27.0507,1543.58,16.4413
"21410",27.0508,1543.58,16.4261
"21411",27.0509,1543.27,16.4116
"21412",27.051,1542.97,16.3956
"21413",27.0511,1542.82,16.3803
"21414",27.0512,1542.66,16.3643
"21415",27.0513,1542.82,16.3498
"21416",27.0514,1542.66,16.3338
"21417",27.0515,1542.97,16.3185
"21418",27.0516,1543.12,16.304
"21419",27.0517,1543.27,16.2888
"21420",27.0518,1543.27,16.2743
"21421",27.0519,1543.27,16.2598
"21422",27.052,1543.27,16.243
"21423",27.0521,1543.58,16.227
"21424",27.0522,1543.27,16.2125
"21425",27.0523,1543.27,16.1972
"21426",27.0524,1542.66,16.1819
"21427",27.0525,1542.36,16.1659
"21428",27.0526,1542.36,16.1514
"21429",27.0527,1543.27,16.1346
"21430",27.0528,1543.43,16.1209
"21431",27.0529,1543.73,16.1041
"21432",27.053,1544.19,16.0889
"21433",27.0531,1544.04,16.0736
"21434",27.0532,1544.19,16.0576
"21435",27.0533,1544.49,16.0423
"21436",27.0534,1544.49,16.0278
"21437",27.0535,1544.49,16.0133
"21438",27.0536,1544.34,15.9973
"21439",27.0537,1544.19,15.9813
"21440",27.0538,1544.19,15.966
"21441",27.0539,1544.04,15.95
"21442",27.054,1543.88,15.9348
"21443",27.0541,1544.34,15.9203
"21444",27.0542,1544.65,15.9042
"21445",27.0543,1544.19,15.889
"21446",27.0544,1544.34,15.873
"21447",27.0545,1543.88,15.8585
"21448",27.0546,1543.73,15.8424
"21449",27.0547,1543.43,15.8272
"21450",27.0548,1543.43,15.8112
"21451",27.0549,1543.88,15.7967
"21452",27.055,1543.88,15.7822
"21453",27.0551,1544.19,15.7654
"21454",27.0552,1544.49,15.7501
"21455",27.0553,1544.49,15.7349
"21456",27.0554,1544.8,15.7188
"21457",27.0555,1544.65,15.7051
"21458",27.0556,1544.04,15.6891
"21459",27.0557,1543.73,15.6746
"21460",27.0558,1542.97,15.6578
"21461",27.0559,1542.97,15.6425
"21462",27.056,1543.27,15.6273
"21463",27.0561,1543.58,15.6136
"21464",27.0562,1544.04,15.5975
"21465",27.0563,1544.19,15.5815
"21466",27.0564,1544.19,15.567
"21467",27.0565,1544.49,15.551
"21468",27.0566,1544.19,15.535
"21469",27.0567,1544.04,15.5212
"21470",27.0568,1543.27,15.5037
"21471",27.0569,1542.97,15.4892
"21472",27.057,1543.12,15.4739
"21473",27.0571,1542.97,15.4587
"21474",27.0572,1542.97,15.4434
"21475",27.0573,1542.66,15.4282
"21476",27.0574,1542.97,15.4137
"21477",27.0575,1543.43,15.3984
"21478",27.0576,1543.43,15.3831
"21479",27.0577,1543.58,15.3679
"21480",27.0578,1543.43,15.3519
"21481",27.0579,1543.12,15.3358
"21482",27.058,1542.97,15.3206
"21483",27.0581,1542.36,15.3053
"21484",27.0582,1542.82,15.2901
"21485",27.0583,1542.82,15.2748
"21486",27.0584,1543.27,15.2596
"21487",27.0585,1543.43,15.2443
"21488",27.0586,1543.58,15.2283
"21489",27.0587,1543.58,15.2122
"21490",27.0588,1542.82,15.197
"21491",27.0589,1542.51,15.1833
"21492",27.059,1542.51,15.168
"21493",27.0591,1542.66,15.1527
"21494",27.0592,1543.12,15.1375
"21495",27.0593,1543.73,15.1222
"21496",27.0594,1543.43,15.107
"21497",27.0595,1543.27,15.0909
"21498",27.0596,1543.12,15.0757
"21499",27.0597,1543.12,15.062
"21500",27.0598,1542.97,15.0467
"21501",27.0599,1543.58,15.0291
"21502",27.06,1543.27,15.0139
"21503",27.0601,1543.73,14.9994
"21504",27.0602,1543.73,14.9834
"21505",27.0603,1543.73,14.9689
"21506",27.0604,1543.58,14.9529
"21507",27.0605,1543.58,14.9384
"21508",27.0606,1543.58,14.9231
"21509",27.0607,1543.27,14.9071
"21510",27.0608,1542.97,14.8926
"21511",27.0609,1543.12,14.8781
"21512",27.061,1543.12,14.8613
"21513",27.0611,1542.82,14.846
"21514",27.0612,1543.12,14.8315
"21515",27.0613,1543.27,14.8163
"21516",27.0614,1543.73,14.8018
"21517",27.0615,1544.04,14.7858
"21518",27.0616,1544.34,14.769
"21519",27.0617,1544.19,14.7545
"21520",27.0618,1544.19,14.7385
"21521",27.0619,1543.88,14.7224
"21522",27.062,1543.88,14.7072
"21523",27.0621,1543.73,14.6927
"21524",27.0622,1543.73,14.6782
"21525",27.0623,1543.73,14.6622
"21526",27.0624,1543.27,14.6469
"21527",27.0625,1542.97,14.6317
"21528",27.0626,1542.82,14.6164
"21529",27.0627,1542.66,14.6011
"21530",27.0628,1542.51,14.5859
"21531",27.0629,1542.66,14.5714
"21532",27.063,1542.36,14.5554
"21533",27.0631,1542.51,14.5401
"21534",27.0632,1542.97,14.5241
"21535",27.0633,1543.43,14.5088
"21536",27.0634,1543.43,14.4943
"21537",27.0635,1543.58,14.4791
"21538",27.0636,1542.82,14.4638
"21539",27.0637,1542.66,14.4501
"21540",27.0638,1542.36,14.4341
"21541",27.0639,1542.21,14.4173
"21542",27.064,1542.36,14.4028
"21543",27.0641,1542.66,14.3875
"21544",27.0642,1542.82,14.3723
"21545",27.0643,1543.12,14.357
"21546",27.0644,1542.97,14.3425
"21547",27.0645,1542.82,14.3272
"21548",27.0646,1542.82,14.312
"21549",27.0647,1542.66,14.296
"21550",27.0648,1542.51,14.2815
"21551",27.0649,1542.21,14.2662
"21552",27.065,1542.36,14.2517
"21553",27.0651,1542.66,14.2365
"21554",27.0652,1542.82,14.2204
"21555",27.0653,1542.51,14.2059
"21556",27.0654,1542.97,14.1899
"21557",27.0655,1542.21,14.1747
"21558",27.0656,1542.05,14.1594
"21559",27.0657,1541.6,14.1441
"21560",27.0658,1541.29,14.1296
"21561",27.0659,1541.44,14.1144
"21562",27.066,1541.14,14.0984
"21563",27.0661,1540.99,14.0831
"21564",27.0662,1540.99,14.0678
"21565",27.0663,1540.37,14.0533
"21566",27.0664,1540.07,14.0381
"21567",27.0665,1539.15,14.0221
"21568",27.0666,1537.78,14.0068
"21569",27.0667,1534.12,13.9923
"21570",27.0668,1522.52,13.9778
"21571",27.0669,1500.4,13.961
"21572",27.067,1461.79,13.9481
"21573",27.0671,1408.08,13.932
"21574",27.0672,1363.83,13.9191
"21575",27.0673,1356.2,13.9069
"21576",27.0674,1384.43,13.8992
"21577",27.0675,1431.27,13.8977
"21578",27.0676,1477.97,13.8992
"21579",27.0677,1514.74,13.9099
"21580",27.0678,1538.09,13.9282
"21581",27.0679,1549.68,13.9542
"21582",27.068,1547.09,13.9893
"21583",27.0681,1524.05,14.0305
"21584",27.0682,1494.6,14.08
"21585",27.0683,1480.41,14.135
"21586",27.0684,1485.75,14.1975
"21587",27.0685,1499.94,14.2632
"21588",27.0686,1514.13,14.3341
"21589",27.0687,1524.2,14.4096
"21590",27.0688,1530.3,14.4897
"21591",27.0689,1533.2,14.5721
"21592",27.069,1534.73,14.6576
"21593",27.0691,1535.03,14.7461
"21594",27.0692,1536.25,14.8376
"21595",27.0693,1537.48,14.9307
"21596",27.0694,1539.15,15.0269
"21597",27.0695,1539.92,15.1253
"21598",27.0696,1540.37,15.2237
"21599",27.0697,1540.83,15.3236
"21600",27.0698,1541.44,15.4251
"21601",27.0699,1541.9,15.5281
"21602",27.07,1541.75,15.6326
"21603",27.0701,1542.05,15.7364
"21604",27.0702,1542.82,15.8417
"21605",27.0703,1542.97,15.9462
"21606",27.0704,1543.27,16.0515
"21607",27.0705,1543.27,16.1575
"21608",27.0706,1542.97,16.2628
"21609",27.0707,1542.97,16.3704
"21610",27.0708,1543.12,16.4764
"21611",27.0709,1543.58,16.5825
"21612",27.071,1543.88,16.6885
"21613",27.0711,1544.49,16.7961
"21614",27.0712,1544.04,16.9006
"21615",27.0713,1543.73,17.0044
"21616",27.0714,1543.73,17.1028
"21617",27.0715,1543.58,17.1974
"21618",27.0716,1543.73,17.2874
"21619",27.0717,1544.19,17.3691
"21620",27.0718,1543.73,17.4431
"21621",27.0719,1543.58,17.5087
"21622",27.072,1543.58,17.5667
"21623",27.0721,1543.27,17.6155
"21624",27.0722,1543.58,17.6582
"21625",27.0723,1543.88,17.6949
"21626",27.0724,1544.19,17.7238
"21627",27.0725,1544.04,17.7505
"21628",27.0726,1544.65,17.7711
"21629",27.0727,1544.65,17.7902
"21630",27.0728,1544.65,17.804
"21631",27.0729,1544.65,17.8154
"21632",27.073,1544.65,17.8253
"21633",27.0731,1544.65,17.8337
"21634",27.0732,1544.19,17.8391
"21635",27.0733,1544.19,17.8452
"21636",27.0734,1544.19,17.849
"21637",27.0735,1543.73,17.8513
"21638",27.0736,1543.88,17.8543
"21639",27.0737,1544.04,17.8551
"21640",27.0738,1544.04,17.8566
"21641",27.0739,1544.19,17.8581
"21642",27.074,1544.19,17.8581
"21643",27.0741,1544.34,17.8589
"21644",27.0742,1544.65,17.8596
"21645",27.0743,1544.49,17.8612
