"","sample","x","y","cadmium","copper","lead","zinc","elev","dist.m","om","ffreq","soil","lime","landuse","in.pit","in.meuse155","in.BMcD"
"56",56,179826,332217,9.4,104,482,1528,7.74,10,13.9,1,1,1,"W",FALSE,TRUE,TRUE
"57",57,179687,332161,8.2,76,276,933,7.552,20,8.1,1,1,1,"W",FALSE,TRUE,TRUE
"58",58,179792,332035,2.6,36,180,432,7.76,200,3.1,1,1,0,"Fw",FALSE,TRUE,TRUE
"59",59,179902,332113,3.5,34,207,550,6.74,140,5.8,1,1,0,"Fw",FALSE,TRUE,TRUE
"60",60,180100,332213,10.9,90,541,1571,6.68,70,10.2,1,1,1,"Fw",FALSE,TRUE,TRUE
"61",61,179604,332059,7.3,80,310,1190,7.4,20,12,1,1,1,"W",FALSE,TRUE,TRUE
"62",62,179526,331936,9.4,78,210,907,7.44,10,14.1,1,1,1,"W",FALSE,TRUE,TRUE
"63",63,179495,331770,8.3,77,158,761,7.36,10,14.5,1,1,1,"Fw",FALSE,TRUE,TRUE
"64",64,179489,331633,7,65,141,659,7.2,20,14.8,1,1,1,"W",FALSE,TRUE,TRUE
"65",65,179414,331494,6.8,66,144,643,7.22,10,13.3,1,1,1,"Ah",FALSE,TRUE,TRUE
"66",66,179334,331366,7.4,72,181,801,7.36,20,15.2,1,1,1,"W",FALSE,TRUE,TRUE
"67",67,179255,331264,6.6,75,173,784,5.18,20,11.4,1,1,1,"W",FALSE,TRUE,TRUE
"68",68,179364,331150,4.6,47,120,500,0,200,6.4,1,1,1,"W",TRUE,FALSE,FALSE
"69",69,179470,331125,7.8,75,399,1060,5.8,270,9,1,1,0,"Ah",FALSE,TRUE,TRUE
"70",70,179474,331304,1.8,25,81,241,7.932,160,2.9,2,2,1,"Ah",FALSE,TRUE,TRUE
"71",71,179559,331423,2.2,27,131,317,7.82,160,4.5,2,1,0,"W",FALSE,TRUE,TRUE
"72",72,179662,331563,0.9,23,69,180,0,220,2.2,2,2,0,"W",TRUE,FALSE,FALSE
"73",73,179558,331145,1.3,21,68,163,0,320,4.5,2,2,0,"OPSLAG",TRUE,FALSE,FALSE
"74",74,179516,331040,0.4,20,51,115,0,350,3.6,1,2,1,"Ah",TRUE,FALSE,FALSE
"75",75,179692,330933,0.7,22,45,119,7.64,560,3.6,1,1,1,"Fw",FALSE,TRUE,TRUE
"76",76,179852,330801,3.4,55,325,778,6.32,750,6.9,1,1,0,"Bw",FALSE,TRUE,TRUE
"77",77,179341,330962,0.4,20,27,107,0,260,3,1,2,1,"Ah",TRUE,FALSE,FALSE
"78",78,179239,331071,0.9,26,53,172,0,120,3.4,1,1,1,"Ah",TRUE,FALSE,FALSE
"79",79,179140,330955,3.9,47,268,703,5.76,80,7,1,1,1,"Ab",FALSE,TRUE,TRUE
"80",80,179128,330867,3.5,46,252,676,6.48,130,6.2,1,1,1,"Ab",FALSE,TRUE,TRUE
"81",81,179065,330864,4.7,55,315,793,6.48,110,6.5,1,1,0,"W",FALSE,TRUE,TRUE
"82",82,179007,330727,3.9,49,260,685,6.32,200,5.7,1,1,0,"W",FALSE,TRUE,TRUE
"83",83,179110,330758,3.1,39,237,593,6.32,260,7,1,1,1,"Ah",FALSE,TRUE,TRUE
"84",84,179032,330645,2.9,45,228,549,6.16,270,7.3,1,1,0,"W",FALSE,TRUE,TRUE
"85",85,179095,330636,3.9,48,241,680,6.56,320,8.2,1,1,0,"W",FALSE,TRUE,TRUE
"86",86,179058,330510,2.7,36,201,539,6.9,360,4.3,1,1,0,"Ah",FALSE,TRUE,TRUE
"87",87,178810,330666,2.5,36,204,560,7.54,80,4.4,1,1,1,"Am",FALSE,TRUE,TRUE
"88",88,178912,330779,5.6,68,429,1136,6.42,100,8.2,1,1,1,"W",FALSE,TRUE,TRUE
"89",89,178981,330924,9.4,88,462,1383,6.28,70,8.5,1,1,1,"W",FALSE,TRUE,TRUE
"90",90,179076,331005,10.8,85,333,1161,6.34,20,9.6,1,1,1,"W",FALSE,TRUE,TRUE
"91",91,179022,330873,2.8,36,216,545,8.575,140,10.7,2,1,0,"W",FALSE,TRUE,TRUE
"92",92,178953,330742,2.4,41,145,505,8.536,150,9.4,2,1,0,"W",FALSE,TRUE,TRUE
"93",93,178875,330516,2.6,33,163,420,8.504,220,9,2,1,0,"Ah",FALSE,TRUE,TRUE
"94",94,178803,330349,1.8,27,129,332,8.659,280,7,2,1,0,"Am",FALSE,TRUE,TRUE
"95",95,179029,330394,2,38,148,400,7.633,450,6.5,2,1,1,"Am",FALSE,TRUE,TRUE
"96",96,178605,330406,2.7,37,214,553,8.538,70,9.4,2,1,1,"Am",FALSE,TRUE,TRUE
"97",97,178701,330557,2.7,34,226,577,7.68,70,10.2,2,1,0,"Am",FALSE,TRUE,TRUE
"98",98,179547,330245,0.9,19,54,155,7.564,340,6.4,2,1,0,"W",FALSE,TRUE,FALSE
"99",99,179301,330179,0.9,22,70,224,7.76,470,7.6,2,1,0,"W",FALSE,TRUE,FALSE
"100",100,179405,330567,0.4,26,73,180,7.653,630,7,2,1,0,"Am",FALSE,TRUE,TRUE
"101",101,179462,330766,0.8,25,87,226,7.951,460,5.6,2,1,0,"Am",FALSE,TRUE,TRUE
"102",102,179293,330797,0.4,22,76,186,8.176,320,6.5,2,1,0,"Am",FALSE,TRUE,TRUE
"103",103,179180,330710,0.4,24,81,198,8.468,320,6.6,2,1,0,"Ah",FALSE,TRUE,TRUE
"104",104,179206,330398,0.4,18,68,187,8.41,540,5.9,2,1,0,"W",FALSE,TRUE,TRUE
"105",105,179618,330458,0.8,23,66,199,7.61,420,6.5,2,1,0,"W",FALSE,TRUE,TRUE
"106",106,179782,330540,0.4,22,49,157,7.792,380,6.4,2,1,0,"SPORT",FALSE,TRUE,TRUE
"107",107,179637,330570,0.4,20,75,194,0,470,6,2,1,1,"W",TRUE,FALSE,FALSE
"108",108,179980,330773,0.4,23,63,203,8.76,500,7.2,2,2,0,"W",FALSE,TRUE,TRUE
"109",109,180067,331185,0.4,23,48,143,9.879,760,6.6,2,3,0,"Am",FALSE,TRUE,TRUE
"110",110,180162,331387,0,23,51,136,9.097,750,4.3,2,2,0,"Ah",FALSE,TRUE,TRUE
"111",111,180451,331473,0,18,50,117,9.095,1000,5.3,2,3,0,"Fw",FALSE,TRUE,TRUE
"112",112,180328,331158,0.4,20,39,113,9.717,860,4.1,2,3,0,"Ah",FALSE,TRUE,TRUE
"113",113,180276,330963,0,22,48,130,9.924,680,6.1,2,3,0,"Ah",FALSE,TRUE,TRUE
"114",114,180114,330803,0,27,64,192,9.404,500,7.5,2,3,0,"Fw",FALSE,TRUE,TRUE
"115",115,179881,330912,0.4,25,84,240,10.52,650,8.8,2,3,0,"STAD",FALSE,TRUE,TRUE
"116",116,179774,330921,0,30,67,221,8.84,630,5.7,2,3,0,"DEN",FALSE,TRUE,TRUE
"117",117,179657,331150,0,23,49,140,8.472,410,6.1,2,3,0,"Fw",FALSE,TRUE,TRUE
"118",118,179731,331245,0,24,48,128,9.634,390,7.1,2,3,0,"Ah",FALSE,TRUE,TRUE
"119",119,179717,331441,0,21,56,166,9.206,310,4.1,2,2,0,"Ah",FALSE,TRUE,TRUE
"120",120,179446,331422,0,24,65,191,8.47,70,6,2,1,0,"Ah",FALSE,TRUE,TRUE
"121",121,179524,331565,0,21,84,232,8.463,70,6.6,2,1,0,"W",FALSE,TRUE,TRUE
"122",122,179644,331730,0,23,75,203,9.691,150,6.8,2,1,1,"STAD",FALSE,TRUE,TRUE
"123",123,180151,330353,18.1,76,464,1672,7.307,50,17,1,1,1,"W",FALSE,TRUE,TRUE
"124",124,180321,330366,3.7,53,250,722,8.704,80,9.1,2,2,0,"Bw",FALSE,TRUE,TRUE
"125",125,180162,331837,0,33,81,210,9.42,450,5.9,2,2,0,"Ah",FALSE,TRUE,TRUE
"126",126,180029,331720,0,22,72,198,9.573,530,4.9,2,2,0,"Aa",FALSE,TRUE,TRUE
"127",127,179797,331919,0,23,86,139,9.555,240,7.1,2,1,0,"W",FALSE,TRUE,TRUE
"128",128,179642,331955,0,25,94,253,8.779,70,8.1,2,1,1,"Tv",FALSE,TRUE,TRUE
"129",129,179849,332142,1.2,30,244,703,8.54,70,8.3,2,1,0,"Fw",FALSE,TRUE,TRUE
"130",130,180265,332297,2.4,47,297,832,8.809,60,10,2,1,0,"Ah",FALSE,TRUE,TRUE
"131",131,180107,332101,0,31,96,262,9.523,190,5.9,2,1,0,"Ah",FALSE,TRUE,TRUE
"132",132,180462,331947,0,20,56,142,9.811,450,5,2,2,0,"Ah",FALSE,TRUE,TRUE
"133",133,180478,331822,0,16,49,119,9.604,550,4.5,2,2,0,"Am",FALSE,TRUE,TRUE
"134",134,180347,331700,0,17,50,152,9.732,650,5.4,2,2,0,"Am",FALSE,TRUE,TRUE
"135",135,180862,333116,0.4,26,148,415,9.518,100,2.3,2,1,0,"Am",FALSE,TRUE,FALSE
"136",136,180700,332882,1.6,34,162,474,9.72,170,7.5,2,1,0,"W",FALSE,TRUE,FALSE
"137",137,180923,332874,0,20,80,220,9.155,290,4.4,3,1,0,"Aa",FALSE,TRUE,FALSE
"138",138,180467,331694,0,14,49,133,10.08,680,4.4,3,2,0,"Am",FALSE,TRUE,TRUE
"139",139,180319,331540,0.8,18,57,1769,9.52,760,5,3,2,0,"W",FALSE,FALSE,TRUE
"140",140,179917,331325,0.8,46,42,141,9.97,540,4.5,3,2,0,"Am",FALSE,TRUE,TRUE
"141",141,179822,331242,1,29,48,158,10.136,480,5.2,3,2,0,"Am",FALSE,TRUE,TRUE
"142",142,179991,331069,0.8,19,41,129,10.32,720,4.6,3,3,0,"W",FALSE,TRUE,TRUE
"143",143,179120,330578,1.2,31,73,206,9.041,380,6.9,3,1,0,"W",FALSE,TRUE,TRUE
"144",144,179034,330561,2,27,146,451,7.86,310,7,3,1,0,"W",FALSE,TRUE,TRUE
"145",145,179085,330433,1.5,29,95,296,8.741,430,5.4,3,1,0,"Ah",FALSE,TRUE,TRUE
"146",146,179236,330046,1.1,22,72,189,7.822,370,6.2,3,1,0,"Ah",FALSE,TRUE,FALSE
"147",147,179456,330072,0.8,20,51,154,7.78,290,5,3,1,0,"Fw",FALSE,TRUE,FALSE
"148",148,179550,329940,0.8,20,54,169,8.121,150,5.1,3,1,0,"W",FALSE,TRUE,FALSE
"149",149,179445,329807,2.1,29,136,403,8.231,70,8.1,3,1,0,"Bw",FALSE,TRUE,FALSE
"150",150,179337,329870,2.5,38,170,471,8.351,220,8,3,1,0,"Bw",FALSE,TRUE,FALSE
"151",151,179245,329714,3.8,39,179,612,7.3,80,8.8,3,1,0,"W",FALSE,TRUE,FALSE
"152",152,179024,329733,3.2,35,200,601,7.536,120,9.3,3,1,0,"W",FALSE,TRUE,FALSE
"153",153,178786,329822,3.1,42,258,783,7.706,120,8.4,3,1,0,"Ah",FALSE,TRUE,FALSE
"154",154,179135,329890,1.5,24,93,258,8.07,260,7.7,3,1,0,"Am",FALSE,TRUE,FALSE
"155",155,179030,330082,1.2,20,68,214,8.226,440,5.7,3,1,0,"Ah",FALSE,TRUE,FALSE
"156",156,179184,330182,0.8,20,49,166,8.128,540,4.7,3,1,0,"Am",FALSE,TRUE,FALSE
"157",157,179085,330292,3.1,39,173,496,8.577,520,9.1,3,1,0,"Ah",FALSE,TRUE,FALSE
"158",158,178875,330311,2.1,31,119,342,8.429,350,6.5,3,1,0,"Ah",FALSE,TRUE,FALSE
"159",159,179466,330381,0.8,21,51,162,9.406,460,5.7,3,1,0,"W",FALSE,TRUE,TRUE
"160",160,179211,331175,6.3,63,159,765,5.7,80,12.8,1,1,1,"W",FALSE,TRUE,TRUE
"161",161,180201,331160,0.8,18,37,126,9.036,860,4.6,2,3,1,"Ah",FALSE,TRUE,TRUE
"162",162,180173,331923,1.2,23,80,210,9.528,410,5.8,2,2,0,"W",FALSE,TRUE,TRUE
"163",163,181118,333214,2.1,32,116,279,7.72,290,5.9,1,2,0,"W",FALSE,TRUE,FALSE
"164",164,180627,330190,2.7,27,124,375,8.261,40,5.5,3,3,0,"W",FALSE,TRUE,FALSE
