"","x","y","alt"
"81",181435.05,333112.8,34.2
"82",181467.53,333028,46.7
"83",181435.52,333773.28,37.7
"84",181418.98,333717.8,38.5
"85",181381.64,333675.8,37.8
"86",181319.28,333657.38,37
"87",181272.34,333591.34,37.4
"88",181333.5,333531.59,35.6
"89",181650.3,333995.13,40.2
"90",181596.16,333935.56,40.2
"91",181713.42,333959.34,40.2
"92",181694.02,333890.34,42.1
"93",181690.03,333865.34,44.2
"94",181616.78,333861.53,35.8
"95",181555.53,333837.28,34.8
"96",181512.81,333760.34,33.2
"97",181574.89,333762.72,42.8
"98",181869.08,333931.19,45.2
"99",181787.66,333892.4,45.2
"100",181836.31,333834.03,45.2
"101",181739.78,333766.53,43.8
"102",181815.19,333725.06,46.8
"103",181682.69,333698.03,40.4
"104",181743.31,333640.84,43.9
"105",181649.48,333634.22,43.3
"106",181575.84,333603.16,43.3
"107",181502.39,333559.13,44.3
"108",181725.28,333583.09,52.6
"109",181658.52,333533.56,45.2
"110",181712.48,333515.22,47.2
"111",181582.94,333477.78,46.7
"112",181428.75,333491.69,44
"113",181401.83,333432.78,45
"114",181491.63,333418.5,46.5
"115",181421.7,333357.47,46.4
"116",181645.98,333409.44,46.5
"117",181627.33,333341.97,47.6
"118",181508.31,333335,47.6
"119",181459.25,333312.44,48.1
"120",181579.11,333276.66,49.2
"121",181511.33,333210.06,49.7
"122",181504.91,333177.16,50.1
"123",181524.02,333139.5,46.6
"124",179360.2,332047.28,37.2
"125",179441.16,332009.19,35
"126",179441.64,332102.34,36.9
"127",179497.73,332168.28,37
"128",179568.67,332228.56,36.6
"129",179630.77,332284.66,35.5
"130",179677.88,332373.88,35.8
"131",179793.05,332457.16,38.4
"132",179822.11,332344.3,35.8
"133",179945.31,332562.34,37.6
"134",179906.34,332491.56,38.4
"135",179947.39,332431.28,36.9
"136",179607.19,332058.3,35.5
"137",179680.36,332159.09,35.2
"138",179693.83,332106.09,34.9
"139",179725.06,332056.13,37.1
"140",179787.72,332200.28,35.5
"141",179822.22,332134.59,36.9
"142",179796.25,332062.72,35.5
"143",179849.86,332068.8,36.4
"144",179891.72,332188.5,36.6
"145",179889.95,332151.06,35.4
"146",179978.25,332153.03,34
"147",179978.73,332100.34,36.6
"148",179951.75,332045.78,37.3
"149",180376.78,332943.19,36.5
"150",180261.19,332890.69,37.6
"151",180338.13,332867.56,35.7
"152",180200.45,332847.09,37.4
"153",180262.64,332768.28,36.7
"154",180121.66,332711.38,37.4
"155",180028.38,332647.97,37.7
"156",180502.11,332954.09,36.4
"157",180466.63,332888.69,34.2
"158",180421.28,332818.59,36.1
"159",180461.22,332783.75,36.2
"160",180360.45,332744.97,36.4
"161",180405.48,332691.13,35.3
"162",180304.59,332643.16,36.5
"163",180185.03,332639.19,35.2
"164",180111.95,332568.19,35.7
"165",180069.42,332478.03,36.5
"166",180262.03,332519.88,35
"167",180335.31,332594.44,35.1
"168",180169.36,332448.88,35.4
"169",180392.67,332478.16,35.2
"170",180305.94,332400.63,35.8
"171",180246.75,332338.22,36.2
"172",180196.67,332314.88,36.3
"173",180105.89,332289.94,35.3
"174",180044.3,332253.47,36.9
"175",180018.39,332194.8,34
"176",180111.88,332208.06,36.7
"177",180104.36,332162.66,37.1
"178",180473.25,332522.28,35.3
"179",180418.67,332421,36.8
"180",180322.05,332303.88,36.2
"181",180242.7,332262.3,36.5
"182",180301,332225.97,35.3
"183",180202.25,332170.13,36.5
"184",180290.11,332166.5,33.6
"185",180065.64,332073.3,37
"186",180177.45,332068.5,36.4
"187",180754.95,332983.53,36.5
"188",180684.72,332965,33.8
"189",180644.59,332867.22,33.7
"190",180572.78,332649.66,35.3
"191",180525.94,332578,34.9
"192",180473.17,332473.94,34.6
"193",180523.22,332425.5,34.2
"194",180436.16,332371.38,35.3
"195",180396.28,332292.69,35.2
"196",180522.58,332306.66,34
"197",180612.17,332343.25,33.9
"198",180586.66,332256.88,34.2
"199",180379.28,332197.78,35.4
"200",180484.3,332167.9,35.5
"201",180569.5,332154.34,35.4
"202",180356.38,332105.56,35.8
"203",180321.17,332056.47,34.3
"204",180363.31,332010.22,35.9
"205",180440.09,332053.03,36.6
"206",180567.84,332054.28,36.8
"207",180710.84,332112,34.6
"208",180867.91,332951.75,36
"209",180763.72,332902.97,36.1
"210",180824.78,332849.38,35.8
"211",180899.92,332808.9,35.9
"212",180697.7,332800,35.7
"213",180768.53,332757.97,35.9
"214",180615.72,332728.88,36.4
"215",180673.83,332705.25,35.7
"216",180857.3,332726.88,35.7
"217",180938.39,332917.09,35.7
"218",180636.06,332620.25,35.6
"219",180737.69,332652.44,35.7
"220",180695.97,332559.22,35.2
"221",180597.91,332527.06,34.6
"222",180763.19,332520.97,35.6
"223",180829.42,332626.47,35.8
"224",180905.03,332588.59,35.7
"225",180975.83,332641.22,35.5
"226",180859.33,332507.53,35.7
"227",180568.53,332462.28,34.4
"228",180660.83,332468.38,34.2
"229",180631.58,332412.25,34.4
"230",180742.63,332407.4,34.4
"231",180826.03,332413.4,35.1
"232",180942.61,332522.16,35.8
"233",180690.84,332323.72,33.7
"234",180685.44,332273.25,33.9
"235",180784.86,332317.13,34.4
"236",180902.58,332380.88,34.9
"237",180964.94,332435.94,35.5
"238",180864.83,332295.09,34.2
"239",180737.64,332234.78,34.2
"240",180789.66,332174.16,34.2
"241",180870.5,332180.88,34.3
"242",180747.25,332057.53,34.2
"243",180822.83,332022.19,34.5
"244",180896.81,332045.84,35.5
"245",180945.14,332139.16,35.2
"246",180990,332226.8,35.2
"247",180964.86,332295.69,33.3
"248",181145.23,332977.72,35.4
"249",181009.34,332883.97,35.6
"250",181096.13,332867.09,35.8
"251",181037.59,332756.59,34.8
"252",181037.61,332646.4,35.5
"253",181019.16,332527.53,35.5
"254",181203.38,332896.84,35.5
"255",181333.39,332919.25,35.5
"256",181268.72,332791.88,35.8
"257",181162.55,332794.97,35.6
"258",181129.83,332676.94,35.2
"259",181226.33,332692.28,36.1
"260",181176.67,332602.5,35.6
"261",181095.44,332569.84,35.3
"262",181132.67,332508.75,35.7
"263",181045.73,332446.22,33.5
"264",181071.67,332393.9,35.6
"265",181027.81,332308.03,35.5
"266",181419.39,332921.22,46.4
"267",181371.33,332826.63,46.4
"268",181309.53,332712.5,46.5
"269",181270.73,332629,46.4
"270",181212.53,332513.94,46.6
"271",181156.17,332411.59,46.6
"272",181104.86,332295.09,46.4
"273",181059,332206.9,46.4
"274",181006.44,332106.66,46.5
"275",178843.66,331192.84,37.7
"276",178845.27,331150.38,35
"277",178751.38,331112.19,35.1
"278",178684.53,331031.38,34.7
"279",178833.88,331072.84,37.1
"280",178807.58,331004.8,36.6
"281",178929.98,331171.13,36.5
"282",178990.84,331077.3,30.5
"283",179313.03,331907.28,36.7
"284",179272.7,331805.19,37.2
"285",179255.5,331705.94,37.2
"286",179399.56,331889.38,35.2
"287",179385.08,331776.69,35.6
"288",179333.77,331622.53,35.7
"289",179201.22,331582.03,37
"290",179252.13,331508.44,36.6
"291",179108.63,331449.97,37.4
"292",179103.08,331353.44,37.4
"293",179055.27,331313.84,36.4
"294",179646.36,331986.94,37
"295",179704.47,331944.72,37.2
"296",179806.52,331982,37.6
"297",179933.7,331969,37
"298",179850,331911.59,36.7
"299",179938.11,331907.47,36.7
"300",179745,331885.22,37
"301",179531.73,331902.38,38.3
"302",179512.39,331809.5,38.5
"303",179562.89,331783.47,37
"304",179549.39,331729.84,38.5
"305",179623.66,331715.34,37
"306",179521.06,331679.8,37
"307",179623.69,331639.25,38.4
"308",179474.66,331612,36.6
"309",179578.36,331585.69,36.8
"310",179683.36,331556.84,38.7
"311",179622.41,331473.8,38.7
"312",179682.77,331691.72,37.6
"313",179482.5,331541.88,37.3
"314",179431.45,331515.47,36.8
"315",179390.7,331443.4,35.9
"316",179438.97,331413.53,36.8
"317",179380.7,331393.63,36.8
"318",179544.41,331371.97,39.2
"319",179321.88,331359.25,35.8
"320",179382.84,331293.9,36.2
"321",179285.41,331309.88,39.4
"322",179236.19,331280.44,36.1
"323",179308.52,331257.78,36.4
"324",179177.34,331210.66,36.5
"325",179295.83,331163.44,36.1
"326",179379.28,331220.3,34.8
"327",179153.94,331154.09,36.1
"328",179177.55,331048.06,34.3
"329",179368.7,331083.25,36.6
"330",179445.81,331139.78,35.9
"331",179460.3,331086.56,34.4
"332",179569.48,331012.47,34.6
"333",179056.69,331100.34,32
"334",179500.28,331250.22,36.5
"335",179519.42,331154.28,36.8
"336",179621.81,331148.8,37.1
"337",179587.59,331064.63,37.2
"338",179728.95,331038.3,33.6
"339",179587.72,331294.69,38.5
"340",179626.2,331236.19,38.5
"341",179730.73,331038.34,38.6
"342",179910.53,331822.34,36.7
"343",179714.02,331806.16,36.9
"344",179817.13,331785.94,36.9
"345",179974.36,331753.22,37.1
"346",179879.28,331725.97,37.3
"347",179789.5,331703.88,37
"348",179930.09,331659.47,37
"349",179750.25,331652.44,37.5
"350",179806.78,331613,37.5
"351",179992.11,331592.13,37
"352",179902.5,331556.53,37.2
"353",179964.92,331515.16,37.1
"354",179780.33,331557.4,35.1
"355",179741.81,331525.84,35.8
"356",179841.23,331495.66,35.9
"357",179697.97,331457.53,36.7
"358",179629.91,331391.97,36.8
"359",179676.78,331351.13,38.3
"360",179749.27,331391.8,37.8
"361",179782.41,331425.13,37
"362",179865.11,331407.4,37.8
"363",179910.41,331463,35.9
"364",179996.61,331468.78,36.4
"365",179967.95,331424.59,37.8
"366",179743.83,331324.8,37.4
"367",179735.39,331291.38,37.5
"368",179675.89,331250.59,36.6
"369",179813.31,331288.63,37.6
"370",179899.14,331357.5,37.5
"371",179990.39,331328.97,37.5
"372",179902.11,331252.94,37.6
"373",179689.61,331196.59,36.5
"374",179888.88,331234.44,37.6
"375",179990.27,331210.13,37.2
"376",179720.77,331115.3,38.5
"377",179816.48,331151.25,37.7
"378",179894.61,331114.4,37.4
"379",179799.3,331013.34,36.9
"380",179993.34,331079.09,37.8
"381",180034.25,331986.66,36.5
"382",180028.8,331920.9,36.5
"383",180142.14,331987.88,36.8
"384",180234.98,331955.56,36.7
"385",180181.08,331896.28,37
"386",180317.03,331948.03,37.7
"387",180301.23,331894.13,36.6
"388",180367.3,331921.25,36.5
"389",180448.95,331942.47,36.8
"390",180005.8,331854.19,36.9
"391",180104.02,331892.44,36.7
"392",180263.61,331836.09,36.5
"393",180182.14,331819.44,36.9
"394",180065.25,331787.8,37
"395",180228.88,331734.59,36.9
"396",180193.58,331636.38,36.8
"397",180294.22,331739.03,38
"398",180073.44,331526.8,35.7
"399",180025.61,331690.8,37
"400",180081.45,331609.9,36.7
"401",180060.3,331409.06,37
"402",180142.09,331364.9,36.6
"403",180227,331335.78,36.9
"404",180184.61,331253.75,36.6
"405",180072.03,331297.25,37.1
"406",180118.63,331222.3,35.4
"407",180242.95,331231.16,35.8
"408",180074,331173.34,37.4
"409",180218.36,331168.97,36.5
"410",180137.95,331094.59,36.8
"411",180039.95,331039.28,35.6
"412",180116.67,331013.38,37.4
"413",180432,331253.34,36.2
"414",180437.17,331229.5,36.7
"415",180310.97,331208.94,37.2
"416",180389.48,331181,37
"417",180270.39,331087.25,37.6
"418",180333.39,331059.84,37.2
"419",180313.89,331273.09,37
"420",180377.7,331296.38,37
"421",180289.86,331318.06,35.8
"422",180427.36,331350,36.7
"423",180444.28,331396.03,37.1
"424",180510.09,331330.75,36.8
"425",180443.81,331393.97,37.1
"426",180361.5,331400.5,36.5
"427",180263.77,331420,36.6
"428",180271.77,331632.38,35.7
"429",180253.86,331565.19,36.7
"430",180344.86,331591.88,36.6
"431",180318.63,331538.84,37.1
"432",180315.66,331495.53,36.4
"433",180364.23,331460.84,36.1
"434",180301.19,331455.9,37.2
"435",180209.95,331464.56,37.4
"436",180409.95,331853.88,36.5
"437",180351.5,331811.09,36
"438",180420.3,331769.03,36.6
"439",180485.56,331724.63,37
"440",180327.98,331707.69,36.6
"441",180383.77,331668.25,36.9
"442",180452.38,331638.9,37
"443",180531.39,331630.84,35.6
"444",180432.41,331573.75,35
"445",180504.08,331544.69,36.3
"446",180618.31,331584.19,36.2
"447",180655.69,331550.09,36.2
"448",180577.08,331511.34,35.9
"449",180410.31,331497.34,36.7
"450",180456.75,331451.69,36.6
"451",180519.08,331398.3,36.3
"452",180587.67,331407.9,36
"453",180504.02,331954.16,36.5
"454",180489.55,331840.47,36.5
"455",180621.17,331893.19,36.5
"456",180702.91,331908.8,34.5
"457",180766.52,331947.34,33
"458",180837.69,331935.84,35.9
"459",180779.58,331904.5,35.3
"460",180489.56,331839.72,36.5
"461",180578.39,331803.25,36.3
"462",180655.36,331814,35.1
"463",180723.63,331790.75,35
"464",180781.3,331817.5,36.1
"465",180607.33,331734.94,35.6
"466",180712.39,331682.69,36.2
"467",180640.73,331656.5,36.2
"468",180943.84,331988.97,46.5
"469",180892.27,331890.28,46.6
"470",180845.75,331793.94,46.7
"471",180793.95,331692.97,46.6
"472",180739.48,331583.06,46.7
"473",180679.03,331463.38,46.7
"474",180636.59,331384.94,46.7
"475",180585,331306.59,52.8
"476",180562.34,331269.63,47
"477",180530.67,331185.75,46.6
"478",180468.94,331066.8,47.1
"479",180424.14,331030.8,46.6
"480",178489.27,330925.34,37.4
"481",178647.58,330942.56,37.1
"482",178723,330955.03,37.8
"483",178714.59,330900.22,34.6
"484",178421.56,330796.16,37.6
"485",178539.3,330767.25,37.5
"486",178650.88,330777.69,36.8
"487",178575.91,330677.66,37.3
"488",178363.22,330635.3,37.7
"489",178474.59,330605.53,37.7
"490",178399.31,330545.97,37.7
"491",178420.5,330467.63,37.2
"492",178353.72,330419.63,37
"493",178305.91,330306.22,38.8
"494",178333.09,330199.97,37.5
"495",178916.83,330963.28,31.7
"496",178883.69,330856.47,37.6
"497",178819.44,330772.63,37.5
"498",178900.95,330785.97,34.4
"499",178845.89,330718.03,37.2
"500",178752.11,330672.44,37.9
"501",178804.5,330619.47,37.6
"502",178658.59,330587.94,36
"503",178738.36,330525.16,38
"504",178796.22,330518.59,37
"505",178554.14,330484.47,33.4
"506",178592.2,330419.59,38.2
"507",178659.14,330455.88,37.8
"508",178948.33,330728.34,37.5
"509",178902.8,330652.63,38
"510",178944.27,330598.5,36.7
"511",178857.03,330501.59,37.9
"512",178942.69,330472.75,37.6
"513",178851.67,330411.19,38
"514",178716.73,330359.19,38.2
"515",178805.23,330326.8,38.2
"516",178961.47,330348.3,37.6
"517",178804.5,330325.53,38.2
"518",178755.94,330450.09,38
"519",178532.88,330347.5,37
"520",178590.3,330299.19,38.7
"521",178553.47,330220.8,37.3
"522",178497.28,330123.84,38.4
"523",178632.61,330147.59,38.2
"524",178601.08,330071.8,37.4
"525",178552.94,330001.44,38.7
"526",178668.78,330237.4,38.4
"527",178902.48,330232.72,37.8
"528",178749.16,330185.59,38.2
"529",178856.47,330118.59,37.8
"530",178966.11,330104.56,38.4
"531",178699.73,330060.72,37.8
"532",178809.39,330008.28,38.3
"533",178809.13,330009.28,38.3
"534",179128.73,330988.59,31.6
"535",179074.73,330863.4,37.2
"536",179116.27,330878.75,35.1
"537",179001.7,330825.25,37.7
"538",179151.89,330823.75,37.2
"539",179102.52,330786.94,35.6
"540",179044.8,330764.78,37.8
"541",179134.16,330726.03,37.5
"542",179068.84,330663.56,38.1
"543",179000.69,330659.84,37.6
"544",179067.56,330664.06,38.1
"545",179094.75,330612.5,38.2
"546",179051.48,330574.5,37.1
"547",179113.84,330501.06,38.5
"548",179034.27,330495.13,36.2
"549",179133.88,330727.06,37.5
"550",179152.16,330822.75,37.2
"551",179207.94,330912.3,36.9
"552",179257.66,330832.09,37.1
"553",179414,330937.03,36.9
"554",179337.72,330857.88,37.2
"555",179372.23,330791.16,37
"556",179444.11,330821.16,37
"557",179542.98,330829.9,37
"558",179483.02,330749.4,34.2
"559",179535.59,330738.69,36.9
"560",179307.3,330738.84,37.2
"561",179395.75,330692.47,37.2
"562",179236.36,330678.09,37.4
"563",179188.81,330656.06,37.9
"564",179191.3,330568.78,37.6
"565",179329.28,330621.59,37.6
"566",179196.03,330521.53,38.4
"567",179289.83,330529.69,37.9
"568",179420.86,330569.4,37
"569",179468.42,330627.06,37.4
"570",179472.3,330972.44,36.9
"571",179569.11,330966.16,37
"572",179657.75,330979.3,36.2
"573",179630.09,330899.53,37.4
"574",179724.42,330832.63,37.4
"575",179873.3,330981.25,37.4
"576",179948.34,330928.34,37.2
"577",179824.72,330905,38.9
"578",179752.08,330875.78,35.6
"579",179817.27,330818.13,35
"580",179920.39,330851.63,39.6
"581",179889.25,330765.94,36.5
"582",179993.53,330770.4,37.1
"583",179373.08,330472.8,36.8
"584",179246.47,330425.78,37.7
"585",179147.52,330403.03,37.4
"586",179067.11,330346.44,37.4
"587",179299.13,330391.38,38
"588",179019.95,330241.72,38.2
"589",179207.23,330281.44,38.2
"590",179050.09,330141.88,38.2
"591",179111.98,330064.84,38.3
"592",179275.41,330210.88,37.8
"593",179292.22,330117.72,37.5
"594",179229.25,330032.34,38.2
"595",179363.2,330063.47,38.3
"596",179667.89,330797.5,37.5
"597",179745.09,330773.13,37.9
"598",179804.17,330752.03,35
"599",179627.75,330700.5,37.3
"600",179737.11,330651.38,37.3
"601",179478.95,330509.13,36
"602",179599.03,330494.5,37.3
"603",179460.56,330404.03,39.5
"604",179553.69,330386.97,37.6
"605",179340.61,330336.22,37.6
"606",179438.27,330304.47,38
"607",179509.5,330269.8,37.9
"608",179633.14,330310.72,37.9
"609",179601.92,330212.06,38
"610",179398.45,330183.56,37.7
"611",179470.25,330126.25,37.9
"612",179547.09,330127.8,37.6
"613",179601.16,330212.53,38
"614",179437.17,330034.19,38.2
"615",179509.88,330021.19,38.2
"616",179595.17,330038.16,38.2
"617",179634.7,330105.38,38.6
"618",179861.39,330701.16,37
"619",179983.41,330711.5,38
"620",179823.3,330584.59,37.3
"621",179902.69,330492.8,37.4
"622",179708.61,330447.63,37.9
"623",179684.69,330392.84,37.2
"624",179835.66,330463.63,39.8
"625",179903.97,330493.06,37.4
"626",179802.47,330397,38
"627",179906.61,330411.94,36.3
"628",179864.52,330364.53,35.8
"629",179728.44,330302.34,36.4
"630",179689.55,330243.28,37.7
"631",179766.84,330212.53,38.2
"632",179693.45,330145.09,38.2
"633",179966.58,330345.8,38
"634",179929.56,330280.44,37
"635",179994.28,330293.53,41.1
"636",179879.39,330227.3,35.6
"637",179938.52,330203.19,37.9
"638",179878.3,330159.34,40.6
"639",179801.16,330141.75,38.6
"640",179812.17,330081.34,40.6
"641",179716.31,330074.94,38.1
"642",179664.61,330003.97,38.8
"643",179993.34,330066,37.6
"644",179920.52,330031.9,37.4
"645",180042.13,330127.5,37.2
"646",180076.98,330017.53,37.7
"647",180179.47,330153.06,37.8
"648",180291.84,330143.13,38
"649",180227.08,330059.53,37.6
"650",180340.78,330082.22,37.8
"651",180332.33,330013.16,37.6
"652",180449.66,330031.8,38
"653",180461.28,330111.38,36.5
"654",180570.81,330012.84,38.2
"655",180040.05,330904.4,37.1
"656",180210.25,330982.59,36.8
"657",180275.83,330952.19,37.4
"658",180356.3,330985.59,37.2
"659",180120.08,330840.38,36.7
"660",180201.94,330865.4,37.2
"661",180332.16,330854.47,37.2
"662",180235.67,330819.03,37.5
"663",180004.67,330811.8,37.1
"664",180089.31,330746.78,37.2
"665",180200.39,330720.06,37.6
"666",180335.28,330719.63,37.2
"667",180251.41,330656.9,38
"668",180052.97,330521.84,37.6
"669",180012.06,330424.3,36
"670",180258.11,330594.66,37.9
"671",180374.53,330605.16,37.5
"672",180294.09,330532.78,38.3
"673",180218.78,330494.34,38.1
"674",180120.88,330451.78,38.1
"675",180064.84,330381.03,40.9
"676",180375.8,330495.22,37.9
"677",180389.41,330450.38,38.1
"678",180442.38,330429.22,39.8
"679",180286.88,330337.25,39.2
"680",180193.22,330373.88,38.9
"681",180146.97,330349.3,37.8
"682",180083.66,330327.06,39.4
"683",180005.66,330262.13,38.8
"684",180331.45,330278.8,37.6
"685",180330.23,330367.34,39.5
"686",180425.59,330318.28,39.1
"687",180438.81,330245.16,37.7
"688",180513.22,330275.97,39.2
"689",180584.55,330196.78,39.6
"690",180671.95,330115.78,39.6
"691",180736.13,330076.97,41
"692",180425.58,330945.06,47.3
"693",180409.47,330857.8,47.3
"694",180407.88,330789.09,47.1
"695",180413.02,330693.47,46.8
"696",180432.64,330581.78,47
"697",180477.02,330482.63,47.1
"698",180527.06,330397.8,47.2
"699",180647.55,330261,47
"700",180753.78,330142.88,47.1
"701",180837.08,330064.09,47
"702",180879.64,329987.06,55
"703",178371.08,329983.59,38.6
"704",178527.03,329732.19,38.8
"705",178533.34,329662.78,39.1
"706",178621.52,329618.4,38.8
"707",178788.63,329552.19,38.7
"708",178966.13,329489.94,38.7
"709",178929.28,329995.69,37.8
"710",178968.52,329937.66,37
"711",178832.72,329893.59,37.6
"712",178908.38,329870.44,36.8
"713",178985.19,329837.63,38
"714",178917.45,329822.19,38.4
"715",178628.73,329976.38,38.6
"716",178542.09,329911.3,38.4
"717",178699.47,329941.16,37.9
"718",178648.98,329874.8,38.6
"719",178730.47,329834.94,38.7
"720",178816.33,329828.47,37.9
"721",178664.33,329777.8,37.6
"722",178875.02,329780.66,38.6
"723",178747.94,329732.09,38.5
"724",178865.13,329706.19,38.5
"725",178994.84,329729.56,38.4
"726",178972.06,329666.4,38.5
"727",178849.75,329640.84,36
"728",179087.59,329976.94,38.4
"729",179071.39,329934.22,38.9
"730",179054.13,329876.47,37.8
"731",179206.11,329910.06,38.6
"732",179292.28,329880.94,38.8
"733",179398.22,329894.59,35.4
"734",179323.36,329988.5,37.8
"735",179408.08,329935.94,39.9
"736",179482.73,329928.8,38.7
"737",179568.64,329919.28,38.4
"738",179557.27,329895.19,39.6
"739",179690.27,329957.3,39
"740",179640.19,329862.22,38.7
"741",179011.89,329784.78,38.2
"742",179083.64,329731.78,38.3
"743",179047.5,329621.88,37.8
"744",179212.97,329764.3,38.2
"745",179188.41,329719.19,37.8
"746",179167.3,329664.19,38.9
"747",179131.38,329612.3,34.2
"748",179342.44,329824.88,38.8
"749",179315.5,329748.9,38.5
"750",179389.38,329689.06,38.6
"751",179437.86,329825.38,38.8
"752",179529.64,329796.59,39.1
"753",179478.89,329712.44,35.2
"754",179062.59,329470.63,38.6
"755",179205.17,329484.75,39.2
"756",179333.14,329469.69,39.1
"757",179358.25,329530.84,39.8
"758",179453.53,329524.25,40
"759",179937.8,329964.72,37.6
"760",179849.44,329913.38,37.2
"761",179903.03,329867.03,37.4
"762",179786.86,329820.4,37.2
"763",180000.36,329840.84,37.6
"764",179862.25,329761.88,37.3
"765",179751.73,329729.06,37.3
"766",179840.67,329702.78,40.9
"767",179970.33,329749.06,41
"768",179644.91,329669.88,37.2
