"","PROFILE","XCOORD","YCOORD","ELEV","PROFCLASS","MAPCLASS","VAL1","CHR1","LIME1","VAL2","CHR2","LIME2","DEPTHCM","DEP2LIME","PCLAY1","PCLAY2","MG1","OM1","CEC1","PH1","PHOS1","POT1"
"70",70,400,1500,568,"Ct","Ct",4,2,4,4,4,4,51,20,20,20,28,3.5,14,7.6,5.5,123
"71",71,400,1400,559,"Ia","Cr",4,3,1,5,6,4,38,20,30,20,43,3.2,12,7.4,10.5,164
"72",72,400,1300,561,"Ct","Cr",4,3,0,5,6,4,91,40,25,10,75,3.4,11,7.2,8.5,123
"73",73,400,1200,563,"Ia","Ia",3,3,4,8,2,5,20,20,37,10,55,4.3,15,7.6,4.8,157
"74",74,400,1100,563,"Ia","Ia",3,2,4,8,2,5,20,20,25,10,52,5.2,15,7.7,7.4,208
"75",75,400,1000,551,"Ia","Ia",3,2,4,8,2,5,15,20,20,10,52,4.7,11,7.5,9.3,311
"76",76,400,900,548,"Cr","Ct",4,3,0,4,4,0,81,80,28,20,93,3.1,8,7,7.3,164
"77",77,400,800,554,"Ia","Cr",4,2,1,5,6,4,36,40,29,30,113,3.8,12,7.4,9.3,150
"78",78,400,700,551,"Ia","Ia",3,1,4,8,2,5,20,20,22,10,126,8.2,32,7.6,16,135
"79",79,400,600,550,"Cr","Cr",4,2,0,4,3,0,71,80,28,30,308,6.3,15,5,1.7,157
"80",80,400,500,571,"Cr","Cr",4,3,0,4,4,0,91,90,23,40,180,5.4,10,4.7,8.3,221
"81",81,400,400,574,"Cr","Cr",4,4,0,4,4,0,91,90,18,40,200,5.7,15,6.1,5.8,150
"82",82,400,300,570,"Ct","Cr",3,2,4,4,4,4,76,20,22,10,85,8.7,26,7.5,12.6,135
"83",83,400,200,571,"Ct","Ct",3,3,3,5,4,4,91,20,23,10,121,9.8,34,7.4,10.8,108
"84",84,400,100,570,"Ia","Ct",3,2,4,8,2,5,25,20,23,10,83,11.5,36,7.5,14,172
"85",85,500,2100,612,"Ia","Ia",3,3,4,8,2,5,15,20,20,10,36,4.8,11,7.6,7,172
"86",86,500,2000,610,"Ia","Ia",4,2,4,8,2,5,20,20,25,10,44,5.5,10,7.7,11,172
"87",87,500,1900,603,"Ia","Ia",3,3,4,8,2,5,25,20,12,10,45,4.7,17,7.7,9.3,164
"88",88,500,1800,595,"Ia","Ia",3,3,4,8,2,5,20,20,18,10,32,4.5,11,7.6,4.3,108
"89",89,500,1700,580,"Ia","Ia",4,2,4,8,2,5,25,20,33,10,44,4.4,11,7.6,5.7,214
"90",90,500,1600,573,"Ia","Ia",4,2,4,8,2,5,36,20,20,10,34,5.3,13,7.6,2.8,123
"91",91,500,1500,562,"Ct","Ia",4,2,4,5,4,4,91,20,25,10,36,5.2,14,7.5,4.5,150
"92",92,500,1400,549,"Ia","Ct",4,2,1,8,2,5,36,20,25,10,32,2.9,11,7.5,15,135
"93",93,500,1300,548,"Ct","Cr",4,2,0,7,4,4,41,40,25,10,87,3,9,6.9,2.9,164
"94",94,500,1200,551,"Ct","Cr",3,3,4,5,4,4,46,20,25,20,55,3.9,14,7.7,10.5,150
"95",95,500,1100,550,"Ia","Cr",3,3,4,8,2,5,20,20,24,10,52,5.1,13,7.7,7.7,164
"96",96,500,1000,546,"Ia","Ct",4,3,4,8,2,5,30,20,28,10,58,4.9,21,7.6,6.8,123
"97",97,500,900,542,"Cr","Ct",3,3,0,4,4,0,56,40,28,20,120,3.6,12,6.7,7.3,140
"98",98,500,800,548,"Ct","Cr",4,2,3,5,4,4,51,20,30,10,118,4.5,20,7.7,10.5,127
"99",99,500,700,550,"Ia","Ct",2,2,4,8,2,5,36,20,22,10,126,9.2,29,7.5,14,140
"100",100,500,600,548,"Cr","Cr",3,3,1,4,4,1,91,90,24,20,168,6.8,19,5.5,4.5,127
"101",101,500,500,555,"Cr","Cr",3,3,0,4,4,0,91,90,28,40,101,3.5,8,4.2,8.3,208
"102",102,500,400,560,"Ct","Cr",3,3,0,4,4,4,71,40,24,20,120,9.3,23,5.9,11.5,164
"103",103,500,300,553,"Ct","Cr",4,2,1,4,4,4,91,60,28,10,205,5.4,31,4.8,9.3,127
"104",104,500,200,551,"Ct","Ct",3,2,0,4,4,4,61,20,20,10,146,8.9,34,7.3,6.2,123
"105",105,500,100,565,"Ia","Ct",3,2,4,8,2,5,30,20,24,10,88,12.1,37,7.5,13.3,157
"106",106,600,2100,632,"Ia","Ia",4,2,4,8,2,5,23,20,12,10,30,5.4,10,7.7,17,164
"107",107,600,2000,625,"Ia","Ia",4,2,4,8,2,5,10,20,15,10,36,2.7,10,7.6,8.3,520
"108",108,600,1900,615,"Ia","Ia",3,3,4,8,2,5,15,20,10,10,34,4.8,13,7.6,7,434
"109",109,600,1800,608,"Ia","Ia",3,3,4,8,2,5,20,20,15,10,30,4.6,11,7.7,7.5,336
"110",110,600,1700,595,"Ia","Ia",4,2,4,8,2,5,20,20,25,10,39,5.3,13,7.6,5.5,184
"111",111,600,1600,585,"Ia","Ia",4,2,4,8,2,5,20,20,14,10,24,5.5,17,7.6,2.9,233
"112",112,600,1500,572,"Ia","Ia",4,2,4,8,2,5,15,20,20,10,22,5.3,11,7.5,3.8,229
"113",113,600,1400,560,"Ia","Ia",4,2,4,8,2,5,20,20,18,10,36,5.5,13,7.6,6.4,454
"114",114,600,1300,549,"Ct","Ct",3,3,3,4,4,4,91,20,25,20,53,3.4,10,7.4,8.5,172
"115",115,600,1200,547,"Cr","Ct",3,3,1,4,4,1,51,60,20,30,68,2.6,8,7.1,6.2,108
"116",116,600,1100,546,"Ia","Ct",3,3,3,8,2,5,30,20,22,10,39,4.1,10,7.6,7.1,157
"117",117,600,1000,545,"Ia","Ct",3,3,4,8,2,5,20,20,27,10,59,3.9,30,7.2,9.7,172
"118",118,600,900,540,"Ct","Ct",4,2,2,4,4,4,61,20,28,10,68,3.9,10,7.3,9.3,108
"119",119,600,800,545,"Cr","Ct",3,3,1,4,4,0,91,60,29,30,124,3.1,10,7,6.2,127
"120",120,600,700,546,"Ct","Cr",4,2,3,4,4,4,61,20,18,10,97,9.2,26,7.5,12.2,123
"121",121,600,600,547,"Ct","Cr",4,2,0,4,4,0,46,40,24,10,233,7.1,20,5.9,5.5,101
"122",122,600,500,548,"Cr","Cr",3,3,0,4,4,0,91,90,24,40,266,6.1,11,4.6,10,282
"123",123,600,400,550,"Cr","Cr",3,3,0,4,4,0,91,90,20,40,165,7,18,5.1,8.8,214
"124",124,600,300,547,"Ct","Cr",4,2,0,4,4,4,91,40,28,20,225,6.5,43,6.2,5,93
"125",125,600,200,546,"Cr","Ct",4,2,0,4,4,0,91,60,22,20,300,7,36,6.4,10.8,140
"126",126,600,100,555,"Ia","Ct",4,2,4,8,2,5,30,20,25,10,110,11.5,43,7.5,15,140
