"","year","x","y","coast","depth","PCB138","yf"
"116",1986,543769,5799849.64,48,22.1701844932004,4.5,"1986"
"117",1986,526062.46,5809426.31,65,27.6629421379482,1.6,"1986"
"119",1986,618713.19,5886595.92,3,19.0653453227031,6.1,"1986"
"120",1986,618355.38,5886772.57,3,18.6837964113701,6.1,"1986"
"122",1986,617677.03,5887126.87,3,17.8181134033934,2.7,"1986"
"123",1986,616918.4,5887726.63,3,15.7248904457995,7.8,"1986"
"124",1986,600084.73,5901256.4,21,26.4864557343306,6.7,"1986"
"126",1986,566334.74,5928485.19,65,30.1587162032383,2,"1986"
"127",1986,630927.7,5905868.47,3,19.8892577720063,6.5,"1986"
"129",1986,628823.96,5908284.78,6,18.9251398389108,14.2,"1986"
"130",1986,585683.69,5958936.37,70,38.1086919459057,1.6,"1986"
"131",1987,526092.33,5693626.93,6,15.1864485935758,4.5,"1987"
"132",1987,513009.96,5707726.09,19,17.8941045360296,4.6,"1987"
"133",1987,523607.96,5695870.07,8,13.420850560794,3.1,"1987"
"138",1987,561099.27,5747627.02,6,11.2773960521052,5.1,"1987"
"139",1987,712585.81,5937444.75,6,15.0881298819447,5,"1987"
"140",1987,696630.46,5987816.14,57,31.1927035985954,2.1,"1987"
"141",1987,569902.33,5745532.64,1,9.44286054130546,19.7,"1987"
"142",1987,570893.5,5748145.91,1,13.266640891202,12,"1987"
"143",1987,564299.69,5744144.47,1,9.41460842460715,7.5,"1987"
"144",1987,570386.56,5752291.21,2,15.4026058003488,9,"1987"
"146",1987,598425.35,5818117.4,11,17.7138933079143,7.2,"1987"
"147",1987,574019.68,5761484.31,2,16.9259778494485,8.1,"1987"
"148",1987,579504.35,5767427.84,2,15.4904589206254,5.2,"1987"
"149",1987,576783.61,5772428.48,8,17.9572399068119,13.1,"1987"
"150",1987,575757.35,5771077.75,5,17.2112455535041,10.5,"1987"
"151",1987,573328.57,5769558.06,8,18.3494372479711,11.3,"1987"
"152",1987,576329.62,5758552.5,2,17.9110510690103,17.9,"1987"
"153",1987,575100.58,5759053.02,2,17.7606934975333,14.2,"1987"
"154",1987,573565.45,5759623.49,3,17.7283034132989,12.6,"1987"
"155",1987,584194.91,5779809.97,4,17.5958310106873,8.1,"1987"
"156",1987,584600.03,5778890.04,4,16.9969048982447,5.3,"1987"
"157",1987,584654.96,5780005.08,4,17.3044515413886,7.3,"1987"
"158",1987,584714.46,5779492.16,4,17.0158500016677,4.2,"1987"
"159",1987,585055.02,5779085.1,4,16.4067869013372,6.4,"1987"
"163",1987,530625.24,5695388.07,4,14.2370694296337,8.8,"1987"
"164",1987,529198.85,5708748.94,4,12.4202727234312,7.5,"1987"
"165",1987,538768.73,5716609.18,4,13.1379648008161,6.3,"1987"
"166",1987,551007.24,5733247.98,2,6.0510101780309,9,"1987"
"167",1987,560682.18,5742813.72,2,9.11361139667992,7.6,"1987"
"169",1989,525517.45,5692635.42,6,15.8532243141292,3.1,"1989"
"170",1989,524357.57,5692629.75,6,15.9204647363769,3.4,"1989"
"171",1989,511569.34,5705560.03,19,18.0746283121874,5.8,"1989"
"172",1989,523189.26,5694477.93,8,14.7038467808793,2.2,"1989"
"174",1989,569902.33,5745532.64,1,9.44286054130546,12.3,"1989"
"175",1989,576783.61,5772428.48,8,17.9572399068119,8.3,"1989"
"176",1989,573329.53,5769558.08,8,18.3487456613395,6.6,"1989"
"177",1989,576329.62,5758552.5,2,17.9110510690103,8.8,"1989"
"178",1989,606184.15,5975588.7,68,38.7692403778532,1.5,"1989"
"179",1989,620413.62,5975935.02,60,37.3322481122506,1,"1989"
"180",1989,631359.01,5976231.04,57,36.3160392964993,1,"1989"
"181",1989,614940.81,5975796.67,62,37.8585704864913,1,"1989"
"182",1989,587575.69,5975201.46,81,39.6315878888244,1,"1989"
"183",1989,598521.93,5975420.23,74,39.0590239631818,1.1,"1989"
"186",1991,527163.35,5712366.84,5,12.1988705778724,1.9,"1991"
"187",1991,511200.47,5704947.51,19,18.1685385321897,2.1,"1991"
"192",1991,507679.85,5729817.11,30,21.3693513306723,7.6,"1991"
"198",1991,545542.69,5871849.23,68,26.0955249665001,1.8,"1991"
"199",1991,599557.68,5833066.29,8,20.3693116109614,3.2,"1991"
"203",1991,605993.04,5831848.01,3,17.8530003581989,3.8,"1991"
"206",1991,588834.76,5795177.7,12,17.9354148273487,5.8,"1991"
"207",1991,595950.43,5791156.93,1,14.9912186409135,3.6,"1991"
"211",1991,613405.5,5858019.33,3,16.9336102901461,4.3,"1991"
"213",1991,612495.76,5858035.19,3,14.6372068819647,5.2,"1991"
"214",1991,610341.4,5858968.63,3,13.9980343438556,2.9,"1991"
"216",1991,580113.01,5766380.39,2,15.9377073133481,1.9,"1991"
"224",1991,584583.96,5779119.08,4,17.0537719393511,11.6,"1991"
"225",1991,574357.88,5773522.3,8,18.9232037419568,3.7,"1991"
"227",1991,549571.82,5756379.99,15,19.3135410601015,2.2,"1991"
"228",1991,534577.59,5769657.21,35,22.4931101331661,2.2,"1991"
"238",1991,525862.41,5693230.32,6,15.4624023477104,3.3,"1991"
"241",1991,523440.51,5695313.21,8,13.9529573421575,1.9,"1991"
"242",1991,673131.44,5946486.07,16,25.8098008327131,5,"1991"
"243",1991,674717.97,5931342.1,2,18.1931921808368,2.6,"1991"
"244",1991,667292.1,5996132.19,66,35.5319853830878,0.7,"1991"
"245",1991,712711.13,5934664.63,2,10.4030790902885,1.3,"1991"
"247",1991,712381.7,5937064.11,6,14.9926648589508,4.7,"1991"
"248",1991,700282.04,5979244.32,47,30.1003554137838,3.5,"1991"
"249",1991,692468.25,6008902.98,78,34.7843510348113,1.5,"1991"
"251",1991,709964.5,6001402.11,67,32.4920014341434,2.2,"1991"
"257",1991,604087.08,5814243.89,5,17.4094941119507,13.1,"1991"
"258",1991,607645.57,5831123.76,3,17.7744419159061,7.2,"1991"
"267",1991,627935.79,5941847.82,32,27.8286131174929,2.5,"1991"
"272",1991,587471.51,6000389.41,100,42.8669676954302,1,"1991"
"273",1991,567843.18,6030107.16,136,42.7524330523093,1.1,"1991"
"274",1991,544341.57,6063778.8,176,41.0886855646188,1,"1991"
"275",1991,605610.76,5975761.16,68,38.7122794724704,1.2,"1991"
"276",1991,566289.74,5928540.2,65,30.145589365414,1.4,"1991"
"282",1991,569497.55,5745289.08,1,9.48561423545375,7.5,"1991"
"283",1991,570532.54,5747621.07,1,12.5544432199518,6.3,"1991"
"285",1991,570213.02,5751584.24,2,14.9341791963141,3.7,"1991"
"290",1991,608589.63,5831311.61,3,18.5239267197692,4.3,"1991"
"292",1991,674879.51,5928470.94,2,14.4316333584754,7,"1991"
"293",1991,644111.78,5917227.68,1,17.4137955733146,4.5,"1991"
"298",1991,509841.78,6113853.34,237,30.2206706980739,2,"1991"
"299",1991,505605.02,6131002.69,248,33.626951339128,1.3,"1991"
"300",1993,736018.82,5941284.46,3,15.6142683396497,1.2,"1993"
"301",1993,477952.45,5756417.67,69,28.6726980603136,0.5,"1993"
"302",1993,595969.27,5791163.47,1,14.9901087584669,2.7,"1993"
"303",1993,587650.24,6001110.05,100,42.626344908805,0.7,"1993"
"304",1993,510032.32,6114101.07,237,29.9860083977789,0.25,"1993"
"305",1993,642933.21,5920748.47,4,18.3196865659967,0.85,"1993"
"306",1996,588816.28,5795572.96,12,18.0153241598304,2.6,"1996"
"307",1996,584714.46,5779492.16,4,17.0158500016677,4.9,"1996"
"308",1996,525540.57,5692380.66,6,16.0062747986073,2,"1996"
"309",1996,514237.78,5705093.51,14,14.8973310853934,1.6,"1996"
"310",1996,523038.16,5694345.95,8,14.8262788905426,1,"1996"
"311",1996,549595.46,5756306.07,15,19.280009312051,1.4,"1996"
"312",1996,534778.71,5770301.29,35,22.4434820452476,1.1,"1996"
"313",1996,560150.16,5747028.46,6,12.4340411711682,2,"1996"
"314",1996,534214.35,5730131.25,11,15.0933689832924,0.9,"1996"
"315",1996,580235.09,5766974.65,2,15.3929997831723,2.2,"1996"
"316",1996,574548.86,5773930.47,8,18.8970817540529,4.3,"1996"
"317",1996,552660.17,5794838.62,38,20.9881906266477,1.3,"1996"
"318",1996,528487.86,5711064.17,4,12.6364291675444,1.4,"1996"
"319",1996,527250.24,5712467.41,5,12.1494021107499,1.5,"1996"
"320",1996,507848.69,5729835.9,30,21.3823643243807,3.2,"1996"
"321",1996,477952.45,5756417.67,69,28.6726980603136,0.4,"1996"
"322",1996,545759.61,5871649.68,68,26.0944461393519,0.3,"1996"
"323",1996,595969.27,5791163.47,1,14.9901087584669,3.1,"1996"
"324",1996,553426.71,5814932.74,52,22.7163690862316,0.6,"1996"
"325",1996,536003.39,5826485.24,70,25.0796482033258,0.4,"1996"
"326",1996,587650.24,6001110.05,100,42.626344908805,0.2,"1996"
"327",1996,567564.96,6030387.45,136,42.7268962633064,0.3,"1996"
"328",1996,544555.2,6063892.19,176,41.0854443593057,0.3,"1996"
"329",1996,633989.58,5934048.06,21,25.0476014584368,0.9,"1996"
"330",1996,510032.32,6114101.07,237,29.9860083977789,0.2,"1996"
"331",1996,506321.91,6132475.4,248,33.7031072328349,0.4,"1996"
"332",1996,628403.43,5942394.58,32,27.9387140727225,0.7,"1996"
"333",1996,642933.21,5920748.47,4,18.3196865659967,1.4,"1996"
"334",1996,605690.94,5976144.52,68,38.7305941326762,0.5,"1996"
"335",1996,608889.75,5831429.95,3,18.7667290109273,2.6,"1996"
"336",1996,599773.78,5832966.9,8,20.3113251736231,2.3,"1996"
"337",1996,608038.87,5831658.88,3,18.2631985640357,2.9,"1996"
"338",1996,606226.28,5831990.04,3,17.7419001288151,3.6,"1996"
"339",1996,604620.78,5814181.06,5,17.6867394027706,4.7,"1996"
"340",1996,613615.88,5858553.26,3,17.0461715017435,2.9,"1996"
"341",1996,605234.24,5862072.38,9,19.6413286479644,2.1,"1996"
"342",1996,612713.08,5858748.38,3,14.0298189008734,2.2,"1996"
"343",1996,585503.62,5864959.6,28,26.4011693355738,0.7,"1996"
"344",1996,610684.6,5859103.21,3,12.1899215072654,2.7,"1996"
"345",1996,618355.38,5886772.57,3,18.6837964113701,1.4,"1996"
"346",1996,566333.44,5928577.9,65,30.1226020389056,0.5,"1996"
"347",1996,667614.61,5996267.62,66,35.5000395018498,0.4,"1996"
"348",1996,736018.82,5941284.46,3,15.6142683396497,1.6,"1996"
"349",1996,710066.36,6001561.53,72,32.5038042476744,0.6,"1996"
"350",1996,700266.08,5979615.04,47,30.1349352421545,0.8,"1996"
"351",1996,692445,6009459.09,78,34.7847864400781,0.5,"1996"
"352",1996,673208.64,5946785.92,21,25.9077756630919,1.2,"1996"
"353",1996,674752.52,5931405.26,2,18.2573363279787,1.5,"1996"
"354",1996,712585.81,5937444.75,6,15.0881298819447,1.2,"1996"
"360",2000,588816.28,5795572.96,12,18.0153241598304,2.9,"2000"
"361",2000,595969.27,5791163.47,1,14.9901087584669,2.7,"2000"
"362",2000,553426.71,5814932.74,52,22.7163690862316,0.7,"2000"
"363",2000,536003.39,5826485.24,70,25.0796482033258,0.3,"2000"
"364",2000,534778.71,5770301.29,35,22.4434820452476,0.9,"2000"
"365",2000,477952.45,5756417.67,69,28.6726980603136,0.4,"2000"
"366",2000,667614.61,5996267.62,66,35.5000395018498,0.4,"2000"
"367",2000,736018.82,5941284.46,3,15.6142683396497,1.3,"2000"
"368",2000,710066.36,6001561.53,72,32.5038042476744,0.4,"2000"
"369",2000,510032.32,6114101.07,237,29.9860083977789,0.3,"2000"
"370",2000,506321.91,6132475.4,248,33.7031072328349,0.3,"2000"
"371",2000,608889.75,5831429.95,3,18.7667290109273,3.3,"2000"
"372",2000,599773.78,5832966.9,8,20.3113251736231,1.9,"2000"
"374",2000,587650.24,6001110.05,100,42.626344908805,0.3,"2000"
"375",2000,567564.96,6030387.45,136,42.7268962633064,0.3,"2000"
"376",2000,633989.58,5934048.06,21,25.0476014584368,0.6,"2000"
"377",2000,642933.21,5920748.47,4,18.3196865659967,1.6,"2000"
"378",2000,605690.94,5976144.52,68,38.7305941326762,0.5,"2000"
"379",2000,585503.62,5864959.6,28,26.4011693355738,0.9,"2000"
"380",2000,580235.09,5766974.65,2,15.3929997831723,1.7,"2000"
"381",2000,574548.86,5773930.47,8,18.8970817540529,3.1,"2000"
"382",2000,566333.44,5928577.9,65,30.1226020389056,0.3,"2000"
"383",2000,545759.61,5871649.68,68,26.0944461393519,0.2,"2000"
"384",2000,507848.69,5729835.9,30,21.3823643243807,0.8,"2000"
"385",2000,560150.16,5747028.46,6,12.4340411711682,1.8,"2000"
"386",2000,534214.35,5730131.25,11,15.0933689832924,1.2,"2000"
"387",2000,514237.78,5705093.51,14,14.8973310853934,1.5,"2000"
"388",2000,528487.86,5711064.17,4,12.6364291675444,1.5,"2000"
"389",2000,527250.24,5712467.41,5,12.1494021107499,1.5,"2000"
"390",2000,613615.88,5858553.26,3,17.0461715017435,3.1,"2000"
"391",2000,605234.24,5862072.38,9,19.6413286479644,2.6,"2000"
