"","R","G","B","opt"
"256",0.987052509,0.991437853,0.749504188,"A"
"257",0.00146159096,0.000466127766,0.01386552,"B"
"258",0.00226726368,0.00126992553,0.018570352,"B"
"259",0.00329899092,0.00224934863,0.0242390508,"B"
"260",0.00454690615,0.00339180156,0.0309092475,"B"
"261",0.00600552565,0.00469194561,0.038557898,"B"
"262",0.00767578856,0.00613611626,0.0468360336,"B"
"263",0.00956051094,0.00771344131,0.0551430756,"B"
"264",0.0116634769,0.00941675403,0.063459808,"B"
"265",0.0139950388,0.0112247138,0.071861689,"B"
"266",0.0165605595,0.0131362262,0.0802817951,"B"
"267",0.0193732295,0.0151325789,0.0887668094,"B"
"268",0.0224468865,0.0171991484,0.0973274383,"B"
"269",0.0257927373,0.0193306298,0.105929835,"B"
"270",0.0294324251,0.0215030771,0.114621328,"B"
"271",0.0333852235,0.0237024271,0.123397286,"B"
"272",0.0376684211,0.0259207864,0.132232108,"B"
"273",0.0422525554,0.0281385015,0.141140519,"B"
"274",0.0469146287,0.0303236129,0.150163867,"B"
"275",0.0516437624,0.0324736172,0.159254277,"B"
"276",0.0564491009,0.0345691867,0.168413539,"B"
"277",0.06133972,0.0365900213,0.177642172,"B"
"278",0.066331262,0.0385036268,0.186961588,"B"
"279",0.0714289181,0.0402939095,0.196353558,"B"
"280",0.076636756,0.0419053329,0.205798788,"B"
"281",0.0819620773,0.0433278666,0.215289113,"B"
"282",0.0874113897,0.0445561662,0.224813479,"B"
"283",0.0929901526,0.0455829503,0.234357604,"B"
"284",0.0987024972,0.0464018731,0.2439037,"B"
"285",0.104550936,0.0470080541,0.2534303,"B"
"286",0.110536084,0.0473986708,0.262912235,"B"
"287",0.116656423,0.047573592,0.272320803,"B"
"288",0.122908126,0.0475360183,0.28162417,"B"
"289",0.129284984,0.0472930838,0.290788012,"B"
"290",0.13577845,0.0468563678,0.299776404,"B"
"291",0.142377819,0.0462422566,0.30855291,"B"
"292",0.149072957,0.0454676444,0.317085139,"B"
"293",0.155849711,0.0445588056,0.325338414,"B"
"294",0.162688939,0.0435542881,0.333276678,"B"
"295",0.169575148,0.0424893149,0.340874188,"B"
"296",0.176493202,0.0414017089,0.348110606,"B"
"297",0.183428775,0.0403288858,0.354971391,"B"
"298",0.190367453,0.0393088888,0.361446945,"B"
"299",0.197297425,0.0384001825,0.367534629,"B"
"300",0.204209298,0.0376322609,0.373237557,"B"
"301",0.211095463,0.0370296488,0.378563264,"B"
"302",0.217948648,0.0366146049,0.383522415,"B"
"303",0.224762908,0.0364049901,0.388128944,"B"
"304",0.231538148,0.0364052511,0.39240015,"B"
"305",0.238272961,0.0366209949,0.396353388,"B"
"306",0.244966911,0.0370545017,0.400006615,"B"
"307",0.251620354,0.0377052832,0.403377897,"B"
"308",0.258234265,0.0385706153,0.406485031,"B"
"309",0.264809649,0.0396468666,0.409345373,"B"
"310",0.271346664,0.0409215821,0.411976086,"B"
"311",0.277849829,0.0423528741,0.414392106,"B"
"312",0.284321318,0.0439325787,0.416607861,"B"
"313",0.290763373,0.0456437598,0.418636756,"B"
"314",0.297178251,0.0474700293,0.420491164,"B"
"315",0.303568182,0.0493958927,0.422182449,"B"
"316",0.309935342,0.0514069729,0.423720999,"B"
"317",0.316281835,0.0534901321,0.425116277,"B"
"318",0.322609671,0.0556335178,0.426376869,"B"
"319",0.328920763,0.0578265505,0.427510546,"B"
"320",0.335216916,0.0600598734,0.42852432,"B"
"321",0.341499828,0.0623252772,0.429424503,"B"
"322",0.347771086,0.06461561,0.430216765,"B"
"323",0.354032169,0.0669246832,0.430906186,"B"
"324",0.360284449,0.0692471753,0.431497309,"B"
"325",0.366529195,0.0715785403,0.431994185,"B"
"326",0.372767575,0.0739149211,0.432400419,"B"
"327",0.379000659,0.0762530701,0.432719214,"B"
"328",0.385228383,0.0785914864,0.432954973,"B"
"329",0.391452659,0.0809267058,0.433108763,"B"
"330",0.397674379,0.0832568129,0.433182647,"B"
"331",0.403894278,0.0855803445,0.433178526,"B"
"332",0.410113015,0.0878961593,0.433098056,"B"
"333",0.416331169,0.0902033992,0.432942678,"B"
"334",0.422549249,0.0925014543,0.432713635,"B"
"335",0.428767696,0.0947899342,0.432411996,"B"
"336",0.434986885,0.0970686417,0.432038673,"B"
"337",0.441207124,0.099337551,0.431594438,"B"
"338",0.447428382,0.101597079,0.431080497,"B"
"339",0.453650614,0.103847716,0.430497898,"B"
"340",0.459874623,0.106089165,0.429845789,"B"
"341",0.466100494,0.108321923,0.429124507,"B"
"342",0.472328255,0.110546584,0.42833432,"B"
"343",0.478557889,0.112763831,0.427475431,"B"
"344",0.484789325,0.11497443,0.426547991,"B"
"345",0.491022448,0.117179219,0.425552106,"B"
"346",0.497257069,0.119379132,0.424487908,"B"
"347",0.503492698,0.121575414,0.42335611,"B"
"348",0.509729541,0.123768654,0.422155676,"B"
"349",0.515967304,0.125959947,0.420886594,"B"
"350",0.522205646,0.128150439,0.419548848,"B"
"351",0.528444192,0.130341324,0.418142411,"B"
"352",0.534682523,0.132533845,0.416667258,"B"
"353",0.540920186,0.134729286,0.415123366,"B"
"354",0.547156706,0.136928959,0.413510662,"B"
"355",0.553391649,0.139134147,0.411828882,"B"
"356",0.559624442,0.141346265,0.410078028,"B"
"357",0.565854477,0.143566769,0.408258132,"B"
"358",0.572081108,0.14579715,0.406369246,"B"
"359",0.578303656,0.148038934,0.404411444,"B"
"360",0.584521407,0.150293679,0.402384829,"B"
"361",0.590733615,0.152562977,0.400289528,"B"
"362",0.596939751,0.154848232,0.398124897,"B"
"363",0.60313893,0.157151161,0.395891308,"B"
"364",0.609330184,0.159473549,0.393589349,"B"
"365",0.615512627,0.161817111,0.391219295,"B"
"366",0.62168534,0.164183582,0.388781456,"B"
"367",0.627847374,0.166574724,0.38627618,"B"
"368",0.633997746,0.168992314,0.383703854,"B"
"369",0.640135447,0.17143815,0.381064906,"B"
"370",0.646259648,0.173913876,0.378358969,"B"
"371",0.652369348,0.176421271,0.375586209,"B"
"372",0.658463166,0.178962399,0.372748214,"B"
"373",0.664539964,0.181539111,0.369845599,"B"
"374",0.670598572,0.184153268,0.366879025,"B"
"375",0.676637795,0.186806728,0.363849195,"B"
"376",0.682656407,0.189501352,0.360756856,"B"
"377",0.688653158,0.192238994,0.357602797,"B"
"378",0.694626769,0.1950215,0.354387853,"B"
"379",0.700575937,0.197850703,0.3511129,"B"
"380",0.706499709,0.200728196,0.347776863,"B"
"381",0.712396345,0.203656029,0.344382594,"B"
"382",0.718264447,0.206635993,0.340931208,"B"
"383",0.724102613,0.209669834,0.337423766,"B"
"384",0.729909422,0.21275927,0.333861367,"B"
"385",0.735683432,0.215905976,0.330245147,"B"
"386",0.741423185,0.219111589,0.326576275,"B"
"387",0.747127207,0.222377697,0.322855952,"B"
"388",0.752794009,0.225705837,0.31908541,"B"
"389",0.75842209,0.229097492,0.31526591,"B"
"390",0.76400994,0.232554083,0.311398734,"B"
"391",0.769556038,0.236076967,0.307485188,"B"
"392",0.775058888,0.239667435,0.303526312,"B"
"393",0.780517023,0.24332672,0.299522665,"B"
"394",0.785928794,0.247055968,0.295476756,"B"
"395",0.791292674,0.250856232,0.291389943,"B"
"396",0.796607144,0.254728485,0.287263585,"B"
"397",0.801870689,0.25867361,0.283099033,"B"
"398",0.807081807,0.262692401,0.278897629,"B"
"399",0.812239008,0.266785558,0.274660698,"B"
"400",0.817340818,0.270953688,0.270389545,"B"
"401",0.822385784,0.2751973,0.266085445,"B"
"402",0.827372474,0.279516805,0.261749643,"B"
"403",0.832299481,0.283912516,0.257383341,"B"
"404",0.837165425,0.288384647,0.2529877,"B"
"405",0.841968959,0.292933312,0.248563825,"B"
"406",0.846708768,0.297558528,0.244112767,"B"
"407",0.851383572,0.302260213,0.239635512,"B"
"408",0.85599213,0.307038188,0.235132978,"B"
"409",0.860533241,0.311892183,0.230606009,"B"
"410",0.865005747,0.316821833,0.226055368,"B"
"411",0.869408534,0.321826685,0.221481734,"B"
"412",0.87374053,0.326906201,0.216885699,"B"
"413",0.878000715,0.33205976,0.212267762,"B"
"414",0.882188112,0.337286663,0.207628326,"B"
"415",0.886301795,0.342586137,0.202967696,"B"
"416",0.890340885,0.34795734,0.19828608,"B"
"417",0.894304553,0.353399363,0.193583583,"B"
"418",0.898192017,0.35891124,0.188860212,"B"
"419",0.902002544,0.364491949,0.184115876,"B"
"420",0.905735448,0.370140419,0.179350388,"B"
"421",0.90939009,0.375855533,0.174563472,"B"
"422",0.912965874,0.381636138,0.169754764,"B"
"423",0.916462251,0.387481044,0.164923826,"B"
"424",0.91987871,0.393389034,0.160070152,"B"
"425",0.923214783,0.399358867,0.155193185,"B"
"426",0.926470039,0.405389282,0.150292329,"B"
"427",0.929644083,0.411479007,0.145366973,"B"
"428",0.932736555,0.417626756,0.140416519,"B"
"429",0.935747126,0.423831237,0.135440416,"B"
"430",0.938675494,0.430091162,0.130438175,"B"
"431",0.941521384,0.436405243,0.12540944,"B"
"432",0.944284543,0.442772199,0.120354038,"B"
"433",0.946964741,0.449190757,0.115272059,"B"
"434",0.949561766,0.455659658,0.110163947,"B"
"435",0.952075421,0.462177656,0.105030614,"B"
"436",0.954505523,0.468743522,0.0998735931,"B"
"437",0.956851903,0.475356048,0.0946952268,"B"
"438",0.959114397,0.482014044,0.0894989073,"B"
"439",0.96129285,0.488716345,0.0842893891,"B"
"440",0.96338711,0.495461806,0.0790731907,"B"
"441",0.965397031,0.502249309,0.0738591143,"B"
"442",0.967322465,0.509077761,0.0686589199,"B"
"443",0.969163264,0.515946092,0.0634881971,"B"
"444",0.970919277,0.522853259,0.058367489,"B"
"445",0.972590351,0.529798246,0.0533237243,"B"
"446",0.974176327,0.536780059,0.048392009,"B"
"447",0.975677038,0.543797733,0.0436177922,"B"
"448",0.977092313,0.550850323,0.0390500131,"B"
"449",0.978421971,0.557936911,0.0349306227,"B"
"450",0.979665824,0.5650566,0.0314091591,"B"
"451",0.980823673,0.572208516,0.0285075931,"B"
"452",0.981895311,0.579391803,0.0262497353,"B"
"453",0.982880522,0.586605627,0.0246613416,"B"
"454",0.983779081,0.593849168,0.0237702263,"B"
"455",0.984590755,0.601121626,0.0236063833,"B"
"456",0.985315301,0.608422211,0.0242021174,"B"
"457",0.985952471,0.615750147,0.0255921853,"B"
"458",0.986502013,0.623104667,0.0278139496,"B"
"459",0.98696367,0.630485011,0.0309075459,"B"
"460",0.987337182,0.637890424,0.0349160639,"B"
"461",0.987622296,0.645320152,0.0398857472,"B"
"462",0.987818759,0.652773439,0.0455808037,"B"
"463",0.98792633,0.660249526,0.0517503867,"B"
"464",0.987944783,0.667747641,0.0583286889,"B"
"465",0.98787391,0.675267,0.0652570167,"B"
"466",0.987713535,0.682806802,0.072489233,"B"
"467",0.987463516,0.690366218,0.0799897176,"B"
"468",0.987123759,0.697944391,0.0877314215,"B"
"469",0.986694229,0.705540424,0.0956941797,"B"
"470",0.98617497,0.713153375,0.103863324,"B"
"471",0.985565739,0.72078246,0.112228756,"B"
"472",0.984865203,0.728427497,0.120784651,"B"
"473",0.984075129,0.736086521,0.129526579,"B"
"474",0.983195992,0.743758326,0.138453063,"B"
"475",0.982228463,0.751441596,0.147564573,"B"
"476",0.981173457,0.759134892,0.156863224,"B"
"477",0.980032178,0.766836624,0.166352544,"B"
"478",0.978806183,0.774545028,0.176037298,"B"
"479",0.977497453,0.782258138,0.185923357,"B"
"480",0.976108474,0.789973753,0.196017589,"B"
"481",0.974637842,0.797691563,0.206331925,"B"
"482",0.973087939,0.805409333,0.216876839,"B"
"483",0.971467822,0.813121725,0.227658046,"B"
"484",0.969783146,0.820825143,0.238685942,"B"
"485",0.968040817,0.828515491,0.249971582,"B"
"486",0.966242589,0.836190976,0.261533898,"B"
"487",0.964393924,0.843848069,0.273391112,"B"
"488",0.962516656,0.85147634,0.285545675,"B"
"489",0.960625545,0.859068716,0.298010219,"B"
"490",0.958720088,0.866624355,0.310820466,"B"
"491",0.956834075,0.874128569,0.323973947,"B"
"492",0.954997177,0.881568926,0.337475479,"B"
"493",0.953215092,0.888942277,0.351368713,"B"
"494",0.951546225,0.896225909,0.365627005,"B"
"495",0.950018481,0.903409063,0.380271225,"B"
"496",0.948683391,0.910472964,0.395289169,"B"
"497",0.947594362,0.917399053,0.410665194,"B"
"498",0.946809163,0.924168246,0.426373236,"B"
"499",0.946391536,0.930760752,0.442367495,"B"
"500",0.946402951,0.937158971,0.458591507,"B"
"501",0.946902568,0.943347775,0.474969778,"B"
"502",0.947936825,0.949317522,0.491426053,"B"
"503",0.94954483,0.9550629,0.507859649,"B"
"504",0.951740304,0.960586693,0.524203026,"B"
"505",0.954529281,0.965895868,0.540360752,"B"
"506",0.957896053,0.97100333,0.55627509,"B"
"507",0.96181202,0.975924241,0.571925382,"B"
"508",0.966248822,0.980678193,0.587205773,"B"
"509",0.971161622,0.985282161,0.60215433,"B"
"510",0.976510983,0.989753437,0.616760413,"B"
"511",0.982257307,0.994108844,0.631017009,"B"
"512",0.988362068,0.998364143,0.644924005,"B"
"513",0.0503832136,0.0298028976,0.527974883,"C"
"514",0.0635363639,0.0284259729,0.533123681,"C"
"515",0.0753531234,0.0272063728,0.538007001,"C"
"516",0.0862217979,0.0261253206,0.542657691,"C"
"517",0.0963786097,0.0251650976,0.547103487,"C"
"518",0.105979704,0.0243092436,0.551367851,"C"
"519",0.115123641,0.02355625,0.555467728,"C"
"520",0.123902903,0.0228781011,0.55942348,"C"
"521",0.13238072,0.0222583774,0.563250116,"C"
"522",0.140603076,0.0216866674,0.566959485,"C"
"523",0.148606527,0.0211535876,0.570561711,"C"
"524",0.156420649,0.0206507174,0.574065446,"C"
"525",0.164069722,0.0201705326,0.577478074,"C"
"526",0.171573925,0.0197063415,0.58080589,"C"
"527",0.178950212,0.0192522243,0.584054243,"C"
"528",0.186212958,0.0188029767,0.587227661,"C"
"529",0.193374449,0.0183540593,0.590329954,"C"
"530",0.20044526,0.0179015512,0.593364304,"C"
"531",0.207434551,0.0174421086,0.596333341,"C"
"532",0.214350298,0.0169729276,0.599239207,"C"
"533",0.22119675,0.0164970484,0.602083323,"C"
"534",0.227982971,0.0160071509,0.604867403,"C"
"535",0.234714537,0.0155015065,0.607592438,"C"
"536",0.241396253,0.0149791041,0.610259089,"C"
"537",0.248032377,0.0144393586,0.612867743,"C"
"538",0.25462669,0.0138820918,0.615418537,"C"
"539",0.261182562,0.0133075156,0.617911385,"C"
"540",0.267702993,0.0127162163,0.620345997,"C"
"541",0.274190665,0.0121091423,0.622721903,"C"
"542",0.280647969,0.0114875915,0.625038468,"C"
"543",0.287076059,0.0108554862,0.627294975,"C"
"544",0.293477695,0.0102128849,0.62949049,"C"
"545",0.299855122,0.00956079551,0.631623923,"C"
"546",0.306209825,0.00890185346,0.633694102,"C"
"547",0.312543124,0.00823900704,0.635699759,"C"
