"","index","carat","colour","clarity","cut","certification","polish","symmetry","price","wholesaler"
"40",40,0.8,"F","SI1","V","GIA","G","G",3053,"A"
"41",41,0.9,"H","SI2","F","GIA","V","G",3056,"A"
"42",42,0.81,"I","VS1","G","GIA","G","G",3057,"A"
"43",43,0.8,"H","VS1","V","GIA","V","V",3059,"A"
"44",44,0.8,"E","SI2","V","GIA","V","V",3062,"A"
"45",45,0.9,"J","VS2","G","AGS","X","X",3064,"A"
"46",46,0.8,"E","SI2","V","GIA","V","G",3064,"A"
"47",47,0.8,"I","VS1","I","GIA","X","V",3067,"A"
"48",48,0.9,"I","SI2","G","GIA","V","V",3069,"A"
"49",49,0.9,"I","SI2","V","GIA","V","V",3069,"A"
"50",50,0.8,"E","SI2","V","GIA","X","V",3071,"A"
"51",51,0.82,"H","SI1","V","GIA","G","G",3072,"A"
"52",52,0.81,"G","SI2","I","GIA","V","V",3079,"A"
"53",53,0.81,"E","SI1","V","GIA","X","X",3079,"A"
"54",54,0.8,"H","VS2","I","AGS","I","I",3080,"A"
"55",55,0.9,"F","SI2","F","GIA","V","G",3081,"A"
"56",56,0.9,"I","SI1","G","GIA","V","G",3081,"A"
"57",57,0.82,"I","VS2","I","GIA","X","X",3085,"A"
"58",58,0.8,"H","SI1","V","GIA","V","V",3086,"A"
"59",59,0.91,"H","SI2","F","GIA","V","V",3089,"A"
"60",60,0.92,"J","SI1","V","GIA","V","V",3091,"A"
"61",61,1,"L","SI3","F","EGL","F","F",1856,"B"
"62",62,1.06,"L","SI3","F","EGL","G","G",1892,"B"
"63",63,1,"K","I2","F","GIA","V","V",1918,"B"
"64",64,1.01,"G","I2","F","GIA","G","V",1929,"B"
"65",65,1.04,"J","I1","G","EGL","G","G",1966,"B"
"66",66,1.05,"J","I1","G","EGL","V","G",1985,"B"
"67",67,1.23,"I","I2","G","GIA","G","F",1988,"B"
"68",68,1.18,"H","I2","F","DOW","G","F",2031,"B"
"69",69,1.02,"I","I2","X","GIA","G","G",2035,"B"
"70",70,1,"I","I2","F","GIA","G","V",2045,"B"
"71",71,1,"L","I1","X","GIA","X","G",2049,"B"
"72",72,1.05,"H","I2","X","GIA","V","V",2065,"B"
"73",73,1,"G","I1","F","EGL","G","F",2070,"B"
"74",74,1.02,"J","I1","F","EGL","G","G",2100,"B"
"75",75,1,"H","SI3","F","EGL","F","F",2101,"B"
"76",76,1,"F","I1","I","EGL","G","G",2128,"B"
"77",77,1.01,"F","I1","X","EGL","G","G",2149,"B"
"78",78,1.01,"L","SI3","I","EGL","G","G",2156,"B"
"79",79,1.04,"F","I2","X","GIA","G","G",2162,"B"
"80",80,1,"H","I1","F","EGL","G","F",2168,"B"
"81",81,1,"I","I1","F","EGL","G","G",2170,"B"
"82",82,1.01,"I","I1","F","EGL","G","G",2192,"B"
"83",83,1.01,"I","I1","F","EGL","G","F",2192,"B"
"84",84,1.1,"I","I2","I","GIA","V","F",2195,"B"
"85",85,1.02,"I","I1","F","EGL","G","F",2213,"B"
"86",86,1,"K","I1","X","GIA","V","G",2226,"B"
"87",87,1,"J","I1","F","EGL","G","G",2228,"B"
"88",88,1,"E","I1","G","EGL","G","G",2243,"B"
"89",89,1.01,"E","I2","G","EGL","V","G",2252,"B"
"90",90,1.21,"L","I2","X","GIA","G","G",2263,"B"
"91",91,1,"K","SI3","X","EGL","G","V",2288,"B"
"92",92,1.16,"I","I1","F","EGL","G","G",2292,"B"
"93",93,1.17,"H","I2","X","GIA","V","V",2301,"B"
"94",94,1,"F","I1","F","EGL","V","G",2306,"B"
"95",95,1.04,"K","I1","X","EGL","V","V",2308,"B"
"96",96,1,"J","SI3","F","EGL","G","G",2310,"B"
"97",97,1,"E","I2","X","GIA","G","G",2316,"B"
"98",98,1.01,"H","I1","X","EGL","V","X",2321,"B"
"99",99,1.09,"G","I2","X","GIA","G","G",2330,"B"
"100",100,1.02,"K","SI3","V","EGL","G","G",2333,"B"
"101",101,1.05,"F","I2","G","GIA","F","F",2338,"B"
"102",102,1.1,"G","I2","X","GIA","V","V",2351,"B"
"103",103,1,"F","I1","G","EGL","G","G",2359,"B"
"104",104,1.06,"F","I2","G","GIA","G","V",2360,"B"
"105",105,1.01,"G","I1","G","EGL","V","V",2363,"B"
"106",106,1.01,"G","I1","I","EGL","V","V",2363,"B"
"107",107,1,"I","I1","F","EGL","G","G",2364,"B"
"108",108,1.03,"H","I1","I","EGL","V","V",2367,"B"
"109",109,1.15,"J","I1","F","EGL","G","G",2368,"B"
"110",110,1,"K","SI2","X","EGL","G","G",2380,"B"
"111",111,1,"K","SI2","F","EGL","G","F",2380,"B"
"112",112,1.01,"F","I1","X","EGL","G","V",2382,"B"
"113",113,1.07,"L","SI3","X","EGL","G","G",2386,"B"
"114",114,1.04,"H","I1","I","EGL","V","X",2390,"B"
"115",115,1.25,"J","I2","F","GIA","G","G",2397,"B"
"116",116,1.05,"I","I1","F","GIA","G","G",2413,"B"
"117",117,1.09,"K","I1","X","GIA","G","G",2427,"B"
"118",118,1.14,"L","I2","X","GIA","V","V",2437,"B"
"119",119,1.11,"G","I2","X","GIA","G","G",2438,"B"
"120",120,1.21,"K","SI3","F","EGL","G","G",2446,"B"
"121",121,1,"E","SI3","F","EGL","G","G",3080,"B"
"122",122,1.03,"G","I1","X","GIA","V","G",3082,"B"
"123",123,1.03,"G","I1","F","GIA","G","V",3082,"B"
"124",124,1.21,"J","I1","X","GIA","G","G",3083,"B"
"125",125,1.04,"G","I1","I","GIA","V","G",3084,"B"
"126",126,1.19,"H","I1","F","EGL","V","G",3085,"B"
"127",127,1.01,"H","SI2","G","EGL","V","V",3086,"B"
"128",128,1.04,"J","SI1","X","EGL","V","X",3089,"B"
"129",129,1.02,"H","I1","X","GIA","G","F",3089,"B"
"130",130,1.2,"I","I1","F","EGL","V","G",3093,"B"
"131",131,1.2,"I","I1","F","EGL","G","G",3093,"B"
"132",132,1.02,"K","VS2","I","EGL","X","X",3093,"B"
"133",133,1.04,"F","SI3","I","EGL","V","X",3093,"B"
"134",134,1.01,"E","I1","G","GIA","X","V",3098,"B"
"135",135,1,"G","I1","X","GIA","X","V",3101,"B"
"136",136,1.01,"I","SI2","G","EGL","V","G",3102,"B"
"137",137,1,"E","SI3","X","EGL","G","G",3105,"B"
"138",138,1.01,"D","I1","F","GIA","V","G",3107,"B"
"139",139,1.43,"I","I2","X","GIA","G","G",3108,"B"
"140",140,1,"J","SI2","X","EGL","G","G",3108,"B"
"141",141,1,"J","SI2","I","EGL","V","X",3108,"B"
"142",142,1,"J","SI2","X","EGL","V","G",3108,"B"
"143",143,1.11,"K","SI2","X","GIA","V","V",3108,"B"
"144",144,1.01,"G","I1","X","GIA","G","G",3108,"B"
"145",145,1.01,"F","SI3","I","EGL","V","G",3111,"B"
"146",146,1.01,"J","SI1","X","EGL","V","X",3111,"B"
"147",147,1.14,"E","I1","G","EGL","G","G",3112,"B"
"148",148,1.12,"G","I1","X","GIA","V","V",3112,"B"
"149",149,1,"J","SI1","X","EGL","V","G",3114,"B"
"150",150,1.01,"G","SI3","X","EGL","G","G",3118,"B"
"151",151,1.02,"D","SI3","I","EGL","X","X",3119,"B"
"152",152,1.11,"I","SI2","X","EGL","V","G",3122,"B"
"153",153,1.1,"H","I1","X","GIA","V","V",3124,"B"
"154",154,1.13,"K","VS1","X","EGL","G","V",3124,"B"
"155",155,1,"J","SI2","F","GIA","G","F",3125,"B"
"156",156,1.26,"K","I1","X","GIA","V","G",3125,"B"
"157",157,1,"D","I1","G","EGL","G","G",3126,"B"
"158",158,1,"D","I1","X","EGL","G","V",3126,"B"
"159",159,1,"I","SI2","G","EGL","V","G",3127,"B"
"160",160,1,"I","SI2","G","EGL","V","V",3127,"B"
"161",161,1.02,"I","SI3","X","EGL","G","G",3130,"B"
"162",162,1.01,"K","SI2","X","GIA","X","V",3135,"B"
"163",163,1,"H","SI2","I","EGL","G","V",3135,"B"
"164",164,1,"H","SI2","G","EGL","G","G",3135,"B"
"165",165,1,"G","I1","I","GIA","G","G",3136,"B"
"166",166,1.02,"D","I1","F","EGL","G","V",3137,"B"
"167",167,1.23,"K","SI2","X","GIA","X","G",3137,"B"
"168",168,1.01,"G","SI2","F","EGL","G","V",3138,"B"
"169",169,1.07,"E","SI3","X","EGL","G","V",3138,"B"
"170",170,1.01,"J","SI2","X","EGL","V","V",3139,"B"
"171",171,1.01,"J","SI2","I","EGL","V","X",3139,"B"
"172",172,1.01,"J","SI2","X","EGL","V","V",3139,"B"
"173",173,1.01,"J","SI2","X","EGL","V","V",3139,"B"
"174",174,1.01,"J","SI2","I","EGL","V","X",3139,"B"
"175",175,1.01,"J","SI2","I","EGL","V","V",3139,"B"
"176",176,1.01,"J","SI2","X","EGL","G","V",3139,"B"
"177",177,1.15,"E","I1","X","EGL","V","V",3140,"B"
"178",178,1.03,"G","I1","X","GIA","G","G",3141,"B"
"179",179,1.04,"J","SI1","X","EGL","V","V",3142,"B"
"180",180,1.01,"J","SI1","G","EGL","G","V",3145,"B"
"181",181,1.03,"H","I1","X","EGL","G","G",2451,"B"
"182",182,1,"J","SI2","G","EGL","G","V",2452,"B"
"183",183,1.15,"J","SI3","G","EGL","G","G",2467,"B"
"184",184,1.01,"J","SI2","I","EGL","V","X",2476,"B"
"185",185,1,"E","I1","F","EGL","V","G",2486,"B"
"186",186,1.12,"K","I1","F","GIA","G","F",2493,"B"
"187",187,1.01,"E","I2","X","GIA","G","G",2495,"B"
"188",188,1.03,"K","SI3","I","EGL","G","G",2511,"B"
"189",189,1.01,"E","I1","X","EGL","G","V",2511,"B"
"190",190,1.01,"E","I1","G","EGL","G","G",2511,"B"
"191",191,1.01,"E","I1","X","EGL","G","G",2511,"B"
"192",192,1.22,"K","I1","F","EGL","V","G",2516,"B"
"193",193,1.2,"G","I2","X","GIA","G","G",2565,"B"
"194",194,1.1,"G","I1","X","EGL","V","V",2574,"B"
"195",195,1.16,"J","I1","V","EGL","G","G",2584,"B"
"196",196,1.02,"E","I1","X","EGL","V","V",2586,"B"
"197",197,1.23,"L","I1","X","GIA","G","G",2586,"B"
"198",198,1,"J","SI2","F","EGL","V","G",2591,"B"
"199",199,1.01,"F","SI3","X","EGL","V","V",2600,"B"
"200",200,1.19,"H","I2","X","GIA","G","G",2600,"B"
"201",201,1.02,"H","I1","F","EGL","G","F",2601,"B"
"202",202,1.33,"L","SI3","X","EGL","G","V",2607,"B"
"203",203,1.1,"F","I2","X","GIA","V","V",2617,"B"
"204",204,1.58,"K","I2","F","GIA","F","F",2620,"B"
"205",205,1.04,"K","I1","X","GIA","G","G",2625,"B"
"206",206,1.01,"J","SI3","X","EGL","V","V",2625,"B"
"207",207,1,"H","I1","G","GIA","G","G",2625,"B"
"208",208,1.02,"G","I1","I","EGL","V","X",2625,"B"
"209",209,1.02,"K","SI2","X","EGL","V","V",2629,"B"
"210",210,1.01,"H","SI3","F","EGL","G","F",2640,"B"
"211",211,1.01,"I","I1","X","GIA","V","G",2651,"B"
"212",212,1.01,"J","SI3","F","EGL","G","G",2654,"B"
"213",213,1,"L","VS2","F","GIA","G","G",2655,"B"
"214",214,1,"I","SI3","F","EGL","G","G",2660,"B"
"215",215,1.01,"K","SI1","F","EGL","V","G",2668,"B"
"216",216,1,"G","SI3","F","EGL","F","F",2678,"B"
"217",217,1,"K","SI2","I","GIA","V","V",2682,"B"
"218",218,1.14,"F","I1","I","EGL","V","V",2689,"B"
"219",219,1,"K","SI1","G","EGL","G","V",2689,"B"
"220",220,1.01,"D","I1","X","EGL","V","X",2692,"B"
"221",221,1.03,"D","I1","X","EGL","G","V",2692,"B"
"222",222,1.03,"D","I1","F","EGL","G","G",2692,"B"
"223",223,1.05,"J","I1","X","GIA","V","G",2693,"B"
"224",224,1.41,"K","I2","X","GIA","G","G",2704,"B"
"225",225,1.16,"D","I2","F","GIA","G","G",2714,"B"
"226",226,1.01,"K","SI1","I","EGL","V","X",2716,"B"
"227",227,1,"E","I1","G","EGL","G","G",2730,"B"
"228",228,1,"K","SI2","X","GIA","V","V",2745,"B"
"229",229,1,"J","SI2","F","EGL","G","F",2745,"B"
"230",230,1.06,"F","I1","F","EGL","G","G",2745,"B"
"231",231,1.01,"E","I1","X","EGL","G","V",2757,"B"
"232",232,1.12,"L","SI2","G","EGL","G","G",2765,"B"
"233",233,1.07,"L","SI2","X","GIA","V","V",2770,"B"
"234",234,1.04,"D","I1","I","EGL","X","X",2772,"B"
"235",235,1,"J","SI2","X","EGL","V","V",2772,"B"
"236",236,1.1,"G","I1","X","EGL","G","V",2772,"B"
"237",237,1.16,"F","I1","X","GIA","G","F",2775,"B"
"238",238,1,"G","I1","X","GIA","V","V",2779,"B"
"239",239,1,"J","SI1","F","EGL","V","G",2780,"B"
"240",240,1,"J","SI1","F","EGL","G","F",2780,"B"
"241",241,0.09,"D","SI1","X","IGI","G","G",190,"C"
"242",242,0.09,"E","SI1","I","IGI","G","G",160,"C"
"243",243,0.09,"F","SI1","I","IGI","V","G",160,"C"
"244",244,0.09,"E","SI1","I","IGI","G","G",180,"C"
"245",245,0.09,"E","VS1","I","IGI","V","G",190,"C"
"246",246,0.1,"E","VS2","V","IGI","V","G",330,"C"
"247",247,0.1,"F","VS1","V","IGI","G","G",180,"C"
"248",248,0.1,"E","VS2","X","IGI","G","G",180,"C"
"249",249,0.1,"F","VS2","X","IGI","V","G",180,"C"
"250",250,0.1,"F","SI1","X","IGI","G","G",190,"C"
"251",251,0.1,"F","SI1","X","IGI","G","G",160,"C"
"252",252,0.1,"E","SI1","V","IGI","G","G",160,"C"
"253",253,0.1,"E","SI2","G","IGI","V","G",190,"C"
"254",254,0.1,"E","VS1","V","IGI","G","G",180,"C"
"255",255,0.1,"E","VS1","X","IGI","G","G",180,"C"
"256",256,0.1,"F","SI1","V","IGI","G","G",180,"C"
"257",257,0.1,"F","VS1","X","IGI","G","G",180,"C"
"258",258,0.1,"E","VS2","V","IGI","G","G",180,"C"
"259",259,0.11,"F","SI1","G","IGI","G","G",160,"C"
"260",260,0.11,"F","VS2","G","IGI","G","G",190,"C"
"261",261,0.11,"E","SI1","X","IGI","G","G",160,"C"
"262",262,0.11,"F","VS2","V","IGI","V","V",180,"C"
"263",263,0.11,"F","SI1","I","IGI","V","G",180,"C"
"264",264,0.2,"F","SI1","X","IGI","G","G",320,"C"
"265",265,0.21,"G","SI1","V","IGI","G","G",330,"C"
"266",266,0.21,"F","SI1","I","IGI","G","G",330,"C"
"267",267,0.21,"E","VS2","V","IGI","V","G",340,"C"
"268",268,0.21,"E","VVS2","X","IGI","V","G",320,"C"
"269",269,0.21,"F","SI1","X","IGI","V","V",330,"C"
"270",270,0.21,"F","VS2","X","IGI","G","G",340,"C"
"271",271,0.21,"E","VS2","I","IGI","V","G",340,"C"
"272",272,0.22,"E","SI1","I","IGI","G","G",360,"C"
"273",273,0.22,"F","SI1","V","IGI","G","G",330,"C"
"274",274,0.22,"D","SI1","X","IGI","G","G",340,"C"
"275",275,0.22,"F","SI1","V","IGI","G","G",330,"C"
"276",276,0.22,"E","SI1","I","IGI","V","V",340,"C"
"277",277,0.23,"E","SI1","V","IGI","V","V",404,"C"
"278",278,0.23,"F","VVS2","X","GIA","V","V",665,"C"
"279",279,0.23,"F","SI1","X","IGI","G","G",360,"C"
"280",280,0.23,"E","SI1","I","IGI","G","G",360,"C"
"281",281,0.23,"F","VS2","X","IGI","V","G",360,"C"
"282",282,0.23,"F","SI1","V","IGI","G","G",340,"C"
"283",283,0.23,"F","SI1","X","IGI","G","G",360,"C"
"284",284,0.27,"E","VS2","I","GIA","V","V",594,"C"
"285",285,0.28,"E","VVS2","X","GIA","V","X",658,"C"
"286",286,0.28,"E","VVS2","X","GIA","V","X",658,"C"
"287",287,0.3,"I","I1","I","GIA","G","V",372,"C"
"288",288,0.3,"J","SI2","V","GIA","V","V",439,"C"
"289",289,0.3,"I","SI2","X","GIA","V","V",466,"C"
"290",290,0.3,"I","SI2","V","GIA","G","V",466,"C"
"291",291,0.3,"D","I1","X","GIA","V","V",466,"C"
"292",292,0.3,"J","SI1","V","GIA","G","X",466,"C"
"293",293,0.3,"J","SI1","G","GIA","X","X",466,"C"
"294",294,0.3,"J","SI1","V","GIA","X","V",466,"C"
"295",295,0.3,"K","VS1","V","GIA","X","V",466,"C"
"296",296,0.3,"J","VS2","F","GIA","V","V",468,"C"
"297",297,0.3,"I","SI2","V","GIA","G","V",476,"C"
"298",298,0.3,"I","SI2","I","GIA","X","X",476,"C"
"299",299,0.3,"J","SI1","X","GIA","V","G",476,"C"
"300",300,0.3,"J","SI1","V","GIA","X","V",476,"C"
"301",301,0.3,"J","SI1","X","GIA","X","G",476,"C"
"302",302,0.3,"J","SI1","X","GIA","V","V",476,"C"
"303",303,0.3,"J","SI1","G","GIA","V","V",476,"C"
"304",304,0.3,"D","I1","X","GIA","V","V",490,"C"
"305",305,0.3,"H","SI2","G","GIA","V","V",493,"C"
"306",306,0.3,"H","SI2","X","GIA","V","V",493,"C"
"307",307,0.3,"H","SI2","X","GIA","V","V",493,"C"
"308",308,0.3,"H","SI2","I","GIA","V","V",493,"C"
"309",309,0.3,"H","SI2","X","GIA","V","V",493,"C"
"310",310,0.3,"H","SI2","X","GIA","V","V",493,"C"
"311",311,0.3,"I","SI1","I","GIA","V","V",493,"C"
"312",312,0.3,"G","SI2","G","GIA","G","G",493,"C"
"313",313,0.3,"J","VS2","X","GIA","V","V",493,"C"
"314",314,0.3,"J","VS2","V","GIA","V","V",493,"C"
"315",315,0.3,"J","VS2","V","GIA","G","V",493,"C"
"316",316,0.3,"J","VS2","I","GIA","V","V",493,"C"
"317",317,0.3,"J","VS2","V","GIA","V","V",493,"C"
"318",318,0.3,"J","VS2","X","GIA","V","V",493,"C"
"319",319,0.3,"H","SI2","G","GIA","X","X",504,"C"
"320",320,0.3,"H","SI2","V","GIA","X","V",504,"C"
"321",321,0.3,"H","SI2","X","GIA","X","X",504,"C"
"322",322,0.3,"H","SI1","F","GIA","V","X",519,"C"
"323",323,0.3,"H","SI1","V","GIA","V","V",519,"C"
"324",324,0.3,"E","SI2","X","GIA","G","G",519,"C"
"325",325,0.3,"F","SI2","V","GIA","V","V",520,"C"
"326",326,0.3,"F","SI2","V","GIA","V","V",520,"C"
"327",327,0.3,"F","SI2","V","GIA","G","V",520,"C"
"328",328,0.3,"F","SI2","X","GIA","V","G",520,"C"
"329",329,0.3,"F","SI2","I","GIA","V","V",520,"C"
"330",330,0.3,"F","SI2","I","GIA","V","V",520,"C"
"331",331,0.3,"F","SI2","I","GIA","G","V",520,"C"
"332",332,0.3,"F","SI2","I","GIA","V","V",520,"C"
"333",333,0.3,"F","SI2","V","GIA","V","V",520,"C"
"334",334,0.3,"F","SI2","V","GIA","V","V",520,"C"
"335",335,0.3,"G","SI2","X","GIA","X","V",520,"C"
"336",336,0.3,"G","SI2","I","GIA","V","V",520,"C"
"337",337,0.3,"G","SI2","I","GIA","V","V",520,"C"
"338",338,0.3,"I","SI1","V","GIA","X","V",520,"C"
"339",339,0.3,"I","SI1","V","GIA","V","V",520,"C"
"340",340,0.3,"I","SI1","V","GIA","V","X",520,"C"
"341",341,0.3,"I","SI1","V","GIA","X","X",520,"C"
"342",342,0.3,"F","SI2","I","GIA","G","G",520,"C"
"343",343,0.3,"F","SI2","V","GIA","V","X",520,"C"
"344",344,0.3,"G","SI2","G","GIA","V","V",520,"C"
"345",345,0.3,"G","SI2","V","GIA","X","V",520,"C"
"346",346,0.3,"G","SI2","X","GIA","V","V",520,"C"
"347",347,0.3,"G","SI2","X","GIA","V","V",520,"C"
"348",348,0.3,"G","SI2","V","GIA","G","V",520,"C"
"349",349,0.3,"I","SI1","G","GIA","V","V",520,"C"
"350",350,0.3,"I","SI1","V","GIA","V","V",520,"C"
"351",351,0.3,"I","SI1","V","GIA","G","V",520,"C"
"352",352,0.3,"I","SI1","V","GIA","V","V",520,"C"
"353",353,0.3,"I","SI1","V","GIA","V","V",520,"C"
"354",354,0.3,"I","SI1","I","GIA","V","V",520,"C"
"355",355,0.3,"I","SI1","F","GIA","G","V",520,"C"
"356",356,0.3,"I","SI1","X","GIA","V","G",520,"C"
"357",357,0.3,"I","SI1","I","GIA","G","G",520,"C"
"358",358,0.3,"I","SI1","I","GIA","V","V",520,"C"
"359",359,0.3,"I","SI1","I","GIA","V","V",520,"C"
"360",360,0.3,"I","SI1","V","GIA","V","V",520,"C"
"361",361,0.3,"I","SI1","X","GIA","X","V",520,"C"
"362",362,0.3,"J","VS1","V","GIA","X","V",520,"C"
"363",363,0.3,"J","VS1","X","GIA","V","V",520,"C"
"364",364,0.3,"J","VS1","V","GIA","V","V",520,"C"
"365",365,0.3,"J","VS1","V","GIA","V","X",520,"C"
"366",366,0.3,"J","VS1","X","GIA","V","X",520,"C"
"367",367,0.3,"J","VS1","V","GIA","V","V",520,"C"
"368",368,0.3,"J","VS1","X","GIA","V","V",520,"C"
"369",369,0.3,"J","VS1","V","GIA","V","V",520,"C"
"370",370,0.3,"J","VS1","X","GIA","G","V",520,"C"
"371",371,0.3,"J","VS1","X","GIA","V","V",520,"C"
"372",372,0.3,"J","VS1","G","GIA","X","V",520,"C"
"373",373,0.3,"J","VS1","X","GIA","V","V",520,"C"
"374",374,0.3,"J","VS1","X","GIA","X","X",520,"C"
"375",375,0.3,"J","VS1","I","GIA","V","G",520,"C"
"376",376,0.3,"J","VS1","V","GIA","V","V",520,"C"
"377",377,0.3,"J","VS1","I","GIA","V","V",520,"C"
"378",378,0.3,"K","VVS2","X","GIA","V","V",520,"C"
"379",379,0.3,"G","SI2","I","GIA","X","V",531,"C"
"380",380,0.3,"I","SI1","X","GIA","V","V",531,"C"
"381",381,0.3,"I","SI1","V","GIA","G","V",531,"C"
"382",382,0.3,"I","SI1","I","GIA","V","V",531,"C"
"383",383,0.3,"I","SI1","X","GIA","X","V",531,"C"
"384",384,0.3,"D","SI2","G","GIA","V","V",544,"C"
"385",385,0.3,"G","SI1","V","GIA","V","V",544,"C"
"386",386,0.3,"E","SI2","I","GIA","X","X",547,"C"
"387",387,0.3,"E","SI2","X","GIA","X","V",547,"C"
"388",388,0.3,"H","SI1","G","GIA","X","X",547,"C"
"389",389,0.3,"H","SI1","V","GIA","V","G",547,"C"
"390",390,0.3,"H","SI1","X","GIA","V","V",547,"C"
"391",391,0.3,"H","SI1","X","GIA","G","G",547,"C"
"392",392,0.3,"H","SI1","I","GIA","X","X",547,"C"
"393",393,0.3,"H","SI1","V","GIA","V","G",547,"C"
"394",394,0.3,"I","VS2","X","GIA","X","V",547,"C"
"395",395,0.3,"E","SI2","V","GIA","G","G",547,"C"
"396",396,0.3,"E","SI2","V","GIA","X","X",547,"C"
"397",397,0.3,"E","SI2","V","GIA","G","V",547,"C"
"398",398,0.3,"E","SI2","V","GIA","V","V",547,"C"
"399",399,0.3,"H","SI1","G","GIA","V","G",547,"C"
"400",400,0.3,"H","SI1","V","GIA","G","X",547,"C"
"401",401,0.3,"H","SI1","X","GIA","V","V",547,"C"
"402",402,0.3,"H","SI1","X","GIA","V","X",547,"C"
"403",403,0.3,"H","SI1","X","GIA","G","G",547,"C"
"404",404,0.3,"H","SI1","X","GIA","G","V",547,"C"
"405",405,0.3,"H","SI1","V","GIA","X","V",547,"C"
"406",406,0.3,"H","SI1","V","GIA","X","V",547,"C"
"407",407,0.3,"H","SI1","V","GIA","V","V",547,"C"
"408",408,0.3,"H","SI1","V","GIA","V","V",547,"C"
"409",409,0.3,"H","SI1","X","GIA","V","V",547,"C"
"410",410,0.3,"H","SI1","V","GIA","X","V",547,"C"
"411",411,0.3,"H","SI1","X","GIA","X","V",547,"C"
"412",412,0.3,"H","SI1","V","GIA","V","V",547,"C"
"413",413,0.3,"H","SI1","V","GIA","X","V",547,"C"
"414",414,0.3,"H","SI1","X","GIA","V","V",547,"C"
"415",415,0.3,"H","SI1","X","GIA","V","V",547,"C"
"416",416,0.3,"H","SI1","X","GIA","V","V",547,"C"
"417",417,0.3,"H","SI1","I","GIA","G","V",547,"C"
"418",418,0.3,"H","SI1","V","GIA","X","V",547,"C"
"419",419,0.3,"H","SI1","X","GIA","V","V",547,"C"
"420",420,0.3,"I","VS2","V","GIA","V","X",547,"C"
"421",421,0.3,"I","VS2","X","GIA","V","V",547,"C"
"422",422,0.3,"I","VS2","X","GIA","X","X",547,"C"
"423",423,0.3,"I","VS2","I","GIA","V","V",547,"C"
"424",424,0.3,"I","VS2","V","GIA","X","V",547,"C"
"425",425,0.3,"I","VS2","V","GIA","V","V",547,"C"
"426",426,0.3,"I","VS2","I","GIA","V","V",547,"C"
"427",427,0.3,"I","VS2","X","GIA","V","V",547,"C"
"428",428,0.3,"I","VS2","I","GIA","X","V",547,"C"
"429",429,0.3,"I","VS2","X","GIA","V","X",547,"C"
"430",430,0.3,"I","VS2","X","GIA","X","V",547,"C"
"431",431,0.3,"I","VS2","I","GIA","G","V",547,"C"
"432",432,0.3,"I","VS2","I","GIA","G","V",547,"C"
"433",433,0.3,"I","VS2","I","GIA","X","V",547,"C"
"434",434,0.3,"I","VS2","I","GIA","X","V",547,"C"
