"","symbol","nr","name","group","weight","meltpt","boilpt","dens","elconf","oxstat","struct","covrad","arad","avol","spheat","eneg","fusheat","vapheat","elcond","thermcond","ionpot1","ionpot2","ionpot3","discyear"
"17","Cl",17,"Chlorine","Halogen",35.453,172.16,239.1,3.17,"[Ne] 3s2p5","(+/-1), 3, 5, 7","Orthorhombic",0.99,0.97,22.7,0.48,3.16,3.203,10.2,NA,8.9e-05,12.967,23.81,39.611,1774
"18","Ar",18,"Argon","Noble Gas",39.948,83.81,87.3,1.784,"[Ne] 3s2p6",NA,"Cubic face centered",0.98,0.88,28.5,0.52,NA,1.188,6.447,NA,0.0001772,15.759,27.629,40.74,1894
"19","K",19,"Potassium","Alkali Met.",39.0983,336.35,1032,0.86,"[Ar] 4s1","1","Cubic body centered",2.03,2.77,45.46,0.75,0.82,2.334,79.87,139000,1.024,4.341,31.625,45.72,1807
"20","Ca",20,"Calcium","Alkali Earth",40.08,1112,1757,1.55,"[Ar] 4s2","2","Cubic face centered",1.74,2.23,29.9,0.63,1,8.54,153.6,298000,2,6.113,11.871,50.908,1808
"21","Sc",21,"Scandium","Trans. Met.",44.9559,1812,3104,3,"[Ar] 3d1 4s2","3","Hexagonal",1.44,2.09,15,0.6,1.36,14.1,314.2,17700,0.158,6.54,12.8,24.76,1879
"22","Ti",22,"Titanium","Trans. Met.",47.9,1943,3562,4.5,"[Ar] 3d2 4s2","(4), 3","Hexagonal",1.32,2,10.64,0.52,1.54,15.45,421,23400,0.219,6.82,13.58,27.491,1791
"23","V",23,"Vanadium","Trans. Met.",50.9415,2175,3682,5.8,"[Ar] 3d3 4s2","(5), 4, 3, 2","Cubic body centered",1.22,1.92,8.78,0.49,1.63,20.9,0.452,48900,0.307,6.74,14.65,29.31,1830
"24","Cr",24,"Chromium","Trans. Met.",51.996,2130,2945,7.19,"[Ar] 3d5 4s1","6, (3), 2","Cubic body centered",1.18,1.85,7.23,0.45,1.66,16.9,344.3,77400,0.937,6.766,16.5,30.96,1797
"25","Mn",25,"Manganese","Trans. Met.",54.93802,1517,2335,7.43,"[Ar] 3d5 4s2","7, 6, 4, (2), 3","Cubic body centered",1.17,1.79,1.39,0.48,1.55,12.05,226,6950,0.0782,7.435,15.64,33.667,1774
"26","Fe",26,"Iron","Trans. Met.",55.847,1809,3135,7.86,"[Ar] 3d6 4s2","2, (3)","Cubic body centered",1.17,1.72,7.1,0.44,1.83,13.8,349.6,99300,0.802,7.87,16.18,30.651,NA
"27","Co",27,"Cobalt","Trans. Met.",58.9332,1768,3201,8.9,"[Ar] 3d7 4s2","(2), 3","Hexagonal",1.16,1.67,6.7,0.42,1.88,16.19,376.5,172000,1,7.86,17.06,33.5,1737
"28","Ni",28,"Nickel","Trans. Met.",58.7,1726,3187,8.9,"[Ar] 3d8 4s2","(2), 3","Cubic face centered",1.15,1.62,6.59,0.44,1.91,17.47,370.4,143000,0.907,7.635,18.168,35.17,1751
"29","Cu",29,"Copper","Trans. Met.",63.546,1357.6,2836,8.96,"[Ar] 3d10 4s1","(2), 1","Cubic face centered",1.17,1.57,7.1,0.38,1.9,13.05,300.3,596000,4.01,7.726,20.292,36.83,NA
"30","Zn",30,"Zinc","Trans. Met.",65.38,692.73,1180,7.14,"[Ar] 3d10 4s2","2","Hexagonal",1.25,1.53,9.2,0.39,1.65,7.322,115.3,166000,1.16,9.394,17.964,39.722,1746
"31","Ga",31,"Gallium","Metal",69.72,302.9,2478,5.91,"[Ar] 3d10 4s2p1","3","Orthorhombic",1.26,1.81,11.8,0.37,1.81,5.59,258.7,67800,0.406,5.999,20.51,30.71,1875
"32","Ge",32,"Germanium","Metal",72.59,1210.4,3107,5.32,"[Ar] 3d10 4s2p2","4","Cubic face centered",1.22,1.52,13.6,0.32,2.01,36.94,330.9,0.0145,0.599,7.899,15.934,34.22,1886
"33","As",33,"Arsenic","Non-Metal",74.9216,1081,876,5.72,"[Ar] 3d10 4s2p3","(3), 5","Rhombohedral",1.2,1.33,13.1,0.33,2.18,NA,34.76,34500,0.5,9.81,18.633,28.351,NA
"34","Se",34,"Selenium","Non-Metal",78.96,494,958,4.8,"[Ar] 3d10 4s2p4","-2, (4), 6","Hexagonal",1.16,1.22,16.45,0.32,2.55,6.694,37.7,1e-06,0.0204,9.752,21.19,30.82,1817
"35","Br",35,"Bromine","Halogen",79.904,265.9,332.25,3.12,"[Ar] 3d10 4s2p5","(+/-1), 5","Orthorhombic",1.14,1.12,23.5,0.473,2.96,5.286,15.438,NA,0.00122,11.814,21.8,36,1826
"36","Kr",36,"Krypton","Noble Gas",83.8,115.78,119.8,3.74,"[Ar] 3d10 4s2p6",NA,"Cubic face centered",1.12,1.03,38.9,0.248,NA,1.638,9.029,NA,9.49e-05,13.999,24.359,36.95,1898
"37","Rb",37,"Rubidium","Alkali Met.",85.4678,312.64,961,1.53,"[Kr] 5s1","1","Cubic body centered",2.16,2.98,55.9,0.363,0.82,2.192,72.216,77900,0.582,4.177,27.28,40,1861
"38","Sr",38,"Strontium","Alkali Earth",87.62,1041,1650,2.6,"[Kr] 5s2","2","Cubic face centered",1.91,2.45,33.7,0.3,0.95,8.3,144,76200,0.353,5.695,11.03,43.6,1790
"39","Y",39,"Yttrium","Trans. Met.",88.9059,1799,3611,4.5,"[Kr] 4d1 5s2","3","Hexagonal",1.62,2.27,19.8,0.3,1.22,11.4,363,16600,0.172,6.38,12.24,20.52,1794
"40","Zr",40,"Zirconium","Trans. Met.",91.22,2125,4682,6.49,"[Kr] 4d2 5s2","4","Hexagonal",1.45,2.16,14.1,0.27,1.33,16.9,58.2,23600,0.227,6.84,13.13,22.99,1789
"41","Nb",41,"Niobium","Trans. Met.",92.9064,2740,5017,8.55,"[Kr] 4d4 5s1","(5), 3","Cubic body centered",1.34,2.08,10.87,0.26,1.6,26.4,682,69300,0.537,6.88,14.32,25.04,1801
"42","Mo",42,"Molybdenum","Trans. Met.",95.94,2890,4912,10.2,"[Kr] 4d5 5s1","(6), 5, 4, 3, 2","Cubic body centered",1.3,2.01,9.4,0.25,2.16,32,598,187000,1.38,7.099,16.461,27.16,1778
"43","Tc",43,"Technetium","Trans. Met.",98,2473,4538,11.5,"[Kr] 4d5 5s2","7","Hexagonal",1.27,1.95,8.5,0.21,1.9,24,660,67000,0.506,7.28,15.26,29.54,1937
"44","Ru",44,"Ruthenium","Trans. Met.",101.07,2523,4423,12.2,"[Kr] 4d7 5s1","2, (3), 4), 6, 8","Hexagonal",1.25,1.89,NA,0.238,2.2,NA,595,137000,NA,7.37,16.76,28.47,1844
"45","Rh",45,"Rhodium","Trans. Met.",102.9055,2236,3970,12.4,"[Kr] 4d8 5s1","2, (3), 4","Cubic face centered",1.25,1.83,8.3,0.242,2.28,21.5,493,211000,1.5,7.46,18.08,31.06,1803
"46","Pd",46,"Palladium","Trans. Met.",106.4,1825,3237,12,"[Kr] 4d10","(2), 4","Cubic face centered",1.28,1.79,8.9,0.24,2.2,17.6,357,95000,0.718,8.34,19.63,32.93,1803
"47","Ag",47,"Silver","Trans. Met.",107.868,1234,2436,10.5,"[Kr] 4d10 5s1","1","Cubic face centered",1.34,1.75,10.3,0.235,1.93,11.3,250.58,630000,4.29,7.576,21.49,34.83,NA
"48","Cd",48,"Cadmium","Trans. Met.",112.41,594.18,1040,8.65,"[Kr] 4d10 5s2","2","Hexagonal",1.48,1.71,NA,0.23,1.69,NA,99.57,138000,0.968,8.993,16.908,37.48,1817
"49","In",49,"Indium","Metal",114.82,429.76,2346,7.31,"[Kr] 4d10 5s2p1","3","Tetragonal",1.44,2,15.7,0.23,1.78,3.263,231.5,116000,0.816,5.786,18.869,28.03,1863
"50","Sn",50,"Tin","Metal",118.69,505.06,2876,7.3,"[Kr] 4d10 5s2p2","(4), 2","Tetragonal",1.41,1.72,NA,0.227,1.96,NA,295.8,91700,NA,7.344,14.632,30.502,NA
"51","Sb",51,"Antimony","Metal",121.75,904,1860,6.68,"[Kr] 4d10 5s2p3","(+/-3), 5","Rhombohedral",1.4,1.53,18.23,0.21,2.05,19.87,77.14,28800,0.243,8.641,16.53,25.3,NA
"52","Te",52,"Tellurium","Non-Metal",127.6,722.65,1261,6.24,"[Kr] 4d10 5s2p4","2, (4), 6","Hexagonal",1.36,1.42,20.5,0.2,2.1,17.49,52.55,2,0.0235,9.009,18.6,27.96,1782
"53","I",53,"Iodine","Halogen",126.9045,386.7,458.4,4.92,"[Kr] 4d10 5s2p5","(+/-1), 5, 7","Orthorhombic",1.33,1.32,25.74,0.214,2.66,7.824,20.752,8e-10,0.00449,10.451,19.131,33,1804
"54","Xe",54,"Xenon","Noble Gas",131.3,161.36,165.03,5.89,"[Kr] 4d10 5s2p6 ",NA,"Cubic face centered",1.31,1.24,37.3,0.158,NA,2.297,12.636,NA,5.69e-05,12.13,21.21,32.1,1898
"55","Cs",55,"Cesium","Alkali Met.",132.9054,301.55,944,1.87,"[Xe] 6s1","1","Cubic body centered",2.35,3.34,71.07,0.24,0.79,2.092,67.74,48900,0.359,3.894,25.1,NA,1860
"56","Ba",56,"Barium","Alkali Earth",137.33,1002,2171,3.5,"[Xe] 6s2","2","Cubic body centered",1.98,2.78,39.24,0.204,0.89,7.75,142,30000,0.184,5.212,10.004,NA,1808
"57","La",57,"Lanthanum","Trans. Met.",138.9055,1193,3730,6.7,"[Xe] 5d1 6s2","3","Hexagonal",1.69,2.74,20.73,0.19,1.1,6.2,414,12600,0.135,5.58,11.059,19.174,1839
"58","Ce",58,"Cerium","Rare Earth",140.12,1071,3699,6.78,"[Xe] 4f1 5d1 6s2","(3), 4","Cubic face centered",1.65,2.7,20.67,0.19,1.12,5.46,414,11500,0.114,5.54,10.851,20.2,1803
"59","Pr",59,"Praseodymium","Rare Earth",140.9077,1204,3785,6.77,"[Xe] 4f3 6s2","(3), (4)","Hexagonal",1.65,2.67,20.8,0.19,1.13,6.89,296.8,14800,0.125,5.46,10.551,21.62,1885
"60","Nd",60,"Neodymium","Rare Earth",144.24,1289,3341,7,"[Xe] 4f4 6s2","3","Hexagonal",1.64,2.64,20.6,0.19,1.14,7.14,273,15700,0.165,5.53,10.727,22.076,1925
"61","Pm",61,"Promethium","Rare Earth",145,1204,3785,6.475,"[Xe] 4f5 6s2","3","Hexagonal",1.63,2.62,22.39,NA,1.13,NA,NA,NA,0.179,5.554,10.903,22.283,1945
"62","Sm",62,"Samarium","Rare Earth",150.4,1345,2064,7.54,"[Xe] 4f6 6s2","(3), 2","Rhombohedral",1.62,2.59,19.95,0.2,1.17,8.63,166.4,9560,0.133,5.64,11.069,23.423,1879
"63","Eu",63,"Europium","Rare Earth",151.96,1090,1870,5.26,"[Xe] 4f7 6s2","(3), 2","Cubic body centered",1.85,2.56,28.9,0.18,1.2,9.21,143.5,11200,0.139,5.67,11.245,24.926,1901
"64","Gd",64,"Gadolinium","Rare Earth",157.25,1585,3539,7.89,"[Xe] 4f7 5d1 6s2","3","Hexagonal",1.61,2.54,19.9,0.23,1.2,10.05,359.4,7360,0.106,6.15,12.095,20.635,1880
"65","Tb",65,"Terbium","Rare Earth",158.9254,1630,3496,8.27,"[Xe] 4f9 6s2","(3), 4","Hexagonal",1.59,2.51,19.2,0.18,1.2,10.8,330.9,8890,0.111,5.86,11.525,21.91,1843
"66","Dy",66,"Dysprosium","Rare Earth",162.5,1682,2835,8.54,"[Xe] 4f10 6s2","3","Hexagonal",1.59,2.49,19,0.17,1.22,11.06,230,10800,0.107,5.94,11.67,22.802,1886
"67","Ho",67,"Holmium","Rare Earth",164.9304,1743,2968,8.8,"[Xe] 4f11 6s2","3","Hexagonal",1.58,2.47,18.7,0.16,1.23,12.2,241,12400,0.162,6.018,11.805,22.843,1878
"68","Er",68,"Erbium","Rare Earth",167.26,1795,3136,9.05,"[Xe] 4f12 6s2","3","Hexagonal",1.57,2.45,18.4,0.17,1.24,19.9,261,11700,0.143,6.101,11.929,22.739,1843
"69","Tm",69,"Thulium","Rare Earth",168.9342,1818,2220,9.33,"[Xe] 4f13 6s2","(3), 2","Hexagonal",1.56,2.42,18.1,0.16,1.25,16.84,191,15000,0.168,6.184,12.054,26.367,1879
"70","Yb",70,"Ytterbium","Rare Earth",173.04,1097,1467,6.98,"[Xe] 4f14 6s2","(3), 2","Cubic face centered",1.74,2.4,24.79,0.15,1.1,7.66,128.9,35100,0.349,6.254,12.188,25.03,1878
"71","Lu",71,"Lutetium","Rare Earth",174.967,1936,3668,9.84,"[Xe] 4f14 5d1 6s2","3","Hexagonal",1.56,2.25,17.78,0.15,1.27,18.6,355.9,18500,0.164,5.43,13.888,20.957,1907
"72","Hf",72,"Hafnium","Trans. Met.",178.49,2500,4876,13.1,"[Xe] 4f14 5d2 6s2","4","Hexagonal",1.44,2.16,13.6,0.14,1.3,24.06,575,31200,0.23,6.65,14.925,23.32,1923
"73","Ta",73,"Tantalum","Trans. Met.",180.9479,3287,5731,16.6,"[Xe] 4f14 5d3 6s2","5","Cubic body centered",1.34,2.09,10.9,0.14,1.5,31.6,743,76100,0.575,7.89,NA,NA,1802
"74","W",74,"Tungsten","Trans. Met.",183.85,3680,5828,19.3,"[Xe] 4f14 5d4 6s2","(6), 5, 4, 3, 2","Cubic body centered",1.3,2.02,9.53,0.13,2.36,35.4,824,189000,1.74,7.98,NA,NA,1783
"75","Re",75,"Rhenium","Trans. Met.",186.207,3453,5869,21,"[Xe] 4f14 5d5 6s2","(7), 6, 4, 2, -1","Hexagonal",1.28,1.97,8.85,0.13,1.9,33.2,715,54200,0.479,7.88,NA,NA,1925
"76","Os",76,"Osmium","Trans. Met.",190.2,3300,5285,22.4,"[Xe] 4f14 5d6 6s2","2, 3, (4), 6, 8","Hexagonal",1.26,1.92,8.49,0.13,2.2,31.8,746,109000,0.876,8.7,NA,NA,1804
"77","Ir",77,"Iridium","Trans. Met.",192.22,2716,4701,22.5,"[Xe] 4f14 5d7 6s2","2, 3, (4), 6","Cubic face centered",1.27,1.87,8.54,0.13,2.2,26.1,604,197000,1.47,9.1,NA,NA,1804
"78","Pt",78,"Platinum","Trans. Met.",195.09,2045,4100,21.4,"[Xe] 4f14 5d9 6s1","2, (4)","Cubic face centered",1.3,1.83,9.1,0.13,2.28,19.6,510,96600,0.716,9,18.563,NA,1735
"79","Au",79,"Gold","Trans. Met.",196.9665,1337.58,3130,19.3,"[Xe] 4f14 5d10 6s1","(3), 1","Cubic face centered",1.34,1.79,10.2,0.128,2.54,12.55,334.4,452000,3.17,9.225,20.521,NA,NA
"80","Hg",80,"Mercury","Trans. Met.",200.59,234.28,630,13.53,"[Xe] 4f14 5d10 6s2","(2), 1","Rhombohedral",1.49,1.76,14.82,0.139,2,2.295,59.229,10400,0.0834,10.437,18.759,34.202,NA
"81","Tl",81,"Thallium","Metal",204.37,577,1746,11.85,"[Xe] 4f14 5d10 6s2p1","3, (1)","Hexagonal",1.48,2.08,17.2,0.13,2.04,4.142,164.1,61700,0.461,6.108,20.428,29.829,1861
"82","Pb",82,"Lead","Metal",207.2,600.6,2023,11.34,"[Xe] 4f14 5d10 6s2p2","4, (2)","Cubic face centered",1.47,1.81,18.17,0.13,2.33,4.799,177.7,48100,0.353,7.416,15.028,31.943,NA
"83","Bi",83,"Bismuth","Metal",208.9804,544.52,1837,9.8,"[Xe] 4f14 5d10 6s2p3","(3), 5","Rhombohedral",1.46,1.63,21.3,0.12,2.02,11.3,104.8,8670,0.0787,7.289,16.687,25.559,NA
"84","Po",84,"Polonium","Metal",209,527,1235,9.4,"[Xe] 4f14 5d10 6s2p4","(4), 2","Monoclinic",1.46,1.53,22.23,NA,2,NA,NA,21900,0.2,8.42,NA,NA,1898
"85","At",85,"Astatine","Halogen",210,575,610,NA,"[Xe] 4f14 5d10 6s2p5","(1), 3, 5, 7",NA,1.45,1.43,NA,NA,2.2,NA,NA,NA,0.017,NA,NA,NA,1940
"86","Rn",86,"Radon","Noble Gas",222,202,211,9.91,"[Xe] 4f14 5d10 6s2p6 ",NA,"Cubic face centered",NA,1.34,50.5,0.09,NA,2.89,16.4,NA,3.64e-05,10.748,NA,NA,1898
"87","Fr",87,"Francium","Alkali Met.",223,300,950,NA,"[Rn] 7s1","1","Cubic body centered",NA,NA,NA,NA,0.7,NA,NA,30000,0.15,NA,NA,NA,1939
"88","Ra",88,"Radium","Alkali Earth",226.0254,973,1809,5,"[Rn] 7s2","2","Cubic body centered",NA,NA,45.2,NA,0.9,NA,NA,NA,0.186,5.279,10.148,NA,1898
"89","Ac",89,"Actinium","Trans. Met.",227.0278,1323,3473,10.07,"[Rn] 6d1 7s2","3","Cubic face centered",NA,NA,22.54,NA,1.1,NA,NA,NA,0.12,5.17,12.126,NA,1899
"90","Th",90,"Thorium","Rare Earth",232.0381,2028,5061,11.7,"[Rn] 6s27s2","4","Cubic face centered",1.65,NA,19.9,0.12,1.3,16.1,514.4,65300,0.54,6.08,11.504,20.003,1828
"91","Pa",91,"Protactinium","Rare Earth",231.0359,NA,NA,15.4,"[Rn] 5f2 6d1 7s2","(5), 4","Orthorhombic",NA,NA,15,NA,1.5,12.3,NA,52900,0.47,5.89,NA,NA,1917
"92","U",92,"Uranium","Rare Earth",238.029,1405,4407,18.9,"[Rn] 5f3 6d1 7s2","(6), 5, 4, 3","Orthorhombic",1.42,NA,12.59,0.12,1.38,8.52,477,38000,0.276,6.05,NA,NA,1789
"93","Np",93,"Neptunium","Rare Earth",237.0482,910,NA,20.45,"[Rn] 5f4 6d1 7s2","6, (5), 4, 3","Orthorhombic",NA,NA,11.62,0.12,1.36,5.19,NA,8220,0.063,6.19,NA,NA,1940
"94","Pu",94,"Plutonium","Rare Earth",244,913,3503,19.8,"[Rn] 5f6 7s2","6, 5, (4), 3","Monoclinic",NA,NA,12.32,0.13,1.28,2.84,344,6660,0.0674,6.06,NA,NA,1940
"95","Am",95,"Americium","Rare Earth",243,1268,2880,13.6,"[Rn] 5f7 7s2","6, 5, 4, (3)","Hexagonal",NA,NA,17.86,0.11,1.3,14.4,NA,22000,0.1,5.993,NA,NA,1945
"96","Cm",96,"Curium",NA,247,1340,NA,13.511,"[Rn] 5f7 6d1 7s2","3",NA,NA,NA,18.28,NA,1.3,15,NA,NA,0.1,6.02,NA,0.1,1944
"97","Bk",97,"Berkelium",NA,247,NA,NA,NA,"[Rn] 5f9 7s2","4, (3)",NA,NA,NA,NA,NA,1.3,NA,NA,NA,0.1,6.23,NA,0.1,1949
"98","Cf",98,"Californium",NA,251,900,NA,NA,"[Rn] 5f10 7s2","3",NA,NA,NA,NA,NA,1.3,NA,NA,NA,0.1,6.3,NA,0.1,1950
"99","Es",99,"Einsteinium",NA,252,NA,NA,NA,"[Rn] 4f11 7s2 ",NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,0.1,6.42,NA,0.1,1952
"100","Fm",100,"Fermium",NA,257,NA,NA,NA,"[Rn] 5f12 7s2 ",NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,0.1,6.5,NA,0.1,1953
"101","Md",101,"Mendelevium",NA,258,NA,NA,NA,"[Rn] 5f13 7s2 ",NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,0.1,6.58,NA,0.1,1955
"102","No",102,"Nobelium",NA,259,NA,NA,NA,"[Rn] 5f14 7s2 ",NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,0.1,6.65,NA,0.1,1957
"103","Lr",103,"Lawrencium",NA,260,NA,NA,NA,"[Rn] 5f14 6d1 7s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,1961
"104","Unq",104,"Unnilquadium",NA,261,NA,NA,NA,"[Rn] 5f14 6d2 7s2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,0.23,1969
"105","Unp",105,"Unnilpentium",NA,262,NA,NA,NA,"[Rn] 5f14 6d3 7s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,0.58,1970
"106","Unh",106,"Unnilhexium",NA,263,NA,NA,NA,"[Rn] 5f14 6d4 7s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974
"107","Uns",107,"Unnilseptium",NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976
"108","Uno",108,"Unniloctium",NA,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Une",109,"Unnilennium",NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982
"110","Unn",110,"Ununnilium",NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987
