"","Saison","Spieltag","Datum","Anpfiff","Heim","Gast","Tore.Heim","Tore.Gast","Tore.Heim.Halbzeit","Tore.Gast.Halbzeit"
"180","1963/1964",23,1964-03-07,"16:30","Karlsruher SC","1. FC Kaiserslautern",5,1,2,0
"181","1963/1964",23,1964-03-07,"16:30","TSV 1860 Muenchen","Hamburger SV",9,2,3,1
"182","1963/1964",23,1964-03-07,"16:30","Preussen Muenster","1. FC Koeln",0,2,0,2
"183","1963/1964",23,1964-03-07,"16:30","1. FC Saarbruecken","Meidericher SV",0,2,0,1
"184","1963/1964",23,1964-03-07,"16:30","FC Schalke 04","1. FC Nuernberg",4,1,2,1
"185","1963/1964",24,1964-03-14,"16:30","Eintracht Braunschweig","Hamburger SV",2,1,0,0
"186","1963/1964",24,1964-03-14,"16:30","SV Werder Bremen","FC Schalke 04",1,0,1,0
"187","1963/1964",24,1964-03-14,"16:30","Borussia Dortmund","VfB Stuttgart",7,1,2,1
"188","1963/1964",24,1964-03-14,"16:30","Meidericher SV","1. FC Koeln",2,2,2,0
"189","1963/1964",24,1964-03-14,"16:30","Eintracht Frankfurt","Hertha BSC Berlin",4,0,0,0
"190","1963/1964",24,1964-03-14,"16:30","1. FC Kaiserslautern","1. FC Nuernberg",3,1,3,0
"191","1963/1964",24,1964-03-14,"16:30","Karlsruher SC","1. FC Saarbruecken",2,2,0,2
"192","1963/1964",24,1964-03-14,"16:30","TSV 1860 Muenchen","Preussen Muenster",3,1,0,1
"193","1963/1964",25,1964-03-21,"16:30","Hamburger SV","Meidericher SV",3,3,0,1
"194","1963/1964",25,1964-03-21,"16:30","1. FC Koeln","Eintracht Braunschweig",4,1,1,0
"195","1963/1964",25,1964-03-21,"16:30","Preussen Muenster","Karlsruher SC",0,0,0,0
"196","1963/1964",25,1964-03-21,"16:30","1. FC Nuernberg","Borussia Dortmund",4,0,2,0
"197","1963/1964",25,1964-03-21,"16:30","1. FC Saarbruecken","TSV 1860 Muenchen",1,2,0,1
"198","1963/1964",25,1964-03-21,"16:30","FC Schalke 04","Eintracht Frankfurt",1,2,0,0
"199","1963/1964",25,1964-03-21,"16:30","VfB Stuttgart","1. FC Kaiserslautern",4,0,2,0
"200","1963/1964",25,1964-04-15,"20:00","Hertha BSC Berlin","SV Werder Bremen",5,2,2,1
"201","1963/1964",26,1964-04-04,"17:00","Hertha BSC Berlin","FC Schalke 04",1,0,1,0
"202","1963/1964",26,1964-04-04,"17:00","Meidericher SV","Eintracht Braunschweig",5,1,3,1
"203","1963/1964",26,1964-04-04,"17:00","Eintracht Frankfurt","SV Werder Bremen",7,0,2,0
"204","1963/1964",26,1964-04-04,"17:00","Hamburger SV","1. FC Koeln",1,1,1,0
"205","1963/1964",26,1964-04-04,"17:00","1. FC Kaiserslautern","Borussia Dortmund",0,1,0,1
"206","1963/1964",26,1964-04-04,"17:00","Karlsruher SC","TSV 1860 Muenchen",1,0,1,0
"207","1963/1964",26,1964-04-04,"17:00","Preussen Muenster","1. FC Saarbruecken",2,1,1,1
"208","1963/1964",26,1964-04-04,"17:00","1. FC Nuernberg","VfB Stuttgart",0,0,0,0
"209","1963/1964",27,1964-04-11,"17:00","Eintracht Braunschweig","1. FC Kaiserslautern",0,1,0,1
"210","1963/1964",27,1964-04-11,"17:00","SV Werder Bremen","Karlsruher SC",0,0,0,0
"211","1963/1964",27,1964-04-11,"17:00","Borussia Dortmund","Meidericher SV",0,0,0,0
"212","1963/1964",27,1964-04-11,"17:00","1. FC Koeln","1. FC Nuernberg",5,0,2,0
"213","1963/1964",27,1964-04-11,"17:00","TSV 1860 Muenchen","Eintracht Frankfurt",1,1,0,0
"214","1963/1964",27,1964-04-11,"17:00","1. FC Saarbruecken","Hertha BSC Berlin",3,0,3,0
"215","1963/1964",27,1964-04-11,"17:00","FC Schalke 04","Preussen Muenster",1,2,0,1
"216","1963/1964",27,1964-04-11,"17:00","VfB Stuttgart","Hamburger SV",2,2,1,1
"217","1963/1964",28,1964-04-18,"17:00","Eintracht Braunschweig","VfB Stuttgart",2,0,2,0
"218","1963/1964",28,1964-04-18,"17:00","Meidericher SV","1. FC Nuernberg",0,0,0,0
"219","1963/1964",28,1964-04-18,"17:00","Hamburger SV","1. FC Kaiserslautern",7,3,1,0
"220","1963/1964",28,1964-04-18,"17:00","Karlsruher SC","Hertha BSC Berlin",1,1,0,0
"221","1963/1964",28,1964-04-18,"17:00","1. FC Koeln","Borussia Dortmund",5,2,1,1
"222","1963/1964",28,1964-04-18,"17:00","TSV 1860 Muenchen","FC Schalke 04",7,1,3,1
"223","1963/1964",28,1964-04-18,"17:00","Preussen Muenster","Eintracht Frankfurt",1,3,1,2
"224","1963/1964",28,1964-04-18,"17:00","1. FC Saarbruecken","SV Werder Bremen",3,2,1,0
"225","1963/1964",29,1964-04-25,"17:00","Hertha BSC Berlin","TSV 1860 Muenchen",3,1,1,1
"226","1963/1964",29,1964-04-25,"17:00","SV Werder Bremen","Preussen Muenster",4,2,2,1
"227","1963/1964",29,1964-04-25,"17:00","Eintracht Frankfurt","1. FC Saarbruecken",3,1,3,1
"228","1963/1964",29,1964-04-25,"17:00","1. FC Kaiserslautern","1. FC Koeln",3,3,2,3
"229","1963/1964",29,1964-04-25,"17:00","1. FC Nuernberg","Eintracht Braunschweig",1,0,0,0
"230","1963/1964",29,1964-04-25,"17:00","FC Schalke 04","Karlsruher SC",2,1,0,1
"231","1963/1964",29,1964-04-25,"17:00","VfB Stuttgart","Meidericher SV",1,2,1,2
"232","1963/1964",29,1964-05-05,"20:00","Borussia Dortmund","Hamburger SV",5,2,2,0
"233","1963/1964",30,1964-05-09,"17:00","Eintracht Braunschweig","Borussia Dortmund",2,0,0,0
"234","1963/1964",30,1964-05-09,"17:00","Meidericher SV","1. FC Kaiserslautern",3,0,1,0
"235","1963/1964",30,1964-05-09,"17:00","Hamburger SV","1. FC Nuernberg",2,2,1,1
"236","1963/1964",30,1964-05-09,"17:00","Karlsruher SC","Eintracht Frankfurt",1,2,0,1
"237","1963/1964",30,1964-05-09,"17:00","1. FC Koeln","VfB Stuttgart",2,1,0,1
"238","1963/1964",30,1964-05-09,"17:00","TSV 1860 Muenchen","SV Werder Bremen",3,2,1,1
"239","1963/1964",30,1964-05-09,"17:00","Preussen Muenster","Hertha BSC Berlin",4,2,2,2
"240","1963/1964",30,1964-05-09,"17:00","1. FC Saarbruecken","FC Schalke 04",1,1,1,0
"241","1964/1965",1,1964-08-22,"16:00","Eintracht Braunschweig","TSV 1860 Muenchen",1,1,1,0
"242","1964/1965",1,1964-08-22,"16:00","Borussia Dortmund","Hannover 96",0,2,0,0
"243","1964/1965",1,1964-08-22,"16:00","Eintracht Frankfurt","FC Schalke 04",2,2,0,2
"244","1964/1965",1,1964-08-22,"16:00","Hamburger SV","VfB Stuttgart",2,2,0,2
"245","1964/1965",1,1964-08-22,"16:00","1. FC Kaiserslautern","SV Werder Bremen",2,1,2,1
"246","1964/1965",1,1964-08-22,"16:00","Karlsruher SC","Meidericher SV",2,1,1,0
"247","1964/1965",1,1964-08-22,"16:00","1. FC Koeln","Hertha BSC Berlin",2,3,1,0
"248","1964/1965",1,1964-08-22,"16:00","1. FC Nuernberg","Borussia Neunkirchen",2,0,0,0
"249","1964/1965",2,1964-08-29,"16:00","Hertha BSC Berlin","Hamburger SV",0,0,0,0
"250","1964/1965",2,1964-08-29,"16:00","SV Werder Bremen","Eintracht Braunschweig",5,1,3,1
"251","1964/1965",2,1964-08-29,"16:00","Meidericher SV","1. FC Kaiserslautern",3,1,3,0
"252","1964/1965",2,1964-08-29,"16:00","Hannover 96","1. FC Koeln",2,0,2,0
"253","1964/1965",2,1964-08-29,"16:00","TSV 1860 Muenchen","Eintracht Frankfurt",0,1,0,0
"254","1964/1965",2,1964-08-29,"16:00","Borussia Neunkirchen","Borussia Dortmund",1,2,0,0
"255","1964/1965",2,1964-08-29,"16:00","FC Schalke 04","Karlsruher SC",1,1,0,0
"256","1964/1965",2,1964-08-29,"16:00","VfB Stuttgart","1. FC Nuernberg",3,1,1,1
"257","1964/1965",3,1964-09-05,"16:00","Eintracht Braunschweig","Meidericher SV",0,1,0,1
"258","1964/1965",3,1964-09-05,"16:00","Borussia Dortmund","VfB Stuttgart",1,0,0,0
"259","1964/1965",3,1964-09-05,"16:00","Eintracht Frankfurt","SV Werder Bremen",0,2,0,1
"260","1964/1965",3,1964-09-05,"16:00","Hamburger SV","Hannover 96",3,0,0,0
"261","1964/1965",3,1964-09-05,"16:00","1. FC Kaiserslautern","FC Schalke 04",3,0,3,0
"262","1964/1965",3,1964-09-05,"16:00","Karlsruher SC","TSV 1860 Muenchen",1,5,0,2
"263","1964/1965",3,1964-09-05,"16:00","1. FC Koeln","Borussia Neunkirchen",4,3,2,3
"264","1964/1965",3,1964-09-05,"16:00","1. FC Nuernberg","Hertha BSC Berlin",2,0,1,0
"265","1964/1965",4,1964-09-12,"16:00","Hertha BSC Berlin","Borussia Dortmund",0,0,0,0
"266","1964/1965",4,1964-09-12,"16:00","SV Werder Bremen","Karlsruher SC",1,0,0,0
"267","1964/1965",4,1964-09-12,"16:00","Meidericher SV","Eintracht Frankfurt",1,3,1,2
