"","ascore","arisk"
"288",40,0
"289",40,0
"290",40,0
"291",40,0
"292",40,0
"293",32,1
"294",33,0
"295",40,0
"296",40,0
"297",40,0
"298",40,0
"299",40,0
"300",40,0
"301",40,0
"302",40,0
"303",36,0
"304",40,0
"305",40,0
"306",40,0
"307",32,0
"308",39,0
"309",40,0
"310",40,0
"311",40,0
"312",31,0
"313",17,1
"314",40,0
"315",40,0
"316",40,0
"317",40,0
"318",40,0
"319",36,0
"320",40,0
"321",33,0
"322",40,0
"323",40,0
"324",40,0
"325",40,0
"326",40,0
"327",37,0
"328",39,0
"329",33,0
"330",40,0
"331",40,0
"332",32,1
"333",40,0
"334",40,0
"335",35,0
"336",40,0
"337",40,0
"338",40,0
"339",40,0
"340",10,0
"341",40,0
"342",34,0
"343",38,0
"344",40,0
"345",40,0
"346",40,0
"347",31,1
"348",39,0
"349",40,0
"350",40,0
"351",39,0
"352",40,0
"353",40,0
"354",29,1
"355",40,0
"356",39,0
"357",40,0
"358",40,0
"359",40,0
"360",40,0
"361",40,0
"362",40,0
"363",40,0
"364",40,0
"365",40,0
"366",38,0
"367",40,0
"368",34,0
"369",15,1
"370",15,1
"371",40,0
"372",30,0
"373",35,0
"374",39,0
"375",40,0
"376",34,0
"377",34,0
"378",33,1
"379",40,0
"380",40,0
"381",40,0
"382",40,0
"383",40,0
"384",39,0
"385",11,1
"386",40,0
"387",40,0
"388",40,0
"389",40,0
"390",39,0
"391",40,0
"392",40,0
"393",40,0
"394",36,0
"395",40,0
"396",40,0
"397",32,0
"398",40,0
"399",34,0
"400",40,0
"401",40,0
"402",40,0
"403",40,0
"404",40,0
"405",40,0
"406",40,0
"407",40,0
"408",15,0
"409",40,0
"410",40,0
"411",40,0
"412",15,0
"413",40,0
"414",36,0
"415",32,0
"416",40,0
"417",40,0
"418",40,0
"419",40,0
"420",40,0
"421",40,0
"422",40,0
"423",40,0
"424",38,0
"425",40,0
"426",30,1
"427",34,1
"428",40,0
"429",29,1
"430",40,0
"431",40,0
"432",40,0
"433",40,0
"434",40,0
"435",40,0
"436",40,0
"437",40,0
"438",40,0
"439",25,1
"440",13,1
"441",40,0
"442",40,0
"443",40,0
"444",40,0
"445",40,0
"446",33,1
"447",40,1
"448",40,0
"449",13,0
"450",36,0
"451",40,0
"452",22,1
"453",13,1
"454",40,0
"455",27,1
"456",39,0
"457",10,0
"458",40,0
"459",30,1
"460",40,0
"461",40,0
"462",39,0
"463",39,0
"464",40,0
"465",30,1
"466",40,0
"467",40,0
"468",40,0
"469",40,0
"470",40,0
"471",39,0
"472",40,0
"473",40,0
"474",36,0
"475",40,0
"476",40,0
"477",40,0
"478",40,0
"479",40,0
"480",26,1
"481",40,0
"482",40,0
"483",37,0
"484",40,0
"485",32,0
"486",40,0
"487",40,0
"488",39,0
"489",40,0
"490",14,0
"491",40,0
"492",40,0
"493",40,0
"494",40,0
"495",40,0
"496",40,0
"497",40,0
"498",37,0
"499",40,0
"500",38,0
"501",40,0
"502",36,1
"503",37,0
"504",40,0
"505",35,0
"506",30,0
"507",22,1
"508",39,0
"509",32,0
"510",40,0
"511",30,1
"512",31,1
"513",37,1
"514",17,1
"515",40,0
"516",37,0
"517",40,0
"518",40,0
"519",40,0
"520",40,0
"521",37,0
"522",40,0
"523",39,0
"524",40,0
"525",40,0
"526",40,0
"527",40,0
"528",40,0
"529",40,0
"530",38,0
"531",20,1
"532",33,0
"533",33,0
"534",40,0
"535",40,0
"536",40,0
"537",40,0
"538",40,0
"539",31,0
"540",40,0
"541",40,0
"542",26,1
"543",40,0
"544",40,0
"545",40,0
"546",40,0
"547",40,0
"548",40,0
"549",40,0
"550",39,0
"551",40,0
"552",32,0
"553",36,0
"554",40,0
"555",36,0
"556",38,0
"557",40,0
"558",40,0
"559",40,0
"560",40,0
"561",39,0
"562",40,0
"563",40,0
"564",40,0
"565",40,0
"566",33,0
"567",33,0
"568",40,0
"569",40,0
"570",40,0
"571",40,0
"572",40,0
"573",10,0
"574",39,0
"575",40,0
"576",40,0
"577",40,0
"578",40,0
"579",40,0
"580",40,0
"581",40,0
"582",24,0
"583",40,0
"584",40,0
"585",40,0
"586",40,0
"587",40,0
"588",40,0
"589",40,0
"590",40,0
"591",40,0
"592",40,0
"593",40,0
"594",40,0
"595",40,0
"596",39,0
"597",17,1
"598",40,0
"599",40,0
"600",40,0
"601",11,0
"602",40,0
"603",40,0
"604",40,0
"605",37,0
"606",40,0
"607",40,0
"608",40,0
"609",40,0
"610",40,0
"611",40,0
"612",39,0
"613",40,0
"614",38,0
"615",40,0
"616",40,0
"617",40,0
"618",36,0
"619",40,0
"620",40,0
