"","Transect","SignedDistance","Distance","Seen"
"212",2,28,28,1
"213",2,28,28,1
"214",2,28,28,0
"215",2,29,29,1
"216",2,30,30,1
"217",2,34,34,1
"218",2,35.5,35.5,1
"219",2,36,36,1
"220",2,36,36,1
"221",2,36,36,1
"222",2,44,44,1
"223",2,46,46,0
"224",2,50,50,1
"225",2,50,50,0
"226",2,51,51,1
"227",2,52,52,1
"228",2,52,52,1
"229",2,53,53,0
"230",2,54,54,0
"231",2,55,55,1
"232",2,55,55,1
"233",2,55,55,1
"234",2,57,57,0
"235",2,58,58,1
"236",2,59,59,0
"237",2,59,59,0
"238",2,75,75,1
"239",3,-50,50,0
"240",3,-50,50,0
"241",3,-50,50,0
"242",3,-50,50,0
"243",3,-50,50,0
"244",3,-49,49,1
"245",3,-49,49,1
"246",3,-49,49,1
"247",3,-49,49,0
"248",3,-49,49,0
"249",3,-47,47,1
"250",3,-46,46,1
"251",3,-46,46,1
"252",3,-45,45,1
"253",3,-44,44,1
"254",3,-40,40,1
"255",3,-36,36,1
"256",3,-36,36,1
"257",3,-35,35,1
"258",3,-31,31,1
"259",3,-31,31,0
"260",3,-28,28,1
"261",3,-28,28,1
"262",3,-27,27,1
"263",3,-27,27,0
"264",3,-25,25,1
"265",3,-24,24,1
"266",3,-24,24,0
"267",3,-23,23,1
"268",3,-23,23,0
"269",3,-15,15,1
"270",3,-15,15,1
"271",3,-10,10,1
"272",3,-8,8,1
"273",3,-5,5,1
"274",3,8,8,1
"275",3,10,10,1
"276",3,12,12,1
"277",3,12,12,1
"278",3,13,13,1
"279",3,13,13,1
"280",3,13,13,1
"281",3,14,14,1
"282",3,14,14,1
"283",3,14,14,1
"284",3,14,14,1
"285",3,14,14,1
"286",3,14,14,1
"287",3,14,14,1
"288",3,14,14,1
"289",3,14,14,1
"290",3,14,14,1
"291",3,14,14,1
"292",3,14,14,1
"293",3,14,14,1
"294",3,15,15,1
"295",3,15,15,1
"296",3,16,16,1
"297",3,20,20,1
"298",3,20,20,1
"299",3,26,26,1
"300",3,26,26,1
"301",3,27,27,1
"302",3,27,27,1
"303",3,27,27,1
"304",3,29,29,1
"305",3,30,30,1
"306",3,31,31,1
"307",3,32,32,1
"308",3,32,32,1
"309",3,34,34,1
"310",3,36,36,1
"311",3,36,36,1
"312",3,36,36,1
"313",3,37,37,1
"314",3,37,37,1
"315",3,37,37,0
"316",3,38,38,1
"317",3,38,38,1
"318",3,38,38,1
"319",3,42,42,0
"320",3,42,42,0
"321",3,44,44,1
"322",3,45,45,1
"323",3,45,45,1
"324",3,45,45,1
"325",3,45,45,1
"326",3,46,46,1
"327",3,47,47,0
"328",3,47,47,0
"329",4,-75,75,0
"330",4,-74,74,0
"331",4,-74,74,0
"332",4,-72,72,0
"333",4,-71,71,0
"334",4,-71,71,0
"335",4,-70,70,0
"336",4,-69,69,0
"337",4,-69,69,0
"338",4,-67,67,0
"339",4,-67,67,0
"340",4,-65,65,0
"341",4,-64,64,0
"342",4,-64,64,0
"343",4,-62,62,0
"344",4,-61,61,0
"345",4,-59,59,0
"346",4,-58,58,0
"347",4,-57,57,1
"348",4,-55,55,0
"349",4,-55,55,0
"350",4,-54,54,0
"351",4,-53,53,1
"352",4,-52,52,0
"353",4,-51,51,1
"354",4,-51,51,0
"355",4,-50,50,1
"356",4,-47,47,1
"357",4,-24,24,1
"358",4,-22,22,1
"359",4,-19,19,1
"360",4,-17,17,1
"361",4,-9,9,1
"362",4,-8,8,1
"363",4,-6,6,1
"364",4,-6,6,1
"365",4,-4,4,1
"366",4,-4,4,1
"367",4,-4,4,1
"368",4,-3,3,1
"369",4,-1,1,1
"370",4,-1,1,1
"371",4,0,0,1
"372",4,1,1,1
"373",4,2,2,1
"374",4,3,3,1
"375",4,4,4,1
"376",4,4,4,1
"377",4,5,5,1
"378",4,8,8,1
"379",4,10,10,1
"380",4,11,11,1
"381",4,11,11,0
"382",4,12,12,1
"383",4,14,14,0
"384",4,14,14,0
"385",4,15,15,1
"386",4,15,15,1
"387",4,16,16,1
"388",4,17,17,1
"389",4,19,19,1
"390",4,21,21,1
"391",4,21,21,1
"392",4,26,26,1
"393",4,26,26,1
"394",4,27,27,0
"395",4,29,29,1
"396",4,31,31,1
"397",4,32,32,1
"398",4,33,33,1
"399",4,34,34,1
"400",4,34,34,1
"401",4,35,35,1
"402",4,35,35,1
"403",4,36,36,1
"404",4,39,39,1
"405",4,47,47,1
"406",4,47,47,1
"407",4,50,50,0
"408",4,51,51,1
"409",4,51,51,1
"410",4,52,52,0
"411",4,53,53,0
"412",4,53,53,0
"413",4,54,54,0
"414",4,55,55,0
"415",4,55,55,0
"416",4,56,56,0
"417",4,59,59,1
"418",4,60,60,1
"419",4,62,62,1
"420",4,63,63,1
"421",4,66,66,0
"422",4,68,68,1
"423",4,69,69,1
"424",4,69,69,0
"425",4,69,69,0
"426",4,69,69,0
"427",4,70,70,1
"428",4,71,71,0
"429",4,72,72,0
"430",4,75,75,1
"431",5,-73,73,0
"432",5,-71,71,0
"433",5,-70,70,0
"434",5,-70,70,0
"435",5,-69,69,0
"436",5,-37,37,1
"437",5,-37,37,1
"438",5,-36,36,1
"439",5,-35,35,1
"440",5,-35,35,0
"441",5,-21,21,1
"442",5,-17,17,1
"443",5,-15,15,1
"444",5,-15,15,1
"445",5,-13,13,1
"446",5,-10,10,0
"447",5,-5,5,1
"448",5,-5,5,1
"449",5,-1,1,1
"450",5,-1,1,1
"451",5,1,1,1
"452",5,5,5,1
"453",5,7,7,1
"454",5,7,7,1
"455",5,7,7,1
"456",5,16,16,1
"457",5,16,16,0
"458",5,18,18,1
"459",5,19,19,1
"460",5,31,31,0
"461",5,33,33,1
"462",5,39,39,1
"463",5,43,43,0
"464",5,45,45,1
"465",5,45,45,0
"466",5,45,45,0
"467",5,48,48,0
"468",5,49,49,0
"469",5,50,50,1
"470",5,50,50,1
"471",5,53,53,1
"472",5,53,53,0
"473",5,56,56,0
"474",5,57,57,0
"475",5,58,58,0
"476",5,66,66,1
"477",5,66,66,0
"478",5,67,67,0
"479",5,68,68,0
"480",5,68,68,0
"481",5,70,70,1
"482",5,71,71,1
"483",5,72,72,0
"484",5,75,75,0
"485",6,15,15,0
"486",6,18,18,1
"487",6,23,23,1
"488",6,23,23,0
"489",6,25,25,1
"490",6,25,25,0
"491",6,28,28,1
"492",6,28,28,0
"493",6,29,29,1
"494",6,32,32,1
"495",6,32,32,1
"496",6,33,33,1
"497",6,34,34,0
"498",6,34,34,0
"499",6,34,34,0
"500",6,34,34,0
"501",6,36,36,1
"502",6,36,36,1
"503",6,36,36,0
"504",6,36,36,0
"505",6,37,37,0
"506",6,37,37,0
"507",6,38,38,0
"508",6,40,40,0
"509",6,43,43,1
"510",6,43,43,0
"511",6,44,44,0
"512",6,45,45,0
"513",6,46,46,0
"514",6,50,50,1
"515",6,50,50,0
"516",6,51,51,0
"517",6,52,52,1
"518",6,53,53,1
"519",6,53,53,0
"520",6,54,54,0
"521",6,54,54,0
"522",6,55,55,1
"523",6,55,55,1
"524",6,55,55,0
"525",6,56,56,1
"526",6,56,56,0
"527",6,58,58,1
"528",6,58,58,1
"529",6,58,58,1
"530",6,58,58,0
"531",6,58,58,0
"532",6,59,59,1
"533",6,59,59,0
"534",6,60,60,0
"535",6,60,60,0
"536",6,60,60,0
"537",6,61,61,1
"538",6,61,61,1
"539",6,61,61,0
"540",6,62,62,1
"541",6,62,62,0
"542",6,63,63,1
"543",6,63,63,0
"544",6,63,63,0
"545",6,64,64,0
"546",6,66,66,0
"547",6,66,66,0
"548",6,68,68,0
"549",6,69,69,0
"550",6,72,72,0
"551",7,-67,67,0
"552",7,-65,65,0
"553",7,-63,63,0
"554",7,-63,63,0
"555",7,-60,60,0
"556",7,-58,58,0
"557",7,-55,55,0
"558",7,-54,54,0
"559",7,-53,53,0
"560",7,-53,53,0
"561",7,-53,53,0
"562",7,-49,49,0
"563",7,-47,47,0
"564",7,-46,46,1
"565",7,-45,45,0
"566",7,-44,44,1
"567",7,-44,44,0
"568",7,-44,44,0
"569",7,-43,43,1
"570",7,-43,43,0
"571",7,-43,43,0
"572",7,-38,38,1
"573",7,-35,35,1
"574",7,-33,33,1
"575",7,-32,32,1
"576",7,-23,23,1
"577",7,-20,20,0
"578",7,-15,15,1
"579",7,-11,11,1
"580",7,8,8,1
"581",7,9,9,1
"582",7,11,11,1
"583",7,11,11,1
"584",7,13,13,1
"585",7,14,14,1
"586",7,16,16,1
"587",7,17,17,1
"588",7,21,21,1
"589",7,21,21,1
"590",7,27,27,1
"591",7,30,30,1
"592",7,32,32,0
"593",7,33,33,1
"594",7,34,34,0
"595",7,35,35,0
"596",7,38,38,1
"597",7,38,38,0
"598",7,40,40,0
"599",7,40,40,0
"600",7,41,41,1
"601",7,42,42,1
"602",7,42,42,0
"603",7,42,42,0
"604",7,43,43,1
"605",7,43,43,1
"606",7,44,44,1
"607",7,44,44,1
"608",7,45,45,0
"609",7,45,45,0
"610",7,46,46,0
"611",7,46,46,0
"612",7,46,46,0
"613",7,47,47,1
"614",7,48,48,1
"615",7,48,48,1
"616",7,48,48,1
"617",7,48,48,1
"618",7,49,49,1
"619",7,49,49,0
"620",7,49,49,0
"621",7,50,50,0
"622",7,50,50,0
"623",7,50,50,0
"624",7,51,51,0
"625",7,51,51,0
"626",7,51,51,0
"627",7,55,55,1
"628",7,55,55,1
"629",7,55,55,1
"630",7,56,56,1
"631",7,56,56,0
"632",7,56,56,0
"633",7,59,59,0
"634",7,61,61,0
"635",7,63,63,1
"636",7,63,63,0
"637",7,64,64,1
"638",7,65,65,1
"639",7,66,66,0
"640",7,67,67,0
"641",7,68,68,1
"642",7,68,68,0
"643",7,70,70,0
"644",7,71,71,0
"645",7,72,72,1
"646",7,72,72,1
"647",7,72,72,0
"648",7,72,72,0
"649",7,73,73,0
"650",7,73,73,0
"651",7,75,75,0
"652",8,-74,74,0
"653",8,-73,73,0
"654",8,-71,71,0
"655",8,-70,70,0
"656",8,-68,68,0
"657",8,-66,66,0
"658",8,-64,64,0
"659",8,-64,64,0
"660",8,-59,59,1
"661",8,-58,58,0
"662",8,-56,56,0
"663",8,-54,54,0
"664",8,-53,53,0
"665",8,-52,52,0
"666",8,-49,49,1
"667",8,-49,49,0
"668",8,-48,48,0
"669",8,-48,48,0
"670",8,-48,48,0
"671",8,-47,47,0
"672",8,-46,46,0
"673",8,-45,45,1
"674",8,-45,45,1
"675",8,-43,43,0
"676",8,-42,42,0
"677",8,-41,41,0
"678",8,-41,41,0
"679",8,-39,39,0
"680",8,-32,32,0
"681",8,-30,30,1
"682",8,-30,30,1
"683",8,-29,29,0
"684",8,-26,26,1
"685",8,-20,20,0
"686",8,-15,15,0
"687",8,-10,10,1
"688",8,-6,6,1
"689",8,-4,4,1
"690",8,9,9,1
"691",8,10,10,1
"692",8,11,11,1
"693",8,11,11,1
"694",8,12,12,0
"695",8,13,13,1
"696",8,16,16,1
"697",8,18,18,0
"698",8,20,20,1
"699",8,24,24,1
"700",8,25,25,1
"701",8,28,28,1
"702",8,31,31,0
"703",8,33,33,1
"704",8,33,33,0
"705",8,35,35,1
"706",8,35,35,1
"707",8,35,35,1
"708",8,37,37,0
"709",8,37,37,0
"710",8,39,39,1
"711",8,39,39,0
"712",8,39,39,0
"713",8,40,40,1
"714",8,42,42,0
"715",8,43,43,1
"716",8,43,43,1
"717",8,43,43,1
"718",8,46,46,0
"719",8,47,47,1
"720",8,47,47,1
"721",8,47,47,1
"722",8,47,47,0
"723",8,48,48,1
"724",8,49,49,0
"725",8,49,49,0
"726",8,49,49,0
"727",8,53,53,1
"728",8,54,54,0
"729",8,54,54,0
"730",8,55,55,0
"731",8,55,55,0
"732",8,59,59,0
"733",8,62,62,0
"734",8,64,64,0
"735",8,64,64,0
"736",8,69,69,0
"737",8,70,70,1
"738",8,71,71,1
"739",8,71,71,0
"740",8,72,72,0
"741",8,73,73,1
"742",8,74,74,0
