"","id","surface","top","bottom","bound_distinct","bound_topography","name","texture","prop","structure_grade","structure_size","structure_type","stickiness","plasticity","field_ph","hue","value","chroma","r","g","b","soil_color"
"62","hon-19","lower riverbank",0,7,"C","W","Ap1","l",16,NA,NA,"CDY","SO","PO",6.3,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"63","hon-19","lower riverbank",7,24,"A","W","Ap2","l",19,NA,NA,"MA","SO","SP",6,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"64","hon-19","lower riverbank",24,63,"G","W","BA","l+",24,2,"M","SBK","SS","SP",6.1,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"65","hon-19","lower riverbank",63,91,"C","W","Bt1","l+",24,2,NA,"MA","MS","MP",6.2,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"66","hon-19","lower riverbank",91,126,"G","W","Bt2","cl",33,3,"M","PR","MS","MP",6.6,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"67","hon-19","lower riverbank",126,176,"C","W","Bt3","cl",34,3,"F","MA","MS","MP",7,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"68","hon-19","lower riverbank",176,218,"C","S","BCt","scl-",27,2,"M","ABK","SS","SP",6.9,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"69","hon-19","lower riverbank",218,246,"G","S","2BCt1","sgsl",20,NA,NA,"MA","SS","SP",7.2,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"70","hon-19","lower riverbank",246,268,"G","S","2BCt2","sgsl",15,NA,NA,"MA","SS","SP",7.1,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"71","hon-19","lower riverbank",268,300,NA,NA,"2BCt3","l",14,NA,NA,"MA","SO","PO",6.9,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"72","hon-19","lower riverbank",300,320,NA,NA,"3Cox",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","hon-19","lower riverbank",320,410,NA,NA,"3Cox",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","hon-2","holocene",0,4,"A","S","A1","sil",20,2,"F","GR","SS","SP",5.6,"10YR",3,2.5,NA,NA,NA,NA
"75","hon-2","holocene",4,32,"A","W","A2","sil-1",20,NA,NA,"MA","SS","SP",6.2,"10YR",3,2.5,NA,NA,NA,NA
"76","hon-2","holocene",32,61,"C","S","C","L",13,NA,NA,"MA","SO","PO",6.8,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"77","hon-2","holocene",61,92,"C","S","2C","L-sl",13,NA,NA,"MA","SS","PO",7.1,"10YR",4,4,0.47656989417364,0.360386968759021,0.214380265762959,"#7A5C37FF"
"78","hon-2","holocene",92,103,NA,NA,"3C","L",16,NA,NA,"MA","SS","SP",7.2,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"79","hon-2","holocene",103,130,NA,NA,"4C",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","hon-20","lower riverbank",0,11,"C","W","Ap1","l",17,NA,NA,"CDY","SO","PO",6.2,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"81","hon-20","lower riverbank",11,30,"A","W","Ap2","l",18,NA,NA,"MA","SO","SP",6.2,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"82","hon-20","lower riverbank",30,60,"C","W","BA","l+",24,2,"VF","MA","SS","SP",6.3,"5YR",3,5,0.413479742127191,0.241340505355201,0.135804949977818,"#693E23FF"
"83","hon-20","lower riverbank",60,114,"C","I","Bt1","l+",25,2,NA,"MA","SS","MP",6.8,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"84","hon-20","lower riverbank",114,191,"C","W","Bt2","cl",33,3,"M","PR","MS","MP",7.1,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"85","hon-20","lower riverbank",191,223,"G","S","2BCt1","sgscl-",22,2,"CO","ABK","SS","MP",6.8,"5YR",5,6,0.651690566604579,0.432094659694293,0.276238863034852,"#A66E46FF"
"86","hon-20","lower riverbank",223,260,"G","S","2BCt2","sgsl+",18,NA,NA,"SGR","SS","SP",6.9,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"87","hon-20","lower riverbank",260,283,NA,NA,"2CB","sl",11,NA,NA,"MA","SO","PO",NA,"7.5YR",5,6,0.637312000683057,0.440849295810215,0.248469983097938,"#A3703FFF"
"88","hon-21","lower laguna",0,11,"C","S","A","sl+",18,2,"CO","SBK","SO","PO",6.2,"2.5YR",3,4,0.404700241503793,0.243020242581879,0.183679862797982,"#673E2FFF"
"89","hon-21","lower laguna",11,33,"C","W","AB","scl",25,2,"CO","SBK","SO","SP",6.2,"2.5YR",3,4,0.404700241503793,0.243020242581879,0.183679862797982,"#673E2FFF"
"90","hon-21","lower laguna",33,46,"A","W","BA","sgscl-cl",30,2,NA,"MA","SS","SP",6.2,"2.5YR",3,4,0.404700241503793,0.243020242581879,0.183679862797982,"#673E2FFF"
"91","hon-21","lower laguna",46,71,"C","W","Bt1","sgc",51,3,NA,"MA","MS","MP",5.7,"10YR",3,5,0.381426132650586,0.260046949380752,0.095774982236188,"#614218FF"
"92","hon-21","lower laguna",71,93,"C","W","Bt2","sgc",55,1,"F","PR","MS","MP",5.3,"10YR",3,5,0.381426132650586,0.260046949380752,0.095774982236188,"#614218FF"
"93","hon-21","lower laguna",93,119,"C","W","Bt3","sgc",51,1,"M","PR","MS","MP",5,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"94","hon-21","lower laguna",119,148,"G","W","Bt4","sgc",48,1,"M","PR","MS","MP",4.9,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"95","hon-21","lower laguna",148,197,"G","W","2Bt1","grc",45,3,NA,"MA","SS","MP",5,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"96","hon-21","lower laguna",197,274,"D","W","2Bt2","grcl",35,2,NA,"MA","SS","MP",5.3,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"97","hon-21","lower laguna",274,315,"D","W","2BC","grcl",33,2,NA,"MA","SS","PO",5.7,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"98","hon-21","lower laguna",315,473,"A","I","3BC","extg l+",26,2,"F",NA,"SO","PO",6.1,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"99","hon-21","lower laguna",473,1300,NA,NA,"C","sl",12,NA,NA,"MA","SO","PO",6.2,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"100","hon-22","lower laguna",0,23,"C","W","A","scl-",22,2,"CO","SBK","SS","SP",6.4,"2.5YR",3,4,0.404700241503793,0.243020242581879,0.183679862797982,"#673E2FFF"
"101","hon-22","lower laguna",23,43,"C","W","AB","sgscl",29,1,"M","SBK","SS","SP",6.7,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"102","hon-22","lower laguna",43,59,"A","W","BA","sgc",44,2,"M","SBK","MS","MP",6.7,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"103","hon-22","lower laguna",59,89,"C","W","Bt1","sgc",55,3,NA,"MA","MS","MP",6.9,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"104","hon-22","lower laguna",89,120,"C","W","Bt2","sgc",51,3,"M",NA,"MS","MP",5.9,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"105","hon-22","lower laguna",120,154,"G","S","Bt3","sgc",51,3,NA,"MA","MS","MP",5.4,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"106","hon-22","lower laguna",154,207,"G","S","2Bt1","grc",47,3,NA,"MA","MS","MP",5.4,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"107","hon-22","lower laguna",207,270,"G","W","2Bt2","grcl++",39,3,"F","ABK","SS","MP",5.4,"10YR",3,6,0.393478384434744,0.255878086031123,0.033986923112009,"#644109FF"
"108","hon-22","lower laguna",270,342,"G","W","2BCt","vgscl",30,2,NA,"MA","SS","SP",5.5,"2.5YR",3,4,0.404700241503793,0.243020242581879,0.183679862797982,"#673E2FFF"
"109","hon-22","lower laguna",342,455,"G","W","3BCt1","extgcl",23,1,"F",NA,"SS","PO",6.1,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"110","hon-22","lower laguna",455,505,"A","W","3BCt2","extg+",34,1,"F",NA,"SS","PO",6,"5YR",4,4,0.502631410365579,0.346240136796946,0.249955583871559,"#805840FF"
"111","hon-22","lower laguna",505,1300,NA,NA,"C","sl",18,NA,NA,"MA","SO","PO",6.9,"5YR",4,4,0.502631410365579,0.346240136796946,0.249955583871559,"#805840FF"
"112","hon-3","holocene",0,4,"A","S","A1","sil",24,2,"F","GR","SS","SP",5.9,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"113","hon-3","holocene",4,16,"G","S","A2","sil",22,1,"F","GR","SS","SP",5.8,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"114","hon-3","holocene",16,31,"A","W","AC","sil",21,1,"M",NA,"SS","SP",6.1,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"115","hon-3","holocene",31,54,"A","W","C","L",13,NA,NA,"MA","SO","PO",7.1,"10YR",4,3,0.457836620351216,0.365326975882613,0.257546234293178,"#755D42FF"
"116","hon-3","holocene",54,78,NA,NA,"2C","L",14,NA,NA,"MA","SS","SP",7,"10YR",4,3,0.457836620351216,0.365326975882613,0.257546234293178,"#755D42FF"
"117","hon-4","holocene",0,17,"A","S","C","sl",9,NA,NA,"SGR","SO","PO",6.5,"10YR",4,3,0.457836620351216,0.365326975882613,0.257546234293178,"#755D42FF"
"118","hon-4","holocene",17,32,"C","S","2A","L",16,2,"F","GR","SS","SP",6.9,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"119","hon-4","holocene",32,49,"C","S","2AC","sil",17,NA,NA,"MA","SS","SP",6.6,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"120","hon-4","holocene",49,86,"G","S","2C","L",15,NA,NA,"MA","SS","SP",6.7,"10YR",3.5,3,NA,NA,NA,NA
"121","hon-4","holocene",86,113,"G","S","3C1","sl",11,NA,NA,"MA","SO","PO",6.8,"10YR",4,3,0.457836620351216,0.365326975882613,0.257546234293178,"#755D42FF"
"122","hon-4","holocene",113,147,NA,NA,"3C2","sl",10,NA,NA,"MA","SO","PO",6.7,"10YR",4,3,0.457836620351216,0.365326975882613,0.257546234293178,"#755D42FF"
"123","hon-5","upper modesto",0,13,"A","W","Ap1","sil",23,NA,NA,"MA","SS","SP",6.2,"7.5YR",3,2,0.343325206551174,0.269421101599448,0.216921393555543,"#584537FF"
"124","hon-5","upper modesto",13,23,"C","W","Ap2","sil",23,2,"F","GR","SS","SP",6.3,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"125","hon-5","upper modesto",23,54,"C","S","BA","sil+",25,NA,NA,"MA","SS","SP",6.7,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"126","hon-5","upper modesto",54,88,"C","S","Bw1","sil",24,2,"M",NA,"SS","SP",7,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"127","hon-5","upper modesto",88,102,"C","S","Bw2","sil",23,2,"M","ABK","SS","SP",7.1,"7.5YR",3,4,0.382702209935083,0.256739122625714,0.150693611746242,"#624126FF"
"128","hon-5","upper modesto",102,141,"G","S","BC1","sil-1",22,2,"M","ABK","SS","SP",7.2,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"129","hon-5","upper modesto",141,180,NA,NA,"BC2","sil-1",22,1,"M","ABK","SS","SP",7.3,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"130","hon-6","upper modesto",0,10,"A","W","Ap1","sil",23,NA,"M","CDY","SS","SP",6.2,"7.5YR",3,2,0.343325206551174,0.269421101599448,0.216921393555543,"#584537FF"
"131","hon-6","upper modesto",10,22,"C","W","Ap2","sil",24,NA,NA,"MA","SS","SP",6.4,"7.5YR",3,2,0.343325206551174,0.269421101599448,0.216921393555543,"#584537FF"
"132","hon-6","upper modesto",22,43,"C","S","BA","sil",24,NA,NA,"MA","SS","SP",6.6,"7.5YR",3,2,0.343325206551174,0.269421101599448,0.216921393555543,"#584537FF"
"133","hon-6","upper modesto",43,91,"C","S","Bw1","L",22,2,"M","ABK","SS","SP",7,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"134","hon-6","upper modesto",91,118,"C","S","Bw2","L",22,2,"M","ABK","SS","PO",7,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"135","hon-6","upper modesto",118,157,"G","S","BC1","L",23,2,"M","ABK","SS","SP",7.2,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"136","hon-6","upper modesto",157,184,NA,NA,"BC2","L",22,1,"M","ABK","SS","PO",7.4,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"137","hon-7","upper modesto",0,8,"C","S","Ap1","L",19,NA,NA,"CDY","SS","SP",5.6,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"138","hon-7","upper modesto",8,30,"C","S","Ap2","L",20,NA,NA,"MA","SS","SP",5.7,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"139","hon-7","upper modesto",30,54,"G","S","BA","sil-1",21,NA,NA,"MA","SS","SP",6.6,"7.5YR",3,2.5,NA,NA,NA,NA
"140","hon-7","upper modesto",54,88,"G","S","Bw1","L",23,2,NA,"MA","SS","SP",7,"7.5YR",4,6,0.525205461861359,0.340436997876344,0.157849232456166,"#865728FF"
"141","hon-7","upper modesto",88,118,"G","S","Bw2","L",21,2,NA,"MA","SS","SP",7.2,"7.5YR",3,4,0.382702209935083,0.256739122625714,0.150693611746242,"#624126FF"
"142","hon-7","upper modesto",118,180,"C","S","BC",NA,22,2,NA,"MA","SS","SP",7.3,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"143","hon-7","upper modesto",180,230,NA,NA,"2BC","sicl-",28,1,"F",NA,"SS","SP",7.2,"10YR",4,3,0.457836620351216,0.365326975882613,0.257546234293178,"#755D42FF"
"144","hon-7","upper modesto",230,290,NA,NA,"3Cox",NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","hon-7","upper modesto",290,340,NA,NA,"4Cox",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","hon-7","upper modesto",340,370,NA,NA,"4Cn",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","hon-8","upper modesto",0,7,"A","S","Ap-1","L",19,NA,NA,"CDY","SO","SP",5.6,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
