"","twotheta","nontronite","montmorillonite","clinochlore","antigorite","chamosite","hematite","goethite"
"35",5.34,26.94849,22.68965,16.84122,22.4246,14.542,21.069,51.56226
"36",5.35,23.52122,29.37813,8.708992,22.40936,10.302,6.873,20.32132
"37",5.36,28.10709,17.07153,19.58227,18.39507,9.069,3.673,16.09303
"38",5.37,37.70538,12.77003,6.460747,19.38164,8.843,23.467,17.86518
"39",5.38,31.3154,18.47372,8.344135,17.36846,32.622,23.255,23.63786
"40",5.39,13.93674,18.36282,32.23216,24.35554,16.408,38.084,35.4112
"41",5.4,29.56914,1.04789,40.12459,8.35083,17.2,16.925,15.1853
"42",5.41,27.21246,8.739639,19.02121,10.34592,8.003,37.652,14.96031
"43",5.42,35.86636,26.438,23.92771,7.342117,15.799,17.379,7.739166
"44",5.43,20.53059,6.142822,31.85066,12.33965,5.612,37.105,20.51887
"45",5.44,55.20493,26.17599,26.78163,22.35059,23.43,17.83,25.29949
"46",5.45,50.88943,18.88651,19.72003,15.36034,34.253,13.553,32.40157
"47",5.46,49.58388,46.60358,12.66018,9.369148,13.079,11.276,9.184242
"48",5.47,30.28799,12.32675,10.60213,12.37892,23.909,5.999,3.973312
"49",5.48,26.00171,16.41969,25.54587,13.38955,14.743,22.721,2.763046
"50",5.49,64.72478,1.872421,21.49516,2.417282,21.583,11.905,18.55346
"51",5.5,51.45697,7.84269,9.449955,18.4258,18.427,12.578,29.95966
"52",5.51,50.19798,10.5649,10.40977,18.45002,18.274,25.253,18.7397
"53",5.52,29.94765,3.294212,18.37148,25.53144,20.125,22.929,27.5211
"54",5.53,48.70609,20.03055,15.33502,1.560181,12.981,40.607,24.32148
"55",5.54,39.47318,18.77387,14.30334,10.42089,26.844,26.288,30.12234
"56",5.55,47.24872,17.52403,23.27259,11.40973,22.71,29.972,25.92371
"57",5.56,60.03256,12.28101,13.2428,20.39872,27.579,7.333,26.72562
"58",5.57,44.82481,20.04485,24.21397,14.39228,12.451,16.007,27.52811
"59",5.58,90.625,30.81552,19.18612,12.38507,37.329,7.684,10.33127
"60",5.59,43.43414,13.59306,26.15932,15.37779,41.212,18.362,19.13515
"61",5.6,82.25146,8.378372,31.13361,12.37952,27.097,19.043,2.05986
"62",5.61,84.0726,0.828545,31.10738,11.41142,28.984,32.728,17.74807
"63",5.62,71.896,6.970985,17.08064,4.408161,8.871,41.415,5.557053
"64",5.63,77.72069,8.22438,25.05315,19.40405,14.759,11.105,2.366165
"65",5.64,94.54675,11.41491,5.024361,16.40173,16.649,4.797,13.17531
"66",5.65,75.37535,24.39952,26.99686,14.40193,24.539,27.491,25.98228
"67",5.66,89.20575,7.218918,31.96945,24.40208,17.431,8.187,1.787354
"68",5.67,99.03827,19.04319,24.94227,10.4022,25.323,20.885,31.70328
"69",5.68,96.87367,19.86958,44.91548,5.402168,11.218,4.585,31.50755
"70",5.69,92.71222,12.6981,40.88919,7.402218,24.113,34.286,26.31265
"71",5.7,80.55664,23.53137,29.86355,17.40237,21.008,37.987,27.91221
"72",5.71,101.4071,5.369255,41.84072,5.424503,40.905,26.761,17.71091
"73",5.72,101.2608,15.21167,26.81858,18.42404,17.804,20.463,14.50789
"74",5.73,99.11571,5.058517,5.797188,14.44474,27.706,31.167,28.30612
"75",5.74,122.9719,4.909691,29.77673,6.444412,23.613,13.872,8.105598
"76",5.75,103.8318,13.76493,38.75723,7.444328,5.522,11.579,3.906319
"77",5.76,117.6957,22.62433,29.73857,16.4445,35.431,29.288,29.70827
"78",5.77,127.5635,5.487495,24.72076,20.44448,18.342,1.998,46.51149
"79",5.78,130.4354,8.645447,6.703846,15.4448,20.254,11.709,55.31593
"80",5.79,135.3125,21.22554,18.68784,18.7555,27.168,14.422,10.12223
"81",5.8,147.1992,13.09946,26.67276,6.752567,16.083,9.748,18.9311
"82",5.81,115.0897,22.9762,25.6586,4.75338,28.994,24.966,18.74123
"83",5.82,147.9842,3.856659,16.64537,18.75117,30.906,16.681,33.55267
"84",5.83,155.8824,1.741158,21.73674,14.74935,9.82,17.451,15.47067
"85",5.84,147.7856,19.62969,24.97193,15.85011,22.736,20.168,19.28337
"86",5.85,180.6925,12.51878,4.374336,15.86143,23.913,10.886,21.09735
"87",5.86,157.6033,23.41179,22.35712,15.85928,11.842,9.605,18.91255
"88",5.87,183.5186,9.308777,16.34218,12.45865,27.76,32.325,1.728966
"89",5.88,170.4431,4.790092,20.80072,5.450123,26.68,17.046,31.54659
"90",5.89,177.376,16.1152,23.78245,25.44198,25.602,39.768,16.36543
"91",5.9,133.3123,10.02467,3.765259,34.43424,24.525,16.491,2.612083
"92",5.91,184.2523,17.93738,13.7491,8.432255,17.45,16.215,18.29896
"93",5.92,186.1958,7.844673,11.73622,15.42516,34.377,16.952,29.11706
"94",5.93,157.1433,37.75256,8.72438,7.418396,28.306,13.68,10.17639
"95",5.94,189.0967,19.66492,31.71348,18.57621,27.236,17.411,4.996246
"96",5.95,195.0559,28.58179,17.7035,24.5684,22.167,16.143,22.81595
"97",5.96,155.0187,13.49681,20.69444,19.56092,37.1,7.876,18.63696
"98",5.97,177.985,17.42908,15.85391,7.553783,30.136,26.61,13.45929
"99",5.98,200.9545,19.35948,28.84921,2.546982,12.071,15.655,17.28291
"100",5.99,226.9272,15.29231,26.84104,23.5405,25.008,32.081,4.892159
"101",6,198.9032,1.227577,28.20959,8.546951,21.946,33.815,35.93407
"102",6.01,218.8823,3.167397,27.19943,2.540939,26.889,28.546,26.76166
"103",6.02,237.8646,5.111732,22.19016,4.537361,18.833,22.278,22.59058
"104",6.03,222.8499,5.060562,39.18222,0.466198,54.778,21.011,33.42081
"105",6.04,188.8405,18.01323,44.24847,21.52857,40.724,8.745,24.25343
"106",6.05,224.8429,25.96976,30.24187,11.52356,30.673,5.481,33.0102
"107",6.06,211.8499,3.93074,35.23598,1.572727,48.851,24.219,29.83646
"108",6.07,234.8596,36.89619,40.42085,9.56773,45.803,4.96,25.66405
"109",6.08,225.8721,37.86334,32.41587,6.437054,44.808,9.851,17.49294
"110",6.09,223.8873,30.83229,40.4142,11.55835,46.763,28.588,24.32312
"111",6.1,217.9068,16.80568,36.41311,12.55392,66.72,15.322,14.15212
"112",6.11,217.9304,51.78406,34.41258,15.55613,48.679,4.943,26.98249
"113",6.12,223.9566,23.76738,64.41262,10.55352,66.638,0.794,22.81422
"114",6.13,235.9985,8.755066,31.41318,3.55106,75.599,19.533,19.64723
"115",6.14,218.0309,1.747047,61.41427,10.76132,87.56,10.275,39.48149
"116",6.15,293.066,34.74397,87.4159,10.75386,60.522,3.019,13.31704
"117",6.16,259.1036,31.7458,78.42123,10.75061,82.739,15.76,8.153831
"118",6.17,229.1435,24.75178,82.42706,11.74752,95.701,5.503,34.99187
"119",6.18,223.3196,36.76195,117.4334,5.744602,87.664,17.248,16.83114
"120",6.19,242.3715,35.77628,108.4401,8.741856,120.629,25.993,22.67163
"121",6.2,261.358,25.92216,140.4665,2.844067,146.683,28.842,7.561348
"122",6.21,227.3272,38.95836,158.406,0.018798999,133.619,7.648,26.49874
"123",6.22,228.2767,34.01729,191.3811,12.04155,175.437,22.421,8.370865
"124",6.23,239.1905,9.056068,243.3533,23.044,181.376,22.224,41.22459
"125",6.24,250.1119,41.06919,279.3099,10.04778,198.314,14.02,13.07766
"126",6.25,249.0339,24.10114,367.2683,17.05269,187.252,30.814,15.89967
"127",6.26,201.8326,40.04012,421.2341,12.95657,203.192,34.605,20.72493
"128",6.27,233.7604,43.07059,486.0601,15.96271,223.133,12.363,23.5508
"129",6.28,251.6923,52.07906,575.197,17.285,237.045,5.15,17.3797
"130",6.29,232.6288,38.09126,565.1735,20.29195,260.98,17.931,17.21136
"131",6.3,247.57,32.10551,488.1531,8.299622,229.918,18.713,2.739616
"132",6.31,210.4999,35.12429,312.1356,4.307713,196.857,3.488,17.57617
"133",6.32,248.3692,69.14481,180.1209,6.308071,169.798,6.264,39.41493
"134",6.33,191.3156,61.16661,106.1086,15.31607,122.74,14.04,19.22055
"135",6.34,222.2668,57.18988,77.09473,9.324554,79.684,20.793,1.936745
"136",6.35,226.2203,30.21414,40.08686,11.31977,49.63,29.57,25.90739
"137",6.36,208.1821,41.88179,52.08099,14.32925,52.63,16.348,27.75313
"138",6.37,243.1489,43.90958,21.07704,8.338547,46.579,7.127,17.60037
"139",6.38,203.1206,65.94004,33.07487,13.34843,37.373,40.803,10.44909
"140",6.39,197.0968,48.9718,26.07447,11.35888,24.325,38.582,13.29922
"141",6.4,233.4144,38.00197,11.07569,21.36985,23.279,28.362,8.849304
"142",6.41,199.4001,50.03375,19.21906,6.381317,32.224,22.006,0.001465
"143",6.42,205.3899,68.06711,13.22326,0.386349,47.218,1.214,14.85349
"144",6.43,184.3839,59.10233,31.22882,4.361023,24.167,19.566,21.70668
"145",6.44,245.3663,55.14163,13.23571,7.375324,38.117,24.338,25.561
"146",6.45,156.3681,67.17699,29.24383,2.389832,29.069,16.118,18.41638
"147",6.46,178.0551,92.21409,17.25314,1.404663,23.421,10.898,11.27275
"148",6.47,189.0644,47.2534,19.26356,16.41417,19.381,22.677,14.1301
"149",6.48,203.0604,85.2962,19.28862,10.42826,16.338,12.457,2.988411
"150",6.49,183.0767,66.32122,28.30113,5.445065,3.299,11.237,20.84767
"151",6.5,195.0964,105.3688,14.31465,7.453228,39.261,33.017,12.70664
"152",6.51,178.1194,83.41782,36.3291,9.470352,14.225,30.797,20.56659
"153",6.52,216.1456,92.45021,23.34445,6.487637,30.189,19.577,25.42752
"154",6.53,179.175,89.48365,21.36068,8.468781,37.156,9.358,11.2894
"155",6.54,159.2074,78.52253,6.377754,13.48639,5.123,17.138,33.15221
"156",6.55,160.2508,115.567,15.39565,13.50415,20.092,23.919,25.01588
"157",6.56,187.2893,111.6146,13.4156,6.522099,2.062,27.691,19.88037
"158",6.57,128.3306,104.6652,15.43633,3.459805,4.033,12.473,37.74568
"159",6.58,162.5135,113.7194,3.457794,12.55753,24.006,19.255,9.696106
"160",6.59,163.9128,90.77233,14.47997,4.575005,13.98,11.037,15.60995
"161",6.6,156.9625,102.6851,8.502861,9.592587,30.954,2.189,11.47768
"162",6.61,154.0149,127.7313,13.52642,8.610271,26.482,12.587,23.35043
"163",6.62,154.07,98.79349,6.550613,2.628052,6.459,21.364,11.22398
"164",6.63,130.1278,138.8388,12.57536,8.645916,11.437,12.143,1.098312
"165",6.64,136.1882,137.9085,12.60064,11.6638,13.417,10.922,12.97343
"166",6.65,140.2511,113.9811,17.6264,14.68174,20.397,1.299,20.84782
"167",6.66,148.3164,126.0569,2.346947,13.69971,19.378,8.482,2.276993
"168",6.67,98.45276,136.1356,4.320168,1.28199,19.361,20.26,16.5999
"169",6.68,127.5228,98.21137,13.70628,11.736,5.345,15.043,21.47755
"170",6.69,92.59515,145.0209,21.73316,0.749298,1.67,13.816,9.355949
"171",6.7,115.6697,173.0984,6.23954,19.76727,4.684,17.59,14.2324
"172",6.71,128.7466,165.1849,2.788792,17.78522,0.597,7.365,35.10965
"173",6.72,117.8257,130.253,10.01536,12.80286,25.389,15.142,10.9877
"174",6.73,118.9068,155.3456,3.04443,17.80853,30.376,31.919,7.86647
"175",6.74,82.0925,134.4419,10.07383,7.17746,21.365,6.697,22.74596
"176",6.75,85.17834,138.5411,6.896427,14.83479,10.354,32.476,11.62616
"177",6.76,98.08238,171.6432,18.13211,5.847183,9.343,24.25,28.50709
"178",6.77,96.17233,162.7486,7.160973,6.85968,20.334,10.028,5.388718
"179",6.78,103.2672,144.8567,5.190151,14.87228,13.325,10.807,2.27108
"180",6.79,89.36394,158.9675,1.219639,5.888996,14.317,28.587,5.154144
"181",6.8,97.46254,190.0811,1.249432,9.901783,9.31,2.368,4.069
"182",6.81,62.56293,175.1286,9.279537,14.91449,9.303,24.15,40.81477
"183",6.82,87.66519,175.248,8.309952,1.925842,20.298,29.933,2.29538
"184",6.83,111.7692,213.864,15.52972,30.93872,10.378,8.717,10.59482
"185",6.84,81.87506,243.2932,11.56725,5.951687,14.374,0.507,16.48717
"186",6.85,72.02104,218.4209,0.598598,5.964729,17.37,41.279,19.38023
"187",6.86,74.13049,208.5511,15.63025,5.977859,32.367,18.44,4.725998
"188",6.87,88.24167,214.6842,24.66219,0.0089379996,5.364,21.228,15.16712
"189",6.88,89.78271,243.8199,7.694435,1.995739,8.363,15.009,0.060973998
"190",6.89,71.89737,274.9607,7.726974,17.01702,12.362,11.798,18.95552
"191",6.9,44.01376,253.104,13.75981,8.029861,22.361,19.588,21.84735
"192",6.91,63.13181,281.2499,4.792923,15.04269,10.361,10.378,15.73993
"193",6.92,49.2825,259.3983,9.826317,18.0556,17.362,10.169,11.63327
"194",6.93,64.40382,304.5503,3.140018,22.0685,2.636,15.961,10.52736
"195",6.94,69.52681,267.7048,9.89328,13.08148,0.634,15.754,9.422211
"196",6.95,64.6514,274.8635,0.073154002,16.09455,25.368,14.548,21.31783
"197",6.96,44.77765,307.0244,3.960632,16.10771,16.387,21.342,23.21419
"198",6.97,52.9055,306.188,7.994663,11.12096,25.391,20.123,25.1113
"199",6.98,57.03491,274.9639,13.02895,12.13431,10.409,22.919,18.00912
"200",6.99,57.16586,298.1324,2.063477,20.14641,13.414,6.716,28.90771
"201",7,55.29831,368.3031,5.901756,0.158623,9.419,18.814,34.80992
"202",7.01,21.43225,314.4763,1.13187,4.170872,8.736,17.613,27.71288
"203",7.02,59.56761,295.6518,10.16572,8.183231,23.742,4.412,43.61655
"204",7.03,55.70444,341.8297,4.199306,6.195698,11.749,21.211,18.52042
"205",7.04,5.842651,344.01,24.23199,2.207794,3.757,15.012,27.42499
"206",7.05,45.98228,369.1931,12.2631,12.22021,10.764,14.813,20.33028
"207",7.06,46.12326,374.3786,25.39459,2.232758,7.771,6.615,15.23625
"208",7.07,41.26559,367.5677,8.426201,18.24283,5.779,46.421,25.14293
"209",7.08,44.8432,426.6392,1.544014,17.25303,39.788,12.23,18.26173
"210",7.09,60.468,399.8329,2.485725,14.26337,35.797,24.037,14.8302
"211",7.1,36.95975,439.0287,11.51571,12.27384,11.04,35.846,4.953018
"212",7.11,58.10858,416.227,8.545948,0.715588,29.051,39.655,19.85759
"213",7.12,26.25854,439.4274,6.576416,1.294937,4.939,16.758,9.762848
"214",7.13,21.40968,408.63,3.366318,22.31284,11.072,23.569,13.66769
"215",7.14,17.5619,443.8348,10.66382,13.32282,6.503,22.381,8.573196
"216",7.15,5.715225,413.0418,3.784466,8.332947,28.515,23.193,33.4794
"217",7.16,27.86961,430.6975,14.81503,13.34321,1.473,3.994,29.38629
"218",7.17,38.02505,465.9089,10.12012,3.35363,14.538,22.819,26.29385
"219",7.18,16.1815,468.1223,19.15026,22.35669,19.55,30.614,31.20209
"220",7.19,26.33899,462.3379,7.180595,13.36737,13.562,19.429,20.85265
"221",7.2,42.81184,413.5555,5.209469,13.3781,21.575,15.245,2.763794
"222",7.21,9.971283,505.7752,11.23856,3.577614,13.627,12.061,31.67563
"223",7.22,30.13167,432.1018,15.26785,1.588581,26.64,3.879,8.588821
"224",7.23,37.29298,460.3259,20.29733,7.566887,11.654,27.697,13.50269
"225",7.24,19.45522,503.5521,18.32663,9.578068,30.669,21.516,11.41722
"226",7.25,32.6183,510.7804,15.35612,13.58937,22.684,10.336,19.32845
"227",7.26,1.079498,523.0106,30.38579,13.59003,13.698,15.478,11.24037
"228",7.27,28.08514,490.2428,9.414768,3.398705,16.712,13.3,17.15297
"229",7.28,5.253342,497.4771,12.44392,12.22144,6.727,18.122,5.066269
"230",7.29,28.42233,508.7132,8.47562,10.23206,13.742,4.944,12.98024
"231",7.3,12.59209,500.0801,1.507481,9.242802,31.757,18.768,27.8949
"232",7.31,24.76257,492.32,11.89691,3.700638,5.227,35.273,23.81023
"233",7.32,21.93378,549.5619,1.929073,11.71155,30.788,7.098,24.72624
"234",7.33,19.10559,468.8053,0.961372,10.72134,18.803,17.923,22.64291
"235",7.34,15.27812,472.051,20.99381,14.73149,19.819,22.75,17.56026
"236",7.35,5.548691,488.2993,10.02639,8.741749,19.835,24.578,22.47826
"237",7.36,5.846512,465.5494,14.05908,6.752098,25.85,11.406,26.39691
"238",7.37,0.736328,443.8014,10.09188,4.762531,9.865,30.235,11.31621
"239",7.38,14.91016,516.055,2.124805,15.77307,9.214,24.065,26.23616
"240",7.39,28.08453,449.3106,11.15783,6.783684,25.23,5.06,4.156769
"241",7.4,24.25981,497.5673,15.19093,3.210209,7.246,18.891,1.92218
"242",7.41,17.44446,406.9258,18.22447,6.78072,15.262,56.723,35.99881
"243",7.42,22.62181,476.3808,13.25829,6.789455,25.419,38.555,3.920364
"244",7.43,34.80038,426.9458,11.29242,15.79928,21.437,13.39,28.8425
"245",7.44,25.98013,414.2092,16.32689,10.80917,13.455,9.225,30.76524
"246",7.45,1.997589,388.4742,8.361717,0.81913,27.474,15.061,32.68874
"247",7.46,1.185349,420.1161,21.39686,6.829552,41.494,0.898,26.61296
"248",7.47,4.369415,404.3848,2.567093,5.148762,4.514,31.735,29.5379
"249",7.48,38.55457,362.9966,14.46776,3.859081,6.534,22.573,32.46356
"250",7.49,23.74077,381.3051,16.5231,15.86697,10.555,45.412,11.3914
"251",7.5,19.91455,360.2427,9.558449,6.874908,20.577,3.252,28.32124
"252",7.51,7.102936,359.5218,8.611927,5.882881,11.598,27.092,23.25175
"253",7.52,36.29265,361.8014,20.64772,19.89092,9.621,17.933,32.18294
"254",7.53,6.483322,342.0826,3.683716,10.89902,13.765,33.774,10.11493
"255",7.54,21.68126,365.3652,17.71992,7.907211,17.788,32.617,39.985
"256",7.55,28.87378,350.0383,17.7563,13.91549,1.188,24.46,15.91827
"257",7.56,13.0672,325.3256,19.79285,8.991718,30.835,29.303,10.8522
"258",7.57,12.26146,306.9707,7.829563,14.00006,13.859,33.148,31.78674
"259",7.58,1.456528,301.261,15.87776,9.00843,19.883,35.993,10.72192
"260",7.59,8.230942,288.7518,17.91477,19.01681,2.913,6.84,16.65771
"261",7.6,13.96265,294.1043,2.04808,17.02523,11.939,18.687,34.12596
"262",7.61,30.15698,282.4444,8.987915,20.03671,1.035,25.535,11.06126
"263",7.62,35.35204,234.7468,9.024029,18.03244,0.99,23.438,17.99892
"264",7.63,11.54779,242.5574,8.060253,10.41415,13.016,19.287,13.93718
"265",7.64,25.74432,231.8563,17.09659,8.4235,18.043,25.14,34.87605
"266",7.65,12.94151,212.157,12.13302,7.428421,6.931,31.994,16.81567
"267",7.66,23.14075,237.4592,3.169544,10.42931,0.093,16.848,31.75589
"268",7.67,3.340576,239.0199,0.206161,8.438637,10.117,7.703,31.69675
"269",7.68,15.54108,214.3269,13.24306,19.81993,23.697,29.56,17.63818
"270",7.69,32.74216,216.6331,4.280048,5.829208,6.722,24.417,27.73161
"271",7.7,18.94377,180.0274,5.317104,14.83847,20.746,16.275,13.67424
"272",7.71,4.145905,172.3362,9.354225,18.84769,14.771,27.134,26.61745
"273",7.72,11.34857,167.7032,2.391415,4.85685,9.796,24.993,37.56125
"274",7.73,14.55173,201.0147,7.42865,23.86617,10.822,15.853,10.50562
"275",7.74,0.244659,166.9199,4.465942,10.87545,12.85,14.714,19.45056
"276",7.75,12.95926,153.2525,10.79681,28.89163,5.876,39.576,25.39609
"277",7.76,24.16362,148.5733,20.83418,16.90082,21.902,37.438,46.34219
"278",7.77,3.631607,152.9998,2.871563,15.70366,19.931,26.301,2.711105
"279",7.78,7.427795,129.5389,3.908974,11.71273,13.96,17.165,1.764679
"280",7.79,7.773193,148.8576,9.946392,22.72176,4.989,55.03,17.18184
"281",7.8,27.97473,136.198,15.98383,25.73079,17.019,42.081,17.11783
"282",7.81,35.17662,156.5198,22.02126,16.73978,17.128,33.274,16.06543
"283",7.82,6.4207,136.8427,11.0587,14.74642,17.161,26.141,48.0135
"284",7.83,4.62326,123.8825,8.096138,3.755287,18.194,30.009,15.96214
"285",7.84,8.826096,104.2094,22.13357,8.764095,3.227,18.878,7.911255
"286",7.85,18.02924,111.5579,3.257191,12.77285,24.276,15.711,21.86307
"287",7.86,1.76738,97.90693,17.22284,9.841648,9.444,45.582,34.03409
"288",7.87,8.435532,91.25211,21.08569,5.778008,24.477,40.74,52.98706
"289",7.88,20.63866,107.8388,6.123764,1.789398,23.511,21.613,8.940536
"290",7.89,0.842026,95.28912,5.161823,17.79094,3.511,47.486,3.89447
"291",7.9,32.04559,92.64083,14.35675,3.802193,1.607,22.36,32.84888
"292",7.91,6.253662,72.97617,2.605232,17.81362,14.418,10.309,12.80377
"293",7.92,3.461884,81.36004,17.431,20.82499,14.451,16.184,43.75912
"294",7.93,2.23175,63.88635,2.467205,10.83634,24.484,25.061,31.71497
"295",7.94,21.97577,94.22386,8.503372,15.40736,3.518,17.938,34.67128
"296",7.95,13.8166,74.57294,14.18958,15.41865,11.555,17.843,12.62807
"297",7.96,25.40231,79.00861,15.22569,18.4299,1.592,14.722,10.58528
"298",7.97,6.298996,73.34843,20.26177,3.441128,11.629,26.603,18.54298
"299",7.98,6.499817,58.6982,11.29783,1.452316,12.667,17.484,19.50114
"300",7.99,10.70068,73.03959,10.33385,12.46344,21.704,8.366,33.45975
"301",8,31.90158,59.39388,22.36985,15.47451,7.742,5.248,38.26544
"302",8.01,20.10249,45.83669,3.405811,9.485855,10.78,17.131,32.48761
"303",8.02,23.30341,55.1916,2.558262,2.493092,1.182,18.018,6.376526
"304",8.03,14.50432,46.62325,0.475941,7.504414,12.855,24.906,8.662659
"305",8.04,0.29483,37.97351,6.509991,12.51569,29.892,6.785,3.623779
"306",8.05,38.90552,38.32438,23.544,8.526924,5.93,8.326,13.58525
"307",8.06,9.105804,42.71829,13.57796,16.53811,17.968,27.561,29.35942
"308",8.07,6.693924,36.09733,10.61187,15.53421,32.005,14.448,32.32162
"309",8.08,4.502441,43.02075,3.645748,21.43173,47.043,2.335,23.28294
"310",8.09,6.69873,35.38125,14.67957,9.443428,14.081,15.224,19.24583
"311",8.1,23.8949,49.73467,10.71333,9.45507,26.119,34.113,16.20908
"312",8.11,0.090972997,32.08854,17.74704,30.46668,12.157,7.003,11.17267
"313",8.12,7.286484,40.71838,15.7807,21.47832,17.195,10.893,20.13664
"314",8.13,29.48186,32.07309,10.67752,5.489929,9.161,28.784,29.10095
"315",8.14,8.677078,40.80708,21.71107,24.5035,24.189,46.676,37.06561
"316",8.15,10.88843,26.16283,1.741028,12.51702,0.227,15.569,25.03061
"317",8.16,25.08334,21.54482,13.77448,18.53358,11.266,26.462,27.99596
"318",8.17,22.27945,18.91301,7.807869,8.550087,0.304,28.355,17.96167
"319",8.18,30.47534,10.27856,8.841202,14.56731,8.342,28.25,36.92772
"320",8.19,21.67134,6.637146,27.87447,14.58448,24.381,22.145,27.57155
"321",8.2,13.86713,34.99597,29.59162,4.590984,4.581,3.043,6.538208
"322",8.21,23.0627,26.35501,20.62478,11.60803,21.455,15.943,32.50516
"323",8.22,19.25807,13.74284,9.657898,8.625023,14.491,18.844,41.47241
"324",8.23,13.45322,27.11972,7.69096,10.64194,21.527,2.746,12.43991
"325",8.24,14.64809,16.59194,16.72643,15.71463,2.563,30.647,36.4077
"326",8.25,11.84271,9.968216,1.237797,10.73495,12.6,41.55,5.375763
"327",8.26,25.03703,20.64397,11.79736,2.750015,2.659,20.086,36.3441
"328",8.27,5.768936,9.00383,10.83258,19.76666,6.695,0.01,3.687302
"329",8.28,6.394272,21.3838,20.80404,6.783226,12.732,19.895,26.27963
"330",8.29,4.208939,27.74431,5.839176,6.799728,3.231,57.801,14.43248
"331",8.3,12.11523,13.12767,17.87428,13.81615,14.803,7.708,0.400513
"332",8.31,12.2968,16.48818,14.90934,21.79777,12.838,6.385,25.3688
"333",8.32,27.478,16.84868,0.055645,0.808773,20.67,17.519,31.3374
"334",8.33,8.658844,10.2092,18.80835,9.826241,6.295,21.425,28.30627
"335",8.34,24.83986,11.56966,1.157043,11.84394,8.736,19.331,9.275421
"336",8.35,31.02048,26.93021,9.876663,10.86155,12.767,21.237,19.24487
"337",8.36,28.20074,14.3133,4.08968,4.887318,3.754,31.01,36.2146
"338",8.37,8.380569,12.67616,8.941536,13.90476,10.785,15.936,18.1846
"339",8.38,15.56001,7.038887,18.97271,12.9222,13.816,15.849,9.506775
"340",8.39,3.260956,24.40146,7.003826,20.93954,12.847,22.762,17.48282
"341",8.4,4.914825,13.76387,9.038231,3.043221,0.121,3.675,8.459106
"342",8.41,27.09023,3.796761,9.069649,12.97224,15.909,12.589,41.57695
"343",8.42,8.265167,4.564213,10.10102,11.98821,7.94,28.504,38.55371
"344",8.43,57.43971,4.938202,7.132339,12.00409,6.971,6.419,18.5307
"345",8.44,29.61378,14.32508,12.16375,4.019863,25.002,25.335,8.507889
"346",8.45,0.212585,5.685326,1.195107,7.035545,8.033,6.749,19.48532
"347",8.46,5.948578,3.045284,5.226418,3.051155,29.064,23.165,16.463
"348",8.47,22.76468,3.420925,12.25768,10.8613,9.096,16.079,30.4409
"349",8.48,25.93669,5.783333,12.84647,10.88741,3.127,13.994,4.419006
