"","id","top","bottom","clay","cec","ph","tc","hue","value","chroma","mid","ln_tc","L","A","B","name","soil_color"
"20","4",10,26,18.44,12.81,5.92,0.645,"5YR",5,6,18,-0.438504962186365,40.9831294937736,15.098526244531,17.3705630421691,"18 / 13","#A66E46FF"
"21","4",26,53,25.11,14.01,5.98,0.44,"5YR",5,5,39.5,-0.82098055206983,41.7951171108472,14.6960245073185,16.8293024023217,"25 / 14","#A07050FF"
"22","4",53,72,35.16,22.27,5.9,0.359,"7.5YR",4,4,62.5,-1.02443289049386,46.6500761111485,11.8627370820684,16.7854564368394,"35 / 22","#7E5A3BFF"
"23","4",72,88,39.33,25.88,5.72,0.317,"2.5YR",4,3,80,-1.14885350510486,46.312890121879,8.42720642036077,14.3584954541779,"39 / 26","#7C594CFF"
"24","5",0,3,15.0520168913592,22.73,5.85,8.824,"7.5YR",4,4,1.5,2.1774752819512,43.8620848330034,8.97302988979998,12.2619331797836,"15 / 23","#7E5A3BFF"
"25","5",3,12,21.741598606395,11.78,5.99,2.22,"5YR",5,6,7.5,0.797507195884188,50.1969106056991,12.3112504173477,18.0863570963441,"22 / 12","#A66E46FF"
"26","5",12,26,32.254084444459,8.55,5.09,0.893,"5YR",5,6,19,-0.113168698105638,51.1750086586233,14.1469653719761,20.0603223039389,"32 / 9","#A66E46FF"
"27","5",26,60,51.358046423068,11,4.75,0.325,"5YR",5,7,43,-1.1239300966524,50.7222861885716,17.7341008910886,21.5948397706047,"51 / 11","#AB6C3DFF"
"28","6",2,9,6.55365307195723,6.55,6.36,1.563,"10YR",4,3,5.5,0.44660705143934,49.2257312216173,7.36760589659202,11.8795414492996,"7 / 7","#755D42FF"
"29","6",9,56,6.38615358707216,3.75,6.13,0.227,"10YR",6,3,32.5,-1.48280526150073,52.3555868218975,8.08073830918793,14.5080190022614,"6 / 4","#A99174FF"
"30","6",56,85,9.52011705146814,4.66,5.83,0.095,"10YR",6,5,70.5,-2.3538783873816,55.2234313740426,8.71999543357233,16.4777785117882,"10 / 5","#B38F5DFF"
"31","7",3,12,11.1261470897701,5.97,5.23,0.96,"10YR",5,2,7.5,-0.0408219945202552,48.4046103459695,5.87988971692621,10.1765364341465,"11 / 6","#897866FF"
"32","7",12,50,10.6153186416938,5.93,5.95,0.232,"10YR",5,2,31,-1.46101790731583,42.2847332353501,4.87973397029634,7.37383680852066,"11 / 6","#897866FF"
"33","7",50,80,11.2967733729727,5.74,6.33,0.212,"10YR",5,2,65,-1.55116900431012,46.0531940013485,5.3473012049674,9.454536871361,"11 / 6","#897866FF"
"34","7",80,95,16.3270686598635,7.1,7.29,0.122,"10YR",6,3,87.5,-2.10373423424888,45.0925485487325,5.25258515011418,9.2857328601948,"16 / 7","#A99174FF"
"35","8",0,10,8.53797389431869,7.27,6.2,1.402,"10YR",5,2,5,0.337899788612398,47.5310774269001,5.97577088539075,7.51854443323259,"9 / 7","#897866FF"
"36","8",10,37,8.75005495582721,7.52,6.24,0.788,"10YR",5,2,23.5,-0.238257189124258,46.0856062266214,6.00041719563049,8.2322517379024,"9 / 8","#897866FF"
"37","8",37,78,8.24427388196718,5.99,6.37,0.4815,"2.5Y",5,2,57.5,-0.730849047743957,45.7408449773327,5.90209869755365,8.77204263929927,"8 / 6","#867964FF"
"38","8",78,112,9.66744064880306,4.91,6.27,0.203,"2.5Y",6,3,95,-1.59454929994035,51.0247802004202,6.41882067945182,10.8578365234068,"10 / 5","#A59370FF"
"39","9",0,2,12.0965888318513,14.65,5.1,5.462,"10YR",4,2,1,1.69781502305151,42.5576086694078,6.01517877652391,7.386167149005,"12 / 15","#6F5F4CFF"
"40","9",2,30,9.10398212374492,5.6,5.65,0.464,"10YR",6,2,16,-0.767870726755882,48.6071772898168,5.87144610548479,9.15785345633897,"9 / 6","#A3937EFF"
"41","9",30,58,7.93656505761329,5.1,6.15,0.221,"10YR",6,3,44,-1.50959257746438,51.8066710340042,6.29018794311748,10.9062539566916,"8 / 5","#A99174FF"
"42","9",58,80,5.42117612574412,3.6,6.32,0.088,"2.5Y",7,2,69,-2.43041846450393,58.0768945234297,6.583503775826,13.8156722797757,"5 / 4","#BBAE95FF"
"43","10",6,10,7.33457756875864,7.75,6.02,1.866,"10YR",5,3,8,0.623797102425152,43.8112236887129,7.02239498429613,11.0425317188635,"7 / 8","#8F775BFF"
"44","10",10,30,6.76219479393106,5.02,6.15,0.606,"10YR",6,3,20,-0.500875292912823,54.7037374138509,8.23626663054455,13.4475012543078,"7 / 5","#A99174FF"
"45","10",30,55,6.68048113990825,4.65,5.47,0.264,"10YR",6,3,42.5,-1.33180617583582,55.5328625892242,8.58235055949519,14.7626315801495,"7 / 5","#A99174FF"
"46","10",55,90,7.5004158706309,4.57,5.26,0.179,"2.5Y",6,4,72.5,-1.72036947314138,53.265431335436,8.85525442849405,14.5737863891285,"8 / 5","#A99264FF"
