"","group","id","top","bottom","bound_distinct","bound_topography","name","texture","prop","structure_grade","structure_size","structure_type","stickiness","plasticity","field_ph","hue","value","chroma"
"21",2,"P005",0,5,"C","S","A","GRSL",8,2,"F","GR","SO","PO",NA,"7.5YR",2,2
"22",2,"P005",5,30,"C","S","AB","GRSL",14,1,"M","SBK","SS","MP",NA,"7.5YR",3,3
"23",2,"P005",30,45,"A","W","Bt1","CBVSCL",23,NA,NA,"MA","MS","MP",NA,"5YR",3,3
"24",2,"P005",45,68,NA,NA,"Bt2","C",57,NA,NA,"MA","VS","VP",NA,"5YR",4,4
"25",1,"P006",0,6,"C","S","Oi",NA,0,NA,NA,NA,NA,NA,NA,"7.5YR",2,2
"26",1,"P006",6,17,"G","S","A","LS",2,1,"F","GR","SO","PO",NA,"10YR",2,2
"27",1,"P006",17,49,"G","S","AB1","LS",5,1,"CO","SBK","SO","PO",8.6,"7.5YR",3,2
"28",1,"P006",49,63,"C","S","AB2","LS",7,1,"M","SBK","SO","PO",NA,"7.5YR",3,2
"29",1,"P006",63,90,NA,NA,"AB3","LS",5,1,"M","SBK","SO","PO",NA,"7.5YR",3,2
"30",1,"P006",90,130,NA,NA,"C1","LS",5,NA,NA,NA,"SO","PO",NA,"7.5YR",3,2
"31",1,"P006",130,150,NA,NA,"C2","LS",6,NA,NA,NA,"SO","PO",NA,"7.5YR",3,3
"32",1,"P006",150,160,NA,NA,"2C1","SL",10,NA,NA,NA,"SO","PO",NA,"7.5YR",3,2
"33",1,"P006",160,170,NA,NA,"2C2","SL",15,NA,NA,NA,"SO","PO",NA,"7.5YR",3,2
"34",1,"P006",170,200,NA,NA,"3C","LS",12,NA,NA,NA,"SS","PO",NA,"7.5YR",4,2
"35",1,"P007",0,4,"A","W","A1","GRLS",3,1,"F","SBK","SO","PO",7,"10YR",2,2
"36",1,"P007",4,16,"C","W","A2","GRLS",3,1,"M","SBK","SO","PO",7.1,"10YR",3,2
"37",1,"P007",16,30,"G","W","Bw1","GRLS",3,1,"M","PR","SO","PO",7.2,"10YR",2,2
"38",1,"P007",30,55,"C","W","Bw2","GRLS",3,1,"M","ABK","SO","PO",NA,"10YR",3,2
"39",1,"P007",55,78,"C","W","Bw3","GRVLS",5,1,"CO","ABK","SO","PO",NA,"7.5YR",3,2
"40",1,"P007",78,133,NA,NA,"C","GRLS",0,NA,NA,NA,NA,NA,NA,"10YR",4,3
"41",1,"P007",133,153,NA,NA,"2C","GRSL",0,NA,NA,NA,NA,NA,NA,"10YR",5,3
"42",1,"P007",153,223,NA,NA,"3Bwb","GRLS",0,NA,NA,NA,NA,NA,NA,"10YR",4,3
"43",1,"P007",223,233,NA,NA,"3Cb","GRS",0,NA,NA,NA,NA,NA,NA,"10YR",6,3
"44",1,"P008",0,2,"C","S","Oi",NA,0,NA,NA,NA,NA,NA,NA,"7.5YR",3,2
"45",1,"P008",2,18,"C","S","A","GRLS",1,1,"M","GR","SO","PO",NA,"7.5YR",3,2
"46",1,"P008",18,24,"C","S","AB","GRLS",2,1,"M","SBK","SO","PO",NA,"7.5YR",3,3
"47",1,"P008",24,68,"C","S","Bw1","GRVLS",2,1,"M","SBK","SO","PO",NA,"7.5YR",3,2
"48",1,"P008",68,160,NA,NA,"Bw2","GRLS",4,1,"M","SBK","SO","PO",NA,"10YR",4,3
"49",1,"P008",160,170,NA,NA,"2C1","GRSL",7,NA,NA,NA,"SO","PO",NA,"10YR",5,3
"50",1,"P008",170,192,NA,NA,"2C2","GRLS",6,NA,NA,NA,"SO","PO",NA,"10YR",4,4
"51",1,"P008",192,200,NA,NA,"3C","GRS",1,NA,NA,NA,"SO","PO",NA,"10YR",4,4
"52",1,"P009",0,3,"A","W","Oe",NA,0,NA,NA,NA,NA,NA,NA,"10YR",2,2
"53",1,"P009",3,14,"C","W","A1","GRLS",5,1,"M","GR","SO","PO",NA,"10YR",2,2
"54",1,"P009",14,26,"C","W","A2","GRLS",3,1,"M","SBK","SO","PO",NA,"10YR",2,2
"55",1,"P009",26,70,"C","W","AB","GRLS",3,1,"M","SBK","SO","PO",NA,"10YR",3,2
"56",1,"P009",70,108,"C","W","Bw1","GRLS",3,1,"CO","SBK","SO","PO",NA,"10YR",3,3
"57",1,"P009",108,145,NA,NA,"Bw2","GRLS",2,NA,NA,NA,"SO","PO",NA,"10YR",4,3
"58",1,"P009",145,170,NA,NA,"2C","L",27,NA,NA,NA,"SS","MP",NA,"10YR",3,3
"59",1,"P009",170,226,NA,NA,"3Ab","LS",3,NA,NA,NA,"SO","PO",NA,"10YR",4,3
"60",1,"P009",226,240,NA,NA,"3Bwb","FSL",5,NA,NA,NA,"SO","PO",NA,"10YR",5,3
