"","county","population","top","second","third"
"171","arkansas,st francis",29329,"American","Irish","German"
"172","arkansas,saline",83529,"American","German","Irish"
"173","arkansas,scott",10996,"American","Irish","English"
"174","arkansas,searcy",8261,"American","English","Irish"
"175","arkansas,sebastian",115071,"American","German","Irish"
"176","arkansas,sevier",15757,"American","Irish","English"
"177","arkansas,sharp",17119,"American","German","English"
"178","arkansas,stone",11499,"American","English","Irish"
"179","arkansas,union",45629,"American","Irish","English"
"180","arkansas,van buren",16192,"American","Irish","German"
"181","arkansas,washington",157715,"American","German","English"
"182","arkansas,white",67165,"American","English","Irish"
"183","arkansas,woodruff",8741,"American","Irish","English"
"184","arkansas,yell",21139,"American","Irish","German"
"185","california,alameda",1443741,"German","Irish","English"
"186","california,alpine",1208,"German","Irish","English"
"187","california,amador",35100,"German","English","Irish"
"188","california,butte",203171,"German","English","Irish"
"189","california,calaveras",40554,"German","English","Irish"
"190","california,colusa",18804,"German","English","American"
"191","california,contra costa",948816,"German","Irish","English"
"192","california,del norte",27507,"German","English","Irish"
"193","california,el dorado",156299,"German","English","Irish"
"194","california,fresno",799407,"German","English","Irish"
"195","california,glenn",26453,"German","American","English"
"196","california,humboldt",126518,"German","Irish","English"
"197","california,imperial",142361,"American","German","Irish"
"198","california,inyo",17945,"German","English","Irish"
"199","california,kern",661645,"German","American","English"
"200","california,kings",129461,"Portuguese","German","Irish"
"201","california,lake",58309,"German","English","Irish"
"202","california,lassen",33828,"German","Irish","English"
"203","california,los angeles",9519338,"German","English","Irish"
"204","california,madera",123109,"German","English","American"
"205","california,marin",247289,"Irish","English","German"
"206","california,mariposa",17130,"German","English","Irish"
"207","california,mendocino",86265,"German","English","Irish"
"208","california,merced",210554,"Portuguese","German","American"
"209","california,modoc",9449,"American","English","Irish"
"210","california,mono",12853,"German","Irish","English"
"211","california,monterey",401762,"German","English","Irish"
"212","california,napa",124279,"German","English","Irish"
"213","california,nevada",92033,"German","English","Irish"
"214","california,orange",2846289,"German","English","Irish"
"215","california,placer",248399,"German","English","Irish"
"216","california,plumas",20824,"German","English","Irish"
"217","california,riverside",1545387,"German","English","Irish"
"218","california,sacramento",1223499,"German","English","Irish"
"219","california,san benito",53234,"German","Irish","Italian"
"220","california,san bernardino",1709434,"German","English","Irish"
"221","california,san diego",2813833,"German","English","Irish"
"222","california,san francisco",776733,"Irish","German","Italian"
"223","california,san joaquin",563598,"German","Irish","English"
"224","california,san luis obispo",246681,"German","English","Irish"
"225","california,san mateo",707161,"Italian","Irish","German"
"226","california,santa barbara",399347,"German","English","Irish"
"227","california,santa clara",1682585,"German","English","Irish"
"228","california,santa cruz",255602,"German","English","Irish"
"229","california,shasta",163256,"German","English","Irish"
"230","california,sierra",3555,"Irish","English","German"
"231","california,siskiyou",44301,"German","English","Irish"
"232","california,solano",394542,"German","Irish","English"
"233","california,sonoma",458614,"German","Irish","English"
"234","california,stanislaus",446997,"German","English","American"
"235","california,sutter",78930,"German","American","English"
"236","california,tehama",56039,"German","English","Irish"
"237","california,trinity",13022,"German","English","Irish"
"238","california,tulare",368021,"American","German","English"
"239","california,tuolumne",54501,"German","English","Irish"
"240","california,ventura",753197,"German","English","Irish"
"241","california,yolo",168660,"German","English","Irish"
"242","california,yuba",60219,"German","American","Irish"
"243","colorado,adams",363857,"German","Irish","English"
"244","colorado,alamosa",14966,"German","American","English"
"245","colorado,arapahoe",487967,"German","English","Irish"
"246","colorado,archuleta",9898,"German","English","Irish"
"247","colorado,baca",4517,"American","German","Irish"
"248","colorado,bent",5998,"German","American","English"
"249","colorado,boulder",291288,"German","English","Irish"
"250","colorado,chaffee",16242,"German","English","Irish"
"251","colorado,cheyenne",2231,"German","American","English"
"252","colorado,clear creek",9322,"German","Irish","English"
"253","colorado,conejos",8400,"English","American","German"
"254","colorado,costilla",3663,"American","German","Irish"
"255","colorado,crowley",5518,"German","American","Irish"
"256","colorado,custer",3503,"German","English","American"
"257","colorado,delta",27834,"German","English","American"
"258","colorado,denver",554636,"German","Irish","English"
"259","colorado,dolores",1844,"German","English","American"
"260","colorado,douglas",175766,"German","English","Irish"
"261","colorado,eagle",41659,"German","Irish","English"
"262","colorado,elbert",19872,"German","English","Irish"
"263","colorado,el paso",516929,"German","English","Irish"
"264","colorado,fremont",46145,"German","English","Irish"
"265","colorado,garfield",43791,"German","English","Irish"
"266","colorado,gilpin",4757,"German","English","Irish"
"267","colorado,grand",12442,"German","Irish","English"
"268","colorado,gunnison",13956,"German","Irish","English"
"269","colorado,hinsdale",790,"German","English","Irish"
"270","colorado,huerfano",7862,"German","English","American"
"271","colorado,jackson",1577,"German","American","English"
"272","colorado,jefferson",527056,"German","English","Irish"
"273","colorado,kiowa",1622,"German","American","English"
"274","colorado,kit carson",8011,"German","American","English"
"275","colorado,lake",7812,"German","Irish","English"
"276","colorado,la plata",43941,"German","English","Irish"
"277","colorado,larimer",251494,"German","English","Irish"
"278","colorado,las animas",15207,"Italian","German","American"
"279","colorado,lincoln",6087,"German","American","English"
"280","colorado,logan",20504,"German","English","American"
"281","colorado,mesa",116255,"German","English","American"
"282","colorado,mineral",831,"German","English","American"
"283","colorado,moffat",13184,"German","American","English"
"284","colorado,montezuma",23830,"German","American","English"
"285","colorado,montrose",33432,"German","English","American"
"286","colorado,morgan",27171,"German","American","English"
"287","colorado,otero",20311,"German","American","English"
"288","colorado,ouray",3742,"German","English","Irish"
"289","colorado,park",14523,"German","Irish","English"
"290","colorado,phillips",4480,"German","English","American"
"291","colorado,pitkin",14872,"German","English","Irish"
"292","colorado,prowers",14483,"German","American","English"
"293","colorado,pueblo",141472,"German","Italian","English"
"294","colorado,rio blanco",5986,"German","English","Irish"
"295","colorado,rio grande",12413,"German","American","English"
"296","colorado,routt",19690,"German","English","Irish"
"297","colorado,saguache",5917,"German","English","American"
"298","colorado,san juan",558,"German","English","Irish"
"299","colorado,san miguel",6594,"German","English","Irish"
"300","colorado,sedgwick",2747,"German","English","American"
"301","colorado,summit",23548,"German","Irish","English"
"302","colorado,teller",20555,"German","English","Irish"
"303","colorado,washington",4926,"German","American","English"
"304","colorado,weld",180936,"German","English","Irish"
"305","colorado,yuma",9841,"German","American","English"
"306","connecticut,fairfield",882567,"Italian","Irish","German"
"307","connecticut,hartford",857183,"Italian","Irish","Polish"
"308","connecticut,litchfield",182193,"Italian","Irish","English"
"309","connecticut,middlesex",155071,"Italian","Irish","English"
"310","connecticut,new haven",824008,"Italian","Irish","Polish"
"311","connecticut,new london",259088,"Irish","Italian","English"
"312","connecticut,tolland",136364,"Irish","Italian","English"
"313","connecticut,windham",109091,"French (except Basque)","French Canadian","Irish"
"314","delaware,kent",126697,"German","American","Irish"
"315","delaware,new castle",500265,"Irish","Italian","German"
"316","delaware,sussex",156638,"English","American","Irish"
"317","district of columbia,district of columbia",572059,"Irish","English","German"
"318","florida,alachua",217955,"German","English","American"
"319","florida,baker",22259,"American","Irish","English"
"320","florida,bay",148217,"American","Irish","German"
"321","florida,bradford",26088,"American","English","Irish"
"322","florida,brevard",476230,"German","Irish","English"
"323","florida,broward",1623018,"West Indian:excluding Hispanic groups ","Italian","American"
"324","florida,calhoun",13017,"American","German","Irish"
"325","florida,charlotte",141627,"German","English","Irish"
"326","florida,citrus",118085,"German","English","Irish"
"327","florida,clay",140814,"American","German","English"
"328","florida,collier",251377,"German","Irish","English"
"329","florida,columbia",56513,"American","English","German"
"330","florida,de soto",32209,"American","German","English"
"331","florida,dixie",13827,"American","English","Irish"
"332","florida,duval",778879,"American","German","English"
"333","florida,escambia",294410,"American","German","Irish"
"334","florida,flagler",49832,"Italian","German","Irish"
"335","florida,franklin",11057,"American","Irish","English"
"336","florida,gadsden",45087,"American","English","Irish"
"337","florida,gilchrist",14437,"American","English","Irish"
"338","florida,glades",10576,"American","English","German"
"339","florida,gulf",13332,"American","Irish","German"
"340","florida,hamilton",13327,"American","English","Irish"
"341","florida,hardee",26938,"American","English","Irish"
"342","florida,hendry",36210,"American","Irish","English"
"343","florida,hernando",130802,"German","Italian","Irish"
"344","florida,highlands",87366,"American","German","English"
"345","florida,hillsborough",998948,"German","American","English"
"346","florida,holmes",18564,"American","Irish","English"
"347","florida,indian river",112947,"English","Irish","German"
"348","florida,jackson",46755,"American","English","Irish"
"349","florida,jefferson",12902,"American","English","Irish"
"350","florida,lafayette",7022,"American","English","Irish"
"351","florida,lake",210528,"German","American","English"
"352","florida,lee",440888,"German","English","Irish"
"353","florida,leon",239452,"English","American","German"
"354","florida,levy",34450,"American","English","German"
"355","florida,liberty",7021,"American","Irish","English"
"356","florida,madison",18733,"American","English","Irish"
"357","florida,manatee",264002,"German","English","American"
"358","florida,marion",258916,"German","American","English"
"359","florida,martin",126731,"German","Irish","English"
"360","florida,miami-dade",2253362,"West Indian:excluding Hispanic groups ","West Indian:excluding Hispanic groups--Haitian","American"
"361","florida,monroe",79589,"German","English","Irish"
"362","florida,nassau",57663,"American","English","Irish"
"363","florida,okaloosa",170498,"American","German","English"
"364","florida,okeechobee",35910,"American","Irish","German"
"365","florida,orange",896344,"German","American","Irish"
"366","florida,osceola",172493,"German","American","Irish"
"367","florida,palm beach",1131184,"Italian","German","Irish"
"368","florida,pasco",344765,"German","Irish","American"
"369","florida,pinellas",921482,"German","Irish","English"
"370","florida,polk",483924,"American","German","English"
"371","florida,putnam",70423,"American","English","German"
"372","florida,st johns",123135,"English","German","Irish"
"373","florida,st lucie",192695,"German","Irish","Italian"
"374","florida,santa rosa",117743,"American","German","English"
"375","florida,sarasota",325957,"German","English","Irish"
"376","florida,seminole",365196,"German","English","Irish"
"377","florida,sumter",53345,"American","German","English"
"378","florida,suwannee",34844,"American","English","Irish"
"379","florida,taylor",19256,"American","English","Irish"
"380","florida,union",13442,"American","Irish","English"
"381","florida,volusia",443343,"German","Irish","English"
"382","florida,wakulla",22863,"American","English","Irish"
"383","florida,walton",40601,"American","English","Irish"
"384","florida,washington",20973,"American","Irish","English"
"385","georgia,appling",17419,"American","English","Irish"
"386","georgia,atkinson",7609,"American","Irish","English"
"387","georgia,bacon",10103,"American","English","Irish"
"388","georgia,baker",4074,"American","Irish","English"
"389","georgia,baldwin",44700,"American","English","Irish"
"390","georgia,banks",14422,"American","English","Irish"
"391","georgia,barrow",46144,"American","Irish","English"
"392","georgia,bartow",76019,"American","English","Irish"
"393","georgia,ben hill",17484,"American","Irish","English"
"394","georgia,berrien",16235,"American","Irish","English"
"395","georgia,bibb",153887,"American","English","Irish"
"396","georgia,bleckley",11666,"American","English","Irish"
"397","georgia,brantley",14629,"American","English","Irish"
"398","georgia,brooks",16450,"American","English","Irish"
"399","georgia,bryan",23417,"American","English","German"
"400","georgia,bulloch",55983,"American","English","Irish"
"401","georgia,burke",22243,"American","English","Irish"
"402","georgia,butts",19522,"American","Irish","English"
"403","georgia,calhoun",6320,"American","English","Irish"
"404","georgia,camden",43664,"American","German","Irish"
"405","georgia,candler",9577,"American","Irish","English"
"406","georgia,carroll",87268,"American","Irish","English"
"407","georgia,catoosa",53282,"American","Irish","English"
"408","georgia,charlton",10282,"American","English","Irish"
"409","georgia,chatham",232048,"American","English","Irish"
"410","georgia,chattahoochee",14882,"German","American","Irish"
"411","georgia,chattooga",25470,"American","English","Irish"
"412","georgia,cherokee",141903,"American","English","German"
"413","georgia,clarke",101489,"English","American","Irish"
"414","georgia,clay",3357,"American","Irish","English"
"415","georgia,clayton",236517,"American","Irish","English"
"416","georgia,clinch",6878,"American","English","Irish"
"417","georgia,cobb",607751,"American","English","German"
"418","georgia,coffee",37413,"American","Irish","English"
"419","georgia,colquitt",42053,"American","English","Irish"
"420","georgia,columbia",89288,"American","German","English"
"421","georgia,cook",15771,"American","English","Irish"
"422","georgia,coweta",89215,"American","English","Irish"
"423","georgia,crawford",12495,"American","English","Irish"
"424","georgia,crisp",21996,"American","English","Irish"
"425","georgia,dade",15154,"American","English","Irish"
"426","georgia,dawson",15999,"American","English","German"
"427","georgia,decatur",28240,"American","English","Irish"
"428","georgia,de kalb",665865,"English","American","German"
"429","georgia,dodge",19171,"American","English","Irish"
"430","georgia,dooly",11525,"American","Irish","English"
"431","georgia,dougherty",96065,"American","English","Irish"
"432","georgia,douglas",92174,"American","Irish","English"
"433","georgia,early",12354,"American","English","Irish"
"434","georgia,echols",3754,"American","English","Irish"
"435","georgia,effingham",37535,"American","German","Irish"
"436","georgia,elbert",20511,"American","English","Irish"
"437","georgia,emanuel",21837,"American","English","Irish"
"438","georgia,evans",10495,"American","English","Irish"
"439","georgia,fannin",19798,"American","English","Irish"
"440","georgia,fayette",91263,"American","English","Irish"
"441","georgia,floyd",90565,"American","English","Irish"
"442","georgia,forsyth",98407,"American","English","Irish"
"443","georgia,franklin",20285,"American","English","Irish"
"444","georgia,fulton",816006,"English","American","German"
"445","georgia,gilmer",23456,"American","English","Irish"
"446","georgia,glascock",2556,"American","Irish","English"
"447","georgia,glynn",67568,"American","English","Irish"
"448","georgia,gordon",44104,"American","English","Irish"
"449","georgia,grady",23659,"American","Irish","English"
"450","georgia,greene",14406,"American","English","Irish"
"451","georgia,gwinnett",588448,"American","English","German"
"452","georgia,habersham",35902,"American","English","Irish"
"453","georgia,hall",139277,"American","English","Irish"
"454","georgia,hancock",10076,"American","German","Irish"
"455","georgia,haralson",25690,"American","English","Irish"
"456","georgia,harris",23695,"American","English","Irish"
"457","georgia,hart",22997,"American","English","Irish"
"458","georgia,heard",11012,"American","English","Irish"
"459","georgia,henry",119341,"American","English","Irish"
"460","georgia,houston",110765,"American","English","German"
"461","georgia,irwin",9931,"American","Irish","English"
"462","georgia,jackson",41589,"American","English","Irish"
"463","georgia,jasper",11426,"American","English","Irish"
"464","georgia,jeff davis",12684,"American","Irish","English"
"465","georgia,jefferson",17266,"American","English","Irish"
"466","georgia,jenkins",8575,"American","English","Irish"
"467","georgia,johnson",8560,"American","Irish","English"
"468","georgia,jones",23639,"American","English","Irish"
"469","georgia,lamar",15912,"American","Irish","German"
"470","georgia,lanier",7241,"American","Irish","English"
"471","georgia,laurens",44874,"American","English","Irish"
"472","georgia,lee",24757,"American","English","Irish"
"473","georgia,liberty",61610,"American","German","Irish"
"474","georgia,lincoln",8348,"American","English","Irish"
"475","georgia,long",10304,"American","Irish","German"
"476","georgia,lowndes",92115,"American","English","German"
"477","georgia,lumpkin",21016,"American","Irish","English"
"478","georgia,mcduffie",21231,"American","English","Irish"
"479","georgia,mcintosh",10847,"American","English","Irish"
"480","georgia,macon",14074,"American","German","Irish"
"481","georgia,madison",25730,"American","English","Irish"
"482","georgia,marion",7144,"American","Irish","English"
"483","georgia,meriwether",22534,"American","Irish","English"
"484","georgia,miller",6383,"American","English","Irish"
"485","georgia,mitchell",23932,"American","English","Irish"
"486","georgia,monroe",21757,"American","English","Irish"
"487","georgia,montgomery",8270,"American","Irish","English"
"488","georgia,morgan",15457,"American","English","Irish"
"489","georgia,murray",36506,"American","Irish","English"
"490","georgia,muscogee",186291,"American","English","German"
"491","georgia,newton",62001,"American","English","Irish"
"492","georgia,oconee",26225,"American","English","Irish"
"493","georgia,oglethorpe",12635,"American","English","Irish"
"494","georgia,paulding",81678,"American","Irish","German"
"495","georgia,peach",23668,"American","English","Irish"
"496","georgia,pickens",22983,"American","English","Irish"
"497","georgia,pierce",15636,"American","English","Irish"
"498","georgia,pike",13688,"American","English","Irish"
"499","georgia,polk",38127,"American","English","Irish"
"500","georgia,pulaski",9588,"American","Irish","English"
"501","georgia,putnam",18812,"American","English","Irish"
"502","georgia,quitman",2598,"American","German","English"
"503","georgia,rabun",15050,"American","English","Irish"
"504","georgia,randolph",7791,"American","English","Irish"
"505","georgia,richmond",199775,"American","English","German"
"506","georgia,rockdale",70111,"American","English","Irish"
"507","georgia,schley",3766,"American","Irish","English"
"508","georgia,screven",15374,"American","English","Irish"
"509","georgia,seminole",9369,"American","English","Irish"
"510","georgia,spalding",58417,"American","English","Irish"
"511","georgia,stephens",25435,"American","English","Irish"
"512","georgia,stewart",5252,"American","English","Irish"
"513","georgia,sumter",33200,"American","English","German"
"514","georgia,talbot",6498,"American","English","Irish"
"515","georgia,taliaferro",2077,"American","Irish","English"
"516","georgia,tattnall",22305,"American","Irish","English"
"517","georgia,taylor",8815,"American","English","Irish"
"518","georgia,telfair",11794,"American","English","Irish"
"519","georgia,terrell",10970,"American","English","Irish"
"520","georgia,thomas",42737,"American","English","Irish"
"521","georgia,tift",38407,"American","English","Irish"
"522","georgia,toombs",26067,"American","English","Irish"
"523","georgia,towns",9319,"American","English","Irish"
"524","georgia,treutlen",6854,"American","Irish","English"
"525","georgia,troup",58779,"American","English","Irish"
"526","georgia,turner",9504,"American","English","Irish"
"527","georgia,twiggs",10590,"American","English","Irish"
"528","georgia,union",17289,"American","English","Irish"
"529","georgia,upson",27597,"American","English","Irish"
"530","georgia,walker",61053,"American","Irish","English"
"531","georgia,walton",60687,"American","English","Irish"
"532","georgia,ware",35483,"American","English","Irish"
"533","georgia,warren",6336,"American","English","Irish"
"534","georgia,washington",21176,"American","English","Irish"
"535","georgia,wayne",26565,"American","English","Irish"
"536","georgia,webster",2390,"American","English","Irish"
"537","georgia,wheeler",6179,"American","Irish","English"
"538","georgia,white",19944,"American","English","Irish"
"539","georgia,whitfield",83525,"American","Irish","English"
"540","georgia,wilcox",8577,"American","English","Irish"
"541","georgia,wilkes",10687,"American","English","Irish"
"542","georgia,wilkinson",10220,"American","English","Irish"
"543","georgia,worth",21967,"American","English","Irish"
"544","hawaii,hawaii",148677,"Portuguese","German","English"
"545","hawaii,honolulu",876156,"German","English","Irish"
"546","hawaii,kalawao",147,"Swedish","Acadian Cajun","Afghan"
"547","hawaii,kauai",58463,"Portuguese","German","English"
"548","hawaii,maui",128094,"German","Portuguese","English"
"549","idaho,ada",300904,"German","English","American"
"550","idaho,adams",3476,"American","German","English"
"551","idaho,bannock",75565,"English","German","American"
"552","idaho,bear lake",6411,"English","American","German"
"553","idaho,benewah",9171,"German","English","American"
"554","idaho,bingham",41735,"English","American","German"
"555","idaho,blaine",18991,"English","German","Irish"
"556","idaho,boise",6670,"German","American","English"
"557","idaho,bonner",36835,"German","English","American"
"558","idaho,bonneville",82522,"English","German","American"
"559","idaho,boundary",9871,"German","American","English"
"560","idaho,butte",2899,"English","American","German"
"561","idaho,camas",991,"German","American","English"
"562","idaho,canyon",131441,"German","English","American"
"563","idaho,caribou",7304,"English","German","American"
"564","idaho,cassia",21416,"English","American","German"
"565","idaho,clark",1022,"English","German","Irish"
"566","idaho,clearwater",8930,"German","English","Irish"
"567","idaho,custer",4342,"English","German","Irish"
"568","idaho,elmore",29130,"German","English","American"
"569","idaho,franklin",11329,"English","American","Danish"
"570","idaho,fremont",11819,"English","German","American"
"571","idaho,gem",15181,"American","German","English"
"572","idaho,gooding",14155,"English","German","American"
"573","idaho,idaho",15511,"German","American","English"
"574","idaho,jefferson",19155,"English","German","American"
"575","idaho,jerome",18342,"English","German","American"
"576","idaho,kootenai",108685,"German","English","Irish"
"577","idaho,latah",34935,"German","English","Irish"
"578","idaho,lemhi",7806,"German","English","American"
"579","idaho,lewis",3747,"German","American","English"
"580","idaho,lincoln",4044,"English","American","German"
"581","idaho,madison",27467,"English","German","American"
"582","idaho,minidoka",20174,"English","German","American"
"583","idaho,nez perce",37410,"German","English","American"
"584","idaho,oneida",4125,"English","Welsh","American"
"585","idaho,owyhee",10644,"American","German","English"
