"","Age","Sex","Year","Population"
"140",64,"Female",1900,0.157
"141",65,"Female",1900,0.147
"142",66,"Female",1900,0.137
"143",67,"Female",1900,0.128
"144",68,"Female",1900,0.118
"145",69,"Female",1900,0.109
"146",70,"Female",1900,0.101
"147",71,"Female",1900,0.093
"148",72,"Female",1900,0.086
"149",73,"Female",1900,0.081
"150",74,"Female",1900,0.076
"151",0,"Male",1901,0.938
"152",1,"Male",1901,0.945
"153",2,"Male",1901,0.947
"154",3,"Male",1901,0.946
"155",4,"Male",1901,0.94
"156",5,"Male",1901,0.932
"157",6,"Male",1901,0.921
"158",7,"Male",1901,0.908
"159",8,"Male",1901,0.893
"160",9,"Male",1901,0.877
"161",10,"Male",1901,0.86
"162",11,"Male",1901,0.841
"163",12,"Male",1901,0.825
"164",13,"Male",1901,0.81
"165",14,"Male",1901,0.797
"166",15,"Male",1901,0.784
"167",16,"Male",1901,0.769
"168",17,"Male",1901,0.759
"169",18,"Male",1901,0.755
"170",19,"Male",1901,0.756
"171",20,"Male",1901,0.756
"172",21,"Male",1901,0.756
"173",22,"Male",1901,0.753
"174",23,"Male",1901,0.744
"175",24,"Male",1901,0.73
"176",25,"Male",1901,0.717
"177",26,"Male",1901,0.704
"178",27,"Male",1901,0.689
"179",28,"Male",1901,0.671
"180",29,"Male",1901,0.652
"181",30,"Male",1901,0.631
"182",31,"Male",1901,0.61
"183",32,"Male",1901,0.592
"184",33,"Male",1901,0.58
"185",34,"Male",1901,0.572
"186",35,"Male",1901,0.563
"187",36,"Male",1901,0.554
"188",37,"Male",1901,0.543
"189",38,"Male",1901,0.529
"190",39,"Male",1901,0.514
"191",40,"Male",1901,0.499
"192",41,"Male",1901,0.484
"193",42,"Male",1901,0.467
"194",43,"Male",1901,0.449
"195",44,"Male",1901,0.43
"196",45,"Male",1901,0.412
"197",46,"Male",1901,0.391
"198",47,"Male",1901,0.375
"199",48,"Male",1901,0.364
"200",49,"Male",1901,0.356
"201",50,"Male",1901,0.348
"202",51,"Male",1901,0.342
"203",52,"Male",1901,0.331
"204",53,"Male",1901,0.313
"205",54,"Male",1901,0.291
"206",55,"Male",1901,0.271
"207",56,"Male",1901,0.249
"208",57,"Male",1901,0.231
"209",58,"Male",1901,0.22
"210",59,"Male",1901,0.214
"211",60,"Male",1901,0.206
"212",61,"Male",1901,0.199
"213",62,"Male",1901,0.191
"214",63,"Male",1901,0.181
"215",64,"Male",1901,0.169
"216",65,"Male",1901,0.158
"217",66,"Male",1901,0.148
"218",67,"Male",1901,0.137
"219",68,"Male",1901,0.128
"220",69,"Male",1901,0.119
"221",70,"Male",1901,0.109
"222",71,"Male",1901,0.1
"223",72,"Male",1901,0.091
"224",73,"Male",1901,0.084
"225",74,"Male",1901,0.077
"226",0,"Female",1901,0.912
"227",1,"Female",1901,0.924
"228",2,"Female",1901,0.929
"229",3,"Female",1901,0.93
"230",4,"Female",1901,0.925
"231",5,"Female",1901,0.917
"232",6,"Female",1901,0.905
"233",7,"Female",1901,0.891
"234",8,"Female",1901,0.875
"235",9,"Female",1901,0.858
"236",10,"Female",1901,0.839
"237",11,"Female",1901,0.82
"238",12,"Female",1901,0.805
"239",13,"Female",1901,0.795
"240",14,"Female",1901,0.789
"241",15,"Female",1901,0.783
"242",16,"Female",1901,0.775
"243",17,"Female",1901,0.772
"244",18,"Female",1901,0.772
"245",19,"Female",1901,0.773
"246",20,"Female",1901,0.774
"247",21,"Female",1901,0.776
"248",22,"Female",1901,0.771
"249",23,"Female",1901,0.754
"250",24,"Female",1901,0.73
"251",25,"Female",1901,0.707
"252",26,"Female",1901,0.683
"253",27,"Female",1901,0.66
"254",28,"Female",1901,0.635
"255",29,"Female",1901,0.611
"256",30,"Female",1901,0.586
"257",31,"Female",1901,0.56
"258",32,"Female",1901,0.539
"259",33,"Female",1901,0.526
"260",34,"Female",1901,0.517
"261",35,"Female",1901,0.507
"262",36,"Female",1901,0.498
"263",37,"Female",1901,0.488
"264",38,"Female",1901,0.474
"265",39,"Female",1901,0.456
"266",40,"Female",1901,0.441
"267",41,"Female",1901,0.426
"268",42,"Female",1901,0.41
"269",43,"Female",1901,0.394
"270",44,"Female",1901,0.378
"271",45,"Female",1901,0.361
"272",46,"Female",1901,0.343
"273",47,"Female",1901,0.329
"274",48,"Female",1901,0.319
"275",49,"Female",1901,0.311
"276",50,"Female",1901,0.303
"277",51,"Female",1901,0.297
"278",52,"Female",1901,0.288
"279",53,"Female",1901,0.274
"280",54,"Female",1901,0.258
"281",55,"Female",1901,0.243
"282",56,"Female",1901,0.228
"283",57,"Female",1901,0.215
"284",58,"Female",1901,0.207
"285",59,"Female",1901,0.201
"286",60,"Female",1901,0.195
"287",61,"Female",1901,0.188
"288",62,"Female",1901,0.181
"289",63,"Female",1901,0.172
"290",64,"Female",1901,0.161
"291",65,"Female",1901,0.15
"292",66,"Female",1901,0.14
"293",67,"Female",1901,0.131
"294",68,"Female",1901,0.122
"295",69,"Female",1901,0.112
"296",70,"Female",1901,0.103
"297",71,"Female",1901,0.096
"298",72,"Female",1901,0.088
"299",73,"Female",1901,0.082
"300",74,"Female",1901,0.077
"301",0,"Male",1902,0.959
"302",1,"Male",1902,0.964
"303",2,"Male",1902,0.964
"304",3,"Male",1902,0.96
"305",4,"Male",1902,0.953
"306",5,"Male",1902,0.944
"307",6,"Male",1902,0.932
"308",7,"Male",1902,0.917
"309",8,"Male",1902,0.903
"310",9,"Male",1902,0.885
"311",10,"Male",1902,0.868
"312",11,"Male",1902,0.851
"313",12,"Male",1902,0.834
"314",13,"Male",1902,0.82
"315",14,"Male",1902,0.809
"316",15,"Male",1902,0.796
"317",16,"Male",1902,0.783
"318",17,"Male",1902,0.774
"319",18,"Male",1902,0.772
"320",19,"Male",1902,0.773
"321",20,"Male",1902,0.774
"322",21,"Male",1902,0.774
"323",22,"Male",1902,0.771
"324",23,"Male",1902,0.762
"325",24,"Male",1902,0.749
"326",25,"Male",1902,0.735
"327",26,"Male",1902,0.723
"328",27,"Male",1902,0.707
"329",28,"Male",1902,0.689
"330",29,"Male",1902,0.667
"331",30,"Male",1902,0.647
"332",31,"Male",1902,0.624
"333",32,"Male",1902,0.605
"334",33,"Male",1902,0.594
"335",34,"Male",1902,0.586
"336",35,"Male",1902,0.576
"337",36,"Male",1902,0.569
"338",37,"Male",1902,0.558
"339",38,"Male",1902,0.543
"340",39,"Male",1902,0.527
"341",40,"Male",1902,0.511
"342",41,"Male",1902,0.495
"343",42,"Male",1902,0.479
"344",43,"Male",1902,0.46
"345",44,"Male",1902,0.441
"346",45,"Male",1902,0.421
"347",46,"Male",1902,0.402
"348",47,"Male",1902,0.385
"349",48,"Male",1902,0.374
"350",49,"Male",1902,0.367
"351",50,"Male",1902,0.359
"352",51,"Male",1902,0.353
"353",52,"Male",1902,0.342
"354",53,"Male",1902,0.323
"355",54,"Male",1902,0.3
"356",55,"Male",1902,0.278
"357",56,"Male",1902,0.256
"358",57,"Male",1902,0.238
"359",58,"Male",1902,0.227
"360",59,"Male",1902,0.219
"361",60,"Male",1902,0.211
"362",61,"Male",1902,0.204
"363",62,"Male",1902,0.195
"364",63,"Male",1902,0.185
"365",64,"Male",1902,0.173
"366",65,"Male",1902,0.162
"367",66,"Male",1902,0.152
"368",67,"Male",1902,0.141
"369",68,"Male",1902,0.131
"370",69,"Male",1902,0.122
"371",70,"Male",1902,0.112
"372",71,"Male",1902,0.103
"373",72,"Male",1902,0.094
"374",73,"Male",1902,0.086
"375",74,"Male",1902,0.078
"376",0,"Female",1902,0.933
"377",1,"Female",1902,0.942
"378",2,"Female",1902,0.946
"379",3,"Female",1902,0.944
"380",4,"Female",1902,0.937
"381",5,"Female",1902,0.929
"382",6,"Female",1902,0.916
"383",7,"Female",1902,0.901
"384",8,"Female",1902,0.885
"385",9,"Female",1902,0.867
"386",10,"Female",1902,0.849
"387",11,"Female",1902,0.83
"388",12,"Female",1902,0.814
"389",13,"Female",1902,0.805
"390",14,"Female",1902,0.801
"391",15,"Female",1902,0.795
"392",16,"Female",1902,0.789
"393",17,"Female",1902,0.786
"394",18,"Female",1902,0.786
"395",19,"Female",1902,0.788
"396",20,"Female",1902,0.789
"397",21,"Female",1902,0.792
"398",22,"Female",1902,0.786
"399",23,"Female",1902,0.77
"400",24,"Female",1902,0.746
"401",25,"Female",1902,0.722
"402",26,"Female",1902,0.699
"403",27,"Female",1902,0.674
"404",28,"Female",1902,0.649
"405",29,"Female",1902,0.625
"406",30,"Female",1902,0.599
"407",31,"Female",1902,0.573
"408",32,"Female",1902,0.552
"409",33,"Female",1902,0.538
"410",34,"Female",1902,0.529
"411",35,"Female",1902,0.52
"412",36,"Female",1902,0.512
"413",37,"Female",1902,0.501
"414",38,"Female",1902,0.487
"415",39,"Female",1902,0.468
"416",40,"Female",1902,0.452
"417",41,"Female",1902,0.437
"418",42,"Female",1902,0.42
"419",43,"Female",1902,0.403
"420",44,"Female",1902,0.386
"421",45,"Female",1902,0.369
"422",46,"Female",1902,0.352
"423",47,"Female",1902,0.338
"424",48,"Female",1902,0.327
"425",49,"Female",1902,0.319
"426",50,"Female",1902,0.312
"427",51,"Female",1902,0.304
"428",52,"Female",1902,0.295
"429",53,"Female",1902,0.281
"430",54,"Female",1902,0.265
"431",55,"Female",1902,0.249
"432",56,"Female",1902,0.234
"433",57,"Female",1902,0.221
"434",58,"Female",1902,0.211
"435",59,"Female",1902,0.205
"436",60,"Female",1902,0.198
"437",61,"Female",1902,0.192
"438",62,"Female",1902,0.185
"439",63,"Female",1902,0.175
"440",64,"Female",1902,0.164
"441",65,"Female",1902,0.154
"442",66,"Female",1902,0.144
"443",67,"Female",1902,0.134
"444",68,"Female",1902,0.125
"445",69,"Female",1902,0.116
"446",70,"Female",1902,0.106
"447",71,"Female",1902,0.098
"448",72,"Female",1902,0.091
"449",73,"Female",1902,0.084
"450",74,"Female",1902,0.078
"451",0,"Male",1903,0.978
"452",1,"Male",1903,0.98
"453",2,"Male",1903,0.978
"454",3,"Male",1903,0.972
"455",4,"Male",1903,0.964
"456",5,"Male",1903,0.952
"457",6,"Male",1903,0.94
"458",7,"Male",1903,0.925
"459",8,"Male",1903,0.909
"460",9,"Male",1903,0.893
"461",10,"Male",1903,0.876
"462",11,"Male",1903,0.858
"463",12,"Male",1903,0.843
"464",13,"Male",1903,0.829
"465",14,"Male",1903,0.819
"466",15,"Male",1903,0.808
"467",16,"Male",1903,0.796
"468",17,"Male",1903,0.789
"469",18,"Male",1903,0.787
"470",19,"Male",1903,0.789
"471",20,"Male",1903,0.791
"472",21,"Male",1903,0.792
"473",22,"Male",1903,0.79
"474",23,"Male",1903,0.781
"475",24,"Male",1903,0.767
"476",25,"Male",1903,0.755
"477",26,"Male",1903,0.741
"478",27,"Male",1903,0.725
"479",28,"Male",1903,0.705
"480",29,"Male",1903,0.684
"481",30,"Male",1903,0.661
"482",31,"Male",1903,0.637
"483",32,"Male",1903,0.618
"484",33,"Male",1903,0.606
"485",34,"Male",1903,0.599
"486",35,"Male",1903,0.591
"487",36,"Male",1903,0.582
"488",37,"Male",1903,0.572
"489",38,"Male",1903,0.558
"490",39,"Male",1903,0.54
"491",40,"Male",1903,0.523
"492",41,"Male",1903,0.506
"493",42,"Male",1903,0.489
"494",43,"Male",1903,0.47
"495",44,"Male",1903,0.45
"496",45,"Male",1903,0.431
"497",46,"Male",1903,0.411
"498",47,"Male",1903,0.394
"499",48,"Male",1903,0.384
"500",49,"Male",1903,0.376
"501",50,"Male",1903,0.369
"502",51,"Male",1903,0.363
"503",52,"Male",1903,0.352
"504",53,"Male",1903,0.333
"505",54,"Male",1903,0.309
"506",55,"Male",1903,0.286
"507",56,"Male",1903,0.263
"508",57,"Male",1903,0.244
"509",58,"Male",1903,0.232
"510",59,"Male",1903,0.225
"511",60,"Male",1903,0.216
"512",61,"Male",1903,0.208
"513",62,"Male",1903,0.2
"514",63,"Male",1903,0.189
"515",64,"Male",1903,0.177
"516",65,"Male",1903,0.166
"517",66,"Male",1903,0.155
"518",67,"Male",1903,0.145
"519",68,"Male",1903,0.134
"520",69,"Male",1903,0.125
"521",70,"Male",1903,0.115
"522",71,"Male",1903,0.105
"523",72,"Male",1903,0.096
"524",73,"Male",1903,0.087
"525",74,"Male",1903,0.079
"526",0,"Female",1903,0.952
"527",1,"Female",1903,0.958
"528",2,"Female",1903,0.96
"529",3,"Female",1903,0.955
"530",4,"Female",1903,0.948
"531",5,"Female",1903,0.937
"532",6,"Female",1903,0.924
"533",7,"Female",1903,0.909
"534",8,"Female",1903,0.892
"535",9,"Female",1903,0.874
"536",10,"Female",1903,0.857
"537",11,"Female",1903,0.837
"538",12,"Female",1903,0.823
"539",13,"Female",1903,0.815
"540",14,"Female",1903,0.812
"541",15,"Female",1903,0.807
"542",16,"Female",1903,0.802
"543",17,"Female",1903,0.8
"544",18,"Female",1903,0.801
"545",19,"Female",1903,0.803
"546",20,"Female",1903,0.804
"547",21,"Female",1903,0.806
"548",22,"Female",1903,0.801
"549",23,"Female",1903,0.784
"550",24,"Female",1903,0.76
"551",25,"Female",1903,0.737
"552",26,"Female",1903,0.713
"553",27,"Female",1903,0.688
"554",28,"Female",1903,0.663
"555",29,"Female",1903,0.637
"556",30,"Female",1903,0.612
"557",31,"Female",1903,0.584
"558",32,"Female",1903,0.563
"559",33,"Female",1903,0.549
"560",34,"Female",1903,0.542
"561",35,"Female",1903,0.533
"562",36,"Female",1903,0.525
"563",37,"Female",1903,0.514
"564",38,"Female",1903,0.499
"565",39,"Female",1903,0.48
"566",40,"Female",1903,0.462
"567",41,"Female",1903,0.445
"568",42,"Female",1903,0.429
"569",43,"Female",1903,0.411
"570",44,"Female",1903,0.395
"571",45,"Female",1903,0.378
"572",46,"Female",1903,0.36
"573",47,"Female",1903,0.346
"574",48,"Female",1903,0.336
"575",49,"Female",1903,0.328
"576",50,"Female",1903,0.32
"577",51,"Female",1903,0.313
"578",52,"Female",1903,0.302
"579",53,"Female",1903,0.288
"580",54,"Female",1903,0.271
"581",55,"Female",1903,0.254
"582",56,"Female",1903,0.238
"583",57,"Female",1903,0.224
"584",58,"Female",1903,0.215
"585",59,"Female",1903,0.209
"586",60,"Female",1903,0.202
"587",61,"Female",1903,0.196
"588",62,"Female",1903,0.189
"589",63,"Female",1903,0.179
"590",64,"Female",1903,0.167
"591",65,"Female",1903,0.158
"592",66,"Female",1903,0.148
"593",67,"Female",1903,0.137
"594",68,"Female",1903,0.128
"595",69,"Female",1903,0.118
"596",70,"Female",1903,0.11
"597",71,"Female",1903,0.101
"598",72,"Female",1903,0.093
"599",73,"Female",1903,0.086
"600",74,"Female",1903,0.079
"601",0,"Male",1904,0.998
"602",1,"Male",1904,0.996
"603",2,"Male",1904,0.992
"604",3,"Male",1904,0.985
"605",4,"Male",1904,0.974
"606",5,"Male",1904,0.962
"607",6,"Male",1904,0.948
"608",7,"Male",1904,0.933
"609",8,"Male",1904,0.917
"610",9,"Male",1904,0.9
"611",10,"Male",1904,0.884
"612",11,"Male",1904,0.867
"613",12,"Male",1904,0.852
"614",13,"Male",1904,0.84
"615",14,"Male",1904,0.831
"616",15,"Male",1904,0.82
"617",16,"Male",1904,0.811
"618",17,"Male",1904,0.805
"619",18,"Male",1904,0.804
"620",19,"Male",1904,0.807
"621",20,"Male",1904,0.809
"622",21,"Male",1904,0.811
"623",22,"Male",1904,0.809
"624",23,"Male",1904,0.8
"625",24,"Male",1904,0.787
"626",25,"Male",1904,0.774
"627",26,"Male",1904,0.761
"628",27,"Male",1904,0.743
"629",28,"Male",1904,0.723
"630",29,"Male",1904,0.7
"631",30,"Male",1904,0.677
"632",31,"Male",1904,0.652
"633",32,"Male",1904,0.632
"634",33,"Male",1904,0.62
"635",34,"Male",1904,0.613
"636",35,"Male",1904,0.604
"637",36,"Male",1904,0.598
"638",37,"Male",1904,0.587
"639",38,"Male",1904,0.571
"640",39,"Male",1904,0.552
"641",40,"Male",1904,0.535
"642",41,"Male",1904,0.518
"643",42,"Male",1904,0.499
"644",43,"Male",1904,0.481
"645",44,"Male",1904,0.461
"646",45,"Male",1904,0.441
"647",46,"Male",1904,0.421
"648",47,"Male",1904,0.404
"649",48,"Male",1904,0.394
"650",49,"Male",1904,0.387
"651",50,"Male",1904,0.381
"652",51,"Male",1904,0.375
"653",52,"Male",1904,0.364
"654",53,"Male",1904,0.343
"655",54,"Male",1904,0.318
"656",55,"Male",1904,0.295
"657",56,"Male",1904,0.27
"658",57,"Male",1904,0.25
"659",58,"Male",1904,0.238
"660",59,"Male",1904,0.23
"661",60,"Male",1904,0.221
"662",61,"Male",1904,0.213
"663",62,"Male",1904,0.204
"664",63,"Male",1904,0.193
"665",64,"Male",1904,0.182
"666",65,"Male",1904,0.17
"667",66,"Male",1904,0.159
"668",67,"Male",1904,0.149
"669",68,"Male",1904,0.139
"670",69,"Male",1904,0.128
"671",70,"Male",1904,0.118
"672",71,"Male",1904,0.108
"673",72,"Male",1904,0.098
"674",73,"Male",1904,0.088
"675",74,"Male",1904,0.079
"676",0,"Female",1904,0.971
"677",1,"Female",1904,0.975
"678",2,"Female",1904,0.973
"679",3,"Female",1904,0.968
"680",4,"Female",1904,0.959
"681",5,"Female",1904,0.947
"682",6,"Female",1904,0.932
"683",7,"Female",1904,0.916
"684",8,"Female",1904,0.9
"685",9,"Female",1904,0.882
"686",10,"Female",1904,0.864
"687",11,"Female",1904,0.845
"688",12,"Female",1904,0.831
"689",13,"Female",1904,0.824
"690",14,"Female",1904,0.822
"691",15,"Female",1904,0.82
"692",16,"Female",1904,0.816
"693",17,"Female",1904,0.814
"694",18,"Female",1904,0.816
"695",19,"Female",1904,0.818
"696",20,"Female",1904,0.819
"697",21,"Female",1904,0.821
"698",22,"Female",1904,0.816
"699",23,"Female",1904,0.799
"700",24,"Female",1904,0.776
"701",25,"Female",1904,0.752
"702",26,"Female",1904,0.727
"703",27,"Female",1904,0.702
"704",28,"Female",1904,0.677
"705",29,"Female",1904,0.651
"706",30,"Female",1904,0.624
"707",31,"Female",1904,0.597
"708",32,"Female",1904,0.574
"709",33,"Female",1904,0.562
"710",34,"Female",1904,0.554
"711",35,"Female",1904,0.546
"712",36,"Female",1904,0.539
"713",37,"Female",1904,0.529
"714",38,"Female",1904,0.512
"715",39,"Female",1904,0.492
"716",40,"Female",1904,0.473
"717",41,"Female",1904,0.455
"718",42,"Female",1904,0.437
"719",43,"Female",1904,0.419
"720",44,"Female",1904,0.403
"721",45,"Female",1904,0.386
"722",46,"Female",1904,0.369
"723",47,"Female",1904,0.355
"724",48,"Female",1904,0.344
"725",49,"Female",1904,0.336
"726",50,"Female",1904,0.328
"727",51,"Female",1904,0.321
"728",52,"Female",1904,0.311
"729",53,"Female",1904,0.295
"730",54,"Female",1904,0.277
"731",55,"Female",1904,0.26
"732",56,"Female",1904,0.242
"733",57,"Female",1904,0.228
"734",58,"Female",1904,0.219
"735",59,"Female",1904,0.212
"736",60,"Female",1904,0.205
"737",61,"Female",1904,0.2
"738",62,"Female",1904,0.193
"739",63,"Female",1904,0.183
"740",64,"Female",1904,0.172
"741",65,"Female",1904,0.161
"742",66,"Female",1904,0.151
"743",67,"Female",1904,0.141
"744",68,"Female",1904,0.131
"745",69,"Female",1904,0.121
"746",70,"Female",1904,0.113
"747",71,"Female",1904,0.103
"748",72,"Female",1904,0.096
"749",73,"Female",1904,0.088
"750",74,"Female",1904,0.08
"751",0,"Male",1905,1.019
"752",1,"Male",1905,1.014
"753",2,"Male",1905,1.007
"754",3,"Male",1905,0.997
"755",4,"Male",1905,0.986
"756",5,"Male",1905,0.972
"757",6,"Male",1905,0.957
"758",7,"Male",1905,0.942
"759",8,"Male",1905,0.925
"760",9,"Male",1905,0.909
"761",10,"Male",1905,0.892
"762",11,"Male",1905,0.876
"763",12,"Male",1905,0.862
"764",13,"Male",1905,0.851
"765",14,"Male",1905,0.843
"766",15,"Male",1905,0.835
"767",16,"Male",1905,0.825
"768",17,"Male",1905,0.821
"769",18,"Male",1905,0.821
"770",19,"Male",1905,0.826
"771",20,"Male",1905,0.829
"772",21,"Male",1905,0.832
"773",22,"Male",1905,0.831
"774",23,"Male",1905,0.822
"775",24,"Male",1905,0.808
"776",25,"Male",1905,0.794
"777",26,"Male",1905,0.78
"778",27,"Male",1905,0.764
"779",28,"Male",1905,0.743
"780",29,"Male",1905,0.718
"781",30,"Male",1905,0.694
"782",31,"Male",1905,0.667
"783",32,"Male",1905,0.647
"784",33,"Male",1905,0.635
"785",34,"Male",1905,0.628
"786",35,"Male",1905,0.621
"787",36,"Male",1905,0.613
"788",37,"Male",1905,0.603
"789",38,"Male",1905,0.587
"790",39,"Male",1905,0.566
"791",40,"Male",1905,0.547
"792",41,"Male",1905,0.529
"793",42,"Male",1905,0.509
"794",43,"Male",1905,0.49
"795",44,"Male",1905,0.471
"796",45,"Male",1905,0.452
"797",46,"Male",1905,0.431
"798",47,"Male",1905,0.415
"799",48,"Male",1905,0.404
"800",49,"Male",1905,0.398
"801",50,"Male",1905,0.392
"802",51,"Male",1905,0.386
"803",52,"Male",1905,0.375
"804",53,"Male",1905,0.354
"805",54,"Male",1905,0.328
"806",55,"Male",1905,0.303
"807",56,"Male",1905,0.278
"808",57,"Male",1905,0.257
"809",58,"Male",1905,0.244
"810",59,"Male",1905,0.235
"811",60,"Male",1905,0.227
"812",61,"Male",1905,0.219
"813",62,"Male",1905,0.209
"814",63,"Male",1905,0.199
"815",64,"Male",1905,0.186
"816",65,"Male",1905,0.174
"817",66,"Male",1905,0.164
"818",67,"Male",1905,0.152
"819",68,"Male",1905,0.142
"820",69,"Male",1905,0.131
"821",70,"Male",1905,0.12
"822",71,"Male",1905,0.11
"823",72,"Male",1905,0.101
"824",73,"Male",1905,0.091
"825",74,"Male",1905,0.082
"826",0,"Female",1905,0.991
"827",1,"Female",1905,0.992
"828",2,"Female",1905,0.988
"829",3,"Female",1905,0.98
"830",4,"Female",1905,0.97
"831",5,"Female",1905,0.957
"832",6,"Female",1905,0.941
"833",7,"Female",1905,0.925
"834",8,"Female",1905,0.907
"835",9,"Female",1905,0.891
"836",10,"Female",1905,0.873
"837",11,"Female",1905,0.854
"838",12,"Female",1905,0.841
"839",13,"Female",1905,0.835
"840",14,"Female",1905,0.835
"841",15,"Female",1905,0.833
"842",16,"Female",1905,0.831
"843",17,"Female",1905,0.831
"844",18,"Female",1905,0.832
"845",19,"Female",1905,0.834
"846",20,"Female",1905,0.836
"847",21,"Female",1905,0.838
"848",22,"Female",1905,0.833
"849",23,"Female",1905,0.816
"850",24,"Female",1905,0.792
"851",25,"Female",1905,0.767
"852",26,"Female",1905,0.743
"853",27,"Female",1905,0.717
"854",28,"Female",1905,0.691
"855",29,"Female",1905,0.665
"856",30,"Female",1905,0.638
"857",31,"Female",1905,0.61
"858",32,"Female",1905,0.588
"859",33,"Female",1905,0.575
"860",34,"Female",1905,0.567
"861",35,"Female",1905,0.56
"862",36,"Female",1905,0.553
"863",37,"Female",1905,0.543
"864",38,"Female",1905,0.526
"865",39,"Female",1905,0.505
"866",40,"Female",1905,0.485
"867",41,"Female",1905,0.465
"868",42,"Female",1905,0.446
"869",43,"Female",1905,0.429
"870",44,"Female",1905,0.413
"871",45,"Female",1905,0.396
"872",46,"Female",1905,0.38
"873",47,"Female",1905,0.364
