"","rate.male","LCL95.male","UCL95.male","rate.female","LCL95.female","UCL95.female","state","county"
"alaska,matanuska-susitna",230.1,191.9,276.9,185.1,156.1,218.7,"Alaska","Matanuska-Susitna Borough"
"alaska,ketchikan gateway",229.7,168.1,309.6,242.3,185.5,311.9,"Alaska","Ketchikan Gateway Borough"
"alaska,fairbanks north",221.2,187.4,261,159.2,134.8,187.2,"Alaska","Fairbanks North Borough"
"alaska,sitka city and",213.5,139.2,324.8,132.7,83.4,205.4,"Alaska","Sitka City and Borough"
"alaska,southeast fairbanks",212.9,105.3,424.5,NA,NA,NA,"Alaska","Southeast Fairbanks Census Area"
"alaska,denali / yukon-koyukuk",201.1,122.5,318.1,150.7,89.7,247.3,"Alaska","Denali / Yukon-Koyukuk"
"alaska,kodiak island",195.3,123,303.5,196.7,127.1,294.9,"Alaska","Kodiak Island Borough"
"arizona,greenlee",273.6,192.9,380.9,147.7,96.9,218.5,"Arizona","Greenlee County"
"arizona,mohave",255.9,242.2,270.3,183.8,172.8,195.4,"Arizona","Mohave County"
"arizona,gila",247.5,223.8,273.7,167.1,148.8,187.9,"Arizona","Gila County"
"arizona,cochise",225.5,208.6,243.5,145.1,132.8,158.3,"Arizona","Cochise County"
"arizona,graham",224.8,189.8,265,152.9,127.3,182.6,"Arizona","Graham County"
"arizona,pima",214.9,208.5,221.5,148.6,144,153.4,"Arizona","Pima County"
"arizona,maricopa",213.5,209.8,217.2,149.1,146.4,151.8,"Arizona","Maricopa County"
"arizona,yavapai",209.3,197.7,221.5,153.5,144.3,163.4,"Arizona","Yavapai County"
"arizona,pinal",199.6,187.2,212.9,143.2,133.1,154.1,"Arizona","Pinal County"
"arizona,navajo",196.3,175.5,219.3,137.6,122.1,154.6,"Arizona","Navajo County"
"arizona,santa cruz",186.4,155.8,222.3,141.8,118.5,168.6,"Arizona","Santa Cruz County"
"arizona,coconino",182.9,160.7,208,142.7,126.1,160.9,"Arizona","Coconino County"
"arizona,apache",159.7,135.8,186.9,139.9,120.2,162.2,"Arizona","Apache County"
"arizona,yuma",158.5,146.5,171.3,113.5,103.7,124.1,"Arizona","Yuma County"
"arizona,la paz",151.2,124,185,93.4,71.9,122.5,"Arizona","La Paz County"
"arkansas,woodruff",408.9,327.7,506.3,178.6,133.7,237.2,"Arkansas","Woodruff County"
"arkansas,crittenden",368.9,326.1,416.6,191.7,168.2,217.8,"Arkansas","Crittenden County"
"arkansas,st francis",359.2,309.8,415,188.1,159,221.7,"Arkansas","St. Francis County"
"arkansas,phillips",350.2,300.2,407,205.9,175.3,241,"Arkansas","Phillips County"
"arkansas,dallas",344.5,274.9,428.7,195.5,147.9,256.7,"Arkansas","Dallas County"
"arkansas,chicot",343.1,281.3,415.3,179.2,142.8,224,"Arkansas","Chicot County"
"arkansas,lee",335.6,269.5,413.8,185.5,143.2,238.8,"Arkansas","Lee County"
"arkansas,scott",332.7,265,414.2,179.9,138.1,232.5,"Arkansas","Scott County"
"arkansas,calhoun",329.7,240.8,448.2,207.7,147.1,291.7,"Arkansas","Calhoun County"
"arkansas,bradley",323.6,264.1,393.5,155.7,120.8,199.7,"Arkansas","Bradley County"
"arkansas,lawrence",321.5,271.7,378.6,174.2,143,211.8,"Arkansas","Lawrence County"
"arkansas,monroe",321.4,255.2,402.3,184.9,142.7,239.2,"Arkansas","Monroe County"
"arkansas,ouachita",318.8,278.8,363.6,159.3,135.1,187.4,"Arkansas","Ouachita County"
"arkansas,union",315.6,282.7,351.4,186.1,165.2,209.3,"Arkansas","Union County"
"arkansas,prairie",314.1,251.5,389.5,168.4,128,220.8,"Arkansas","Prairie County"
"arkansas,jackson",311.8,261.5,369.9,169.6,139.3,206.3,"Arkansas","Jackson County"
"arkansas,poinsett",311.8,266.4,363.8,183.4,154.8,216.4,"Arkansas","Poinsett County"
"arkansas,hempstead",310.9,263.3,365.2,172.5,143.4,206.5,"Arkansas","Hempstead County"
"arkansas,yell",310.7,264.1,363.5,194.7,162.6,232.2,"Arkansas","Yell County"
"arkansas,logan",309,265.5,358.3,146.9,120.3,178.7,"Arkansas","Logan County"
"arkansas,howard",308.9,253.2,373.7,202,163.2,248.6,"Arkansas","Howard County"
"arkansas,jefferson",308.7,282.7,336.6,168.7,152.7,186,"Arkansas","Jefferson County"
"arkansas,ashley",307.8,262.2,359.6,211.3,179.1,248.2,"Arkansas","Ashley County"
"arkansas,searcy",307.4,243.2,386.9,142.3,104.1,195.4,"Arkansas","Searcy County"
"arkansas,mississippi",305.3,271.2,343.1,197.7,175.2,222.6,"Arkansas","Mississippi County"
"arkansas,randolph",305.3,257.7,360.3,175.1,144.2,212,"Arkansas","Randolph County"
"arkansas,grant",305.2,247.6,373.8,156.7,123.1,197.6,"Arkansas","Grant County"
"arkansas,columbia",302,258.9,350.5,200.3,171.1,234,"Arkansas","Columbia County"
"arkansas,polk",301.8,258.3,351.4,193.2,162.2,229.8,"Arkansas","Polk County"
"arkansas,newton",300.2,234.1,381.8,137.5,97.3,194.5,"Arkansas","Newton County"
"arkansas,sevier",295.2,238.6,362.5,169.2,133.1,213.4,"Arkansas","Sevier County"
"arkansas,clay",292.4,246.5,345.3,169.8,139.2,206.8,"Arkansas","Clay County"
"arkansas,cleveland",289.4,218.9,379.7,135.9,94,191.9,"Arkansas","Cleveland County"
"arkansas,pope",289.3,258.6,322.9,177.4,157,199.8,"Arkansas","Pope County"
"arkansas,nevada",286.8,223.3,363.9,151.1,112,202.1,"Arkansas","Nevada County"
"arkansas,sharp",284.9,242.2,335,177.1,147,213.8,"Arkansas","Sharp County"
"arkansas,drew",284.8,233.4,344.7,166.6,133.4,206.2,"Arkansas","Drew County"
"arkansas,little river",284.1,228.5,350.2,169,132.5,214.8,"Arkansas","Little River County"
"arkansas,izard",282,234.2,339.1,161.2,128.3,204.3,"Arkansas","Izard County"
"arkansas,pulaski",281.4,268.5,294.7,168.2,160.3,176.4,"Arkansas","Pulaski County"
"arkansas,white",281.3,255.1,309.7,157.3,140.5,175.8,"Arkansas","White County"
"arkansas,crawford",280.2,248.3,315.8,172.1,151,195.5,"Arkansas","Crawford County"
"arkansas,cross",280,230.6,338,203.6,169,244,"Arkansas","Cross County"
"arkansas,pike",277.5,221.7,344.4,131.5,98.4,175,"Arkansas","Pike County"
"arkansas,hot spring",276.8,240.2,317.8,165.7,141.4,193.7,"Arkansas","Hot Spring County"
"arkansas,arkansas",276.2,231.6,327.5,190.3,159.1,226.7,"Arkansas","Arkansas County"
"arkansas,miller",274.2,239.7,312.8,160.7,139.2,185,"Arkansas","Miller County"
"arkansas,independence",272.4,237.5,311.6,166.7,143.3,193.3,"Arkansas","Independence County"
"arkansas,sebastian",269.7,249.1,291.6,167.8,154.4,182.1,"Arkansas","Sebastian County"
"arkansas,franklin",268.6,223.3,321.1,146.3,117,182.1,"Arkansas","Franklin County"
"arkansas,washington",268.5,248.6,289.7,166.7,153.9,180.3,"Arkansas","Washington County"
"arkansas,craighead",268.2,242.6,296,168.3,151.8,186.2,"Arkansas","Craighead County"
"arkansas,conway",268.1,225.1,317.9,147.4,119.9,180.5,"Arkansas","Conway County"
"arkansas,lonoke",267.6,234.8,304.1,177.9,156,202,"Arkansas","Lonoke County"
"arkansas,van buren",262.2,221.8,309.8,175.8,144.9,213.9,"Arkansas","Van Buren County"
"arkansas,cleburne",260.1,224.4,301,149.9,126.4,178.3,"Arkansas","Cleburne County"
"arkansas,lafayette",255.6,194.6,332.8,203.9,154.8,266.9,"Arkansas","Lafayette County"
"arkansas,stone",255.5,205.9,316.6,172.7,133.4,223.4,"Arkansas","Stone County"
"arkansas,madison",254.9,205.1,313.8,144.7,111.2,187,"Arkansas","Madison County"
"arkansas,desha",254.4,203.2,315.9,170.7,136,212.9,"Arkansas","Desha County"
"arkansas,carroll",253.9,216.4,296.4,141.4,117.7,169.6,"Arkansas","Carroll County"
"arkansas,baxter",252.9,228.2,280.9,167.9,149.2,189.8,"Arkansas","Baxter County"
"arkansas,greene",252.4,218.6,290.7,141.9,121,165.8,"Arkansas","Greene County"
"arkansas,garland",250.4,232.2,269.8,157.5,144.6,171.5,"Arkansas","Garland County"
"arkansas,lincoln",249.8,193.5,319.9,149,111.2,197.3,"Arkansas","Lincoln County"
"arkansas,johnson",249.5,208.3,297.4,172.9,143.1,207.8,"Arkansas","Johnson County"
"arkansas,clark",247.9,206.6,295.7,167.1,138.1,201.5,"Arkansas","Clark County"
"arkansas,marion",245.9,204.8,295.4,163.2,133.6,201.9,"Arkansas","Marion County"
"arkansas,saline",243.9,220.9,269.2,156,140.4,173.1,"Arkansas","Saline County"
"arkansas,boone",243.5,212.5,278.2,164.5,142.2,190.1,"Arkansas","Boone County"
"arkansas,perry",242.8,184.2,316.6,180,135.4,236.6,"Arkansas","Perry County"
"arkansas,faulkner",241.1,215.1,269.9,144.4,128.2,162.1,"Arkansas","Faulkner County"
"arkansas,fulton",230.7,185.6,286.9,165.7,130.8,211.4,"Arkansas","Fulton County"
"arkansas,montgomery",223,171.9,288.8,128.1,93.1,177.9,"Arkansas","Montgomery County"
"arkansas,benton",208.9,194.3,224.4,138.9,128.3,150.3,"Arkansas","Benton County"
"california,yuba",306.7,274.5,342.1,192.8,170.5,217.2,"California","Yuba County"
"california,del norte",293.8,252.3,340.8,151.1,124.3,183.1,"California","Del Norte County"
"california,tehama",267.5,241.8,295.3,186.4,166.9,207.9,"California","Tehama County"
"california,lake",262.3,239.4,287.2,184,166.4,203.5,"California","Lake County"
"california,humboldt",259.3,240.5,279.2,190.4,176.4,205.4,"California","Humboldt County"
"california,butte",248.1,234.7,262,169.6,159.7,180,"California","Butte County"
"california,shasta",246.6,231.9,262,166,155.4,177.3,"California","Shasta County"
"california,colusa",246.3,199.2,301.9,141.6,109.6,180.6,"California","Colusa County"
"california,san bernardino",240,233.9,246.1,167.6,163.4,172,"California","San Bernardino County"
"california,sierra",239.1,156,380.5,160.2,98.2,274.7,"California","Sierra County"
"california,napa",238.8,222.5,256.1,164.9,152.7,178,"California","Napa County"
"california,merced",236.9,220.7,254.1,154.3,143.1,166.1,"California","Merced County"
"california,siskiyou",235.8,210.8,263.8,169.8,150.2,192.4,"California","Siskiyou County"
"california,tuolumne",234.9,212.4,259.8,177,158.5,198,"California","Tuolumne County"
"california,stanislaus",234.8,224.3,245.6,172.1,164.5,180.1,"California","Stanislaus County"
"california,san joaquin",234.6,225.5,244.1,164.6,157.9,171.5,"California","San Joaquin County"
"california,plumas",233.6,198.4,275.5,202.4,171.6,240.1,"California","Plumas County"
"california,inyo",233,194.9,278.8,158,129.3,194.2,"California","Inyo County"
"california,kern",231,222.1,240.3,174.3,167.5,181.3,"California","Kern County"
"california,placer",231,218.9,243.6,162.7,153.8,171.9,"California","Placer County"
"california,sacramento",230.4,224.3,236.7,170.4,165.9,175,"California","Sacramento County"
"california,solano",229.6,218.1,241.5,166.7,158.5,175.3,"California","Solano County"
"california,mendocino",229.5,209.5,251,179.5,163.7,196.6,"California","Mendocino County"
"california,amador",228.6,201.2,260,169.5,147.8,195.3,"California","Amador County"
"california,mariposa",226.5,188,273.8,157.8,127.4,196.3,"California","Mariposa County"
"california,alameda",223.3,217.5,229.2,159.4,155.3,163.6,"California","Alameda County"
"california,yolo",222.9,205.8,241.1,163.2,150.6,176.6,"California","Yolo County"
"california,sonoma",221.6,212.5,231,171.3,164.4,178.5,"California","Sonoma County"
"california,imperial",221.3,203.4,240.7,137.6,124.8,151.5,"California","Imperial County"
"california,el dorado",220.1,204.7,236.4,171.2,159.1,184.2,"California","El Dorado County"
"california,kings",219.3,197.8,242.7,148.6,133,165.5,"California","Kings County"
"california,san diego",218.1,214.2,222.1,158.3,155.4,161.2,"California","San Diego County"
"california,sutter",218.1,196.1,242.2,162.8,146.4,180.7,"California","Sutter County"
"california,san francisco",217.7,210.9,224.7,146.6,141.7,151.6,"California","San Francisco County"
"california,calaveras",217.2,192.2,245.7,131.4,114,152.1,"California","Calaveras County"
"california,fresno",216.6,208.9,224.6,146.7,141.3,152.4,"California","Fresno County"
"california,riverside",215.9,211,220.9,158.6,154.8,162.5,"California","Riverside County"
"california,nevada",215.5,198.6,233.8,172.6,158.7,187.8,"California","Nevada County"
"california,tulare",213.7,202.4,225.5,159.3,150.8,168.1,"California","Tulare County"
"california,glenn",211.2,175.9,251.8,190,159.7,224.9,"California","Glenn County"
"california,madera",210.1,192.1,229.5,146.1,132.8,160.4,"California","Madera County"
"california,lassen",208.3,172.2,251.1,149.5,121.3,182.9,"California","Lassen County"
"california,contra costa",207.9,201.4,214.6,163,158.1,168,"California","Contra Costa County"
"california,san mateo",207.6,200.3,215.1,150,144.7,155.4,"California","San Mateo County"
"california,los angeles",207.1,204.8,209.4,149.8,148.2,151.4,"California","Los Angeles County"
"california,san luis obispo",205.6,194.3,217.4,147.8,139.4,156.8,"California","San Luis Obispo County"
"california,ventura",204,196.4,211.8,153.3,147.7,159,"California","Ventura County"
"california,orange",201.8,197.8,205.9,146.5,143.6,149.3,"California","Orange County"
"california,trinity",199.5,159.9,251.4,192.2,153.7,242.6,"California","Trinity County"
"california,monterey",195.1,184.8,205.8,146.1,138.4,154.1,"California","Monterey County"
"california,santa barbara",189.3,180.3,198.8,143.3,136.3,150.5,"California","Santa Barbara County"
"california,santa cruz",186.6,174.1,199.9,150.9,141.4,161,"California","Santa Cruz County"
"california,marin",183.7,172.8,195.2,151.7,143.3,160.7,"California","Marin County"
"california,san benito",183,154.3,216.2,150.5,127.6,176.3,"California","San Benito County"
"california,santa clara",183,177.9,188.1,137.1,133.4,140.8,"California","Santa Clara County"
"california,modoc",173.3,127.7,233.9,147.7,107.6,203.7,"California","Modoc County"
"california,mono",151.9,97.5,235.3,120.6,73.9,190.7,"California","Mono County"
"colorado,kiowa",361.6,209.8,618.9,NA,NA,NA,"Colorado","Kiowa County"
"colorado,ouray",345.6,185.3,618.1,NA,NA,NA,"Colorado","Ouray County"
"colorado,sedgwick",311.5,206.7,471.3,165.1,92.9,298.9,"Colorado","Sedgwick County"
"colorado,baca",304.8,223,419.5,149.8,91.7,244.1,"Colorado","Baca County"
"colorado,prowers",296,236.5,367,147.8,112.1,192.7,"Colorado","Prowers County"
"colorado,gilpin",270.8,147.5,497.6,NA,NA,NA,"Colorado","Gilpin County"
"colorado,huerfano",266.1,204.8,345.4,145.4,102.4,207.3,"Colorado","Huerfano County"
"colorado,crowley",248.8,162.5,368.1,NA,NA,NA,"Colorado","Crowley County"
"colorado,denver",235.1,225.7,244.9,158.7,152.3,165.4,"Colorado","Denver County"
"colorado,mesa",234.4,217.3,252.6,148.9,136.9,161.8,"Colorado","Mesa County"
"colorado,gunnison",231.7,163.5,323.6,167.2,116.8,233.8,"Colorado","Gunnison County"
"colorado,adams",228.9,215.2,243.5,159.6,150.4,169.3,"Colorado","Adams County"
"colorado,montrose",228.8,198.6,262.6,153.7,131.5,179.2,"Colorado","Montrose County"
"colorado,costilla",226.8,142.7,357.8,NA,NA,NA,"Colorado","Costilla County"
"colorado,fremont",223.7,197.1,253.2,175.2,153.6,199.7,"Colorado","Fremont County"
"colorado,montezuma",223.5,183.6,270.9,166,137.8,199.3,"Colorado","Montezuma County"
"colorado,pueblo",222,206.6,238.4,143.4,132.6,155,"Colorado","Pueblo County"
"colorado,las animas",221,179.4,270.9,131.2,102.5,167.8,"Colorado","Las Animas County"
"colorado,moffat",220.7,162.2,296.6,142.3,102.6,193.7,"Colorado","Moffat County"
"colorado,garfield",220.3,185.2,260.8,128.9,106.6,154.7,"Colorado","Garfield County"
"colorado,teller",215.3,153.5,303.3,173.4,128.8,231.5,"Colorado","Teller County"
"colorado,el paso",212,201.4,223.1,149.9,142.8,157.3,"Colorado","El Paso County"
"colorado,delta",209.4,181.4,241.5,142.7,121.1,168.6,"Colorado","Delta County"
"colorado,yuma",209,157.3,273.7,185.3,142.4,241.6,"Colorado","Yuma County"
"colorado,phillips",207.5,138.4,309.5,146.9,93.1,231,"Colorado","Phillips County"
"colorado,larimer",207,193.2,221.6,142.8,133.3,152.8,"Colorado","Larimer County"
"colorado,rio grande",204.9,157.4,263.9,143.2,107.3,189.6,"Colorado","Rio Grande County"
"colorado,weld",204.4,188,222,151.5,139.6,164.2,"Colorado","Weld County"
"colorado,jefferson",198.8,189.3,208.6,142.9,136.4,149.8,"Colorado","Jefferson County"
"colorado,kit carson",195.9,139.1,269.2,178.2,129.5,244.3,"Colorado","Kit Carson County"
"colorado,boulder",193,178.9,208,141.3,131.6,151.5,"Colorado","Boulder County"
"colorado,logan",193,156.3,236.4,147,118,182.3,"Colorado","Logan County"
"colorado,arapahoe",192.4,182.4,203,149.7,142.6,157.2,"Colorado","Arapahoe County"
"colorado,morgan",191.6,158,230.6,150.3,124.1,181,"Colorado","Morgan County"
"colorado,lake",191,110.3,332.1,NA,NA,NA,"Colorado","Lake County"
"colorado,conejos",190.4,136.8,260.8,154.3,108.5,216.4,"Colorado","Conejos County"
"colorado,douglas",190.4,165.2,219.4,137.1,120.4,155.7,"Colorado","Douglas County"
"colorado,otero",189.4,154.2,231.4,162.4,133.4,197.2,"Colorado","Otero County"
"colorado,washington",187.1,124.8,278.4,150.5,97.3,235.2,"Colorado","Washington County"
"colorado,rio blanco",186.1,111,302.2,193.5,129.2,282.2,"Colorado","Rio Blanco County"
"colorado,chaffee",183.2,146.2,229.1,110.8,85,145.7,"Colorado","Chaffee County"
"colorado,elbert",178.4,128.4,244,194.1,143.9,257.6,"Colorado","Elbert County"
"colorado,bent",173,113.2,256,198.2,135.1,286.2,"Colorado","Bent County"
"colorado,alamosa",161.8,115.6,221.7,139.7,102.6,186.3,"Colorado","Alamosa County"
"colorado,la plata",160.3,132.6,192.9,126.7,105.6,151,"Colorado","La Plata County"
"colorado,routt",159.1,100.8,243.6,146.7,102.9,204.9,"Colorado","Routt County"
"colorado,park",152.6,101.5,228.6,151.7,98.4,231.8,"Colorado","Park County"
"colorado,custer",143,80.7,308.6,NA,NA,NA,"Colorado","Custer County"
"colorado,clear creek",139.8,81.9,235.8,163.7,104.4,248.6,"Colorado","Clear Creek County"
"colorado,saguache",137.2,79.8,227.3,191.1,127.7,278.2,"Colorado","Saguache County"
"colorado,archuleta",133.7,90.2,203.9,173.9,121.6,242.7,"Colorado","Archuleta County"
"colorado,pitkin",129.1,79.3,208.6,85.9,51.5,141,"Colorado","Pitkin County"
"colorado,eagle",112.6,69.2,185.3,90,57.9,136.7,"Colorado","Eagle County"
"colorado,grand",108,66.9,173.7,134.8,88.7,204.2,"Colorado","Grand County"
"colorado,summit",76.5,34.6,160.9,119.3,62.2,216.9,"Colorado","Summit County"
"connecticut,windham",286,264.2,309.3,183.2,168.4,199,"Connecticut","Windham County"
"connecticut,new haven",240.5,233.6,247.6,164.3,159.5,169.3,"Connecticut","New Haven County"
"connecticut,tolland",232.6,213.9,252.6,158,144.8,172.1,"Connecticut","Tolland County"
"connecticut,hartford",229.4,222.8,236.1,157,152.4,161.7,"Connecticut","Hartford County"
"connecticut,new london",227.7,215.3,240.7,168.4,159.3,178,"Connecticut","New London County"
"connecticut,middlesex",223.2,208,239.3,149.7,139.1,161.1,"Connecticut","Middlesex County"
"connecticut,litchfield",220.4,206.7,234.8,158.1,148.2,168.7,"Connecticut","Litchfield County"
"connecticut,fairfield",212.2,205.7,218.9,157.3,152.7,162.1,"Connecticut","Fairfield County"
"delaware,kent",280.1,259.3,302.3,174.4,160.7,188.9,"Delaware","Kent County"
"delaware,new castle",256.4,246.2,266.9,176.9,169.9,184.1,"Delaware","New Castle County"
"delaware,sussex",243.3,229.2,258.2,174.8,164.2,186,"Delaware","Sussex County"
"delaware,district of columbia",299.1,288.8,309.8,187.8,181.2,194.6,"Delaware","District of Columbia"
"florida,union",629.1,528.8,752.8,206.6,150.5,277.8,"Florida","Union County"
"florida,taylor",346.7,291.2,410.9,192,157.7,232.6,"Florida","Taylor County"
"florida,hamilton",339.9,271.3,424.8,194.6,148.8,251.5,"Florida","Hamilton County"
"florida,gadsden",320.1,283.8,360.2,177.2,154.8,202,"Florida","Gadsden County"
"florida,baker",311.5,252.8,383.5,201.7,164.1,245.9,"Florida","Baker County"
"florida,putnam",305.7,281.7,331.7,188.3,171.5,206.8,"Florida","Putnam County"
"florida,suwannee",303.7,269.5,341.7,149.1,128.1,173.3,"Florida","Suwannee County"
"florida,columbia",302.2,273.8,333.3,180.3,160.4,202.3,"Florida","Columbia County"
"florida,dixie",298.7,246.1,362.2,196.4,155.7,247,"Florida","Dixie County"
