"","month","day","year","max.temp","record.max","normal.max","min.temp","record.min","normal.min","precip","record.precip","normal.precip","time.max","time.min"
"36","February",5,2007,45,62,48,42,14,37,NA,0.96,0.16,1434,1013
"37","February",6,2007,48,64,48,41,18,37,0.03,1.54,0.16,1646,939
"38","February",7,2007,51,66,49,43,20,37,0,2.58,0.15,1659,525
"39","February",8,2007,53,68,49,42,22,37,0.01,3.06,0.15,1349,701
"40","February",9,2007,57,62,49,42,26,37,0.08,2.98,0.15,1553,639
"41","February",10,2007,56,65,49,42,24,37,NA,0.96,0.15,1424,607
"42","February",11,2007,54,62,49,45,27,37,0.11,0.81,0.15,1434,851
"43","February",12,2007,53,66,49,42,21,37,0,1.23,0.15,1356,727
"44","February",13,2007,51,59,49,41,18,37,0.02,1.4,0.15,1617,711
"45","February",14,2007,46,63,49,40,22,37,0.15,0.74,0.15,1122,128
"46","February",15,2007,53,65,50,46,13,37,0.12,0.94,0.15,1501,600
"47","February",16,2007,51,58,50,43,13,37,0.01,1.83,0.15,1520,725
"48","February",17,2007,58,58,50,44,23,37,NA,0.65,0.15,1436,732
"49","February",18,2007,46,62,50,41,20,37,NA,1.63,0.15,1357,740
"50","February",19,2007,46,67,50,41,22,37,0.17,1.76,0.15,1553,237
"51","February",20,2007,44,62,50,37,25,37,0.25,0.74,0.15,41,1412
"52","February",21,2007,50,67,50,34,25,37,0.02,0.97,0.14,1528,610
"53","February",22,2007,48,64,50,37,30,38,0.13,0.71,0.14,1513,718
"54","February",23,2007,44,61,51,35,28,38,0.01,1.16,0.14,1552,809
"55","February",24,2007,44,62,51,36,25,38,0.36,1.55,0.14,1510,633
"56","February",25,2007,45,64,51,39,22,38,0.15,0.8,0.14,1659,231
"57","February",26,2007,47,67,51,38,18,38,0.03,1.19,0.14,1410,839
"58","February",27,2007,42,70,51,31,20,38,0,2.23,0.14,1619,709
"59","February",28,2007,41,68,51,34,24,38,0.04,1.46,0.14,1445,839
"60","March",1,2007,41,62,51,31,23,38,0,0.84,0.14,1238,733
"61","March",2,2007,43,64,51,32,22,38,0.08,1.16,0.14,1630,256
"62","March",3,2007,52,69,52,41,20,38,0.05,2.08,0.13,1659,252
"63","March",4,2007,55,68,52,41,11,38,NA,0.92,0.13,1633,636
"64","March",5,2007,59,66,52,46,13,38,0.06,2.7,0.13,1659,708
"65","March",6,2007,68,64,52,41,26,38,NA,1.18,0.13,1412,654
"66","March",7,2007,54,66,52,47,26,38,0.14,0.67,0.13,0,1251
"67","March",8,2007,50,67,52,42,28,39,0.16,1.01,0.13,1232,750
"68","March",9,2007,53,67,52,43,28,39,0.03,0.83,0.13,1259,601
"69","March",10,2007,57,68,52,47,20,39,0.08,0.87,0.13,1311,736
"70","March",11,2007,NA,65,52,NA,23,39,0.42,1.01,0.13,NA,NA
"71","March",12,2007,53,68,53,46,25,39,0.1,0.99,0.13,30,709
"72","March",13,2007,49,70,53,36,28,39,0,0.7,0.12,1336,653
"73","March",14,2007,48,64,53,38,26,39,NA,0.76,0.12,1547,708
"74","March",15,2007,47,61,53,34,30,39,0,1.2,0.12,1410,457
"75","March",16,2007,66,66,53,42,29,39,0,0.98,0.12,1545,107
"76","March",17,2007,52,65,53,47,27,39,0.09,1.05,0.12,1542,740
"77","March",18,2007,61,70,53,48,29,39,0.02,1.86,0.12,1603,729
"78","March",19,2007,51,63,54,48,27,39,0.25,1.27,0.12,1311,1659
"79","March",20,2007,50,69,54,40,26,39,0.1,0.76,0.12,1256,1449
"80","March",21,2007,51,69,54,32,29,39,NA,0.82,0.12,1437,542
"81","March",22,2007,51,68,54,44,28,40,0.07,1.81,0.11,1105,111
"82","March",23,2007,51,68,54,46,28,40,0.09,0.94,0.11,1659,638
"83","March",24,2007,53,66,54,50,30,40,0.85,0.98,0.11,114,1659
"84","March",25,2007,54,64,54,43,31,40,0.01,0.51,0.11,1608,752
"85","March",26,2007,59,70,55,36,32,40,NA,1.51,0.11,1419,535
"86","March",27,2007,50,71,55,41,26,40,0.24,0.64,0.11,1456,643
"87","March",28,2007,54,73,55,37,26,40,NA,0.53,0.11,1421,633
"88","March",29,2007,63,78,55,37,24,40,NA,0.7,0.11,1410,553
"89","March",30,2007,53,72,55,44,27,40,0.06,0.65,0.11,1121,232
"90","March",31,2007,50,75,55,41,30,40,0.18,0.57,0.1,1348,806
