"","female","age","educcats","racecats","married"
"73",FALSE,33,4,1,TRUE
"74",FALSE,56,4,1,TRUE
"75",FALSE,45,4,2,FALSE
"76",FALSE,42,4,3,TRUE
"77",TRUE,28,4,1,TRUE
"78",FALSE,53,2,1,FALSE
"79",FALSE,39,1,3,TRUE
"80",FALSE,51,4,1,TRUE
"81",FALSE,26,4,1,TRUE
"82",TRUE,18,2,1,FALSE
"83",TRUE,55,2,1,TRUE
"84",FALSE,64,3,1,TRUE
"85",FALSE,42,2,1,TRUE
"86",TRUE,71,2,1,FALSE
"87",FALSE,43,3,2,TRUE
"88",FALSE,68,3,1,TRUE
"89",FALSE,72,3,1,FALSE
"90",FALSE,74,2,5,TRUE
"91",TRUE,55,2,1,TRUE
"92",TRUE,53,4,1,TRUE
"93",TRUE,67,2,1,FALSE
"94",TRUE,47,2,1,TRUE
"95",TRUE,28,5,1,TRUE
"96",TRUE,32,4,5,TRUE
"97",FALSE,38,4,3,TRUE
"98",TRUE,42,1,3,FALSE
"99",FALSE,38,1,1,TRUE
"100",FALSE,64,1,2,TRUE
"101",TRUE,44,4,1,TRUE
"102",FALSE,18,2,3,FALSE
"103",TRUE,61,4,1,TRUE
"104",FALSE,67,5,1,TRUE
"105",FALSE,75,5,1,TRUE
"106",FALSE,70,2,1,TRUE
"107",TRUE,27,4,5,TRUE
"108",FALSE,42,2,1,TRUE
"109",TRUE,45,2,1,TRUE
"110",TRUE,62,1,1,TRUE
"111",TRUE,47,5,1,TRUE
"112",TRUE,27,2,3,FALSE
"113",TRUE,28,2,2,TRUE
"114",TRUE,58,5,2,FALSE
"115",TRUE,34,3,2,FALSE
"116",TRUE,42,4,1,FALSE
"117",TRUE,24,3,2,FALSE
"118",TRUE,43,4,5,FALSE
"119",TRUE,43,3,4,TRUE
"120",TRUE,72,2,1,FALSE
"121",FALSE,22,3,3,FALSE
"122",TRUE,73,2,1,FALSE
"123",FALSE,61,5,1,TRUE
"124",FALSE,55,2,1,TRUE
"125",FALSE,43,4,3,TRUE
"126",TRUE,25,3,5,FALSE
"127",FALSE,21,3,1,FALSE
"128",FALSE,19,3,1,FALSE
"129",FALSE,45,4,1,TRUE
"130",FALSE,62,5,1,TRUE
"131",TRUE,52,2,1,FALSE
"132",FALSE,51,2,2,TRUE
"133",FALSE,20,4,1,FALSE
"134",TRUE,24,3,1,TRUE
"135",FALSE,88,5,1,FALSE
"136",FALSE,32,1,5,TRUE
"137",TRUE,66,2,1,TRUE
"138",FALSE,73,4,1,TRUE
"139",FALSE,21,2,1,FALSE
"140",TRUE,63,2,1,TRUE
"141",FALSE,77,3,1,TRUE
"142",TRUE,77,2,1,FALSE
"143",TRUE,26,5,1,TRUE
"144",FALSE,52,4,1,TRUE
"145",TRUE,67,2,1,TRUE
"146",FALSE,68,5,1,TRUE
"147",TRUE,47,2,1,FALSE
"148",FALSE,46,4,1,TRUE
"149",FALSE,64,2,1,TRUE
"150",TRUE,51,3,1,TRUE
"151",TRUE,46,2,1,TRUE
"152",FALSE,23,3,1,FALSE
"153",TRUE,39,4,1,FALSE
"154",TRUE,22,3,3,FALSE
"155",TRUE,28,4,1,TRUE
"156",TRUE,74,4,1,TRUE
"157",TRUE,68,2,1,TRUE
"158",TRUE,23,2,1,TRUE
"159",TRUE,29,4,1,TRUE
"160",TRUE,80,3,1,FALSE
"161",TRUE,43,5,1,FALSE
"162",TRUE,58,3,1,TRUE
"163",FALSE,55,5,1,TRUE
"164",TRUE,78,1,3,TRUE
"165",TRUE,58,4,1,TRUE
"166",TRUE,45,5,1,FALSE
"167",TRUE,49,4,1,FALSE
"168",TRUE,29,1,1,FALSE
"169",TRUE,58,5,2,FALSE
"170",TRUE,27,2,1,TRUE
"171",TRUE,40,2,1,FALSE
"172",FALSE,34,4,1,TRUE
"173",FALSE,23,4,3,FALSE
"174",FALSE,62,2,6,FALSE
"175",TRUE,18,1,2,FALSE
"176",FALSE,19,2,1,FALSE
"177",FALSE,66,1,1,TRUE
"178",FALSE,81,3,2,FALSE
"179",FALSE,25,4,1,FALSE
"180",FALSE,53,4,1,TRUE
"181",FALSE,28,4,1,TRUE
"182",TRUE,36,5,1,TRUE
"183",TRUE,47,4,1,TRUE
"184",FALSE,44,3,5,FALSE
"185",TRUE,37,4,2,TRUE
"186",TRUE,63,1,1,FALSE
"187",FALSE,37,4,1,TRUE
"188",TRUE,71,2,1,FALSE
"189",FALSE,47,4,2,FALSE
"190",FALSE,38,1,1,TRUE
"191",TRUE,56,2,1,FALSE
"192",FALSE,44,3,1,TRUE
"193",FALSE,64,4,1,TRUE
"194",FALSE,59,4,1,TRUE
"195",FALSE,55,2,3,FALSE
"196",TRUE,35,3,1,FALSE
"197",TRUE,31,3,1,TRUE
"198",TRUE,47,3,1,FALSE
"199",FALSE,21,3,1,FALSE
"200",TRUE,76,1,1,FALSE
"201",FALSE,62,5,1,TRUE
"202",FALSE,86,5,1,TRUE
"203",TRUE,43,3,1,TRUE
"204",FALSE,56,3,1,FALSE
"205",TRUE,20,3,1,FALSE
"206",TRUE,34,2,1,TRUE
"207",TRUE,23,3,1,FALSE
"208",FALSE,45,1,4,TRUE
"209",FALSE,58,5,5,TRUE
"210",FALSE,19,3,3,FALSE
"211",TRUE,53,3,1,FALSE
"212",FALSE,24,2,1,FALSE
"213",FALSE,30,3,1,TRUE
"214",TRUE,50,4,4,TRUE
"215",TRUE,63,1,1,TRUE
"216",FALSE,47,4,2,FALSE
"217",TRUE,73,3,1,TRUE
"218",TRUE,41,2,1,FALSE
"219",FALSE,62,5,1,TRUE
"220",TRUE,82,2,1,FALSE
"221",FALSE,21,3,1,FALSE
"222",FALSE,38,4,4,FALSE
"223",TRUE,50,4,1,FALSE
"224",TRUE,66,3,1,TRUE
"225",FALSE,59,3,1,TRUE
"226",FALSE,63,4,2,TRUE
"227",TRUE,25,4,4,FALSE
"228",TRUE,38,3,1,TRUE
"229",TRUE,28,2,2,FALSE
"230",FALSE,67,4,1,TRUE
"231",FALSE,60,3,2,TRUE
"232",TRUE,62,3,1,TRUE
"233",FALSE,48,4,1,TRUE
"234",FALSE,44,2,1,TRUE
"235",FALSE,59,2,1,TRUE
"236",TRUE,39,3,2,FALSE
"237",TRUE,82,3,1,FALSE
"238",TRUE,61,1,2,FALSE
"239",TRUE,54,5,2,TRUE
"240",FALSE,51,3,1,FALSE
"241",TRUE,35,2,2,FALSE
"242",TRUE,54,2,1,FALSE
"243",FALSE,58,4,1,FALSE
"244",FALSE,27,5,1,TRUE
"245",TRUE,58,4,1,TRUE
"246",FALSE,40,4,2,FALSE
"247",FALSE,22,2,5,TRUE
"248",FALSE,19,1,1,FALSE
"249",TRUE,68,1,1,FALSE
"250",FALSE,65,3,1,FALSE
"251",FALSE,76,3,1,TRUE
"252",FALSE,69,5,1,TRUE
"253",TRUE,25,2,2,FALSE
"254",TRUE,65,3,1,TRUE
"255",FALSE,56,2,1,FALSE
"256",FALSE,39,4,1,TRUE
"257",TRUE,82,2,1,TRUE
"258",TRUE,77,1,1,FALSE
"259",TRUE,23,3,1,TRUE
"260",FALSE,51,4,1,FALSE
"261",TRUE,40,5,1,FALSE
"262",TRUE,78,5,1,FALSE
"263",FALSE,48,2,1,TRUE
"264",TRUE,46,2,2,TRUE
"265",FALSE,73,4,1,TRUE
"266",FALSE,51,2,1,FALSE
"267",FALSE,50,1,2,FALSE
"268",TRUE,37,5,1,FALSE
"269",FALSE,56,2,1,TRUE
"270",TRUE,46,3,1,TRUE
"271",FALSE,20,3,3,FALSE
"272",FALSE,30,4,1,FALSE
"273",TRUE,25,3,1,FALSE
"274",TRUE,65,1,1,FALSE
"275",TRUE,31,4,1,FALSE
"276",FALSE,70,2,6,TRUE
"277",FALSE,52,3,1,TRUE
"278",TRUE,22,3,1,FALSE
"279",FALSE,38,4,1,TRUE
"280",TRUE,53,3,1,TRUE
"281",TRUE,48,4,2,FALSE
"282",TRUE,29,4,1,TRUE
"283",FALSE,52,2,1,FALSE
"284",FALSE,60,2,1,TRUE
"285",FALSE,80,4,1,TRUE
"286",TRUE,57,2,1,TRUE
"287",FALSE,63,1,1,FALSE
"288",TRUE,61,3,1,FALSE
"289",FALSE,36,1,3,TRUE
"290",FALSE,23,3,3,FALSE
"291",FALSE,78,4,1,TRUE
"292",FALSE,28,3,1,TRUE
"293",TRUE,26,2,1,TRUE
"294",FALSE,35,4,2,TRUE
"295",FALSE,66,5,5,TRUE
"296",TRUE,50,4,1,TRUE
"297",FALSE,34,2,3,FALSE
"298",FALSE,60,5,2,TRUE
"299",FALSE,50,2,1,FALSE
"300",TRUE,45,3,1,TRUE
"301",FALSE,54,1,1,TRUE
"302",TRUE,42,2,6,TRUE
"303",TRUE,25,3,1,TRUE
"304",TRUE,31,5,1,TRUE
"305",TRUE,30,4,1,FALSE
"306",TRUE,41,4,1,TRUE
"307",FALSE,55,4,2,TRUE
"308",FALSE,62,2,1,TRUE
"309",TRUE,74,2,1,TRUE
"310",FALSE,47,5,1,TRUE
"311",TRUE,41,3,1,TRUE
"312",FALSE,48,2,1,FALSE
"313",FALSE,71,2,1,TRUE
"314",FALSE,38,2,2,FALSE
"315",FALSE,39,4,1,FALSE
"316",FALSE,61,5,1,TRUE
"317",TRUE,73,2,1,FALSE
"318",TRUE,41,1,3,FALSE
"319",FALSE,41,3,3,TRUE
"320",FALSE,41,2,2,FALSE
"321",TRUE,24,4,1,TRUE
"322",TRUE,28,4,1,TRUE
"323",FALSE,49,4,1,FALSE
"324",FALSE,58,5,1,TRUE
"325",FALSE,27,3,1,FALSE
"326",FALSE,57,2,2,FALSE
"327",FALSE,52,1,1,TRUE
"328",FALSE,54,4,2,TRUE
"329",TRUE,35,4,1,FALSE
"330",TRUE,53,4,1,FALSE
"331",FALSE,45,2,1,TRUE
"332",TRUE,19,2,2,FALSE
"333",FALSE,37,4,3,TRUE
"334",TRUE,38,4,2,TRUE
"335",TRUE,78,2,1,TRUE
"336",TRUE,57,3,1,TRUE
"337",TRUE,55,2,1,FALSE
"338",FALSE,32,3,3,FALSE
"339",FALSE,24,3,5,FALSE
"340",TRUE,47,4,1,TRUE
"341",FALSE,46,3,1,TRUE
"342",TRUE,22,4,1,FALSE
"343",TRUE,51,2,1,FALSE
"344",FALSE,39,3,2,FALSE
"345",TRUE,46,3,1,TRUE
"346",FALSE,38,3,2,TRUE
"347",FALSE,20,2,2,FALSE
"348",FALSE,53,4,1,TRUE
"349",TRUE,82,1,2,FALSE
"350",FALSE,33,4,1,TRUE
"351",TRUE,62,4,1,FALSE
"352",TRUE,72,2,1,FALSE
"353",FALSE,44,2,1,FALSE
"354",FALSE,76,5,1,FALSE
"355",TRUE,31,3,1,TRUE
"356",TRUE,24,4,4,FALSE
"357",TRUE,78,1,1,TRUE
"358",TRUE,70,2,2,TRUE
"359",FALSE,28,3,1,TRUE
"360",TRUE,70,2,1,TRUE
"361",FALSE,69,1,1,TRUE
"362",TRUE,56,4,1,FALSE
"363",TRUE,32,2,1,FALSE
"364",TRUE,35,4,1,TRUE
"365",TRUE,53,5,1,FALSE
"366",FALSE,79,3,1,TRUE
"367",FALSE,83,1,1,FALSE
"368",TRUE,63,5,1,FALSE
"369",FALSE,28,3,2,FALSE
"370",FALSE,44,2,1,FALSE
"371",TRUE,38,3,1,FALSE
"372",FALSE,24,2,1,FALSE
"373",FALSE,41,2,2,TRUE
"374",FALSE,46,2,1,TRUE
"375",TRUE,39,3,1,TRUE
"376",TRUE,62,4,2,TRUE
"377",FALSE,63,2,1,FALSE
"378",FALSE,33,1,1,TRUE
"379",FALSE,54,2,1,FALSE
"380",TRUE,27,3,1,TRUE
"381",FALSE,27,3,1,FALSE
"382",TRUE,75,5,1,FALSE
"383",TRUE,42,2,3,TRUE
"384",TRUE,88,2,2,FALSE
"385",FALSE,52,1,2,FALSE
"386",TRUE,46,1,3,TRUE
"387",TRUE,25,2,1,FALSE
"388",TRUE,49,4,1,FALSE
"389",TRUE,58,4,2,TRUE
"390",TRUE,28,3,1,FALSE
"391",TRUE,27,3,4,TRUE
"392",TRUE,50,4,2,FALSE
"393",FALSE,74,5,1,TRUE
"394",TRUE,59,3,1,FALSE
"395",FALSE,49,5,1,TRUE
"396",TRUE,41,2,1,TRUE
"397",TRUE,33,4,1,FALSE
"398",FALSE,51,1,2,TRUE
"399",TRUE,50,4,1,FALSE
"400",TRUE,72,3,1,TRUE
"401",TRUE,65,2,2,FALSE
"402",TRUE,55,5,1,FALSE
"403",TRUE,51,3,1,TRUE
"404",TRUE,88,5,1,FALSE
"405",TRUE,52,2,1,TRUE
"406",FALSE,48,4,1,TRUE
"407",TRUE,25,1,2,FALSE
"408",FALSE,62,4,1,TRUE
"409",TRUE,34,4,1,FALSE
"410",TRUE,25,2,1,TRUE
"411",FALSE,77,1,2,FALSE
"412",TRUE,65,3,1,FALSE
"413",TRUE,48,1,3,TRUE
"414",FALSE,33,2,2,FALSE
"415",TRUE,58,1,5,TRUE
"416",TRUE,46,4,1,FALSE
"417",FALSE,34,2,2,TRUE
"418",TRUE,55,2,1,TRUE
"419",TRUE,75,4,1,FALSE
"420",FALSE,24,4,1,FALSE
"421",FALSE,73,1,2,FALSE
"422",TRUE,65,2,1,FALSE
"423",FALSE,50,4,1,TRUE
"424",TRUE,63,2,1,TRUE
"425",TRUE,24,2,3,FALSE
"426",FALSE,52,4,1,TRUE
"427",TRUE,72,5,1,TRUE
"428",TRUE,31,5,2,FALSE
"429",FALSE,53,5,1,TRUE
"430",TRUE,51,3,1,FALSE
"431",TRUE,26,2,3,TRUE
"432",FALSE,42,2,3,TRUE
"433",TRUE,29,4,3,FALSE
"434",FALSE,25,3,1,TRUE
"435",TRUE,58,4,1,TRUE
"436",TRUE,34,2,1,TRUE
"437",FALSE,46,4,1,TRUE
"438",TRUE,64,2,1,TRUE
"439",TRUE,28,4,1,FALSE
"440",TRUE,57,2,2,TRUE
"441",TRUE,45,2,2,FALSE
"442",FALSE,33,2,2,FALSE
"443",FALSE,39,2,1,TRUE
"444",FALSE,68,4,1,TRUE
"445",FALSE,76,3,1,TRUE
"446",FALSE,41,3,5,FALSE
"447",TRUE,23,2,3,FALSE
"448",TRUE,45,3,3,TRUE
"449",TRUE,28,4,1,TRUE
"450",FALSE,66,4,3,TRUE
"451",TRUE,57,4,4,TRUE
"452",FALSE,64,1,1,FALSE
"453",TRUE,48,4,2,FALSE
"454",TRUE,38,4,1,TRUE
"455",FALSE,43,1,1,FALSE
"456",TRUE,68,2,1,FALSE
"457",TRUE,62,5,1,TRUE
"458",FALSE,32,4,1,TRUE
"459",FALSE,56,2,1,TRUE
"460",TRUE,55,3,1,FALSE
"461",TRUE,58,2,1,TRUE
"462",TRUE,24,4,1,FALSE
"463",FALSE,26,2,5,FALSE
"464",TRUE,81,3,1,FALSE
"465",FALSE,33,4,1,TRUE
"466",FALSE,73,3,2,FALSE
"467",FALSE,36,2,1,TRUE
"468",FALSE,65,2,1,TRUE
"469",TRUE,69,4,1,TRUE
"470",FALSE,19,1,1,FALSE
"471",FALSE,67,4,1,TRUE
"472",FALSE,40,3,1,FALSE
"473",TRUE,46,4,1,FALSE
"474",TRUE,35,4,2,FALSE
"475",TRUE,23,3,2,FALSE
"476",TRUE,79,2,1,TRUE
"477",TRUE,32,4,1,TRUE
"478",TRUE,58,2,1,FALSE
"479",TRUE,59,4,1,TRUE
"480",TRUE,53,3,1,TRUE
"481",FALSE,43,2,1,TRUE
"482",TRUE,31,4,1,TRUE
"483",TRUE,32,4,4,FALSE
"484",TRUE,28,5,1,FALSE
"485",FALSE,23,2,1,FALSE
"486",FALSE,35,4,1,TRUE
"487",TRUE,75,4,1,TRUE
"488",FALSE,22,3,5,FALSE
"489",FALSE,63,5,1,TRUE
"490",FALSE,25,1,1,FALSE
"491",TRUE,39,2,3,FALSE
"492",TRUE,24,2,1,FALSE
"493",FALSE,24,4,1,FALSE
"494",TRUE,67,2,1,TRUE
"495",FALSE,52,2,1,TRUE
"496",FALSE,56,4,1,FALSE
"497",FALSE,34,2,1,TRUE
"498",TRUE,54,2,1,TRUE
"499",TRUE,29,4,2,TRUE
"500",TRUE,56,2,1,TRUE
"501",FALSE,37,5,1,TRUE
"502",FALSE,46,3,1,TRUE
"503",TRUE,24,4,1,TRUE
"504",TRUE,35,2,1,TRUE
"505",FALSE,65,5,3,TRUE
"506",TRUE,20,1,3,FALSE
"507",TRUE,24,4,1,TRUE
"508",TRUE,35,5,1,TRUE
"509",TRUE,82,1,1,FALSE
"510",FALSE,29,2,1,FALSE
"511",TRUE,53,4,1,TRUE
"512",TRUE,45,3,1,TRUE
"513",FALSE,40,2,2,TRUE
"514",FALSE,51,3,1,TRUE
"515",TRUE,46,2,1,TRUE
"516",TRUE,60,2,2,FALSE
"517",TRUE,65,2,1,TRUE
"518",FALSE,75,2,1,TRUE
"519",TRUE,22,2,4,FALSE
"520",FALSE,49,3,1,TRUE
"521",TRUE,29,2,3,NA
"522",TRUE,29,2,2,FALSE
"523",FALSE,43,4,1,FALSE
"524",FALSE,43,1,2,FALSE
"525",TRUE,45,2,1,TRUE
"526",TRUE,76,1,1,TRUE
"527",TRUE,39,5,2,TRUE
"528",TRUE,58,4,4,TRUE
"529",TRUE,49,3,1,FALSE
"530",TRUE,51,2,1,TRUE
"531",TRUE,40,5,1,FALSE
"532",TRUE,41,4,1,TRUE
"533",FALSE,44,3,1,FALSE
"534",FALSE,43,3,1,TRUE
"535",FALSE,62,4,1,TRUE
"536",FALSE,48,5,1,TRUE
"537",TRUE,65,2,1,FALSE
"538",TRUE,23,4,3,FALSE
"539",FALSE,48,5,1,TRUE
"540",TRUE,52,2,2,TRUE
"541",TRUE,63,2,2,FALSE
"542",FALSE,69,4,1,TRUE
"543",TRUE,49,1,2,FALSE
"544",TRUE,58,3,1,TRUE
"545",FALSE,19,3,5,FALSE
"546",TRUE,79,3,1,FALSE
"547",FALSE,28,4,1,FALSE
"548",TRUE,25,1,3,FALSE
"549",TRUE,43,2,1,TRUE
"550",TRUE,76,4,1,TRUE
"551",TRUE,44,2,1,FALSE
"552",TRUE,29,4,3,FALSE
"553",FALSE,65,4,4,TRUE
"554",TRUE,20,1,1,FALSE
"555",FALSE,41,4,1,FALSE
"556",FALSE,35,2,1,TRUE
"557",FALSE,37,2,2,TRUE
"558",TRUE,38,3,1,TRUE
"559",TRUE,28,3,1,FALSE
"560",FALSE,56,4,2,FALSE
"561",TRUE,38,3,5,TRUE
"562",TRUE,57,5,1,FALSE
"563",TRUE,57,3,1,TRUE
"564",FALSE,52,2,1,FALSE
"565",FALSE,72,5,1,TRUE
"566",TRUE,70,2,1,FALSE
"567",FALSE,58,2,1,TRUE
"568",FALSE,67,5,1,FALSE
"569",TRUE,77,5,1,FALSE
"570",FALSE,42,1,3,TRUE
"571",TRUE,46,5,1,FALSE
"572",TRUE,31,5,1,TRUE
"573",FALSE,55,1,2,FALSE
"574",FALSE,28,2,1,TRUE
"575",TRUE,41,3,1,TRUE
"576",TRUE,18,2,2,FALSE
"577",TRUE,49,2,1,TRUE
"578",FALSE,56,3,1,TRUE
"579",FALSE,51,2,1,FALSE
"580",TRUE,21,3,1,FALSE
"581",TRUE,56,4,1,FALSE
"582",TRUE,47,2,1,FALSE
"583",FALSE,61,5,1,TRUE
"584",TRUE,83,2,1,FALSE
"585",TRUE,36,2,2,FALSE
"586",TRUE,63,5,1,TRUE
"587",FALSE,66,1,1,TRUE
"588",TRUE,56,4,2,TRUE
"589",TRUE,19,3,1,FALSE
"590",FALSE,34,5,3,TRUE
"591",TRUE,30,4,1,TRUE
"592",FALSE,55,3,2,FALSE
"593",TRUE,70,2,1,FALSE
"594",TRUE,48,4,2,FALSE
"595",FALSE,62,2,1,TRUE
"596",FALSE,67,2,2,FALSE
"597",TRUE,44,3,1,FALSE
"598",TRUE,48,2,1,FALSE
"599",FALSE,26,4,1,TRUE
"600",TRUE,20,3,1,FALSE
"601",FALSE,35,1,2,TRUE
"602",FALSE,63,5,1,TRUE
"603",TRUE,38,4,1,TRUE
"604",TRUE,83,5,1,TRUE
"605",TRUE,56,2,1,TRUE
"606",FALSE,56,3,2,FALSE
"607",TRUE,57,3,1,TRUE
"608",TRUE,40,4,1,FALSE
"609",TRUE,64,2,1,TRUE
"610",TRUE,57,4,1,TRUE
"611",TRUE,31,5,1,TRUE
"612",FALSE,34,4,1,FALSE
"613",TRUE,38,4,1,TRUE
"614",TRUE,27,4,1,TRUE
"615",FALSE,64,2,1,TRUE
"616",TRUE,56,5,1,TRUE
"617",FALSE,48,4,2,FALSE
"618",TRUE,57,3,1,FALSE
"619",TRUE,25,2,1,FALSE
"620",TRUE,62,2,6,TRUE
"621",FALSE,35,2,1,TRUE
"622",FALSE,63,2,1,FALSE
"623",FALSE,50,4,1,FALSE
"624",TRUE,33,5,4,TRUE
"625",FALSE,52,4,2,TRUE
"626",TRUE,84,2,1,TRUE
"627",TRUE,38,3,2,FALSE
"628",TRUE,82,2,1,FALSE
"629",TRUE,44,2,1,FALSE
"630",FALSE,22,2,1,FALSE
"631",FALSE,70,3,1,TRUE
"632",FALSE,57,4,1,TRUE
"633",FALSE,47,4,1,TRUE
"634",FALSE,56,2,1,TRUE
"635",TRUE,74,3,1,TRUE
"636",TRUE,53,2,1,TRUE
"637",FALSE,57,5,1,TRUE
"638",FALSE,27,3,1,TRUE
"639",FALSE,21,3,1,FALSE
"640",TRUE,45,5,5,FALSE
"641",TRUE,68,2,1,TRUE
"642",FALSE,22,2,1,FALSE
"643",FALSE,61,4,1,TRUE
"644",TRUE,18,1,3,FALSE
"645",TRUE,30,4,1,TRUE
"646",FALSE,64,4,1,TRUE
"647",FALSE,31,4,3,FALSE
"648",TRUE,23,2,1,FALSE
"649",TRUE,74,3,1,TRUE
"650",TRUE,54,5,1,TRUE
"651",TRUE,21,3,3,FALSE
"652",TRUE,69,1,1,FALSE
"653",TRUE,38,5,1,TRUE
"654",TRUE,33,3,1,FALSE
"655",TRUE,27,4,1,TRUE
"656",FALSE,48,5,1,FALSE
"657",TRUE,58,2,1,TRUE
"658",TRUE,62,2,1,TRUE
"659",TRUE,64,5,1,FALSE
"660",TRUE,41,4,4,TRUE
"661",FALSE,41,4,1,TRUE
"662",FALSE,23,2,1,FALSE
"663",TRUE,48,2,1,TRUE
"664",TRUE,31,2,2,FALSE
"665",FALSE,46,4,2,TRUE
"666",FALSE,84,3,1,TRUE
"667",TRUE,21,1,1,FALSE
"668",TRUE,45,2,1,TRUE
"669",TRUE,21,3,1,TRUE
"670",TRUE,78,4,1,FALSE
"671",FALSE,41,4,1,FALSE
"672",FALSE,33,2,3,TRUE
"673",FALSE,21,4,1,FALSE
"674",FALSE,37,3,1,FALSE
"675",FALSE,44,3,1,TRUE
"676",TRUE,47,2,1,TRUE
"677",FALSE,23,2,2,FALSE
"678",TRUE,36,4,1,TRUE
"679",TRUE,39,2,2,FALSE
"680",TRUE,61,5,1,TRUE
"681",FALSE,25,1,1,FALSE
"682",FALSE,27,3,1,TRUE
"683",FALSE,27,3,1,FALSE
"684",FALSE,57,5,4,TRUE
"685",FALSE,26,3,2,FALSE
"686",TRUE,46,3,2,FALSE
"687",FALSE,40,1,1,TRUE
"688",TRUE,31,4,1,TRUE
"689",FALSE,42,5,1,FALSE
"690",FALSE,42,5,1,FALSE
"691",FALSE,71,4,1,TRUE
"692",TRUE,60,5,1,TRUE
"693",TRUE,19,3,1,FALSE
"694",FALSE,49,1,1,FALSE
"695",TRUE,40,1,1,FALSE
"696",TRUE,52,2,1,TRUE
"697",FALSE,58,3,5,FALSE
"698",FALSE,61,5,4,TRUE
"699",TRUE,25,4,3,FALSE
"700",TRUE,60,2,2,FALSE
"701",TRUE,77,2,1,TRUE
"702",TRUE,63,1,1,TRUE
"703",TRUE,26,3,1,TRUE
"704",TRUE,27,3,2,FALSE
"705",FALSE,45,4,1,TRUE
"706",FALSE,56,4,1,TRUE
"707",FALSE,36,3,3,FALSE
"708",TRUE,19,1,2,FALSE
"709",TRUE,26,3,2,FALSE
"710",TRUE,61,3,1,FALSE
"711",TRUE,56,3,1,TRUE
"712",FALSE,19,2,1,FALSE
"713",FALSE,38,1,3,TRUE
"714",TRUE,48,4,1,FALSE
"715",TRUE,45,4,1,FALSE
"716",TRUE,36,3,1,TRUE
"717",TRUE,83,4,2,TRUE
"718",TRUE,65,5,1,FALSE
"719",TRUE,35,4,1,TRUE
"720",TRUE,63,3,1,FALSE
"721",TRUE,63,1,1,TRUE
"722",FALSE,29,4,1,FALSE
"723",TRUE,81,1,1,FALSE
"724",TRUE,26,2,3,TRUE
"725",FALSE,19,2,2,FALSE
"726",TRUE,25,4,1,TRUE
"727",FALSE,26,1,2,FALSE
"728",TRUE,78,1,1,FALSE
"729",TRUE,47,2,1,TRUE
"730",FALSE,57,4,1,FALSE
"731",FALSE,23,3,3,TRUE
"732",FALSE,28,4,3,FALSE
"733",TRUE,20,3,1,FALSE
"734",TRUE,19,2,1,TRUE
"735",TRUE,50,3,1,FALSE
