"","lon","lat","raw","anomaly","infill"
"81",-87.83,32.78,93,-0.42012,0
"82",-86.97,31.43,66,-0.65715,0
"83",-87.03,31.42,67,-0.60524,1
"84",-87.88,30.55,106,0.19499,0
"85",-86.55,31.1,99,0.02828,1
"86",-86.92,34.37,61,-1.12769,0
"87",-87.33,34.07,83,-0.65292,0
"88",-87.83,33.68,90,-0.60627,0
"89",-85.68,34.77,72,-1.07876,0
"90",-87.68,34.82,55,-1.19101,1
"91",-87.67,34.78,51,-1.25858,0
"92",-86.58,31.98,71,-0.50636,1
"93",-88.02,30.23,109,0.3532,0
"94",-85.72,34.43,129,0.12408,0
"95",-87.4,31.43,121,0.17406,0
"96",-86,34.02,142,0.1564,0
"97",-88.13,32.83,60,-0.98388,0
"98",-86.75,34.02,109,-0.23664,0
"99",-85.85,31.03,106,0.11597,0
"100",-86.73,31.65,87,-0.23878,1
"101",-88.33,31.88,88,-0.45214,1
"102",-86.05,33.07,68,-0.81287,0
"103",-87.2,33.65,114,-0.14224,0
"104",-87.58,32.7,70,-0.83434,0
"105",-86.63,31.83,73,-0.45335,0
"106",-87.67,30.27,95,0.08579,1
"107",-86.28,34.35,107,-0.2758,0
"108",-86.28,34.37,96,-0.47478,0
"109",-86.4,34.43,81,-0.76755,0
"110",-87.62,34.23,95,-0.56721,0
"111",-87.98,34.13,64,-1.00708,0
"112",-87.98,34.1,90,-0.55387,1
"113",-87.18,32.8,73,-0.74983,0
"114",-86.58,32.18,62,-0.67746,0
"115",-85.33,31.35,73,-0.36213,1
"116",-85.6,33.65,80,-0.73442,1
"117",-86.85,33.3,122,0.00539,0
"118",-86.32,31.95,73,-0.46291,0
"119",-85.4,33.53,84,-0.59297,0
"120",-87.93,34.33,84,-0.73219,0
"121",-87.45,33.25,101,-0.29289,1
"122",-86.58,34.72,95,-0.43714,1
"123",-86.58,34.7,109,-0.17536,1
"124",-86.12,34.82,192,1.00295,0
"125",-88.02,31.55,89,-0.33624,1
"126",-87.88,31.52,97,-0.20045,1
"127",-86.2,33.53,120,0.03077,0
"128",-85.75,33.82,54,-1.22977,0
"129",-87.27,33.9,96,-0.40167,1
"130",-86.78,32.32,73,-0.56274,1
"131",-86.25,32.62,58,-0.91,0
"132",-86.18,31.23,123,0.38838,1
"133",-85.4,32.9,51,-1.16733,0
"134",-86.52,32.97,94,-0.32133,0
"135",-86.55,33.55,130,0.1587,0
"136",-85.77,34.18,87,-0.74377,0
"137",-88.18,32.58,178,0.58536,0
"138",-86.37,31.02,118,0.32215,0
"139",-88.03,32.13,58,-0.89289,0
"140",-88.02,32.28,67,-0.75863,0
"141",-86.18,33.63,116,-0.04669,0
"142",-86.33,33.43,92,-0.40534,1
"143",-85.55,31.8,95,0.07745,1
"144",-86.75,34.7,102,-0.28479,0
"145",-86.85,33.5,122,0.04981,0
"146",-87.3,32.62,92,-0.42099,0
"147",-87.27,32.68,83,-0.59494,1
"148",-87.23,32.43,91,-0.35695,0
"149",-87.22,32.47,89,-0.39823,1
"150",-85.92,32.67,60,-0.91551,0
"151",-86,32.27,66,-0.69132,1
"152",-86.35,32.38,75,-0.49504,0
"153",-88.45,31.93,109,-0.16494,0
"154",-87.33,32.88,135,0.09471,0
"155",-87.37,32.1,92,-0.22438,0
"156",-87.42,32.1,91,-0.25071,1
"157",-88.05,33.57,95,-0.46826,1
"158",-85.9,32.45,75,-0.64253,0
"159",-87.07,32.1,82,-0.39494,1
"160",-86.45,32.8,58,-0.9152,0
"161",-88.23,30.68,147,0.56873,0
"162",-88.03,30.7,109,0.15257,0
"163",-86.52,34.75,114,-0.08778,0
"164",-86.87,33.1,88,-0.50903,0
"165",-86.4,32.3,70,-0.54711,1
"166",-87.28,34.48,50,-1.34699,0
"167",-87.3,34.48,51,-1.32083,1
"168",-87.63,33,103,-0.31653,1
"169",-87.62,34.75,43,-1.4564,0
"170",-87.27,31.72,96,-0.10151,1
"171",-87.58,34.48,68,-0.9557,1
"172",-86.43,34.9,83,-0.64467,0
"173",-86.43,34.92,91,-0.46442,1
"174",-85.62,31.33,66,-0.48503,0
"175",-86.7,33.37,117,-0.03961,1
"176",-86.48,33.95,131,-0.04407,0
"177",-85.38,32.63,59,-0.9459,1
"178",-87.23,32.3,80,-0.48228,0
"179",-85.65,31.47,89,-0.10912,0
"180",-86.33,34.67,105,-0.28177,0
"181",-86.67,33.77,155,0.42967,0
"182",-86.25,33.6,104,-0.21152,1
"183",-88.02,32.23,113,-0.07741,1
"184",-87.13,32.62,58,-0.95119,0
"185",-85.02,32.5,126,0.38431,1
"186",-88.27,33.22,100,-0.3985,0
"187",-87,31.88,84,-0.32611,1
"188",-87.6,31.98,134,0.35569,0
"189",-86.07,32.07,86,-0.2531,0
"190",-86.7,33.68,151,0.40622,1
"191",-85.17,32.18,78,-0.24122,1
"192",-86.93,32.65,70,-0.75827,0
"193",-85.92,34.95,125,0.17006,1
"194",-86.47,32.47,50,-1.01181,0
"195",-86.25,32.3,61,-0.74934,0
"196",-88.35,32.2,134,0.09806,0
"197",-88.15,34.45,79,-0.78745,1
"198",-86.6,34.58,90,-0.52719,1
"199",-88.02,33.38,117,-0.21326,0
"200",-86.53,31.37,125,0.38459,0
"201",-87.6,30.55,60,-0.54128,0
"202",-86.22,32.88,71,-0.72681,1
"203",-85.3,33.15,118,0.07082,0
"204",-87.73,34.5,68,-0.93397,1
"205",-86.82,34.17,112,-0.2246,0
"206",-85.97,34.28,97,-0.43291,1
"207",-86.97,33.72,158,0.45022,0
"208",-86.05,34.68,163,0.80097,0
"209",-86.02,34.68,169,0.91109,1
"210",-85.28,32.3,76,-0.36774,0
"211",-87,32.42,70,-0.56644,0
"212",-87.2,34.85,63,-1.09524,1
"213",-85.6,31.05,129,0.43707,1
"214",-87.02,32,90,-0.24482,0
"215",-86.03,34.4,113,-0.20183,0
"216",-88.17,30.7,149,0.60628,0
"217",-88.13,33.9,79,-0.66548,1
"218",-87.18,32.53,74,-0.63538,1
"219",-86.22,34.88,125,0.11774,0
"220",-86.28,33.17,86,-0.48583,0
"221",-86.2,33.2,87,-0.4671,1
"222",-85.82,34.57,137,0.19998,0
"223",-86.1,33.43,89,-0.44256,0
"224",-86.07,33.3,90,-0.47771,0
"225",-87.73,31.92,126,0.28176,0
"226",-86.7,32.88,80,-0.58452,1
"227",-85.9,32.53,44,-1.24206,0
"228",-86.73,34.9,100,-0.31206,0
"229",-86.73,33.82,132,0.1391,0
"230",-85.95,31.78,127,0.48092,0
"231",-87.62,33.23,104,-0.29682,0
"232",-87.58,33.22,121,-0.07071,0
"233",-85.7,32.43,65,-0.79129,0
"234",-85.75,32.02,126,0.38569,0
"235",-87.52,32.45,104,-0.12521,0
"236",-87.55,33.2,117,-0.12312,0
"237",-85.62,34.57,140,0.24622,0
"238",-87.22,33.17,119,-0.05657,0
"239",-88.12,33.75,72,-0.76336,0
"240",-85.57,33.13,85,-0.51078,0
"241",-87.23,31.2,151,0.66908,0
"242",-86.32,34.07,153,0.43243,0
"243",-88.07,34.92,65,-1.20364,0
"244",-85.8,34.13,96,-0.57049,1
"245",-87.12,33.12,97,-0.41477,0
"246",-86.2,32.53,49,-1.08667,0
"247",-87.72,31.65,84,-0.40268,0
"248",-87.35,34.78,62,-1.08639,0
"249",-85.75,34.88,104,-0.03616,1
"250",-87.62,34.8,53,-1.20497,1
"251",-87.83,33.92,88,-0.50124,0
"252",-85.9,32.57,46,-1.1986,0
"253",-87.9,34.95,69,-1.06183,1
"254",-113.18,33.95,0,-0.98947,0
"255",-112.87,32.37,0,-0.84515,0
"256",-112.83,32.45,0,-0.83431,0
"257",-113.57,34.27,0,-1.02418,0
"258",-110.85,33.5,0,-1.37364,1
"259",-113.58,34.23,0,-1.0031,1
"260",-112.12,33.5,0,-0.95562,0
"261",-109.13,33.85,1,-1.2575,0
"262",-111.07,31.72,0,-1.08344,0
"263",-111.38,31.97,0,-1.0875,0
"264",-109.23,31.72,0,-0.98777,1
"265",-111.57,33.42,0,-1.07565,1
"266",-110.25,31.9,0,-1.06128,0
"267",-111.32,31.58,0,-1.03824,1
"268",-111.98,33.5,0,-0.97617,1
"269",-111.17,32.25,0,-1.14582,1
"270",-111.87,33.97,0,-1.23226,0
"271",-112.48,35.22,2,-0.91319,0
"272",-111.25,33.1,0,-1.17959,1
"273",-113.2,34.6,6,-0.32515,0
"274",-113.17,34.58,0,-1.30247,1
"275",-113.08,34.65,1,-0.97514,1
"276",-111.37,34.03,0,-1.46224,1
"277",-111.63,33.82,0,-1.21621,0
"278",-110.77,31.93,0,-1.13297,0
"279",-112.38,33.67,0,-0.96914,1
"280",-111.18,31.42,0,-1.03781,0
"281",-111.72,34.67,0,-1.59629,1
"282",-113.93,36.9,6,-0.21635,1
"283",-109.22,33.68,2,-1.10502,0
"284",-110.28,31.97,0,-1.07415,0
"285",-110.53,36.68,6,-0.52627,0
"286",-109.92,31.45,1,-0.58618,0
"287",-109.88,31.42,0,-0.98731,1
"288",-109.77,33.48,1,-1.12518,0
"289",-109.1,33.62,0,-1.5742,1
"290",-111.18,34.62,10,-0.49529,1
"291",-110.2,32.57,0,-1.1437,0
"292",-114.02,33.95,0,-0.78949,1
"293",-109.48,32.33,0,-1.05436,0
"294",-112.07,36.2,10,-0.58411,0
"295",-112.58,33.38,1,-0.29318,0
"296",-114.6,35.12,0,-0.91648,1
"297",-112.15,34.2,0,-1.3241,1
"298",-111.53,35.27,5,-0.90127,0
"299",-111.42,35.87,0,-1.39355,1
"300",-112.87,34.8,1,-1.02166,0
"301",-110.52,31.55,0,-1.06791,0
"302",-109.53,36.15,16,0.49767,0
"303",-111.9,33.82,0,-1.11529,1
"304",-112.27,33.85,0,-1.06101,1
"305",-111.75,32.88,0,-1.01396,0
"306",-111.53,33,0,-1.05941,0
"307",-110.38,32.3,0,-1.14087,1
"308",-112.37,33.98,0,-1.14241,1
"309",-112.05,33.73,0,-1.02875,1
"310",-112.38,34.97,0,-1.56528,0
"311",-111.53,36.38,0,-1.47209,0
"312",-111.83,33.3,0,-0.98129,0
"313",-111.68,33.22,0,-1.01466,0
"314",-110.92,34.53,4,-0.84698,1
"315",-111.7,34.35,1,-1.12449,0
"316",-112.45,34.77,2,-0.81743,0
"317",-109.35,32,0,-1.02634,0
"318",-110.45,34.05,1,-1.28569,0
"319",-110.32,34.38,2,-1.00147,1
"320",-109.28,33.05,0,-1.23503,0
"321",-112.98,37,17,-0.02864,1
"322",-111.42,36.63,7,0.01247,0
"323",-112.17,34.3,0,-1.37609,0
"324",-110.25,31.35,0,-1.02921,1
"325",-111.12,32.33,0,-1.15817,0
"326",-112.03,34.73,1,-1.13418,1
"327",-112.33,34.2,1,-1.00294,1
"328",-113.53,32.8,0,-0.63503,1
"329",-113.5,32.98,0,-0.645,1
"330",-114.57,35.2,0,-0.94188,1
"331",-112.13,33.58,0,-0.96839,1
"332",-109.85,36.85,1,-0.9871,1
"333",-109.6,32.17,0,-1.05428,1
"334",-109.53,31.35,0,-0.96189,0
"335",-109.6,31.47,0,-0.97084,1
"336",-109.58,31.35,0,-0.96393,0
"337",-111.95,34.35,0,-1.44301,1
"338",-109.1,32.73,0,-1.09417,0
"339",-109.48,33.33,0,-1.43955,0
"340",-109.48,33.35,0,-1.45595,1
"341",-114.53,33.6,0,-0.66069,0
"342",-114.42,33.58,0,-0.6707,1
"343",-110.53,31.68,0,-1.07664,0
"344",-111.55,32.75,0,-1.06431,1
"345",-110.18,31.72,0,-1.03716,0
"346",-111.73,33.43,0,-1.01972,0
"347",-111.73,35.15,12,-0.67929,1
"348",-111.38,33.03,0,-1.11335,0
"349",-110.1,34.15,6,-0.74721,0
"350",-109.08,35.75,9,-0.20144,0
"351",-109.95,32.62,0,-1.13193,0
"352",-110.33,31.57,0,-1.04532,1
"353",-110,33.02,0,-1.21099,1
"354",-111.73,35.27,14,-0.53647,0
"355",-111.57,34.42,0,-1.57297,0
"356",-111.72,33.6,0,-1.06767,1
"357",-112.53,36.95,14,-0.05406,0
"358",-109.18,33.33,0,-1.43004,0
"359",-109.55,35.72,10,-0.20883,0
"360",-112.72,32.95,0,-0.82735,0
"361",-112.72,32.88,0,-0.82112,0
"362",-111.28,34.12,0,-1.54465,0
"363",-110.8,33.38,1,-0.91389,0
"364",-110.77,33.38,2,-0.75374,1
"365",-112.07,33.38,0,-0.94912,0
"366",-112.13,36.05,7,-0.73096,0
"367",-112.12,36.05,7,-0.72963,1
"368",-112.15,36.05,7,-0.68618,0
"369",-111.7,33.52,0,-1.04999,0
"370",-109.38,33.2,0,-1.33704,1
"371",-109.47,34.03,4,-0.99978,0
"372",-112.48,33.5,0,-0.92026,1
"373",-112.45,34.48,3,-0.77426,0
"374",-113.15,33.52,0,-0.83041,1
"375",-109.75,33.98,11,-0.73709,1
"376",-110.57,34.42,2,-1.02393,1
"377",-111.08,31.92,0,-1.11906,0
"378",-110.78,31.87,0,-1.12319,0
"379",-112.87,34.47,0,-1.33175,1
"380",-110.17,34.9,1,-0.90395,0
"381",-111.72,33.98,0,-1.29377,0
"382",-112.1,36.1,3,-0.6281,0
"383",-110.93,33.62,0,-1.39714,0
"384",-111.62,34.4,0,-1.55066,0
"385",-112.22,36.72,23,-0.11325,1
"386",-110.13,35.77,13,0.10234,0
"387",-112.12,34.75,5,-0.75773,0
"388",-111.75,34.97,14,-0.66526,0
"389",-111.08,36.6,1,-1.03997,0
"390",-110.27,36.73,7,-0.12615,0
"391",-110.2,35.82,15,0.22869,0
"392",-110.9,33.05,0,-1.28176,1
"393",-110.97,33.1,0,-1.28119,0
"394",-114,35.22,1,-0.82414,0
"395",-114.02,35.2,1,-0.81366,0
"396",-111.6,31.97,0,-1.0577,1
"397",-109.7,35.55,4,-0.59466,1
"398",-110.33,32.83,0,-1.18055,1
"399",-113.87,33.27,0,-0.66626,1
"400",-109.98,34.17,4,-0.97305,1
"401",-112.15,33.33,0,-0.93662,0
"402",-111.6,36.87,3,-0.53971,0
"403",-109.57,31.6,0,-0.98226,0
"404",-110.97,35.28,1,-0.8468,0
"405",-112.37,33.5,0,-0.93064,0
"406",-109.23,36.42,7,-0.18097,1
"407",-109.62,36.35,9,0.06315,1
"408",-112.03,33.12,0,-0.94987,1
"409",-112.05,33.05,0,-0.9504,0
"410",-112.28,33.6,0,-0.95693,1
"411",-109.55,33.75,4,-1.01508,1
"412",-109.85,34.07,4,-1.13283,0
"413",-111.8,33.42,0,-1.00024,0
"414",-110.88,33.4,0,-1.35066,0
"415",-113.75,32.73,0,-0.61905,0
"416",-111.83,34.62,1,-1.11957,0
"417",-110.1,36.98,0,-1.51638,1
"418",-111.45,33.55,0,-1.16927,0
"419",-110.72,32.42,0,-1.19881,1
"420",-113.3,36.42,6,-0.67946,0
"421",-111.63,34.93,8,-0.96505,1
"422",-111.45,34.32,7,-0.66272,0
"423",-109.53,35.13,3,-0.63115,1
"424",-110.68,32.12,0,-1.15679,0
"425",-110.92,31.35,0,-1.06341,0
"426",-110.95,31.33,0,-1.06019,1
"427",-110.93,31.35,0,-1.06249,1
"428",-110.78,32.6,1,-0.90212,0
"429",-110.72,32.57,0,-1.21894,1
"430",-110.62,35.87,2,-0.83091,0
"431",-112.78,31.93,0,-0.85282,0
"432",-111.45,36.92,4,-0.39613,1
"433",-109.2,31.88,2,-0.51972,1
"434",-109.77,35.07,3,-0.53065,1
"435",-111.97,33.55,0,-0.98785,1
"436",-114.22,34.22,0,-0.81115,0
"437",-110.75,31.55,0,-1.08199,0
"438",-111.27,34.4,10,-0.65694,1
"439",-111.33,34.23,4,-0.86354,0
"440",-113.42,35.53,2,-0.81608,0
"441",-109.87,31.92,0,-1.03505,1
"442",-109.87,34.8,0,-1.55191,0
"443",-112.07,33.5,0,-0.9621,0
"444",-112.03,33.43,0,-0.95839,0
"445",-112.07,33.47,0,-0.95824,1
"446",-111.47,32.87,0,-1.07956,1
"447",-114.08,35.88,6,-0.25998,1
"448",-110.98,33.35,0,-1.32757,0
"449",-110.25,34.3,1,-1.28183,0
"450",-109.93,34.12,3,-1.14211,1
"451",-109.92,34.12,5,-0.95638,0
"452",-112.73,36.87,13,-0.018,1
"453",-112.32,32.05,0,-0.8537,0
"454",-110.93,34.1,1,-1.2099,1
"455",-109.17,31.9,5,-0.1878,0
"456",-112.43,34.57,2,-0.90415,0
"457",-112.43,34.65,2,-0.86054,0
"458",-111.32,33.87,0,-1.38351,1
"459",-114.23,33.67,0,-0.71046,1
"460",-110.48,32.43,0,-1.17312,0
"461",-111.37,32.5,0,-1.11514,1
"462",-111.73,34.65,0,-1.58739,0
"463",-111.15,33.67,0,-1.35562,0
"464",-111.23,31.47,0,-1.03615,1
"465",-111.28,31.5,0,-1.03431,0
"466",-109.37,31.75,0,-0.9979,0
"467",-110.82,32.3,0,-1.18431,0
"468",-111.75,33.07,0,-0.9997,0
"469",-109.72,32.83,0,-1.15771,0
"470",-109.68,32.82,0,-1.15299,0
"471",-110.98,31.98,0,-1.13824,1
"472",-109.38,34.52,6,-0.32179,0
"473",-110,31.85,0,-1.03465,0
"474",-113.65,33.77,0,-0.81604,1
"475",-113.53,33.73,0,-0.82652,0
"476",-110.5,33.8,0,-1.58148,1
"477",-110.45,33.35,0,-1.30998,0
"478",-110.53,33.18,1,-0.803,0
"479",-109.4,35.2,5,-0.47121,1
"480",-109.17,35.17,9,-0.2055,1
"481",-110.63,32.62,0,-1.21711,1
"482",-110.62,31.35,0,-1.07023,0
"483",-109.22,32.27,0,-1.03404,1
"484",-109.27,32.33,0,-1.0373,0
"485",-109.08,32.17,0,-1.03253,1
"486",-111.58,31.68,0,-1.03009,0
"487",-110.85,31.77,0,-1.10738,1
"488",-112.05,32.32,0,-0.9427,1
"489",-111.55,31.48,0,-1.01596,1
"490",-111.6,31.58,0,-1.02061,1
"491",-111.92,33.5,0,-0.98704,1
"492",-111.77,34.87,3,-1.04212,0
"493",-112.88,35.32,2,-0.76788,0
"494",-112.92,35.13,2,-0.83786,1
"495",-111.88,31.92,0,-1.01319,0
"496",-110,34.27,0,-1.78737,1
"497",-110.03,34.25,1,-1.36152,1
"498",-110.97,33.8,0,-1.45725,0
"499",-110.28,31.55,0,-1.03846,1
"500",-111.5,32.38,0,-1.09096,1
"501",-109.95,34.33,0,-1.77426,0
"502",-110.08,34.5,1,-1.08204,0
"503",-110.33,34.5,1,-1.14094,1
"504",-109.3,34.13,3,-0.50189,0
"505",-112.73,34.17,8,-0.19562,0
"506",-109.2,31.4,0,-0.94139,0
"507",-111.53,33.57,0,-1.13652,0
"508",-111.47,33.87,0,-1.31858,0
"509",-111.55,35.37,6,-0.9242,1
"510",-112.7,36.2,3,-1.05997,1
"511",-111.1,33.3,0,-1.2824,0
"512",-111.07,33.3,0,-1.29297,1
"513",-111.43,33.38,0,-1.13324,0
"514",-111.97,34.35,0,-1.43856,0
"515",-113.92,32.72,0,-0.62467,1
"516",-109.62,32.62,0,-1.10523,0
"517",-109.1,36.9,0,-1.65867,1
"518",-111.93,33.43,0,-0.97405,0
"519",-111.93,33.38,0,-0.96909,0
"520",-111.97,33.38,0,-0.96301,1
"521",-112.25,33.45,0,-0.93573,1
"522",-110.05,31.7,0,-1.02395,0
"523",-112.92,33.48,0,-0.86542,1
"524",-111.1,34.37,14,-0.35184,0
"525",-111.1,34.38,3,-1.10629,1
"526",-112.75,34.62,0,-1.40406,0
"527",-114.45,34.7,0,-0.88133,1
"528",-113.67,35.38,3,-0.64284,0
"529",-111.25,36.13,0,-1.35521,0
"530",-111.2,32.25,0,-1.14143,1
"531",-110.95,32.28,0,-1.17506,1
"532",-110.83,32.25,0,-1.17838,0
"533",-110.95,32.23,0,-1.17038,0
"534",-111,32.27,0,-1.16943,1
"535",-110.95,32.13,0,-1.16003,1
"536",-111.05,31.57,0,-1.06427,0
"537",-113.07,36.28,5,-0.69605,0
"538",-112.03,34.77,2,-0.96993,1
"539",-111.48,36.98,3,-0.49278,1
"540",-110.9,34.58,5,-0.62321,0
"541",-111.52,35.17,8,-0.62616,1
"542",-112.85,34.93,3,-0.71647,0
"543",-112.55,34.3,0,-1.31902,0
"544",-114.13,32.68,0,-0.62884,0
"545",-109.97,33.83,4,-0.91417,0
"546",-109.52,32.82,0,-1.14035,0
"547",-112.73,33.98,0,-1.10855,0
"548",-113.62,34.73,0,-1.12528,0
"549",-109.83,32.25,0,-1.07745,0
"550",-112.18,35.25,12,-0.53828,0
"551",-114.65,35.87,0,-0.98696,1
"552",-110.9,32.73,0,-1.23382,1
"553",-109.05,35.68,11,-0.00538,1
"554",-110.72,32.87,0,-1.25448,1
"555",-110.73,35.02,1,-0.87689,0
"556",-112.53,33.78,0,-1.00847,1
"557",-111.37,35.52,3,-0.37038,0
"558",-110.2,31.45,0,-1.02548,0
"559",-112.17,34.68,0,-1.51944,0
"560",-112.8,34.45,0,-1.33562,0
"561",-110.93,34.08,0,-1.60533,0
"562",-112.3,33.6,0,-0.9553,1
"563",-114.15,34.87,0,-1.03763,1
"564",-114.65,32.62,0,-0.62589,0
"565",-114.4,32.83,0,-0.6254,1
"566",-114.63,32.62,0,-0.6259,0
"567",-114.6,32.67,0,-0.62512,1
"568",-114.6,32.75,0,-0.62395,1
"569",-94.2,35.07,105,0.17184,0
"570",-91.08,35.9,54,-1.02368,1
"571",-92.87,34.8,126,0.07561,0
"572",-93.48,34.78,101,-0.20505,0
"573",-93.42,34.28,83,-0.5961,1
"574",-93.42,34.03,76,-0.61932,1
"575",-92.98,34.97,149,0.65992,0
"576",-93.05,34.12,66,-0.76115,0
"577",-91.2,33.62,84,-0.35482,0
"578",-91.35,34.03,83,-0.37056,1
"579",-94.13,33.67,100,-0.08808,0
"580",-93.97,34.32,72,-0.83894,1
"581",-91.37,35.28,56,-1.10256,0
"582",-91.57,35.3,58,-1.03684,1
"583",-91.65,35.77,85,-0.42726,0
"584",-91.78,35.82,58,-0.87753,0
"585",-91.63,35.75,73,-0.64935,0
"586",-90.72,35.08,122,0.01215,0
"587",-93.77,36.47,27,-1.86435,0
"588",-92.4,35.45,97,-0.20144,0
"589",-90.63,36.18,78,-0.62627,0
"590",-91.1,35.43,83,-0.53266,0
"591",-92.62,34.55,94,-0.44373,0
"592",-94.22,36.37,30,-1.74881,0
"593",-93.57,36.37,25,-1.89814,1
"594",-93.97,34.48,70,-0.99842,0
"595",-90.13,35.85,65,-0.98794,0
"596",-93.15,34.3,81,-0.59978,1
"597",-91.1,36.12,61,-0.81705,0
"598",-93.2,34.57,93,-0.48446,1
"599",-93.65,35.1,128,0.5075,0
"600",-93.15,33.68,88,-0.2586,1
"601",-89.92,35.93,76,-0.73412,0
"602",-93.38,34.38,77,-0.71091,1
"603",-93.97,35.15,110,0.29961,0
"604",-93.93,35.12,155,1.03974,0
"605",-93.92,35.1,125,0.51939,1
"606",-93.3,33.87,67,-0.79227,0
"607",-91.47,35.42,56,-1.07124,0
"608",-91.18,34.88,98,-0.35917,0
"609",-93.5,35.87,58,-0.98045,1
"610",-89.95,35.82,91,-0.46379,0
"611",-92.08,34.95,103,-0.17631,0
"612",-92.13,36.13,67,-0.55682,0
"613",-92.48,33.3,101,0.05955,1
"614",-92.82,33.6,120,0.31776,0
"615",-94.3,35.3,73,-0.43336,0
"616",-91.75,34.78,70,-0.77925,0
"617",-93.02,34.45,70,-0.82176,0
"618",-91.3,34.68,88,-0.39962,0
"619",-93.47,35.47,115,0.2551,1
"620",-92.47,35.58,97,-0.17304,0
"621",-93.9,34.97,169,0.83962,0
"622",-93.83,35.83,42,-1.46189,0
"623",-93.3,36.08,37,-1.49908,1
"624",-92.47,35.08,95,-0.1686,0
"625",-90.58,36.43,79,-0.47664,0
"626",-92.52,36.23,62,-0.71551,0
"627",-94.42,34.43,107,-0.17144,0
"628",-91.93,33.03,107,-0.01656,0
"629",-92.43,34.7,56,-1.09941,0
"630",-91.58,34.07,84,-0.38893,0
"631",-93.75,34.23,75,-0.72378,1
"632",-92.42,35.37,102,-0.10206,1
"633",-93.4,35.05,116,0.27225,0
"634",-93.15,35.22,154,0.96411,0
"635",-93.2,35.83,72,-0.68071,1
"636",-94.35,34.03,61,-0.87817,0
"637",-91.43,33.52,98,-0.07281,0
"638",-91.38,33.55,95,-0.0942,1
"639",-91.5,34.97,95,-0.44796,0
"640",-93.4,35.72,86,-0.45441,0
