"","pro","una","pre","pol"
"61","CGT","Notaffi","Pompidou","NR"
"62","CGT","Notaffi","NRAbs","Communist"
"63","CGT","Notaffi","NRAbs","Socialist"
"64","CGT","Notaffi","NRAbs","Left"
"65","CGT","Notaffi","NRAbs","Center"
"66","CGT","Notaffi","NRAbs","Right"
"67","CGT","Notaffi","NRAbs","Gaullist"
"68","CGT","Notaffi","NRAbs","NR"
"69","CGT","NR","Poher","NR"
"70","CGT","NR","NRAbs","Communist"
"71","CFDT","CGT","Duclos","Communist"
"72","CFDT","CGT","Krivine","Socialist"
"73","CFDT","CGT","Poher","Center"
"74","CFDT","CGT","Pompidou","NR"
"75","CFDT","CFDT","Duclos","Communist"
"76","CFDT","CFDT","Duclos","Center"
"77","CFDT","CFDT","Duclos","NR"
"78","CFDT","CFDT","Deferre","Socialist"
"79","CFDT","CFDT","Deferre","Left"
"80","CFDT","CFDT","Deferre","Center"
"81","CFDT","CFDT","Krivine","Center"
"82","CFDT","CFDT","Rocard","Socialist"
"83","CFDT","CFDT","Poher","Communist"
"84","CFDT","CFDT","Poher","Socialist"
"85","CFDT","CFDT","Poher","Center"
"86","CFDT","CFDT","Poher","NR"
"87","CFDT","CFDT","Ducatel","Communist"
"88","CFDT","CFDT","Pompidou","Center"
"89","CFDT","CFDT","Pompidou","Right"
"90","CFDT","CFDT","NRAbs","Socialist"
"91","CFDT","CFDT","NRAbs","Center"
"92","CFDT","CFDT","NRAbs","RI"
"93","CFDT","CFDT","NRAbs","Right"
"94","CFDT","CFDT","NRAbs","Gaullist"
"95","CFDT","CFDT","NRAbs","NR"
"96","CFDT","Notaffi","Duclos","Communist"
"97","CFDT","Notaffi","Deferre","NR"
"98","CFDT","Notaffi","Krivine","Gaullist"
"99","CFDT","Notaffi","Krivine","NR"
"100","CFDT","Notaffi","Rocard","Socialist"
"101","CFDT","Notaffi","Rocard","Center"
"102","CFDT","Notaffi","Poher","Socialist"
"103","CFDT","Notaffi","Poher","Center"
"104","CFDT","Notaffi","Poher","Right"
"105","CFDT","Notaffi","Pompidou","Socialist"
"106","CFDT","Notaffi","Pompidou","Center"
"107","CFDT","Notaffi","Pompidou","Gaullist"
"108","CFDT","Notaffi","Pompidou","NR"
"109","CFDT","Notaffi","NRAbs","Socialist"
"110","CFDT","Notaffi","NRAbs","Center"
"111","CFDT","Notaffi","NRAbs","Gaullist"
"112","CFDT","Notaffi","NRAbs","NR"
"113","FO","CGT","Deferre","Socialist"
"114","FO","CGT","NRAbs","Socialist"
"115","FO","CFDT","Pompidou","Gaullist"
"116","FO","FO","Duclos","Communist"
"117","FO","FO","Duclos","Socialist"
"118","FO","FO","Deferre","Socialist"
"119","FO","FO","Rocard","Socialist"
"120","FO","FO","Poher","Center"
"121","FO","FO","Poher","Right"
"122","FO","FO","Poher","Gaullist"
"123","FO","FO","Poher","NR"
"124","FO","FO","Pompidou","Center"
"125","FO","FO","Pompidou","Gaullist"
"126","FO","FO","Pompidou","NR"
"127","FO","FO","NRAbs","Center"
"128","FO","FO","NRAbs","NR"
"129","FO","Auton","Poher","Center"
"130","FO","CGC","Duclos","Center"
"131","FO","CGC","Ducatel","Socialist"
"132","FO","Notaffi","Duclos","Communist"
"133","FO","Notaffi","Duclos","Socialist"
"134","FO","Notaffi","Duclos","Left"
"135","FO","Notaffi","Duclos","Center"
"136","FO","Notaffi","Deferre","Socialist"
"137","FO","Notaffi","Deferre","Center"
"138","FO","Notaffi","Krivine","Socialist"
"139","FO","Notaffi","Poher","Communist"
"140","FO","Notaffi","Poher","Socialist"
"141","FO","Notaffi","Poher","Center"
"142","FO","Notaffi","Poher","RI"
"143","FO","Notaffi","Poher","Right"
"144","FO","Notaffi","Poher","NR"
"145","FO","Notaffi","Pompidou","Center"
"146","FO","Notaffi","Pompidou","RI"
"147","FO","Notaffi","Pompidou","Right"
"148","FO","Notaffi","Pompidou","Gaullist"
"149","FO","Notaffi","Pompidou","NR"
"150","FO","Notaffi","NRAbs","Socialist"
"151","FO","Notaffi","NRAbs","Left"
"152","FO","Notaffi","NRAbs","Center"
"153","FO","Notaffi","NRAbs","Gaullist"
"154","FO","Notaffi","NRAbs","NR"
"155","CFTC","CFDT","Rocard","Communist"
"156","CFTC","CFDT","Poher","Center"
"157","CFTC","CFDT","Pompidou","Center"
"158","CFTC","CFTC","Rocard","Communist"
"159","CFTC","CFTC","Pompidou","Gaullist"
"160","CFTC","Notaffi","Duclos","Socialist"
"161","CFTC","Notaffi","Deferre","Socialist"
"162","CFTC","Notaffi","Krivine","Socialist"
"163","CFTC","Notaffi","Poher","Left"
"164","CFTC","Notaffi","Poher","Right"
"165","CFTC","Notaffi","Ducatel","Right"
"166","CFTC","Notaffi","Pompidou","Left"
"167","CFTC","Notaffi","Pompidou","Center"
"168","CFTC","Notaffi","Pompidou","Gaullist"
"169","CFTC","Notaffi","Pompidou","NR"
"170","CFTC","Notaffi","NRAbs","Socialist"
"171","Auton","CGT","Duclos","Left"
"172","Auton","CGT","Krivine","Socialist"
"173","Auton","CGT","Rocard","Socialist"
"174","Auton","CGT","Ducatel","Communist"
"175","Auton","CGT","Pompidou","Center"
"176","Auton","CGT","NRAbs","Center"
"177","Auton","CGT","NRAbs","Gaullist"
"178","Auton","FO","Poher","Center"
"179","Auton","FO","NRAbs","Socialist"
"180","Auton","Auton","Duclos","Socialist"
"181","Auton","Auton","Duclos","Left"
"182","Auton","Auton","Duclos","NR"
"183","Auton","Auton","Deferre","Socialist"
"184","Auton","Auton","Rocard","NR"
"185","Auton","Auton","Pompidou","Center"
"186","Auton","Auton","Pompidou","RI"
"187","Auton","Auton","Pompidou","Gaullist"
"188","Auton","Auton","NRAbs","Center"
"189","Auton","Auton","NRAbs","NR"
"190","Auton","CGC","Pompidou","Socialist"
"191","Auton","CGC","Pompidou","Center"
"192","Auton","CGC","Pompidou","Gaullist"
"193","Auton","Notaffi","Duclos","Communist"
"194","Auton","Notaffi","Duclos","Socialist"
"195","Auton","Notaffi","Duclos","Left"
"196","Auton","Notaffi","Deferre","Socialist"
"197","Auton","Notaffi","Deferre","NR"
"198","Auton","Notaffi","Krivine","Socialist"
"199","Auton","Notaffi","Rocard","Socialist"
"200","Auton","Notaffi","Rocard","Center"
"201","Auton","Notaffi","Poher","Communist"
"202","Auton","Notaffi","Poher","Socialist"
"203","Auton","Notaffi","Poher","Center"
"204","Auton","Notaffi","Poher","Right"
"205","Auton","Notaffi","Poher","Gaullist"
"206","Auton","Notaffi","Poher","NR"
"207","Auton","Notaffi","Pompidou","Socialist"
"208","Auton","Notaffi","Pompidou","Center"
"209","Auton","Notaffi","Pompidou","RI"
"210","Auton","Notaffi","Pompidou","Right"
"211","Auton","Notaffi","Pompidou","Gaullist"
"212","Auton","Notaffi","Pompidou","NR"
"213","Auton","Notaffi","NRAbs","Communist"
"214","Auton","Notaffi","NRAbs","Socialist"
"215","Auton","Notaffi","NRAbs","Center"
"216","Auton","Notaffi","NRAbs","Gaullist"
"217","Auton","Notaffi","NRAbs","NR"
"218","Auton","NR","Pompidou","Right"
"219","Abst","CGT","Duclos","Right"
"220","Abst","CGT","Pompidou","Socialist"
"221","Abst","CGT","Pompidou","NR"
"222","Abst","CGT","NRAbs","Communist"
"223","Abst","CGT","NRAbs","Socialist"
"224","Abst","CGT","NRAbs","NR"
"225","Abst","Auton","Deferre","NR"
"226","Abst","CGC","Pompidou","Right"
"227","Abst","Notaffi","Duclos","Communist"
"228","Abst","Notaffi","Duclos","Socialist"
"229","Abst","Notaffi","Duclos","Center"
"230","Abst","Notaffi","Duclos","NR"
"231","Abst","Notaffi","Deferre","Socialist"
"232","Abst","Notaffi","Rocard","Socialist"
"233","Abst","Notaffi","Poher","Socialist"
"234","Abst","Notaffi","Poher","Left"
"235","Abst","Notaffi","Poher","Center"
"236","Abst","Notaffi","Poher","Right"
"237","Abst","Notaffi","Poher","NR"
"238","Abst","Notaffi","Pompidou","Communist"
"239","Abst","Notaffi","Pompidou","Socialist"
"240","Abst","Notaffi","Pompidou","Center"
"241","Abst","Notaffi","Pompidou","Right"
"242","Abst","Notaffi","Pompidou","Gaullist"
"243","Abst","Notaffi","Pompidou","NR"
"244","Abst","Notaffi","NRAbs","Communist"
"245","Abst","Notaffi","NRAbs","Socialist"
"246","Abst","Notaffi","NRAbs","Left"
"247","Abst","Notaffi","NRAbs","Center"
"248","Abst","Notaffi","NRAbs","Right"
"249","Abst","Notaffi","NRAbs","Gaullist"
"250","Abst","Notaffi","NRAbs","NR"
"251","Nonaffi","CGT","Duclos","Communist"
"252","Nonaffi","CGT","Duclos","Socialist"
"253","Nonaffi","CGT","Poher","Center"
"254","Nonaffi","CGT","Pompidou","Gaullist"
"255","Nonaffi","CGT","NRAbs","Communist"
"256","Nonaffi","Auton","Deferre","Socialist"
"257","Nonaffi","Auton","NRAbs","Socialist"
"258","Nonaffi","Auton","NRAbs","NR"
"259","Nonaffi","Notaffi","Duclos","Communist"
"260","Nonaffi","Notaffi","Duclos","Socialist"
"261","Nonaffi","Notaffi","Duclos","Left"
"262","Nonaffi","Notaffi","Duclos","Right"
"263","Nonaffi","Notaffi","Duclos","NR"
"264","Nonaffi","Notaffi","Deferre","Socialist"
"265","Nonaffi","Notaffi","Rocard","Socialist"
"266","Nonaffi","Notaffi","Poher","Socialist"
"267","Nonaffi","Notaffi","Poher","Center"
"268","Nonaffi","Notaffi","Poher","Right"
"269","Nonaffi","Notaffi","Poher","NR"
"270","Nonaffi","Notaffi","Pompidou","Socialist"
"271","Nonaffi","Notaffi","Pompidou","Center"
"272","Nonaffi","Notaffi","Pompidou","RI"
"273","Nonaffi","Notaffi","Pompidou","Right"
"274","Nonaffi","Notaffi","Pompidou","Gaullist"
"275","Nonaffi","Notaffi","Pompidou","NR"
"276","Nonaffi","Notaffi","NRAbs","Communist"
"277","Nonaffi","Notaffi","NRAbs","Socialist"
"278","Nonaffi","Notaffi","NRAbs","Left"
"279","Nonaffi","Notaffi","NRAbs","Center"
"280","Nonaffi","Notaffi","NRAbs","Right"
"281","Nonaffi","Notaffi","NRAbs","Gaullist"
"282","Nonaffi","Notaffi","NRAbs","NR"
"283","NR","CGT","Duclos","Communist"
"284","NR","CGT","Duclos","Left"
"285","NR","CGT","Poher","Socialist"
"286","NR","CGT","Poher","Center"
"287","NR","CGT","NRAbs","Communist"
"288","NR","CGT","NRAbs","Socialist"
"289","NR","CGT","NRAbs","NR"
"290","NR","CFDT","NRAbs","NR"
"291","NR","FO","Deferre","Socialist"
"292","NR","Auton","NRAbs","NR"
"293","NR","CGC","Pompidou","Gaullist"
"294","NR","CGC","Pompidou","NR"
"295","NR","Notaffi","Duclos","Communist"
"296","NR","Notaffi","Duclos","Socialist"
"297","NR","Notaffi","Duclos","Left"
"298","NR","Notaffi","Duclos","NR"
"299","NR","Notaffi","Rocard","Communist"
"300","NR","Notaffi","Rocard","Socialist"
"301","NR","Notaffi","Poher","Communist"
"302","NR","Notaffi","Poher","Socialist"
"303","NR","Notaffi","Poher","Left"
"304","NR","Notaffi","Poher","Center"
"305","NR","Notaffi","Poher","Gaullist"
"306","NR","Notaffi","Poher","NR"
"307","NR","Notaffi","Ducatel","RI"
"308","NR","Notaffi","Pompidou","Center"
"309","NR","Notaffi","Pompidou","Right"
"310","NR","Notaffi","Pompidou","Gaullist"
"311","NR","Notaffi","Pompidou","NR"
"312","NR","Notaffi","NRAbs","Communist"
"313","NR","Notaffi","NRAbs","Socialist"
"314","NR","Notaffi","NRAbs","Left"
"315","NR","Notaffi","NRAbs","Center"
"316","NR","Notaffi","NRAbs","NR"
"317","NR","NR","Deferre","Socialist"
"318","NR","NR","Pompidou","NR"
"319","NR","NR","NRAbs","NR"
