"","csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"138","ouvri","dp12","non","ai75","fem","non","non","oui","p2","fai","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"139","emplo","d48","non","ai35","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","moy","nul","moy","nul","fai","nul"
"140","emplo","d48","non","ai55","fem","non","oui","non","n2","nul","nul","non","nul","non","fai","for","nul","nul","nul","fai","nul"
"141","inact","dp12","non","ai55","fem","non","oui","oui","p3","fai","fai","non","nul","non","fai","moy","nul","nul","fai","nul","fai"
"142","artis","dp12","non","ai55","fem","non","non","oui","n2","nul","nul","oui","nul","non","fai","nul","nul","nul","moy","nul","nul"
"143","emplo","d48","non","ai35","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"144","inact","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"145","emplo","dp12","non","ai75","fem","non","oui","non","p2","nul","fai","non","nul","non","fai","nul","nul","nul","moy","fai","nul"
"146","emplo","dp12","oui","ai55","fem","non","non","non","p2","for","fai","non","fai","non","fai","for","nul","fai","nul","fai","nul"
"147","artis","d812","non","ai75","fem","non","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"148","inact","d812","non","ai45","fem","non","oui","non","p1","nul","nul","non","fai","non","fai","moy","nul","nul","nul","moy","nul"
"149","emplo","dp12","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"150","emplo","dp12","non","ai35","fem","non","oui","non","p2","nul","nul","oui","nul","oui","fai","fai","nul","nul","fai","moy","nul"
"151","inact","d812","non","ai55","fem","non","non","non","n2","nul","for","non","nul","oui","fai","for","nul","nul","nul","nul","nul"
"152","inact","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"153","inact","d812","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"154","inter","d812","non","ai45","fem","non","non","non","p3","for","fai","non","nul","oui","fai","moy","nul","nul","nul","moy","nul"
"155","inter","d48","non","ai45","fem","non","oui","non","p3","nul","nul","non","fai","non","fai","for","fai","nul","fai","moy","nul"
"156","emplo","d48","non","ai75","fem","non","non","non","n1","nul","for","non","nul","non","moy","nul","nul","nul","fai","nul","fai"
"157","inter","dp12","non","ai45","fem","non","oui","non","p2","for","for","oui","nul","non","fai","for","nul","nul","fai","fai","fai"
"158","emplo","d48","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"159","emplo","d48","non","ai35","fem","non","oui","non","p2","fai","fai","non","nul","non","fai","fai","nul","nul","for","fai","nul"
"160","artis","d48","non","ai55","fem","non","non","oui","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","fai"
"161","emplo","d48","oui","ai45","fem","non","non","non","n1","nul","for","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"162","inact","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","fai","moy"
"163","inact","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"164","inter","dp12","non","ai55","fem","non","oui","non","p3","nul","fai","non","nul","non","fai","nul","nul","fai","nul","moy","fai"
"165","inter","dp12","non","ai55","fem","non","oui","oui","p3","fai","fai","non","nul","non","fai","fai","fai","nul","fai","moy","moy"
"166","emplo","d48","non","ai45","fem","non","oui","non","p2","fai","fai","non","nul","non","fai","fai","nul","nul","moy","for","nul"
"167","emplo","d812","non","ai55","fem","non","non","non","p4","nul","for","non","nul","oui","fai","moy","nul","nul","nul","nul","nul"
"168","emplo","d48","non","ai55","fem","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"169","emplo","dp12","non","ai35","fem","oui","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","fai","fai","moy","nul"
"170","inact","d48","non","ai75","fem","non","non","non","n1","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","moy","fai"
"171","retra","d812","non","ai45","fem","non","non","oui","p2","for","nul","oui","nul","non","fai","nul","nul","nul","fai","moy","nul"
"172","inter","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"173","emplo","d24","non","ai45","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"174","inact","dm2","non","ai55","fem","non","non","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","fai","fai","nul"
"175","inter","d24","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"176","inact","dp12","non","ai45","fem","non","non","oui","p2","nul","nul","non","fai","non","for","nul","fai","nul","fai","moy","nul"
"177","inact","dp12","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"178","ouvri","dp12","non","ai75","fem","non","non","non","p3","fai","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"179","cadsu","d24","non","ai75","fem","non","non","non","p3","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"180","ouvri","dm2","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"181","emplo","d812","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"182","inact","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"183","inact","dp12","non","ai45","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","fai","nul"
"184","inact","d24","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","nul","moy","nul"
"185","agric","d24","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","fai","for","nul"
"186","ouvri","d24","non","ai55","fem","non","non","non","p1","for","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"187","retra","d24","non","ai75","fem","non","non","oui","p1","nul","fai","oui","nul","non","fai","nul","nul","nul","fai","moy","fai"
"188","inact","d812","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"189","ouvri","d812","non","ai35","fem","non","non","non","p4","nul","nul","non","nul","non","fai","moy","nul","nul","moy","nul","nul"
"190","ouvri","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"191","emplo","d48","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"192","cadsu","d48","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"193","ouvri","d812","non","ai75","fem","non","non","non","n1","nul","nul","non","nul","non","fai","moy","nul","nul","nul","fai","nul"
"194","emplo","dm2","non","ai75","fem","non","non","non","p1","for","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"195","inact","dp12","non","ai75","fem","non","non","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"196","ouvri","d24","non","ai35","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"197","emplo","d812","non","ai55","fem","non","non","non","n2","nul","nul","non","fai","non","fai","nul","nul","nul","fai","fai","nul"
"198","agric","dp12","non","ai45","fem","non","non","non","p4","for","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"199","inact","dp12","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"200","etudi","dm2","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","for","nul","nul"
"201","inact","dm2","non","ai45","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"202","inact","d24","non","ai45","fem","non","non","non","n1","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","moy","nul"
"203","emplo","dp12","non","ai75","fem","non","non","non","p1","nul","for","non","nul","non","fai","nul","nul","nul","fai","moy","nul"
"204","artis","d24","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"205","inter","d24","non","ai35","fem","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"206","emplo","dm2","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"207","emplo","dp12","non","ai45","fem","non","oui","oui","p3","nul","nul","non","nul","non","fai","for","nul","moy","fai","fai","nul"
"208","agric","dp12","non","ai55","fem","non","non","non","p1","for","for","oui","nul","non","fai","fai","nul","nul","fai","nul","nul"
"209","inact","d812","non","ai75","fem","non","non","non","p3","nul","nul","non","nul","non","fai","nul","fai","fai","fai","moy","moy"
"210","inter","d48","non","ai75","fem","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"211","emplo","d48","non","ai55","fem","non","oui","non","n1","nul","fai","non","fai","non","fai","fai","nul","fai","nul","nul","nul"
"212","agric","dp12","non","ai75","fem","non","non","non","p4","for","for","non","for","non","fai","moy","nul","nul","fai","nul","moy"
"213","inter","d48","oui","ai45","fem","non","oui","oui","p2","nul","nul","non","fai","non","fai","fai","fai","nul","fai","for","nul"
"214","retra","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","fai","fai","moy","nul"
"215","emplo","d48","oui","ai55","fem","non","oui","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"216","emplo","d812","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","moy","fai"
"217","ouvri","d48","non","ai55","fem","oui","non","non","p1","nul","nul","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"218","inact","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
