"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"27",5.248,4.747,4.329,3.487,3.029,4.647,5.959,5.095,4.247,3.243,3.475,3.02,3.179,3.481,3.02,3.417,3.878,4.244,2.767,4.161
"28",5.785,5.214,4.747,4.216,3.386,5.361,6.533,5.73,4.894,4.299,4.027,3.392,3.786,4.128,3.695,3.896,4.339,4.894,3.264,5.098
"29",6.237,5.498,5.367,5.108,4.284,6.212,7.14,6.27,5.62,5.004,4.54,4.436,4.461,4.894,4.522,4.57,4.787,5.031,4.073,5.407
"30",6.698,5.986,5.88,5.767,4.866,6.63,7.622,6.865,6.224,6.133,5.028,5.12,4.967,5.834,5.205,4.619,4.903,5.892,5.126,6.475
"31",7.109,6.054,6.304,7.073,5.202,7.402,8.007,7.012,6.899,6.243,5.526,5.693,5.59,6.136,6.371,5.962,5.623,6.527,5.59,7.024
"32",7.604,6.652,6.774,7.076,6.063,8.077,8.391,7.729,7.29,6.627,6.011,6.24,6.069,6.676,6.582,6.572,6.014,7.351,6.167,7.412
"33",7.872,6.929,7.155,7.799,6.444,8.452,8.782,8.062,7.818,6.823,6.405,7.067,6.64,7.259,7.219,7.387,6.286,7.296,6.615,7.985
"34",8.419,6.932,7.515,8.312,6.942,8.962,9.035,8.321,8.168,7.457,6.749,7.427,7.058,7.711,7.775,7.677,6.56,7.613,7.393,8.355
"35",8.355,7.091,7.787,8.782,7.262,9.301,9.124,8.477,8.58,7.741,6.759,7.857,7.265,8.153,8.254,8.172,6.685,7.595,7.875,8.84
"36",8.269,7.067,8.092,9.136,7.54,9.6,9.02,8.44,8.403,8.086,7.274,7.787,7.518,8.44,8.864,8.416,6.871,7.979,8.403,9.069
"37",8.229,7.244,8.254,9.42,7.912,9.752,9.325,8.574,8.968,8.205,7.402,8.522,7.83,8.596,9.282,8.968,6.978,8.062,8.489,9.371
"38",8.602,7.241,8.59,9.624,8.016,9.493,9.2,8.626,8.992,8.266,7.491,8.736,8.068,8.754,9.569,8.965,6.939,8.287,8.699,9.325
"39",8.629,7.265,8.901,9.792,8.69,9.832,9.465,8.953,9.02,8.303,7.583,9.288,8.129,9.057,10.28,9.612,7.055,8.321,9.032,9.401
"40",8.519,7.198,8.721,9.743,8.159,9.707,8.989,8.324,8.971,7.979,7.518,8.959,8.107,8.852,9.926,9.557,6.911,8.202,8.928,9.374
"41",8.519,7.024,8.66,9.755,8.266,9.655,8.892,8.181,8.852,7.995,7.363,8.989,8.049,8.767,10.079,9.49,6.749,8.089,8.968,9.362
"42",8.382,6.96,8.623,9.603,8.281,9.386,8.306,7.702,8.687,7.781,7.052,8.77,7.912,8.486,10.125,9.526,6.691,7.998,8.837,9.255
"43",8.547,6.698,8.596,9.49,8.117,9.197,8.336,7.753,8.568,7.763,6.942,8.672,7.882,8.535,10.17,9.334,6.591,7.83,8.806,9.148
"44",8.031,6.557,8.434,9.331,8.01,8.995,8.165,7.515,8.379,7.61,6.862,8.565,7.72,8.315,10.143,9.31,6.405,7.708,8.571,8.272
"45",7.769,6.472,8.324,9.191,7.854,8.699,8.04,7.467,8.452,7.372,6.762,8.37,7.445,7.729,10.231,9.133,6.35,7.537,8.468,8.709
"46",7.491,6.145,8.083,8.645,7.805,8.336,7.68,7.1,7.848,7.167,6.432,8.199,7.454,7.845,9.874,8.684,6.066,7.521,8.065,8.483
"47",7.39,6.511,7.805,8.715,7.174,8.153,7.399,6.911,7.683,6.795,6.188,7.961,7.073,7.689,9.475,8.739,5.928,7.219,7.915,8.498
"48",7.03,5.779,7.567,8.294,7.25,7.872,7.1,6.539,7.314,6.304,6.167,7.744,7.25,7.781,8.843,8.4,5.623,7.009,7.702,7.964
"49",6.655,5.477,7.402,8.052,6.99,7.628,6.728,6.148,7.094,6.258,5.712,7.372,6.405,7.039,9.267,8.031,5.578,6.78,7.369,7.714
"50",6.441,5.236,7.369,7.775,6.853,7.113,6.105,5.849,6.676,5.852,5.394,7.082,6.374,6.743,8.989,7.732,5.123,6.496,7.1,7.189
"51",5.99,4.982,6.908,7.058,6.536,6.679,6.017,5.474,6.594,5.587,5.01,7.393,6.099,6.359,9.215,7.406,4.833,6.496,6.777,7.158
"52",5.755,4.903,6.594,6.99,6.2,6.456,5.596,5.181,5.983,5.385,4.912,6.441,5.669,6.191,8.376,7.1,4.812,5.718,6.06,6.85
"53",5.379,4.473,5.977,6.569,5.88,5.825,5.294,4.75,5.55,4.885,4.839,6.215,5.361,6.008,7.991,6.719,4.357,5.73,6.084,6.521
"54",4.897,4.003,5.95,6.353,5.446,5.672,4.915,4.326,5.285,4.351,4.555,5.864,4.87,5.324,7.293,6.09,4.104,5.709,5.886,6.188
"55",4.546,3.2,5.477,5.773,5.175,4.976,4.409,3.655,4.952,3.716,4.284,5.66,4.552,5.254,6.759,5.361,3.899,5.089,5.825,5.901
"56",4.104,3.402,5.181,5.495,4.226,4.854,4.168,3.582,4.497,3.688,3.978,5.309,4.293,4.958,6.713,5.428,3.493,4.659,5.077,5.581
"57",3.881,3.118,4.738,4.989,4.342,4.482,3.881,3.405,4.235,3.505,3.789,5.129,4.259,4.677,6.395,5.01,3.273,4.107,4.641,5.101
"58",3.582,2.953,4.387,4.934,4.091,4.314,3.408,3.075,3.811,3.664,3.511,4.741,3.795,4.281,5.962,5.129,2.916,3.917,3.997,4.854
"59",3.569,2.614,4.29,4.595,3.713,3.954,3.377,2.822,3.356,3.017,3.334,4.107,3.426,4.036,5.587,4.308,2.752,3.588,3.951,4.921
"60",2.98,2.388,3.594,3.994,3.322,3.685,3.008,2.605,3.209,2.706,3.038,4.155,3.209,3.85,5.242,4.049,2.559,3.31,3.609,4.116
"61",2.611,2.483,3.191,3.923,3.005,3.576,2.739,2.449,3.035,2.279,2.828,3.832,2.904,3.496,4.851,3.417,2.349,2.944,3.386,3.743
"62",2.446,1.943,2.584,3.679,2.996,3.289,2.492,2.193,2.828,2.34,2.593,3.667,2.559,3.136,4.509,3.466,2.102,2.526,2.987,3.484
"63",2.239,1.406,2.565,3.527,2.425,2.971,2.19,2.065,2.718,2.175,2.282,3.331,2.303,2.95,3.969,3.194,1.86,2.3,2.657,3.24
"64",2.05,1.482,2.349,3.06,2.279,2.733,1.94,1.952,2.422,1.922,2.288,3.057,2.074,2.611,3.948,3.106,1.537,1.967,2.446,2.907
"65",2.022,1.552,2.034,2.843,1.842,2.483,1.745,1.735,2.224,1.86,2.025,2.871,2.263,2.349,3.679,2.81,1.488,1.787,2.111,2.681
"66",1.909,1.329,1.949,2.657,1.961,2.352,1.699,1.479,2.08,1.735,1.824,2.544,1.732,2.12,3.383,2.556,1.314,1.525,1.86,2.63
"67",1.574,1.009,1.787,2.443,1.671,2.056,1.604,1.131,1.882,1.558,1.653,2.492,1.616,1.961,3.261,2.349,1.067,1.326,1.479,2.26
"68",1.51,1.152,1.635,2.227,1.543,1.94,1.214,1.162,1.836,1.281,1.577,2.132,1.473,1.607,2.99,2.15,0.963,1.32,1.442,1.992
"69",1.442,1.064,1.479,2.114,1.323,1.68,1.043,0.93,1.738,1.183,1.354,1.97,1.381,1.574,2.758,2.022,0.817,1.253,1.336,2.08
"70",1.238,1.018,1.281,1.65,1.076,1.598,0.417,1.223,1.644,1.036,1.302,1.513,1.174,1.36,2.572,1.955,0.692,1.113,1.021,1.546
"71",1.11,0.695,1.262,1.528,1.177,1.305,0.75,0.805,1.348,1.009,1.101,1.549,0.96,1.162,2.327,1.772,0.597,0.942,0.728,1.4
"72",1.04,0.725,1.168,1.308,0.997,1.171,0.646,0.679,1.207,0.71,1.021,1.381,0.948,0.939,2.114,1.445,0.509,0.908,0.655,1.094
"73",0.979,0.707,1.003,1.244,0.85,1.085,1.009,0.252,0.554,0.777,1.241,1.555,0.417,0.859,1.891,1.412,0.396,0.893,0.509,1.033
"74",0.93,0.563,0.924,1.107,0.777,0.905,0.997,0.429,1.186,0.667,0.682,1.006,0.655,0.759,1.699,1.278,0.374,0.661,0.42,1.336
"75",0.698,0.438,0.847,0.954,0.6,0.811,0.53,0.225,0.853,0.539,0.716,1,0.6,0.731,1.516,1.043,0.271,0.505,0.267,0.875
"76",0.576,0.457,0.783,0.896,0.408,0.625,0.298,0.243,1.284,0.46,0.344,0.64,0.728,0.646,1.488,1.003,0.228,0.341,0.06,0.6
"77",0.457,0.441,0.634,0.817,0.396,0.567,0.35,0.103,0.655,0.46,0.707,0.771,0.457,0.356,1.259,0.78,0.322,0.454,-0.761,0.518
"78",0.493,0.289,1.094,0.731,0.527,0.444,0.228,0.036,0.594,0.301,0.554,0.689,0.35,0.426,1.146,1.265,0.1,0.469,-0.083,0.505
"79",0.46,0.136,0.567,0.554,0.289,0.417,0.032,0.078,0.194,0.307,0.908,0.615,-0.224,0.338,0.591,0.664,0.084,0.234,-0.178,0.341
"80",0.036,0.145,0.365,0.53,0.179,0.029,0.182,-0.083,0.405,0.301,0.524,0.56,0.234,0.219,0.792,0.689,0.011,0.264,0.225,0.301
"81",0.213,0.121,0.347,0.46,0.164,0.38,0.151,-0.141,0.344,0.197,0.463,0.502,0.133,0.188,0.753,0.505,0.036,0.231,-0.27,0.164
"82",0.258,0.124,0.197,0.383,0.078,0.277,0.6,-0.203,0.075,0.145,-0.181,0.963,0.509,0.097,0.942,0.386,-0.013,0.017,-0.245,0.155
"83",0.56,0.066,0.313,0.283,0.109,0.493,0.017,-0.199,0.322,-0.203,0.362,0.307,0.014,0.127,0.524,0.716,-0.138,0.06,-0.572,0.216
"84",0.13,0.017,0.17,0.136,-0.019,0.106,-0.007,-0.19,0.191,0.097,0.264,0.17,0.075,0.039,0.42,0.383,-0.12,0.112,-0.376,0.09
"85",0.09,0.103,0.103,0.359,-0.059,0.005,0.063,-0.3,0.209,0.106,0.24,0.2,-0.135,0.023,0.328,0.31,-0.056,0.118,-0.334,-0.026
"86",0.008,0.032,-0.132,0.151,-0.184,0.097,0.078,-0.389,0.167,0.377,0.213,0.109,-0.047,-0.148,0.307,0.628,-0.132,0.136,-0.337,-0.05
"87",0.112,0.063,0.002,0.078,-0.053,0.133,-0.148,-0.236,0.09,-0.053,0.182,0.029,-0.022,-0.062,0.277,0.182,-0.224,0.023,-0.346,-0.059
"88",0.005,-0.059,-0.01,0.06,-0.077,-0.056,-0.154,-0.285,0.106,-0.264,0.209,-0.035,-0.029,-0.584,0.023,0.145,-0.141,-0.123,-0.459,0.008
"89",-0.151,0.036,0.039,0.115,-0.163,-0.175,-0.172,-0.395,0.02,-0.337,0.206,0.002,-0.013,-0.178,0.151,0.246,-0.203,-0.035,-0.398,-0.447
"90",-0.254,-0.074,-0.007,-0.019,-0.062,-0.013,0.261,-0.318,-0.062,-0.056,0.335,-0.145,-0.12,-0.126,0.072,0.097,-0.26,-0.05,-0.514,-0.114
"91",0.008,-0.05,-0.016,-0.254,-0.175,-0.083,-0.282,-0.303,0.036,-0.065,0.185,-0.013,-0.026,0.023,0.051,0.197,-0.239,0.005,-0.477,-0.373
"92",0.042,-0.032,-0.108,-0.187,-0.166,0.029,-0.254,-0.38,0.008,0.045,0.115,-0.138,-0.032,-0.087,-0.007,0.057,-0.264,-0.065,-0.538,-0.157
"93",-0.038,-0.077,-0.007,0.023,-0.331,-0.148,-0.114,-0.328,0.002,-0.062,0.032,-0.126,-0.126,-0.19,-0.05,0.087,-0.178,-0.035,-0.483,-0.12
"94",-0.044,-0.129,-0.032,0.42,-0.163,0.057,-0.135,0.164,-0.08,-0.096,0.011,-0.151,-0.068,-0.196,0.036,0.493,-0.315,-0.044,-0.441,-0.047
"95",-0.032,0.06,-0.196,-0.114,-0.34,-0.019,-0.23,-0.221,0.002,-0.096,0.094,-0.141,-0.19,-0.187,-0.007,-0.09,-0.514,-0.087,-0.477,-0.129
"96",-0.093,-0.047,-0.529,-0.141,-0.206,-0.151,-0.294,-0.303,-0.007,-0.349,0.087,-0.074,-0.138,-0.239,-0.056,0.023,-0.224,-0.083,-0.52,-0.203
"97",-0.09,0.048,-0.102,-0.129,-0.251,-0.105,-0.184,-0.291,0.249,-0.071,0.115,-0.105,-0.193,-0.505,-0.114,0.002,-0.245,0.011,-0.495,-0.16
"98",0.496,-0.572,-0.138,-0.035,-0.135,-0.187,-0.044,-0.734,0.017,-0.126,0.576,0.042,-0.065,-0.19,-0.141,0.087,-0.267,-0.203,-0.395,-0.169
"99",-0.138,-0.041,0.255,-0.068,0.069,-0.199,-0.297,-0.257,-0.099,-0.099,-0.004,-0.209,-0.044,-0.367,-0.132,-0.004,-0.203,-0.047,-0.361,-0.196
"100",-0.096,-0.09,-0.221,-0.355,-0.27,-0.105,-0.288,-0.297,-0.071,-0.199,0.054,-0.181,-0.105,-0.074,-0.132,-0.044,-0.199,-0.184,0.194,-0.126
"101",-0.129,0.127,-0.145,-0.056,-0.248,0.158,-0.178,0.097,-0.141,-0.163,0.042,-0.532,-0.09,-0.196,-0.105,-0.053,-0.181,0.292,-0.441,-0.132
"102",-0.09,-0.105,-0.172,-0.126,-0.532,-0.071,-0.242,-0.611,-0.059,-0.181,0.078,-0.129,-0.138,-0.233,-0.093,0.286,-0.19,-0.074,-0.834,-0.145
"103",-0.163,-0.123,-0.138,-0.029,-0.138,-0.23,-0.3,-0.291,-0.035,-0.157,0.023,-0.062,-0.093,-0.087,-0.105,-0.068,-0.279,-0.044,-0.38,-0.264
"104",-0.132,0.35,-0.132,-0.044,-0.248,-0.169,-0.303,-0.508,0.045,-0.337,0.185,0.219,-0.312,-0.099,-0.087,-0.01,-0.224,-0.309,-0.37,-0.404
"105",-0.077,-0.102,-0.462,-0.105,-0.218,-0.172,-0.166,-0.254,-0.318,-0.096,0.06,-0.34,-0.074,-0.206,-0.108,0.234,0.112,-0.05,0.06,-0.105
"106",-0.343,-0.096,-0.111,-0.062,-0.221,-0.145,-0.306,-0.199,-0.123,-0.108,0.011,0.008,-0.087,-0.077,-0.071,-0.026,-0.257,-0.062,-0.315,-0.09
"107",-0.111,-0.346,-0.184,-0.315,-0.273,-0.099,-0.431,-0.19,-0.105,-0.135,-0.328,-0.16,-0.022,-0.096,-0.129,-0.126,-0.193,0.005,-0.282,-0.16
"108",-0.16,-0.096,-0.16,-0.163,-0.187,-0.108,-0.297,-0.254,-0.114,-0.108,0.109,-0.05,-0.053,-0.087,-0.126,-0.328,-0.337,-0.148,-0.807,-0.175
"109",-0.117,0.048,-0.343,-0.102,-0.386,0.386,-0.212,-0.236,-0.022,-0.151,0.142,-0.09,-0.169,-0.203,-0.026,-0.022,-0.279,-0.154,-0.27,-0.199
"110",-0.206,-0.273,-0.141,-0.123,-0.099,-0.227,0.072,-0.123,-0.215,-0.138,0.487,-0.248,-0.477,-0.184,0.072,0.179,0.216,-0.087,-0.303,-0.126
"111",-0.193,-0.102,-0.12,-0.145,-0.138,-0.01,-0.3,-0.218,-0.062,-0.584,0.042,-0.12,-0.05,-0.004,-0.117,0.036,-0.242,-0.093,-0.245,-0.26
"112",-0.129,-0.041,-0.151,-0.145,-0.175,-0.19,-0.203,-0.218,-0.029,-0.422,0.054,-0.154,0.206,-0.151,-0.05,-0.093,-0.248,0.151,-0.233,-0.019
"113",-0.035,-0.032,-0.117,-0.126,-0.193,-0.193,-0.48,-0.221,-0.019,-0.096,0.054,0.078,0.261,-0.071,-0.16,-0.105,-0.267,-0.199,-0.294,-0.312
"114",0.188,-0.062,-0.141,-0.12,-0.273,-0.63,-0.471,-0.242,-0.068,0.301,-0.169,-0.096,-0.132,-0.05,-0.126,-0.242,-0.233,-0.09,-0.193,-0.141
"115",-0.077,-0.126,-0.251,-0.236,-0.196,-0.16,-0.306,-0.288,-0.09,-0.184,0.066,-0.044,-0.09,0.026,-0.004,-0.071,-0.248,-0.141,-0.27,-0.145
"116",-0.108,-0.007,-0.212,-0.059,-0.267,-0.151,-0.187,-0.355,0.011,-0.114,-0.129,-0.029,-0.16,-0.135,0.243,-0.056,-0.3,-0.093,-0.245,0.325
"117",-0.56,-0.062,0.264,-0.114,-0.022,0.304,-0.248,-0.187,-0.12,-0.297,0.045,0.026,-0.099,-0.129,-0.016,0.017,-0.352,-0.044,-0.343,-0.175
"118",-0.083,-0.312,-0.16,-0.074,-0.218,-0.276,-0.154,-0.199,-0.062,-0.145,0.066,0.014,-0.038,-0.126,-0.108,-0.102,-0.276,-0.105,-0.157,-0.154
"119",-0.117,-0.032,-0.196,-0.114,-0.227,-0.16,-0.187,-0.117,-0.178,-0.065,0.039,-0.123,-0.26,-0.102,-0.441,-0.074,-0.218,-0.074,-0.248,-0.309
"120",0.026,-0.108,-0.215,-0.09,-0.16,-0.318,-0.193,-0.282,-0.273,-0.401,0.127,-0.138,0.197,-0.032,-0.019,-0.074,-0.203,0.008,-0.193,-0.163
"121",-0.187,-0.059,-0.157,-0.044,-0.227,-0.184,-0.254,-0.245,-0.071,-0.044,0.078,-0.044,-0.145,-0.102,-0.047,-0.172,-0.245,-0.157,-0.322,-0.187
"122",-0.099,-0.175,-0.242,0.197,-0.233,-0.157,-0.45,-0.203,-0.087,-0.071,-0.032,-0.007,-0.093,-0.26,0.039,-0.132,-0.239,-0.05,-0.215,-0.083
"123",0.13,-0.111,-0.129,-0.187,-0.233,-0.215,-0.264,-0.196,-0.083,-0.099,0.023,0.008,-0.157,-0.145,-0.123,-0.154,-0.248,-0.221,-0.285,-0.19
"124",-0.16,-0.111,-0.138,-0.126,-0.224,-0.227,-0.151,-0.233,-0.12,-0.032,0.069,-0.09,-0.071,-0.23,-0.096,-0.062,-0.233,-0.047,-0.19,-0.196
"125",-0.09,-0.145,-0.434,-0.026,-0.434,-0.495,-0.23,-0.459,-0.148,-0.068,-0.019,0.02,-0.053,-0.032,-0.007,-0.096,-0.404,-0.077,-0.19,-0.108
"126",-0.215,-0.172,-0.154,-0.093,-0.206,-0.129,-0.138,-0.126,-0.08,-0.035,0.087,-0.056,-0.087,-0.062,-0.102,-0.337,-0.212,-0.193,-0.196,0.313
"127",-0.08,-0.05,-0.184,-0.19,-0.187,-0.193,-0.193,-0.264,-0.199,-0.126,-0.004,-0.022,-0.102,-0.077,-0.206,-0.129,-0.303,0.274,-0.578,-0.172
"128",-0.132,-0.096,-0.203,-0.071,-0.26,-0.175,-0.212,-0.276,-0.303,-0.41,0.063,0.017,-0.456,-0.404,-0.05,-0.126,-0.239,-0.093,-0.233,-0.27
"129",0.328,-0.004,-0.215,-0.203,-0.257,-0.145,-0.196,-0.758,-0.053,-0.166,0.139,-0.083,-0.12,-0.196,-0.099,-0.032,-0.279,0.014,-0.233,-0.141
"130",-0.126,-0.096,-0.053,-0.175,-0.218,-0.282,-0.413,-0.206,-0.077,-0.059,0.017,0.032,-0.135,-0.117,-0.099,-0.035,0.124,-0.053,0.173,-0.196
"131",-0.206,0.002,-0.172,-0.346,-0.242,-0.199,-0.169,-0.227,-0.093,-0.077,0.017,-0.065,-0.068,0.368,-0.187,-0.059,-0.26,-0.056,0.347,-0.12
"132",-0.056,-0.102,-0.227,-0.19,-0.227,-0.318,-0.212,0.081,-0.141,-0.083,-0.004,0.103,-0.102,-0.016,-0.065,-0.102,-0.175,-0.029,-0.096,-0.172
"133",-0.032,-0.062,0.087,-0.019,-0.508,-0.37,-0.245,0.31,-0.175,-0.077,0.036,-0.047,-0.053,-0.114,-0.074,-0.502,-0.74,-0.169,-0.404,-0.166
"134",-0.019,0.234,-0.245,-0.349,-0.239,-0.212,-0.279,-0.257,-0.166,-0.141,0.06,0.045,-0.032,-0.163,-0.08,-0.434,-0.236,-0.065,-0.221,-0.193
"135",0.005,-0.096,-0.184,-0.175,-0.221,-0.224,-0.141,-0.447,-0.059,-0.114,0.063,-0.148,-0.111,-0.022,-0.145,-0.044,-0.224,-0.169,-0.224,0.097
"136",-0.047,-0.111,-0.645,-0.145,0.161,-0.251,-0.19,-0.288,-0.001,-0.395,-0.007,-0.096,-0.068,-0.132,-0.041,0.402,-0.132,-0.053,-0.071,-0.239
"137",-0.373,-0.056,-0.111,0.118,-0.254,-0.203,-0.193,-0.203,-0.09,-0.111,-0.007,0.139,-0.062,0.234,-0.08,-0.053,-0.245,-0.071,-0.074,-0.135
"138",-0.132,0.069,-0.193,-0.065,-0.129,-0.123,-0.233,-0.383,-0.291,-0.087,0.295,0.286,-0.102,-0.126,-0.141,-0.035,-0.224,-0.01,-0.108,-0.215
"139",-0.187,-0.132,0.042,-0.108,-0.389,-0.215,-0.257,-0.215,-0.114,-0.221,-0.019,-0.01,-0.108,-0.053,-0.138,-0.358,-0.108,-0.083,-0.392,-0.145
"140",-0.029,-0.126,-0.273,-0.218,-0.288,-0.193,-0.26,-0.303,-0.117,-0.151,-0.007,-0.019,-0.083,0.06,-0.044,-0.111,-0.187,-0.12,-0.166,-0.105
"141",-0.083,-0.105,-0.3,-0.19,-0.288,-0.102,-0.618,-0.465,-0.056,-0.114,-0.416,-0.224,0.136,-0.056,0.151,-0.123,-0.203,-0.114,-0.132,-0.602
"142",-0.05,0.533,-0.019,-0.105,-0.254,-0.233,-0.163,-0.203,-0.074,-0.007,-0.08,0.002,-0.093,-0.102,-0.154,-0.331,-0.315,0.423,-0.227,-0.187
"143",-0.123,-0.087,-0.074,-0.288,-0.218,-0.27,-0.203,-0.291,-0.288,-0.099,-0.062,-0.068,-0.105,-0.12,-0.169,-0.047,-0.23,-0.16,-0.114,-0.193
"144",-0.126,-0.511,-0.19,-0.154,-0.276,-0.264,0.219,-0.196,0.023,-0.355,0.362,-0.117,-0.132,-0.062,-0.453,-0.145,-0.251,-0.151,-0.154,-0.068
"145",-0.038,-0.175,-0.431,-0.221,-0.105,-0.099,-0.264,-0.248,-0.181,-0.068,0.014,-0.087,-0.077,-0.059,-0.053,-0.05,-0.184,-0.508,-0.166,-0.093
"146",-0.019,-0.065,-0.203,-0.032,-0.245,-0.187,-0.398,-0.215,-0.16,-0.077,0.069,-0.056,-0.056,-0.059,-0.035,-0.08,-0.218,-0.166,-0.117,-0.209
"147",-0.062,0.292,-0.184,-0.148,-0.203,-0.203,-0.431,-0.291,-0.215,-0.099,-0.154,-0.05,0.335,-0.022,0.203,-0.135,-0.276,-0.175,-0.114,-0.074
"148",-0.08,-0.102,-0.09,-0.187,-0.352,-0.502,-0.19,-0.309,-0.172,-0.331,-0.041,-0.056,-0.059,-0.096,-0.05,-0.27,0.127,0.252,-0.26,-0.331
"149",-0.087,-0.047,-0.068,-0.16,-0.108,-0.08,-0.257,-0.331,-0.117,-0.093,0.017,-0.016,-0.111,-0.233,-0.12,-0.105,-0.273,-0.108,-0.141,-0.117
"150",-0.105,0.213,-0.12,-0.166,-0.227,-0.163,-0.239,-0.267,-0.032,-0.035,-0.181,0.011,-0.318,-0.111,-0.044,-0.361,-0.251,-0.05,-0.172,-0.19
