"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"23",-7.83,-9.06,-7,-9.35,-6.18,-10.03,-8.12,-6.71,-3.48,-8.63,-8.78,-12.08,-7.26,-6.95,-8.54,-10.18,-6.8,-8.95,-8.28,-6.1
"24",-8.15,-9.03,-6.88,-8.91,-6.16,-9.92,-8.13,-6.31,-3.09,-8.34,-8.44,-11.85,-7.14,-6.67,-8.19,-9.97,-6.43,-8.72,-8.02,-5.97
"25",-8.33,-8.89,-6.68,-8.42,-6.05,-9.71,-8.05,-5.92,-2.69,-8.04,-8.03,-11.55,-6.99,-6.44,-7.73,-9.6,-6,-8.42,-7.63,-5.73
"26",-8.33,-8.63,-6.4,-7.92,-5.84,-9.4,-7.88,-5.56,-2.35,-7.74,-7.58,-11.14,-6.86,-6.26,-7.18,-9.12,-5.53,-8.04,-7.18,-5.42
"27",-8.15,-8.18,-6.05,-7.42,-5.53,-9,-7.65,-5.3,-2.08,-7.44,-7.17,-10.62,-6.74,-6.08,-6.61,-8.6,-5.08,-7.6,-6.68,-5.03
"28",-7.86,-7.68,-5.7,-6.96,-5.18,-8.56,-7.33,-5.12,-1.87,-7.17,-6.82,-10.03,-6.61,-5.91,-6.05,-8.08,-4.64,-7.16,-6.17,-4.62
"29",-7.53,-7.15,-5.36,-6.53,-4.77,-8.08,-7.01,-4.98,-1.73,-6.89,-6.54,-9.44,-6.46,-5.74,-5.53,-7.57,-4.23,-6.76,-5.69,-4.22
"30",-7.12,-6.63,-5.03,-6.19,-4.29,-7.59,-6.65,-4.82,-1.6,-6.63,-6.32,-8.89,-6.3,-5.57,-5.05,-7.09,-3.86,-6.42,-5.24,-3.85
"31",-6.66,-6.12,-4.76,-5.89,-3.76,-7.13,-6.27,-4.61,-1.51,-6.37,-6.12,-8.41,-6.15,-5.42,-4.7,-6.65,-3.52,-6.11,-4.85,-3.51
"32",-6.21,-5.64,-4.52,-5.66,-3.27,-6.7,-5.89,-4.38,-1.38,-6.12,-5.94,-7.98,-5.95,-5.26,-4.44,-6.27,-3.18,-5.84,-4.53,-3.21
"33",-5.8,-5.19,-4.28,-5.49,-2.83,-6.33,-5.53,-4.14,-1.26,-5.89,-5.73,-7.62,-5.73,-5.1,-4.22,-5.98,-2.91,-5.58,-4.26,-2.96
"34",-5.44,-4.7,-4.03,-5.35,-2.45,-6.03,-5.19,-3.88,-1.17,-5.68,-5.45,-7.29,-5.5,-4.91,-4.01,-5.74,-2.64,-5.31,-3.97,-2.76
"35",-5.08,-4.19,-3.73,-5.17,-2.12,-5.79,-4.87,-3.61,-1.06,-5.44,-5.12,-6.94,-5.27,-4.73,-3.78,-5.49,-2.39,-4.97,-3.67,-2.58
"36",-4.69,-3.63,-3.4,-4.94,-1.8,-5.51,-4.56,-3.3,-0.92,-5.17,-4.72,-6.51,-5.04,-4.54,-3.56,-5.24,-2.15,-4.59,-3.33,-2.39
"37",-4.28,-3.01,-3.04,-4.65,-1.44,-5.13,-4.14,-2.92,-0.74,-4.86,-4.25,-5.97,-4.79,-4.24,-3.34,-4.98,-1.88,-4.1,-2.93,-2.19
"38",-3.82,-2.22,-2.62,-4.23,-1.05,-4.62,-3.62,-2.41,-0.56,-4.44,-3.67,-5.26,-4.42,-3.77,-3,-4.59,-1.53,-3.47,-2.44,-1.96
"39",-3.35,-1.28,-2.04,-3.59,-0.56,-3.94,-2.98,-1.75,-0.25,-3.89,-2.86,-4.33,-3.91,-3.05,-2.53,-4.01,-1.1,-2.69,-1.83,-1.7
"40",-2.88,-0.2,-1.2,-2.66,0.11,-3.03,-2.17,-0.92,0.24,-3.17,-1.81,-3.15,-3.23,-2.01,-1.85,-3.2,-0.52,-1.73,-1.02,-1.4
"41",-2.34,1.1,-0.14,-1.33,0.92,-1.92,-1.23,0.09,0.94,-2.19,-0.59,-1.78,-2.37,-0.66,-0.92,-2.17,0.28,-0.57,-0.01,-1.06
"42",-1.65,2.46,1.12,0.31,1.83,-0.63,-0.16,1.24,1.87,-1,0.79,-0.25,-1.3,0.94,0.24,-0.96,1.32,0.81,1.16,-0.59
"43",-0.63,3.78,2.58,2.16,2.85,0.84,1.04,2.52,3.01,0.37,2.26,1.42,0.03,2.79,1.59,0.37,2.57,2.39,2.45,0.02
"44",0.83,4.98,4.12,4.11,3.95,2.4,2.41,3.82,4.33,1.89,3.71,3.16,1.63,4.8,3.16,1.79,3.97,4.07,3.79,0.76
"45",2.67,5.93,5.67,6.01,5.04,3.95,3.83,5.05,5.87,3.52,5.08,4.93,3.33,6.69,4.81,3.28,5.46,5.64,5.12,1.62
"46",4.73,6.68,7.18,7.56,6.11,5.42,5.21,6.16,7.46,5.24,6.32,6.48,5.05,8.22,6.39,4.72,6.92,6.91,6.3,2.58
"47",6.58,7.22,8.51,8.47,7.11,6.73,6.48,7.04,8.84,6.83,7.3,7.57,6.61,9.35,7.64,5.98,8.15,7.71,7.22,3.62
"48",7.83,7.51,9.24,9,7.88,7.57,7.43,7.6,9.8,7.99,7.93,8.21,7.76,9.95,8.43,6.86,8.99,8.13,7.83,4.65
"49",8.41,7.67,9.69,9.34,8.39,8.05,7.99,7.87,10.31,8.65,8.25,8.57,8.42,10.3,8.83,7.32,9.45,8.4,8.17,5.55
"50",8.65,7.79,9.96,9.6,8.65,8.3,8.29,8.01,10.56,8.9,8.38,8.81,8.65,10.56,9.06,7.48,9.66,8.6,8.34,6.26
"51",8.78,7.89,10.17,9.69,8.67,8.42,8.37,8.09,10.71,8.95,8.44,8.88,8.81,10.51,9.21,7.59,9.8,8.7,8.45,6.72
